CountryKey,CountryCode,RegionKey,CountryName,CountryDescription,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
47,IN-6,2,Riverton Country 47,Country starter record 47,1,1,1,2026-08-24T00:00:00.000
48,US-6,18,Zenith Country 48,Country starter record 48,1,1,1,2026-08-24T00:00:00.000
49,CA-7,4,Vertex Country 49,Country starter record 49,1,1,1,2026-08-24T00:00:00.000
50,MX-7,15,Vertex Country 50,Country starter record 50,0,1,1,2026-08-24T00:00:00.000
51,DE-7,15,Northstar Country 51,Country starter record 51,1,1,1,2026-08-24T00:00:00.000
52,GB-7,7,Evergreen Country 52,Country starter record 52,1,1,1,2026-08-24T00:00:00.000
53,JP-7,6,Keystone Country 53,Country starter record 53,1,1,1,2026-08-24T00:00:00.000
54,CN-7,12,Atlas Country 54,Country starter record 54,1,1,1,2026-08-24T00:00:00.000
55,IN-7,16,Zenith Country 55,Country starter record 55,0,1,1,2026-08-24T00:00:00.000
56,US-7,14,Titan Country 56,Country starter record 56,1,1,1,2026-08-24T00:00:00.000
57,CA-8,7,Beacon Country 57,Country starter record 57,1,1,1,2026-08-24T00:00:00.000
58,MX-8,15,Riverton Country 58,Country starter record 58,1,1,1,2026-08-24T00:00:00.000
59,DE-8,5,Quartz Country 59,Country starter record 59,1,1,1,2026-08-24T00:00:00.000
60,GB-8,11,Granite Country 60,Country starter record 60,0,1,1,2026-08-24T00:00:00.000
61,JP-8,11,Keystone Country 61,Country starter record 61,1,1,1,2026-08-24T00:00:00.000
62,CN-8,18,Meridian Country 62,Country starter record 62,1,1,1,2026-08-24T00:00:00.000
63,IN-8,4,Willow Country 63,Country starter record 63,1,1,1,2026-08-24T00:00:00.000
64,US-8,6,Liberty Country 64,Country starter record 64,1,1,1,2026-08-24T00:00:00.000
65,CA-9,11,Granite Country 65,Country starter record 65,0,1,1,2026-08-24T00:00:00.000
66,MX-9,15,Titan Country 66,Country starter record 66,1,1,1,2026-08-24T00:00:00.000
67,DE-9,8,Titan Country 67,Country starter record 67,1,1,1,2026-08-24T00:00:00.000
68,GB-9,7,Pioneer Country 68,Country starter record 68,1,1,1,2026-08-24T00:00:00.000
69,JP-9,16,Orion Country 69,Country starter record 69,1,1,1,2026-08-24T00:00:00.000
70,CN-9,4,Riverton Country 70,Country starter record 70,0,1,1,2026-08-24T00:00:00.000
71,IN-9,3,Ion Country 71,Country starter record 71,1,1,1,2026-08-24T00:00:00.000
72,US-9,9,Summit Country 72,Country starter record 72,1,1,1,2026-08-24T00:00:00.000
73,CA-10,1,Beacon Country 73,Country starter record 73,1,1,1,2026-08-24T00:00:00.000
74,MX-10,13,Vertex Country 74,Country starter record 74,1,1,1,2026-08-24T00:00:00.000
75,DE-10,11,Liberty Country 75,Country starter record 75,0,1,1,2026-08-24T00:00:00.000
76,GB-10,11,Delta Country 76,Country starter record 76,1,1,1,2026-08-24T00:00:00.000
77,JP-10,10,Riverton Country 77,Country starter record 77,1,1,1,2026-08-24T00:00:00.000
78,CN-10,1,Evergreen Country 78,Country starter record 78,1,1,1,2026-08-24T00:00:00.000
79,IN-10,1,Pioneer Country 79,Country starter record 79,1,1,1,2026-08-24T00:00:00.000
80,US-10,9,Evergreen Country 80,Country starter record 80,0,1,1,2026-08-24T00:00:00.000
81,CA-11,17,Evergreen Country 81,Country starter record 81,1,1,1,2026-08-24T00:00:00.000
82,MX-11,10,Willow Country 82,Country starter record 82,1,1,1,2026-08-24T00:00:00.000
83,DE-11,8,Granite Country 83,Country starter record 83,1,1,1,2026-08-24T00:00:00.000
84,GB-11,18,Beacon Country 84,Country starter record 84,1,1,1,2026-08-24T00:00:00.000
85,JP-11,17,Harbor Country 85,Country starter record 85,0,1,1,2026-08-24T00:00:00.000
86,CN-11,8,Junction Country 86,Country starter record 86,1,1,1,2026-08-24T00:00:00.000
87,IN-11,6,Liberty Country 87,Country starter record 87,1,1,1,2026-08-24T00:00:00.000
88,US-11,1,Meridian Country 88,Country starter record 88,1,1,1,2026-08-24T00:00:00.000
89,CA-12,9,Cedar Country 89,Country starter record 89,1,1,1,2026-08-24T00:00:00.000
90,MX-12,10,Evergreen Country 90,Country starter record 90,0,1,1,2026-08-24T00:00:00.000
91,DE-12,14,Forge Country 91,Country starter record 91,1,1,1,2026-08-24T00:00:00.000
92,GB-12,17,Riverton Country 92,Country starter record 92,1,1,1,2026-08-24T00:00:00.000
93,JP-12,11,Cedar Country 93,Country starter record 93,1,1,1,2026-08-24T00:00:00.000
94,CN-12,10,Riverton Country 94,Country starter record 94,1,1,1,2026-08-24T00:00:00.000
95,IN-12,2,Atlas Country 95,Country starter record 95,0,1,1,2026-08-24T00:00:00.000
96,US-12,13,Liberty Country 96,Country starter record 96,1,1,1,2026-08-24T00:00:00.000
97,CA-13,8,Junction Country 97,Country starter record 97,1,1,1,2026-08-24T00:00:00.000
98,MX-13,8,Titan Country 98,Country starter record 98,1,1,1,2026-08-24T00:00:00.000
99,DE-13,7,Cedar Country 99,Country starter record 99,1,1,1,2026-08-24T00:00:00.000
100,GB-13,7,Meridian Country 100,Country starter record 100,0,1,1,2026-08-24T00:00:00.000
101,JP-13,11,Pioneer Country 101,Country starter record 101,1,1,1,2026-08-24T00:00:00.000
102,CN-13,5,Atlas Country 102,Country starter record 102,1,1,1,2026-08-24T00:00:00.000
103,IN-13,18,Pioneer Country 103,Country starter record 103,1,1,1,2026-08-24T00:00:00.000
104,US-13,15,Liberty Country 104,Country starter record 104,1,1,1,2026-08-24T00:00:00.000
105,CA-14,18,Willow Country 105,Country starter record 105,0,1,1,2026-08-24T00:00:00.000
106,MX-14,3,Northstar Country 106,Country starter record 106,1,1,1,2026-08-24T00:00:00.000
107,DE-14,4,Cedar Country 107,Country starter record 107,1,1,1,2026-08-24T00:00:00.000
108,GB-14,10,Northstar Country 108,Country starter record 108,1,1,1,2026-08-24T00:00:00.000
109,JP-14,5,Meridian Country 109,Country starter record 109,1,1,1,2026-08-24T00:00:00.000
110,CN-14,7,Junction Country 110,Country starter record 110,0,1,1,2026-08-24T00:00:00.000
111,IN-14,7,Evergreen Country 111,Country starter record 111,1,1,1,2026-08-24T00:00:00.000
112,US-14,5,Junction Country 112,Country starter record 112,1,1,1,2026-08-24T00:00:00.000
113,CA-15,13,Keystone Country 113,Country starter record 113,1,1,1,2026-08-24T00:00:00.000
114,MX-15,13,Unity Country 114,Country starter record 114,1,1,1,2026-08-24T00:00:00.000
115,DE-15,13,Harbor Country 115,Country starter record 115,0,1,1,2026-08-24T00:00:00.000
116,GB-15,2,Titan Country 116,Country starter record 116,1,1,1,2026-08-24T00:00:00.000
117,JP-15,16,Pioneer Country 117,Country starter record 117,1,1,1,2026-08-24T00:00:00.000
118,CN-15,15,Delta Country 118,Country starter record 118,1,1,1,2026-08-24T00:00:00.000
119,IN-15,16,Beacon Country 119,Country starter record 119,1,1,1,2026-08-24T00:00:00.000
120,US-15,5,Ion Country 120,Country starter record 120,0,1,1,2026-08-24T00:00:00.000
121,CA-16,5,Zenith Country 121,Country starter record 121,1,1,1,2026-08-24T00:00:00.000
122,MX-16,13,Granite Country 122,Country starter record 122,1,1,1,2026-08-24T00:00:00.000
123,DE-16,14,Atlas Country 123,Country starter record 123,1,1,1,2026-08-24T00:00:00.000
124,GB-16,12,Beacon Country 124,Country starter record 124,1,1,1,2026-08-24T00:00:00.000
125,JP-16,3,Riverton Country 125,Country starter record 125,0,1,1,2026-08-24T00:00:00.000
126,CN-16,1,Summit Country 126,Country starter record 126,1,1,1,2026-08-24T00:00:00.000
127,IN-16,12,Northstar Country 127,Country starter record 127,1,1,1,2026-08-24T00:00:00.000
128,US-16,9,Summit Country 128,Country starter record 128,1,1,1,2026-08-24T00:00:00.000
129,CA-17,12,Titan Country 129,Country starter record 129,1,1,1,2026-08-24T00:00:00.000
130,MX-17,3,Titan Country 130,Country starter record 130,0,1,1,2026-08-24T00:00:00.000
131,DE-17,4,Northstar Country 131,Country starter record 131,1,1,1,2026-08-24T00:00:00.000
132,GB-17,16,Harbor Country 132,Country starter record 132,1,1,1,2026-08-24T00:00:00.000
133,JP-17,8,Vertex Country 133,Country starter record 133,1,1,1,2026-08-24T00:00:00.000
134,CN-17,16,Beacon Country 134,Country starter record 134,1,1,1,2026-08-24T00:00:00.000
135,IN-17,11,Orion Country 135,Country starter record 135,0,1,1,2026-08-24T00:00:00.000
136,US-17,12,Harbor Country 136,Country starter record 136,1,1,1,2026-08-24T00:00:00.000
137,CA-18,2,Quartz Country 137,Country starter record 137,1,1,1,2026-08-24T00:00:00.000
138,MX-18,2,Junction Country 138,Country starter record 138,1,1,1,2026-08-24T00:00:00.000
139,DE-18,10,Willow Country 139,Country starter record 139,1,1,1,2026-08-24T00:00:00.000
140,GB-18,7,Evergreen Country 140,Country starter record 140,0,1,1,2026-08-24T00:00:00.000
141,JP-18,6,Quartz Country 141,Country starter record 141,1,1,1,2026-08-24T00:00:00.000
142,CN-18,8,Harbor Country 142,Country starter record 142,1,1,1,2026-08-24T00:00:00.000
143,IN-18,18,Unity Country 143,Country starter record 143,1,1,1,2026-08-24T00:00:00.000
144,US-18,14,Meridian Country 144,Country starter record 144,1,1,1,2026-08-24T00:00:00.000
145,CA-19,1,Summit Country 145,Country starter record 145,0,1,1,2026-08-24T00:00:00.000
146,MX-19,9,Unity Country 146,Country starter record 146,1,1,1,2026-08-24T00:00:00.000
147,DE-19,2,Orion Country 147,Country starter record 147,1,1,1,2026-08-24T00:00:00.000
148,GB-19,12,Delta Country 148,Country starter record 148,1,1,1,2026-08-24T00:00:00.000
149,JP-19,10,Delta Country 149,Country starter record 149,1,1,1,2026-08-24T00:00:00.000
150,CN-19,4,Harbor Country 150,Country starter record 150,0,1,1,2026-08-24T00:00:00.000
151,IN-19,9,Riverton Country 151,Country starter record 151,1,1,1,2026-08-24T00:00:00.000
152,US-19,4,Ion Country 152,Country starter record 152,1,1,1,2026-08-24T00:00:00.000
153,CA-20,10,Granite Country 153,Country starter record 153,1,1,1,2026-08-24T00:00:00.000
154,MX-20,17,Liberty Country 154,Country starter record 154,1,1,1,2026-08-24T00:00:00.000
155,DE-20,17,Zenith Country 155,Country starter record 155,0,1,1,2026-08-24T00:00:00.000
156,GB-20,6,Ion Country 156,Country starter record 156,1,1,1,2026-08-24T00:00:00.000
157,JP-20,13,Northstar Country 157,Country starter record 157,1,1,1,2026-08-24T00:00:00.000
158,CN-20,5,Zenith Country 158,Country starter record 158,1,1,1,2026-08-24T00:00:00.000
159,IN-20,2,Zenith Country 159,Country starter record 159,1,1,1,2026-08-24T00:00:00.000
160,US-20,10,Harbor Country 160,Country starter record 160,0,1,1,2026-08-24T00:00:00.000
161,CA-21,2,Cedar Country 161,Country starter record 161,1,1,1,2026-08-24T00:00:00.000
162,MX-21,4,Meridian Country 162,Country starter record 162,1,1,1,2026-08-24T00:00:00.000
163,DE-21,5,Atlas Country 163,Country starter record 163,1,1,1,2026-08-24T00:00:00.000
164,GB-21,6,Unity Country 164,Country starter record 164,1,1,1,2026-08-24T00:00:00.000
165,JP-21,4,Delta Country 165,Country starter record 165,0,1,1,2026-08-24T00:00:00.000
166,CN-21,7,Titan Country 166,Country starter record 166,1,1,1,2026-08-24T00:00:00.000
167,IN-21,5,Evergreen Country 167,Country starter record 167,1,1,1,2026-08-24T00:00:00.000
168,US-21,7,Liberty Country 168,Country starter record 168,1,1,1,2026-08-24T00:00:00.000
169,CA-22,18,Liberty Country 169,Country starter record 169,1,1,1,2026-08-24T00:00:00.000
170,MX-22,2,Beacon Country 170,Country starter record 170,0,1,1,2026-08-24T00:00:00.000
171,DE-22,14,Meridian Country 171,Country starter record 171,1,1,1,2026-08-24T00:00:00.000
172,GB-22,12,Keystone Country 172,Country starter record 172,1,1,1,2026-08-24T00:00:00.000
173,JP-22,14,Vertex Country 173,Country starter record 173,1,1,1,2026-08-24T00:00:00.000
174,CN-22,12,Granite Country 174,Country starter record 174,1,1,1,2026-08-24T00:00:00.000
175,IN-22,4,Keystone Country 175,Country starter record 175,0,1,1,2026-08-24T00:00:00.000
176,US-22,14,Unity Country 176,Country starter record 176,1,1,1,2026-08-24T00:00:00.000
177,CA-23,3,Quartz Country 177,Country starter record 177,1,1,1,2026-08-24T00:00:00.000
178,MX-23,4,Titan Country 178,Country starter record 178,1,1,1,2026-08-24T00:00:00.000
179,DE-23,7,Junction Country 179,Country starter record 179,1,1,1,2026-08-24T00:00:00.000
180,GB-23,1,Beacon Country 180,Country starter record 180,0,1,1,2026-08-24T00:00:00.000
181,JP-23,10,Evergreen Country 181,Country starter record 181,1,1,1,2026-08-24T00:00:00.000
182,CN-23,9,Quartz Country 182,Country starter record 182,1,1,1,2026-08-24T00:00:00.000
183,IN-23,11,Willow Country 183,Country starter record 183,1,1,1,2026-08-24T00:00:00.000
184,US-23,7,Evergreen Country 184,Country starter record 184,1,1,1,2026-08-24T00:00:00.000
185,CA-24,17,Orion Country 185,Country starter record 185,0,1,1,2026-08-24T00:00:00.000
186,MX-24,8,Titan Country 186,Country starter record 186,1,1,1,2026-08-24T00:00:00.000
187,DE-24,16,Meridian Country 187,Country starter record 187,1,1,1,2026-08-24T00:00:00.000
188,GB-24,4,Unity Country 188,Country starter record 188,1,1,1,2026-08-24T00:00:00.000
189,JP-24,17,Titan Country 189,Country starter record 189,1,1,1,2026-08-24T00:00:00.000
190,CN-24,11,Orion Country 190,Country starter record 190,0,1,1,2026-08-24T00:00:00.000
191,IN-24,14,Orion Country 191,Country starter record 191,1,1,1,2026-08-24T00:00:00.000
192,US-24,3,Forge Country 192,Country starter record 192,1,1,1,2026-08-24T00:00:00.000
193,CA-25,1,Delta Country 193,Country starter record 193,1,1,1,2026-08-24T00:00:00.000
194,MX-25,5,Unity Country 194,Country starter record 194,1,1,1,2026-08-24T00:00:00.000
195,DE-25,7,Junction Country 195,Country starter record 195,0,1,1,2026-08-24T00:00:00.000
196,GB-25,16,Delta Country 196,Country starter record 196,1,1,1,2026-08-24T00:00:00.000
197,JP-25,5,Beacon Country 197,Country starter record 197,1,1,1,2026-08-24T00:00:00.000
198,CN-25,8,Vertex Country 198,Country starter record 198,1,1,1,2026-08-24T00:00:00.000
199,IN-25,16,Vertex Country 199,Country starter record 199,1,1,1,2026-08-24T00:00:00.000
200,US-25,17,Atlas Country 200,Country starter record 200,0,1,1,2026-08-24T00:00:00.000
201,CA-26,4,Summit Country 201,Country starter record 201,1,1,1,2026-08-24T00:00:00.000
202,MX-26,12,Orion Country 202,Country starter record 202,1,1,1,2026-08-24T00:00:00.000
203,DE-26,11,Liberty Country 203,Country starter record 203,1,1,1,2026-08-24T00:00:00.000
204,GB-26,3,Harbor Country 204,Country starter record 204,1,1,1,2026-08-24T00:00:00.000
205,JP-26,3,Ion Country 205,Country starter record 205,0,1,1,2026-08-24T00:00:00.000
206,CN-26,8,Vertex Country 206,Country starter record 206,1,1,1,2026-08-24T00:00:00.000
207,IN-26,13,Keystone Country 207,Country starter record 207,1,1,1,2026-08-24T00:00:00.000
208,US-26,9,Evergreen Country 208,Country starter record 208,1,1,1,2026-08-24T00:00:00.000
209,CA-27,14,Riverton Country 209,Country starter record 209,1,1,1,2026-08-24T00:00:00.000
210,MX-27,8,Delta Country 210,Country starter record 210,0,1,1,2026-08-24T00:00:00.000
211,DE-27,17,Pioneer Country 211,Country starter record 211,1,1,1,2026-08-24T00:00:00.000
212,GB-27,3,Granite Country 212,Country starter record 212,1,1,1,2026-08-24T00:00:00.000
213,JP-27,12,Liberty Country 213,Country starter record 213,1,1,1,2026-08-24T00:00:00.000
214,CN-27,14,Delta Country 214,Country starter record 214,1,1,1,2026-08-24T00:00:00.000
215,IN-27,3,Vertex Country 215,Country starter record 215,0,1,1,2026-08-24T00:00:00.000
216,US-27,5,Liberty Country 216,Country starter record 216,1,1,1,2026-08-24T00:00:00.000
217,CA-28,8,Riverton Country 217,Country starter record 217,1,1,1,2026-08-24T00:00:00.000
218,MX-28,7,Harbor Country 218,Country starter record 218,1,1,1,2026-08-24T00:00:00.000
219,DE-28,7,Riverton Country 219,Country starter record 219,1,1,1,2026-08-24T00:00:00.000
220,GB-28,2,Meridian Country 220,Country starter record 220,0,1,1,2026-08-24T00:00:00.000
221,JP-28,7,Pioneer Country 221,Country starter record 221,1,1,1,2026-08-24T00:00:00.000
222,CN-28,15,Delta Country 222,Country starter record 222,1,1,1,2026-08-24T00:00:00.000
223,IN-28,4,Northstar Country 223,Country starter record 223,1,1,1,2026-08-24T00:00:00.000
224,US-28,9,Harbor Country 224,Country starter record 224,1,1,1,2026-08-24T00:00:00.000
225,CA-29,10,Zenith Country 225,Country starter record 225,0,1,1,2026-08-24T00:00:00.000
226,MX-29,7,Orion Country 226,Country starter record 226,1,1,1,2026-08-24T00:00:00.000
227,DE-29,3,Liberty Country 227,Country starter record 227,1,1,1,2026-08-24T00:00:00.000
228,GB-29,7,Riverton Country 228,Country starter record 228,1,1,1,2026-08-24T00:00:00.000
229,JP-29,10,Quartz Country 229,Country starter record 229,1,1,1,2026-08-24T00:00:00.000
230,CN-29,17,Harbor Country 230,Country starter record 230,0,1,1,2026-08-24T00:00:00.000
231,IN-29,7,Delta Country 231,Country starter record 231,1,1,1,2026-08-24T00:00:00.000
232,US-29,11,Northstar Country 232,Country starter record 232,1,1,1,2026-08-24T00:00:00.000
233,CA-30,12,Delta Country 233,Country starter record 233,1,1,1,2026-08-24T00:00:00.000
234,MX-30,1,Beacon Country 234,Country starter record 234,1,1,1,2026-08-24T00:00:00.000
235,DE-30,12,Harbor Country 235,Country starter record 235,0,1,1,2026-08-24T00:00:00.000
236,GB-30,13,Quartz Country 236,Country starter record 236,1,1,1,2026-08-24T00:00:00.000
237,JP-30,9,Keystone Country 237,Country starter record 237,1,1,1,2026-08-24T00:00:00.000
238,CN-30,4,Forge Country 238,Country starter record 238,1,1,1,2026-08-24T00:00:00.000
239,IN-30,16,Northstar Country 239,Country starter record 239,1,1,1,2026-08-24T00:00:00.000
240,US-30,3,Orion Country 240,Country starter record 240,0,1,1,2026-08-24T00:00:00.000
241,CA-31,17,Quartz Country 241,Country starter record 241,1,1,1,2026-08-24T00:00:00.000
242,MX-31,10,Pioneer Country 242,Country starter record 242,1,1,1,2026-08-24T00:00:00.000
243,DE-31,7,Riverton Country 243,Country starter record 243,1,1,1,2026-08-24T00:00:00.000
244,GB-31,13,Northstar Country 244,Country starter record 244,1,1,1,2026-08-24T00:00:00.000
245,JP-31,1,Beacon Country 245,Country starter record 245,0,1,1,2026-08-24T00:00:00.000
246,CN-31,2,Evergreen Country 246,Country starter record 246,1,1,1,2026-08-24T00:00:00.000
247,IN-31,3,Beacon Country 247,Country starter record 247,1,1,1,2026-08-24T00:00:00.000
248,US-31,10,Titan Country 248,Country starter record 248,1,1,1,2026-08-24T00:00:00.000
249,CA-32,17,Atlas Country 249,Country starter record 249,1,1,1,2026-08-24T00:00:00.000
250,MX-32,2,Keystone Country 250,Country starter record 250,0,1,1,2026-08-24T00:00:00.000
