InventoryPolicyProductAssignmentKey,InventorySafetyStockPolicyKey,ProductKey,PlantKey,InventoryAbcClassKey,TargetServiceRatio,SourceSystemKey,BatchId,LoadedAtUtc
37,370,34,175,2,38.000000,1,1,2026-08-24T00:00:00.000
38,120,308,192,2,39.000000,1,1,2026-08-24T00:00:00.000
39,83,238,87,1,40.000000,1,1,2026-08-24T00:00:00.000
40,370,166,116,5,41.000000,1,1,2026-08-24T00:00:00.000
41,145,205,321,5,42.000000,1,1,2026-08-24T00:00:00.000
42,170,452,231,3,43.000000,1,1,2026-08-24T00:00:00.000
43,127,363,68,5,44.000000,1,1,2026-08-24T00:00:00.000
44,453,301,126,5,45.000000,1,1,2026-08-24T00:00:00.000
45,474,260,68,5,46.000000,1,1,2026-08-24T00:00:00.000
46,255,397,281,4,47.000000,1,1,2026-08-24T00:00:00.000
47,482,245,226,3,48.000000,1,1,2026-08-24T00:00:00.000
48,153,216,4,1,49.000000,1,1,2026-08-24T00:00:00.000
49,492,141,293,2,50.000000,1,1,2026-08-24T00:00:00.000
50,385,31,191,5,51.000000,1,1,2026-08-24T00:00:00.000
51,63,303,230,4,52.000000,1,1,2026-08-24T00:00:00.000
52,204,443,341,1,53.000000,1,1,2026-08-24T00:00:00.000
53,342,248,197,1,54.000000,1,1,2026-08-24T00:00:00.000
54,77,489,228,5,55.000000,1,1,2026-08-24T00:00:00.000
55,146,32,347,4,56.000000,1,1,2026-08-24T00:00:00.000
56,225,378,189,2,57.000000,1,1,2026-08-24T00:00:00.000
57,362,442,130,3,58.000000,1,1,2026-08-24T00:00:00.000
58,300,213,303,3,59.000000,1,1,2026-08-24T00:00:00.000
59,452,277,51,5,60.000000,1,1,2026-08-24T00:00:00.000
60,199,451,80,4,61.000000,1,1,2026-08-24T00:00:00.000
61,171,400,158,2,62.000000,1,1,2026-08-24T00:00:00.000
62,16,336,207,5,63.000000,1,1,2026-08-24T00:00:00.000
63,266,282,96,3,64.000000,1,1,2026-08-24T00:00:00.000
64,267,259,347,3,65.000000,1,1,2026-08-24T00:00:00.000
65,157,119,120,4,66.000000,1,1,2026-08-24T00:00:00.000
66,34,99,149,5,67.000000,1,1,2026-08-24T00:00:00.000
67,366,382,274,1,68.000000,1,1,2026-08-24T00:00:00.000
68,36,212,131,2,69.000000,1,1,2026-08-24T00:00:00.000
69,186,236,97,5,70.000000,1,1,2026-08-24T00:00:00.000
70,79,325,180,4,71.000000,1,1,2026-08-24T00:00:00.000
71,207,254,194,5,72.000000,1,1,2026-08-24T00:00:00.000
72,266,120,27,1,73.000000,1,1,2026-08-24T00:00:00.000
73,351,155,40,4,74.000000,1,1,2026-08-24T00:00:00.000
74,127,266,113,4,75.000000,1,1,2026-08-24T00:00:00.000
75,124,230,88,4,76.000000,1,1,2026-08-24T00:00:00.000
76,6,134,154,3,77.000000,1,1,2026-08-24T00:00:00.000
77,218,408,176,3,78.000000,1,1,2026-08-24T00:00:00.000
78,184,208,187,1,79.000000,1,1,2026-08-24T00:00:00.000
79,285,19,240,2,80.000000,1,1,2026-08-24T00:00:00.000
80,109,193,126,3,81.000000,1,1,2026-08-24T00:00:00.000
81,166,242,308,1,82.000000,1,1,2026-08-24T00:00:00.000
82,140,349,171,3,83.000000,1,1,2026-08-24T00:00:00.000
83,153,403,217,2,84.000000,1,1,2026-08-24T00:00:00.000
84,254,249,165,2,85.000000,1,1,2026-08-24T00:00:00.000
85,295,268,194,5,86.000000,1,1,2026-08-24T00:00:00.000
86,492,204,149,3,87.000000,1,1,2026-08-24T00:00:00.000
87,367,363,112,2,88.000000,1,1,2026-08-24T00:00:00.000
88,352,446,162,1,89.000000,1,1,2026-08-24T00:00:00.000
89,63,36,171,3,90.000000,1,1,2026-08-24T00:00:00.000
90,284,74,294,5,91.000000,1,1,2026-08-24T00:00:00.000
91,256,158,349,2,92.000000,1,1,2026-08-24T00:00:00.000
92,174,162,171,1,93.000000,1,1,2026-08-24T00:00:00.000
93,14,268,179,3,94.000000,1,1,2026-08-24T00:00:00.000
94,364,261,286,3,95.000000,1,1,2026-08-24T00:00:00.000
95,373,152,302,5,96.000000,1,1,2026-08-24T00:00:00.000
96,146,211,233,2,97.000000,1,1,2026-08-24T00:00:00.000
97,192,381,332,1,98.000000,1,1,2026-08-24T00:00:00.000
98,133,289,307,4,99.000000,1,1,2026-08-24T00:00:00.000
99,421,207,139,4,100.000000,1,1,2026-08-24T00:00:00.000
100,254,416,298,4,101.000000,1,1,2026-08-24T00:00:00.000
101,25,118,137,4,102.000000,1,1,2026-08-24T00:00:00.000
102,149,4,242,2,103.000000,1,1,2026-08-24T00:00:00.000
103,296,390,223,5,104.000000,1,1,2026-08-24T00:00:00.000
104,257,368,338,1,105.000000,1,1,2026-08-24T00:00:00.000
105,33,33,102,3,106.000000,1,1,2026-08-24T00:00:00.000
106,5,143,161,2,107.000000,1,1,2026-08-24T00:00:00.000
107,406,156,194,1,108.000000,1,1,2026-08-24T00:00:00.000
108,343,228,322,4,109.000000,1,1,2026-08-24T00:00:00.000
109,94,238,126,3,110.000000,1,1,2026-08-24T00:00:00.000
110,448,250,117,5,111.000000,1,1,2026-08-24T00:00:00.000
111,98,126,72,5,112.000000,1,1,2026-08-24T00:00:00.000
112,299,437,248,1,113.000000,1,1,2026-08-24T00:00:00.000
113,494,101,177,5,114.000000,1,1,2026-08-24T00:00:00.000
114,42,245,4,1,115.000000,1,1,2026-08-24T00:00:00.000
115,39,45,116,3,116.000000,1,1,2026-08-24T00:00:00.000
116,211,434,316,5,117.000000,1,1,2026-08-24T00:00:00.000
117,392,471,70,5,118.000000,1,1,2026-08-24T00:00:00.000
118,218,132,191,4,119.000000,1,1,2026-08-24T00:00:00.000
119,61,351,179,1,120.000000,1,1,2026-08-24T00:00:00.000
120,357,256,216,3,121.000000,1,1,2026-08-24T00:00:00.000
121,38,103,126,5,122.000000,1,1,2026-08-24T00:00:00.000
122,416,299,83,5,123.000000,1,1,2026-08-24T00:00:00.000
123,475,466,138,4,124.000000,1,1,2026-08-24T00:00:00.000
124,491,453,15,1,125.000000,1,1,2026-08-24T00:00:00.000
125,60,395,241,1,126.000000,1,1,2026-08-24T00:00:00.000
126,416,358,124,1,127.000000,1,1,2026-08-24T00:00:00.000
127,190,464,192,4,128.000000,1,1,2026-08-24T00:00:00.000
128,369,93,309,3,129.000000,1,1,2026-08-24T00:00:00.000
129,141,455,211,4,130.000000,1,1,2026-08-24T00:00:00.000
130,50,291,133,4,131.000000,1,1,2026-08-24T00:00:00.000
131,41,157,299,2,132.000000,1,1,2026-08-24T00:00:00.000
132,3,71,337,3,133.000000,1,1,2026-08-24T00:00:00.000
133,319,343,18,5,134.000000,1,1,2026-08-24T00:00:00.000
134,357,178,339,1,135.000000,1,1,2026-08-24T00:00:00.000
135,447,367,193,3,136.000000,1,1,2026-08-24T00:00:00.000
136,82,229,346,5,137.000000,1,1,2026-08-24T00:00:00.000
137,20,24,56,4,138.000000,1,1,2026-08-24T00:00:00.000
138,165,71,243,3,139.000000,1,1,2026-08-24T00:00:00.000
139,6,88,342,2,140.000000,1,1,2026-08-24T00:00:00.000
140,156,371,335,5,141.000000,1,1,2026-08-24T00:00:00.000
141,246,237,306,2,142.000000,1,1,2026-08-24T00:00:00.000
142,367,310,59,4,143.000000,1,1,2026-08-24T00:00:00.000
143,441,332,214,3,144.000000,1,1,2026-08-24T00:00:00.000
144,441,175,272,4,145.000000,1,1,2026-08-24T00:00:00.000
145,169,349,82,5,146.000000,1,1,2026-08-24T00:00:00.000
146,354,339,4,1,147.000000,1,1,2026-08-24T00:00:00.000
147,146,329,50,2,148.000000,1,1,2026-08-24T00:00:00.000
148,389,280,145,4,149.000000,1,1,2026-08-24T00:00:00.000
149,488,270,110,5,150.000000,1,1,2026-08-24T00:00:00.000
150,180,447,40,2,151.000000,1,1,2026-08-24T00:00:00.000
151,177,150,305,1,152.000000,1,1,2026-08-24T00:00:00.000
152,499,1,337,5,153.000000,1,1,2026-08-24T00:00:00.000
153,422,183,327,4,154.000000,1,1,2026-08-24T00:00:00.000
154,398,96,330,3,155.000000,1,1,2026-08-24T00:00:00.000
155,327,433,82,3,156.000000,1,1,2026-08-24T00:00:00.000
156,99,248,34,5,157.000000,1,1,2026-08-24T00:00:00.000
157,117,488,330,2,158.000000,1,1,2026-08-24T00:00:00.000
158,261,105,317,3,159.000000,1,1,2026-08-24T00:00:00.000
159,443,374,204,3,160.000000,1,1,2026-08-24T00:00:00.000
160,141,450,165,3,161.000000,1,1,2026-08-24T00:00:00.000
161,470,315,300,3,162.000000,1,1,2026-08-24T00:00:00.000
162,135,282,183,5,163.000000,1,1,2026-08-24T00:00:00.000
163,70,39,239,4,164.000000,1,1,2026-08-24T00:00:00.000
164,224,143,282,4,165.000000,1,1,2026-08-24T00:00:00.000
165,351,133,172,4,166.000000,1,1,2026-08-24T00:00:00.000
166,233,328,334,3,167.000000,1,1,2026-08-24T00:00:00.000
167,8,420,185,5,168.000000,1,1,2026-08-24T00:00:00.000
168,173,26,168,4,169.000000,1,1,2026-08-24T00:00:00.000
169,216,180,318,2,170.000000,1,1,2026-08-24T00:00:00.000
170,33,340,344,5,171.000000,1,1,2026-08-24T00:00:00.000
171,337,115,33,3,172.000000,1,1,2026-08-24T00:00:00.000
172,228,237,248,5,173.000000,1,1,2026-08-24T00:00:00.000
173,176,137,270,4,174.000000,1,1,2026-08-24T00:00:00.000
174,122,131,238,3,175.000000,1,1,2026-08-24T00:00:00.000
175,373,364,347,1,176.000000,1,1,2026-08-24T00:00:00.000
176,3,136,216,1,177.000000,1,1,2026-08-24T00:00:00.000
177,382,197,191,5,178.000000,1,1,2026-08-24T00:00:00.000
178,371,270,181,2,179.000000,1,1,2026-08-24T00:00:00.000
179,176,376,58,4,180.000000,1,1,2026-08-24T00:00:00.000
180,76,43,348,2,181.000000,1,1,2026-08-24T00:00:00.000
181,34,353,283,5,182.000000,1,1,2026-08-24T00:00:00.000
182,343,404,247,4,183.000000,1,1,2026-08-24T00:00:00.000
183,268,19,237,3,184.000000,1,1,2026-08-24T00:00:00.000
184,100,448,149,1,185.000000,1,1,2026-08-24T00:00:00.000
185,140,453,267,2,186.000000,1,1,2026-08-24T00:00:00.000
186,300,500,108,3,187.000000,1,1,2026-08-24T00:00:00.000
187,477,270,126,1,188.000000,1,1,2026-08-24T00:00:00.000
188,340,451,84,4,189.000000,1,1,2026-08-24T00:00:00.000
189,406,191,224,4,190.000000,1,1,2026-08-24T00:00:00.000
190,474,108,13,2,191.000000,1,1,2026-08-24T00:00:00.000
191,406,156,270,5,192.000000,1,1,2026-08-24T00:00:00.000
192,408,74,177,3,193.000000,1,1,2026-08-24T00:00:00.000
193,456,230,4,3,194.000000,1,1,2026-08-24T00:00:00.000
194,191,366,322,1,195.000000,1,1,2026-08-24T00:00:00.000
195,426,122,309,1,196.000000,1,1,2026-08-24T00:00:00.000
196,174,42,345,2,197.000000,1,1,2026-08-24T00:00:00.000
197,86,370,192,3,198.000000,1,1,2026-08-24T00:00:00.000
198,472,499,218,1,199.000000,1,1,2026-08-24T00:00:00.000
199,477,210,37,4,200.000000,1,1,2026-08-24T00:00:00.000
200,416,414,295,3,201.000000,1,1,2026-08-24T00:00:00.000
201,295,323,40,1,202.000000,1,1,2026-08-24T00:00:00.000
202,28,67,268,1,203.000000,1,1,2026-08-24T00:00:00.000
203,29,125,83,5,204.000000,1,1,2026-08-24T00:00:00.000
204,125,331,244,3,205.000000,1,1,2026-08-24T00:00:00.000
205,367,65,4,4,206.000000,1,1,2026-08-24T00:00:00.000
206,94,210,350,4,207.000000,1,1,2026-08-24T00:00:00.000
207,461,288,9,1,208.000000,1,1,2026-08-24T00:00:00.000
208,82,360,277,4,209.000000,1,1,2026-08-24T00:00:00.000
209,298,155,285,3,210.000000,1,1,2026-08-24T00:00:00.000
210,206,28,159,1,211.000000,1,1,2026-08-24T00:00:00.000
211,87,322,30,4,212.000000,1,1,2026-08-24T00:00:00.000
212,343,182,271,2,213.000000,1,1,2026-08-24T00:00:00.000
213,497,209,42,2,214.000000,1,1,2026-08-24T00:00:00.000
214,267,13,153,5,215.000000,1,1,2026-08-24T00:00:00.000
215,348,193,173,1,216.000000,1,1,2026-08-24T00:00:00.000
216,120,333,10,1,217.000000,1,1,2026-08-24T00:00:00.000
217,357,130,144,2,218.000000,1,1,2026-08-24T00:00:00.000
218,288,226,303,2,219.000000,1,1,2026-08-24T00:00:00.000
219,148,196,249,2,220.000000,1,1,2026-08-24T00:00:00.000
220,253,475,208,3,221.000000,1,1,2026-08-24T00:00:00.000
221,89,376,253,1,222.000000,1,1,2026-08-24T00:00:00.000
222,427,64,38,1,223.000000,1,1,2026-08-24T00:00:00.000
223,360,94,286,1,224.000000,1,1,2026-08-24T00:00:00.000
224,77,439,291,4,225.000000,1,1,2026-08-24T00:00:00.000
225,484,266,298,3,226.000000,1,1,2026-08-24T00:00:00.000
226,351,301,58,2,227.000000,1,1,2026-08-24T00:00:00.000
227,5,190,219,3,228.000000,1,1,2026-08-24T00:00:00.000
228,259,419,256,4,229.000000,1,1,2026-08-24T00:00:00.000
229,208,480,342,3,230.000000,1,1,2026-08-24T00:00:00.000
230,227,18,151,5,231.000000,1,1,2026-08-24T00:00:00.000
231,497,220,335,4,232.000000,1,1,2026-08-24T00:00:00.000
232,143,180,234,2,233.000000,1,1,2026-08-24T00:00:00.000
233,170,384,87,1,234.000000,1,1,2026-08-24T00:00:00.000
234,62,65,190,5,235.000000,1,1,2026-08-24T00:00:00.000
235,381,500,107,2,236.000000,1,1,2026-08-24T00:00:00.000
236,112,119,118,3,237.000000,1,1,2026-08-24T00:00:00.000
237,58,179,211,1,238.000000,1,1,2026-08-24T00:00:00.000
238,402,344,71,5,239.000000,1,1,2026-08-24T00:00:00.000
239,125,62,337,4,240.000000,1,1,2026-08-24T00:00:00.000
240,254,99,93,5,241.000000,1,1,2026-08-24T00:00:00.000
241,71,178,280,5,242.000000,1,1,2026-08-24T00:00:00.000
242,462,81,145,2,243.000000,1,1,2026-08-24T00:00:00.000
243,1,327,300,4,244.000000,1,1,2026-08-24T00:00:00.000
244,36,412,52,1,245.000000,1,1,2026-08-24T00:00:00.000
245,4,23,225,5,246.000000,1,1,2026-08-24T00:00:00.000
246,83,456,201,5,247.000000,1,1,2026-08-24T00:00:00.000
247,419,62,162,3,248.000000,1,1,2026-08-24T00:00:00.000
248,111,340,99,5,249.000000,1,1,2026-08-24T00:00:00.000
249,201,374,218,3,250.000000,1,1,2026-08-24T00:00:00.000
250,421,279,88,3,251.000000,1,1,2026-08-24T00:00:00.000
251,337,213,246,3,252.000000,1,1,2026-08-24T00:00:00.000
252,480,497,80,5,253.000000,1,1,2026-08-24T00:00:00.000
253,20,105,142,3,254.000000,1,1,2026-08-24T00:00:00.000
254,264,385,31,2,255.000000,1,1,2026-08-24T00:00:00.000
255,79,392,119,1,256.000000,1,1,2026-08-24T00:00:00.000
256,426,166,255,4,257.000000,1,1,2026-08-24T00:00:00.000
257,307,207,346,3,258.000000,1,1,2026-08-24T00:00:00.000
258,304,115,337,3,259.000000,1,1,2026-08-24T00:00:00.000
259,428,423,8,2,260.000000,1,1,2026-08-24T00:00:00.000
260,196,455,306,5,261.000000,1,1,2026-08-24T00:00:00.000
261,208,460,321,1,262.000000,1,1,2026-08-24T00:00:00.000
262,89,246,258,3,263.000000,1,1,2026-08-24T00:00:00.000
263,285,274,30,3,264.000000,1,1,2026-08-24T00:00:00.000
264,350,161,148,3,265.000000,1,1,2026-08-24T00:00:00.000
265,249,91,250,5,266.000000,1,1,2026-08-24T00:00:00.000
266,384,347,348,4,267.000000,1,1,2026-08-24T00:00:00.000
267,11,470,76,5,268.000000,1,1,2026-08-24T00:00:00.000
268,90,55,48,2,269.000000,1,1,2026-08-24T00:00:00.000
269,269,498,194,3,270.000000,1,1,2026-08-24T00:00:00.000
270,266,340,203,2,271.000000,1,1,2026-08-24T00:00:00.000
271,477,224,250,2,272.000000,1,1,2026-08-24T00:00:00.000
272,116,424,115,3,273.000000,1,1,2026-08-24T00:00:00.000
273,235,156,205,1,274.000000,1,1,2026-08-24T00:00:00.000
274,414,272,158,4,275.000000,1,1,2026-08-24T00:00:00.000
275,438,293,106,5,276.000000,1,1,2026-08-24T00:00:00.000
276,319,105,338,1,277.000000,1,1,2026-08-24T00:00:00.000
277,88,94,11,1,278.000000,1,1,2026-08-24T00:00:00.000
278,339,207,244,2,279.000000,1,1,2026-08-24T00:00:00.000
279,446,126,133,2,280.000000,1,1,2026-08-24T00:00:00.000
280,477,203,36,5,281.000000,1,1,2026-08-24T00:00:00.000
281,445,456,311,2,282.000000,1,1,2026-08-24T00:00:00.000
282,343,180,347,5,283.000000,1,1,2026-08-24T00:00:00.000
283,426,303,155,5,284.000000,1,1,2026-08-24T00:00:00.000
284,444,164,15,4,285.000000,1,1,2026-08-24T00:00:00.000
285,437,104,224,3,286.000000,1,1,2026-08-24T00:00:00.000
286,64,7,88,4,287.000000,1,1,2026-08-24T00:00:00.000
287,201,103,124,2,288.000000,1,1,2026-08-24T00:00:00.000
288,178,206,214,4,289.000000,1,1,2026-08-24T00:00:00.000
289,205,119,192,4,290.000000,1,1,2026-08-24T00:00:00.000
290,346,164,246,4,291.000000,1,1,2026-08-24T00:00:00.000
291,228,78,155,3,292.000000,1,1,2026-08-24T00:00:00.000
292,274,391,288,1,293.000000,1,1,2026-08-24T00:00:00.000
293,217,397,348,3,294.000000,1,1,2026-08-24T00:00:00.000
294,400,63,297,2,295.000000,1,1,2026-08-24T00:00:00.000
295,191,156,186,1,296.000000,1,1,2026-08-24T00:00:00.000
296,120,397,62,1,297.000000,1,1,2026-08-24T00:00:00.000
297,317,327,111,1,298.000000,1,1,2026-08-24T00:00:00.000
298,225,201,232,5,299.000000,1,1,2026-08-24T00:00:00.000
299,450,472,258,4,300.000000,1,1,2026-08-24T00:00:00.000
300,236,323,228,2,301.000000,1,1,2026-08-24T00:00:00.000
301,195,69,132,3,302.000000,1,1,2026-08-24T00:00:00.000
302,11,237,308,1,303.000000,1,1,2026-08-24T00:00:00.000
303,11,243,228,2,304.000000,1,1,2026-08-24T00:00:00.000
304,209,256,190,2,305.000000,1,1,2026-08-24T00:00:00.000
305,457,481,222,4,306.000000,1,1,2026-08-24T00:00:00.000
306,461,143,124,4,307.000000,1,1,2026-08-24T00:00:00.000
307,479,210,164,3,308.000000,1,1,2026-08-24T00:00:00.000
308,100,410,64,3,309.000000,1,1,2026-08-24T00:00:00.000
309,388,288,335,3,310.000000,1,1,2026-08-24T00:00:00.000
310,421,335,312,2,311.000000,1,1,2026-08-24T00:00:00.000
311,189,17,74,1,312.000000,1,1,2026-08-24T00:00:00.000
312,235,434,183,1,313.000000,1,1,2026-08-24T00:00:00.000
313,23,482,239,4,314.000000,1,1,2026-08-24T00:00:00.000
314,81,34,73,2,315.000000,1,1,2026-08-24T00:00:00.000
315,243,481,213,5,316.000000,1,1,2026-08-24T00:00:00.000
316,94,49,159,5,317.000000,1,1,2026-08-24T00:00:00.000
317,88,388,241,1,318.000000,1,1,2026-08-24T00:00:00.000
318,458,344,80,4,319.000000,1,1,2026-08-24T00:00:00.000
319,15,161,138,1,320.000000,1,1,2026-08-24T00:00:00.000
320,451,197,83,2,321.000000,1,1,2026-08-24T00:00:00.000
321,104,446,46,5,322.000000,1,1,2026-08-24T00:00:00.000
322,265,402,288,1,323.000000,1,1,2026-08-24T00:00:00.000
323,480,350,279,1,324.000000,1,1,2026-08-24T00:00:00.000
324,362,275,342,2,325.000000,1,1,2026-08-24T00:00:00.000
325,459,1,198,5,326.000000,1,1,2026-08-24T00:00:00.000
326,321,122,40,3,327.000000,1,1,2026-08-24T00:00:00.000
327,414,386,161,4,328.000000,1,1,2026-08-24T00:00:00.000
328,198,44,173,1,329.000000,1,1,2026-08-24T00:00:00.000
329,466,139,7,5,330.000000,1,1,2026-08-24T00:00:00.000
330,291,417,326,1,331.000000,1,1,2026-08-24T00:00:00.000
331,256,189,32,4,332.000000,1,1,2026-08-24T00:00:00.000
332,392,127,168,2,333.000000,1,1,2026-08-24T00:00:00.000
333,106,390,105,1,334.000000,1,1,2026-08-24T00:00:00.000
334,217,314,323,3,335.000000,1,1,2026-08-24T00:00:00.000
335,374,166,299,5,336.000000,1,1,2026-08-24T00:00:00.000
336,410,202,130,1,337.000000,1,1,2026-08-24T00:00:00.000
337,481,94,179,1,338.000000,1,1,2026-08-24T00:00:00.000
338,484,413,55,5,339.000000,1,1,2026-08-24T00:00:00.000
339,364,377,220,3,340.000000,1,1,2026-08-24T00:00:00.000
340,324,394,160,2,341.000000,1,1,2026-08-24T00:00:00.000
341,285,64,26,3,342.000000,1,1,2026-08-24T00:00:00.000
342,251,280,25,1,343.000000,1,1,2026-08-24T00:00:00.000
343,353,367,118,1,344.000000,1,1,2026-08-24T00:00:00.000
344,180,295,264,3,345.000000,1,1,2026-08-24T00:00:00.000
345,314,455,184,3,346.000000,1,1,2026-08-24T00:00:00.000
346,73,241,73,4,347.000000,1,1,2026-08-24T00:00:00.000
347,164,278,280,5,348.000000,1,1,2026-08-24T00:00:00.000
348,174,125,166,1,349.000000,1,1,2026-08-24T00:00:00.000
349,241,322,313,4,350.000000,1,1,2026-08-24T00:00:00.000
350,32,19,170,2,351.000000,1,1,2026-08-24T00:00:00.000
351,455,316,255,4,352.000000,1,1,2026-08-24T00:00:00.000
352,30,461,168,3,353.000000,1,1,2026-08-24T00:00:00.000
353,56,12,156,4,354.000000,1,1,2026-08-24T00:00:00.000
354,162,475,200,5,355.000000,1,1,2026-08-24T00:00:00.000
355,56,184,270,1,356.000000,1,1,2026-08-24T00:00:00.000
356,145,216,267,1,357.000000,1,1,2026-08-24T00:00:00.000
357,156,486,40,1,358.000000,1,1,2026-08-24T00:00:00.000
358,83,339,9,1,359.000000,1,1,2026-08-24T00:00:00.000
359,247,39,321,1,360.000000,1,1,2026-08-24T00:00:00.000
360,25,10,337,2,361.000000,1,1,2026-08-24T00:00:00.000
361,147,336,148,2,362.000000,1,1,2026-08-24T00:00:00.000
362,372,41,349,4,363.000000,1,1,2026-08-24T00:00:00.000
363,383,397,340,3,364.000000,1,1,2026-08-24T00:00:00.000
364,155,141,41,5,365.000000,1,1,2026-08-24T00:00:00.000
365,374,194,238,5,366.000000,1,1,2026-08-24T00:00:00.000
366,499,251,62,4,367.000000,1,1,2026-08-24T00:00:00.000
367,78,387,109,1,368.000000,1,1,2026-08-24T00:00:00.000
368,285,145,28,1,369.000000,1,1,2026-08-24T00:00:00.000
369,71,213,195,2,370.000000,1,1,2026-08-24T00:00:00.000
370,413,73,36,5,371.000000,1,1,2026-08-24T00:00:00.000
371,434,100,70,3,372.000000,1,1,2026-08-24T00:00:00.000
372,10,77,115,5,373.000000,1,1,2026-08-24T00:00:00.000
373,493,456,292,3,374.000000,1,1,2026-08-24T00:00:00.000
374,34,402,146,1,375.000000,1,1,2026-08-24T00:00:00.000
375,326,391,235,5,376.000000,1,1,2026-08-24T00:00:00.000
376,311,491,203,1,377.000000,1,1,2026-08-24T00:00:00.000
377,150,84,109,4,378.000000,1,1,2026-08-24T00:00:00.000
378,304,261,172,4,379.000000,1,1,2026-08-24T00:00:00.000
379,327,311,54,5,380.000000,1,1,2026-08-24T00:00:00.000
380,19,170,92,3,381.000000,1,1,2026-08-24T00:00:00.000
381,472,245,161,5,382.000000,1,1,2026-08-24T00:00:00.000
382,18,212,346,5,383.000000,1,1,2026-08-24T00:00:00.000
383,383,416,67,4,384.000000,1,1,2026-08-24T00:00:00.000
384,429,435,302,4,385.000000,1,1,2026-08-24T00:00:00.000
385,256,421,178,4,386.000000,1,1,2026-08-24T00:00:00.000
386,375,239,66,4,387.000000,1,1,2026-08-24T00:00:00.000
387,132,332,174,4,388.000000,1,1,2026-08-24T00:00:00.000
388,281,457,306,4,389.000000,1,1,2026-08-24T00:00:00.000
389,394,229,289,1,390.000000,1,1,2026-08-24T00:00:00.000
390,373,39,292,5,391.000000,1,1,2026-08-24T00:00:00.000
391,112,296,293,2,392.000000,1,1,2026-08-24T00:00:00.000
392,406,438,240,1,393.000000,1,1,2026-08-24T00:00:00.000
393,76,69,128,5,394.000000,1,1,2026-08-24T00:00:00.000
394,223,461,189,5,395.000000,1,1,2026-08-24T00:00:00.000
395,71,191,134,5,396.000000,1,1,2026-08-24T00:00:00.000
396,392,196,315,3,397.000000,1,1,2026-08-24T00:00:00.000
397,59,291,315,2,398.000000,1,1,2026-08-24T00:00:00.000
398,302,273,215,3,399.000000,1,1,2026-08-24T00:00:00.000
399,270,351,123,3,400.000000,1,1,2026-08-24T00:00:00.000
400,335,309,36,4,401.000000,1,1,2026-08-24T00:00:00.000
401,286,393,184,5,402.000000,1,1,2026-08-24T00:00:00.000
402,60,121,248,5,403.000000,1,1,2026-08-24T00:00:00.000
403,275,67,188,3,404.000000,1,1,2026-08-24T00:00:00.000
404,57,379,134,2,405.000000,1,1,2026-08-24T00:00:00.000
405,159,257,203,3,406.000000,1,1,2026-08-24T00:00:00.000
