SafetyPermitEmployeeKey,SafetyPermitTypeKey,EmployeeKey,AuthorizationStartDate,AuthorizationEndDate,SourceSystemKey,BatchId,LoadedAtUtc
29,311,67,2020-01-30,2021-01-29,1,1,2026-08-24T00:00:00.000
30,66,174,2020-01-31,2021-01-30,1,1,2026-08-24T00:00:00.000
31,314,156,2020-02-01,2021-01-31,1,1,2026-08-24T00:00:00.000
32,124,385,2020-02-02,2021-02-01,1,1,2026-08-24T00:00:00.000
33,276,170,2020-02-03,2021-02-02,1,1,2026-08-24T00:00:00.000
34,127,298,2020-02-04,2021-02-03,1,1,2026-08-24T00:00:00.000
35,130,351,2020-02-05,2021-02-04,1,1,2026-08-24T00:00:00.000
36,255,495,2020-02-06,2021-02-05,1,1,2026-08-24T00:00:00.000
37,305,333,2020-02-07,2021-02-06,1,1,2026-08-24T00:00:00.000
38,129,16,2020-02-08,2021-02-07,1,1,2026-08-24T00:00:00.000
39,103,152,2020-02-09,2021-02-08,1,1,2026-08-24T00:00:00.000
40,283,139,2020-02-10,2021-02-09,1,1,2026-08-24T00:00:00.000
41,23,120,2020-02-11,2021-02-10,1,1,2026-08-24T00:00:00.000
42,244,1,2020-02-12,2021-02-11,1,1,2026-08-24T00:00:00.000
43,66,187,2020-02-13,2021-02-12,1,1,2026-08-24T00:00:00.000
44,134,404,2020-02-14,2021-02-13,1,1,2026-08-24T00:00:00.000
45,231,300,2020-02-15,2021-02-14,1,1,2026-08-24T00:00:00.000
46,73,300,2020-02-16,2021-02-15,1,1,2026-08-24T00:00:00.000
47,311,185,2020-02-17,2021-02-16,1,1,2026-08-24T00:00:00.000
48,22,226,2020-02-18,2021-02-17,1,1,2026-08-24T00:00:00.000
49,266,258,2020-02-19,2021-02-18,1,1,2026-08-24T00:00:00.000
50,146,344,2020-02-20,2021-02-19,1,1,2026-08-24T00:00:00.000
51,284,116,2020-02-21,2021-02-20,1,1,2026-08-24T00:00:00.000
52,140,484,2020-02-22,2021-02-21,1,1,2026-08-24T00:00:00.000
53,315,398,2020-02-23,2021-02-22,1,1,2026-08-24T00:00:00.000
54,208,137,2020-02-24,2021-02-23,1,1,2026-08-24T00:00:00.000
55,42,404,2020-02-25,2021-02-24,1,1,2026-08-24T00:00:00.000
56,259,294,2020-02-26,2021-02-25,1,1,2026-08-24T00:00:00.000
57,115,499,2020-02-27,2021-02-26,1,1,2026-08-24T00:00:00.000
58,37,89,2020-02-28,2021-02-27,1,1,2026-08-24T00:00:00.000
59,205,95,2020-02-29,2021-02-28,1,1,2026-08-24T00:00:00.000
60,251,175,2020-03-01,2021-03-01,1,1,2026-08-24T00:00:00.000
61,148,194,2020-03-02,2021-03-02,1,1,2026-08-24T00:00:00.000
62,215,268,2020-03-03,2021-03-03,1,1,2026-08-24T00:00:00.000
63,310,148,2020-03-04,2021-03-04,1,1,2026-08-24T00:00:00.000
64,153,29,2020-03-05,2021-03-05,1,1,2026-08-24T00:00:00.000
65,274,248,2020-03-06,2021-03-06,1,1,2026-08-24T00:00:00.000
66,218,380,2020-03-07,2021-03-07,1,1,2026-08-24T00:00:00.000
67,279,114,2020-03-08,2021-03-08,1,1,2026-08-24T00:00:00.000
68,14,122,2020-03-09,2021-03-09,1,1,2026-08-24T00:00:00.000
69,156,79,2020-03-10,2021-03-10,1,1,2026-08-24T00:00:00.000
70,165,398,2020-03-11,2021-03-11,1,1,2026-08-24T00:00:00.000
71,217,53,2020-03-12,2021-03-12,1,1,2026-08-24T00:00:00.000
72,112,319,2020-03-13,2021-03-13,1,1,2026-08-24T00:00:00.000
73,117,24,2020-03-14,2021-03-14,1,1,2026-08-24T00:00:00.000
74,284,415,2020-03-15,2021-03-15,1,1,2026-08-24T00:00:00.000
75,40,220,2020-03-16,2021-03-16,1,1,2026-08-24T00:00:00.000
76,130,123,2020-03-17,2021-03-17,1,1,2026-08-24T00:00:00.000
77,195,4,2020-03-18,2021-03-18,1,1,2026-08-24T00:00:00.000
78,161,127,2020-03-19,2021-03-19,1,1,2026-08-24T00:00:00.000
79,144,354,2020-03-20,2021-03-20,1,1,2026-08-24T00:00:00.000
80,260,36,2020-03-21,2021-03-21,1,1,2026-08-24T00:00:00.000
81,286,317,2020-03-22,2021-03-22,1,1,2026-08-24T00:00:00.000
82,54,446,2020-03-23,2021-03-23,1,1,2026-08-24T00:00:00.000
83,12,26,2020-03-24,2021-03-24,1,1,2026-08-24T00:00:00.000
84,281,382,2020-03-25,2021-03-25,1,1,2026-08-24T00:00:00.000
85,301,215,2020-03-26,2021-03-26,1,1,2026-08-24T00:00:00.000
86,303,20,2020-03-27,2021-03-27,1,1,2026-08-24T00:00:00.000
87,33,280,2020-03-28,2021-03-28,1,1,2026-08-24T00:00:00.000
88,319,34,2020-03-29,2021-03-29,1,1,2026-08-24T00:00:00.000
89,319,268,2020-03-30,2021-03-30,1,1,2026-08-24T00:00:00.000
90,295,372,2020-03-31,2021-03-31,1,1,2026-08-24T00:00:00.000
91,59,2,2020-04-01,2021-04-01,1,1,2026-08-24T00:00:00.000
92,90,257,2020-04-02,2021-04-02,1,1,2026-08-24T00:00:00.000
93,302,170,2020-04-03,2021-04-03,1,1,2026-08-24T00:00:00.000
94,233,251,2020-04-04,2021-04-04,1,1,2026-08-24T00:00:00.000
95,93,91,2020-04-05,2021-04-05,1,1,2026-08-24T00:00:00.000
96,239,428,2020-04-06,2021-04-06,1,1,2026-08-24T00:00:00.000
97,5,445,2020-04-07,2021-04-07,1,1,2026-08-24T00:00:00.000
98,240,173,2020-04-08,2021-04-08,1,1,2026-08-24T00:00:00.000
99,311,100,2020-04-09,2021-04-09,1,1,2026-08-24T00:00:00.000
100,303,141,2020-04-10,2021-04-10,1,1,2026-08-24T00:00:00.000
101,74,290,2020-04-11,2021-04-11,1,1,2026-08-24T00:00:00.000
102,115,186,2020-04-12,2021-04-12,1,1,2026-08-24T00:00:00.000
103,284,374,2020-04-13,2021-04-13,1,1,2026-08-24T00:00:00.000
104,257,47,2020-04-14,2021-04-14,1,1,2026-08-24T00:00:00.000
105,149,449,2020-04-15,2021-04-15,1,1,2026-08-24T00:00:00.000
106,107,473,2020-04-16,2021-04-16,1,1,2026-08-24T00:00:00.000
107,96,409,2020-04-17,2021-04-17,1,1,2026-08-24T00:00:00.000
108,280,454,2020-04-18,2021-04-18,1,1,2026-08-24T00:00:00.000
109,254,480,2020-04-19,2021-04-19,1,1,2026-08-24T00:00:00.000
110,46,156,2020-04-20,2021-04-20,1,1,2026-08-24T00:00:00.000
111,287,317,2020-04-21,2021-04-21,1,1,2026-08-24T00:00:00.000
112,320,152,2020-04-22,2021-04-22,1,1,2026-08-24T00:00:00.000
113,75,475,2020-04-23,2021-04-23,1,1,2026-08-24T00:00:00.000
114,68,250,2020-04-24,2021-04-24,1,1,2026-08-24T00:00:00.000
115,71,274,2020-04-25,2021-04-25,1,1,2026-08-24T00:00:00.000
116,131,88,2020-04-26,2021-04-26,1,1,2026-08-24T00:00:00.000
117,313,187,2020-04-27,2021-04-27,1,1,2026-08-24T00:00:00.000
118,313,154,2020-04-28,2021-04-28,1,1,2026-08-24T00:00:00.000
119,120,314,2020-04-29,2021-04-29,1,1,2026-08-24T00:00:00.000
120,231,458,2020-04-30,2021-04-30,1,1,2026-08-24T00:00:00.000
121,75,243,2020-05-01,2021-05-01,1,1,2026-08-24T00:00:00.000
122,195,89,2020-05-02,2021-05-02,1,1,2026-08-24T00:00:00.000
123,294,193,2020-05-03,2021-05-03,1,1,2026-08-24T00:00:00.000
124,200,48,2020-05-04,2021-05-04,1,1,2026-08-24T00:00:00.000
125,219,326,2020-05-05,2021-05-05,1,1,2026-08-24T00:00:00.000
126,198,437,2020-05-06,2021-05-06,1,1,2026-08-24T00:00:00.000
127,188,289,2020-05-07,2021-05-07,1,1,2026-08-24T00:00:00.000
128,233,486,2020-05-08,2021-05-08,1,1,2026-08-24T00:00:00.000
129,60,154,2020-05-09,2021-05-09,1,1,2026-08-24T00:00:00.000
130,110,296,2020-05-10,2021-05-10,1,1,2026-08-24T00:00:00.000
131,140,460,2020-05-11,2021-05-11,1,1,2026-08-24T00:00:00.000
132,119,209,2020-05-12,2021-05-12,1,1,2026-08-24T00:00:00.000
133,81,29,2020-05-13,2021-05-13,1,1,2026-08-24T00:00:00.000
134,190,53,2020-05-14,2021-05-14,1,1,2026-08-24T00:00:00.000
135,108,140,2020-05-15,2021-05-15,1,1,2026-08-24T00:00:00.000
136,162,440,2020-05-16,2021-05-16,1,1,2026-08-24T00:00:00.000
137,110,489,2020-05-17,2021-05-17,1,1,2026-08-24T00:00:00.000
138,224,15,2020-05-18,2021-05-18,1,1,2026-08-24T00:00:00.000
139,298,188,2020-05-19,2021-05-19,1,1,2026-08-24T00:00:00.000
140,242,423,2020-05-20,2021-05-20,1,1,2026-08-24T00:00:00.000
141,154,129,2020-05-21,2021-05-21,1,1,2026-08-24T00:00:00.000
142,243,299,2020-05-22,2021-05-22,1,1,2026-08-24T00:00:00.000
143,196,144,2020-05-23,2021-05-23,1,1,2026-08-24T00:00:00.000
144,286,369,2020-05-24,2021-05-24,1,1,2026-08-24T00:00:00.000
145,184,326,2020-05-25,2021-05-25,1,1,2026-08-24T00:00:00.000
146,244,58,2020-05-26,2021-05-26,1,1,2026-08-24T00:00:00.000
147,264,162,2020-05-27,2021-05-27,1,1,2026-08-24T00:00:00.000
148,96,65,2020-05-28,2021-05-28,1,1,2026-08-24T00:00:00.000
149,269,51,2020-05-29,2021-05-29,1,1,2026-08-24T00:00:00.000
150,153,179,2020-05-30,2021-05-30,1,1,2026-08-24T00:00:00.000
151,125,114,2020-05-31,2021-05-31,1,1,2026-08-24T00:00:00.000
152,277,71,2020-06-01,2021-06-01,1,1,2026-08-24T00:00:00.000
153,171,7,2020-06-02,2021-06-02,1,1,2026-08-24T00:00:00.000
154,42,415,2020-06-03,2021-06-03,1,1,2026-08-24T00:00:00.000
155,114,272,2020-06-04,2021-06-04,1,1,2026-08-24T00:00:00.000
156,152,198,2020-06-05,2021-06-05,1,1,2026-08-24T00:00:00.000
157,245,26,2020-06-06,2021-06-06,1,1,2026-08-24T00:00:00.000
158,180,67,2020-06-07,2021-06-07,1,1,2026-08-24T00:00:00.000
159,294,498,2020-06-08,2021-06-08,1,1,2026-08-24T00:00:00.000
160,248,360,2020-06-09,2021-06-09,1,1,2026-08-24T00:00:00.000
161,152,74,2020-06-10,2021-06-10,1,1,2026-08-24T00:00:00.000
162,148,209,2020-06-11,2021-06-11,1,1,2026-08-24T00:00:00.000
163,304,273,2020-06-12,2021-06-12,1,1,2026-08-24T00:00:00.000
164,208,355,2020-06-13,2021-06-13,1,1,2026-08-24T00:00:00.000
165,137,184,2020-06-14,2021-06-14,1,1,2026-08-24T00:00:00.000
166,217,449,2020-06-15,2021-06-15,1,1,2026-08-24T00:00:00.000
167,86,215,2020-06-16,2021-06-16,1,1,2026-08-24T00:00:00.000
168,313,319,2020-06-17,2021-06-17,1,1,2026-08-24T00:00:00.000
169,199,244,2020-06-18,2021-06-18,1,1,2026-08-24T00:00:00.000
170,317,426,2020-06-19,2021-06-19,1,1,2026-08-24T00:00:00.000
171,280,380,2020-06-20,2021-06-20,1,1,2026-08-24T00:00:00.000
172,46,251,2020-06-21,2021-06-21,1,1,2026-08-24T00:00:00.000
173,86,91,2020-06-22,2021-06-22,1,1,2026-08-24T00:00:00.000
174,223,481,2020-06-23,2021-06-23,1,1,2026-08-24T00:00:00.000
175,103,448,2020-06-24,2021-06-24,1,1,2026-08-24T00:00:00.000
176,43,351,2020-06-25,2021-06-25,1,1,2026-08-24T00:00:00.000
177,57,413,2020-06-26,2021-06-26,1,1,2026-08-24T00:00:00.000
178,8,303,2020-06-27,2021-06-27,1,1,2026-08-24T00:00:00.000
179,212,465,2020-06-28,2021-06-28,1,1,2026-08-24T00:00:00.000
180,43,21,2020-06-29,2021-06-29,1,1,2026-08-24T00:00:00.000
181,87,227,2020-06-30,2021-06-30,1,1,2026-08-24T00:00:00.000
182,245,91,2020-07-01,2021-07-01,1,1,2026-08-24T00:00:00.000
183,116,13,2020-07-02,2021-07-02,1,1,2026-08-24T00:00:00.000
184,10,30,2020-07-03,2021-07-03,1,1,2026-08-24T00:00:00.000
185,124,4,2020-07-04,2021-07-04,1,1,2026-08-24T00:00:00.000
186,20,197,2020-07-05,2021-07-05,1,1,2026-08-24T00:00:00.000
187,53,418,2020-07-06,2021-07-06,1,1,2026-08-24T00:00:00.000
188,104,226,2020-07-07,2021-07-07,1,1,2026-08-24T00:00:00.000
189,86,460,2020-07-08,2021-07-08,1,1,2026-08-24T00:00:00.000
190,195,364,2020-07-09,2021-07-09,1,1,2026-08-24T00:00:00.000
191,286,412,2020-07-10,2021-07-10,1,1,2026-08-24T00:00:00.000
192,248,207,2020-07-11,2021-07-11,1,1,2026-08-24T00:00:00.000
193,217,58,2020-07-12,2021-07-12,1,1,2026-08-24T00:00:00.000
194,255,500,2020-07-13,2021-07-13,1,1,2026-08-24T00:00:00.000
195,73,488,2020-07-14,2021-07-14,1,1,2026-08-24T00:00:00.000
196,266,372,2020-07-15,2021-07-15,1,1,2026-08-24T00:00:00.000
197,282,317,2020-07-16,2021-07-16,1,1,2026-08-24T00:00:00.000
198,233,157,2020-07-17,2021-07-17,1,1,2026-08-24T00:00:00.000
199,116,75,2020-07-18,2021-07-18,1,1,2026-08-24T00:00:00.000
200,22,249,2020-07-19,2021-07-19,1,1,2026-08-24T00:00:00.000
201,119,73,2020-07-20,2021-07-20,1,1,2026-08-24T00:00:00.000
202,193,19,2020-07-21,2021-07-21,1,1,2026-08-24T00:00:00.000
203,180,372,2020-07-22,2021-07-22,1,1,2026-08-24T00:00:00.000
204,150,386,2020-07-23,2021-07-23,1,1,2026-08-24T00:00:00.000
205,191,56,2020-07-24,2021-07-24,1,1,2026-08-24T00:00:00.000
206,147,465,2020-07-25,2021-07-25,1,1,2026-08-24T00:00:00.000
207,9,330,2020-07-26,2021-07-26,1,1,2026-08-24T00:00:00.000
208,127,458,2020-07-27,2021-07-27,1,1,2026-08-24T00:00:00.000
209,200,198,2020-07-28,2021-07-28,1,1,2026-08-24T00:00:00.000
210,74,419,2020-07-29,2021-07-29,1,1,2026-08-24T00:00:00.000
211,201,128,2020-07-30,2021-07-30,1,1,2026-08-24T00:00:00.000
212,121,239,2020-07-31,2021-07-31,1,1,2026-08-24T00:00:00.000
213,119,258,2020-08-01,2021-08-01,1,1,2026-08-24T00:00:00.000
214,80,5,2020-08-02,2021-08-02,1,1,2026-08-24T00:00:00.000
215,316,446,2020-08-03,2021-08-03,1,1,2026-08-24T00:00:00.000
216,281,270,2020-08-04,2021-08-04,1,1,2026-08-24T00:00:00.000
217,161,47,2020-08-05,2021-08-05,1,1,2026-08-24T00:00:00.000
218,251,428,2020-08-06,2021-08-06,1,1,2026-08-24T00:00:00.000
219,211,81,2020-08-07,2021-08-07,1,1,2026-08-24T00:00:00.000
220,84,146,2020-08-08,2021-08-08,1,1,2026-08-24T00:00:00.000
221,41,287,2020-08-09,2021-08-09,1,1,2026-08-24T00:00:00.000
222,198,97,2020-08-10,2021-08-10,1,1,2026-08-24T00:00:00.000
223,222,272,2020-08-11,2021-08-11,1,1,2026-08-24T00:00:00.000
224,181,50,2020-08-12,2021-08-12,1,1,2026-08-24T00:00:00.000
225,228,179,2020-08-13,2021-08-13,1,1,2026-08-24T00:00:00.000
226,314,332,2020-08-14,2021-08-14,1,1,2026-08-24T00:00:00.000
227,108,436,2020-08-15,2021-08-15,1,1,2026-08-24T00:00:00.000
228,301,188,2020-08-16,2021-08-16,1,1,2026-08-24T00:00:00.000
229,143,369,2020-08-17,2021-08-17,1,1,2026-08-24T00:00:00.000
230,98,44,2020-08-18,2021-08-18,1,1,2026-08-24T00:00:00.000
231,86,126,2020-08-19,2021-08-19,1,1,2026-08-24T00:00:00.000
232,31,20,2020-08-20,2021-08-20,1,1,2026-08-24T00:00:00.000
233,220,310,2020-08-21,2021-08-21,1,1,2026-08-24T00:00:00.000
234,117,32,2020-08-22,2021-08-22,1,1,2026-08-24T00:00:00.000
235,80,72,2020-08-23,2021-08-23,1,1,2026-08-24T00:00:00.000
236,18,300,2020-08-24,2021-08-24,1,1,2026-08-24T00:00:00.000
237,172,238,2020-08-25,2021-08-25,1,1,2026-08-24T00:00:00.000
238,236,446,2020-08-26,2021-08-26,1,1,2026-08-24T00:00:00.000
239,93,366,2020-08-27,2021-08-27,1,1,2026-08-24T00:00:00.000
240,55,406,2020-08-28,2021-08-28,1,1,2026-08-24T00:00:00.000
241,4,261,2020-08-29,2021-08-29,1,1,2026-08-24T00:00:00.000
242,216,106,2020-08-30,2021-08-30,1,1,2026-08-24T00:00:00.000
243,141,74,2020-08-31,2021-08-31,1,1,2026-08-24T00:00:00.000
244,273,309,2020-09-01,2021-09-01,1,1,2026-08-24T00:00:00.000
245,157,235,2020-09-02,2021-09-02,1,1,2026-08-24T00:00:00.000
246,53,143,2020-09-03,2021-09-03,1,1,2026-08-24T00:00:00.000
247,279,73,2020-09-04,2021-09-04,1,1,2026-08-24T00:00:00.000
248,178,433,2020-09-05,2021-09-05,1,1,2026-08-24T00:00:00.000
249,207,313,2020-09-06,2021-09-06,1,1,2026-08-24T00:00:00.000
250,102,357,2020-09-07,2021-09-07,1,1,2026-08-24T00:00:00.000
251,90,478,2020-09-08,2021-09-08,1,1,2026-08-24T00:00:00.000
252,169,62,2020-09-09,2021-09-09,1,1,2026-08-24T00:00:00.000
253,30,164,2020-09-10,2021-09-10,1,1,2026-08-24T00:00:00.000
254,221,385,2020-09-11,2021-09-11,1,1,2026-08-24T00:00:00.000
255,212,154,2020-09-12,2021-09-12,1,1,2026-08-24T00:00:00.000
256,262,96,2020-09-13,2021-09-13,1,1,2026-08-24T00:00:00.000
257,64,207,2020-09-14,2021-09-14,1,1,2026-08-24T00:00:00.000
258,162,320,2020-09-15,2021-09-15,1,1,2026-08-24T00:00:00.000
259,235,217,2020-09-16,2021-09-16,1,1,2026-08-24T00:00:00.000
260,279,360,2020-09-17,2021-09-17,1,1,2026-08-24T00:00:00.000
261,2,470,2020-09-18,2021-09-18,1,1,2026-08-24T00:00:00.000
262,116,83,2020-09-19,2021-09-19,1,1,2026-08-24T00:00:00.000
263,100,131,2020-09-20,2021-09-20,1,1,2026-08-24T00:00:00.000
264,131,130,2020-09-21,2021-09-21,1,1,2026-08-24T00:00:00.000
265,314,72,2020-09-22,2021-09-22,1,1,2026-08-24T00:00:00.000
266,33,111,2020-09-23,2021-09-23,1,1,2026-08-24T00:00:00.000
267,119,297,2020-09-24,2021-09-24,1,1,2026-08-24T00:00:00.000
268,12,226,2020-09-25,2021-09-25,1,1,2026-08-24T00:00:00.000
269,292,252,2020-09-26,2021-09-26,1,1,2026-08-24T00:00:00.000
270,299,290,2020-09-27,2021-09-27,1,1,2026-08-24T00:00:00.000
271,134,314,2020-09-28,2021-09-28,1,1,2026-08-24T00:00:00.000
272,227,144,2020-09-29,2021-09-29,1,1,2026-08-24T00:00:00.000
273,286,278,2020-09-30,2021-09-30,1,1,2026-08-24T00:00:00.000
274,226,240,2020-10-01,2021-10-01,1,1,2026-08-24T00:00:00.000
275,274,252,2020-10-02,2021-10-02,1,1,2026-08-24T00:00:00.000
276,124,25,2020-10-03,2021-10-03,1,1,2026-08-24T00:00:00.000
277,148,172,2020-10-04,2021-10-04,1,1,2026-08-24T00:00:00.000
278,5,347,2020-10-05,2021-10-05,1,1,2026-08-24T00:00:00.000
279,111,234,2020-10-06,2021-10-06,1,1,2026-08-24T00:00:00.000
280,37,412,2020-10-07,2021-10-07,1,1,2026-08-24T00:00:00.000
281,70,169,2020-10-08,2021-10-08,1,1,2026-08-24T00:00:00.000
282,208,490,2020-10-09,2021-10-09,1,1,2026-08-24T00:00:00.000
283,35,79,2020-10-10,2021-10-10,1,1,2026-08-24T00:00:00.000
284,71,154,2020-10-11,2021-10-11,1,1,2026-08-24T00:00:00.000
285,153,395,2020-10-12,2021-10-12,1,1,2026-08-24T00:00:00.000
286,127,455,2020-10-13,2021-10-13,1,1,2026-08-24T00:00:00.000
287,220,149,2020-10-14,2021-10-14,1,1,2026-08-24T00:00:00.000
288,110,414,2020-10-15,2021-10-15,1,1,2026-08-24T00:00:00.000
289,142,262,2020-10-16,2021-10-16,1,1,2026-08-24T00:00:00.000
290,119,202,2020-10-17,2021-10-17,1,1,2026-08-24T00:00:00.000
291,172,244,2020-10-18,2021-10-18,1,1,2026-08-24T00:00:00.000
292,89,419,2020-10-19,2021-10-19,1,1,2026-08-24T00:00:00.000
293,28,249,2020-10-20,2021-10-20,1,1,2026-08-24T00:00:00.000
294,223,446,2020-10-21,2021-10-21,1,1,2026-08-24T00:00:00.000
295,161,16,2020-10-22,2021-10-22,1,1,2026-08-24T00:00:00.000
296,247,220,2020-10-23,2021-10-23,1,1,2026-08-24T00:00:00.000
297,101,159,2020-10-24,2021-10-24,1,1,2026-08-24T00:00:00.000
298,13,439,2020-10-25,2021-10-25,1,1,2026-08-24T00:00:00.000
299,260,429,2020-10-26,2021-10-26,1,1,2026-08-24T00:00:00.000
300,288,343,2020-10-27,2021-10-27,1,1,2026-08-24T00:00:00.000
301,23,483,2020-10-28,2021-10-28,1,1,2026-08-24T00:00:00.000
302,31,307,2020-10-29,2021-10-29,1,1,2026-08-24T00:00:00.000
303,215,227,2020-10-30,2021-10-30,1,1,2026-08-24T00:00:00.000
304,169,260,2020-10-31,2021-10-31,1,1,2026-08-24T00:00:00.000
305,189,241,2020-11-01,2021-11-01,1,1,2026-08-24T00:00:00.000
306,262,25,2020-11-02,2021-11-02,1,1,2026-08-24T00:00:00.000
307,124,221,2020-11-03,2021-11-03,1,1,2026-08-24T00:00:00.000
308,97,117,2020-11-04,2021-11-04,1,1,2026-08-24T00:00:00.000
309,145,430,2020-11-05,2021-11-05,1,1,2026-08-24T00:00:00.000
310,188,466,2020-11-06,2021-11-06,1,1,2026-08-24T00:00:00.000
311,194,260,2020-11-07,2021-11-07,1,1,2026-08-24T00:00:00.000
312,186,309,2020-11-08,2021-11-08,1,1,2026-08-24T00:00:00.000
313,194,369,2020-11-09,2021-11-09,1,1,2026-08-24T00:00:00.000
314,256,69,2020-11-10,2021-11-10,1,1,2026-08-24T00:00:00.000
315,150,166,2020-11-11,2021-11-11,1,1,2026-08-24T00:00:00.000
316,83,365,2020-11-12,2021-11-12,1,1,2026-08-24T00:00:00.000
317,269,309,2020-11-13,2021-11-13,1,1,2026-08-24T00:00:00.000
318,276,154,2020-11-14,2021-11-14,1,1,2026-08-24T00:00:00.000
319,312,367,2020-11-15,2021-11-15,1,1,2026-08-24T00:00:00.000
320,280,3,2020-11-16,2021-11-16,1,1,2026-08-24T00:00:00.000
321,307,368,2020-11-17,2021-11-17,1,1,2026-08-24T00:00:00.000
322,245,496,2020-11-18,2021-11-18,1,1,2026-08-24T00:00:00.000
323,208,146,2020-11-19,2021-11-19,1,1,2026-08-24T00:00:00.000
324,312,93,2020-11-20,2021-11-20,1,1,2026-08-24T00:00:00.000
325,320,333,2020-11-21,2021-11-21,1,1,2026-08-24T00:00:00.000
326,198,127,2020-11-22,2021-11-22,1,1,2026-08-24T00:00:00.000
327,125,117,2020-11-23,2021-11-23,1,1,2026-08-24T00:00:00.000
328,257,291,2020-11-24,2021-11-24,1,1,2026-08-24T00:00:00.000
329,259,364,2020-11-25,2021-11-25,1,1,2026-08-24T00:00:00.000
330,254,388,2020-11-26,2021-11-26,1,1,2026-08-24T00:00:00.000
331,158,167,2020-11-27,2021-11-27,1,1,2026-08-24T00:00:00.000
332,302,237,2020-11-28,2021-11-28,1,1,2026-08-24T00:00:00.000
333,135,481,2020-11-29,2021-11-29,1,1,2026-08-24T00:00:00.000
334,53,435,2020-11-30,2021-11-30,1,1,2026-08-24T00:00:00.000
335,15,181,2020-12-01,2021-12-01,1,1,2026-08-24T00:00:00.000
336,64,210,2020-12-02,2021-12-02,1,1,2026-08-24T00:00:00.000
337,26,118,2020-12-03,2021-12-03,1,1,2026-08-24T00:00:00.000
338,273,371,2020-12-04,2021-12-04,1,1,2026-08-24T00:00:00.000
339,272,241,2020-12-05,2021-12-05,1,1,2026-08-24T00:00:00.000
340,270,60,2020-12-06,2021-12-06,1,1,2026-08-24T00:00:00.000
341,181,9,2020-12-07,2021-12-07,1,1,2026-08-24T00:00:00.000
342,41,248,2020-12-08,2021-12-08,1,1,2026-08-24T00:00:00.000
343,182,477,2020-12-09,2021-12-09,1,1,2026-08-24T00:00:00.000
344,286,91,2020-12-10,2021-12-10,1,1,2026-08-24T00:00:00.000
345,130,122,2020-12-11,2021-12-11,1,1,2026-08-24T00:00:00.000
346,89,417,2020-12-12,2021-12-12,1,1,2026-08-24T00:00:00.000
347,206,109,2020-12-13,2021-12-13,1,1,2026-08-24T00:00:00.000
348,195,322,2020-12-14,2021-12-14,1,1,2026-08-24T00:00:00.000
349,302,106,2020-12-15,2021-12-15,1,1,2026-08-24T00:00:00.000
350,257,168,2020-12-16,2021-12-16,1,1,2026-08-24T00:00:00.000
351,274,479,2020-12-17,2021-12-17,1,1,2026-08-24T00:00:00.000
352,147,5,2020-12-18,2021-12-18,1,1,2026-08-24T00:00:00.000
353,173,48,2020-12-19,2021-12-19,1,1,2026-08-24T00:00:00.000
