MaintenanceOrderSparePartKey,MaintenanceWorkOrderKey,MaintenanceSparePartKey,UnitOfMeasureKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
240,465,327,6,240,338.800000,0.0240,1,1,2026-08-24T00:00:00.000
241,129,315,5,241,340.170000,0.0241,1,1,2026-08-24T00:00:00.000
242,262,305,5,242,341.540000,0.0242,1,1,2026-08-24T00:00:00.000
243,480,169,4,243,342.910000,0.0243,1,1,2026-08-24T00:00:00.000
244,27,6,7,244,344.280000,0.0244,1,1,2026-08-24T00:00:00.000
245,123,462,7,245,345.650000,0.0245,1,1,2026-08-24T00:00:00.000
246,278,240,1,246,347.020000,0.0246,1,1,2026-08-24T00:00:00.000
247,332,484,4,247,348.390000,0.0247,1,1,2026-08-24T00:00:00.000
248,12,326,7,248,349.760000,0.0248,1,1,2026-08-24T00:00:00.000
249,216,326,6,249,351.130000,0.0249,1,1,2026-08-24T00:00:00.000
250,290,499,3,250,352.500000,0.0250,1,1,2026-08-24T00:00:00.000
251,13,423,7,251,353.870000,0.0251,1,1,2026-08-24T00:00:00.000
252,397,133,5,252,355.240000,0.0252,1,1,2026-08-24T00:00:00.000
253,43,253,7,253,356.610000,0.0253,1,1,2026-08-24T00:00:00.000
254,28,426,1,254,357.980000,0.0254,1,1,2026-08-24T00:00:00.000
255,441,496,5,255,359.350000,0.0255,1,1,2026-08-24T00:00:00.000
256,18,475,3,256,360.720000,0.0256,1,1,2026-08-24T00:00:00.000
257,479,157,7,257,362.090000,0.0257,1,1,2026-08-24T00:00:00.000
258,469,61,4,258,363.460000,0.0258,1,1,2026-08-24T00:00:00.000
259,226,53,5,259,364.830000,0.0259,1,1,2026-08-24T00:00:00.000
260,111,439,5,260,366.200000,0.0260,1,1,2026-08-24T00:00:00.000
261,423,165,2,261,367.570000,0.0261,1,1,2026-08-24T00:00:00.000
262,419,403,2,262,368.940000,0.0262,1,1,2026-08-24T00:00:00.000
263,295,53,1,263,370.310000,0.0263,1,1,2026-08-24T00:00:00.000
264,402,494,7,264,371.680000,0.0264,1,1,2026-08-24T00:00:00.000
265,79,358,5,265,373.050000,0.0265,1,1,2026-08-24T00:00:00.000
266,339,11,7,266,374.420000,0.0266,1,1,2026-08-24T00:00:00.000
267,395,245,7,267,375.790000,0.0267,1,1,2026-08-24T00:00:00.000
268,22,454,1,268,377.160000,0.0268,1,1,2026-08-24T00:00:00.000
269,137,321,3,269,378.530000,0.0269,1,1,2026-08-24T00:00:00.000
270,48,204,7,270,379.900000,0.0270,1,1,2026-08-24T00:00:00.000
271,271,20,7,271,381.270000,0.0271,1,1,2026-08-24T00:00:00.000
272,344,190,4,272,382.640000,0.0272,1,1,2026-08-24T00:00:00.000
273,175,33,5,273,384.010000,0.0273,1,1,2026-08-24T00:00:00.000
274,83,146,1,274,385.380000,0.0274,1,1,2026-08-24T00:00:00.000
275,344,152,2,275,386.750000,0.0275,1,1,2026-08-24T00:00:00.000
276,60,370,3,276,388.120000,0.0276,1,1,2026-08-24T00:00:00.000
277,384,188,1,277,389.490000,0.0277,1,1,2026-08-24T00:00:00.000
278,411,378,1,278,390.860000,0.0278,1,1,2026-08-24T00:00:00.000
279,136,61,3,279,392.230000,0.0279,1,1,2026-08-24T00:00:00.000
280,440,137,6,280,393.600000,0.0280,1,1,2026-08-24T00:00:00.000
281,400,349,1,281,394.970000,0.0281,1,1,2026-08-24T00:00:00.000
282,262,26,4,282,396.340000,0.0282,1,1,2026-08-24T00:00:00.000
283,205,26,5,283,397.710000,0.0283,1,1,2026-08-24T00:00:00.000
284,170,341,5,284,399.080000,0.0284,1,1,2026-08-24T00:00:00.000
285,165,467,3,285,400.450000,0.0285,1,1,2026-08-24T00:00:00.000
286,345,299,1,286,401.820000,0.0286,1,1,2026-08-24T00:00:00.000
287,331,239,7,287,403.190000,0.0287,1,1,2026-08-24T00:00:00.000
288,205,276,1,288,404.560000,0.0288,1,1,2026-08-24T00:00:00.000
289,297,277,1,289,405.930000,0.0289,1,1,2026-08-24T00:00:00.000
290,358,287,7,290,407.300000,0.0290,1,1,2026-08-24T00:00:00.000
291,365,84,3,291,408.670000,0.0291,1,1,2026-08-24T00:00:00.000
292,388,445,6,292,410.040000,0.0292,1,1,2026-08-24T00:00:00.000
293,121,13,6,293,411.410000,0.0293,1,1,2026-08-24T00:00:00.000
294,154,288,7,294,412.780000,0.0294,1,1,2026-08-24T00:00:00.000
295,239,341,2,295,414.150000,0.0295,1,1,2026-08-24T00:00:00.000
296,336,325,3,296,415.520000,0.0296,1,1,2026-08-24T00:00:00.000
297,48,26,5,297,416.890000,0.0297,1,1,2026-08-24T00:00:00.000
298,128,392,3,298,418.260000,0.0298,1,1,2026-08-24T00:00:00.000
299,227,333,1,299,419.630000,0.0299,1,1,2026-08-24T00:00:00.000
300,440,63,2,300,421.000000,0.0300,1,1,2026-08-24T00:00:00.000
301,300,308,1,301,422.370000,0.0301,1,1,2026-08-24T00:00:00.000
302,128,218,5,302,423.740000,0.0302,1,1,2026-08-24T00:00:00.000
303,25,166,6,303,425.110000,0.0303,1,1,2026-08-24T00:00:00.000
304,348,417,5,304,426.480000,0.0304,1,1,2026-08-24T00:00:00.000
305,445,120,5,305,427.850000,0.0305,1,1,2026-08-24T00:00:00.000
306,26,340,2,306,429.220000,0.0306,1,1,2026-08-24T00:00:00.000
307,267,87,2,307,430.590000,0.0307,1,1,2026-08-24T00:00:00.000
308,460,414,2,308,431.960000,0.0308,1,1,2026-08-24T00:00:00.000
309,279,437,4,309,433.330000,0.0309,1,1,2026-08-24T00:00:00.000
310,312,9,6,310,434.700000,0.0310,1,1,2026-08-24T00:00:00.000
311,100,324,1,311,436.070000,0.0311,1,1,2026-08-24T00:00:00.000
312,190,442,2,312,437.440000,0.0312,1,1,2026-08-24T00:00:00.000
313,473,462,3,313,438.810000,0.0313,1,1,2026-08-24T00:00:00.000
314,347,452,4,314,440.180000,0.0314,1,1,2026-08-24T00:00:00.000
315,341,207,1,315,441.550000,0.0315,1,1,2026-08-24T00:00:00.000
316,248,250,5,316,442.920000,0.0316,1,1,2026-08-24T00:00:00.000
317,196,316,3,317,444.290000,0.0317,1,1,2026-08-24T00:00:00.000
318,125,380,2,318,445.660000,0.0318,1,1,2026-08-24T00:00:00.000
319,203,411,4,319,447.030000,0.0319,1,1,2026-08-24T00:00:00.000
320,344,98,6,320,448.400000,0.0320,1,1,2026-08-24T00:00:00.000
321,418,60,6,321,449.770000,0.0321,1,1,2026-08-24T00:00:00.000
322,54,351,3,322,451.140000,0.0322,1,1,2026-08-24T00:00:00.000
323,6,396,1,323,452.510000,0.0323,1,1,2026-08-24T00:00:00.000
324,283,159,2,324,453.880000,0.0324,1,1,2026-08-24T00:00:00.000
325,371,361,5,325,455.250000,0.0325,1,1,2026-08-24T00:00:00.000
326,90,439,6,326,456.620000,0.0326,1,1,2026-08-24T00:00:00.000
327,8,464,1,327,457.990000,0.0327,1,1,2026-08-24T00:00:00.000
328,145,16,6,328,459.360000,0.0328,1,1,2026-08-24T00:00:00.000
329,344,428,4,329,460.730000,0.0329,1,1,2026-08-24T00:00:00.000
330,40,216,5,330,462.100000,0.0330,1,1,2026-08-24T00:00:00.000
331,365,272,5,331,463.470000,0.0331,1,1,2026-08-24T00:00:00.000
332,274,288,7,332,464.840000,0.0332,1,1,2026-08-24T00:00:00.000
333,67,323,5,333,466.210000,0.0333,1,1,2026-08-24T00:00:00.000
334,487,198,5,334,467.580000,0.0334,1,1,2026-08-24T00:00:00.000
335,5,2,5,335,468.950000,0.0335,1,1,2026-08-24T00:00:00.000
336,185,478,5,336,470.320000,0.0336,1,1,2026-08-24T00:00:00.000
337,465,473,7,337,471.690000,0.0337,1,1,2026-08-24T00:00:00.000
338,233,170,3,338,473.060000,0.0338,1,1,2026-08-24T00:00:00.000
339,418,84,6,339,474.430000,0.0339,1,1,2026-08-24T00:00:00.000
340,271,238,2,340,475.800000,0.0340,1,1,2026-08-24T00:00:00.000
341,323,376,4,341,477.170000,0.0341,1,1,2026-08-24T00:00:00.000
342,439,366,5,342,478.540000,0.0342,1,1,2026-08-24T00:00:00.000
343,447,195,7,343,479.910000,0.0343,1,1,2026-08-24T00:00:00.000
344,194,306,7,344,481.280000,0.0344,1,1,2026-08-24T00:00:00.000
345,62,51,1,345,482.650000,0.0345,1,1,2026-08-24T00:00:00.000
346,246,298,6,346,484.020000,0.0346,1,1,2026-08-24T00:00:00.000
347,26,246,7,347,485.390000,0.0347,1,1,2026-08-24T00:00:00.000
348,298,102,4,348,486.760000,0.0348,1,1,2026-08-24T00:00:00.000
349,9,317,4,349,488.130000,0.0349,1,1,2026-08-24T00:00:00.000
350,60,82,1,350,489.500000,0.0350,1,1,2026-08-24T00:00:00.000
351,202,449,2,351,490.870000,0.0351,1,1,2026-08-24T00:00:00.000
352,339,446,7,352,492.240000,0.0352,1,1,2026-08-24T00:00:00.000
