FinanceJournalProfitabilityAssignmentKey,FinanceJournalLineKey,FinanceProfitObjectKey,BusinessUnitKey,AllocationRatio,AllocatedAmount,SourceSystemKey,BatchId,LoadedAtUtc
112,250,173,15,113.000000,163.4400,1,1,2026-08-24T00:00:00.000
113,318,302,59,114.000000,164.8100,1,1,2026-08-24T00:00:00.000
114,93,246,130,115.000000,166.1800,1,1,2026-08-24T00:00:00.000
115,230,405,381,116.000000,167.5500,1,1,2026-08-24T00:00:00.000
116,70,341,265,117.000000,168.9200,1,1,2026-08-24T00:00:00.000
117,201,394,215,118.000000,170.2900,1,1,2026-08-24T00:00:00.000
118,137,180,214,119.000000,171.6600,1,1,2026-08-24T00:00:00.000
119,431,323,100,120.000000,173.0300,1,1,2026-08-24T00:00:00.000
120,229,411,218,121.000000,174.4000,1,1,2026-08-24T00:00:00.000
121,43,138,351,122.000000,175.7700,1,1,2026-08-24T00:00:00.000
122,246,372,201,123.000000,177.1400,1,1,2026-08-24T00:00:00.000
123,265,114,40,124.000000,178.5100,1,1,2026-08-24T00:00:00.000
124,329,353,435,125.000000,179.8800,1,1,2026-08-24T00:00:00.000
125,231,110,478,126.000000,181.2500,1,1,2026-08-24T00:00:00.000
126,135,262,384,127.000000,182.6200,1,1,2026-08-24T00:00:00.000
127,243,56,303,128.000000,183.9900,1,1,2026-08-24T00:00:00.000
128,62,388,471,129.000000,185.3600,1,1,2026-08-24T00:00:00.000
129,463,484,74,130.000000,186.7300,1,1,2026-08-24T00:00:00.000
130,429,494,50,131.000000,188.1000,1,1,2026-08-24T00:00:00.000
131,393,455,230,132.000000,189.4700,1,1,2026-08-24T00:00:00.000
132,64,357,410,133.000000,190.8400,1,1,2026-08-24T00:00:00.000
133,100,144,25,134.000000,192.2100,1,1,2026-08-24T00:00:00.000
134,447,52,389,135.000000,193.5800,1,1,2026-08-24T00:00:00.000
135,269,460,141,136.000000,194.9500,1,1,2026-08-24T00:00:00.000
136,263,296,132,137.000000,196.3200,1,1,2026-08-24T00:00:00.000
137,182,55,29,138.000000,197.6900,1,1,2026-08-24T00:00:00.000
138,497,160,150,139.000000,199.0600,1,1,2026-08-24T00:00:00.000
139,102,399,344,140.000000,200.4300,1,1,2026-08-24T00:00:00.000
140,46,22,355,141.000000,201.8000,1,1,2026-08-24T00:00:00.000
141,357,20,310,142.000000,203.1700,1,1,2026-08-24T00:00:00.000
142,83,333,474,143.000000,204.5400,1,1,2026-08-24T00:00:00.000
143,145,316,435,144.000000,205.9100,1,1,2026-08-24T00:00:00.000
144,493,98,61,145.000000,207.2800,1,1,2026-08-24T00:00:00.000
145,428,475,269,146.000000,208.6500,1,1,2026-08-24T00:00:00.000
146,115,371,208,147.000000,210.0200,1,1,2026-08-24T00:00:00.000
147,182,257,278,148.000000,211.3900,1,1,2026-08-24T00:00:00.000
148,87,418,177,149.000000,212.7600,1,1,2026-08-24T00:00:00.000
149,373,325,255,150.000000,214.1300,1,1,2026-08-24T00:00:00.000
150,331,318,273,151.000000,215.5000,1,1,2026-08-24T00:00:00.000
151,477,198,102,152.000000,216.8700,1,1,2026-08-24T00:00:00.000
152,262,101,336,153.000000,218.2400,1,1,2026-08-24T00:00:00.000
153,421,111,462,154.000000,219.6100,1,1,2026-08-24T00:00:00.000
154,497,383,125,155.000000,220.9800,1,1,2026-08-24T00:00:00.000
155,463,32,149,156.000000,222.3500,1,1,2026-08-24T00:00:00.000
156,396,444,63,157.000000,223.7200,1,1,2026-08-24T00:00:00.000
157,421,83,69,158.000000,225.0900,1,1,2026-08-24T00:00:00.000
158,403,26,45,159.000000,226.4600,1,1,2026-08-24T00:00:00.000
159,188,171,119,160.000000,227.8300,1,1,2026-08-24T00:00:00.000
160,215,64,169,161.000000,229.2000,1,1,2026-08-24T00:00:00.000
161,24,127,71,162.000000,230.5700,1,1,2026-08-24T00:00:00.000
162,321,209,57,163.000000,231.9400,1,1,2026-08-24T00:00:00.000
163,441,225,12,164.000000,233.3100,1,1,2026-08-24T00:00:00.000
164,209,396,56,165.000000,234.6800,1,1,2026-08-24T00:00:00.000
165,450,423,86,166.000000,236.0500,1,1,2026-08-24T00:00:00.000
166,12,1,408,167.000000,237.4200,1,1,2026-08-24T00:00:00.000
167,456,29,242,168.000000,238.7900,1,1,2026-08-24T00:00:00.000
168,262,304,412,169.000000,240.1600,1,1,2026-08-24T00:00:00.000
169,242,377,178,170.000000,241.5300,1,1,2026-08-24T00:00:00.000
170,445,253,33,171.000000,242.9000,1,1,2026-08-24T00:00:00.000
171,367,260,142,172.000000,244.2700,1,1,2026-08-24T00:00:00.000
172,461,61,366,173.000000,245.6400,1,1,2026-08-24T00:00:00.000
173,196,317,463,174.000000,247.0100,1,1,2026-08-24T00:00:00.000
174,321,112,139,175.000000,248.3800,1,1,2026-08-24T00:00:00.000
175,429,444,195,176.000000,249.7500,1,1,2026-08-24T00:00:00.000
176,402,451,437,177.000000,251.1200,1,1,2026-08-24T00:00:00.000
177,233,369,191,178.000000,252.4900,1,1,2026-08-24T00:00:00.000
178,267,100,385,179.000000,253.8600,1,1,2026-08-24T00:00:00.000
179,109,366,157,180.000000,255.2300,1,1,2026-08-24T00:00:00.000
180,471,426,136,181.000000,256.6000,1,1,2026-08-24T00:00:00.000
181,346,471,250,182.000000,257.9700,1,1,2026-08-24T00:00:00.000
182,254,81,293,183.000000,259.3400,1,1,2026-08-24T00:00:00.000
183,438,261,127,184.000000,260.7100,1,1,2026-08-24T00:00:00.000
184,455,357,172,185.000000,262.0800,1,1,2026-08-24T00:00:00.000
185,210,117,51,186.000000,263.4500,1,1,2026-08-24T00:00:00.000
186,472,62,66,187.000000,264.8200,1,1,2026-08-24T00:00:00.000
187,432,221,446,188.000000,266.1900,1,1,2026-08-24T00:00:00.000
188,3,327,145,189.000000,267.5600,1,1,2026-08-24T00:00:00.000
189,128,2,217,190.000000,268.9300,1,1,2026-08-24T00:00:00.000
190,88,45,356,191.000000,270.3000,1,1,2026-08-24T00:00:00.000
191,417,226,494,192.000000,271.6700,1,1,2026-08-24T00:00:00.000
192,343,104,22,193.000000,273.0400,1,1,2026-08-24T00:00:00.000
193,78,107,8,194.000000,274.4100,1,1,2026-08-24T00:00:00.000
194,264,25,458,195.000000,275.7800,1,1,2026-08-24T00:00:00.000
195,191,14,75,196.000000,277.1500,1,1,2026-08-24T00:00:00.000
196,456,374,166,197.000000,278.5200,1,1,2026-08-24T00:00:00.000
197,221,158,440,198.000000,279.8900,1,1,2026-08-24T00:00:00.000
198,288,310,331,199.000000,281.2600,1,1,2026-08-24T00:00:00.000
199,380,317,5,200.000000,282.6300,1,1,2026-08-24T00:00:00.000
200,455,295,102,201.000000,284.0000,1,1,2026-08-24T00:00:00.000
201,98,287,157,202.000000,285.3700,1,1,2026-08-24T00:00:00.000
202,382,106,465,203.000000,286.7400,1,1,2026-08-24T00:00:00.000
203,365,391,37,204.000000,288.1100,1,1,2026-08-24T00:00:00.000
204,86,381,143,205.000000,289.4800,1,1,2026-08-24T00:00:00.000
205,131,72,15,206.000000,290.8500,1,1,2026-08-24T00:00:00.000
206,117,291,320,207.000000,292.2200,1,1,2026-08-24T00:00:00.000
207,163,228,48,208.000000,293.5900,1,1,2026-08-24T00:00:00.000
208,288,287,464,209.000000,294.9600,1,1,2026-08-24T00:00:00.000
209,203,189,74,210.000000,296.3300,1,1,2026-08-24T00:00:00.000
210,474,48,146,211.000000,297.7000,1,1,2026-08-24T00:00:00.000
211,328,256,314,212.000000,299.0700,1,1,2026-08-24T00:00:00.000
212,320,347,159,213.000000,300.4400,1,1,2026-08-24T00:00:00.000
213,428,252,195,214.000000,301.8100,1,1,2026-08-24T00:00:00.000
214,266,187,352,215.000000,303.1800,1,1,2026-08-24T00:00:00.000
215,57,141,212,216.000000,304.5500,1,1,2026-08-24T00:00:00.000
216,155,206,441,217.000000,305.9200,1,1,2026-08-24T00:00:00.000
217,89,336,365,218.000000,307.2900,1,1,2026-08-24T00:00:00.000
218,466,213,60,219.000000,308.6600,1,1,2026-08-24T00:00:00.000
219,188,130,286,220.000000,310.0300,1,1,2026-08-24T00:00:00.000
220,152,323,335,221.000000,311.4000,1,1,2026-08-24T00:00:00.000
221,60,89,435,222.000000,312.7700,1,1,2026-08-24T00:00:00.000
222,365,432,427,223.000000,314.1400,1,1,2026-08-24T00:00:00.000
223,314,447,485,224.000000,315.5100,1,1,2026-08-24T00:00:00.000
224,410,460,287,225.000000,316.8800,1,1,2026-08-24T00:00:00.000
225,285,8,283,226.000000,318.2500,1,1,2026-08-24T00:00:00.000
226,312,421,30,227.000000,319.6200,1,1,2026-08-24T00:00:00.000
227,481,17,160,228.000000,320.9900,1,1,2026-08-24T00:00:00.000
228,250,287,105,229.000000,322.3600,1,1,2026-08-24T00:00:00.000
229,207,97,149,230.000000,323.7300,1,1,2026-08-24T00:00:00.000
230,236,314,110,231.000000,325.1000,1,1,2026-08-24T00:00:00.000
231,95,310,169,232.000000,326.4700,1,1,2026-08-24T00:00:00.000
232,99,419,420,233.000000,327.8400,1,1,2026-08-24T00:00:00.000
233,163,487,79,234.000000,329.2100,1,1,2026-08-24T00:00:00.000
234,26,149,45,235.000000,330.5800,1,1,2026-08-24T00:00:00.000
235,53,325,400,236.000000,331.9500,1,1,2026-08-24T00:00:00.000
236,323,205,185,237.000000,333.3200,1,1,2026-08-24T00:00:00.000
237,173,293,302,238.000000,334.6900,1,1,2026-08-24T00:00:00.000
238,321,175,392,239.000000,336.0600,1,1,2026-08-24T00:00:00.000
239,247,339,443,240.000000,337.4300,1,1,2026-08-24T00:00:00.000
240,233,413,333,241.000000,338.8000,1,1,2026-08-24T00:00:00.000
241,434,435,199,242.000000,340.1700,1,1,2026-08-24T00:00:00.000
242,146,305,390,243.000000,341.5400,1,1,2026-08-24T00:00:00.000
243,268,91,27,244.000000,342.9100,1,1,2026-08-24T00:00:00.000
244,93,350,423,245.000000,344.2800,1,1,2026-08-24T00:00:00.000
245,394,102,188,246.000000,345.6500,1,1,2026-08-24T00:00:00.000
246,270,426,95,247.000000,347.0200,1,1,2026-08-24T00:00:00.000
247,216,442,231,248.000000,348.3900,1,1,2026-08-24T00:00:00.000
248,317,183,154,249.000000,349.7600,1,1,2026-08-24T00:00:00.000
249,409,109,13,250.000000,351.1300,1,1,2026-08-24T00:00:00.000
250,392,480,66,251.000000,352.5000,1,1,2026-08-24T00:00:00.000
251,465,201,358,252.000000,353.8700,1,1,2026-08-24T00:00:00.000
252,401,30,483,253.000000,355.2400,1,1,2026-08-24T00:00:00.000
253,359,409,125,254.000000,356.6100,1,1,2026-08-24T00:00:00.000
254,393,368,8,255.000000,357.9800,1,1,2026-08-24T00:00:00.000
255,24,422,175,256.000000,359.3500,1,1,2026-08-24T00:00:00.000
256,355,434,161,257.000000,360.7200,1,1,2026-08-24T00:00:00.000
257,26,439,71,258.000000,362.0900,1,1,2026-08-24T00:00:00.000
258,391,396,366,259.000000,363.4600,1,1,2026-08-24T00:00:00.000
259,496,486,212,260.000000,364.8300,1,1,2026-08-24T00:00:00.000
260,437,94,105,261.000000,366.2000,1,1,2026-08-24T00:00:00.000
261,309,281,342,262.000000,367.5700,1,1,2026-08-24T00:00:00.000
262,469,70,414,263.000000,368.9400,1,1,2026-08-24T00:00:00.000
263,378,58,230,264.000000,370.3100,1,1,2026-08-24T00:00:00.000
264,271,451,106,265.000000,371.6800,1,1,2026-08-24T00:00:00.000
265,164,246,84,266.000000,373.0500,1,1,2026-08-24T00:00:00.000
266,311,345,392,267.000000,374.4200,1,1,2026-08-24T00:00:00.000
267,260,414,423,268.000000,375.7900,1,1,2026-08-24T00:00:00.000
268,498,457,31,269.000000,377.1600,1,1,2026-08-24T00:00:00.000
269,194,224,181,270.000000,378.5300,1,1,2026-08-24T00:00:00.000
270,492,55,315,271.000000,379.9000,1,1,2026-08-24T00:00:00.000
271,49,88,340,272.000000,381.2700,1,1,2026-08-24T00:00:00.000
272,433,370,260,273.000000,382.6400,1,1,2026-08-24T00:00:00.000
273,391,272,141,274.000000,384.0100,1,1,2026-08-24T00:00:00.000
274,49,14,392,275.000000,385.3800,1,1,2026-08-24T00:00:00.000
275,319,10,181,276.000000,386.7500,1,1,2026-08-24T00:00:00.000
276,337,155,451,277.000000,388.1200,1,1,2026-08-24T00:00:00.000
277,458,32,261,278.000000,389.4900,1,1,2026-08-24T00:00:00.000
278,35,488,3,279.000000,390.8600,1,1,2026-08-24T00:00:00.000
279,173,133,398,280.000000,392.2300,1,1,2026-08-24T00:00:00.000
280,15,411,141,281.000000,393.6000,1,1,2026-08-24T00:00:00.000
281,496,197,474,282.000000,394.9700,1,1,2026-08-24T00:00:00.000
282,114,21,140,283.000000,396.3400,1,1,2026-08-24T00:00:00.000
283,54,97,71,284.000000,397.7100,1,1,2026-08-24T00:00:00.000
284,449,34,313,285.000000,399.0800,1,1,2026-08-24T00:00:00.000
285,273,379,251,286.000000,400.4500,1,1,2026-08-24T00:00:00.000
286,348,492,30,287.000000,401.8200,1,1,2026-08-24T00:00:00.000
287,116,390,268,288.000000,403.1900,1,1,2026-08-24T00:00:00.000
288,162,135,113,289.000000,404.5600,1,1,2026-08-24T00:00:00.000
289,258,349,191,290.000000,405.9300,1,1,2026-08-24T00:00:00.000
290,290,360,480,291.000000,407.3000,1,1,2026-08-24T00:00:00.000
291,113,355,382,292.000000,408.6700,1,1,2026-08-24T00:00:00.000
292,237,277,465,293.000000,410.0400,1,1,2026-08-24T00:00:00.000
293,215,95,185,294.000000,411.4100,1,1,2026-08-24T00:00:00.000
294,375,106,426,295.000000,412.7800,1,1,2026-08-24T00:00:00.000
295,163,369,58,296.000000,414.1500,1,1,2026-08-24T00:00:00.000
296,467,150,263,297.000000,415.5200,1,1,2026-08-24T00:00:00.000
297,271,377,268,298.000000,416.8900,1,1,2026-08-24T00:00:00.000
298,210,452,414,299.000000,418.2600,1,1,2026-08-24T00:00:00.000
299,417,58,481,300.000000,419.6300,1,1,2026-08-24T00:00:00.000
300,205,76,326,301.000000,421.0000,1,1,2026-08-24T00:00:00.000
301,416,269,209,302.000000,422.3700,1,1,2026-08-24T00:00:00.000
302,55,225,394,303.000000,423.7400,1,1,2026-08-24T00:00:00.000
303,30,122,72,304.000000,425.1100,1,1,2026-08-24T00:00:00.000
304,170,271,479,305.000000,426.4800,1,1,2026-08-24T00:00:00.000
305,367,32,190,306.000000,427.8500,1,1,2026-08-24T00:00:00.000
306,51,477,303,307.000000,429.2200,1,1,2026-08-24T00:00:00.000
307,183,479,223,308.000000,430.5900,1,1,2026-08-24T00:00:00.000
308,156,432,367,309.000000,431.9600,1,1,2026-08-24T00:00:00.000
309,270,303,492,310.000000,433.3300,1,1,2026-08-24T00:00:00.000
310,334,109,166,311.000000,434.7000,1,1,2026-08-24T00:00:00.000
311,163,473,307,312.000000,436.0700,1,1,2026-08-24T00:00:00.000
312,176,201,232,313.000000,437.4400,1,1,2026-08-24T00:00:00.000
313,436,373,336,314.000000,438.8100,1,1,2026-08-24T00:00:00.000
314,166,75,456,315.000000,440.1800,1,1,2026-08-24T00:00:00.000
315,13,451,327,316.000000,441.5500,1,1,2026-08-24T00:00:00.000
316,461,401,44,317.000000,442.9200,1,1,2026-08-24T00:00:00.000
317,160,124,99,318.000000,444.2900,1,1,2026-08-24T00:00:00.000
318,399,113,202,319.000000,445.6600,1,1,2026-08-24T00:00:00.000
319,389,376,343,320.000000,447.0300,1,1,2026-08-24T00:00:00.000
320,160,427,465,321.000000,448.4000,1,1,2026-08-24T00:00:00.000
321,194,231,53,322.000000,449.7700,1,1,2026-08-24T00:00:00.000
322,327,430,46,323.000000,451.1400,1,1,2026-08-24T00:00:00.000
323,404,243,96,324.000000,452.5100,1,1,2026-08-24T00:00:00.000
324,236,70,39,325.000000,453.8800,1,1,2026-08-24T00:00:00.000
325,72,440,214,326.000000,455.2500,1,1,2026-08-24T00:00:00.000
326,25,246,430,327.000000,456.6200,1,1,2026-08-24T00:00:00.000
327,102,340,461,328.000000,457.9900,1,1,2026-08-24T00:00:00.000
328,295,87,451,329.000000,459.3600,1,1,2026-08-24T00:00:00.000
329,422,73,225,330.000000,460.7300,1,1,2026-08-24T00:00:00.000
330,49,365,356,331.000000,462.1000,1,1,2026-08-24T00:00:00.000
331,316,124,457,332.000000,463.4700,1,1,2026-08-24T00:00:00.000
332,19,186,463,333.000000,464.8400,1,1,2026-08-24T00:00:00.000
333,245,422,309,334.000000,466.2100,1,1,2026-08-24T00:00:00.000
334,247,84,70,335.000000,467.5800,1,1,2026-08-24T00:00:00.000
335,98,459,323,336.000000,468.9500,1,1,2026-08-24T00:00:00.000
336,34,477,177,337.000000,470.3200,1,1,2026-08-24T00:00:00.000
337,296,196,177,338.000000,471.6900,1,1,2026-08-24T00:00:00.000
338,442,478,80,339.000000,473.0600,1,1,2026-08-24T00:00:00.000
339,290,214,434,340.000000,474.4300,1,1,2026-08-24T00:00:00.000
340,220,94,182,341.000000,475.8000,1,1,2026-08-24T00:00:00.000
341,94,39,333,342.000000,477.1700,1,1,2026-08-24T00:00:00.000
342,409,372,166,343.000000,478.5400,1,1,2026-08-24T00:00:00.000
343,111,247,104,344.000000,479.9100,1,1,2026-08-24T00:00:00.000
344,96,281,427,345.000000,481.2800,1,1,2026-08-24T00:00:00.000
345,400,438,240,346.000000,482.6500,1,1,2026-08-24T00:00:00.000
346,412,253,3,347.000000,484.0200,1,1,2026-08-24T00:00:00.000
347,81,496,475,348.000000,485.3900,1,1,2026-08-24T00:00:00.000
348,24,202,54,349.000000,486.7600,1,1,2026-08-24T00:00:00.000
349,322,344,134,350.000000,488.1300,1,1,2026-08-24T00:00:00.000
350,265,69,384,351.000000,489.5000,1,1,2026-08-24T00:00:00.000
351,378,109,287,352.000000,490.8700,1,1,2026-08-24T00:00:00.000
352,95,28,193,353.000000,492.2400,1,1,2026-08-24T00:00:00.000
353,300,436,286,354.000000,493.6100,1,1,2026-08-24T00:00:00.000
354,106,423,65,355.000000,494.9800,1,1,2026-08-24T00:00:00.000
355,154,117,458,356.000000,496.3500,1,1,2026-08-24T00:00:00.000
356,135,354,235,357.000000,497.7200,1,1,2026-08-24T00:00:00.000
357,411,331,369,358.000000,499.0900,1,1,2026-08-24T00:00:00.000
358,148,413,351,359.000000,500.4600,1,1,2026-08-24T00:00:00.000
359,7,337,45,360.000000,501.8300,1,1,2026-08-24T00:00:00.000
360,175,399,471,361.000000,503.2000,1,1,2026-08-24T00:00:00.000
361,202,27,199,362.000000,504.5700,1,1,2026-08-24T00:00:00.000
362,252,59,214,363.000000,505.9400,1,1,2026-08-24T00:00:00.000
363,463,429,471,364.000000,507.3100,1,1,2026-08-24T00:00:00.000
364,250,495,164,365.000000,508.6800,1,1,2026-08-24T00:00:00.000
365,407,403,57,366.000000,510.0500,1,1,2026-08-24T00:00:00.000
366,98,345,315,367.000000,511.4200,1,1,2026-08-24T00:00:00.000
367,17,127,26,368.000000,512.7900,1,1,2026-08-24T00:00:00.000
368,275,91,374,369.000000,514.1600,1,1,2026-08-24T00:00:00.000
369,212,461,181,370.000000,515.5300,1,1,2026-08-24T00:00:00.000
370,114,239,453,371.000000,516.9000,1,1,2026-08-24T00:00:00.000
371,326,254,352,372.000000,518.2700,1,1,2026-08-24T00:00:00.000
372,144,6,77,373.000000,519.6400,1,1,2026-08-24T00:00:00.000
