ServiceContractProductKey,ServiceContractKey,ProductKey,CoverageStartDate,CoverageEndDate,SourceSystemKey,BatchId,LoadedAtUtc
115,430,85,2020-04-25,2021-04-25,1,1,2026-08-24T00:00:00.000
116,464,246,2020-04-26,2021-04-26,1,1,2026-08-24T00:00:00.000
117,307,236,2020-04-27,2021-04-27,1,1,2026-08-24T00:00:00.000
118,456,121,2020-04-28,2021-04-28,1,1,2026-08-24T00:00:00.000
119,48,468,2020-04-29,2021-04-29,1,1,2026-08-24T00:00:00.000
120,499,35,2020-04-30,2021-04-30,1,1,2026-08-24T00:00:00.000
121,486,22,2020-05-01,2021-05-01,1,1,2026-08-24T00:00:00.000
122,88,455,2020-05-02,2021-05-02,1,1,2026-08-24T00:00:00.000
123,240,123,2020-05-03,2021-05-03,1,1,2026-08-24T00:00:00.000
124,312,51,2020-05-04,2021-05-04,1,1,2026-08-24T00:00:00.000
125,147,259,2020-05-05,2021-05-05,1,1,2026-08-24T00:00:00.000
126,179,44,2020-05-06,2021-05-06,1,1,2026-08-24T00:00:00.000
127,187,468,2020-05-07,2021-05-07,1,1,2026-08-24T00:00:00.000
128,459,218,2020-05-08,2021-05-08,1,1,2026-08-24T00:00:00.000
129,24,272,2020-05-09,2021-05-09,1,1,2026-08-24T00:00:00.000
130,285,244,2020-05-10,2021-05-10,1,1,2026-08-24T00:00:00.000
131,273,307,2020-05-11,2021-05-11,1,1,2026-08-24T00:00:00.000
132,294,20,2020-05-12,2021-05-12,1,1,2026-08-24T00:00:00.000
133,21,105,2020-05-13,2021-05-13,1,1,2026-08-24T00:00:00.000
134,398,128,2020-05-14,2021-05-14,1,1,2026-08-24T00:00:00.000
135,359,343,2020-05-15,2021-05-15,1,1,2026-08-24T00:00:00.000
136,496,142,2020-05-16,2021-05-16,1,1,2026-08-24T00:00:00.000
137,85,299,2020-05-17,2021-05-17,1,1,2026-08-24T00:00:00.000
138,393,192,2020-05-18,2021-05-18,1,1,2026-08-24T00:00:00.000
139,115,70,2020-05-19,2021-05-19,1,1,2026-08-24T00:00:00.000
140,7,261,2020-05-20,2021-05-20,1,1,2026-08-24T00:00:00.000
141,223,287,2020-05-21,2021-05-21,1,1,2026-08-24T00:00:00.000
142,385,210,2020-05-22,2021-05-22,1,1,2026-08-24T00:00:00.000
143,213,134,2020-05-23,2021-05-23,1,1,2026-08-24T00:00:00.000
144,331,475,2020-05-24,2021-05-24,1,1,2026-08-24T00:00:00.000
145,373,156,2020-05-25,2021-05-25,1,1,2026-08-24T00:00:00.000
146,37,268,2020-05-26,2021-05-26,1,1,2026-08-24T00:00:00.000
147,378,344,2020-05-27,2021-05-27,1,1,2026-08-24T00:00:00.000
148,147,145,2020-05-28,2021-05-28,1,1,2026-08-24T00:00:00.000
149,103,21,2020-05-29,2021-05-29,1,1,2026-08-24T00:00:00.000
150,167,276,2020-05-30,2021-05-30,1,1,2026-08-24T00:00:00.000
151,213,54,2020-05-31,2021-05-31,1,1,2026-08-24T00:00:00.000
152,81,16,2020-06-01,2021-06-01,1,1,2026-08-24T00:00:00.000
153,344,365,2020-06-02,2021-06-02,1,1,2026-08-24T00:00:00.000
154,159,381,2020-06-03,2021-06-03,1,1,2026-08-24T00:00:00.000
155,495,163,2020-06-04,2021-06-04,1,1,2026-08-24T00:00:00.000
156,470,270,2020-06-05,2021-06-05,1,1,2026-08-24T00:00:00.000
157,164,169,2020-06-06,2021-06-06,1,1,2026-08-24T00:00:00.000
158,310,495,2020-06-07,2021-06-07,1,1,2026-08-24T00:00:00.000
159,311,338,2020-06-08,2021-06-08,1,1,2026-08-24T00:00:00.000
160,164,93,2020-06-09,2021-06-09,1,1,2026-08-24T00:00:00.000
161,207,235,2020-06-10,2021-06-10,1,1,2026-08-24T00:00:00.000
162,449,194,2020-06-11,2021-06-11,1,1,2026-08-24T00:00:00.000
163,132,148,2020-06-12,2021-06-12,1,1,2026-08-24T00:00:00.000
164,157,275,2020-06-13,2021-06-13,1,1,2026-08-24T00:00:00.000
165,466,237,2020-06-14,2021-06-14,1,1,2026-08-24T00:00:00.000
166,68,150,2020-06-15,2021-06-15,1,1,2026-08-24T00:00:00.000
167,246,194,2020-06-16,2021-06-16,1,1,2026-08-24T00:00:00.000
168,129,138,2020-06-17,2021-06-17,1,1,2026-08-24T00:00:00.000
169,119,395,2020-06-18,2021-06-18,1,1,2026-08-24T00:00:00.000
170,241,208,2020-06-19,2021-06-19,1,1,2026-08-24T00:00:00.000
171,288,156,2020-06-20,2021-06-20,1,1,2026-08-24T00:00:00.000
172,11,155,2020-06-21,2021-06-21,1,1,2026-08-24T00:00:00.000
173,54,456,2020-06-22,2021-06-22,1,1,2026-08-24T00:00:00.000
174,302,159,2020-06-23,2021-06-23,1,1,2026-08-24T00:00:00.000
175,222,227,2020-06-24,2021-06-24,1,1,2026-08-24T00:00:00.000
176,454,291,2020-06-25,2021-06-25,1,1,2026-08-24T00:00:00.000
177,347,375,2020-06-26,2021-06-26,1,1,2026-08-24T00:00:00.000
178,402,279,2020-06-27,2021-06-27,1,1,2026-08-24T00:00:00.000
179,13,407,2020-06-28,2021-06-28,1,1,2026-08-24T00:00:00.000
180,378,341,2020-06-29,2021-06-29,1,1,2026-08-24T00:00:00.000
181,41,350,2020-06-30,2021-06-30,1,1,2026-08-24T00:00:00.000
182,294,226,2020-07-01,2021-07-01,1,1,2026-08-24T00:00:00.000
183,432,191,2020-07-02,2021-07-02,1,1,2026-08-24T00:00:00.000
184,83,351,2020-07-03,2021-07-03,1,1,2026-08-24T00:00:00.000
185,190,141,2020-07-04,2021-07-04,1,1,2026-08-24T00:00:00.000
186,266,264,2020-07-05,2021-07-05,1,1,2026-08-24T00:00:00.000
187,98,383,2020-07-06,2021-07-06,1,1,2026-08-24T00:00:00.000
188,171,420,2020-07-07,2021-07-07,1,1,2026-08-24T00:00:00.000
189,475,347,2020-07-08,2021-07-08,1,1,2026-08-24T00:00:00.000
190,312,68,2020-07-09,2021-07-09,1,1,2026-08-24T00:00:00.000
191,12,57,2020-07-10,2021-07-10,1,1,2026-08-24T00:00:00.000
192,102,221,2020-07-11,2021-07-11,1,1,2026-08-24T00:00:00.000
193,42,217,2020-07-12,2021-07-12,1,1,2026-08-24T00:00:00.000
194,377,459,2020-07-13,2021-07-13,1,1,2026-08-24T00:00:00.000
195,30,126,2020-07-14,2021-07-14,1,1,2026-08-24T00:00:00.000
196,281,95,2020-07-15,2021-07-15,1,1,2026-08-24T00:00:00.000
197,326,372,2020-07-16,2021-07-16,1,1,2026-08-24T00:00:00.000
198,407,64,2020-07-17,2021-07-17,1,1,2026-08-24T00:00:00.000
199,2,274,2020-07-18,2021-07-18,1,1,2026-08-24T00:00:00.000
200,96,252,2020-07-19,2021-07-19,1,1,2026-08-24T00:00:00.000
201,292,441,2020-07-20,2021-07-20,1,1,2026-08-24T00:00:00.000
202,409,449,2020-07-21,2021-07-21,1,1,2026-08-24T00:00:00.000
203,61,175,2020-07-22,2021-07-22,1,1,2026-08-24T00:00:00.000
204,202,132,2020-07-23,2021-07-23,1,1,2026-08-24T00:00:00.000
205,13,187,2020-07-24,2021-07-24,1,1,2026-08-24T00:00:00.000
206,25,330,2020-07-25,2021-07-25,1,1,2026-08-24T00:00:00.000
207,197,209,2020-07-26,2021-07-26,1,1,2026-08-24T00:00:00.000
208,65,348,2020-07-27,2021-07-27,1,1,2026-08-24T00:00:00.000
209,330,338,2020-07-28,2021-07-28,1,1,2026-08-24T00:00:00.000
210,124,184,2020-07-29,2021-07-29,1,1,2026-08-24T00:00:00.000
211,371,258,2020-07-30,2021-07-30,1,1,2026-08-24T00:00:00.000
212,223,204,2020-07-31,2021-07-31,1,1,2026-08-24T00:00:00.000
213,172,233,2020-08-01,2021-08-01,1,1,2026-08-24T00:00:00.000
214,22,357,2020-08-02,2021-08-02,1,1,2026-08-24T00:00:00.000
215,12,65,2020-08-03,2021-08-03,1,1,2026-08-24T00:00:00.000
216,201,412,2020-08-04,2021-08-04,1,1,2026-08-24T00:00:00.000
217,195,158,2020-08-05,2021-08-05,1,1,2026-08-24T00:00:00.000
218,9,252,2020-08-06,2021-08-06,1,1,2026-08-24T00:00:00.000
219,260,443,2020-08-07,2021-08-07,1,1,2026-08-24T00:00:00.000
220,111,489,2020-08-08,2021-08-08,1,1,2026-08-24T00:00:00.000
221,446,255,2020-08-09,2021-08-09,1,1,2026-08-24T00:00:00.000
222,493,495,2020-08-10,2021-08-10,1,1,2026-08-24T00:00:00.000
223,307,487,2020-08-11,2021-08-11,1,1,2026-08-24T00:00:00.000
224,235,238,2020-08-12,2021-08-12,1,1,2026-08-24T00:00:00.000
225,55,477,2020-08-13,2021-08-13,1,1,2026-08-24T00:00:00.000
226,485,339,2020-08-14,2021-08-14,1,1,2026-08-24T00:00:00.000
227,233,391,2020-08-15,2021-08-15,1,1,2026-08-24T00:00:00.000
228,94,119,2020-08-16,2021-08-16,1,1,2026-08-24T00:00:00.000
229,237,199,2020-08-17,2021-08-17,1,1,2026-08-24T00:00:00.000
230,232,298,2020-08-18,2021-08-18,1,1,2026-08-24T00:00:00.000
231,253,329,2020-08-19,2021-08-19,1,1,2026-08-24T00:00:00.000
232,358,102,2020-08-20,2021-08-20,1,1,2026-08-24T00:00:00.000
233,49,22,2020-08-21,2021-08-21,1,1,2026-08-24T00:00:00.000
234,370,199,2020-08-22,2021-08-22,1,1,2026-08-24T00:00:00.000
235,191,52,2020-08-23,2021-08-23,1,1,2026-08-24T00:00:00.000
236,410,72,2020-08-24,2021-08-24,1,1,2026-08-24T00:00:00.000
237,458,203,2020-08-25,2021-08-25,1,1,2026-08-24T00:00:00.000
238,19,469,2020-08-26,2021-08-26,1,1,2026-08-24T00:00:00.000
239,12,14,2020-08-27,2021-08-27,1,1,2026-08-24T00:00:00.000
240,66,415,2020-08-28,2021-08-28,1,1,2026-08-24T00:00:00.000
241,380,316,2020-08-29,2021-08-29,1,1,2026-08-24T00:00:00.000
242,229,140,2020-08-30,2021-08-30,1,1,2026-08-24T00:00:00.000
243,422,206,2020-08-31,2021-08-31,1,1,2026-08-24T00:00:00.000
244,499,441,2020-09-01,2021-09-01,1,1,2026-08-24T00:00:00.000
245,114,227,2020-09-02,2021-09-02,1,1,2026-08-24T00:00:00.000
246,343,275,2020-09-03,2021-09-03,1,1,2026-08-24T00:00:00.000
247,82,369,2020-09-04,2021-09-04,1,1,2026-08-24T00:00:00.000
248,94,169,2020-09-05,2021-09-05,1,1,2026-08-24T00:00:00.000
249,348,478,2020-09-06,2021-09-06,1,1,2026-08-24T00:00:00.000
250,444,438,2020-09-07,2021-09-07,1,1,2026-08-24T00:00:00.000
251,36,480,2020-09-08,2021-09-08,1,1,2026-08-24T00:00:00.000
252,394,51,2020-09-09,2021-09-09,1,1,2026-08-24T00:00:00.000
253,130,397,2020-09-10,2021-09-10,1,1,2026-08-24T00:00:00.000
254,131,197,2020-09-11,2021-09-11,1,1,2026-08-24T00:00:00.000
255,257,282,2020-09-12,2021-09-12,1,1,2026-08-24T00:00:00.000
256,152,238,2020-09-13,2021-09-13,1,1,2026-08-24T00:00:00.000
257,406,365,2020-09-14,2021-09-14,1,1,2026-08-24T00:00:00.000
258,115,349,2020-09-15,2021-09-15,1,1,2026-08-24T00:00:00.000
259,483,177,2020-09-16,2021-09-16,1,1,2026-08-24T00:00:00.000
260,346,312,2020-09-17,2021-09-17,1,1,2026-08-24T00:00:00.000
261,237,393,2020-09-18,2021-09-18,1,1,2026-08-24T00:00:00.000
262,157,303,2020-09-19,2021-09-19,1,1,2026-08-24T00:00:00.000
263,451,178,2020-09-20,2021-09-20,1,1,2026-08-24T00:00:00.000
264,165,94,2020-09-21,2021-09-21,1,1,2026-08-24T00:00:00.000
265,380,179,2020-09-22,2021-09-22,1,1,2026-08-24T00:00:00.000
266,185,132,2020-09-23,2021-09-23,1,1,2026-08-24T00:00:00.000
267,319,161,2020-09-24,2021-09-24,1,1,2026-08-24T00:00:00.000
268,310,387,2020-09-25,2021-09-25,1,1,2026-08-24T00:00:00.000
269,464,417,2020-09-26,2021-09-26,1,1,2026-08-24T00:00:00.000
270,268,272,2020-09-27,2021-09-27,1,1,2026-08-24T00:00:00.000
271,131,200,2020-09-28,2021-09-28,1,1,2026-08-24T00:00:00.000
272,146,311,2020-09-29,2021-09-29,1,1,2026-08-24T00:00:00.000
273,16,53,2020-09-30,2021-09-30,1,1,2026-08-24T00:00:00.000
274,478,145,2020-10-01,2021-10-01,1,1,2026-08-24T00:00:00.000
275,453,326,2020-10-02,2021-10-02,1,1,2026-08-24T00:00:00.000
276,64,335,2020-10-03,2021-10-03,1,1,2026-08-24T00:00:00.000
277,258,40,2020-10-04,2021-10-04,1,1,2026-08-24T00:00:00.000
278,280,220,2020-10-05,2021-10-05,1,1,2026-08-24T00:00:00.000
279,4,175,2020-10-06,2021-10-06,1,1,2026-08-24T00:00:00.000
280,318,8,2020-10-07,2021-10-07,1,1,2026-08-24T00:00:00.000
281,415,141,2020-10-08,2021-10-08,1,1,2026-08-24T00:00:00.000
282,274,275,2020-10-09,2021-10-09,1,1,2026-08-24T00:00:00.000
283,444,13,2020-10-10,2021-10-10,1,1,2026-08-24T00:00:00.000
284,59,123,2020-10-11,2021-10-11,1,1,2026-08-24T00:00:00.000
285,4,123,2020-10-12,2021-10-12,1,1,2026-08-24T00:00:00.000
286,208,239,2020-10-13,2021-10-13,1,1,2026-08-24T00:00:00.000
287,31,63,2020-10-14,2021-10-14,1,1,2026-08-24T00:00:00.000
288,492,438,2020-10-15,2021-10-15,1,1,2026-08-24T00:00:00.000
289,460,473,2020-10-16,2021-10-16,1,1,2026-08-24T00:00:00.000
290,285,457,2020-10-17,2021-10-17,1,1,2026-08-24T00:00:00.000
291,243,294,2020-10-18,2021-10-18,1,1,2026-08-24T00:00:00.000
292,231,38,2020-10-19,2021-10-19,1,1,2026-08-24T00:00:00.000
293,280,243,2020-10-20,2021-10-20,1,1,2026-08-24T00:00:00.000
294,235,188,2020-10-21,2021-10-21,1,1,2026-08-24T00:00:00.000
295,358,170,2020-10-22,2021-10-22,1,1,2026-08-24T00:00:00.000
296,473,254,2020-10-23,2021-10-23,1,1,2026-08-24T00:00:00.000
297,131,118,2020-10-24,2021-10-24,1,1,2026-08-24T00:00:00.000
298,481,84,2020-10-25,2021-10-25,1,1,2026-08-24T00:00:00.000
299,225,499,2020-10-26,2021-10-26,1,1,2026-08-24T00:00:00.000
300,144,332,2020-10-27,2021-10-27,1,1,2026-08-24T00:00:00.000
301,260,347,2020-10-28,2021-10-28,1,1,2026-08-24T00:00:00.000
302,399,292,2020-10-29,2021-10-29,1,1,2026-08-24T00:00:00.000
303,260,492,2020-10-30,2021-10-30,1,1,2026-08-24T00:00:00.000
304,33,208,2020-10-31,2021-10-31,1,1,2026-08-24T00:00:00.000
305,3,277,2020-11-01,2021-11-01,1,1,2026-08-24T00:00:00.000
306,53,97,2020-11-02,2021-11-02,1,1,2026-08-24T00:00:00.000
307,315,309,2020-11-03,2021-11-03,1,1,2026-08-24T00:00:00.000
308,218,299,2020-11-04,2021-11-04,1,1,2026-08-24T00:00:00.000
309,478,193,2020-11-05,2021-11-05,1,1,2026-08-24T00:00:00.000
310,391,153,2020-11-06,2021-11-06,1,1,2026-08-24T00:00:00.000
311,263,361,2020-11-07,2021-11-07,1,1,2026-08-24T00:00:00.000
312,398,28,2020-11-08,2021-11-08,1,1,2026-08-24T00:00:00.000
313,41,55,2020-11-09,2021-11-09,1,1,2026-08-24T00:00:00.000
314,269,479,2020-11-10,2021-11-10,1,1,2026-08-24T00:00:00.000
315,295,127,2020-11-11,2021-11-11,1,1,2026-08-24T00:00:00.000
316,263,60,2020-11-12,2021-11-12,1,1,2026-08-24T00:00:00.000
317,206,166,2020-11-13,2021-11-13,1,1,2026-08-24T00:00:00.000
318,490,376,2020-11-14,2021-11-14,1,1,2026-08-24T00:00:00.000
319,410,342,2020-11-15,2021-11-15,1,1,2026-08-24T00:00:00.000
320,167,405,2020-11-16,2021-11-16,1,1,2026-08-24T00:00:00.000
321,130,114,2020-11-17,2021-11-17,1,1,2026-08-24T00:00:00.000
322,414,158,2020-11-18,2021-11-18,1,1,2026-08-24T00:00:00.000
323,155,381,2020-11-19,2021-11-19,1,1,2026-08-24T00:00:00.000
324,115,203,2020-11-20,2021-11-20,1,1,2026-08-24T00:00:00.000
325,24,122,2020-11-21,2021-11-21,1,1,2026-08-24T00:00:00.000
326,176,300,2020-11-22,2021-11-22,1,1,2026-08-24T00:00:00.000
327,238,323,2020-11-23,2021-11-23,1,1,2026-08-24T00:00:00.000
328,196,109,2020-11-24,2021-11-24,1,1,2026-08-24T00:00:00.000
329,57,308,2020-11-25,2021-11-25,1,1,2026-08-24T00:00:00.000
330,273,311,2020-11-26,2021-11-26,1,1,2026-08-24T00:00:00.000
331,446,336,2020-11-27,2021-11-27,1,1,2026-08-24T00:00:00.000
332,113,201,2020-11-28,2021-11-28,1,1,2026-08-24T00:00:00.000
333,348,16,2020-11-29,2021-11-29,1,1,2026-08-24T00:00:00.000
334,486,3,2020-11-30,2021-11-30,1,1,2026-08-24T00:00:00.000
335,44,151,2020-12-01,2021-12-01,1,1,2026-08-24T00:00:00.000
336,314,192,2020-12-02,2021-12-02,1,1,2026-08-24T00:00:00.000
337,14,90,2020-12-03,2021-12-03,1,1,2026-08-24T00:00:00.000
338,74,442,2020-12-04,2021-12-04,1,1,2026-08-24T00:00:00.000
339,158,37,2020-12-05,2021-12-05,1,1,2026-08-24T00:00:00.000
340,100,108,2020-12-06,2021-12-06,1,1,2026-08-24T00:00:00.000
341,161,301,2020-12-07,2021-12-07,1,1,2026-08-24T00:00:00.000
342,454,118,2020-12-08,2021-12-08,1,1,2026-08-24T00:00:00.000
343,428,374,2020-12-09,2021-12-09,1,1,2026-08-24T00:00:00.000
344,193,362,2020-12-10,2021-12-10,1,1,2026-08-24T00:00:00.000
345,318,214,2020-12-11,2021-12-11,1,1,2026-08-24T00:00:00.000
346,252,105,2020-12-12,2021-12-12,1,1,2026-08-24T00:00:00.000
347,345,455,2020-12-13,2021-12-13,1,1,2026-08-24T00:00:00.000
348,102,334,2020-12-14,2021-12-14,1,1,2026-08-24T00:00:00.000
349,399,17,2020-12-15,2021-12-15,1,1,2026-08-24T00:00:00.000
350,118,483,2020-12-16,2021-12-16,1,1,2026-08-24T00:00:00.000
351,33,326,2020-12-17,2021-12-17,1,1,2026-08-24T00:00:00.000
352,295,365,2020-12-18,2021-12-18,1,1,2026-08-24T00:00:00.000
353,23,366,2020-12-19,2021-12-19,1,1,2026-08-24T00:00:00.000
354,260,439,2020-12-20,2021-12-20,1,1,2026-08-24T00:00:00.000
