MaintenanceAssetFailureModeKey,AssetKey,MaintenanceFailureModeKey,MaintenanceFailureSeverityKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
99,472,18,8,99,145.630000,0.0099,1,1,2026-08-24T00:00:00.000
100,264,27,3,100,147.000000,0.0100,1,1,2026-08-24T00:00:00.000
101,177,24,5,101,148.370000,0.0101,1,1,2026-08-24T00:00:00.000
102,493,127,11,102,149.740000,0.0102,1,1,2026-08-24T00:00:00.000
103,125,117,6,103,151.110000,0.0103,1,1,2026-08-24T00:00:00.000
104,400,147,2,104,152.480000,0.0104,1,1,2026-08-24T00:00:00.000
105,86,119,6,105,153.850000,0.0105,1,1,2026-08-24T00:00:00.000
106,194,55,11,106,155.220000,0.0106,1,1,2026-08-24T00:00:00.000
107,89,69,5,107,156.590000,0.0107,1,1,2026-08-24T00:00:00.000
108,277,114,5,108,157.960000,0.0108,1,1,2026-08-24T00:00:00.000
109,222,142,12,109,159.330000,0.0109,1,1,2026-08-24T00:00:00.000
110,31,108,1,110,160.700000,0.0110,1,1,2026-08-24T00:00:00.000
111,173,76,11,111,162.070000,0.0111,1,1,2026-08-24T00:00:00.000
112,308,68,6,112,163.440000,0.0112,1,1,2026-08-24T00:00:00.000
113,84,106,10,113,164.810000,0.0113,1,1,2026-08-24T00:00:00.000
114,339,67,9,114,166.180000,0.0114,1,1,2026-08-24T00:00:00.000
115,350,127,1,115,167.550000,0.0115,1,1,2026-08-24T00:00:00.000
116,143,55,8,116,168.920000,0.0116,1,1,2026-08-24T00:00:00.000
117,422,113,7,117,170.290000,0.0117,1,1,2026-08-24T00:00:00.000
118,313,126,7,118,171.660000,0.0118,1,1,2026-08-24T00:00:00.000
119,197,111,10,119,173.030000,0.0119,1,1,2026-08-24T00:00:00.000
120,141,17,2,120,174.400000,0.0120,1,1,2026-08-24T00:00:00.000
121,247,144,9,121,175.770000,0.0121,1,1,2026-08-24T00:00:00.000
122,19,11,10,122,177.140000,0.0122,1,1,2026-08-24T00:00:00.000
123,283,151,10,123,178.510000,0.0123,1,1,2026-08-24T00:00:00.000
124,149,34,4,124,179.880000,0.0124,1,1,2026-08-24T00:00:00.000
125,396,23,1,125,181.250000,0.0125,1,1,2026-08-24T00:00:00.000
126,86,111,10,126,182.620000,0.0126,1,1,2026-08-24T00:00:00.000
127,189,26,1,127,183.990000,0.0127,1,1,2026-08-24T00:00:00.000
128,19,55,9,128,185.360000,0.0128,1,1,2026-08-24T00:00:00.000
129,477,112,6,129,186.730000,0.0129,1,1,2026-08-24T00:00:00.000
130,129,54,1,130,188.100000,0.0130,1,1,2026-08-24T00:00:00.000
131,497,31,10,131,189.470000,0.0131,1,1,2026-08-24T00:00:00.000
132,193,124,9,132,190.840000,0.0132,1,1,2026-08-24T00:00:00.000
133,21,100,5,133,192.210000,0.0133,1,1,2026-08-24T00:00:00.000
134,51,15,2,134,193.580000,0.0134,1,1,2026-08-24T00:00:00.000
135,97,119,3,135,194.950000,0.0135,1,1,2026-08-24T00:00:00.000
136,438,116,1,136,196.320000,0.0136,1,1,2026-08-24T00:00:00.000
137,251,44,6,137,197.690000,0.0137,1,1,2026-08-24T00:00:00.000
138,376,83,3,138,199.060000,0.0138,1,1,2026-08-24T00:00:00.000
139,146,83,2,139,200.430000,0.0139,1,1,2026-08-24T00:00:00.000
140,235,133,6,140,201.800000,0.0140,1,1,2026-08-24T00:00:00.000
141,327,79,2,141,203.170000,0.0141,1,1,2026-08-24T00:00:00.000
142,150,36,9,142,204.540000,0.0142,1,1,2026-08-24T00:00:00.000
143,477,18,12,143,205.910000,0.0143,1,1,2026-08-24T00:00:00.000
144,252,24,7,144,207.280000,0.0144,1,1,2026-08-24T00:00:00.000
145,285,96,1,145,208.650000,0.0145,1,1,2026-08-24T00:00:00.000
146,134,107,2,146,210.020000,0.0146,1,1,2026-08-24T00:00:00.000
147,334,76,4,147,211.390000,0.0147,1,1,2026-08-24T00:00:00.000
148,458,141,4,148,212.760000,0.0148,1,1,2026-08-24T00:00:00.000
149,187,142,7,149,214.130000,0.0149,1,1,2026-08-24T00:00:00.000
150,349,3,1,150,215.500000,0.0150,1,1,2026-08-24T00:00:00.000
151,489,80,11,151,216.870000,0.0151,1,1,2026-08-24T00:00:00.000
152,72,19,9,152,218.240000,0.0152,1,1,2026-08-24T00:00:00.000
153,492,34,4,153,219.610000,0.0153,1,1,2026-08-24T00:00:00.000
154,406,11,3,154,220.980000,0.0154,1,1,2026-08-24T00:00:00.000
155,408,15,3,155,222.350000,0.0155,1,1,2026-08-24T00:00:00.000
156,86,74,1,156,223.720000,0.0156,1,1,2026-08-24T00:00:00.000
157,125,121,9,157,225.090000,0.0157,1,1,2026-08-24T00:00:00.000
158,54,11,6,158,226.460000,0.0158,1,1,2026-08-24T00:00:00.000
159,214,19,7,159,227.830000,0.0159,1,1,2026-08-24T00:00:00.000
160,458,17,9,160,229.200000,0.0160,1,1,2026-08-24T00:00:00.000
161,209,36,3,161,230.570000,0.0161,1,1,2026-08-24T00:00:00.000
162,226,30,7,162,231.940000,0.0162,1,1,2026-08-24T00:00:00.000
163,329,141,6,163,233.310000,0.0163,1,1,2026-08-24T00:00:00.000
164,261,113,9,164,234.680000,0.0164,1,1,2026-08-24T00:00:00.000
165,379,157,12,165,236.050000,0.0165,1,1,2026-08-24T00:00:00.000
166,394,4,7,166,237.420000,0.0166,1,1,2026-08-24T00:00:00.000
167,164,78,12,167,238.790000,0.0167,1,1,2026-08-24T00:00:00.000
168,126,103,12,168,240.160000,0.0168,1,1,2026-08-24T00:00:00.000
169,145,24,11,169,241.530000,0.0169,1,1,2026-08-24T00:00:00.000
170,272,32,9,170,242.900000,0.0170,1,1,2026-08-24T00:00:00.000
171,476,69,3,171,244.270000,0.0171,1,1,2026-08-24T00:00:00.000
172,18,134,11,172,245.640000,0.0172,1,1,2026-08-24T00:00:00.000
173,333,97,9,173,247.010000,0.0173,1,1,2026-08-24T00:00:00.000
174,195,110,8,174,248.380000,0.0174,1,1,2026-08-24T00:00:00.000
175,355,61,7,175,249.750000,0.0175,1,1,2026-08-24T00:00:00.000
176,323,115,8,176,251.120000,0.0176,1,1,2026-08-24T00:00:00.000
177,119,20,9,177,252.490000,0.0177,1,1,2026-08-24T00:00:00.000
178,227,103,1,178,253.860000,0.0178,1,1,2026-08-24T00:00:00.000
179,8,142,3,179,255.230000,0.0179,1,1,2026-08-24T00:00:00.000
180,335,43,11,180,256.600000,0.0180,1,1,2026-08-24T00:00:00.000
181,425,20,1,181,257.970000,0.0181,1,1,2026-08-24T00:00:00.000
182,62,5,2,182,259.340000,0.0182,1,1,2026-08-24T00:00:00.000
183,238,8,12,183,260.710000,0.0183,1,1,2026-08-24T00:00:00.000
184,414,147,10,184,262.080000,0.0184,1,1,2026-08-24T00:00:00.000
185,174,2,11,185,263.450000,0.0185,1,1,2026-08-24T00:00:00.000
186,171,23,12,186,264.820000,0.0186,1,1,2026-08-24T00:00:00.000
187,249,58,4,187,266.190000,0.0187,1,1,2026-08-24T00:00:00.000
188,95,106,12,188,267.560000,0.0188,1,1,2026-08-24T00:00:00.000
189,184,49,9,189,268.930000,0.0189,1,1,2026-08-24T00:00:00.000
190,155,47,12,190,270.300000,0.0190,1,1,2026-08-24T00:00:00.000
191,162,137,12,191,271.670000,0.0191,1,1,2026-08-24T00:00:00.000
192,225,71,8,192,273.040000,0.0192,1,1,2026-08-24T00:00:00.000
193,176,7,12,193,274.410000,0.0193,1,1,2026-08-24T00:00:00.000
194,263,73,8,194,275.780000,0.0194,1,1,2026-08-24T00:00:00.000
195,273,27,8,195,277.150000,0.0195,1,1,2026-08-24T00:00:00.000
196,14,59,10,196,278.520000,0.0196,1,1,2026-08-24T00:00:00.000
197,264,150,1,197,279.890000,0.0197,1,1,2026-08-24T00:00:00.000
198,87,155,3,198,281.260000,0.0198,1,1,2026-08-24T00:00:00.000
199,363,1,8,199,282.630000,0.0199,1,1,2026-08-24T00:00:00.000
200,235,26,8,200,284.000000,0.0200,1,1,2026-08-24T00:00:00.000
201,57,76,5,201,285.370000,0.0201,1,1,2026-08-24T00:00:00.000
202,114,19,11,202,286.740000,0.0202,1,1,2026-08-24T00:00:00.000
203,53,14,12,203,288.110000,0.0203,1,1,2026-08-24T00:00:00.000
204,389,113,10,204,289.480000,0.0204,1,1,2026-08-24T00:00:00.000
205,336,65,6,205,290.850000,0.0205,1,1,2026-08-24T00:00:00.000
206,303,31,5,206,292.220000,0.0206,1,1,2026-08-24T00:00:00.000
207,102,155,2,207,293.590000,0.0207,1,1,2026-08-24T00:00:00.000
208,306,141,10,208,294.960000,0.0208,1,1,2026-08-24T00:00:00.000
209,89,159,1,209,296.330000,0.0209,1,1,2026-08-24T00:00:00.000
210,368,141,4,210,297.700000,0.0210,1,1,2026-08-24T00:00:00.000
211,266,83,6,211,299.070000,0.0211,1,1,2026-08-24T00:00:00.000
212,372,129,8,212,300.440000,0.0212,1,1,2026-08-24T00:00:00.000
213,412,97,5,213,301.810000,0.0213,1,1,2026-08-24T00:00:00.000
214,184,123,3,214,303.180000,0.0214,1,1,2026-08-24T00:00:00.000
215,280,4,4,215,304.550000,0.0215,1,1,2026-08-24T00:00:00.000
216,268,74,4,216,305.920000,0.0216,1,1,2026-08-24T00:00:00.000
217,70,88,5,217,307.290000,0.0217,1,1,2026-08-24T00:00:00.000
218,483,65,10,218,308.660000,0.0218,1,1,2026-08-24T00:00:00.000
219,164,33,1,219,310.030000,0.0219,1,1,2026-08-24T00:00:00.000
220,136,65,5,220,311.400000,0.0220,1,1,2026-08-24T00:00:00.000
221,356,95,9,221,312.770000,0.0221,1,1,2026-08-24T00:00:00.000
222,220,51,5,222,314.140000,0.0222,1,1,2026-08-24T00:00:00.000
223,342,117,11,223,315.510000,0.0223,1,1,2026-08-24T00:00:00.000
224,269,106,6,224,316.880000,0.0224,1,1,2026-08-24T00:00:00.000
225,357,135,9,225,318.250000,0.0225,1,1,2026-08-24T00:00:00.000
226,232,64,12,226,319.620000,0.0226,1,1,2026-08-24T00:00:00.000
227,350,124,6,227,320.990000,0.0227,1,1,2026-08-24T00:00:00.000
228,178,64,11,228,322.360000,0.0228,1,1,2026-08-24T00:00:00.000
229,133,129,11,229,323.730000,0.0229,1,1,2026-08-24T00:00:00.000
230,31,20,5,230,325.100000,0.0230,1,1,2026-08-24T00:00:00.000
231,448,10,6,231,326.470000,0.0231,1,1,2026-08-24T00:00:00.000
232,410,149,1,232,327.840000,0.0232,1,1,2026-08-24T00:00:00.000
233,146,52,11,233,329.210000,0.0233,1,1,2026-08-24T00:00:00.000
234,98,150,9,234,330.580000,0.0234,1,1,2026-08-24T00:00:00.000
235,98,145,11,235,331.950000,0.0235,1,1,2026-08-24T00:00:00.000
236,452,49,8,236,333.320000,0.0236,1,1,2026-08-24T00:00:00.000
237,263,98,10,237,334.690000,0.0237,1,1,2026-08-24T00:00:00.000
238,188,159,6,238,336.060000,0.0238,1,1,2026-08-24T00:00:00.000
239,8,28,9,239,337.430000,0.0239,1,1,2026-08-24T00:00:00.000
240,494,28,7,240,338.800000,0.0240,1,1,2026-08-24T00:00:00.000
241,461,107,5,241,340.170000,0.0241,1,1,2026-08-24T00:00:00.000
242,447,91,3,242,341.540000,0.0242,1,1,2026-08-24T00:00:00.000
243,311,155,5,243,342.910000,0.0243,1,1,2026-08-24T00:00:00.000
244,180,135,4,244,344.280000,0.0244,1,1,2026-08-24T00:00:00.000
245,73,119,8,245,345.650000,0.0245,1,1,2026-08-24T00:00:00.000
246,290,136,12,246,347.020000,0.0246,1,1,2026-08-24T00:00:00.000
247,303,120,11,247,348.390000,0.0247,1,1,2026-08-24T00:00:00.000
248,157,49,1,248,349.760000,0.0248,1,1,2026-08-24T00:00:00.000
249,319,145,8,249,351.130000,0.0249,1,1,2026-08-24T00:00:00.000
250,213,66,8,250,352.500000,0.0250,1,1,2026-08-24T00:00:00.000
251,419,82,10,251,353.870000,0.0251,1,1,2026-08-24T00:00:00.000
252,27,27,5,252,355.240000,0.0252,1,1,2026-08-24T00:00:00.000
253,21,87,5,253,356.610000,0.0253,1,1,2026-08-24T00:00:00.000
254,77,10,6,254,357.980000,0.0254,1,1,2026-08-24T00:00:00.000
255,12,127,5,255,359.350000,0.0255,1,1,2026-08-24T00:00:00.000
256,30,56,4,256,360.720000,0.0256,1,1,2026-08-24T00:00:00.000
257,338,61,11,257,362.090000,0.0257,1,1,2026-08-24T00:00:00.000
258,457,26,12,258,363.460000,0.0258,1,1,2026-08-24T00:00:00.000
259,418,60,11,259,364.830000,0.0259,1,1,2026-08-24T00:00:00.000
260,427,50,8,260,366.200000,0.0260,1,1,2026-08-24T00:00:00.000
261,233,3,12,261,367.570000,0.0261,1,1,2026-08-24T00:00:00.000
262,239,32,10,262,368.940000,0.0262,1,1,2026-08-24T00:00:00.000
263,72,89,4,263,370.310000,0.0263,1,1,2026-08-24T00:00:00.000
264,302,146,10,264,371.680000,0.0264,1,1,2026-08-24T00:00:00.000
265,53,6,9,265,373.050000,0.0265,1,1,2026-08-24T00:00:00.000
266,466,66,8,266,374.420000,0.0266,1,1,2026-08-24T00:00:00.000
267,368,7,1,267,375.790000,0.0267,1,1,2026-08-24T00:00:00.000
268,51,38,6,268,377.160000,0.0268,1,1,2026-08-24T00:00:00.000
269,279,94,12,269,378.530000,0.0269,1,1,2026-08-24T00:00:00.000
270,166,138,7,270,379.900000,0.0270,1,1,2026-08-24T00:00:00.000
271,235,92,7,271,381.270000,0.0271,1,1,2026-08-24T00:00:00.000
272,483,137,4,272,382.640000,0.0272,1,1,2026-08-24T00:00:00.000
273,244,127,9,273,384.010000,0.0273,1,1,2026-08-24T00:00:00.000
274,264,142,3,274,385.380000,0.0274,1,1,2026-08-24T00:00:00.000
275,447,12,9,275,386.750000,0.0275,1,1,2026-08-24T00:00:00.000
276,352,28,3,276,388.120000,0.0276,1,1,2026-08-24T00:00:00.000
277,120,90,3,277,389.490000,0.0277,1,1,2026-08-24T00:00:00.000
278,478,150,11,278,390.860000,0.0278,1,1,2026-08-24T00:00:00.000
279,14,102,9,279,392.230000,0.0279,1,1,2026-08-24T00:00:00.000
280,289,54,2,280,393.600000,0.0280,1,1,2026-08-24T00:00:00.000
281,41,86,12,281,394.970000,0.0281,1,1,2026-08-24T00:00:00.000
282,414,122,7,282,396.340000,0.0282,1,1,2026-08-24T00:00:00.000
283,145,119,7,283,397.710000,0.0283,1,1,2026-08-24T00:00:00.000
284,167,112,1,284,399.080000,0.0284,1,1,2026-08-24T00:00:00.000
285,189,8,9,285,400.450000,0.0285,1,1,2026-08-24T00:00:00.000
286,33,158,8,286,401.820000,0.0286,1,1,2026-08-24T00:00:00.000
287,134,85,9,287,403.190000,0.0287,1,1,2026-08-24T00:00:00.000
288,223,20,9,288,404.560000,0.0288,1,1,2026-08-24T00:00:00.000
289,195,18,6,289,405.930000,0.0289,1,1,2026-08-24T00:00:00.000
290,303,159,7,290,407.300000,0.0290,1,1,2026-08-24T00:00:00.000
291,61,151,10,291,408.670000,0.0291,1,1,2026-08-24T00:00:00.000
292,267,159,5,292,410.040000,0.0292,1,1,2026-08-24T00:00:00.000
293,25,51,5,293,411.410000,0.0293,1,1,2026-08-24T00:00:00.000
294,353,88,8,294,412.780000,0.0294,1,1,2026-08-24T00:00:00.000
295,451,136,4,295,414.150000,0.0295,1,1,2026-08-24T00:00:00.000
296,499,78,8,296,415.520000,0.0296,1,1,2026-08-24T00:00:00.000
297,406,6,3,297,416.890000,0.0297,1,1,2026-08-24T00:00:00.000
298,274,8,7,298,418.260000,0.0298,1,1,2026-08-24T00:00:00.000
299,44,80,7,299,419.630000,0.0299,1,1,2026-08-24T00:00:00.000
300,283,76,1,300,421.000000,0.0300,1,1,2026-08-24T00:00:00.000
301,336,152,5,301,422.370000,0.0301,1,1,2026-08-24T00:00:00.000
302,11,36,10,302,423.740000,0.0302,1,1,2026-08-24T00:00:00.000
303,291,79,7,303,425.110000,0.0303,1,1,2026-08-24T00:00:00.000
304,443,45,2,304,426.480000,0.0304,1,1,2026-08-24T00:00:00.000
305,438,14,3,305,427.850000,0.0305,1,1,2026-08-24T00:00:00.000
306,3,4,11,306,429.220000,0.0306,1,1,2026-08-24T00:00:00.000
307,377,112,9,307,430.590000,0.0307,1,1,2026-08-24T00:00:00.000
308,82,48,7,308,431.960000,0.0308,1,1,2026-08-24T00:00:00.000
309,386,96,11,309,433.330000,0.0309,1,1,2026-08-24T00:00:00.000
310,457,132,7,310,434.700000,0.0310,1,1,2026-08-24T00:00:00.000
311,220,67,8,311,436.070000,0.0311,1,1,2026-08-24T00:00:00.000
312,207,47,11,312,437.440000,0.0312,1,1,2026-08-24T00:00:00.000
313,9,4,2,313,438.810000,0.0313,1,1,2026-08-24T00:00:00.000
314,84,124,4,314,440.180000,0.0314,1,1,2026-08-24T00:00:00.000
315,275,26,8,315,441.550000,0.0315,1,1,2026-08-24T00:00:00.000
316,404,129,1,316,442.920000,0.0316,1,1,2026-08-24T00:00:00.000
317,55,37,1,317,444.290000,0.0317,1,1,2026-08-24T00:00:00.000
318,192,155,9,318,445.660000,0.0318,1,1,2026-08-24T00:00:00.000
319,66,6,3,319,447.030000,0.0319,1,1,2026-08-24T00:00:00.000
320,265,157,1,320,448.400000,0.0320,1,1,2026-08-24T00:00:00.000
321,204,131,2,321,449.770000,0.0321,1,1,2026-08-24T00:00:00.000
322,394,32,12,322,451.140000,0.0322,1,1,2026-08-24T00:00:00.000
323,256,66,12,323,452.510000,0.0323,1,1,2026-08-24T00:00:00.000
324,371,141,2,324,453.880000,0.0324,1,1,2026-08-24T00:00:00.000
325,220,38,7,325,455.250000,0.0325,1,1,2026-08-24T00:00:00.000
326,377,3,2,326,456.620000,0.0326,1,1,2026-08-24T00:00:00.000
327,357,12,7,327,457.990000,0.0327,1,1,2026-08-24T00:00:00.000
328,329,15,3,328,459.360000,0.0328,1,1,2026-08-24T00:00:00.000
329,99,96,7,329,460.730000,0.0329,1,1,2026-08-24T00:00:00.000
330,422,102,8,330,462.100000,0.0330,1,1,2026-08-24T00:00:00.000
331,379,110,10,331,463.470000,0.0331,1,1,2026-08-24T00:00:00.000
332,477,129,4,332,464.840000,0.0332,1,1,2026-08-24T00:00:00.000
333,354,19,5,333,466.210000,0.0333,1,1,2026-08-24T00:00:00.000
334,380,13,2,334,467.580000,0.0334,1,1,2026-08-24T00:00:00.000
335,176,6,5,335,468.950000,0.0335,1,1,2026-08-24T00:00:00.000
336,445,30,11,336,470.320000,0.0336,1,1,2026-08-24T00:00:00.000
337,337,53,5,337,471.690000,0.0337,1,1,2026-08-24T00:00:00.000
338,191,98,8,338,473.060000,0.0338,1,1,2026-08-24T00:00:00.000
339,165,59,5,339,474.430000,0.0339,1,1,2026-08-24T00:00:00.000
340,307,118,4,340,475.800000,0.0340,1,1,2026-08-24T00:00:00.000
341,60,18,9,341,477.170000,0.0341,1,1,2026-08-24T00:00:00.000
342,492,71,8,342,478.540000,0.0342,1,1,2026-08-24T00:00:00.000
343,89,79,1,343,479.910000,0.0343,1,1,2026-08-24T00:00:00.000
344,396,124,10,344,481.280000,0.0344,1,1,2026-08-24T00:00:00.000
345,386,120,3,345,482.650000,0.0345,1,1,2026-08-24T00:00:00.000
346,162,72,10,346,484.020000,0.0346,1,1,2026-08-24T00:00:00.000
347,291,111,4,347,485.390000,0.0347,1,1,2026-08-24T00:00:00.000
348,137,109,10,348,486.760000,0.0348,1,1,2026-08-24T00:00:00.000
349,500,63,10,349,488.130000,0.0349,1,1,2026-08-24T00:00:00.000
350,276,22,8,350,489.500000,0.0350,1,1,2026-08-24T00:00:00.000
351,267,57,1,351,490.870000,0.0351,1,1,2026-08-24T00:00:00.000
352,479,145,5,352,492.240000,0.0352,1,1,2026-08-24T00:00:00.000
