SalesOrderLinePromotionKey,SalesOrderLineKey,SalesPromotionKey,SalesPriceConditionTypeKey,DiscountAmount,DiscountRate,SourceSystemKey,BatchId,LoadedAtUtc
31,290,62,9,52.4700,0.003100,1,1,2026-08-24T00:00:00.000
32,275,190,17,53.8400,0.003200,1,1,2026-08-24T00:00:00.000
33,382,467,7,55.2100,0.003300,1,1,2026-08-24T00:00:00.000
34,333,367,15,56.5800,0.003400,1,1,2026-08-24T00:00:00.000
35,26,173,15,57.9500,0.003500,1,1,2026-08-24T00:00:00.000
36,229,218,11,59.3200,0.003600,1,1,2026-08-24T00:00:00.000
37,383,417,17,60.6900,0.003700,1,1,2026-08-24T00:00:00.000
38,413,47,13,62.0600,0.003800,1,1,2026-08-24T00:00:00.000
39,180,243,1,63.4300,0.003900,1,1,2026-08-24T00:00:00.000
40,499,162,12,64.8000,0.004000,1,1,2026-08-24T00:00:00.000
41,312,307,17,66.1700,0.004100,1,1,2026-08-24T00:00:00.000
42,454,376,4,67.5400,0.004200,1,1,2026-08-24T00:00:00.000
43,61,345,8,68.9100,0.004300,1,1,2026-08-24T00:00:00.000
44,243,160,14,70.2800,0.004400,1,1,2026-08-24T00:00:00.000
45,314,327,11,71.6500,0.004500,1,1,2026-08-24T00:00:00.000
46,205,91,17,73.0200,0.004600,1,1,2026-08-24T00:00:00.000
47,325,271,6,74.3900,0.004700,1,1,2026-08-24T00:00:00.000
48,279,380,13,75.7600,0.004800,1,1,2026-08-24T00:00:00.000
49,76,495,16,77.1300,0.004900,1,1,2026-08-24T00:00:00.000
50,289,205,6,78.5000,0.005000,1,1,2026-08-24T00:00:00.000
51,35,74,13,79.8700,0.005100,1,1,2026-08-24T00:00:00.000
52,437,486,10,81.2400,0.005200,1,1,2026-08-24T00:00:00.000
53,23,324,6,82.6100,0.005300,1,1,2026-08-24T00:00:00.000
54,481,21,7,83.9800,0.005400,1,1,2026-08-24T00:00:00.000
55,302,470,7,85.3500,0.005500,1,1,2026-08-24T00:00:00.000
56,357,416,3,86.7200,0.005600,1,1,2026-08-24T00:00:00.000
57,257,422,1,88.0900,0.005700,1,1,2026-08-24T00:00:00.000
58,58,82,3,89.4600,0.005800,1,1,2026-08-24T00:00:00.000
59,382,398,13,90.8300,0.005900,1,1,2026-08-24T00:00:00.000
60,164,138,4,92.2000,0.006000,1,1,2026-08-24T00:00:00.000
61,483,495,1,93.5700,0.006100,1,1,2026-08-24T00:00:00.000
62,310,36,8,94.9400,0.006200,1,1,2026-08-24T00:00:00.000
63,482,105,3,96.3100,0.006300,1,1,2026-08-24T00:00:00.000
64,67,8,5,97.6800,0.006400,1,1,2026-08-24T00:00:00.000
65,272,495,18,99.0500,0.006500,1,1,2026-08-24T00:00:00.000
66,232,371,10,100.4200,0.006600,1,1,2026-08-24T00:00:00.000
67,308,358,5,101.7900,0.006700,1,1,2026-08-24T00:00:00.000
68,134,158,4,103.1600,0.006800,1,1,2026-08-24T00:00:00.000
69,263,134,12,104.5300,0.006900,1,1,2026-08-24T00:00:00.000
70,198,312,6,105.9000,0.007000,1,1,2026-08-24T00:00:00.000
71,479,17,16,107.2700,0.007100,1,1,2026-08-24T00:00:00.000
72,366,404,10,108.6400,0.007200,1,1,2026-08-24T00:00:00.000
73,204,185,2,110.0100,0.007300,1,1,2026-08-24T00:00:00.000
74,73,485,6,111.3800,0.007400,1,1,2026-08-24T00:00:00.000
75,277,452,17,112.7500,0.007500,1,1,2026-08-24T00:00:00.000
76,459,186,5,114.1200,0.007600,1,1,2026-08-24T00:00:00.000
77,273,435,9,115.4900,0.007700,1,1,2026-08-24T00:00:00.000
78,452,99,18,116.8600,0.007800,1,1,2026-08-24T00:00:00.000
79,396,194,9,118.2300,0.007900,1,1,2026-08-24T00:00:00.000
80,367,185,1,119.6000,0.008000,1,1,2026-08-24T00:00:00.000
81,70,166,17,120.9700,0.008100,1,1,2026-08-24T00:00:00.000
82,95,386,2,122.3400,0.008200,1,1,2026-08-24T00:00:00.000
83,162,36,4,123.7100,0.008300,1,1,2026-08-24T00:00:00.000
84,141,413,1,125.0800,0.008400,1,1,2026-08-24T00:00:00.000
85,69,181,7,126.4500,0.008500,1,1,2026-08-24T00:00:00.000
86,380,241,3,127.8200,0.008600,1,1,2026-08-24T00:00:00.000
87,91,168,8,129.1900,0.008700,1,1,2026-08-24T00:00:00.000
88,278,239,14,130.5600,0.008800,1,1,2026-08-24T00:00:00.000
89,489,202,18,131.9300,0.008900,1,1,2026-08-24T00:00:00.000
90,247,430,18,133.3000,0.009000,1,1,2026-08-24T00:00:00.000
91,267,93,17,134.6700,0.009100,1,1,2026-08-24T00:00:00.000
92,214,154,5,136.0400,0.009200,1,1,2026-08-24T00:00:00.000
93,71,26,9,137.4100,0.009300,1,1,2026-08-24T00:00:00.000
94,9,475,15,138.7800,0.009400,1,1,2026-08-24T00:00:00.000
95,304,216,17,140.1500,0.009500,1,1,2026-08-24T00:00:00.000
96,16,57,18,141.5200,0.009600,1,1,2026-08-24T00:00:00.000
97,249,198,8,142.8900,0.009700,1,1,2026-08-24T00:00:00.000
98,227,386,8,144.2600,0.009800,1,1,2026-08-24T00:00:00.000
99,460,35,18,145.6300,0.009900,1,1,2026-08-24T00:00:00.000
100,327,92,3,147.0000,0.010000,1,1,2026-08-24T00:00:00.000
101,401,397,5,148.3700,0.010100,1,1,2026-08-24T00:00:00.000
102,96,146,3,149.7400,0.010200,1,1,2026-08-24T00:00:00.000
103,6,186,7,151.1100,0.010300,1,1,2026-08-24T00:00:00.000
104,68,488,5,152.4800,0.010400,1,1,2026-08-24T00:00:00.000
105,56,259,17,153.8500,0.010500,1,1,2026-08-24T00:00:00.000
106,91,254,4,155.2200,0.010600,1,1,2026-08-24T00:00:00.000
107,1,90,18,156.5900,0.010700,1,1,2026-08-24T00:00:00.000
108,157,320,8,157.9600,0.010800,1,1,2026-08-24T00:00:00.000
109,376,224,8,159.3300,0.010900,1,1,2026-08-24T00:00:00.000
110,403,364,4,160.7000,0.011000,1,1,2026-08-24T00:00:00.000
111,65,64,14,162.0700,0.011100,1,1,2026-08-24T00:00:00.000
112,323,302,17,163.4400,0.011200,1,1,2026-08-24T00:00:00.000
113,113,29,15,164.8100,0.011300,1,1,2026-08-24T00:00:00.000
114,103,409,7,166.1800,0.011400,1,1,2026-08-24T00:00:00.000
115,3,178,12,167.5500,0.011500,1,1,2026-08-24T00:00:00.000
116,113,220,12,168.9200,0.011600,1,1,2026-08-24T00:00:00.000
117,404,182,14,170.2900,0.011700,1,1,2026-08-24T00:00:00.000
118,207,115,2,171.6600,0.011800,1,1,2026-08-24T00:00:00.000
119,382,39,6,173.0300,0.011900,1,1,2026-08-24T00:00:00.000
120,188,8,10,174.4000,0.012000,1,1,2026-08-24T00:00:00.000
121,36,247,13,175.7700,0.012100,1,1,2026-08-24T00:00:00.000
122,487,348,7,177.1400,0.012200,1,1,2026-08-24T00:00:00.000
123,267,359,6,178.5100,0.012300,1,1,2026-08-24T00:00:00.000
124,27,112,7,179.8800,0.012400,1,1,2026-08-24T00:00:00.000
125,221,238,14,181.2500,0.012500,1,1,2026-08-24T00:00:00.000
126,493,14,9,182.6200,0.012600,1,1,2026-08-24T00:00:00.000
127,254,178,9,183.9900,0.012700,1,1,2026-08-24T00:00:00.000
128,330,395,4,185.3600,0.012800,1,1,2026-08-24T00:00:00.000
129,336,483,8,186.7300,0.012900,1,1,2026-08-24T00:00:00.000
130,13,274,5,188.1000,0.013000,1,1,2026-08-24T00:00:00.000
131,76,386,4,189.4700,0.013100,1,1,2026-08-24T00:00:00.000
132,227,406,12,190.8400,0.013200,1,1,2026-08-24T00:00:00.000
133,445,190,5,192.2100,0.013300,1,1,2026-08-24T00:00:00.000
134,204,260,17,193.5800,0.013400,1,1,2026-08-24T00:00:00.000
135,184,231,14,194.9500,0.013500,1,1,2026-08-24T00:00:00.000
136,68,329,3,196.3200,0.013600,1,1,2026-08-24T00:00:00.000
137,345,430,13,197.6900,0.013700,1,1,2026-08-24T00:00:00.000
138,405,27,15,199.0600,0.013800,1,1,2026-08-24T00:00:00.000
139,198,488,11,200.4300,0.013900,1,1,2026-08-24T00:00:00.000
140,64,411,12,201.8000,0.014000,1,1,2026-08-24T00:00:00.000
141,486,413,14,203.1700,0.014100,1,1,2026-08-24T00:00:00.000
142,137,77,17,204.5400,0.014200,1,1,2026-08-24T00:00:00.000
143,209,393,18,205.9100,0.014300,1,1,2026-08-24T00:00:00.000
144,210,217,1,207.2800,0.014400,1,1,2026-08-24T00:00:00.000
145,428,94,17,208.6500,0.014500,1,1,2026-08-24T00:00:00.000
146,174,216,2,210.0200,0.014600,1,1,2026-08-24T00:00:00.000
147,365,423,16,211.3900,0.014700,1,1,2026-08-24T00:00:00.000
148,491,194,9,212.7600,0.014800,1,1,2026-08-24T00:00:00.000
149,492,284,2,214.1300,0.014900,1,1,2026-08-24T00:00:00.000
150,448,470,15,215.5000,0.015000,1,1,2026-08-24T00:00:00.000
151,288,220,9,216.8700,0.015100,1,1,2026-08-24T00:00:00.000
152,426,439,10,218.2400,0.015200,1,1,2026-08-24T00:00:00.000
153,325,441,7,219.6100,0.015300,1,1,2026-08-24T00:00:00.000
154,294,224,3,220.9800,0.015400,1,1,2026-08-24T00:00:00.000
155,377,260,12,222.3500,0.015500,1,1,2026-08-24T00:00:00.000
156,88,495,17,223.7200,0.015600,1,1,2026-08-24T00:00:00.000
157,31,498,15,225.0900,0.015700,1,1,2026-08-24T00:00:00.000
158,17,261,18,226.4600,0.015800,1,1,2026-08-24T00:00:00.000
159,37,94,1,227.8300,0.015900,1,1,2026-08-24T00:00:00.000
160,485,385,2,229.2000,0.016000,1,1,2026-08-24T00:00:00.000
161,99,112,12,230.5700,0.016100,1,1,2026-08-24T00:00:00.000
162,138,268,12,231.9400,0.016200,1,1,2026-08-24T00:00:00.000
163,44,328,16,233.3100,0.016300,1,1,2026-08-24T00:00:00.000
164,7,170,6,234.6800,0.016400,1,1,2026-08-24T00:00:00.000
165,39,186,9,236.0500,0.016500,1,1,2026-08-24T00:00:00.000
166,78,497,15,237.4200,0.016600,1,1,2026-08-24T00:00:00.000
167,465,81,18,238.7900,0.016700,1,1,2026-08-24T00:00:00.000
168,68,181,2,240.1600,0.016800,1,1,2026-08-24T00:00:00.000
169,198,140,6,241.5300,0.016900,1,1,2026-08-24T00:00:00.000
170,419,94,1,242.9000,0.017000,1,1,2026-08-24T00:00:00.000
171,375,423,16,244.2700,0.017100,1,1,2026-08-24T00:00:00.000
172,207,305,14,245.6400,0.017200,1,1,2026-08-24T00:00:00.000
173,377,164,12,247.0100,0.017300,1,1,2026-08-24T00:00:00.000
174,84,127,4,248.3800,0.017400,1,1,2026-08-24T00:00:00.000
175,420,452,15,249.7500,0.017500,1,1,2026-08-24T00:00:00.000
176,3,146,11,251.1200,0.017600,1,1,2026-08-24T00:00:00.000
177,223,216,14,252.4900,0.017700,1,1,2026-08-24T00:00:00.000
178,204,173,17,253.8600,0.017800,1,1,2026-08-24T00:00:00.000
179,68,132,15,255.2300,0.017900,1,1,2026-08-24T00:00:00.000
180,331,288,3,256.6000,0.018000,1,1,2026-08-24T00:00:00.000
181,168,252,1,257.9700,0.018100,1,1,2026-08-24T00:00:00.000
182,144,397,7,259.3400,0.018200,1,1,2026-08-24T00:00:00.000
183,5,413,8,260.7100,0.018300,1,1,2026-08-24T00:00:00.000
184,349,103,16,262.0800,0.018400,1,1,2026-08-24T00:00:00.000
185,238,193,18,263.4500,0.018500,1,1,2026-08-24T00:00:00.000
186,258,264,17,264.8200,0.018600,1,1,2026-08-24T00:00:00.000
187,443,500,16,266.1900,0.018700,1,1,2026-08-24T00:00:00.000
188,91,340,16,267.5600,0.018800,1,1,2026-08-24T00:00:00.000
189,294,112,12,268.9300,0.018900,1,1,2026-08-24T00:00:00.000
190,68,92,11,270.3000,0.019000,1,1,2026-08-24T00:00:00.000
191,78,185,10,271.6700,0.019100,1,1,2026-08-24T00:00:00.000
192,477,242,18,273.0400,0.019200,1,1,2026-08-24T00:00:00.000
193,279,428,9,274.4100,0.019300,1,1,2026-08-24T00:00:00.000
194,421,493,2,275.7800,0.019400,1,1,2026-08-24T00:00:00.000
195,123,6,12,277.1500,0.019500,1,1,2026-08-24T00:00:00.000
196,305,327,13,278.5200,0.019600,1,1,2026-08-24T00:00:00.000
197,295,184,2,279.8900,0.019700,1,1,2026-08-24T00:00:00.000
198,297,332,17,281.2600,0.019800,1,1,2026-08-24T00:00:00.000
199,96,464,5,282.6300,0.019900,1,1,2026-08-24T00:00:00.000
200,338,8,3,284.0000,0.020000,1,1,2026-08-24T00:00:00.000
201,277,303,9,285.3700,0.020100,1,1,2026-08-24T00:00:00.000
202,247,19,11,286.7400,0.020200,1,1,2026-08-24T00:00:00.000
203,466,243,2,288.1100,0.020300,1,1,2026-08-24T00:00:00.000
204,158,152,4,289.4800,0.020400,1,1,2026-08-24T00:00:00.000
205,14,100,8,290.8500,0.020500,1,1,2026-08-24T00:00:00.000
206,491,262,13,292.2200,0.020600,1,1,2026-08-24T00:00:00.000
207,462,133,5,293.5900,0.020700,1,1,2026-08-24T00:00:00.000
208,121,227,13,294.9600,0.020800,1,1,2026-08-24T00:00:00.000
209,70,426,4,296.3300,0.020900,1,1,2026-08-24T00:00:00.000
210,474,134,9,297.7000,0.021000,1,1,2026-08-24T00:00:00.000
211,487,343,3,299.0700,0.021100,1,1,2026-08-24T00:00:00.000
212,474,467,16,300.4400,0.021200,1,1,2026-08-24T00:00:00.000
213,153,471,9,301.8100,0.021300,1,1,2026-08-24T00:00:00.000
214,49,294,1,303.1800,0.021400,1,1,2026-08-24T00:00:00.000
215,254,52,17,304.5500,0.021500,1,1,2026-08-24T00:00:00.000
216,95,71,14,305.9200,0.021600,1,1,2026-08-24T00:00:00.000
217,372,59,10,307.2900,0.021700,1,1,2026-08-24T00:00:00.000
218,201,135,4,308.6600,0.021800,1,1,2026-08-24T00:00:00.000
219,260,114,17,310.0300,0.021900,1,1,2026-08-24T00:00:00.000
220,495,453,13,311.4000,0.022000,1,1,2026-08-24T00:00:00.000
221,447,450,13,312.7700,0.022100,1,1,2026-08-24T00:00:00.000
222,1,424,3,314.1400,0.022200,1,1,2026-08-24T00:00:00.000
223,232,319,15,315.5100,0.022300,1,1,2026-08-24T00:00:00.000
224,500,284,2,316.8800,0.022400,1,1,2026-08-24T00:00:00.000
225,87,246,16,318.2500,0.022500,1,1,2026-08-24T00:00:00.000
226,363,111,1,319.6200,0.022600,1,1,2026-08-24T00:00:00.000
227,361,3,2,320.9900,0.022700,1,1,2026-08-24T00:00:00.000
228,263,351,13,322.3600,0.022800,1,1,2026-08-24T00:00:00.000
229,353,170,13,323.7300,0.022900,1,1,2026-08-24T00:00:00.000
230,288,303,2,325.1000,0.023000,1,1,2026-08-24T00:00:00.000
231,79,210,15,326.4700,0.023100,1,1,2026-08-24T00:00:00.000
232,475,440,9,327.8400,0.023200,1,1,2026-08-24T00:00:00.000
233,110,160,14,329.2100,0.023300,1,1,2026-08-24T00:00:00.000
234,216,448,9,330.5800,0.023400,1,1,2026-08-24T00:00:00.000
235,322,324,16,331.9500,0.023500,1,1,2026-08-24T00:00:00.000
236,152,289,2,333.3200,0.023600,1,1,2026-08-24T00:00:00.000
237,449,144,13,334.6900,0.023700,1,1,2026-08-24T00:00:00.000
238,417,375,18,336.0600,0.023800,1,1,2026-08-24T00:00:00.000
239,467,78,5,337.4300,0.023900,1,1,2026-08-24T00:00:00.000
240,497,173,16,338.8000,0.024000,1,1,2026-08-24T00:00:00.000
241,186,491,1,340.1700,0.024100,1,1,2026-08-24T00:00:00.000
242,322,256,2,341.5400,0.024200,1,1,2026-08-24T00:00:00.000
243,394,137,9,342.9100,0.024300,1,1,2026-08-24T00:00:00.000
244,257,476,1,344.2800,0.024400,1,1,2026-08-24T00:00:00.000
245,43,109,10,345.6500,0.024500,1,1,2026-08-24T00:00:00.000
246,103,48,1,347.0200,0.024600,1,1,2026-08-24T00:00:00.000
247,447,183,11,348.3900,0.024700,1,1,2026-08-24T00:00:00.000
248,284,116,15,349.7600,0.024800,1,1,2026-08-24T00:00:00.000
249,346,323,5,351.1300,0.024900,1,1,2026-08-24T00:00:00.000
250,47,330,13,352.5000,0.025000,1,1,2026-08-24T00:00:00.000
251,236,407,8,353.8700,0.025100,1,1,2026-08-24T00:00:00.000
252,231,159,15,355.2400,0.025200,1,1,2026-08-24T00:00:00.000
253,485,50,14,356.6100,0.025300,1,1,2026-08-24T00:00:00.000
254,230,413,6,357.9800,0.025400,1,1,2026-08-24T00:00:00.000
255,208,415,13,359.3500,0.025500,1,1,2026-08-24T00:00:00.000
256,384,254,1,360.7200,0.025600,1,1,2026-08-24T00:00:00.000
257,5,174,7,362.0900,0.025700,1,1,2026-08-24T00:00:00.000
258,444,155,17,363.4600,0.025800,1,1,2026-08-24T00:00:00.000
259,240,63,12,364.8300,0.025900,1,1,2026-08-24T00:00:00.000
260,254,58,9,366.2000,0.026000,1,1,2026-08-24T00:00:00.000
261,404,61,13,367.5700,0.026100,1,1,2026-08-24T00:00:00.000
262,61,19,3,368.9400,0.026200,1,1,2026-08-24T00:00:00.000
263,259,218,8,370.3100,0.026300,1,1,2026-08-24T00:00:00.000
264,21,24,13,371.6800,0.026400,1,1,2026-08-24T00:00:00.000
265,136,339,12,373.0500,0.026500,1,1,2026-08-24T00:00:00.000
266,61,487,5,374.4200,0.026600,1,1,2026-08-24T00:00:00.000
267,293,21,14,375.7900,0.026700,1,1,2026-08-24T00:00:00.000
268,338,302,2,377.1600,0.026800,1,1,2026-08-24T00:00:00.000
269,175,458,16,378.5300,0.026900,1,1,2026-08-24T00:00:00.000
270,309,235,12,379.9000,0.027000,1,1,2026-08-24T00:00:00.000
271,87,55,10,381.2700,0.027100,1,1,2026-08-24T00:00:00.000
272,252,74,2,382.6400,0.027200,1,1,2026-08-24T00:00:00.000
273,150,205,1,384.0100,0.027300,1,1,2026-08-24T00:00:00.000
274,227,445,12,385.3800,0.027400,1,1,2026-08-24T00:00:00.000
275,176,475,12,386.7500,0.027500,1,1,2026-08-24T00:00:00.000
276,33,286,5,388.1200,0.027600,1,1,2026-08-24T00:00:00.000
277,289,303,13,389.4900,0.027700,1,1,2026-08-24T00:00:00.000
278,262,34,2,390.8600,0.027800,1,1,2026-08-24T00:00:00.000
279,424,497,16,392.2300,0.027900,1,1,2026-08-24T00:00:00.000
280,94,415,17,393.6000,0.028000,1,1,2026-08-24T00:00:00.000
281,369,240,1,394.9700,0.028100,1,1,2026-08-24T00:00:00.000
282,245,120,12,396.3400,0.028200,1,1,2026-08-24T00:00:00.000
283,4,42,13,397.7100,0.028300,1,1,2026-08-24T00:00:00.000
284,436,374,18,399.0800,0.028400,1,1,2026-08-24T00:00:00.000
285,376,220,5,400.4500,0.028500,1,1,2026-08-24T00:00:00.000
286,2,130,2,401.8200,0.028600,1,1,2026-08-24T00:00:00.000
287,327,307,1,403.1900,0.028700,1,1,2026-08-24T00:00:00.000
288,298,124,17,404.5600,0.028800,1,1,2026-08-24T00:00:00.000
289,160,78,5,405.9300,0.028900,1,1,2026-08-24T00:00:00.000
290,43,110,12,407.3000,0.029000,1,1,2026-08-24T00:00:00.000
291,134,461,10,408.6700,0.029100,1,1,2026-08-24T00:00:00.000
292,163,77,13,410.0400,0.029200,1,1,2026-08-24T00:00:00.000
293,75,314,15,411.4100,0.029300,1,1,2026-08-24T00:00:00.000
294,266,99,6,412.7800,0.029400,1,1,2026-08-24T00:00:00.000
295,327,158,6,414.1500,0.029500,1,1,2026-08-24T00:00:00.000
296,134,497,7,415.5200,0.029600,1,1,2026-08-24T00:00:00.000
297,141,316,10,416.8900,0.029700,1,1,2026-08-24T00:00:00.000
298,356,428,1,418.2600,0.029800,1,1,2026-08-24T00:00:00.000
299,412,34,4,419.6300,0.029900,1,1,2026-08-24T00:00:00.000
300,242,361,3,421.0000,0.030000,1,1,2026-08-24T00:00:00.000
301,245,19,8,422.3700,0.030100,1,1,2026-08-24T00:00:00.000
302,448,448,16,423.7400,0.030200,1,1,2026-08-24T00:00:00.000
303,170,202,1,425.1100,0.030300,1,1,2026-08-24T00:00:00.000
304,44,380,11,426.4800,0.030400,1,1,2026-08-24T00:00:00.000
305,433,395,12,427.8500,0.030500,1,1,2026-08-24T00:00:00.000
306,257,197,15,429.2200,0.030600,1,1,2026-08-24T00:00:00.000
307,315,429,15,430.5900,0.030700,1,1,2026-08-24T00:00:00.000
308,403,1,13,431.9600,0.030800,1,1,2026-08-24T00:00:00.000
309,99,25,6,433.3300,0.030900,1,1,2026-08-24T00:00:00.000
310,56,423,17,434.7000,0.031000,1,1,2026-08-24T00:00:00.000
311,494,495,7,436.0700,0.031100,1,1,2026-08-24T00:00:00.000
312,154,275,1,437.4400,0.031200,1,1,2026-08-24T00:00:00.000
313,37,36,4,438.8100,0.031300,1,1,2026-08-24T00:00:00.000
314,209,380,17,440.1800,0.031400,1,1,2026-08-24T00:00:00.000
315,200,341,5,441.5500,0.031500,1,1,2026-08-24T00:00:00.000
316,315,372,11,442.9200,0.031600,1,1,2026-08-24T00:00:00.000
317,139,92,12,444.2900,0.031700,1,1,2026-08-24T00:00:00.000
318,156,118,16,445.6600,0.031800,1,1,2026-08-24T00:00:00.000
319,427,36,11,447.0300,0.031900,1,1,2026-08-24T00:00:00.000
320,375,398,10,448.4000,0.032000,1,1,2026-08-24T00:00:00.000
321,355,279,9,449.7700,0.032100,1,1,2026-08-24T00:00:00.000
322,356,436,13,451.1400,0.032200,1,1,2026-08-24T00:00:00.000
323,145,215,3,452.5100,0.032300,1,1,2026-08-24T00:00:00.000
324,470,168,12,453.8800,0.032400,1,1,2026-08-24T00:00:00.000
325,9,179,4,455.2500,0.032500,1,1,2026-08-24T00:00:00.000
326,195,163,14,456.6200,0.032600,1,1,2026-08-24T00:00:00.000
327,73,210,8,457.9900,0.032700,1,1,2026-08-24T00:00:00.000
328,314,257,12,459.3600,0.032800,1,1,2026-08-24T00:00:00.000
329,177,398,10,460.7300,0.032900,1,1,2026-08-24T00:00:00.000
330,433,73,2,462.1000,0.033000,1,1,2026-08-24T00:00:00.000
331,443,355,15,463.4700,0.033100,1,1,2026-08-24T00:00:00.000
332,259,47,18,464.8400,0.033200,1,1,2026-08-24T00:00:00.000
333,252,429,14,466.2100,0.033300,1,1,2026-08-24T00:00:00.000
334,22,36,16,467.5800,0.033400,1,1,2026-08-24T00:00:00.000
335,489,116,1,468.9500,0.033500,1,1,2026-08-24T00:00:00.000
336,4,135,4,470.3200,0.033600,1,1,2026-08-24T00:00:00.000
337,201,224,14,471.6900,0.033700,1,1,2026-08-24T00:00:00.000
338,233,55,16,473.0600,0.033800,1,1,2026-08-24T00:00:00.000
339,223,290,5,474.4300,0.033900,1,1,2026-08-24T00:00:00.000
340,343,358,13,475.8000,0.034000,1,1,2026-08-24T00:00:00.000
341,302,456,14,477.1700,0.034100,1,1,2026-08-24T00:00:00.000
342,195,441,6,478.5400,0.034200,1,1,2026-08-24T00:00:00.000
343,489,107,14,479.9100,0.034300,1,1,2026-08-24T00:00:00.000
344,356,190,5,481.2800,0.034400,1,1,2026-08-24T00:00:00.000
345,295,54,18,482.6500,0.034500,1,1,2026-08-24T00:00:00.000
346,52,176,2,484.0200,0.034600,1,1,2026-08-24T00:00:00.000
347,468,321,12,485.3900,0.034700,1,1,2026-08-24T00:00:00.000
348,307,275,4,486.7600,0.034800,1,1,2026-08-24T00:00:00.000
349,125,26,3,488.1300,0.034900,1,1,2026-08-24T00:00:00.000
350,447,106,8,489.5000,0.035000,1,1,2026-08-24T00:00:00.000
351,378,319,10,490.8700,0.035100,1,1,2026-08-24T00:00:00.000
352,206,182,15,492.2400,0.035200,1,1,2026-08-24T00:00:00.000
353,258,160,13,493.6100,0.035300,1,1,2026-08-24T00:00:00.000
354,389,72,16,494.9800,0.035400,1,1,2026-08-24T00:00:00.000
355,39,96,15,496.3500,0.035500,1,1,2026-08-24T00:00:00.000
356,148,303,11,497.7200,0.035600,1,1,2026-08-24T00:00:00.000
357,431,454,8,499.0900,0.035700,1,1,2026-08-24T00:00:00.000
358,473,405,3,500.4600,0.035800,1,1,2026-08-24T00:00:00.000
359,13,355,13,501.8300,0.035900,1,1,2026-08-24T00:00:00.000
360,34,32,4,503.2000,0.036000,1,1,2026-08-24T00:00:00.000
361,263,215,14,504.5700,0.036100,1,1,2026-08-24T00:00:00.000
362,141,43,15,505.9400,0.036200,1,1,2026-08-24T00:00:00.000
363,113,130,17,507.3100,0.036300,1,1,2026-08-24T00:00:00.000
364,199,100,10,508.6800,0.036400,1,1,2026-08-24T00:00:00.000
365,160,79,5,510.0500,0.036500,1,1,2026-08-24T00:00:00.000
366,76,434,14,511.4200,0.036600,1,1,2026-08-24T00:00:00.000
367,404,434,18,512.7900,0.036700,1,1,2026-08-24T00:00:00.000
368,215,159,15,514.1600,0.036800,1,1,2026-08-24T00:00:00.000
369,109,403,9,515.5300,0.036900,1,1,2026-08-24T00:00:00.000
370,357,233,12,516.9000,0.037000,1,1,2026-08-24T00:00:00.000
371,422,50,10,518.2700,0.037100,1,1,2026-08-24T00:00:00.000
372,278,130,2,519.6400,0.037200,1,1,2026-08-24T00:00:00.000
