MachineStateLossMappingKey,MachineStateKey,OeeLossReasonKey,MachineLossCategoryKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
38,362,498,1,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,96,16,8,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,407,108,6,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,495,109,6,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,420,94,4,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,374,145,8,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,382,283,1,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,82,153,3,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,497,346,5,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,76,187,1,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,393,353,3,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,424,412,3,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,385,183,12,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,337,480,11,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,457,375,10,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,321,57,11,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
54,50,159,9,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,110,455,1,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,376,65,4,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,301,122,1,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,111,68,11,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,134,160,8,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,197,39,11,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,303,3,9,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
62,227,449,3,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,255,175,2,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,87,458,12,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,266,152,10,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
66,391,359,7,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,59,158,2,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,218,311,5,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,294,436,1,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,281,106,5,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
71,128,167,2,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,355,458,12,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,334,184,9,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,41,319,4,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,63,305,9,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,457,84,8,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,53,332,4,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,72,417,6,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,337,255,6,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,52,424,5,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,238,48,9,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
82,119,321,7,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,312,459,12,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,259,336,1,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,419,301,12,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,150,64,9,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,51,404,9,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,426,424,7,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,358,362,10,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,159,363,10,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,287,224,3,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,207,74,8,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,459,392,9,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,378,353,2,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
95,429,468,6,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,415,123,3,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,372,31,6,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
98,73,303,7,98,144.260000,0.0098,1,1,2026-08-24T00:00:00.000
99,423,97,4,99,145.630000,0.0099,1,1,2026-08-24T00:00:00.000
100,494,294,11,100,147.000000,0.0100,1,1,2026-08-24T00:00:00.000
101,412,433,11,101,148.370000,0.0101,1,1,2026-08-24T00:00:00.000
102,412,117,8,102,149.740000,0.0102,1,1,2026-08-24T00:00:00.000
103,210,160,8,103,151.110000,0.0103,1,1,2026-08-24T00:00:00.000
104,12,38,5,104,152.480000,0.0104,1,1,2026-08-24T00:00:00.000
105,217,482,3,105,153.850000,0.0105,1,1,2026-08-24T00:00:00.000
106,473,354,3,106,155.220000,0.0106,1,1,2026-08-24T00:00:00.000
107,423,36,8,107,156.590000,0.0107,1,1,2026-08-24T00:00:00.000
108,284,499,9,108,157.960000,0.0108,1,1,2026-08-24T00:00:00.000
109,82,403,7,109,159.330000,0.0109,1,1,2026-08-24T00:00:00.000
110,72,198,4,110,160.700000,0.0110,1,1,2026-08-24T00:00:00.000
111,455,472,3,111,162.070000,0.0111,1,1,2026-08-24T00:00:00.000
112,369,433,5,112,163.440000,0.0112,1,1,2026-08-24T00:00:00.000
113,196,436,10,113,164.810000,0.0113,1,1,2026-08-24T00:00:00.000
114,278,331,5,114,166.180000,0.0114,1,1,2026-08-24T00:00:00.000
115,481,344,12,115,167.550000,0.0115,1,1,2026-08-24T00:00:00.000
116,490,220,2,116,168.920000,0.0116,1,1,2026-08-24T00:00:00.000
117,207,258,10,117,170.290000,0.0117,1,1,2026-08-24T00:00:00.000
118,319,66,4,118,171.660000,0.0118,1,1,2026-08-24T00:00:00.000
119,377,406,9,119,173.030000,0.0119,1,1,2026-08-24T00:00:00.000
120,452,186,8,120,174.400000,0.0120,1,1,2026-08-24T00:00:00.000
121,385,208,4,121,175.770000,0.0121,1,1,2026-08-24T00:00:00.000
122,496,461,4,122,177.140000,0.0122,1,1,2026-08-24T00:00:00.000
123,335,145,10,123,178.510000,0.0123,1,1,2026-08-24T00:00:00.000
124,442,318,4,124,179.880000,0.0124,1,1,2026-08-24T00:00:00.000
125,105,93,3,125,181.250000,0.0125,1,1,2026-08-24T00:00:00.000
126,245,353,12,126,182.620000,0.0126,1,1,2026-08-24T00:00:00.000
127,240,457,11,127,183.990000,0.0127,1,1,2026-08-24T00:00:00.000
128,28,496,10,128,185.360000,0.0128,1,1,2026-08-24T00:00:00.000
129,68,424,8,129,186.730000,0.0129,1,1,2026-08-24T00:00:00.000
130,32,285,5,130,188.100000,0.0130,1,1,2026-08-24T00:00:00.000
131,147,176,9,131,189.470000,0.0131,1,1,2026-08-24T00:00:00.000
132,33,154,6,132,190.840000,0.0132,1,1,2026-08-24T00:00:00.000
133,306,103,4,133,192.210000,0.0133,1,1,2026-08-24T00:00:00.000
134,200,432,9,134,193.580000,0.0134,1,1,2026-08-24T00:00:00.000
135,191,467,12,135,194.950000,0.0135,1,1,2026-08-24T00:00:00.000
136,280,199,5,136,196.320000,0.0136,1,1,2026-08-24T00:00:00.000
137,131,357,4,137,197.690000,0.0137,1,1,2026-08-24T00:00:00.000
138,145,371,8,138,199.060000,0.0138,1,1,2026-08-24T00:00:00.000
139,420,1,1,139,200.430000,0.0139,1,1,2026-08-24T00:00:00.000
140,337,297,7,140,201.800000,0.0140,1,1,2026-08-24T00:00:00.000
141,206,457,6,141,203.170000,0.0141,1,1,2026-08-24T00:00:00.000
142,163,91,8,142,204.540000,0.0142,1,1,2026-08-24T00:00:00.000
143,331,74,7,143,205.910000,0.0143,1,1,2026-08-24T00:00:00.000
144,71,270,4,144,207.280000,0.0144,1,1,2026-08-24T00:00:00.000
145,249,444,11,145,208.650000,0.0145,1,1,2026-08-24T00:00:00.000
146,112,44,7,146,210.020000,0.0146,1,1,2026-08-24T00:00:00.000
147,343,370,12,147,211.390000,0.0147,1,1,2026-08-24T00:00:00.000
148,96,292,3,148,212.760000,0.0148,1,1,2026-08-24T00:00:00.000
149,112,41,11,149,214.130000,0.0149,1,1,2026-08-24T00:00:00.000
150,360,282,3,150,215.500000,0.0150,1,1,2026-08-24T00:00:00.000
151,274,283,11,151,216.870000,0.0151,1,1,2026-08-24T00:00:00.000
152,193,29,4,152,218.240000,0.0152,1,1,2026-08-24T00:00:00.000
153,410,108,12,153,219.610000,0.0153,1,1,2026-08-24T00:00:00.000
154,233,62,3,154,220.980000,0.0154,1,1,2026-08-24T00:00:00.000
155,342,214,6,155,222.350000,0.0155,1,1,2026-08-24T00:00:00.000
156,207,329,8,156,223.720000,0.0156,1,1,2026-08-24T00:00:00.000
157,266,420,8,157,225.090000,0.0157,1,1,2026-08-24T00:00:00.000
158,123,119,7,158,226.460000,0.0158,1,1,2026-08-24T00:00:00.000
159,288,48,4,159,227.830000,0.0159,1,1,2026-08-24T00:00:00.000
160,183,292,8,160,229.200000,0.0160,1,1,2026-08-24T00:00:00.000
161,202,493,6,161,230.570000,0.0161,1,1,2026-08-24T00:00:00.000
162,79,127,3,162,231.940000,0.0162,1,1,2026-08-24T00:00:00.000
163,254,361,6,163,233.310000,0.0163,1,1,2026-08-24T00:00:00.000
164,388,291,9,164,234.680000,0.0164,1,1,2026-08-24T00:00:00.000
165,360,124,11,165,236.050000,0.0165,1,1,2026-08-24T00:00:00.000
166,104,500,5,166,237.420000,0.0166,1,1,2026-08-24T00:00:00.000
167,19,395,4,167,238.790000,0.0167,1,1,2026-08-24T00:00:00.000
168,266,268,6,168,240.160000,0.0168,1,1,2026-08-24T00:00:00.000
169,284,14,12,169,241.530000,0.0169,1,1,2026-08-24T00:00:00.000
170,469,212,1,170,242.900000,0.0170,1,1,2026-08-24T00:00:00.000
171,421,115,9,171,244.270000,0.0171,1,1,2026-08-24T00:00:00.000
172,401,137,10,172,245.640000,0.0172,1,1,2026-08-24T00:00:00.000
173,460,295,2,173,247.010000,0.0173,1,1,2026-08-24T00:00:00.000
174,232,101,10,174,248.380000,0.0174,1,1,2026-08-24T00:00:00.000
175,162,161,12,175,249.750000,0.0175,1,1,2026-08-24T00:00:00.000
176,308,299,8,176,251.120000,0.0176,1,1,2026-08-24T00:00:00.000
177,279,238,3,177,252.490000,0.0177,1,1,2026-08-24T00:00:00.000
178,282,462,10,178,253.860000,0.0178,1,1,2026-08-24T00:00:00.000
179,45,28,11,179,255.230000,0.0179,1,1,2026-08-24T00:00:00.000
180,93,38,2,180,256.600000,0.0180,1,1,2026-08-24T00:00:00.000
181,83,426,11,181,257.970000,0.0181,1,1,2026-08-24T00:00:00.000
182,94,236,5,182,259.340000,0.0182,1,1,2026-08-24T00:00:00.000
183,63,398,12,183,260.710000,0.0183,1,1,2026-08-24T00:00:00.000
184,17,326,10,184,262.080000,0.0184,1,1,2026-08-24T00:00:00.000
185,273,267,5,185,263.450000,0.0185,1,1,2026-08-24T00:00:00.000
186,449,245,11,186,264.820000,0.0186,1,1,2026-08-24T00:00:00.000
187,51,269,12,187,266.190000,0.0187,1,1,2026-08-24T00:00:00.000
188,95,482,6,188,267.560000,0.0188,1,1,2026-08-24T00:00:00.000
189,333,299,4,189,268.930000,0.0189,1,1,2026-08-24T00:00:00.000
190,440,369,11,190,270.300000,0.0190,1,1,2026-08-24T00:00:00.000
191,166,160,4,191,271.670000,0.0191,1,1,2026-08-24T00:00:00.000
192,231,158,6,192,273.040000,0.0192,1,1,2026-08-24T00:00:00.000
193,328,257,5,193,274.410000,0.0193,1,1,2026-08-24T00:00:00.000
194,390,421,1,194,275.780000,0.0194,1,1,2026-08-24T00:00:00.000
195,174,34,11,195,277.150000,0.0195,1,1,2026-08-24T00:00:00.000
196,153,197,3,196,278.520000,0.0196,1,1,2026-08-24T00:00:00.000
197,154,74,10,197,279.890000,0.0197,1,1,2026-08-24T00:00:00.000
198,282,427,10,198,281.260000,0.0198,1,1,2026-08-24T00:00:00.000
199,377,194,7,199,282.630000,0.0199,1,1,2026-08-24T00:00:00.000
200,348,348,7,200,284.000000,0.0200,1,1,2026-08-24T00:00:00.000
201,419,466,9,201,285.370000,0.0201,1,1,2026-08-24T00:00:00.000
202,193,254,11,202,286.740000,0.0202,1,1,2026-08-24T00:00:00.000
203,339,222,10,203,288.110000,0.0203,1,1,2026-08-24T00:00:00.000
204,448,476,1,204,289.480000,0.0204,1,1,2026-08-24T00:00:00.000
205,29,380,6,205,290.850000,0.0205,1,1,2026-08-24T00:00:00.000
206,27,339,6,206,292.220000,0.0206,1,1,2026-08-24T00:00:00.000
207,490,453,1,207,293.590000,0.0207,1,1,2026-08-24T00:00:00.000
208,243,238,8,208,294.960000,0.0208,1,1,2026-08-24T00:00:00.000
209,72,436,10,209,296.330000,0.0209,1,1,2026-08-24T00:00:00.000
210,7,100,6,210,297.700000,0.0210,1,1,2026-08-24T00:00:00.000
211,202,188,9,211,299.070000,0.0211,1,1,2026-08-24T00:00:00.000
212,486,126,7,212,300.440000,0.0212,1,1,2026-08-24T00:00:00.000
213,20,180,9,213,301.810000,0.0213,1,1,2026-08-24T00:00:00.000
214,297,462,8,214,303.180000,0.0214,1,1,2026-08-24T00:00:00.000
215,235,349,5,215,304.550000,0.0215,1,1,2026-08-24T00:00:00.000
216,256,255,8,216,305.920000,0.0216,1,1,2026-08-24T00:00:00.000
217,314,215,6,217,307.290000,0.0217,1,1,2026-08-24T00:00:00.000
218,201,271,12,218,308.660000,0.0218,1,1,2026-08-24T00:00:00.000
219,35,194,2,219,310.030000,0.0219,1,1,2026-08-24T00:00:00.000
220,348,393,4,220,311.400000,0.0220,1,1,2026-08-24T00:00:00.000
221,59,193,9,221,312.770000,0.0221,1,1,2026-08-24T00:00:00.000
222,168,202,5,222,314.140000,0.0222,1,1,2026-08-24T00:00:00.000
223,126,488,1,223,315.510000,0.0223,1,1,2026-08-24T00:00:00.000
224,156,177,11,224,316.880000,0.0224,1,1,2026-08-24T00:00:00.000
225,73,458,3,225,318.250000,0.0225,1,1,2026-08-24T00:00:00.000
226,370,127,1,226,319.620000,0.0226,1,1,2026-08-24T00:00:00.000
227,9,487,4,227,320.990000,0.0227,1,1,2026-08-24T00:00:00.000
228,212,217,9,228,322.360000,0.0228,1,1,2026-08-24T00:00:00.000
229,477,228,7,229,323.730000,0.0229,1,1,2026-08-24T00:00:00.000
230,207,17,9,230,325.100000,0.0230,1,1,2026-08-24T00:00:00.000
231,217,281,3,231,326.470000,0.0231,1,1,2026-08-24T00:00:00.000
232,189,266,11,232,327.840000,0.0232,1,1,2026-08-24T00:00:00.000
233,390,318,4,233,329.210000,0.0233,1,1,2026-08-24T00:00:00.000
234,118,97,6,234,330.580000,0.0234,1,1,2026-08-24T00:00:00.000
235,150,107,1,235,331.950000,0.0235,1,1,2026-08-24T00:00:00.000
236,479,32,11,236,333.320000,0.0236,1,1,2026-08-24T00:00:00.000
237,36,74,10,237,334.690000,0.0237,1,1,2026-08-24T00:00:00.000
238,328,467,3,238,336.060000,0.0238,1,1,2026-08-24T00:00:00.000
239,128,51,11,239,337.430000,0.0239,1,1,2026-08-24T00:00:00.000
240,218,212,9,240,338.800000,0.0240,1,1,2026-08-24T00:00:00.000
241,296,366,10,241,340.170000,0.0241,1,1,2026-08-24T00:00:00.000
242,385,43,7,242,341.540000,0.0242,1,1,2026-08-24T00:00:00.000
243,439,231,6,243,342.910000,0.0243,1,1,2026-08-24T00:00:00.000
244,209,447,1,244,344.280000,0.0244,1,1,2026-08-24T00:00:00.000
245,461,87,2,245,345.650000,0.0245,1,1,2026-08-24T00:00:00.000
246,148,41,9,246,347.020000,0.0246,1,1,2026-08-24T00:00:00.000
247,86,486,1,247,348.390000,0.0247,1,1,2026-08-24T00:00:00.000
248,405,456,5,248,349.760000,0.0248,1,1,2026-08-24T00:00:00.000
249,168,10,1,249,351.130000,0.0249,1,1,2026-08-24T00:00:00.000
250,389,20,2,250,352.500000,0.0250,1,1,2026-08-24T00:00:00.000
251,304,164,8,251,353.870000,0.0251,1,1,2026-08-24T00:00:00.000
252,350,354,3,252,355.240000,0.0252,1,1,2026-08-24T00:00:00.000
253,255,366,5,253,356.610000,0.0253,1,1,2026-08-24T00:00:00.000
254,107,187,5,254,357.980000,0.0254,1,1,2026-08-24T00:00:00.000
255,191,5,8,255,359.350000,0.0255,1,1,2026-08-24T00:00:00.000
256,89,311,8,256,360.720000,0.0256,1,1,2026-08-24T00:00:00.000
257,131,33,11,257,362.090000,0.0257,1,1,2026-08-24T00:00:00.000
258,360,253,2,258,363.460000,0.0258,1,1,2026-08-24T00:00:00.000
259,335,170,7,259,364.830000,0.0259,1,1,2026-08-24T00:00:00.000
260,142,291,1,260,366.200000,0.0260,1,1,2026-08-24T00:00:00.000
261,318,219,7,261,367.570000,0.0261,1,1,2026-08-24T00:00:00.000
262,463,319,2,262,368.940000,0.0262,1,1,2026-08-24T00:00:00.000
263,187,156,5,263,370.310000,0.0263,1,1,2026-08-24T00:00:00.000
264,472,368,4,264,371.680000,0.0264,1,1,2026-08-24T00:00:00.000
265,146,301,8,265,373.050000,0.0265,1,1,2026-08-24T00:00:00.000
266,47,245,2,266,374.420000,0.0266,1,1,2026-08-24T00:00:00.000
267,347,448,2,267,375.790000,0.0267,1,1,2026-08-24T00:00:00.000
268,303,385,9,268,377.160000,0.0268,1,1,2026-08-24T00:00:00.000
269,96,157,6,269,378.530000,0.0269,1,1,2026-08-24T00:00:00.000
270,265,240,11,270,379.900000,0.0270,1,1,2026-08-24T00:00:00.000
271,34,272,8,271,381.270000,0.0271,1,1,2026-08-24T00:00:00.000
272,393,433,4,272,382.640000,0.0272,1,1,2026-08-24T00:00:00.000
273,70,207,12,273,384.010000,0.0273,1,1,2026-08-24T00:00:00.000
274,157,498,6,274,385.380000,0.0274,1,1,2026-08-24T00:00:00.000
275,469,320,7,275,386.750000,0.0275,1,1,2026-08-24T00:00:00.000
276,18,438,5,276,388.120000,0.0276,1,1,2026-08-24T00:00:00.000
277,183,189,12,277,389.490000,0.0277,1,1,2026-08-24T00:00:00.000
278,484,346,2,278,390.860000,0.0278,1,1,2026-08-24T00:00:00.000
279,280,226,8,279,392.230000,0.0279,1,1,2026-08-24T00:00:00.000
280,4,102,7,280,393.600000,0.0280,1,1,2026-08-24T00:00:00.000
281,17,318,1,281,394.970000,0.0281,1,1,2026-08-24T00:00:00.000
282,31,411,5,282,396.340000,0.0282,1,1,2026-08-24T00:00:00.000
283,384,181,1,283,397.710000,0.0283,1,1,2026-08-24T00:00:00.000
284,401,314,12,284,399.080000,0.0284,1,1,2026-08-24T00:00:00.000
285,424,10,3,285,400.450000,0.0285,1,1,2026-08-24T00:00:00.000
286,245,288,7,286,401.820000,0.0286,1,1,2026-08-24T00:00:00.000
287,387,215,4,287,403.190000,0.0287,1,1,2026-08-24T00:00:00.000
288,7,372,2,288,404.560000,0.0288,1,1,2026-08-24T00:00:00.000
289,191,139,9,289,405.930000,0.0289,1,1,2026-08-24T00:00:00.000
290,27,268,10,290,407.300000,0.0290,1,1,2026-08-24T00:00:00.000
291,412,52,3,291,408.670000,0.0291,1,1,2026-08-24T00:00:00.000
292,296,295,1,292,410.040000,0.0292,1,1,2026-08-24T00:00:00.000
293,443,55,5,293,411.410000,0.0293,1,1,2026-08-24T00:00:00.000
294,408,51,7,294,412.780000,0.0294,1,1,2026-08-24T00:00:00.000
295,283,435,3,295,414.150000,0.0295,1,1,2026-08-24T00:00:00.000
296,200,169,11,296,415.520000,0.0296,1,1,2026-08-24T00:00:00.000
297,415,22,3,297,416.890000,0.0297,1,1,2026-08-24T00:00:00.000
298,39,416,8,298,418.260000,0.0298,1,1,2026-08-24T00:00:00.000
299,80,426,10,299,419.630000,0.0299,1,1,2026-08-24T00:00:00.000
300,264,290,6,300,421.000000,0.0300,1,1,2026-08-24T00:00:00.000
301,367,220,12,301,422.370000,0.0301,1,1,2026-08-24T00:00:00.000
302,251,386,4,302,423.740000,0.0302,1,1,2026-08-24T00:00:00.000
303,239,154,6,303,425.110000,0.0303,1,1,2026-08-24T00:00:00.000
304,169,449,6,304,426.480000,0.0304,1,1,2026-08-24T00:00:00.000
305,399,305,3,305,427.850000,0.0305,1,1,2026-08-24T00:00:00.000
306,291,400,5,306,429.220000,0.0306,1,1,2026-08-24T00:00:00.000
307,363,214,7,307,430.590000,0.0307,1,1,2026-08-24T00:00:00.000
308,321,411,5,308,431.960000,0.0308,1,1,2026-08-24T00:00:00.000
309,334,419,3,309,433.330000,0.0309,1,1,2026-08-24T00:00:00.000
310,80,432,1,310,434.700000,0.0310,1,1,2026-08-24T00:00:00.000
311,250,325,12,311,436.070000,0.0311,1,1,2026-08-24T00:00:00.000
312,306,422,4,312,437.440000,0.0312,1,1,2026-08-24T00:00:00.000
313,255,454,4,313,438.810000,0.0313,1,1,2026-08-24T00:00:00.000
314,442,374,10,314,440.180000,0.0314,1,1,2026-08-24T00:00:00.000
315,189,1,1,315,441.550000,0.0315,1,1,2026-08-24T00:00:00.000
316,397,130,11,316,442.920000,0.0316,1,1,2026-08-24T00:00:00.000
317,415,28,5,317,444.290000,0.0317,1,1,2026-08-24T00:00:00.000
318,184,197,7,318,445.660000,0.0318,1,1,2026-08-24T00:00:00.000
319,492,188,4,319,447.030000,0.0319,1,1,2026-08-24T00:00:00.000
320,113,479,6,320,448.400000,0.0320,1,1,2026-08-24T00:00:00.000
321,425,126,7,321,449.770000,0.0321,1,1,2026-08-24T00:00:00.000
322,308,270,2,322,451.140000,0.0322,1,1,2026-08-24T00:00:00.000
323,185,72,9,323,452.510000,0.0323,1,1,2026-08-24T00:00:00.000
324,199,270,8,324,453.880000,0.0324,1,1,2026-08-24T00:00:00.000
325,435,262,6,325,455.250000,0.0325,1,1,2026-08-24T00:00:00.000
326,280,98,9,326,456.620000,0.0326,1,1,2026-08-24T00:00:00.000
327,211,123,8,327,457.990000,0.0327,1,1,2026-08-24T00:00:00.000
328,282,145,10,328,459.360000,0.0328,1,1,2026-08-24T00:00:00.000
329,379,217,3,329,460.730000,0.0329,1,1,2026-08-24T00:00:00.000
330,71,496,7,330,462.100000,0.0330,1,1,2026-08-24T00:00:00.000
331,376,305,12,331,463.470000,0.0331,1,1,2026-08-24T00:00:00.000
332,189,323,7,332,464.840000,0.0332,1,1,2026-08-24T00:00:00.000
333,201,398,9,333,466.210000,0.0333,1,1,2026-08-24T00:00:00.000
334,157,467,9,334,467.580000,0.0334,1,1,2026-08-24T00:00:00.000
335,307,173,9,335,468.950000,0.0335,1,1,2026-08-24T00:00:00.000
336,76,156,9,336,470.320000,0.0336,1,1,2026-08-24T00:00:00.000
337,416,273,3,337,471.690000,0.0337,1,1,2026-08-24T00:00:00.000
338,185,319,1,338,473.060000,0.0338,1,1,2026-08-24T00:00:00.000
339,202,239,6,339,474.430000,0.0339,1,1,2026-08-24T00:00:00.000
340,96,464,1,340,475.800000,0.0340,1,1,2026-08-24T00:00:00.000
341,51,178,4,341,477.170000,0.0341,1,1,2026-08-24T00:00:00.000
342,211,163,2,342,478.540000,0.0342,1,1,2026-08-24T00:00:00.000
343,35,343,6,343,479.910000,0.0343,1,1,2026-08-24T00:00:00.000
344,302,189,6,344,481.280000,0.0344,1,1,2026-08-24T00:00:00.000
345,312,414,9,345,482.650000,0.0345,1,1,2026-08-24T00:00:00.000
346,146,447,1,346,484.020000,0.0346,1,1,2026-08-24T00:00:00.000
347,347,433,12,347,485.390000,0.0347,1,1,2026-08-24T00:00:00.000
348,336,25,11,348,486.760000,0.0348,1,1,2026-08-24T00:00:00.000
349,71,193,12,349,488.130000,0.0349,1,1,2026-08-24T00:00:00.000
350,267,78,12,350,489.500000,0.0350,1,1,2026-08-24T00:00:00.000
351,99,81,11,351,490.870000,0.0351,1,1,2026-08-24T00:00:00.000
352,360,107,10,352,492.240000,0.0352,1,1,2026-08-24T00:00:00.000
353,122,365,4,353,493.610000,0.0353,1,1,2026-08-24T00:00:00.000
