PurchaseRfqSupplierInvitationKey,PurchaseRequestForQuoteKey,SupplierKey,ApprovalStatusKey,QuotedAmount,SourceSystemKey,BatchId,LoadedAtUtc
36,269,493,2,59.3200,1,1,2026-08-24T00:00:00.000
37,229,294,5,60.6900,1,1,2026-08-24T00:00:00.000
38,153,220,1,62.0600,1,1,2026-08-24T00:00:00.000
39,472,208,4,63.4300,1,1,2026-08-24T00:00:00.000
40,248,256,1,64.8000,1,1,2026-08-24T00:00:00.000
41,20,119,3,66.1700,1,1,2026-08-24T00:00:00.000
42,94,333,2,67.5400,1,1,2026-08-24T00:00:00.000
43,208,362,5,68.9100,1,1,2026-08-24T00:00:00.000
44,367,449,4,70.2800,1,1,2026-08-24T00:00:00.000
45,85,225,3,71.6500,1,1,2026-08-24T00:00:00.000
46,280,205,3,73.0200,1,1,2026-08-24T00:00:00.000
47,103,85,5,74.3900,1,1,2026-08-24T00:00:00.000
48,153,135,5,75.7600,1,1,2026-08-24T00:00:00.000
49,30,273,4,77.1300,1,1,2026-08-24T00:00:00.000
50,185,318,2,78.5000,1,1,2026-08-24T00:00:00.000
51,2,225,4,79.8700,1,1,2026-08-24T00:00:00.000
52,406,259,4,81.2400,1,1,2026-08-24T00:00:00.000
53,92,259,3,82.6100,1,1,2026-08-24T00:00:00.000
54,424,173,2,83.9800,1,1,2026-08-24T00:00:00.000
55,432,60,3,85.3500,1,1,2026-08-24T00:00:00.000
56,267,137,1,86.7200,1,1,2026-08-24T00:00:00.000
57,232,483,2,88.0900,1,1,2026-08-24T00:00:00.000
58,237,304,4,89.4600,1,1,2026-08-24T00:00:00.000
59,440,77,1,90.8300,1,1,2026-08-24T00:00:00.000
60,222,445,3,92.2000,1,1,2026-08-24T00:00:00.000
61,404,105,2,93.5700,1,1,2026-08-24T00:00:00.000
62,62,341,5,94.9400,1,1,2026-08-24T00:00:00.000
63,83,231,1,96.3100,1,1,2026-08-24T00:00:00.000
64,103,454,1,97.6800,1,1,2026-08-24T00:00:00.000
65,474,358,4,99.0500,1,1,2026-08-24T00:00:00.000
66,278,325,3,100.4200,1,1,2026-08-24T00:00:00.000
67,432,417,4,101.7900,1,1,2026-08-24T00:00:00.000
68,85,280,5,103.1600,1,1,2026-08-24T00:00:00.000
69,113,331,1,104.5300,1,1,2026-08-24T00:00:00.000
70,58,481,1,105.9000,1,1,2026-08-24T00:00:00.000
71,483,63,3,107.2700,1,1,2026-08-24T00:00:00.000
72,170,422,4,108.6400,1,1,2026-08-24T00:00:00.000
73,152,12,3,110.0100,1,1,2026-08-24T00:00:00.000
74,85,67,3,111.3800,1,1,2026-08-24T00:00:00.000
75,202,305,5,112.7500,1,1,2026-08-24T00:00:00.000
76,494,305,4,114.1200,1,1,2026-08-24T00:00:00.000
77,196,394,5,115.4900,1,1,2026-08-24T00:00:00.000
78,61,195,2,116.8600,1,1,2026-08-24T00:00:00.000
79,299,298,3,118.2300,1,1,2026-08-24T00:00:00.000
80,313,88,2,119.6000,1,1,2026-08-24T00:00:00.000
81,366,390,3,120.9700,1,1,2026-08-24T00:00:00.000
82,123,369,2,122.3400,1,1,2026-08-24T00:00:00.000
83,53,143,4,123.7100,1,1,2026-08-24T00:00:00.000
84,320,57,5,125.0800,1,1,2026-08-24T00:00:00.000
85,471,272,5,126.4500,1,1,2026-08-24T00:00:00.000
86,396,40,2,127.8200,1,1,2026-08-24T00:00:00.000
87,397,340,2,129.1900,1,1,2026-08-24T00:00:00.000
88,8,368,1,130.5600,1,1,2026-08-24T00:00:00.000
89,223,492,5,131.9300,1,1,2026-08-24T00:00:00.000
90,23,62,4,133.3000,1,1,2026-08-24T00:00:00.000
91,198,16,1,134.6700,1,1,2026-08-24T00:00:00.000
92,243,157,2,136.0400,1,1,2026-08-24T00:00:00.000
93,87,105,4,137.4100,1,1,2026-08-24T00:00:00.000
94,322,296,3,138.7800,1,1,2026-08-24T00:00:00.000
95,121,416,2,140.1500,1,1,2026-08-24T00:00:00.000
96,293,456,3,141.5200,1,1,2026-08-24T00:00:00.000
97,94,319,3,142.8900,1,1,2026-08-24T00:00:00.000
98,12,413,2,144.2600,1,1,2026-08-24T00:00:00.000
99,381,160,5,145.6300,1,1,2026-08-24T00:00:00.000
100,406,186,3,147.0000,1,1,2026-08-24T00:00:00.000
101,466,381,1,148.3700,1,1,2026-08-24T00:00:00.000
102,38,312,2,149.7400,1,1,2026-08-24T00:00:00.000
103,106,407,4,151.1100,1,1,2026-08-24T00:00:00.000
104,84,275,2,152.4800,1,1,2026-08-24T00:00:00.000
105,207,447,1,153.8500,1,1,2026-08-24T00:00:00.000
106,163,344,5,155.2200,1,1,2026-08-24T00:00:00.000
107,251,93,4,156.5900,1,1,2026-08-24T00:00:00.000
108,222,168,3,157.9600,1,1,2026-08-24T00:00:00.000
109,384,181,5,159.3300,1,1,2026-08-24T00:00:00.000
110,459,291,3,160.7000,1,1,2026-08-24T00:00:00.000
111,328,48,3,162.0700,1,1,2026-08-24T00:00:00.000
112,86,165,3,163.4400,1,1,2026-08-24T00:00:00.000
113,256,101,2,164.8100,1,1,2026-08-24T00:00:00.000
114,60,270,3,166.1800,1,1,2026-08-24T00:00:00.000
115,453,223,4,167.5500,1,1,2026-08-24T00:00:00.000
116,200,375,3,168.9200,1,1,2026-08-24T00:00:00.000
117,17,177,1,170.2900,1,1,2026-08-24T00:00:00.000
118,119,225,1,171.6600,1,1,2026-08-24T00:00:00.000
119,291,133,5,173.0300,1,1,2026-08-24T00:00:00.000
120,343,181,3,174.4000,1,1,2026-08-24T00:00:00.000
121,443,244,3,175.7700,1,1,2026-08-24T00:00:00.000
122,294,243,3,177.1400,1,1,2026-08-24T00:00:00.000
123,307,489,5,178.5100,1,1,2026-08-24T00:00:00.000
124,450,498,4,179.8800,1,1,2026-08-24T00:00:00.000
125,468,284,4,181.2500,1,1,2026-08-24T00:00:00.000
126,93,468,2,182.6200,1,1,2026-08-24T00:00:00.000
127,320,135,1,183.9900,1,1,2026-08-24T00:00:00.000
128,65,54,3,185.3600,1,1,2026-08-24T00:00:00.000
129,416,445,4,186.7300,1,1,2026-08-24T00:00:00.000
130,485,483,4,188.1000,1,1,2026-08-24T00:00:00.000
131,421,434,4,189.4700,1,1,2026-08-24T00:00:00.000
132,290,102,1,190.8400,1,1,2026-08-24T00:00:00.000
133,215,500,4,192.2100,1,1,2026-08-24T00:00:00.000
134,154,453,5,193.5800,1,1,2026-08-24T00:00:00.000
135,496,451,5,194.9500,1,1,2026-08-24T00:00:00.000
136,4,7,3,196.3200,1,1,2026-08-24T00:00:00.000
137,278,305,2,197.6900,1,1,2026-08-24T00:00:00.000
138,77,197,5,199.0600,1,1,2026-08-24T00:00:00.000
139,123,482,3,200.4300,1,1,2026-08-24T00:00:00.000
140,52,474,2,201.8000,1,1,2026-08-24T00:00:00.000
141,108,442,1,203.1700,1,1,2026-08-24T00:00:00.000
142,116,240,1,204.5400,1,1,2026-08-24T00:00:00.000
143,237,31,5,205.9100,1,1,2026-08-24T00:00:00.000
144,462,339,1,207.2800,1,1,2026-08-24T00:00:00.000
145,409,350,5,208.6500,1,1,2026-08-24T00:00:00.000
146,188,101,3,210.0200,1,1,2026-08-24T00:00:00.000
147,430,399,2,211.3900,1,1,2026-08-24T00:00:00.000
148,374,434,5,212.7600,1,1,2026-08-24T00:00:00.000
149,329,168,1,214.1300,1,1,2026-08-24T00:00:00.000
150,148,396,4,215.5000,1,1,2026-08-24T00:00:00.000
151,402,270,3,216.8700,1,1,2026-08-24T00:00:00.000
152,164,280,2,218.2400,1,1,2026-08-24T00:00:00.000
153,461,182,1,219.6100,1,1,2026-08-24T00:00:00.000
154,486,383,4,220.9800,1,1,2026-08-24T00:00:00.000
155,44,491,2,222.3500,1,1,2026-08-24T00:00:00.000
156,173,459,4,223.7200,1,1,2026-08-24T00:00:00.000
157,444,219,1,225.0900,1,1,2026-08-24T00:00:00.000
158,253,85,3,226.4600,1,1,2026-08-24T00:00:00.000
159,263,305,3,227.8300,1,1,2026-08-24T00:00:00.000
160,280,54,2,229.2000,1,1,2026-08-24T00:00:00.000
161,146,164,3,230.5700,1,1,2026-08-24T00:00:00.000
162,409,134,5,231.9400,1,1,2026-08-24T00:00:00.000
163,15,296,4,233.3100,1,1,2026-08-24T00:00:00.000
164,219,402,3,234.6800,1,1,2026-08-24T00:00:00.000
165,398,356,1,236.0500,1,1,2026-08-24T00:00:00.000
166,406,12,1,237.4200,1,1,2026-08-24T00:00:00.000
167,3,377,1,238.7900,1,1,2026-08-24T00:00:00.000
168,467,399,3,240.1600,1,1,2026-08-24T00:00:00.000
169,243,216,4,241.5300,1,1,2026-08-24T00:00:00.000
170,129,162,4,242.9000,1,1,2026-08-24T00:00:00.000
171,386,491,1,244.2700,1,1,2026-08-24T00:00:00.000
172,228,136,2,245.6400,1,1,2026-08-24T00:00:00.000
173,63,405,3,247.0100,1,1,2026-08-24T00:00:00.000
174,326,487,2,248.3800,1,1,2026-08-24T00:00:00.000
175,294,131,1,249.7500,1,1,2026-08-24T00:00:00.000
176,67,62,2,251.1200,1,1,2026-08-24T00:00:00.000
177,319,103,1,252.4900,1,1,2026-08-24T00:00:00.000
178,65,14,5,253.8600,1,1,2026-08-24T00:00:00.000
179,38,88,1,255.2300,1,1,2026-08-24T00:00:00.000
180,259,5,3,256.6000,1,1,2026-08-24T00:00:00.000
181,412,227,1,257.9700,1,1,2026-08-24T00:00:00.000
182,314,424,4,259.3400,1,1,2026-08-24T00:00:00.000
183,69,83,2,260.7100,1,1,2026-08-24T00:00:00.000
184,377,484,2,262.0800,1,1,2026-08-24T00:00:00.000
185,91,54,4,263.4500,1,1,2026-08-24T00:00:00.000
186,228,389,5,264.8200,1,1,2026-08-24T00:00:00.000
187,114,277,3,266.1900,1,1,2026-08-24T00:00:00.000
188,346,141,3,267.5600,1,1,2026-08-24T00:00:00.000
189,19,247,1,268.9300,1,1,2026-08-24T00:00:00.000
190,261,67,3,270.3000,1,1,2026-08-24T00:00:00.000
191,305,152,1,271.6700,1,1,2026-08-24T00:00:00.000
192,415,93,1,273.0400,1,1,2026-08-24T00:00:00.000
193,310,95,2,274.4100,1,1,2026-08-24T00:00:00.000
194,166,321,5,275.7800,1,1,2026-08-24T00:00:00.000
195,273,260,2,277.1500,1,1,2026-08-24T00:00:00.000
196,22,4,2,278.5200,1,1,2026-08-24T00:00:00.000
197,215,78,4,279.8900,1,1,2026-08-24T00:00:00.000
198,130,59,4,281.2600,1,1,2026-08-24T00:00:00.000
199,188,16,4,282.6300,1,1,2026-08-24T00:00:00.000
200,214,49,5,284.0000,1,1,2026-08-24T00:00:00.000
201,28,115,1,285.3700,1,1,2026-08-24T00:00:00.000
202,267,379,5,286.7400,1,1,2026-08-24T00:00:00.000
203,324,49,5,288.1100,1,1,2026-08-24T00:00:00.000
204,359,292,5,289.4800,1,1,2026-08-24T00:00:00.000
205,209,321,5,290.8500,1,1,2026-08-24T00:00:00.000
206,20,306,5,292.2200,1,1,2026-08-24T00:00:00.000
207,278,131,1,293.5900,1,1,2026-08-24T00:00:00.000
208,126,102,4,294.9600,1,1,2026-08-24T00:00:00.000
209,185,229,1,296.3300,1,1,2026-08-24T00:00:00.000
210,120,379,2,297.7000,1,1,2026-08-24T00:00:00.000
211,484,291,5,299.0700,1,1,2026-08-24T00:00:00.000
212,113,417,1,300.4400,1,1,2026-08-24T00:00:00.000
213,222,420,2,301.8100,1,1,2026-08-24T00:00:00.000
214,446,142,5,303.1800,1,1,2026-08-24T00:00:00.000
215,322,93,2,304.5500,1,1,2026-08-24T00:00:00.000
216,17,199,1,305.9200,1,1,2026-08-24T00:00:00.000
217,13,427,3,307.2900,1,1,2026-08-24T00:00:00.000
218,88,91,4,308.6600,1,1,2026-08-24T00:00:00.000
219,166,387,4,310.0300,1,1,2026-08-24T00:00:00.000
220,165,25,1,311.4000,1,1,2026-08-24T00:00:00.000
221,201,181,3,312.7700,1,1,2026-08-24T00:00:00.000
222,108,340,2,314.1400,1,1,2026-08-24T00:00:00.000
223,173,51,5,315.5100,1,1,2026-08-24T00:00:00.000
224,463,137,1,316.8800,1,1,2026-08-24T00:00:00.000
225,280,256,1,318.2500,1,1,2026-08-24T00:00:00.000
226,427,209,1,319.6200,1,1,2026-08-24T00:00:00.000
227,388,8,3,320.9900,1,1,2026-08-24T00:00:00.000
228,472,287,3,322.3600,1,1,2026-08-24T00:00:00.000
229,40,127,5,323.7300,1,1,2026-08-24T00:00:00.000
230,250,224,3,325.1000,1,1,2026-08-24T00:00:00.000
231,299,465,5,326.4700,1,1,2026-08-24T00:00:00.000
232,206,481,2,327.8400,1,1,2026-08-24T00:00:00.000
233,87,369,5,329.2100,1,1,2026-08-24T00:00:00.000
234,49,325,4,330.5800,1,1,2026-08-24T00:00:00.000
235,399,297,3,331.9500,1,1,2026-08-24T00:00:00.000
236,459,344,2,333.3200,1,1,2026-08-24T00:00:00.000
237,6,372,3,334.6900,1,1,2026-08-24T00:00:00.000
238,108,49,1,336.0600,1,1,2026-08-24T00:00:00.000
239,390,116,3,337.4300,1,1,2026-08-24T00:00:00.000
240,349,182,4,338.8000,1,1,2026-08-24T00:00:00.000
241,173,267,2,340.1700,1,1,2026-08-24T00:00:00.000
242,464,1,5,341.5400,1,1,2026-08-24T00:00:00.000
243,229,91,3,342.9100,1,1,2026-08-24T00:00:00.000
244,377,463,5,344.2800,1,1,2026-08-24T00:00:00.000
245,434,175,2,345.6500,1,1,2026-08-24T00:00:00.000
246,157,138,3,347.0200,1,1,2026-08-24T00:00:00.000
247,62,299,3,348.3900,1,1,2026-08-24T00:00:00.000
248,5,177,5,349.7600,1,1,2026-08-24T00:00:00.000
249,261,77,3,351.1300,1,1,2026-08-24T00:00:00.000
250,163,272,1,352.5000,1,1,2026-08-24T00:00:00.000
251,484,425,1,353.8700,1,1,2026-08-24T00:00:00.000
252,91,249,3,355.2400,1,1,2026-08-24T00:00:00.000
253,216,31,5,356.6100,1,1,2026-08-24T00:00:00.000
254,111,11,4,357.9800,1,1,2026-08-24T00:00:00.000
255,262,274,2,359.3500,1,1,2026-08-24T00:00:00.000
256,10,469,4,360.7200,1,1,2026-08-24T00:00:00.000
257,475,326,4,362.0900,1,1,2026-08-24T00:00:00.000
258,335,314,4,363.4600,1,1,2026-08-24T00:00:00.000
259,20,13,4,364.8300,1,1,2026-08-24T00:00:00.000
260,150,488,2,366.2000,1,1,2026-08-24T00:00:00.000
261,144,95,4,367.5700,1,1,2026-08-24T00:00:00.000
262,129,133,4,368.9400,1,1,2026-08-24T00:00:00.000
263,259,222,2,370.3100,1,1,2026-08-24T00:00:00.000
264,153,99,1,371.6800,1,1,2026-08-24T00:00:00.000
265,169,254,4,373.0500,1,1,2026-08-24T00:00:00.000
266,21,245,3,374.4200,1,1,2026-08-24T00:00:00.000
267,196,448,2,375.7900,1,1,2026-08-24T00:00:00.000
268,497,126,1,377.1600,1,1,2026-08-24T00:00:00.000
269,157,293,5,378.5300,1,1,2026-08-24T00:00:00.000
270,268,150,3,379.9000,1,1,2026-08-24T00:00:00.000
271,267,465,1,381.2700,1,1,2026-08-24T00:00:00.000
272,182,438,3,382.6400,1,1,2026-08-24T00:00:00.000
273,364,275,1,384.0100,1,1,2026-08-24T00:00:00.000
274,347,33,4,385.3800,1,1,2026-08-24T00:00:00.000
275,233,95,3,386.7500,1,1,2026-08-24T00:00:00.000
276,37,55,3,388.1200,1,1,2026-08-24T00:00:00.000
277,90,99,2,389.4900,1,1,2026-08-24T00:00:00.000
278,184,389,5,390.8600,1,1,2026-08-24T00:00:00.000
279,36,91,3,392.2300,1,1,2026-08-24T00:00:00.000
280,208,186,1,393.6000,1,1,2026-08-24T00:00:00.000
281,443,473,5,394.9700,1,1,2026-08-24T00:00:00.000
282,6,273,2,396.3400,1,1,2026-08-24T00:00:00.000
283,231,242,1,397.7100,1,1,2026-08-24T00:00:00.000
284,291,158,2,399.0800,1,1,2026-08-24T00:00:00.000
285,392,118,2,400.4500,1,1,2026-08-24T00:00:00.000
286,286,392,5,401.8200,1,1,2026-08-24T00:00:00.000
287,479,3,2,403.1900,1,1,2026-08-24T00:00:00.000
288,153,260,2,404.5600,1,1,2026-08-24T00:00:00.000
289,161,364,3,405.9300,1,1,2026-08-24T00:00:00.000
290,262,85,2,407.3000,1,1,2026-08-24T00:00:00.000
291,321,11,4,408.6700,1,1,2026-08-24T00:00:00.000
292,348,320,3,410.0400,1,1,2026-08-24T00:00:00.000
293,395,448,4,411.4100,1,1,2026-08-24T00:00:00.000
294,14,270,4,412.7800,1,1,2026-08-24T00:00:00.000
295,455,413,4,414.1500,1,1,2026-08-24T00:00:00.000
296,304,28,5,415.5200,1,1,2026-08-24T00:00:00.000
297,157,248,2,416.8900,1,1,2026-08-24T00:00:00.000
298,84,157,4,418.2600,1,1,2026-08-24T00:00:00.000
299,323,276,3,419.6300,1,1,2026-08-24T00:00:00.000
300,308,150,4,421.0000,1,1,2026-08-24T00:00:00.000
301,172,360,2,422.3700,1,1,2026-08-24T00:00:00.000
302,40,197,4,423.7400,1,1,2026-08-24T00:00:00.000
303,353,480,2,425.1100,1,1,2026-08-24T00:00:00.000
304,134,27,4,426.4800,1,1,2026-08-24T00:00:00.000
305,281,104,3,427.8500,1,1,2026-08-24T00:00:00.000
306,482,455,4,429.2200,1,1,2026-08-24T00:00:00.000
307,200,244,2,430.5900,1,1,2026-08-24T00:00:00.000
308,39,76,3,431.9600,1,1,2026-08-24T00:00:00.000
309,349,87,2,433.3300,1,1,2026-08-24T00:00:00.000
310,267,398,1,434.7000,1,1,2026-08-24T00:00:00.000
311,349,44,2,436.0700,1,1,2026-08-24T00:00:00.000
312,50,7,3,437.4400,1,1,2026-08-24T00:00:00.000
313,110,411,5,438.8100,1,1,2026-08-24T00:00:00.000
314,499,364,1,440.1800,1,1,2026-08-24T00:00:00.000
315,456,417,1,441.5500,1,1,2026-08-24T00:00:00.000
316,132,277,2,442.9200,1,1,2026-08-24T00:00:00.000
317,383,84,3,444.2900,1,1,2026-08-24T00:00:00.000
318,119,173,3,445.6600,1,1,2026-08-24T00:00:00.000
319,100,384,3,447.0300,1,1,2026-08-24T00:00:00.000
320,110,297,1,448.4000,1,1,2026-08-24T00:00:00.000
321,245,45,1,449.7700,1,1,2026-08-24T00:00:00.000
322,167,416,5,451.1400,1,1,2026-08-24T00:00:00.000
323,324,360,1,452.5100,1,1,2026-08-24T00:00:00.000
324,438,499,4,453.8800,1,1,2026-08-24T00:00:00.000
325,293,149,1,455.2500,1,1,2026-08-24T00:00:00.000
326,212,34,1,456.6200,1,1,2026-08-24T00:00:00.000
327,127,197,1,457.9900,1,1,2026-08-24T00:00:00.000
328,398,77,3,459.3600,1,1,2026-08-24T00:00:00.000
329,432,404,2,460.7300,1,1,2026-08-24T00:00:00.000
330,366,96,1,462.1000,1,1,2026-08-24T00:00:00.000
331,331,476,1,463.4700,1,1,2026-08-24T00:00:00.000
332,229,435,2,464.8400,1,1,2026-08-24T00:00:00.000
333,250,284,5,466.2100,1,1,2026-08-24T00:00:00.000
334,267,454,1,467.5800,1,1,2026-08-24T00:00:00.000
335,29,134,3,468.9500,1,1,2026-08-24T00:00:00.000
336,288,110,5,470.3200,1,1,2026-08-24T00:00:00.000
337,359,285,4,471.6900,1,1,2026-08-24T00:00:00.000
338,77,393,5,473.0600,1,1,2026-08-24T00:00:00.000
339,300,428,4,474.4300,1,1,2026-08-24T00:00:00.000
340,104,105,5,475.8000,1,1,2026-08-24T00:00:00.000
341,221,486,2,477.1700,1,1,2026-08-24T00:00:00.000
342,217,1,5,478.5400,1,1,2026-08-24T00:00:00.000
343,393,476,2,479.9100,1,1,2026-08-24T00:00:00.000
344,277,135,5,481.2800,1,1,2026-08-24T00:00:00.000
345,255,246,3,482.6500,1,1,2026-08-24T00:00:00.000
346,222,172,4,484.0200,1,1,2026-08-24T00:00:00.000
347,151,7,5,485.3900,1,1,2026-08-24T00:00:00.000
348,270,266,5,486.7600,1,1,2026-08-24T00:00:00.000
349,362,143,1,488.1300,1,1,2026-08-24T00:00:00.000
350,6,388,4,489.5000,1,1,2026-08-24T00:00:00.000
351,254,27,2,490.8700,1,1,2026-08-24T00:00:00.000
352,394,240,2,492.2400,1,1,2026-08-24T00:00:00.000
353,310,197,2,493.6100,1,1,2026-08-24T00:00:00.000
354,9,74,3,494.9800,1,1,2026-08-24T00:00:00.000
355,23,38,1,496.3500,1,1,2026-08-24T00:00:00.000
356,130,44,4,497.7200,1,1,2026-08-24T00:00:00.000
357,276,9,4,499.0900,1,1,2026-08-24T00:00:00.000
358,408,141,5,500.4600,1,1,2026-08-24T00:00:00.000
359,165,453,2,501.8300,1,1,2026-08-24T00:00:00.000
360,399,228,3,503.2000,1,1,2026-08-24T00:00:00.000
361,367,269,1,504.5700,1,1,2026-08-24T00:00:00.000
362,86,218,1,505.9400,1,1,2026-08-24T00:00:00.000
363,123,366,3,507.3100,1,1,2026-08-24T00:00:00.000
364,254,396,1,508.6800,1,1,2026-08-24T00:00:00.000
365,369,165,5,510.0500,1,1,2026-08-24T00:00:00.000
366,76,334,5,511.4200,1,1,2026-08-24T00:00:00.000
367,497,157,5,512.7900,1,1,2026-08-24T00:00:00.000
368,129,201,3,514.1600,1,1,2026-08-24T00:00:00.000
369,4,145,2,515.5300,1,1,2026-08-24T00:00:00.000
370,352,151,5,516.9000,1,1,2026-08-24T00:00:00.000
371,250,11,5,518.2700,1,1,2026-08-24T00:00:00.000
372,68,466,3,519.6400,1,1,2026-08-24T00:00:00.000
373,126,385,1,521.0100,1,1,2026-08-24T00:00:00.000
374,495,194,3,522.3800,1,1,2026-08-24T00:00:00.000
375,87,281,3,523.7500,1,1,2026-08-24T00:00:00.000
376,221,338,5,525.1200,1,1,2026-08-24T00:00:00.000
377,411,201,1,526.4900,1,1,2026-08-24T00:00:00.000
378,6,38,3,527.8600,1,1,2026-08-24T00:00:00.000
379,485,322,1,529.2300,1,1,2026-08-24T00:00:00.000
380,305,113,5,530.6000,1,1,2026-08-24T00:00:00.000
381,449,270,1,531.9700,1,1,2026-08-24T00:00:00.000
382,82,57,3,533.3400,1,1,2026-08-24T00:00:00.000
383,104,153,2,534.7100,1,1,2026-08-24T00:00:00.000
384,260,340,4,536.0800,1,1,2026-08-24T00:00:00.000
385,393,472,2,537.4500,1,1,2026-08-24T00:00:00.000
386,466,14,3,538.8200,1,1,2026-08-24T00:00:00.000
387,447,207,4,540.1900,1,1,2026-08-24T00:00:00.000
388,17,258,4,541.5600,1,1,2026-08-24T00:00:00.000
389,442,36,2,542.9300,1,1,2026-08-24T00:00:00.000
390,339,246,2,544.3000,1,1,2026-08-24T00:00:00.000
391,101,208,2,545.6700,1,1,2026-08-24T00:00:00.000
392,40,6,5,547.0400,1,1,2026-08-24T00:00:00.000
393,38,393,3,548.4100,1,1,2026-08-24T00:00:00.000
394,96,92,3,549.7800,1,1,2026-08-24T00:00:00.000
395,189,341,1,551.1500,1,1,2026-08-24T00:00:00.000
396,368,66,5,552.5200,1,1,2026-08-24T00:00:00.000
397,483,47,4,553.8900,1,1,2026-08-24T00:00:00.000
398,26,293,1,555.2600,1,1,2026-08-24T00:00:00.000
399,414,134,4,556.6300,1,1,2026-08-24T00:00:00.000
400,262,144,5,558.0000,1,1,2026-08-24T00:00:00.000
401,407,383,4,559.3700,1,1,2026-08-24T00:00:00.000
402,140,32,1,560.7400,1,1,2026-08-24T00:00:00.000
403,470,412,3,562.1100,1,1,2026-08-24T00:00:00.000
404,29,346,4,563.4800,1,1,2026-08-24T00:00:00.000
405,151,122,4,564.8500,1,1,2026-08-24T00:00:00.000
406,290,32,5,566.2200,1,1,2026-08-24T00:00:00.000
407,35,217,1,567.5900,1,1,2026-08-24T00:00:00.000
408,55,243,2,568.9600,1,1,2026-08-24T00:00:00.000
409,170,227,4,570.3300,1,1,2026-08-24T00:00:00.000
410,432,246,3,571.7000,1,1,2026-08-24T00:00:00.000
411,312,74,3,573.0700,1,1,2026-08-24T00:00:00.000
412,216,452,3,574.4400,1,1,2026-08-24T00:00:00.000
413,158,20,2,575.8100,1,1,2026-08-24T00:00:00.000
414,476,307,5,577.1800,1,1,2026-08-24T00:00:00.000
415,374,433,1,578.5500,1,1,2026-08-24T00:00:00.000
416,427,394,3,579.9200,1,1,2026-08-24T00:00:00.000
417,158,233,5,581.2900,1,1,2026-08-24T00:00:00.000
418,365,368,4,582.6600,1,1,2026-08-24T00:00:00.000
419,42,439,1,584.0300,1,1,2026-08-24T00:00:00.000
420,373,330,4,585.4000,1,1,2026-08-24T00:00:00.000
421,141,50,3,586.7700,1,1,2026-08-24T00:00:00.000
422,185,433,1,588.1400,1,1,2026-08-24T00:00:00.000
423,229,187,4,589.5100,1,1,2026-08-24T00:00:00.000
424,151,298,4,590.8800,1,1,2026-08-24T00:00:00.000
425,414,463,2,592.2500,1,1,2026-08-24T00:00:00.000
426,286,282,4,593.6200,1,1,2026-08-24T00:00:00.000
427,235,159,4,594.9900,1,1,2026-08-24T00:00:00.000
428,160,31,2,596.3600,1,1,2026-08-24T00:00:00.000
429,337,209,2,597.7300,1,1,2026-08-24T00:00:00.000
430,466,294,2,599.1000,1,1,2026-08-24T00:00:00.000
431,178,222,3,600.4700,1,1,2026-08-24T00:00:00.000
