BomComponentResolutionKey,BomHeaderKey,ComponentEngineeringPartRevisionKey,UnitOfMeasureKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
119,201,427,3,119,173.030000,0.0119,1,1,2026-08-24T00:00:00.000
120,185,144,2,120,174.400000,0.0120,1,1,2026-08-24T00:00:00.000
121,124,411,1,121,175.770000,0.0121,1,1,2026-08-24T00:00:00.000
122,433,392,4,122,177.140000,0.0122,1,1,2026-08-24T00:00:00.000
123,27,151,4,123,178.510000,0.0123,1,1,2026-08-24T00:00:00.000
124,112,24,2,124,179.880000,0.0124,1,1,2026-08-24T00:00:00.000
125,408,342,7,125,181.250000,0.0125,1,1,2026-08-24T00:00:00.000
126,485,75,6,126,182.620000,0.0126,1,1,2026-08-24T00:00:00.000
127,150,79,1,127,183.990000,0.0127,1,1,2026-08-24T00:00:00.000
128,431,99,6,128,185.360000,0.0128,1,1,2026-08-24T00:00:00.000
129,169,212,7,129,186.730000,0.0129,1,1,2026-08-24T00:00:00.000
130,116,414,3,130,188.100000,0.0130,1,1,2026-08-24T00:00:00.000
131,487,302,2,131,189.470000,0.0131,1,1,2026-08-24T00:00:00.000
132,466,81,7,132,190.840000,0.0132,1,1,2026-08-24T00:00:00.000
133,431,457,2,133,192.210000,0.0133,1,1,2026-08-24T00:00:00.000
134,325,43,5,134,193.580000,0.0134,1,1,2026-08-24T00:00:00.000
135,439,404,5,135,194.950000,0.0135,1,1,2026-08-24T00:00:00.000
136,341,445,5,136,196.320000,0.0136,1,1,2026-08-24T00:00:00.000
137,368,304,7,137,197.690000,0.0137,1,1,2026-08-24T00:00:00.000
138,433,447,7,138,199.060000,0.0138,1,1,2026-08-24T00:00:00.000
139,172,431,5,139,200.430000,0.0139,1,1,2026-08-24T00:00:00.000
140,149,396,7,140,201.800000,0.0140,1,1,2026-08-24T00:00:00.000
141,123,474,6,141,203.170000,0.0141,1,1,2026-08-24T00:00:00.000
142,234,305,5,142,204.540000,0.0142,1,1,2026-08-24T00:00:00.000
143,207,309,5,143,205.910000,0.0143,1,1,2026-08-24T00:00:00.000
144,202,429,5,144,207.280000,0.0144,1,1,2026-08-24T00:00:00.000
145,252,391,1,145,208.650000,0.0145,1,1,2026-08-24T00:00:00.000
146,447,486,4,146,210.020000,0.0146,1,1,2026-08-24T00:00:00.000
147,384,158,2,147,211.390000,0.0147,1,1,2026-08-24T00:00:00.000
148,62,129,5,148,212.760000,0.0148,1,1,2026-08-24T00:00:00.000
149,101,285,7,149,214.130000,0.0149,1,1,2026-08-24T00:00:00.000
150,238,217,7,150,215.500000,0.0150,1,1,2026-08-24T00:00:00.000
151,200,135,5,151,216.870000,0.0151,1,1,2026-08-24T00:00:00.000
152,350,89,1,152,218.240000,0.0152,1,1,2026-08-24T00:00:00.000
153,253,395,3,153,219.610000,0.0153,1,1,2026-08-24T00:00:00.000
154,396,133,1,154,220.980000,0.0154,1,1,2026-08-24T00:00:00.000
155,383,92,7,155,222.350000,0.0155,1,1,2026-08-24T00:00:00.000
156,499,228,3,156,223.720000,0.0156,1,1,2026-08-24T00:00:00.000
157,306,267,6,157,225.090000,0.0157,1,1,2026-08-24T00:00:00.000
158,456,278,4,158,226.460000,0.0158,1,1,2026-08-24T00:00:00.000
159,54,391,1,159,227.830000,0.0159,1,1,2026-08-24T00:00:00.000
160,5,303,3,160,229.200000,0.0160,1,1,2026-08-24T00:00:00.000
161,209,66,7,161,230.570000,0.0161,1,1,2026-08-24T00:00:00.000
162,122,265,7,162,231.940000,0.0162,1,1,2026-08-24T00:00:00.000
163,335,365,2,163,233.310000,0.0163,1,1,2026-08-24T00:00:00.000
164,236,98,6,164,234.680000,0.0164,1,1,2026-08-24T00:00:00.000
165,206,173,5,165,236.050000,0.0165,1,1,2026-08-24T00:00:00.000
166,170,6,7,166,237.420000,0.0166,1,1,2026-08-24T00:00:00.000
167,446,237,7,167,238.790000,0.0167,1,1,2026-08-24T00:00:00.000
168,55,126,1,168,240.160000,0.0168,1,1,2026-08-24T00:00:00.000
169,3,124,4,169,241.530000,0.0169,1,1,2026-08-24T00:00:00.000
170,342,281,2,170,242.900000,0.0170,1,1,2026-08-24T00:00:00.000
171,119,438,2,171,244.270000,0.0171,1,1,2026-08-24T00:00:00.000
172,89,290,6,172,245.640000,0.0172,1,1,2026-08-24T00:00:00.000
173,491,191,1,173,247.010000,0.0173,1,1,2026-08-24T00:00:00.000
174,222,287,7,174,248.380000,0.0174,1,1,2026-08-24T00:00:00.000
175,398,271,5,175,249.750000,0.0175,1,1,2026-08-24T00:00:00.000
176,130,469,3,176,251.120000,0.0176,1,1,2026-08-24T00:00:00.000
177,293,285,3,177,252.490000,0.0177,1,1,2026-08-24T00:00:00.000
178,42,284,3,178,253.860000,0.0178,1,1,2026-08-24T00:00:00.000
179,317,15,3,179,255.230000,0.0179,1,1,2026-08-24T00:00:00.000
180,163,204,3,180,256.600000,0.0180,1,1,2026-08-24T00:00:00.000
181,327,414,6,181,257.970000,0.0181,1,1,2026-08-24T00:00:00.000
182,99,318,3,182,259.340000,0.0182,1,1,2026-08-24T00:00:00.000
183,272,476,2,183,260.710000,0.0183,1,1,2026-08-24T00:00:00.000
184,41,410,6,184,262.080000,0.0184,1,1,2026-08-24T00:00:00.000
185,453,472,1,185,263.450000,0.0185,1,1,2026-08-24T00:00:00.000
186,240,94,1,186,264.820000,0.0186,1,1,2026-08-24T00:00:00.000
187,369,368,4,187,266.190000,0.0187,1,1,2026-08-24T00:00:00.000
188,167,252,6,188,267.560000,0.0188,1,1,2026-08-24T00:00:00.000
189,463,355,7,189,268.930000,0.0189,1,1,2026-08-24T00:00:00.000
190,3,464,4,190,270.300000,0.0190,1,1,2026-08-24T00:00:00.000
191,378,348,4,191,271.670000,0.0191,1,1,2026-08-24T00:00:00.000
192,361,176,5,192,273.040000,0.0192,1,1,2026-08-24T00:00:00.000
193,214,457,3,193,274.410000,0.0193,1,1,2026-08-24T00:00:00.000
194,207,53,5,194,275.780000,0.0194,1,1,2026-08-24T00:00:00.000
195,413,160,4,195,277.150000,0.0195,1,1,2026-08-24T00:00:00.000
196,109,488,4,196,278.520000,0.0196,1,1,2026-08-24T00:00:00.000
197,270,52,6,197,279.890000,0.0197,1,1,2026-08-24T00:00:00.000
198,201,369,4,198,281.260000,0.0198,1,1,2026-08-24T00:00:00.000
199,490,128,1,199,282.630000,0.0199,1,1,2026-08-24T00:00:00.000
200,336,137,3,200,284.000000,0.0200,1,1,2026-08-24T00:00:00.000
201,267,106,5,201,285.370000,0.0201,1,1,2026-08-24T00:00:00.000
202,177,69,6,202,286.740000,0.0202,1,1,2026-08-24T00:00:00.000
203,310,400,5,203,288.110000,0.0203,1,1,2026-08-24T00:00:00.000
204,146,2,3,204,289.480000,0.0204,1,1,2026-08-24T00:00:00.000
205,174,331,6,205,290.850000,0.0205,1,1,2026-08-24T00:00:00.000
206,349,83,6,206,292.220000,0.0206,1,1,2026-08-24T00:00:00.000
207,479,93,3,207,293.590000,0.0207,1,1,2026-08-24T00:00:00.000
208,402,34,4,208,294.960000,0.0208,1,1,2026-08-24T00:00:00.000
209,319,387,6,209,296.330000,0.0209,1,1,2026-08-24T00:00:00.000
210,401,119,4,210,297.700000,0.0210,1,1,2026-08-24T00:00:00.000
211,465,277,1,211,299.070000,0.0211,1,1,2026-08-24T00:00:00.000
212,499,344,5,212,300.440000,0.0212,1,1,2026-08-24T00:00:00.000
213,304,440,5,213,301.810000,0.0213,1,1,2026-08-24T00:00:00.000
214,131,9,2,214,303.180000,0.0214,1,1,2026-08-24T00:00:00.000
215,229,147,2,215,304.550000,0.0215,1,1,2026-08-24T00:00:00.000
216,99,340,6,216,305.920000,0.0216,1,1,2026-08-24T00:00:00.000
217,252,173,4,217,307.290000,0.0217,1,1,2026-08-24T00:00:00.000
218,210,455,6,218,308.660000,0.0218,1,1,2026-08-24T00:00:00.000
219,358,127,4,219,310.030000,0.0219,1,1,2026-08-24T00:00:00.000
220,493,362,6,220,311.400000,0.0220,1,1,2026-08-24T00:00:00.000
221,280,191,5,221,312.770000,0.0221,1,1,2026-08-24T00:00:00.000
222,443,289,6,222,314.140000,0.0222,1,1,2026-08-24T00:00:00.000
223,91,235,2,223,315.510000,0.0223,1,1,2026-08-24T00:00:00.000
224,273,71,6,224,316.880000,0.0224,1,1,2026-08-24T00:00:00.000
225,133,416,2,225,318.250000,0.0225,1,1,2026-08-24T00:00:00.000
226,64,14,2,226,319.620000,0.0226,1,1,2026-08-24T00:00:00.000
227,337,490,7,227,320.990000,0.0227,1,1,2026-08-24T00:00:00.000
228,459,194,6,228,322.360000,0.0228,1,1,2026-08-24T00:00:00.000
229,356,370,4,229,323.730000,0.0229,1,1,2026-08-24T00:00:00.000
230,468,364,7,230,325.100000,0.0230,1,1,2026-08-24T00:00:00.000
231,453,194,1,231,326.470000,0.0231,1,1,2026-08-24T00:00:00.000
232,310,12,3,232,327.840000,0.0232,1,1,2026-08-24T00:00:00.000
233,190,98,4,233,329.210000,0.0233,1,1,2026-08-24T00:00:00.000
234,463,300,4,234,330.580000,0.0234,1,1,2026-08-24T00:00:00.000
235,317,257,6,235,331.950000,0.0235,1,1,2026-08-24T00:00:00.000
236,478,383,7,236,333.320000,0.0236,1,1,2026-08-24T00:00:00.000
237,468,187,4,237,334.690000,0.0237,1,1,2026-08-24T00:00:00.000
238,383,6,4,238,336.060000,0.0238,1,1,2026-08-24T00:00:00.000
239,216,181,6,239,337.430000,0.0239,1,1,2026-08-24T00:00:00.000
240,276,294,2,240,338.800000,0.0240,1,1,2026-08-24T00:00:00.000
241,123,70,7,241,340.170000,0.0241,1,1,2026-08-24T00:00:00.000
242,405,47,6,242,341.540000,0.0242,1,1,2026-08-24T00:00:00.000
243,50,479,4,243,342.910000,0.0243,1,1,2026-08-24T00:00:00.000
244,241,146,7,244,344.280000,0.0244,1,1,2026-08-24T00:00:00.000
245,223,74,1,245,345.650000,0.0245,1,1,2026-08-24T00:00:00.000
246,243,451,1,246,347.020000,0.0246,1,1,2026-08-24T00:00:00.000
247,327,218,6,247,348.390000,0.0247,1,1,2026-08-24T00:00:00.000
248,132,18,7,248,349.760000,0.0248,1,1,2026-08-24T00:00:00.000
249,386,275,5,249,351.130000,0.0249,1,1,2026-08-24T00:00:00.000
250,147,119,6,250,352.500000,0.0250,1,1,2026-08-24T00:00:00.000
251,313,153,3,251,353.870000,0.0251,1,1,2026-08-24T00:00:00.000
252,314,322,4,252,355.240000,0.0252,1,1,2026-08-24T00:00:00.000
253,389,19,2,253,356.610000,0.0253,1,1,2026-08-24T00:00:00.000
254,199,250,4,254,357.980000,0.0254,1,1,2026-08-24T00:00:00.000
255,3,64,5,255,359.350000,0.0255,1,1,2026-08-24T00:00:00.000
256,75,136,6,256,360.720000,0.0256,1,1,2026-08-24T00:00:00.000
257,178,357,7,257,362.090000,0.0257,1,1,2026-08-24T00:00:00.000
258,209,34,4,258,363.460000,0.0258,1,1,2026-08-24T00:00:00.000
259,471,2,3,259,364.830000,0.0259,1,1,2026-08-24T00:00:00.000
260,326,476,2,260,366.200000,0.0260,1,1,2026-08-24T00:00:00.000
261,288,51,5,261,367.570000,0.0261,1,1,2026-08-24T00:00:00.000
262,210,247,3,262,368.940000,0.0262,1,1,2026-08-24T00:00:00.000
263,219,89,3,263,370.310000,0.0263,1,1,2026-08-24T00:00:00.000
264,52,81,2,264,371.680000,0.0264,1,1,2026-08-24T00:00:00.000
265,95,466,7,265,373.050000,0.0265,1,1,2026-08-24T00:00:00.000
266,415,145,4,266,374.420000,0.0266,1,1,2026-08-24T00:00:00.000
267,333,149,1,267,375.790000,0.0267,1,1,2026-08-24T00:00:00.000
268,295,26,6,268,377.160000,0.0268,1,1,2026-08-24T00:00:00.000
269,470,52,4,269,378.530000,0.0269,1,1,2026-08-24T00:00:00.000
270,409,13,2,270,379.900000,0.0270,1,1,2026-08-24T00:00:00.000
271,77,98,6,271,381.270000,0.0271,1,1,2026-08-24T00:00:00.000
272,108,465,6,272,382.640000,0.0272,1,1,2026-08-24T00:00:00.000
273,177,317,2,273,384.010000,0.0273,1,1,2026-08-24T00:00:00.000
274,328,85,3,274,385.380000,0.0274,1,1,2026-08-24T00:00:00.000
275,218,109,4,275,386.750000,0.0275,1,1,2026-08-24T00:00:00.000
276,144,221,4,276,388.120000,0.0276,1,1,2026-08-24T00:00:00.000
277,248,95,3,277,389.490000,0.0277,1,1,2026-08-24T00:00:00.000
278,328,47,4,278,390.860000,0.0278,1,1,2026-08-24T00:00:00.000
279,260,330,2,279,392.230000,0.0279,1,1,2026-08-24T00:00:00.000
280,318,140,5,280,393.600000,0.0280,1,1,2026-08-24T00:00:00.000
281,270,190,7,281,394.970000,0.0281,1,1,2026-08-24T00:00:00.000
282,360,93,4,282,396.340000,0.0282,1,1,2026-08-24T00:00:00.000
283,50,189,6,283,397.710000,0.0283,1,1,2026-08-24T00:00:00.000
284,236,274,6,284,399.080000,0.0284,1,1,2026-08-24T00:00:00.000
285,99,149,4,285,400.450000,0.0285,1,1,2026-08-24T00:00:00.000
286,251,473,7,286,401.820000,0.0286,1,1,2026-08-24T00:00:00.000
287,256,114,6,287,403.190000,0.0287,1,1,2026-08-24T00:00:00.000
288,313,259,6,288,404.560000,0.0288,1,1,2026-08-24T00:00:00.000
289,288,267,4,289,405.930000,0.0289,1,1,2026-08-24T00:00:00.000
290,444,371,7,290,407.300000,0.0290,1,1,2026-08-24T00:00:00.000
291,303,402,1,291,408.670000,0.0291,1,1,2026-08-24T00:00:00.000
292,497,412,6,292,410.040000,0.0292,1,1,2026-08-24T00:00:00.000
293,20,118,5,293,411.410000,0.0293,1,1,2026-08-24T00:00:00.000
294,198,158,6,294,412.780000,0.0294,1,1,2026-08-24T00:00:00.000
295,256,281,6,295,414.150000,0.0295,1,1,2026-08-24T00:00:00.000
296,155,471,6,296,415.520000,0.0296,1,1,2026-08-24T00:00:00.000
297,151,138,6,297,416.890000,0.0297,1,1,2026-08-24T00:00:00.000
298,135,328,6,298,418.260000,0.0298,1,1,2026-08-24T00:00:00.000
299,19,386,7,299,419.630000,0.0299,1,1,2026-08-24T00:00:00.000
300,179,385,7,300,421.000000,0.0300,1,1,2026-08-24T00:00:00.000
301,29,452,1,301,422.370000,0.0301,1,1,2026-08-24T00:00:00.000
302,425,150,7,302,423.740000,0.0302,1,1,2026-08-24T00:00:00.000
303,45,299,3,303,425.110000,0.0303,1,1,2026-08-24T00:00:00.000
304,93,451,6,304,426.480000,0.0304,1,1,2026-08-24T00:00:00.000
305,158,48,5,305,427.850000,0.0305,1,1,2026-08-24T00:00:00.000
306,358,167,5,306,429.220000,0.0306,1,1,2026-08-24T00:00:00.000
307,497,257,3,307,430.590000,0.0307,1,1,2026-08-24T00:00:00.000
308,317,216,1,308,431.960000,0.0308,1,1,2026-08-24T00:00:00.000
309,472,333,1,309,433.330000,0.0309,1,1,2026-08-24T00:00:00.000
310,6,499,6,310,434.700000,0.0310,1,1,2026-08-24T00:00:00.000
311,181,304,5,311,436.070000,0.0311,1,1,2026-08-24T00:00:00.000
312,294,68,6,312,437.440000,0.0312,1,1,2026-08-24T00:00:00.000
313,16,438,7,313,438.810000,0.0313,1,1,2026-08-24T00:00:00.000
314,345,451,3,314,440.180000,0.0314,1,1,2026-08-24T00:00:00.000
315,488,295,3,315,441.550000,0.0315,1,1,2026-08-24T00:00:00.000
316,210,353,1,316,442.920000,0.0316,1,1,2026-08-24T00:00:00.000
317,274,54,4,317,444.290000,0.0317,1,1,2026-08-24T00:00:00.000
318,457,383,5,318,445.660000,0.0318,1,1,2026-08-24T00:00:00.000
319,192,151,5,319,447.030000,0.0319,1,1,2026-08-24T00:00:00.000
320,277,175,5,320,448.400000,0.0320,1,1,2026-08-24T00:00:00.000
321,109,489,5,321,449.770000,0.0321,1,1,2026-08-24T00:00:00.000
322,462,452,6,322,451.140000,0.0322,1,1,2026-08-24T00:00:00.000
323,13,357,7,323,452.510000,0.0323,1,1,2026-08-24T00:00:00.000
324,99,127,3,324,453.880000,0.0324,1,1,2026-08-24T00:00:00.000
325,245,325,6,325,455.250000,0.0325,1,1,2026-08-24T00:00:00.000
326,369,94,6,326,456.620000,0.0326,1,1,2026-08-24T00:00:00.000
327,95,127,5,327,457.990000,0.0327,1,1,2026-08-24T00:00:00.000
328,24,3,4,328,459.360000,0.0328,1,1,2026-08-24T00:00:00.000
329,353,230,4,329,460.730000,0.0329,1,1,2026-08-24T00:00:00.000
330,395,494,3,330,462.100000,0.0330,1,1,2026-08-24T00:00:00.000
331,398,363,6,331,463.470000,0.0331,1,1,2026-08-24T00:00:00.000
332,378,110,7,332,464.840000,0.0332,1,1,2026-08-24T00:00:00.000
333,246,297,4,333,466.210000,0.0333,1,1,2026-08-24T00:00:00.000
334,451,369,1,334,467.580000,0.0334,1,1,2026-08-24T00:00:00.000
335,60,48,2,335,468.950000,0.0335,1,1,2026-08-24T00:00:00.000
336,468,299,5,336,470.320000,0.0336,1,1,2026-08-24T00:00:00.000
337,185,348,6,337,471.690000,0.0337,1,1,2026-08-24T00:00:00.000
338,344,472,5,338,473.060000,0.0338,1,1,2026-08-24T00:00:00.000
339,96,168,4,339,474.430000,0.0339,1,1,2026-08-24T00:00:00.000
340,93,454,4,340,475.800000,0.0340,1,1,2026-08-24T00:00:00.000
341,408,448,7,341,477.170000,0.0341,1,1,2026-08-24T00:00:00.000
342,175,156,2,342,478.540000,0.0342,1,1,2026-08-24T00:00:00.000
343,197,489,3,343,479.910000,0.0343,1,1,2026-08-24T00:00:00.000
344,488,184,4,344,481.280000,0.0344,1,1,2026-08-24T00:00:00.000
345,151,219,6,345,482.650000,0.0345,1,1,2026-08-24T00:00:00.000
346,473,456,1,346,484.020000,0.0346,1,1,2026-08-24T00:00:00.000
347,489,49,2,347,485.390000,0.0347,1,1,2026-08-24T00:00:00.000
348,49,407,3,348,486.760000,0.0348,1,1,2026-08-24T00:00:00.000
349,9,206,6,349,488.130000,0.0349,1,1,2026-08-24T00:00:00.000
350,374,438,6,350,489.500000,0.0350,1,1,2026-08-24T00:00:00.000
351,305,286,4,351,490.870000,0.0351,1,1,2026-08-24T00:00:00.000
352,381,108,4,352,492.240000,0.0352,1,1,2026-08-24T00:00:00.000
