QualitySupplierProductApprovalKey,SupplierKey,ProductKey,QualityInspectionPlanKey,ApprovalStatusKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
66,455,334,463,2,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,373,432,499,5,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,328,338,257,2,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,382,491,19,5,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,461,6,178,3,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
71,370,22,139,4,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,227,134,377,3,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,177,184,224,2,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,428,253,409,3,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,42,4,150,4,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,263,147,132,5,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,293,256,450,3,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,421,358,441,2,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,133,380,25,3,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,499,258,449,4,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,498,346,162,1,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
82,138,154,60,3,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,190,364,30,1,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,3,383,93,2,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,449,388,263,1,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,498,150,273,5,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,359,429,356,5,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,417,137,172,1,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,140,63,325,3,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,40,100,202,5,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,294,199,432,5,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,86,80,170,1,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,378,480,37,2,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,177,94,352,1,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
95,315,130,376,4,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,156,259,454,2,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,18,482,173,5,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
98,485,240,272,2,98,144.260000,0.0098,1,1,2026-08-24T00:00:00.000
99,343,57,35,4,99,145.630000,0.0099,1,1,2026-08-24T00:00:00.000
100,274,389,158,3,100,147.000000,0.0100,1,1,2026-08-24T00:00:00.000
101,424,131,295,4,101,148.370000,0.0101,1,1,2026-08-24T00:00:00.000
102,133,414,159,4,102,149.740000,0.0102,1,1,2026-08-24T00:00:00.000
103,17,318,425,1,103,151.110000,0.0103,1,1,2026-08-24T00:00:00.000
104,493,263,107,3,104,152.480000,0.0104,1,1,2026-08-24T00:00:00.000
105,319,8,299,3,105,153.850000,0.0105,1,1,2026-08-24T00:00:00.000
106,297,303,330,1,106,155.220000,0.0106,1,1,2026-08-24T00:00:00.000
107,61,422,333,3,107,156.590000,0.0107,1,1,2026-08-24T00:00:00.000
108,65,72,427,4,108,157.960000,0.0108,1,1,2026-08-24T00:00:00.000
109,198,221,478,4,109,159.330000,0.0109,1,1,2026-08-24T00:00:00.000
110,17,453,258,5,110,160.700000,0.0110,1,1,2026-08-24T00:00:00.000
111,262,441,30,1,111,162.070000,0.0111,1,1,2026-08-24T00:00:00.000
112,224,222,106,2,112,163.440000,0.0112,1,1,2026-08-24T00:00:00.000
113,343,427,386,4,113,164.810000,0.0113,1,1,2026-08-24T00:00:00.000
114,372,48,312,5,114,166.180000,0.0114,1,1,2026-08-24T00:00:00.000
115,161,175,352,4,115,167.550000,0.0115,1,1,2026-08-24T00:00:00.000
116,369,315,213,5,116,168.920000,0.0116,1,1,2026-08-24T00:00:00.000
117,388,106,441,1,117,170.290000,0.0117,1,1,2026-08-24T00:00:00.000
118,486,278,202,2,118,171.660000,0.0118,1,1,2026-08-24T00:00:00.000
119,371,365,327,4,119,173.030000,0.0119,1,1,2026-08-24T00:00:00.000
120,271,50,188,2,120,174.400000,0.0120,1,1,2026-08-24T00:00:00.000
121,126,409,235,2,121,175.770000,0.0121,1,1,2026-08-24T00:00:00.000
122,143,178,111,2,122,177.140000,0.0122,1,1,2026-08-24T00:00:00.000
123,216,362,139,2,123,178.510000,0.0123,1,1,2026-08-24T00:00:00.000
124,158,455,220,4,124,179.880000,0.0124,1,1,2026-08-24T00:00:00.000
125,108,223,229,1,125,181.250000,0.0125,1,1,2026-08-24T00:00:00.000
126,491,484,409,1,126,182.620000,0.0126,1,1,2026-08-24T00:00:00.000
127,125,294,274,1,127,183.990000,0.0127,1,1,2026-08-24T00:00:00.000
128,36,190,369,4,128,185.360000,0.0128,1,1,2026-08-24T00:00:00.000
129,12,313,490,4,129,186.730000,0.0129,1,1,2026-08-24T00:00:00.000
130,440,488,134,5,130,188.100000,0.0130,1,1,2026-08-24T00:00:00.000
131,324,210,277,2,131,189.470000,0.0131,1,1,2026-08-24T00:00:00.000
132,404,312,274,2,132,190.840000,0.0132,1,1,2026-08-24T00:00:00.000
133,19,187,26,5,133,192.210000,0.0133,1,1,2026-08-24T00:00:00.000
134,64,497,410,2,134,193.580000,0.0134,1,1,2026-08-24T00:00:00.000
135,415,276,185,1,135,194.950000,0.0135,1,1,2026-08-24T00:00:00.000
136,364,379,310,4,136,196.320000,0.0136,1,1,2026-08-24T00:00:00.000
137,44,45,380,1,137,197.690000,0.0137,1,1,2026-08-24T00:00:00.000
138,256,305,482,2,138,199.060000,0.0138,1,1,2026-08-24T00:00:00.000
139,345,190,194,4,139,200.430000,0.0139,1,1,2026-08-24T00:00:00.000
140,364,261,329,4,140,201.800000,0.0140,1,1,2026-08-24T00:00:00.000
141,490,36,113,1,141,203.170000,0.0141,1,1,2026-08-24T00:00:00.000
142,331,275,93,1,142,204.540000,0.0142,1,1,2026-08-24T00:00:00.000
143,307,59,470,4,143,205.910000,0.0143,1,1,2026-08-24T00:00:00.000
144,242,10,455,1,144,207.280000,0.0144,1,1,2026-08-24T00:00:00.000
145,414,34,381,5,145,208.650000,0.0145,1,1,2026-08-24T00:00:00.000
146,130,133,321,1,146,210.020000,0.0146,1,1,2026-08-24T00:00:00.000
147,117,386,406,2,147,211.390000,0.0147,1,1,2026-08-24T00:00:00.000
148,19,136,457,3,148,212.760000,0.0148,1,1,2026-08-24T00:00:00.000
149,316,467,79,4,149,214.130000,0.0149,1,1,2026-08-24T00:00:00.000
150,350,108,451,2,150,215.500000,0.0150,1,1,2026-08-24T00:00:00.000
151,230,205,357,5,151,216.870000,0.0151,1,1,2026-08-24T00:00:00.000
152,322,280,402,1,152,218.240000,0.0152,1,1,2026-08-24T00:00:00.000
153,167,485,380,1,153,219.610000,0.0153,1,1,2026-08-24T00:00:00.000
154,59,92,182,3,154,220.980000,0.0154,1,1,2026-08-24T00:00:00.000
155,262,203,325,1,155,222.350000,0.0155,1,1,2026-08-24T00:00:00.000
156,180,375,41,4,156,223.720000,0.0156,1,1,2026-08-24T00:00:00.000
157,193,282,319,4,157,225.090000,0.0157,1,1,2026-08-24T00:00:00.000
158,261,190,216,4,158,226.460000,0.0158,1,1,2026-08-24T00:00:00.000
159,356,232,224,5,159,227.830000,0.0159,1,1,2026-08-24T00:00:00.000
160,215,361,256,1,160,229.200000,0.0160,1,1,2026-08-24T00:00:00.000
161,310,313,5,4,161,230.570000,0.0161,1,1,2026-08-24T00:00:00.000
162,242,9,185,5,162,231.940000,0.0162,1,1,2026-08-24T00:00:00.000
163,112,232,340,4,163,233.310000,0.0163,1,1,2026-08-24T00:00:00.000
164,419,295,240,2,164,234.680000,0.0164,1,1,2026-08-24T00:00:00.000
165,106,395,61,1,165,236.050000,0.0165,1,1,2026-08-24T00:00:00.000
166,196,202,134,5,166,237.420000,0.0166,1,1,2026-08-24T00:00:00.000
167,380,33,125,2,167,238.790000,0.0167,1,1,2026-08-24T00:00:00.000
168,371,427,366,3,168,240.160000,0.0168,1,1,2026-08-24T00:00:00.000
169,163,245,447,5,169,241.530000,0.0169,1,1,2026-08-24T00:00:00.000
170,416,357,320,4,170,242.900000,0.0170,1,1,2026-08-24T00:00:00.000
171,436,419,154,3,171,244.270000,0.0171,1,1,2026-08-24T00:00:00.000
172,112,61,399,5,172,245.640000,0.0172,1,1,2026-08-24T00:00:00.000
173,50,161,178,3,173,247.010000,0.0173,1,1,2026-08-24T00:00:00.000
174,24,188,382,5,174,248.380000,0.0174,1,1,2026-08-24T00:00:00.000
175,427,320,166,5,175,249.750000,0.0175,1,1,2026-08-24T00:00:00.000
176,88,288,216,4,176,251.120000,0.0176,1,1,2026-08-24T00:00:00.000
177,315,355,391,1,177,252.490000,0.0177,1,1,2026-08-24T00:00:00.000
178,394,366,431,5,178,253.860000,0.0178,1,1,2026-08-24T00:00:00.000
179,153,16,448,3,179,255.230000,0.0179,1,1,2026-08-24T00:00:00.000
180,122,188,480,1,180,256.600000,0.0180,1,1,2026-08-24T00:00:00.000
181,126,277,335,2,181,257.970000,0.0181,1,1,2026-08-24T00:00:00.000
182,197,298,220,3,182,259.340000,0.0182,1,1,2026-08-24T00:00:00.000
183,87,384,212,2,183,260.710000,0.0183,1,1,2026-08-24T00:00:00.000
184,218,301,236,2,184,262.080000,0.0184,1,1,2026-08-24T00:00:00.000
185,176,391,413,2,185,263.450000,0.0185,1,1,2026-08-24T00:00:00.000
186,338,207,183,3,186,264.820000,0.0186,1,1,2026-08-24T00:00:00.000
187,149,120,2,2,187,266.190000,0.0187,1,1,2026-08-24T00:00:00.000
188,476,38,156,4,188,267.560000,0.0188,1,1,2026-08-24T00:00:00.000
189,344,117,44,2,189,268.930000,0.0189,1,1,2026-08-24T00:00:00.000
190,430,393,321,2,190,270.300000,0.0190,1,1,2026-08-24T00:00:00.000
191,458,486,294,1,191,271.670000,0.0191,1,1,2026-08-24T00:00:00.000
192,296,48,185,5,192,273.040000,0.0192,1,1,2026-08-24T00:00:00.000
193,156,171,334,3,193,274.410000,0.0193,1,1,2026-08-24T00:00:00.000
194,187,453,6,2,194,275.780000,0.0194,1,1,2026-08-24T00:00:00.000
195,470,371,150,1,195,277.150000,0.0195,1,1,2026-08-24T00:00:00.000
196,191,296,241,4,196,278.520000,0.0196,1,1,2026-08-24T00:00:00.000
197,17,168,471,5,197,279.890000,0.0197,1,1,2026-08-24T00:00:00.000
198,39,135,35,2,198,281.260000,0.0198,1,1,2026-08-24T00:00:00.000
199,185,458,313,3,199,282.630000,0.0199,1,1,2026-08-24T00:00:00.000
200,419,99,15,5,200,284.000000,0.0200,1,1,2026-08-24T00:00:00.000
201,418,492,191,5,201,285.370000,0.0201,1,1,2026-08-24T00:00:00.000
202,317,364,286,2,202,286.740000,0.0202,1,1,2026-08-24T00:00:00.000
203,225,406,28,2,203,288.110000,0.0203,1,1,2026-08-24T00:00:00.000
204,318,494,177,3,204,289.480000,0.0204,1,1,2026-08-24T00:00:00.000
205,237,453,362,3,205,290.850000,0.0205,1,1,2026-08-24T00:00:00.000
206,223,440,354,2,206,292.220000,0.0206,1,1,2026-08-24T00:00:00.000
207,19,244,48,2,207,293.590000,0.0207,1,1,2026-08-24T00:00:00.000
208,437,3,415,5,208,294.960000,0.0208,1,1,2026-08-24T00:00:00.000
209,226,104,231,5,209,296.330000,0.0209,1,1,2026-08-24T00:00:00.000
210,284,124,292,4,210,297.700000,0.0210,1,1,2026-08-24T00:00:00.000
211,447,229,337,1,211,299.070000,0.0211,1,1,2026-08-24T00:00:00.000
212,272,179,493,1,212,300.440000,0.0212,1,1,2026-08-24T00:00:00.000
213,118,466,86,3,213,301.810000,0.0213,1,1,2026-08-24T00:00:00.000
214,335,446,326,3,214,303.180000,0.0214,1,1,2026-08-24T00:00:00.000
215,475,334,484,5,215,304.550000,0.0215,1,1,2026-08-24T00:00:00.000
216,407,55,299,3,216,305.920000,0.0216,1,1,2026-08-24T00:00:00.000
217,499,189,427,3,217,307.290000,0.0217,1,1,2026-08-24T00:00:00.000
218,164,321,281,3,218,308.660000,0.0218,1,1,2026-08-24T00:00:00.000
219,215,375,96,5,219,310.030000,0.0219,1,1,2026-08-24T00:00:00.000
220,382,84,295,1,220,311.400000,0.0220,1,1,2026-08-24T00:00:00.000
221,112,353,215,5,221,312.770000,0.0221,1,1,2026-08-24T00:00:00.000
222,35,249,352,2,222,314.140000,0.0222,1,1,2026-08-24T00:00:00.000
223,110,184,382,5,223,315.510000,0.0223,1,1,2026-08-24T00:00:00.000
224,348,305,290,3,224,316.880000,0.0224,1,1,2026-08-24T00:00:00.000
225,12,294,448,5,225,318.250000,0.0225,1,1,2026-08-24T00:00:00.000
226,101,355,186,2,226,319.620000,0.0226,1,1,2026-08-24T00:00:00.000
227,273,466,320,2,227,320.990000,0.0227,1,1,2026-08-24T00:00:00.000
228,81,195,431,5,228,322.360000,0.0228,1,1,2026-08-24T00:00:00.000
229,425,262,64,2,229,323.730000,0.0229,1,1,2026-08-24T00:00:00.000
230,327,418,217,5,230,325.100000,0.0230,1,1,2026-08-24T00:00:00.000
231,123,33,163,3,231,326.470000,0.0231,1,1,2026-08-24T00:00:00.000
232,322,374,183,4,232,327.840000,0.0232,1,1,2026-08-24T00:00:00.000
233,111,332,168,3,233,329.210000,0.0233,1,1,2026-08-24T00:00:00.000
234,281,405,404,5,234,330.580000,0.0234,1,1,2026-08-24T00:00:00.000
235,163,367,376,4,235,331.950000,0.0235,1,1,2026-08-24T00:00:00.000
236,59,432,115,2,236,333.320000,0.0236,1,1,2026-08-24T00:00:00.000
237,354,492,54,4,237,334.690000,0.0237,1,1,2026-08-24T00:00:00.000
238,357,352,423,4,238,336.060000,0.0238,1,1,2026-08-24T00:00:00.000
239,445,362,124,1,239,337.430000,0.0239,1,1,2026-08-24T00:00:00.000
240,124,373,135,1,240,338.800000,0.0240,1,1,2026-08-24T00:00:00.000
241,488,16,221,5,241,340.170000,0.0241,1,1,2026-08-24T00:00:00.000
242,99,353,48,1,242,341.540000,0.0242,1,1,2026-08-24T00:00:00.000
243,490,258,229,2,243,342.910000,0.0243,1,1,2026-08-24T00:00:00.000
244,224,449,427,4,244,344.280000,0.0244,1,1,2026-08-24T00:00:00.000
245,294,207,161,5,245,345.650000,0.0245,1,1,2026-08-24T00:00:00.000
246,142,476,224,1,246,347.020000,0.0246,1,1,2026-08-24T00:00:00.000
247,304,203,130,2,247,348.390000,0.0247,1,1,2026-08-24T00:00:00.000
248,370,460,403,5,248,349.760000,0.0248,1,1,2026-08-24T00:00:00.000
249,349,37,296,4,249,351.130000,0.0249,1,1,2026-08-24T00:00:00.000
250,35,194,34,2,250,352.500000,0.0250,1,1,2026-08-24T00:00:00.000
251,214,481,456,4,251,353.870000,0.0251,1,1,2026-08-24T00:00:00.000
252,309,272,385,1,252,355.240000,0.0252,1,1,2026-08-24T00:00:00.000
253,429,458,140,2,253,356.610000,0.0253,1,1,2026-08-24T00:00:00.000
254,492,65,54,4,254,357.980000,0.0254,1,1,2026-08-24T00:00:00.000
255,118,374,429,2,255,359.350000,0.0255,1,1,2026-08-24T00:00:00.000
256,448,54,96,1,256,360.720000,0.0256,1,1,2026-08-24T00:00:00.000
257,88,496,312,1,257,362.090000,0.0257,1,1,2026-08-24T00:00:00.000
258,491,8,38,5,258,363.460000,0.0258,1,1,2026-08-24T00:00:00.000
259,461,480,125,4,259,364.830000,0.0259,1,1,2026-08-24T00:00:00.000
260,353,480,253,2,260,366.200000,0.0260,1,1,2026-08-24T00:00:00.000
261,365,468,135,4,261,367.570000,0.0261,1,1,2026-08-24T00:00:00.000
262,144,194,365,5,262,368.940000,0.0262,1,1,2026-08-24T00:00:00.000
263,402,434,163,2,263,370.310000,0.0263,1,1,2026-08-24T00:00:00.000
264,241,5,236,5,264,371.680000,0.0264,1,1,2026-08-24T00:00:00.000
265,47,21,5,5,265,373.050000,0.0265,1,1,2026-08-24T00:00:00.000
266,38,39,27,3,266,374.420000,0.0266,1,1,2026-08-24T00:00:00.000
267,264,417,330,4,267,375.790000,0.0267,1,1,2026-08-24T00:00:00.000
268,243,405,485,5,268,377.160000,0.0268,1,1,2026-08-24T00:00:00.000
269,306,367,473,3,269,378.530000,0.0269,1,1,2026-08-24T00:00:00.000
270,112,49,454,5,270,379.900000,0.0270,1,1,2026-08-24T00:00:00.000
271,12,316,50,3,271,381.270000,0.0271,1,1,2026-08-24T00:00:00.000
272,187,149,228,2,272,382.640000,0.0272,1,1,2026-08-24T00:00:00.000
273,324,44,477,2,273,384.010000,0.0273,1,1,2026-08-24T00:00:00.000
274,427,9,200,2,274,385.380000,0.0274,1,1,2026-08-24T00:00:00.000
275,490,285,247,5,275,386.750000,0.0275,1,1,2026-08-24T00:00:00.000
276,382,382,433,1,276,388.120000,0.0276,1,1,2026-08-24T00:00:00.000
277,74,383,219,3,277,389.490000,0.0277,1,1,2026-08-24T00:00:00.000
278,350,360,6,4,278,390.860000,0.0278,1,1,2026-08-24T00:00:00.000
279,213,335,246,3,279,392.230000,0.0279,1,1,2026-08-24T00:00:00.000
280,409,306,355,4,280,393.600000,0.0280,1,1,2026-08-24T00:00:00.000
281,451,70,125,3,281,394.970000,0.0281,1,1,2026-08-24T00:00:00.000
282,494,214,298,5,282,396.340000,0.0282,1,1,2026-08-24T00:00:00.000
283,147,413,190,1,283,397.710000,0.0283,1,1,2026-08-24T00:00:00.000
284,182,183,92,1,284,399.080000,0.0284,1,1,2026-08-24T00:00:00.000
285,428,330,64,1,285,400.450000,0.0285,1,1,2026-08-24T00:00:00.000
286,371,376,119,1,286,401.820000,0.0286,1,1,2026-08-24T00:00:00.000
287,62,270,479,5,287,403.190000,0.0287,1,1,2026-08-24T00:00:00.000
288,339,313,414,2,288,404.560000,0.0288,1,1,2026-08-24T00:00:00.000
289,374,426,86,4,289,405.930000,0.0289,1,1,2026-08-24T00:00:00.000
290,306,206,421,5,290,407.300000,0.0290,1,1,2026-08-24T00:00:00.000
291,354,120,382,4,291,408.670000,0.0291,1,1,2026-08-24T00:00:00.000
292,356,90,453,1,292,410.040000,0.0292,1,1,2026-08-24T00:00:00.000
293,171,31,423,4,293,411.410000,0.0293,1,1,2026-08-24T00:00:00.000
294,415,349,178,2,294,412.780000,0.0294,1,1,2026-08-24T00:00:00.000
295,237,178,337,4,295,414.150000,0.0295,1,1,2026-08-24T00:00:00.000
296,244,217,428,4,296,415.520000,0.0296,1,1,2026-08-24T00:00:00.000
297,85,245,141,3,297,416.890000,0.0297,1,1,2026-08-24T00:00:00.000
298,356,166,21,1,298,418.260000,0.0298,1,1,2026-08-24T00:00:00.000
299,272,114,403,4,299,419.630000,0.0299,1,1,2026-08-24T00:00:00.000
300,237,357,36,2,300,421.000000,0.0300,1,1,2026-08-24T00:00:00.000
301,226,368,154,3,301,422.370000,0.0301,1,1,2026-08-24T00:00:00.000
302,362,36,39,2,302,423.740000,0.0302,1,1,2026-08-24T00:00:00.000
303,106,480,291,2,303,425.110000,0.0303,1,1,2026-08-24T00:00:00.000
304,46,398,238,4,304,426.480000,0.0304,1,1,2026-08-24T00:00:00.000
305,460,440,322,4,305,427.850000,0.0305,1,1,2026-08-24T00:00:00.000
306,397,103,73,2,306,429.220000,0.0306,1,1,2026-08-24T00:00:00.000
307,324,14,120,2,307,430.590000,0.0307,1,1,2026-08-24T00:00:00.000
308,155,313,124,5,308,431.960000,0.0308,1,1,2026-08-24T00:00:00.000
309,462,433,58,1,309,433.330000,0.0309,1,1,2026-08-24T00:00:00.000
310,52,275,492,5,310,434.700000,0.0310,1,1,2026-08-24T00:00:00.000
311,149,14,234,3,311,436.070000,0.0311,1,1,2026-08-24T00:00:00.000
312,325,454,292,1,312,437.440000,0.0312,1,1,2026-08-24T00:00:00.000
313,365,400,202,5,313,438.810000,0.0313,1,1,2026-08-24T00:00:00.000
314,60,271,91,4,314,440.180000,0.0314,1,1,2026-08-24T00:00:00.000
315,251,458,48,3,315,441.550000,0.0315,1,1,2026-08-24T00:00:00.000
316,486,39,97,4,316,442.920000,0.0316,1,1,2026-08-24T00:00:00.000
317,65,198,45,1,317,444.290000,0.0317,1,1,2026-08-24T00:00:00.000
318,136,431,12,2,318,445.660000,0.0318,1,1,2026-08-24T00:00:00.000
319,186,34,291,2,319,447.030000,0.0319,1,1,2026-08-24T00:00:00.000
320,236,32,160,2,320,448.400000,0.0320,1,1,2026-08-24T00:00:00.000
321,139,43,78,2,321,449.770000,0.0321,1,1,2026-08-24T00:00:00.000
322,337,82,203,5,322,451.140000,0.0322,1,1,2026-08-24T00:00:00.000
323,59,254,47,1,323,452.510000,0.0323,1,1,2026-08-24T00:00:00.000
324,310,341,83,1,324,453.880000,0.0324,1,1,2026-08-24T00:00:00.000
325,192,289,495,4,325,455.250000,0.0325,1,1,2026-08-24T00:00:00.000
326,15,249,462,1,326,456.620000,0.0326,1,1,2026-08-24T00:00:00.000
327,487,358,48,4,327,457.990000,0.0327,1,1,2026-08-24T00:00:00.000
328,183,298,337,3,328,459.360000,0.0328,1,1,2026-08-24T00:00:00.000
329,297,177,403,4,329,460.730000,0.0329,1,1,2026-08-24T00:00:00.000
330,432,245,430,5,330,462.100000,0.0330,1,1,2026-08-24T00:00:00.000
331,227,152,130,3,331,463.470000,0.0331,1,1,2026-08-24T00:00:00.000
332,413,378,88,5,332,464.840000,0.0332,1,1,2026-08-24T00:00:00.000
333,91,386,487,5,333,466.210000,0.0333,1,1,2026-08-24T00:00:00.000
334,318,392,225,3,334,467.580000,0.0334,1,1,2026-08-24T00:00:00.000
335,360,14,376,1,335,468.950000,0.0335,1,1,2026-08-24T00:00:00.000
