PurchaseRequisitionToOrderLineKey,PurchaseRequisitionKey,PurchaseOrderLineKey,LinkedQuantity,SourceSystemKey,BatchId,LoadedAtUtc
192,183,100,134.5000,1,1,2026-08-24T00:00:00.000
193,165,156,135.2000,1,1,2026-08-24T00:00:00.000
194,72,25,135.9000,1,1,2026-08-24T00:00:00.000
195,271,447,136.6000,1,1,2026-08-24T00:00:00.000
196,335,401,137.3000,1,1,2026-08-24T00:00:00.000
197,476,149,138.0000,1,1,2026-08-24T00:00:00.000
198,4,384,138.7000,1,1,2026-08-24T00:00:00.000
199,44,157,139.4000,1,1,2026-08-24T00:00:00.000
200,183,40,140.1000,1,1,2026-08-24T00:00:00.000
201,275,455,140.8000,1,1,2026-08-24T00:00:00.000
202,15,434,141.5000,1,1,2026-08-24T00:00:00.000
203,500,335,142.2000,1,1,2026-08-24T00:00:00.000
204,476,337,142.9000,1,1,2026-08-24T00:00:00.000
205,190,439,143.6000,1,1,2026-08-24T00:00:00.000
206,358,152,144.3000,1,1,2026-08-24T00:00:00.000
207,33,435,145.0000,1,1,2026-08-24T00:00:00.000
208,243,331,145.7000,1,1,2026-08-24T00:00:00.000
209,379,260,146.4000,1,1,2026-08-24T00:00:00.000
210,433,362,147.1000,1,1,2026-08-24T00:00:00.000
211,13,274,147.8000,1,1,2026-08-24T00:00:00.000
212,59,34,148.5000,1,1,2026-08-24T00:00:00.000
213,9,20,149.2000,1,1,2026-08-24T00:00:00.000
214,59,354,149.9000,1,1,2026-08-24T00:00:00.000
215,461,122,150.6000,1,1,2026-08-24T00:00:00.000
216,80,233,151.3000,1,1,2026-08-24T00:00:00.000
217,14,346,152.0000,1,1,2026-08-24T00:00:00.000
218,378,277,152.7000,1,1,2026-08-24T00:00:00.000
219,241,388,153.4000,1,1,2026-08-24T00:00:00.000
220,81,307,154.1000,1,1,2026-08-24T00:00:00.000
221,301,137,154.8000,1,1,2026-08-24T00:00:00.000
222,390,293,155.5000,1,1,2026-08-24T00:00:00.000
223,112,379,156.2000,1,1,2026-08-24T00:00:00.000
224,89,190,156.9000,1,1,2026-08-24T00:00:00.000
225,131,339,157.6000,1,1,2026-08-24T00:00:00.000
226,315,204,158.3000,1,1,2026-08-24T00:00:00.000
227,332,226,159.0000,1,1,2026-08-24T00:00:00.000
228,484,256,159.7000,1,1,2026-08-24T00:00:00.000
229,289,48,160.4000,1,1,2026-08-24T00:00:00.000
230,288,256,161.1000,1,1,2026-08-24T00:00:00.000
231,241,36,161.8000,1,1,2026-08-24T00:00:00.000
232,322,113,162.5000,1,1,2026-08-24T00:00:00.000
233,172,304,163.2000,1,1,2026-08-24T00:00:00.000
234,459,403,163.9000,1,1,2026-08-24T00:00:00.000
235,196,465,164.6000,1,1,2026-08-24T00:00:00.000
236,129,253,165.3000,1,1,2026-08-24T00:00:00.000
237,287,387,166.0000,1,1,2026-08-24T00:00:00.000
238,405,263,166.7000,1,1,2026-08-24T00:00:00.000
239,9,45,167.4000,1,1,2026-08-24T00:00:00.000
240,156,467,168.1000,1,1,2026-08-24T00:00:00.000
241,398,172,168.8000,1,1,2026-08-24T00:00:00.000
242,324,71,169.5000,1,1,2026-08-24T00:00:00.000
243,136,225,170.2000,1,1,2026-08-24T00:00:00.000
244,138,421,170.9000,1,1,2026-08-24T00:00:00.000
245,85,274,171.6000,1,1,2026-08-24T00:00:00.000
246,278,137,172.3000,1,1,2026-08-24T00:00:00.000
247,326,328,173.0000,1,1,2026-08-24T00:00:00.000
248,126,175,173.7000,1,1,2026-08-24T00:00:00.000
249,453,314,174.4000,1,1,2026-08-24T00:00:00.000
250,302,396,175.1000,1,1,2026-08-24T00:00:00.000
251,479,269,175.8000,1,1,2026-08-24T00:00:00.000
252,225,201,176.5000,1,1,2026-08-24T00:00:00.000
253,57,499,177.2000,1,1,2026-08-24T00:00:00.000
254,78,96,177.9000,1,1,2026-08-24T00:00:00.000
255,469,162,178.6000,1,1,2026-08-24T00:00:00.000
256,405,372,179.3000,1,1,2026-08-24T00:00:00.000
257,214,484,180.0000,1,1,2026-08-24T00:00:00.000
258,348,387,180.7000,1,1,2026-08-24T00:00:00.000
259,476,263,181.4000,1,1,2026-08-24T00:00:00.000
260,404,191,182.1000,1,1,2026-08-24T00:00:00.000
261,193,278,182.8000,1,1,2026-08-24T00:00:00.000
262,492,173,183.5000,1,1,2026-08-24T00:00:00.000
263,72,485,184.2000,1,1,2026-08-24T00:00:00.000
264,23,70,184.9000,1,1,2026-08-24T00:00:00.000
265,265,472,185.6000,1,1,2026-08-24T00:00:00.000
266,219,264,186.3000,1,1,2026-08-24T00:00:00.000
267,321,79,187.0000,1,1,2026-08-24T00:00:00.000
268,117,259,187.7000,1,1,2026-08-24T00:00:00.000
269,431,149,188.4000,1,1,2026-08-24T00:00:00.000
270,186,181,189.1000,1,1,2026-08-24T00:00:00.000
271,484,75,189.8000,1,1,2026-08-24T00:00:00.000
272,239,82,190.5000,1,1,2026-08-24T00:00:00.000
273,446,461,191.2000,1,1,2026-08-24T00:00:00.000
274,429,10,191.9000,1,1,2026-08-24T00:00:00.000
275,197,266,192.6000,1,1,2026-08-24T00:00:00.000
276,5,265,193.3000,1,1,2026-08-24T00:00:00.000
277,75,452,194.0000,1,1,2026-08-24T00:00:00.000
278,9,73,194.7000,1,1,2026-08-24T00:00:00.000
279,234,97,195.4000,1,1,2026-08-24T00:00:00.000
280,266,203,196.1000,1,1,2026-08-24T00:00:00.000
281,477,286,196.8000,1,1,2026-08-24T00:00:00.000
282,359,156,197.5000,1,1,2026-08-24T00:00:00.000
283,52,208,198.2000,1,1,2026-08-24T00:00:00.000
284,139,265,198.9000,1,1,2026-08-24T00:00:00.000
285,203,436,199.6000,1,1,2026-08-24T00:00:00.000
286,417,427,200.3000,1,1,2026-08-24T00:00:00.000
287,338,104,201.0000,1,1,2026-08-24T00:00:00.000
288,169,230,201.7000,1,1,2026-08-24T00:00:00.000
289,70,415,202.4000,1,1,2026-08-24T00:00:00.000
290,461,248,203.1000,1,1,2026-08-24T00:00:00.000
291,385,3,203.8000,1,1,2026-08-24T00:00:00.000
292,155,258,204.5000,1,1,2026-08-24T00:00:00.000
293,320,432,205.2000,1,1,2026-08-24T00:00:00.000
294,167,403,205.9000,1,1,2026-08-24T00:00:00.000
295,475,496,206.6000,1,1,2026-08-24T00:00:00.000
296,436,334,207.3000,1,1,2026-08-24T00:00:00.000
297,444,485,208.0000,1,1,2026-08-24T00:00:00.000
298,499,93,208.7000,1,1,2026-08-24T00:00:00.000
299,340,141,209.4000,1,1,2026-08-24T00:00:00.000
300,480,340,210.1000,1,1,2026-08-24T00:00:00.000
301,260,6,210.8000,1,1,2026-08-24T00:00:00.000
302,5,332,211.5000,1,1,2026-08-24T00:00:00.000
303,58,132,212.2000,1,1,2026-08-24T00:00:00.000
304,308,456,212.9000,1,1,2026-08-24T00:00:00.000
305,15,233,213.6000,1,1,2026-08-24T00:00:00.000
306,347,282,214.3000,1,1,2026-08-24T00:00:00.000
307,4,345,215.0000,1,1,2026-08-24T00:00:00.000
308,39,297,215.7000,1,1,2026-08-24T00:00:00.000
309,73,319,216.4000,1,1,2026-08-24T00:00:00.000
310,176,35,217.1000,1,1,2026-08-24T00:00:00.000
311,303,410,217.8000,1,1,2026-08-24T00:00:00.000
312,397,353,218.5000,1,1,2026-08-24T00:00:00.000
313,262,272,219.2000,1,1,2026-08-24T00:00:00.000
314,76,498,219.9000,1,1,2026-08-24T00:00:00.000
315,286,18,220.6000,1,1,2026-08-24T00:00:00.000
316,17,380,221.3000,1,1,2026-08-24T00:00:00.000
317,408,447,222.0000,1,1,2026-08-24T00:00:00.000
318,128,187,222.7000,1,1,2026-08-24T00:00:00.000
319,18,375,223.4000,1,1,2026-08-24T00:00:00.000
320,108,276,224.1000,1,1,2026-08-24T00:00:00.000
321,96,228,224.8000,1,1,2026-08-24T00:00:00.000
322,264,35,225.5000,1,1,2026-08-24T00:00:00.000
323,145,446,226.2000,1,1,2026-08-24T00:00:00.000
324,481,189,226.9000,1,1,2026-08-24T00:00:00.000
325,465,78,227.6000,1,1,2026-08-24T00:00:00.000
326,185,218,228.3000,1,1,2026-08-24T00:00:00.000
327,350,58,229.0000,1,1,2026-08-24T00:00:00.000
328,142,178,229.7000,1,1,2026-08-24T00:00:00.000
329,160,354,230.4000,1,1,2026-08-24T00:00:00.000
330,88,357,231.1000,1,1,2026-08-24T00:00:00.000
331,296,297,231.8000,1,1,2026-08-24T00:00:00.000
332,196,103,232.5000,1,1,2026-08-24T00:00:00.000
333,282,369,233.2000,1,1,2026-08-24T00:00:00.000
334,51,95,233.9000,1,1,2026-08-24T00:00:00.000
335,440,480,234.6000,1,1,2026-08-24T00:00:00.000
336,170,342,235.3000,1,1,2026-08-24T00:00:00.000
337,44,93,236.0000,1,1,2026-08-24T00:00:00.000
338,297,138,236.7000,1,1,2026-08-24T00:00:00.000
339,130,379,237.4000,1,1,2026-08-24T00:00:00.000
340,292,118,238.1000,1,1,2026-08-24T00:00:00.000
341,65,453,238.8000,1,1,2026-08-24T00:00:00.000
342,241,328,239.5000,1,1,2026-08-24T00:00:00.000
343,132,288,240.2000,1,1,2026-08-24T00:00:00.000
344,203,370,240.9000,1,1,2026-08-24T00:00:00.000
345,448,68,241.6000,1,1,2026-08-24T00:00:00.000
346,32,101,242.3000,1,1,2026-08-24T00:00:00.000
347,298,351,243.0000,1,1,2026-08-24T00:00:00.000
348,71,306,243.7000,1,1,2026-08-24T00:00:00.000
349,81,388,244.4000,1,1,2026-08-24T00:00:00.000
350,270,363,245.1000,1,1,2026-08-24T00:00:00.000
351,181,167,245.8000,1,1,2026-08-24T00:00:00.000
352,476,182,246.5000,1,1,2026-08-24T00:00:00.000
353,356,456,247.2000,1,1,2026-08-24T00:00:00.000
354,479,41,247.9000,1,1,2026-08-24T00:00:00.000
355,2,291,248.6000,1,1,2026-08-24T00:00:00.000
356,202,323,249.3000,1,1,2026-08-24T00:00:00.000
357,250,164,250.0000,1,1,2026-08-24T00:00:00.000
358,173,224,250.7000,1,1,2026-08-24T00:00:00.000
359,320,213,251.4000,1,1,2026-08-24T00:00:00.000
360,362,165,252.1000,1,1,2026-08-24T00:00:00.000
361,65,382,252.8000,1,1,2026-08-24T00:00:00.000
362,410,458,253.5000,1,1,2026-08-24T00:00:00.000
363,436,38,254.2000,1,1,2026-08-24T00:00:00.000
364,398,132,254.9000,1,1,2026-08-24T00:00:00.000
365,172,464,255.6000,1,1,2026-08-24T00:00:00.000
366,308,1,256.3000,1,1,2026-08-24T00:00:00.000
367,40,413,257.0000,1,1,2026-08-24T00:00:00.000
368,24,27,257.7000,1,1,2026-08-24T00:00:00.000
369,152,64,258.4000,1,1,2026-08-24T00:00:00.000
370,38,41,259.1000,1,1,2026-08-24T00:00:00.000
371,223,476,259.8000,1,1,2026-08-24T00:00:00.000
372,398,310,260.5000,1,1,2026-08-24T00:00:00.000
373,262,479,261.2000,1,1,2026-08-24T00:00:00.000
374,299,454,261.9000,1,1,2026-08-24T00:00:00.000
375,100,251,262.6000,1,1,2026-08-24T00:00:00.000
376,40,266,263.3000,1,1,2026-08-24T00:00:00.000
377,9,442,264.0000,1,1,2026-08-24T00:00:00.000
378,55,450,264.7000,1,1,2026-08-24T00:00:00.000
379,273,195,265.4000,1,1,2026-08-24T00:00:00.000
380,357,296,266.1000,1,1,2026-08-24T00:00:00.000
381,361,343,266.8000,1,1,2026-08-24T00:00:00.000
382,272,68,267.5000,1,1,2026-08-24T00:00:00.000
383,458,121,268.2000,1,1,2026-08-24T00:00:00.000
384,421,284,268.9000,1,1,2026-08-24T00:00:00.000
385,320,412,269.6000,1,1,2026-08-24T00:00:00.000
386,472,389,270.3000,1,1,2026-08-24T00:00:00.000
387,278,451,271.0000,1,1,2026-08-24T00:00:00.000
388,199,463,271.7000,1,1,2026-08-24T00:00:00.000
389,46,221,272.4000,1,1,2026-08-24T00:00:00.000
390,228,426,273.1000,1,1,2026-08-24T00:00:00.000
391,412,469,273.8000,1,1,2026-08-24T00:00:00.000
392,433,281,274.5000,1,1,2026-08-24T00:00:00.000
393,485,387,275.2000,1,1,2026-08-24T00:00:00.000
394,399,360,275.9000,1,1,2026-08-24T00:00:00.000
395,22,153,276.6000,1,1,2026-08-24T00:00:00.000
396,460,322,277.3000,1,1,2026-08-24T00:00:00.000
397,403,368,278.0000,1,1,2026-08-24T00:00:00.000
398,437,214,278.7000,1,1,2026-08-24T00:00:00.000
399,24,350,279.4000,1,1,2026-08-24T00:00:00.000
400,291,248,280.1000,1,1,2026-08-24T00:00:00.000
401,37,272,280.8000,1,1,2026-08-24T00:00:00.000
402,140,196,281.5000,1,1,2026-08-24T00:00:00.000
403,92,192,282.2000,1,1,2026-08-24T00:00:00.000
404,207,409,282.9000,1,1,2026-08-24T00:00:00.000
405,56,133,283.6000,1,1,2026-08-24T00:00:00.000
406,351,372,284.3000,1,1,2026-08-24T00:00:00.000
407,121,364,285.0000,1,1,2026-08-24T00:00:00.000
408,171,249,285.7000,1,1,2026-08-24T00:00:00.000
409,94,305,286.4000,1,1,2026-08-24T00:00:00.000
410,297,401,287.1000,1,1,2026-08-24T00:00:00.000
411,340,405,287.8000,1,1,2026-08-24T00:00:00.000
412,472,97,288.5000,1,1,2026-08-24T00:00:00.000
413,53,139,289.2000,1,1,2026-08-24T00:00:00.000
414,75,134,289.9000,1,1,2026-08-24T00:00:00.000
415,356,297,290.6000,1,1,2026-08-24T00:00:00.000
416,127,340,291.3000,1,1,2026-08-24T00:00:00.000
417,270,67,292.0000,1,1,2026-08-24T00:00:00.000
418,406,384,292.7000,1,1,2026-08-24T00:00:00.000
419,185,86,293.4000,1,1,2026-08-24T00:00:00.000
420,473,306,294.1000,1,1,2026-08-24T00:00:00.000
421,247,323,294.8000,1,1,2026-08-24T00:00:00.000
422,257,273,295.5000,1,1,2026-08-24T00:00:00.000
423,352,185,296.2000,1,1,2026-08-24T00:00:00.000
424,144,1,296.9000,1,1,2026-08-24T00:00:00.000
425,58,52,297.6000,1,1,2026-08-24T00:00:00.000
426,259,491,298.3000,1,1,2026-08-24T00:00:00.000
427,169,408,299.0000,1,1,2026-08-24T00:00:00.000
428,321,185,299.7000,1,1,2026-08-24T00:00:00.000
429,487,322,300.4000,1,1,2026-08-24T00:00:00.000
430,265,258,301.1000,1,1,2026-08-24T00:00:00.000
431,424,49,301.8000,1,1,2026-08-24T00:00:00.000
432,50,77,302.5000,1,1,2026-08-24T00:00:00.000
433,448,149,303.2000,1,1,2026-08-24T00:00:00.000
434,475,296,303.9000,1,1,2026-08-24T00:00:00.000
435,60,295,304.6000,1,1,2026-08-24T00:00:00.000
436,464,331,305.3000,1,1,2026-08-24T00:00:00.000
437,459,444,306.0000,1,1,2026-08-24T00:00:00.000
438,52,388,306.7000,1,1,2026-08-24T00:00:00.000
439,232,84,307.4000,1,1,2026-08-24T00:00:00.000
440,186,403,308.1000,1,1,2026-08-24T00:00:00.000
441,407,462,308.8000,1,1,2026-08-24T00:00:00.000
442,131,187,309.5000,1,1,2026-08-24T00:00:00.000
443,183,337,310.2000,1,1,2026-08-24T00:00:00.000
444,24,355,310.9000,1,1,2026-08-24T00:00:00.000
445,317,165,311.6000,1,1,2026-08-24T00:00:00.000
446,260,148,312.3000,1,1,2026-08-24T00:00:00.000
447,500,16,313.0000,1,1,2026-08-24T00:00:00.000
448,129,112,313.7000,1,1,2026-08-24T00:00:00.000
449,158,226,314.4000,1,1,2026-08-24T00:00:00.000
450,95,493,315.1000,1,1,2026-08-24T00:00:00.000
451,77,370,315.8000,1,1,2026-08-24T00:00:00.000
452,499,334,316.5000,1,1,2026-08-24T00:00:00.000
453,148,223,317.2000,1,1,2026-08-24T00:00:00.000
454,313,394,317.9000,1,1,2026-08-24T00:00:00.000
455,155,293,318.6000,1,1,2026-08-24T00:00:00.000
456,14,430,319.3000,1,1,2026-08-24T00:00:00.000
457,350,111,320.0000,1,1,2026-08-24T00:00:00.000
458,108,8,320.7000,1,1,2026-08-24T00:00:00.000
459,361,127,321.4000,1,1,2026-08-24T00:00:00.000
460,248,224,322.1000,1,1,2026-08-24T00:00:00.000
