MachineUtilityAssignmentKey,MachineKey,MachineUtilityMeterKey,MachineUtilityTypeKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
71,320,482,3,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,53,34,5,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,490,295,2,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,475,284,9,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,42,71,2,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,162,370,5,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,466,325,7,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,214,345,8,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,397,479,10,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,267,491,7,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,32,83,2,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
82,381,318,10,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,120,64,11,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,434,377,1,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,107,49,4,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,236,318,12,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,155,429,7,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,266,409,4,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,17,330,10,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,198,14,9,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,212,295,6,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,365,51,8,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,310,456,7,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,478,391,1,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
95,154,208,12,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,252,35,9,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,261,465,1,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
98,451,143,1,98,144.260000,0.0098,1,1,2026-08-24T00:00:00.000
99,143,93,6,99,145.630000,0.0099,1,1,2026-08-24T00:00:00.000
100,114,380,10,100,147.000000,0.0100,1,1,2026-08-24T00:00:00.000
101,11,64,1,101,148.370000,0.0101,1,1,2026-08-24T00:00:00.000
102,474,71,12,102,149.740000,0.0102,1,1,2026-08-24T00:00:00.000
103,42,422,7,103,151.110000,0.0103,1,1,2026-08-24T00:00:00.000
104,246,469,6,104,152.480000,0.0104,1,1,2026-08-24T00:00:00.000
105,194,281,12,105,153.850000,0.0105,1,1,2026-08-24T00:00:00.000
106,224,486,3,106,155.220000,0.0106,1,1,2026-08-24T00:00:00.000
107,314,165,11,107,156.590000,0.0107,1,1,2026-08-24T00:00:00.000
108,244,467,4,108,157.960000,0.0108,1,1,2026-08-24T00:00:00.000
109,393,473,9,109,159.330000,0.0109,1,1,2026-08-24T00:00:00.000
110,329,316,11,110,160.700000,0.0110,1,1,2026-08-24T00:00:00.000
111,245,108,2,111,162.070000,0.0111,1,1,2026-08-24T00:00:00.000
112,169,357,1,112,163.440000,0.0112,1,1,2026-08-24T00:00:00.000
113,262,318,8,113,164.810000,0.0113,1,1,2026-08-24T00:00:00.000
114,280,409,4,114,166.180000,0.0114,1,1,2026-08-24T00:00:00.000
115,76,13,6,115,167.550000,0.0115,1,1,2026-08-24T00:00:00.000
116,67,271,7,116,168.920000,0.0116,1,1,2026-08-24T00:00:00.000
117,331,134,12,117,170.290000,0.0117,1,1,2026-08-24T00:00:00.000
118,100,35,2,118,171.660000,0.0118,1,1,2026-08-24T00:00:00.000
119,73,305,12,119,173.030000,0.0119,1,1,2026-08-24T00:00:00.000
120,128,337,6,120,174.400000,0.0120,1,1,2026-08-24T00:00:00.000
121,27,135,12,121,175.770000,0.0121,1,1,2026-08-24T00:00:00.000
122,443,90,11,122,177.140000,0.0122,1,1,2026-08-24T00:00:00.000
123,461,126,4,123,178.510000,0.0123,1,1,2026-08-24T00:00:00.000
124,110,395,11,124,179.880000,0.0124,1,1,2026-08-24T00:00:00.000
125,391,369,12,125,181.250000,0.0125,1,1,2026-08-24T00:00:00.000
126,350,245,6,126,182.620000,0.0126,1,1,2026-08-24T00:00:00.000
127,292,62,5,127,183.990000,0.0127,1,1,2026-08-24T00:00:00.000
128,271,83,10,128,185.360000,0.0128,1,1,2026-08-24T00:00:00.000
129,53,267,1,129,186.730000,0.0129,1,1,2026-08-24T00:00:00.000
130,191,494,11,130,188.100000,0.0130,1,1,2026-08-24T00:00:00.000
131,62,29,10,131,189.470000,0.0131,1,1,2026-08-24T00:00:00.000
132,342,360,4,132,190.840000,0.0132,1,1,2026-08-24T00:00:00.000
133,298,444,11,133,192.210000,0.0133,1,1,2026-08-24T00:00:00.000
134,284,59,5,134,193.580000,0.0134,1,1,2026-08-24T00:00:00.000
135,177,335,2,135,194.950000,0.0135,1,1,2026-08-24T00:00:00.000
136,304,94,5,136,196.320000,0.0136,1,1,2026-08-24T00:00:00.000
137,9,471,3,137,197.690000,0.0137,1,1,2026-08-24T00:00:00.000
138,76,226,10,138,199.060000,0.0138,1,1,2026-08-24T00:00:00.000
139,15,364,10,139,200.430000,0.0139,1,1,2026-08-24T00:00:00.000
140,341,99,2,140,201.800000,0.0140,1,1,2026-08-24T00:00:00.000
141,276,10,7,141,203.170000,0.0141,1,1,2026-08-24T00:00:00.000
142,308,34,1,142,204.540000,0.0142,1,1,2026-08-24T00:00:00.000
143,473,451,11,143,205.910000,0.0143,1,1,2026-08-24T00:00:00.000
144,189,351,6,144,207.280000,0.0144,1,1,2026-08-24T00:00:00.000
145,382,265,8,145,208.650000,0.0145,1,1,2026-08-24T00:00:00.000
146,367,414,6,146,210.020000,0.0146,1,1,2026-08-24T00:00:00.000
147,366,105,11,147,211.390000,0.0147,1,1,2026-08-24T00:00:00.000
148,291,344,4,148,212.760000,0.0148,1,1,2026-08-24T00:00:00.000
149,24,275,4,149,214.130000,0.0149,1,1,2026-08-24T00:00:00.000
150,155,378,8,150,215.500000,0.0150,1,1,2026-08-24T00:00:00.000
151,93,180,4,151,216.870000,0.0151,1,1,2026-08-24T00:00:00.000
152,241,31,12,152,218.240000,0.0152,1,1,2026-08-24T00:00:00.000
153,368,105,2,153,219.610000,0.0153,1,1,2026-08-24T00:00:00.000
154,200,64,1,154,220.980000,0.0154,1,1,2026-08-24T00:00:00.000
155,198,75,9,155,222.350000,0.0155,1,1,2026-08-24T00:00:00.000
156,457,7,9,156,223.720000,0.0156,1,1,2026-08-24T00:00:00.000
157,362,24,7,157,225.090000,0.0157,1,1,2026-08-24T00:00:00.000
158,344,401,9,158,226.460000,0.0158,1,1,2026-08-24T00:00:00.000
159,167,102,1,159,227.830000,0.0159,1,1,2026-08-24T00:00:00.000
160,34,195,6,160,229.200000,0.0160,1,1,2026-08-24T00:00:00.000
161,125,287,11,161,230.570000,0.0161,1,1,2026-08-24T00:00:00.000
162,259,119,4,162,231.940000,0.0162,1,1,2026-08-24T00:00:00.000
163,248,241,3,163,233.310000,0.0163,1,1,2026-08-24T00:00:00.000
164,71,367,6,164,234.680000,0.0164,1,1,2026-08-24T00:00:00.000
165,399,25,10,165,236.050000,0.0165,1,1,2026-08-24T00:00:00.000
166,478,466,8,166,237.420000,0.0166,1,1,2026-08-24T00:00:00.000
167,141,26,6,167,238.790000,0.0167,1,1,2026-08-24T00:00:00.000
168,123,349,11,168,240.160000,0.0168,1,1,2026-08-24T00:00:00.000
169,230,250,6,169,241.530000,0.0169,1,1,2026-08-24T00:00:00.000
170,420,418,4,170,242.900000,0.0170,1,1,2026-08-24T00:00:00.000
171,328,68,11,171,244.270000,0.0171,1,1,2026-08-24T00:00:00.000
172,115,171,3,172,245.640000,0.0172,1,1,2026-08-24T00:00:00.000
173,250,159,8,173,247.010000,0.0173,1,1,2026-08-24T00:00:00.000
174,403,458,2,174,248.380000,0.0174,1,1,2026-08-24T00:00:00.000
175,194,36,10,175,249.750000,0.0175,1,1,2026-08-24T00:00:00.000
176,392,216,8,176,251.120000,0.0176,1,1,2026-08-24T00:00:00.000
177,103,93,4,177,252.490000,0.0177,1,1,2026-08-24T00:00:00.000
178,108,165,11,178,253.860000,0.0178,1,1,2026-08-24T00:00:00.000
179,453,190,1,179,255.230000,0.0179,1,1,2026-08-24T00:00:00.000
180,487,208,11,180,256.600000,0.0180,1,1,2026-08-24T00:00:00.000
181,65,119,6,181,257.970000,0.0181,1,1,2026-08-24T00:00:00.000
182,76,324,8,182,259.340000,0.0182,1,1,2026-08-24T00:00:00.000
183,4,330,1,183,260.710000,0.0183,1,1,2026-08-24T00:00:00.000
184,330,188,10,184,262.080000,0.0184,1,1,2026-08-24T00:00:00.000
185,156,81,3,185,263.450000,0.0185,1,1,2026-08-24T00:00:00.000
186,160,345,7,186,264.820000,0.0186,1,1,2026-08-24T00:00:00.000
187,248,298,10,187,266.190000,0.0187,1,1,2026-08-24T00:00:00.000
188,93,25,12,188,267.560000,0.0188,1,1,2026-08-24T00:00:00.000
189,169,371,10,189,268.930000,0.0189,1,1,2026-08-24T00:00:00.000
190,246,323,1,190,270.300000,0.0190,1,1,2026-08-24T00:00:00.000
191,137,87,5,191,271.670000,0.0191,1,1,2026-08-24T00:00:00.000
192,203,144,12,192,273.040000,0.0192,1,1,2026-08-24T00:00:00.000
193,7,186,4,193,274.410000,0.0193,1,1,2026-08-24T00:00:00.000
194,215,347,4,194,275.780000,0.0194,1,1,2026-08-24T00:00:00.000
195,139,477,6,195,277.150000,0.0195,1,1,2026-08-24T00:00:00.000
196,199,369,3,196,278.520000,0.0196,1,1,2026-08-24T00:00:00.000
197,398,471,4,197,279.890000,0.0197,1,1,2026-08-24T00:00:00.000
198,417,207,3,198,281.260000,0.0198,1,1,2026-08-24T00:00:00.000
199,365,383,3,199,282.630000,0.0199,1,1,2026-08-24T00:00:00.000
200,357,234,5,200,284.000000,0.0200,1,1,2026-08-24T00:00:00.000
201,148,476,12,201,285.370000,0.0201,1,1,2026-08-24T00:00:00.000
202,461,209,7,202,286.740000,0.0202,1,1,2026-08-24T00:00:00.000
203,98,71,10,203,288.110000,0.0203,1,1,2026-08-24T00:00:00.000
204,372,41,4,204,289.480000,0.0204,1,1,2026-08-24T00:00:00.000
205,5,363,4,205,290.850000,0.0205,1,1,2026-08-24T00:00:00.000
206,189,203,7,206,292.220000,0.0206,1,1,2026-08-24T00:00:00.000
207,440,37,3,207,293.590000,0.0207,1,1,2026-08-24T00:00:00.000
208,261,224,10,208,294.960000,0.0208,1,1,2026-08-24T00:00:00.000
209,217,161,6,209,296.330000,0.0209,1,1,2026-08-24T00:00:00.000
210,144,304,11,210,297.700000,0.0210,1,1,2026-08-24T00:00:00.000
211,139,65,11,211,299.070000,0.0211,1,1,2026-08-24T00:00:00.000
212,424,261,6,212,300.440000,0.0212,1,1,2026-08-24T00:00:00.000
213,164,320,10,213,301.810000,0.0213,1,1,2026-08-24T00:00:00.000
214,336,333,12,214,303.180000,0.0214,1,1,2026-08-24T00:00:00.000
215,114,353,2,215,304.550000,0.0215,1,1,2026-08-24T00:00:00.000
216,191,232,4,216,305.920000,0.0216,1,1,2026-08-24T00:00:00.000
217,273,86,5,217,307.290000,0.0217,1,1,2026-08-24T00:00:00.000
218,98,224,6,218,308.660000,0.0218,1,1,2026-08-24T00:00:00.000
219,450,256,8,219,310.030000,0.0219,1,1,2026-08-24T00:00:00.000
220,352,256,11,220,311.400000,0.0220,1,1,2026-08-24T00:00:00.000
221,396,171,2,221,312.770000,0.0221,1,1,2026-08-24T00:00:00.000
222,108,49,1,222,314.140000,0.0222,1,1,2026-08-24T00:00:00.000
223,44,78,10,223,315.510000,0.0223,1,1,2026-08-24T00:00:00.000
224,51,182,6,224,316.880000,0.0224,1,1,2026-08-24T00:00:00.000
225,65,210,11,225,318.250000,0.0225,1,1,2026-08-24T00:00:00.000
226,448,455,10,226,319.620000,0.0226,1,1,2026-08-24T00:00:00.000
227,322,427,6,227,320.990000,0.0227,1,1,2026-08-24T00:00:00.000
228,350,206,12,228,322.360000,0.0228,1,1,2026-08-24T00:00:00.000
229,233,322,10,229,323.730000,0.0229,1,1,2026-08-24T00:00:00.000
230,410,208,1,230,325.100000,0.0230,1,1,2026-08-24T00:00:00.000
231,97,85,3,231,326.470000,0.0231,1,1,2026-08-24T00:00:00.000
232,78,1,10,232,327.840000,0.0232,1,1,2026-08-24T00:00:00.000
233,135,45,6,233,329.210000,0.0233,1,1,2026-08-24T00:00:00.000
234,258,30,6,234,330.580000,0.0234,1,1,2026-08-24T00:00:00.000
235,226,328,12,235,331.950000,0.0235,1,1,2026-08-24T00:00:00.000
236,69,38,2,236,333.320000,0.0236,1,1,2026-08-24T00:00:00.000
237,39,379,11,237,334.690000,0.0237,1,1,2026-08-24T00:00:00.000
238,499,188,6,238,336.060000,0.0238,1,1,2026-08-24T00:00:00.000
239,471,34,5,239,337.430000,0.0239,1,1,2026-08-24T00:00:00.000
240,161,60,12,240,338.800000,0.0240,1,1,2026-08-24T00:00:00.000
241,110,196,3,241,340.170000,0.0241,1,1,2026-08-24T00:00:00.000
242,180,115,9,242,341.540000,0.0242,1,1,2026-08-24T00:00:00.000
243,183,312,9,243,342.910000,0.0243,1,1,2026-08-24T00:00:00.000
244,335,480,2,244,344.280000,0.0244,1,1,2026-08-24T00:00:00.000
245,412,221,10,245,345.650000,0.0245,1,1,2026-08-24T00:00:00.000
246,361,16,12,246,347.020000,0.0246,1,1,2026-08-24T00:00:00.000
247,407,97,8,247,348.390000,0.0247,1,1,2026-08-24T00:00:00.000
248,352,20,7,248,349.760000,0.0248,1,1,2026-08-24T00:00:00.000
249,392,309,6,249,351.130000,0.0249,1,1,2026-08-24T00:00:00.000
250,22,433,10,250,352.500000,0.0250,1,1,2026-08-24T00:00:00.000
251,198,178,11,251,353.870000,0.0251,1,1,2026-08-24T00:00:00.000
252,399,453,12,252,355.240000,0.0252,1,1,2026-08-24T00:00:00.000
253,208,443,4,253,356.610000,0.0253,1,1,2026-08-24T00:00:00.000
254,186,256,2,254,357.980000,0.0254,1,1,2026-08-24T00:00:00.000
255,371,370,1,255,359.350000,0.0255,1,1,2026-08-24T00:00:00.000
256,345,401,11,256,360.720000,0.0256,1,1,2026-08-24T00:00:00.000
257,141,123,6,257,362.090000,0.0257,1,1,2026-08-24T00:00:00.000
258,376,27,3,258,363.460000,0.0258,1,1,2026-08-24T00:00:00.000
259,435,325,6,259,364.830000,0.0259,1,1,2026-08-24T00:00:00.000
260,367,144,6,260,366.200000,0.0260,1,1,2026-08-24T00:00:00.000
261,469,445,11,261,367.570000,0.0261,1,1,2026-08-24T00:00:00.000
262,126,443,9,262,368.940000,0.0262,1,1,2026-08-24T00:00:00.000
263,217,316,7,263,370.310000,0.0263,1,1,2026-08-24T00:00:00.000
264,52,335,3,264,371.680000,0.0264,1,1,2026-08-24T00:00:00.000
265,320,246,3,265,373.050000,0.0265,1,1,2026-08-24T00:00:00.000
266,487,117,5,266,374.420000,0.0266,1,1,2026-08-24T00:00:00.000
267,203,43,2,267,375.790000,0.0267,1,1,2026-08-24T00:00:00.000
268,100,472,1,268,377.160000,0.0268,1,1,2026-08-24T00:00:00.000
269,340,469,10,269,378.530000,0.0269,1,1,2026-08-24T00:00:00.000
270,462,398,6,270,379.900000,0.0270,1,1,2026-08-24T00:00:00.000
271,50,3,10,271,381.270000,0.0271,1,1,2026-08-24T00:00:00.000
272,207,213,9,272,382.640000,0.0272,1,1,2026-08-24T00:00:00.000
273,171,237,3,273,384.010000,0.0273,1,1,2026-08-24T00:00:00.000
274,432,262,12,274,385.380000,0.0274,1,1,2026-08-24T00:00:00.000
275,453,230,2,275,386.750000,0.0275,1,1,2026-08-24T00:00:00.000
276,374,134,9,276,388.120000,0.0276,1,1,2026-08-24T00:00:00.000
277,226,333,11,277,389.490000,0.0277,1,1,2026-08-24T00:00:00.000
278,366,168,12,278,390.860000,0.0278,1,1,2026-08-24T00:00:00.000
279,53,326,5,279,392.230000,0.0279,1,1,2026-08-24T00:00:00.000
280,189,133,2,280,393.600000,0.0280,1,1,2026-08-24T00:00:00.000
281,433,466,7,281,394.970000,0.0281,1,1,2026-08-24T00:00:00.000
282,491,461,10,282,396.340000,0.0282,1,1,2026-08-24T00:00:00.000
283,382,437,1,283,397.710000,0.0283,1,1,2026-08-24T00:00:00.000
284,180,252,11,284,399.080000,0.0284,1,1,2026-08-24T00:00:00.000
285,75,345,5,285,400.450000,0.0285,1,1,2026-08-24T00:00:00.000
286,405,177,12,286,401.820000,0.0286,1,1,2026-08-24T00:00:00.000
287,46,250,6,287,403.190000,0.0287,1,1,2026-08-24T00:00:00.000
288,175,125,12,288,404.560000,0.0288,1,1,2026-08-24T00:00:00.000
289,451,486,10,289,405.930000,0.0289,1,1,2026-08-24T00:00:00.000
290,13,105,10,290,407.300000,0.0290,1,1,2026-08-24T00:00:00.000
291,259,154,5,291,408.670000,0.0291,1,1,2026-08-24T00:00:00.000
292,34,347,7,292,410.040000,0.0292,1,1,2026-08-24T00:00:00.000
293,131,119,1,293,411.410000,0.0293,1,1,2026-08-24T00:00:00.000
294,71,442,9,294,412.780000,0.0294,1,1,2026-08-24T00:00:00.000
295,357,176,10,295,414.150000,0.0295,1,1,2026-08-24T00:00:00.000
296,203,93,11,296,415.520000,0.0296,1,1,2026-08-24T00:00:00.000
297,428,257,9,297,416.890000,0.0297,1,1,2026-08-24T00:00:00.000
298,76,186,1,298,418.260000,0.0298,1,1,2026-08-24T00:00:00.000
299,181,285,12,299,419.630000,0.0299,1,1,2026-08-24T00:00:00.000
300,83,291,9,300,421.000000,0.0300,1,1,2026-08-24T00:00:00.000
301,143,177,6,301,422.370000,0.0301,1,1,2026-08-24T00:00:00.000
302,477,208,3,302,423.740000,0.0302,1,1,2026-08-24T00:00:00.000
303,416,417,6,303,425.110000,0.0303,1,1,2026-08-24T00:00:00.000
304,130,269,4,304,426.480000,0.0304,1,1,2026-08-24T00:00:00.000
305,381,378,9,305,427.850000,0.0305,1,1,2026-08-24T00:00:00.000
306,220,136,12,306,429.220000,0.0306,1,1,2026-08-24T00:00:00.000
307,368,279,8,307,430.590000,0.0307,1,1,2026-08-24T00:00:00.000
308,280,282,8,308,431.960000,0.0308,1,1,2026-08-24T00:00:00.000
309,78,316,2,309,433.330000,0.0309,1,1,2026-08-24T00:00:00.000
310,197,96,4,310,434.700000,0.0310,1,1,2026-08-24T00:00:00.000
311,130,99,4,311,436.070000,0.0311,1,1,2026-08-24T00:00:00.000
312,157,431,12,312,437.440000,0.0312,1,1,2026-08-24T00:00:00.000
313,173,161,10,313,438.810000,0.0313,1,1,2026-08-24T00:00:00.000
314,346,413,11,314,440.180000,0.0314,1,1,2026-08-24T00:00:00.000
315,129,156,6,315,441.550000,0.0315,1,1,2026-08-24T00:00:00.000
316,238,169,7,316,442.920000,0.0316,1,1,2026-08-24T00:00:00.000
317,193,200,2,317,444.290000,0.0317,1,1,2026-08-24T00:00:00.000
318,154,260,8,318,445.660000,0.0318,1,1,2026-08-24T00:00:00.000
319,50,133,9,319,447.030000,0.0319,1,1,2026-08-24T00:00:00.000
320,477,324,6,320,448.400000,0.0320,1,1,2026-08-24T00:00:00.000
321,312,189,2,321,449.770000,0.0321,1,1,2026-08-24T00:00:00.000
322,496,268,10,322,451.140000,0.0322,1,1,2026-08-24T00:00:00.000
323,453,185,2,323,452.510000,0.0323,1,1,2026-08-24T00:00:00.000
324,388,70,7,324,453.880000,0.0324,1,1,2026-08-24T00:00:00.000
325,499,478,8,325,455.250000,0.0325,1,1,2026-08-24T00:00:00.000
326,460,397,1,326,456.620000,0.0326,1,1,2026-08-24T00:00:00.000
327,301,315,7,327,457.990000,0.0327,1,1,2026-08-24T00:00:00.000
328,369,22,5,328,459.360000,0.0328,1,1,2026-08-24T00:00:00.000
329,230,139,11,329,460.730000,0.0329,1,1,2026-08-24T00:00:00.000
330,162,396,11,330,462.100000,0.0330,1,1,2026-08-24T00:00:00.000
331,30,150,1,331,463.470000,0.0331,1,1,2026-08-24T00:00:00.000
332,356,460,12,332,464.840000,0.0332,1,1,2026-08-24T00:00:00.000
333,150,175,4,333,466.210000,0.0333,1,1,2026-08-24T00:00:00.000
334,160,126,5,334,467.580000,0.0334,1,1,2026-08-24T00:00:00.000
335,455,131,8,335,468.950000,0.0335,1,1,2026-08-24T00:00:00.000
336,310,472,2,336,470.320000,0.0336,1,1,2026-08-24T00:00:00.000
337,431,238,7,337,471.690000,0.0337,1,1,2026-08-24T00:00:00.000
338,56,99,4,338,473.060000,0.0338,1,1,2026-08-24T00:00:00.000
339,406,266,6,339,474.430000,0.0339,1,1,2026-08-24T00:00:00.000
340,49,426,8,340,475.800000,0.0340,1,1,2026-08-24T00:00:00.000
341,139,349,4,341,477.170000,0.0341,1,1,2026-08-24T00:00:00.000
342,360,186,12,342,478.540000,0.0342,1,1,2026-08-24T00:00:00.000
343,390,363,7,343,479.910000,0.0343,1,1,2026-08-24T00:00:00.000
344,452,65,11,344,481.280000,0.0344,1,1,2026-08-24T00:00:00.000
345,132,483,7,345,482.650000,0.0345,1,1,2026-08-24T00:00:00.000
346,279,361,9,346,484.020000,0.0346,1,1,2026-08-24T00:00:00.000
347,409,230,12,347,485.390000,0.0347,1,1,2026-08-24T00:00:00.000
348,123,97,7,348,486.760000,0.0348,1,1,2026-08-24T00:00:00.000
349,21,346,5,349,488.130000,0.0349,1,1,2026-08-24T00:00:00.000
350,494,251,7,350,489.500000,0.0350,1,1,2026-08-24T00:00:00.000
351,492,432,1,351,490.870000,0.0351,1,1,2026-08-24T00:00:00.000
352,417,83,3,352,492.240000,0.0352,1,1,2026-08-24T00:00:00.000
353,17,309,9,353,493.610000,0.0353,1,1,2026-08-24T00:00:00.000
