RoutingWorkCenterAssignmentKey,RoutingHeaderKey,WorkCenterKey,RoutingOperationTypeKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
62,397,177,444,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,333,168,373,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,23,70,141,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,492,123,470,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
66,52,438,217,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,216,484,430,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,453,260,369,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,192,30,125,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,20,117,258,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
71,433,126,480,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,101,49,148,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,409,300,422,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,331,224,207,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,158,371,176,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,245,314,132,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,6,161,369,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,147,393,259,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,456,291,414,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,194,110,2,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,485,176,99,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
82,330,248,345,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,113,15,224,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,344,148,157,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,201,498,182,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,21,379,308,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,246,45,223,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,441,84,495,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,128,211,273,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,259,417,127,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,144,34,85,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,455,420,236,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,284,354,93,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,89,252,493,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
95,311,137,102,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,153,221,228,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,423,47,406,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
98,61,410,124,98,144.260000,0.0098,1,1,2026-08-24T00:00:00.000
99,13,404,410,99,145.630000,0.0099,1,1,2026-08-24T00:00:00.000
100,64,427,141,100,147.000000,0.0100,1,1,2026-08-24T00:00:00.000
101,162,385,108,101,148.370000,0.0101,1,1,2026-08-24T00:00:00.000
102,319,328,40,102,149.740000,0.0102,1,1,2026-08-24T00:00:00.000
103,218,494,321,103,151.110000,0.0103,1,1,2026-08-24T00:00:00.000
104,489,304,322,104,152.480000,0.0104,1,1,2026-08-24T00:00:00.000
105,480,127,58,105,153.850000,0.0105,1,1,2026-08-24T00:00:00.000
106,107,109,337,106,155.220000,0.0106,1,1,2026-08-24T00:00:00.000
107,405,230,354,107,156.590000,0.0107,1,1,2026-08-24T00:00:00.000
108,252,277,88,108,157.960000,0.0108,1,1,2026-08-24T00:00:00.000
109,384,262,277,109,159.330000,0.0109,1,1,2026-08-24T00:00:00.000
110,447,51,259,110,160.700000,0.0110,1,1,2026-08-24T00:00:00.000
111,222,456,290,111,162.070000,0.0111,1,1,2026-08-24T00:00:00.000
112,153,168,253,112,163.440000,0.0112,1,1,2026-08-24T00:00:00.000
113,298,470,303,113,164.810000,0.0113,1,1,2026-08-24T00:00:00.000
114,322,442,109,114,166.180000,0.0114,1,1,2026-08-24T00:00:00.000
115,484,39,378,115,167.550000,0.0115,1,1,2026-08-24T00:00:00.000
116,18,292,234,116,168.920000,0.0116,1,1,2026-08-24T00:00:00.000
117,487,340,109,117,170.290000,0.0117,1,1,2026-08-24T00:00:00.000
118,202,393,184,118,171.660000,0.0118,1,1,2026-08-24T00:00:00.000
119,85,345,66,119,173.030000,0.0119,1,1,2026-08-24T00:00:00.000
120,158,270,67,120,174.400000,0.0120,1,1,2026-08-24T00:00:00.000
121,113,309,398,121,175.770000,0.0121,1,1,2026-08-24T00:00:00.000
122,196,312,432,122,177.140000,0.0122,1,1,2026-08-24T00:00:00.000
123,163,176,253,123,178.510000,0.0123,1,1,2026-08-24T00:00:00.000
124,85,35,87,124,179.880000,0.0124,1,1,2026-08-24T00:00:00.000
125,475,70,297,125,181.250000,0.0125,1,1,2026-08-24T00:00:00.000
126,162,493,166,126,182.620000,0.0126,1,1,2026-08-24T00:00:00.000
127,306,324,69,127,183.990000,0.0127,1,1,2026-08-24T00:00:00.000
128,218,4,110,128,185.360000,0.0128,1,1,2026-08-24T00:00:00.000
129,218,299,209,129,186.730000,0.0129,1,1,2026-08-24T00:00:00.000
130,402,108,335,130,188.100000,0.0130,1,1,2026-08-24T00:00:00.000
131,372,437,308,131,189.470000,0.0131,1,1,2026-08-24T00:00:00.000
132,25,252,6,132,190.840000,0.0132,1,1,2026-08-24T00:00:00.000
133,178,188,309,133,192.210000,0.0133,1,1,2026-08-24T00:00:00.000
134,260,363,100,134,193.580000,0.0134,1,1,2026-08-24T00:00:00.000
135,55,329,282,135,194.950000,0.0135,1,1,2026-08-24T00:00:00.000
136,181,63,58,136,196.320000,0.0136,1,1,2026-08-24T00:00:00.000
137,351,183,285,137,197.690000,0.0137,1,1,2026-08-24T00:00:00.000
138,46,398,124,138,199.060000,0.0138,1,1,2026-08-24T00:00:00.000
139,63,205,320,139,200.430000,0.0139,1,1,2026-08-24T00:00:00.000
140,269,56,334,140,201.800000,0.0140,1,1,2026-08-24T00:00:00.000
141,481,220,355,141,203.170000,0.0141,1,1,2026-08-24T00:00:00.000
142,212,205,352,142,204.540000,0.0142,1,1,2026-08-24T00:00:00.000
143,241,51,245,143,205.910000,0.0143,1,1,2026-08-24T00:00:00.000
144,287,286,214,144,207.280000,0.0144,1,1,2026-08-24T00:00:00.000
145,145,482,210,145,208.650000,0.0145,1,1,2026-08-24T00:00:00.000
146,139,342,417,146,210.020000,0.0146,1,1,2026-08-24T00:00:00.000
147,237,283,259,147,211.390000,0.0147,1,1,2026-08-24T00:00:00.000
148,372,127,65,148,212.760000,0.0148,1,1,2026-08-24T00:00:00.000
149,85,214,310,149,214.130000,0.0149,1,1,2026-08-24T00:00:00.000
150,58,366,232,150,215.500000,0.0150,1,1,2026-08-24T00:00:00.000
151,316,114,370,151,216.870000,0.0151,1,1,2026-08-24T00:00:00.000
152,166,368,338,152,218.240000,0.0152,1,1,2026-08-24T00:00:00.000
153,455,119,457,153,219.610000,0.0153,1,1,2026-08-24T00:00:00.000
154,121,124,114,154,220.980000,0.0154,1,1,2026-08-24T00:00:00.000
155,82,293,490,155,222.350000,0.0155,1,1,2026-08-24T00:00:00.000
156,147,474,496,156,223.720000,0.0156,1,1,2026-08-24T00:00:00.000
157,34,457,447,157,225.090000,0.0157,1,1,2026-08-24T00:00:00.000
158,382,342,392,158,226.460000,0.0158,1,1,2026-08-24T00:00:00.000
159,230,22,102,159,227.830000,0.0159,1,1,2026-08-24T00:00:00.000
160,372,309,143,160,229.200000,0.0160,1,1,2026-08-24T00:00:00.000
161,431,466,121,161,230.570000,0.0161,1,1,2026-08-24T00:00:00.000
162,297,239,417,162,231.940000,0.0162,1,1,2026-08-24T00:00:00.000
163,342,320,167,163,233.310000,0.0163,1,1,2026-08-24T00:00:00.000
164,127,326,328,164,234.680000,0.0164,1,1,2026-08-24T00:00:00.000
165,83,426,305,165,236.050000,0.0165,1,1,2026-08-24T00:00:00.000
166,8,341,468,166,237.420000,0.0166,1,1,2026-08-24T00:00:00.000
167,297,111,30,167,238.790000,0.0167,1,1,2026-08-24T00:00:00.000
168,236,442,357,168,240.160000,0.0168,1,1,2026-08-24T00:00:00.000
169,152,80,313,169,241.530000,0.0169,1,1,2026-08-24T00:00:00.000
170,2,197,345,170,242.900000,0.0170,1,1,2026-08-24T00:00:00.000
171,374,296,31,171,244.270000,0.0171,1,1,2026-08-24T00:00:00.000
172,242,215,297,172,245.640000,0.0172,1,1,2026-08-24T00:00:00.000
173,351,495,435,173,247.010000,0.0173,1,1,2026-08-24T00:00:00.000
174,210,218,292,174,248.380000,0.0174,1,1,2026-08-24T00:00:00.000
175,102,361,34,175,249.750000,0.0175,1,1,2026-08-24T00:00:00.000
176,283,105,263,176,251.120000,0.0176,1,1,2026-08-24T00:00:00.000
177,50,414,463,177,252.490000,0.0177,1,1,2026-08-24T00:00:00.000
178,7,296,390,178,253.860000,0.0178,1,1,2026-08-24T00:00:00.000
179,421,126,399,179,255.230000,0.0179,1,1,2026-08-24T00:00:00.000
180,91,370,385,180,256.600000,0.0180,1,1,2026-08-24T00:00:00.000
181,400,10,34,181,257.970000,0.0181,1,1,2026-08-24T00:00:00.000
182,491,476,368,182,259.340000,0.0182,1,1,2026-08-24T00:00:00.000
183,496,159,12,183,260.710000,0.0183,1,1,2026-08-24T00:00:00.000
184,345,68,475,184,262.080000,0.0184,1,1,2026-08-24T00:00:00.000
185,293,446,156,185,263.450000,0.0185,1,1,2026-08-24T00:00:00.000
186,289,475,243,186,264.820000,0.0186,1,1,2026-08-24T00:00:00.000
187,462,256,143,187,266.190000,0.0187,1,1,2026-08-24T00:00:00.000
188,305,395,82,188,267.560000,0.0188,1,1,2026-08-24T00:00:00.000
189,75,482,245,189,268.930000,0.0189,1,1,2026-08-24T00:00:00.000
190,59,191,102,190,270.300000,0.0190,1,1,2026-08-24T00:00:00.000
191,235,81,170,191,271.670000,0.0191,1,1,2026-08-24T00:00:00.000
192,268,146,251,192,273.040000,0.0192,1,1,2026-08-24T00:00:00.000
193,466,433,470,193,274.410000,0.0193,1,1,2026-08-24T00:00:00.000
194,380,115,1,194,275.780000,0.0194,1,1,2026-08-24T00:00:00.000
195,44,473,1,195,277.150000,0.0195,1,1,2026-08-24T00:00:00.000
196,41,189,269,196,278.520000,0.0196,1,1,2026-08-24T00:00:00.000
197,152,126,482,197,279.890000,0.0197,1,1,2026-08-24T00:00:00.000
198,50,206,38,198,281.260000,0.0198,1,1,2026-08-24T00:00:00.000
199,119,31,121,199,282.630000,0.0199,1,1,2026-08-24T00:00:00.000
200,98,81,193,200,284.000000,0.0200,1,1,2026-08-24T00:00:00.000
201,142,455,123,201,285.370000,0.0201,1,1,2026-08-24T00:00:00.000
202,168,171,433,202,286.740000,0.0202,1,1,2026-08-24T00:00:00.000
203,96,435,27,203,288.110000,0.0203,1,1,2026-08-24T00:00:00.000
204,143,37,395,204,289.480000,0.0204,1,1,2026-08-24T00:00:00.000
205,79,437,166,205,290.850000,0.0205,1,1,2026-08-24T00:00:00.000
206,216,439,496,206,292.220000,0.0206,1,1,2026-08-24T00:00:00.000
207,310,448,283,207,293.590000,0.0207,1,1,2026-08-24T00:00:00.000
208,33,332,417,208,294.960000,0.0208,1,1,2026-08-24T00:00:00.000
209,435,360,194,209,296.330000,0.0209,1,1,2026-08-24T00:00:00.000
210,117,110,397,210,297.700000,0.0210,1,1,2026-08-24T00:00:00.000
211,380,480,409,211,299.070000,0.0211,1,1,2026-08-24T00:00:00.000
212,69,308,163,212,300.440000,0.0212,1,1,2026-08-24T00:00:00.000
213,431,62,54,213,301.810000,0.0213,1,1,2026-08-24T00:00:00.000
214,53,118,71,214,303.180000,0.0214,1,1,2026-08-24T00:00:00.000
215,173,482,147,215,304.550000,0.0215,1,1,2026-08-24T00:00:00.000
216,444,90,259,216,305.920000,0.0216,1,1,2026-08-24T00:00:00.000
217,494,39,423,217,307.290000,0.0217,1,1,2026-08-24T00:00:00.000
218,394,55,353,218,308.660000,0.0218,1,1,2026-08-24T00:00:00.000
219,390,234,254,219,310.030000,0.0219,1,1,2026-08-24T00:00:00.000
220,71,406,56,220,311.400000,0.0220,1,1,2026-08-24T00:00:00.000
221,141,142,434,221,312.770000,0.0221,1,1,2026-08-24T00:00:00.000
222,92,276,33,222,314.140000,0.0222,1,1,2026-08-24T00:00:00.000
223,162,71,319,223,315.510000,0.0223,1,1,2026-08-24T00:00:00.000
224,86,326,4,224,316.880000,0.0224,1,1,2026-08-24T00:00:00.000
225,245,153,10,225,318.250000,0.0225,1,1,2026-08-24T00:00:00.000
226,327,428,185,226,319.620000,0.0226,1,1,2026-08-24T00:00:00.000
227,302,134,277,227,320.990000,0.0227,1,1,2026-08-24T00:00:00.000
228,70,230,219,228,322.360000,0.0228,1,1,2026-08-24T00:00:00.000
229,19,325,489,229,323.730000,0.0229,1,1,2026-08-24T00:00:00.000
230,393,74,149,230,325.100000,0.0230,1,1,2026-08-24T00:00:00.000
231,170,7,19,231,326.470000,0.0231,1,1,2026-08-24T00:00:00.000
232,382,457,236,232,327.840000,0.0232,1,1,2026-08-24T00:00:00.000
233,348,284,370,233,329.210000,0.0233,1,1,2026-08-24T00:00:00.000
234,132,420,218,234,330.580000,0.0234,1,1,2026-08-24T00:00:00.000
235,294,130,36,235,331.950000,0.0235,1,1,2026-08-24T00:00:00.000
236,43,458,421,236,333.320000,0.0236,1,1,2026-08-24T00:00:00.000
237,229,204,302,237,334.690000,0.0237,1,1,2026-08-24T00:00:00.000
238,108,76,56,238,336.060000,0.0238,1,1,2026-08-24T00:00:00.000
239,364,223,285,239,337.430000,0.0239,1,1,2026-08-24T00:00:00.000
240,179,23,131,240,338.800000,0.0240,1,1,2026-08-24T00:00:00.000
241,330,451,231,241,340.170000,0.0241,1,1,2026-08-24T00:00:00.000
242,190,77,455,242,341.540000,0.0242,1,1,2026-08-24T00:00:00.000
243,470,360,260,243,342.910000,0.0243,1,1,2026-08-24T00:00:00.000
244,364,118,266,244,344.280000,0.0244,1,1,2026-08-24T00:00:00.000
245,447,105,57,245,345.650000,0.0245,1,1,2026-08-24T00:00:00.000
246,219,52,246,246,347.020000,0.0246,1,1,2026-08-24T00:00:00.000
247,266,244,200,247,348.390000,0.0247,1,1,2026-08-24T00:00:00.000
248,47,238,310,248,349.760000,0.0248,1,1,2026-08-24T00:00:00.000
249,457,295,376,249,351.130000,0.0249,1,1,2026-08-24T00:00:00.000
250,134,258,121,250,352.500000,0.0250,1,1,2026-08-24T00:00:00.000
251,6,472,36,251,353.870000,0.0251,1,1,2026-08-24T00:00:00.000
252,429,399,132,252,355.240000,0.0252,1,1,2026-08-24T00:00:00.000
253,314,379,136,253,356.610000,0.0253,1,1,2026-08-24T00:00:00.000
254,414,249,19,254,357.980000,0.0254,1,1,2026-08-24T00:00:00.000
255,197,390,71,255,359.350000,0.0255,1,1,2026-08-24T00:00:00.000
256,468,394,408,256,360.720000,0.0256,1,1,2026-08-24T00:00:00.000
257,321,481,409,257,362.090000,0.0257,1,1,2026-08-24T00:00:00.000
258,160,381,151,258,363.460000,0.0258,1,1,2026-08-24T00:00:00.000
259,423,45,380,259,364.830000,0.0259,1,1,2026-08-24T00:00:00.000
260,492,61,133,260,366.200000,0.0260,1,1,2026-08-24T00:00:00.000
261,384,464,399,261,367.570000,0.0261,1,1,2026-08-24T00:00:00.000
262,441,394,356,262,368.940000,0.0262,1,1,2026-08-24T00:00:00.000
263,431,337,413,263,370.310000,0.0263,1,1,2026-08-24T00:00:00.000
264,298,217,144,264,371.680000,0.0264,1,1,2026-08-24T00:00:00.000
265,58,419,79,265,373.050000,0.0265,1,1,2026-08-24T00:00:00.000
266,54,213,438,266,374.420000,0.0266,1,1,2026-08-24T00:00:00.000
267,330,13,128,267,375.790000,0.0267,1,1,2026-08-24T00:00:00.000
268,66,93,358,268,377.160000,0.0268,1,1,2026-08-24T00:00:00.000
269,45,477,166,269,378.530000,0.0269,1,1,2026-08-24T00:00:00.000
270,95,75,477,270,379.900000,0.0270,1,1,2026-08-24T00:00:00.000
271,377,78,239,271,381.270000,0.0271,1,1,2026-08-24T00:00:00.000
272,15,200,93,272,382.640000,0.0272,1,1,2026-08-24T00:00:00.000
273,27,66,6,273,384.010000,0.0273,1,1,2026-08-24T00:00:00.000
274,302,498,83,274,385.380000,0.0274,1,1,2026-08-24T00:00:00.000
275,396,217,117,275,386.750000,0.0275,1,1,2026-08-24T00:00:00.000
276,127,70,368,276,388.120000,0.0276,1,1,2026-08-24T00:00:00.000
277,179,495,321,277,389.490000,0.0277,1,1,2026-08-24T00:00:00.000
278,462,414,246,278,390.860000,0.0278,1,1,2026-08-24T00:00:00.000
279,268,183,443,279,392.230000,0.0279,1,1,2026-08-24T00:00:00.000
280,210,433,165,280,393.600000,0.0280,1,1,2026-08-24T00:00:00.000
281,447,108,406,281,394.970000,0.0281,1,1,2026-08-24T00:00:00.000
282,447,402,94,282,396.340000,0.0282,1,1,2026-08-24T00:00:00.000
283,24,173,143,283,397.710000,0.0283,1,1,2026-08-24T00:00:00.000
284,406,154,37,284,399.080000,0.0284,1,1,2026-08-24T00:00:00.000
285,156,374,124,285,400.450000,0.0285,1,1,2026-08-24T00:00:00.000
286,184,465,440,286,401.820000,0.0286,1,1,2026-08-24T00:00:00.000
287,448,19,273,287,403.190000,0.0287,1,1,2026-08-24T00:00:00.000
288,467,119,136,288,404.560000,0.0288,1,1,2026-08-24T00:00:00.000
289,311,120,472,289,405.930000,0.0289,1,1,2026-08-24T00:00:00.000
290,155,323,298,290,407.300000,0.0290,1,1,2026-08-24T00:00:00.000
291,114,450,167,291,408.670000,0.0291,1,1,2026-08-24T00:00:00.000
292,180,173,180,292,410.040000,0.0292,1,1,2026-08-24T00:00:00.000
293,75,381,219,293,411.410000,0.0293,1,1,2026-08-24T00:00:00.000
294,51,135,37,294,412.780000,0.0294,1,1,2026-08-24T00:00:00.000
295,364,340,183,295,414.150000,0.0295,1,1,2026-08-24T00:00:00.000
296,44,309,176,296,415.520000,0.0296,1,1,2026-08-24T00:00:00.000
297,340,392,422,297,416.890000,0.0297,1,1,2026-08-24T00:00:00.000
298,32,199,284,298,418.260000,0.0298,1,1,2026-08-24T00:00:00.000
299,57,415,179,299,419.630000,0.0299,1,1,2026-08-24T00:00:00.000
300,290,346,427,300,421.000000,0.0300,1,1,2026-08-24T00:00:00.000
301,30,206,367,301,422.370000,0.0301,1,1,2026-08-24T00:00:00.000
302,75,394,1,302,423.740000,0.0302,1,1,2026-08-24T00:00:00.000
303,133,272,5,303,425.110000,0.0303,1,1,2026-08-24T00:00:00.000
304,494,345,307,304,426.480000,0.0304,1,1,2026-08-24T00:00:00.000
305,255,408,487,305,427.850000,0.0305,1,1,2026-08-24T00:00:00.000
306,124,92,328,306,429.220000,0.0306,1,1,2026-08-24T00:00:00.000
307,331,61,338,307,430.590000,0.0307,1,1,2026-08-24T00:00:00.000
308,165,22,372,308,431.960000,0.0308,1,1,2026-08-24T00:00:00.000
309,219,219,411,309,433.330000,0.0309,1,1,2026-08-24T00:00:00.000
310,301,165,252,310,434.700000,0.0310,1,1,2026-08-24T00:00:00.000
311,390,95,97,311,436.070000,0.0311,1,1,2026-08-24T00:00:00.000
312,414,435,150,312,437.440000,0.0312,1,1,2026-08-24T00:00:00.000
313,172,322,410,313,438.810000,0.0313,1,1,2026-08-24T00:00:00.000
314,62,310,415,314,440.180000,0.0314,1,1,2026-08-24T00:00:00.000
315,14,423,93,315,441.550000,0.0315,1,1,2026-08-24T00:00:00.000
316,325,90,368,316,442.920000,0.0316,1,1,2026-08-24T00:00:00.000
317,140,57,485,317,444.290000,0.0317,1,1,2026-08-24T00:00:00.000
318,272,11,137,318,445.660000,0.0318,1,1,2026-08-24T00:00:00.000
319,333,22,331,319,447.030000,0.0319,1,1,2026-08-24T00:00:00.000
320,221,374,25,320,448.400000,0.0320,1,1,2026-08-24T00:00:00.000
321,321,97,201,321,449.770000,0.0321,1,1,2026-08-24T00:00:00.000
322,182,198,32,322,451.140000,0.0322,1,1,2026-08-24T00:00:00.000
323,421,399,71,323,452.510000,0.0323,1,1,2026-08-24T00:00:00.000
324,105,326,33,324,453.880000,0.0324,1,1,2026-08-24T00:00:00.000
325,378,398,200,325,455.250000,0.0325,1,1,2026-08-24T00:00:00.000
326,253,409,110,326,456.620000,0.0326,1,1,2026-08-24T00:00:00.000
327,216,482,265,327,457.990000,0.0327,1,1,2026-08-24T00:00:00.000
328,499,170,55,328,459.360000,0.0328,1,1,2026-08-24T00:00:00.000
329,365,489,414,329,460.730000,0.0329,1,1,2026-08-24T00:00:00.000
330,460,273,498,330,462.100000,0.0330,1,1,2026-08-24T00:00:00.000
331,5,148,366,331,463.470000,0.0331,1,1,2026-08-24T00:00:00.000
332,319,348,199,332,464.840000,0.0332,1,1,2026-08-24T00:00:00.000
333,295,189,116,333,466.210000,0.0333,1,1,2026-08-24T00:00:00.000
334,99,38,211,334,467.580000,0.0334,1,1,2026-08-24T00:00:00.000
335,103,87,126,335,468.950000,0.0335,1,1,2026-08-24T00:00:00.000
336,289,247,115,336,470.320000,0.0336,1,1,2026-08-24T00:00:00.000
337,84,466,96,337,471.690000,0.0337,1,1,2026-08-24T00:00:00.000
338,218,275,308,338,473.060000,0.0338,1,1,2026-08-24T00:00:00.000
339,127,15,385,339,474.430000,0.0339,1,1,2026-08-24T00:00:00.000
340,250,100,398,340,475.800000,0.0340,1,1,2026-08-24T00:00:00.000
341,65,320,86,341,477.170000,0.0341,1,1,2026-08-24T00:00:00.000
342,330,398,491,342,478.540000,0.0342,1,1,2026-08-24T00:00:00.000
343,370,6,424,343,479.910000,0.0343,1,1,2026-08-24T00:00:00.000
344,63,98,334,344,481.280000,0.0344,1,1,2026-08-24T00:00:00.000
345,497,248,221,345,482.650000,0.0345,1,1,2026-08-24T00:00:00.000
346,361,284,95,346,484.020000,0.0346,1,1,2026-08-24T00:00:00.000
347,224,282,221,347,485.390000,0.0347,1,1,2026-08-24T00:00:00.000
348,57,211,186,348,486.760000,0.0348,1,1,2026-08-24T00:00:00.000
349,463,268,459,349,488.130000,0.0349,1,1,2026-08-24T00:00:00.000
350,422,494,365,350,489.500000,0.0350,1,1,2026-08-24T00:00:00.000
351,398,354,401,351,490.870000,0.0351,1,1,2026-08-24T00:00:00.000
352,53,275,73,352,492.240000,0.0352,1,1,2026-08-24T00:00:00.000
