LogisticsShipmentTariffAssignmentKey,LogisticsShipmentLineKey,LogisticsTariffItemKey,LogisticsCustomsStatusKey,DeclaredQuantity,SourceSystemKey,BatchId,LoadedAtUtc
108,209,444,2,75.7000,1,1,2026-08-24T00:00:00.000
109,370,126,10,76.4000,1,1,2026-08-24T00:00:00.000
110,359,136,8,77.1000,1,1,2026-08-24T00:00:00.000
111,389,366,8,77.8000,1,1,2026-08-24T00:00:00.000
112,6,183,3,78.5000,1,1,2026-08-24T00:00:00.000
113,360,264,1,79.2000,1,1,2026-08-24T00:00:00.000
114,334,490,3,79.9000,1,1,2026-08-24T00:00:00.000
115,472,44,4,80.6000,1,1,2026-08-24T00:00:00.000
116,113,258,3,81.3000,1,1,2026-08-24T00:00:00.000
117,173,376,2,82.0000,1,1,2026-08-24T00:00:00.000
118,13,51,3,82.7000,1,1,2026-08-24T00:00:00.000
119,435,47,1,83.4000,1,1,2026-08-24T00:00:00.000
120,462,194,4,84.1000,1,1,2026-08-24T00:00:00.000
121,163,67,2,84.8000,1,1,2026-08-24T00:00:00.000
122,451,44,5,85.5000,1,1,2026-08-24T00:00:00.000
123,308,381,7,86.2000,1,1,2026-08-24T00:00:00.000
124,117,399,3,86.9000,1,1,2026-08-24T00:00:00.000
125,281,388,6,87.6000,1,1,2026-08-24T00:00:00.000
126,294,209,2,88.3000,1,1,2026-08-24T00:00:00.000
127,249,199,1,89.0000,1,1,2026-08-24T00:00:00.000
128,466,447,1,89.7000,1,1,2026-08-24T00:00:00.000
129,339,414,9,90.4000,1,1,2026-08-24T00:00:00.000
130,64,396,2,91.1000,1,1,2026-08-24T00:00:00.000
131,43,227,3,91.8000,1,1,2026-08-24T00:00:00.000
132,172,295,4,92.5000,1,1,2026-08-24T00:00:00.000
133,66,146,3,93.2000,1,1,2026-08-24T00:00:00.000
134,267,225,9,93.9000,1,1,2026-08-24T00:00:00.000
135,295,402,9,94.6000,1,1,2026-08-24T00:00:00.000
136,253,211,8,95.3000,1,1,2026-08-24T00:00:00.000
137,322,379,10,96.0000,1,1,2026-08-24T00:00:00.000
138,10,39,10,96.7000,1,1,2026-08-24T00:00:00.000
139,25,30,4,97.4000,1,1,2026-08-24T00:00:00.000
140,371,87,8,98.1000,1,1,2026-08-24T00:00:00.000
141,100,478,5,98.8000,1,1,2026-08-24T00:00:00.000
142,352,74,9,99.5000,1,1,2026-08-24T00:00:00.000
143,266,312,10,100.2000,1,1,2026-08-24T00:00:00.000
144,22,266,4,100.9000,1,1,2026-08-24T00:00:00.000
145,436,140,8,101.6000,1,1,2026-08-24T00:00:00.000
146,235,23,2,102.3000,1,1,2026-08-24T00:00:00.000
147,164,194,7,103.0000,1,1,2026-08-24T00:00:00.000
148,244,85,7,103.7000,1,1,2026-08-24T00:00:00.000
149,89,421,2,104.4000,1,1,2026-08-24T00:00:00.000
150,45,367,1,105.1000,1,1,2026-08-24T00:00:00.000
151,111,423,6,105.8000,1,1,2026-08-24T00:00:00.000
152,338,387,8,106.5000,1,1,2026-08-24T00:00:00.000
153,482,82,5,107.2000,1,1,2026-08-24T00:00:00.000
154,355,479,4,107.9000,1,1,2026-08-24T00:00:00.000
155,412,468,10,108.6000,1,1,2026-08-24T00:00:00.000
156,342,228,4,109.3000,1,1,2026-08-24T00:00:00.000
157,344,232,1,110.0000,1,1,2026-08-24T00:00:00.000
158,197,192,5,110.7000,1,1,2026-08-24T00:00:00.000
159,208,392,3,111.4000,1,1,2026-08-24T00:00:00.000
160,126,312,5,112.1000,1,1,2026-08-24T00:00:00.000
161,462,104,5,112.8000,1,1,2026-08-24T00:00:00.000
162,200,74,4,113.5000,1,1,2026-08-24T00:00:00.000
163,203,147,8,114.2000,1,1,2026-08-24T00:00:00.000
164,495,173,8,114.9000,1,1,2026-08-24T00:00:00.000
165,230,293,3,115.6000,1,1,2026-08-24T00:00:00.000
166,346,95,5,116.3000,1,1,2026-08-24T00:00:00.000
167,493,384,8,117.0000,1,1,2026-08-24T00:00:00.000
168,473,214,7,117.7000,1,1,2026-08-24T00:00:00.000
169,10,29,10,118.4000,1,1,2026-08-24T00:00:00.000
170,180,124,3,119.1000,1,1,2026-08-24T00:00:00.000
171,186,46,7,119.8000,1,1,2026-08-24T00:00:00.000
172,94,500,5,120.5000,1,1,2026-08-24T00:00:00.000
173,261,276,6,121.2000,1,1,2026-08-24T00:00:00.000
174,58,259,8,121.9000,1,1,2026-08-24T00:00:00.000
175,190,350,1,122.6000,1,1,2026-08-24T00:00:00.000
176,209,304,4,123.3000,1,1,2026-08-24T00:00:00.000
177,455,225,7,124.0000,1,1,2026-08-24T00:00:00.000
178,439,28,2,124.7000,1,1,2026-08-24T00:00:00.000
179,7,52,10,125.4000,1,1,2026-08-24T00:00:00.000
180,338,22,4,126.1000,1,1,2026-08-24T00:00:00.000
181,24,47,2,126.8000,1,1,2026-08-24T00:00:00.000
182,306,234,3,127.5000,1,1,2026-08-24T00:00:00.000
183,288,100,4,128.2000,1,1,2026-08-24T00:00:00.000
184,279,19,5,128.9000,1,1,2026-08-24T00:00:00.000
185,360,429,10,129.6000,1,1,2026-08-24T00:00:00.000
186,169,264,8,130.3000,1,1,2026-08-24T00:00:00.000
187,272,329,8,131.0000,1,1,2026-08-24T00:00:00.000
188,18,465,8,131.7000,1,1,2026-08-24T00:00:00.000
189,155,458,4,132.4000,1,1,2026-08-24T00:00:00.000
190,345,161,9,133.1000,1,1,2026-08-24T00:00:00.000
191,365,132,8,133.8000,1,1,2026-08-24T00:00:00.000
192,425,430,8,134.5000,1,1,2026-08-24T00:00:00.000
193,227,151,9,135.2000,1,1,2026-08-24T00:00:00.000
194,21,36,2,135.9000,1,1,2026-08-24T00:00:00.000
195,338,55,3,136.6000,1,1,2026-08-24T00:00:00.000
196,380,16,8,137.3000,1,1,2026-08-24T00:00:00.000
197,202,354,5,138.0000,1,1,2026-08-24T00:00:00.000
198,37,202,9,138.7000,1,1,2026-08-24T00:00:00.000
199,311,375,8,139.4000,1,1,2026-08-24T00:00:00.000
200,261,453,4,140.1000,1,1,2026-08-24T00:00:00.000
201,234,477,5,140.8000,1,1,2026-08-24T00:00:00.000
202,8,144,9,141.5000,1,1,2026-08-24T00:00:00.000
203,128,216,4,142.2000,1,1,2026-08-24T00:00:00.000
204,108,48,10,142.9000,1,1,2026-08-24T00:00:00.000
205,362,35,8,143.6000,1,1,2026-08-24T00:00:00.000
206,471,249,9,144.3000,1,1,2026-08-24T00:00:00.000
207,147,416,10,145.0000,1,1,2026-08-24T00:00:00.000
208,94,246,8,145.7000,1,1,2026-08-24T00:00:00.000
209,70,189,8,146.4000,1,1,2026-08-24T00:00:00.000
210,170,189,10,147.1000,1,1,2026-08-24T00:00:00.000
211,68,363,4,147.8000,1,1,2026-08-24T00:00:00.000
212,217,461,8,148.5000,1,1,2026-08-24T00:00:00.000
213,344,324,8,149.2000,1,1,2026-08-24T00:00:00.000
214,432,339,3,149.9000,1,1,2026-08-24T00:00:00.000
215,92,385,2,150.6000,1,1,2026-08-24T00:00:00.000
216,455,209,3,151.3000,1,1,2026-08-24T00:00:00.000
217,438,96,9,152.0000,1,1,2026-08-24T00:00:00.000
218,418,32,5,152.7000,1,1,2026-08-24T00:00:00.000
219,416,213,4,153.4000,1,1,2026-08-24T00:00:00.000
220,54,63,1,154.1000,1,1,2026-08-24T00:00:00.000
221,234,460,8,154.8000,1,1,2026-08-24T00:00:00.000
222,241,61,1,155.5000,1,1,2026-08-24T00:00:00.000
223,359,427,8,156.2000,1,1,2026-08-24T00:00:00.000
224,14,221,9,156.9000,1,1,2026-08-24T00:00:00.000
225,442,412,6,157.6000,1,1,2026-08-24T00:00:00.000
226,309,481,1,158.3000,1,1,2026-08-24T00:00:00.000
227,429,61,5,159.0000,1,1,2026-08-24T00:00:00.000
228,228,269,9,159.7000,1,1,2026-08-24T00:00:00.000
229,86,311,9,160.4000,1,1,2026-08-24T00:00:00.000
230,139,394,10,161.1000,1,1,2026-08-24T00:00:00.000
231,80,334,1,161.8000,1,1,2026-08-24T00:00:00.000
232,273,3,8,162.5000,1,1,2026-08-24T00:00:00.000
233,485,120,3,163.2000,1,1,2026-08-24T00:00:00.000
234,96,178,9,163.9000,1,1,2026-08-24T00:00:00.000
235,309,8,1,164.6000,1,1,2026-08-24T00:00:00.000
236,193,297,9,165.3000,1,1,2026-08-24T00:00:00.000
237,311,260,7,166.0000,1,1,2026-08-24T00:00:00.000
238,227,450,6,166.7000,1,1,2026-08-24T00:00:00.000
239,430,195,1,167.4000,1,1,2026-08-24T00:00:00.000
240,22,337,8,168.1000,1,1,2026-08-24T00:00:00.000
241,166,143,10,168.8000,1,1,2026-08-24T00:00:00.000
242,11,139,4,169.5000,1,1,2026-08-24T00:00:00.000
243,280,249,3,170.2000,1,1,2026-08-24T00:00:00.000
244,245,135,5,170.9000,1,1,2026-08-24T00:00:00.000
245,217,95,4,171.6000,1,1,2026-08-24T00:00:00.000
246,32,23,10,172.3000,1,1,2026-08-24T00:00:00.000
247,246,444,1,173.0000,1,1,2026-08-24T00:00:00.000
248,63,274,3,173.7000,1,1,2026-08-24T00:00:00.000
249,152,429,3,174.4000,1,1,2026-08-24T00:00:00.000
250,463,156,8,175.1000,1,1,2026-08-24T00:00:00.000
251,138,255,6,175.8000,1,1,2026-08-24T00:00:00.000
252,351,141,2,176.5000,1,1,2026-08-24T00:00:00.000
253,476,395,1,177.2000,1,1,2026-08-24T00:00:00.000
254,423,421,7,177.9000,1,1,2026-08-24T00:00:00.000
255,163,381,10,178.6000,1,1,2026-08-24T00:00:00.000
256,43,253,2,179.3000,1,1,2026-08-24T00:00:00.000
257,65,499,10,180.0000,1,1,2026-08-24T00:00:00.000
258,353,197,4,180.7000,1,1,2026-08-24T00:00:00.000
259,333,112,5,181.4000,1,1,2026-08-24T00:00:00.000
260,88,248,4,182.1000,1,1,2026-08-24T00:00:00.000
261,93,365,1,182.8000,1,1,2026-08-24T00:00:00.000
262,486,404,7,183.5000,1,1,2026-08-24T00:00:00.000
263,476,174,2,184.2000,1,1,2026-08-24T00:00:00.000
264,144,239,2,184.9000,1,1,2026-08-24T00:00:00.000
265,17,30,8,185.6000,1,1,2026-08-24T00:00:00.000
266,316,419,6,186.3000,1,1,2026-08-24T00:00:00.000
267,66,274,6,187.0000,1,1,2026-08-24T00:00:00.000
268,488,446,10,187.7000,1,1,2026-08-24T00:00:00.000
269,28,278,9,188.4000,1,1,2026-08-24T00:00:00.000
270,321,87,8,189.1000,1,1,2026-08-24T00:00:00.000
271,421,224,9,189.8000,1,1,2026-08-24T00:00:00.000
272,33,163,8,190.5000,1,1,2026-08-24T00:00:00.000
273,320,470,2,191.2000,1,1,2026-08-24T00:00:00.000
274,18,291,10,191.9000,1,1,2026-08-24T00:00:00.000
275,236,421,8,192.6000,1,1,2026-08-24T00:00:00.000
276,284,143,6,193.3000,1,1,2026-08-24T00:00:00.000
277,471,364,4,194.0000,1,1,2026-08-24T00:00:00.000
278,345,72,7,194.7000,1,1,2026-08-24T00:00:00.000
279,421,241,4,195.4000,1,1,2026-08-24T00:00:00.000
280,128,412,9,196.1000,1,1,2026-08-24T00:00:00.000
281,276,359,1,196.8000,1,1,2026-08-24T00:00:00.000
282,232,132,3,197.5000,1,1,2026-08-24T00:00:00.000
283,141,401,4,198.2000,1,1,2026-08-24T00:00:00.000
284,271,284,5,198.9000,1,1,2026-08-24T00:00:00.000
285,134,154,9,199.6000,1,1,2026-08-24T00:00:00.000
286,6,125,10,200.3000,1,1,2026-08-24T00:00:00.000
287,74,184,1,201.0000,1,1,2026-08-24T00:00:00.000
288,386,90,9,201.7000,1,1,2026-08-24T00:00:00.000
289,294,58,1,202.4000,1,1,2026-08-24T00:00:00.000
290,175,296,7,203.1000,1,1,2026-08-24T00:00:00.000
291,39,454,7,203.8000,1,1,2026-08-24T00:00:00.000
292,418,474,1,204.5000,1,1,2026-08-24T00:00:00.000
293,92,25,8,205.2000,1,1,2026-08-24T00:00:00.000
294,37,122,4,205.9000,1,1,2026-08-24T00:00:00.000
295,337,257,9,206.6000,1,1,2026-08-24T00:00:00.000
296,255,418,6,207.3000,1,1,2026-08-24T00:00:00.000
297,247,436,6,208.0000,1,1,2026-08-24T00:00:00.000
298,361,241,10,208.7000,1,1,2026-08-24T00:00:00.000
299,39,471,3,209.4000,1,1,2026-08-24T00:00:00.000
300,292,140,1,210.1000,1,1,2026-08-24T00:00:00.000
301,449,151,4,210.8000,1,1,2026-08-24T00:00:00.000
302,76,46,8,211.5000,1,1,2026-08-24T00:00:00.000
303,169,237,10,212.2000,1,1,2026-08-24T00:00:00.000
304,494,312,4,212.9000,1,1,2026-08-24T00:00:00.000
305,186,211,7,213.6000,1,1,2026-08-24T00:00:00.000
306,460,234,4,214.3000,1,1,2026-08-24T00:00:00.000
307,51,313,9,215.0000,1,1,2026-08-24T00:00:00.000
308,76,182,2,215.7000,1,1,2026-08-24T00:00:00.000
309,295,154,3,216.4000,1,1,2026-08-24T00:00:00.000
310,382,306,10,217.1000,1,1,2026-08-24T00:00:00.000
311,350,434,10,217.8000,1,1,2026-08-24T00:00:00.000
312,391,300,8,218.5000,1,1,2026-08-24T00:00:00.000
313,219,33,10,219.2000,1,1,2026-08-24T00:00:00.000
314,414,357,1,219.9000,1,1,2026-08-24T00:00:00.000
315,54,278,5,220.6000,1,1,2026-08-24T00:00:00.000
316,159,201,9,221.3000,1,1,2026-08-24T00:00:00.000
317,294,239,6,222.0000,1,1,2026-08-24T00:00:00.000
318,183,310,7,222.7000,1,1,2026-08-24T00:00:00.000
319,348,264,8,223.4000,1,1,2026-08-24T00:00:00.000
320,223,64,9,224.1000,1,1,2026-08-24T00:00:00.000
321,101,230,9,224.8000,1,1,2026-08-24T00:00:00.000
322,235,355,1,225.5000,1,1,2026-08-24T00:00:00.000
323,217,151,5,226.2000,1,1,2026-08-24T00:00:00.000
324,261,236,4,226.9000,1,1,2026-08-24T00:00:00.000
325,285,173,8,227.6000,1,1,2026-08-24T00:00:00.000
326,143,25,8,228.3000,1,1,2026-08-24T00:00:00.000
327,433,257,7,229.0000,1,1,2026-08-24T00:00:00.000
328,109,11,6,229.7000,1,1,2026-08-24T00:00:00.000
329,187,284,7,230.4000,1,1,2026-08-24T00:00:00.000
330,328,202,6,231.1000,1,1,2026-08-24T00:00:00.000
331,70,234,5,231.8000,1,1,2026-08-24T00:00:00.000
332,424,355,10,232.5000,1,1,2026-08-24T00:00:00.000
333,451,2,1,233.2000,1,1,2026-08-24T00:00:00.000
334,432,28,9,233.9000,1,1,2026-08-24T00:00:00.000
335,444,91,9,234.6000,1,1,2026-08-24T00:00:00.000
336,326,301,1,235.3000,1,1,2026-08-24T00:00:00.000
337,479,132,6,236.0000,1,1,2026-08-24T00:00:00.000
338,130,437,10,236.7000,1,1,2026-08-24T00:00:00.000
339,113,77,3,237.4000,1,1,2026-08-24T00:00:00.000
340,76,367,7,238.1000,1,1,2026-08-24T00:00:00.000
341,217,498,6,238.8000,1,1,2026-08-24T00:00:00.000
342,298,192,7,239.5000,1,1,2026-08-24T00:00:00.000
343,395,76,5,240.2000,1,1,2026-08-24T00:00:00.000
344,478,279,2,240.9000,1,1,2026-08-24T00:00:00.000
345,479,424,8,241.6000,1,1,2026-08-24T00:00:00.000
346,21,203,9,242.3000,1,1,2026-08-24T00:00:00.000
347,17,98,7,243.0000,1,1,2026-08-24T00:00:00.000
348,283,173,5,243.7000,1,1,2026-08-24T00:00:00.000
349,159,398,8,244.4000,1,1,2026-08-24T00:00:00.000
350,408,132,1,245.1000,1,1,2026-08-24T00:00:00.000
351,146,481,9,245.8000,1,1,2026-08-24T00:00:00.000
352,161,285,1,246.5000,1,1,2026-08-24T00:00:00.000
353,356,227,9,247.2000,1,1,2026-08-24T00:00:00.000
354,172,247,9,247.9000,1,1,2026-08-24T00:00:00.000
355,459,479,7,248.6000,1,1,2026-08-24T00:00:00.000
356,421,112,4,249.3000,1,1,2026-08-24T00:00:00.000
357,199,480,2,250.0000,1,1,2026-08-24T00:00:00.000
358,302,372,8,250.7000,1,1,2026-08-24T00:00:00.000
359,463,316,10,251.4000,1,1,2026-08-24T00:00:00.000
360,271,119,7,252.1000,1,1,2026-08-24T00:00:00.000
361,477,344,7,252.8000,1,1,2026-08-24T00:00:00.000
362,270,179,1,253.5000,1,1,2026-08-24T00:00:00.000
363,431,212,7,254.2000,1,1,2026-08-24T00:00:00.000
364,278,402,8,254.9000,1,1,2026-08-24T00:00:00.000
365,136,328,8,255.6000,1,1,2026-08-24T00:00:00.000
366,17,384,5,256.3000,1,1,2026-08-24T00:00:00.000
367,132,438,10,257.0000,1,1,2026-08-24T00:00:00.000
368,63,355,10,257.7000,1,1,2026-08-24T00:00:00.000
369,112,295,2,258.4000,1,1,2026-08-24T00:00:00.000
370,483,291,10,259.1000,1,1,2026-08-24T00:00:00.000
371,59,238,5,259.8000,1,1,2026-08-24T00:00:00.000
372,244,499,6,260.5000,1,1,2026-08-24T00:00:00.000
373,152,189,3,261.2000,1,1,2026-08-24T00:00:00.000
374,104,269,7,261.9000,1,1,2026-08-24T00:00:00.000
375,91,230,8,262.6000,1,1,2026-08-24T00:00:00.000
376,212,438,10,263.3000,1,1,2026-08-24T00:00:00.000
377,413,233,6,264.0000,1,1,2026-08-24T00:00:00.000
378,271,482,9,264.7000,1,1,2026-08-24T00:00:00.000
379,478,331,5,265.4000,1,1,2026-08-24T00:00:00.000
380,326,121,4,266.1000,1,1,2026-08-24T00:00:00.000
381,28,469,2,266.8000,1,1,2026-08-24T00:00:00.000
382,276,291,8,267.5000,1,1,2026-08-24T00:00:00.000
383,136,27,4,268.2000,1,1,2026-08-24T00:00:00.000
384,276,447,6,268.9000,1,1,2026-08-24T00:00:00.000
385,76,387,2,269.6000,1,1,2026-08-24T00:00:00.000
386,74,422,4,270.3000,1,1,2026-08-24T00:00:00.000
387,448,312,6,271.0000,1,1,2026-08-24T00:00:00.000
388,448,149,4,271.7000,1,1,2026-08-24T00:00:00.000
389,57,26,4,272.4000,1,1,2026-08-24T00:00:00.000
390,4,404,7,273.1000,1,1,2026-08-24T00:00:00.000
391,262,217,9,273.8000,1,1,2026-08-24T00:00:00.000
392,100,251,1,274.5000,1,1,2026-08-24T00:00:00.000
393,237,19,10,275.2000,1,1,2026-08-24T00:00:00.000
394,226,141,4,275.9000,1,1,2026-08-24T00:00:00.000
395,342,441,5,276.6000,1,1,2026-08-24T00:00:00.000
396,160,347,2,277.3000,1,1,2026-08-24T00:00:00.000
397,235,297,1,278.0000,1,1,2026-08-24T00:00:00.000
398,20,289,5,278.7000,1,1,2026-08-24T00:00:00.000
399,170,71,4,279.4000,1,1,2026-08-24T00:00:00.000
400,334,188,7,280.1000,1,1,2026-08-24T00:00:00.000
401,162,182,9,280.8000,1,1,2026-08-24T00:00:00.000
402,159,162,2,281.5000,1,1,2026-08-24T00:00:00.000
403,121,413,7,282.2000,1,1,2026-08-24T00:00:00.000
404,79,81,7,282.9000,1,1,2026-08-24T00:00:00.000
405,12,474,9,283.6000,1,1,2026-08-24T00:00:00.000
406,259,145,9,284.3000,1,1,2026-08-24T00:00:00.000
407,76,383,8,285.0000,1,1,2026-08-24T00:00:00.000
408,101,172,9,285.7000,1,1,2026-08-24T00:00:00.000
409,404,490,9,286.4000,1,1,2026-08-24T00:00:00.000
410,222,499,7,287.1000,1,1,2026-08-24T00:00:00.000
411,492,230,4,287.8000,1,1,2026-08-24T00:00:00.000
412,196,342,10,288.5000,1,1,2026-08-24T00:00:00.000
413,339,212,10,289.2000,1,1,2026-08-24T00:00:00.000
414,20,141,4,289.9000,1,1,2026-08-24T00:00:00.000
415,246,395,2,290.6000,1,1,2026-08-24T00:00:00.000
416,485,157,9,291.3000,1,1,2026-08-24T00:00:00.000
417,141,222,3,292.0000,1,1,2026-08-24T00:00:00.000
418,90,30,8,292.7000,1,1,2026-08-24T00:00:00.000
419,110,357,10,293.4000,1,1,2026-08-24T00:00:00.000
420,145,403,3,294.1000,1,1,2026-08-24T00:00:00.000
421,420,4,6,294.8000,1,1,2026-08-24T00:00:00.000
422,356,58,7,295.5000,1,1,2026-08-24T00:00:00.000
423,1,33,1,296.2000,1,1,2026-08-24T00:00:00.000
424,283,13,7,296.9000,1,1,2026-08-24T00:00:00.000
425,107,430,5,297.6000,1,1,2026-08-24T00:00:00.000
426,163,181,1,298.3000,1,1,2026-08-24T00:00:00.000
427,126,444,7,299.0000,1,1,2026-08-24T00:00:00.000
428,26,196,10,299.7000,1,1,2026-08-24T00:00:00.000
429,397,186,4,300.4000,1,1,2026-08-24T00:00:00.000
430,218,239,1,301.1000,1,1,2026-08-24T00:00:00.000
