EngineeringDocumentPartLinkKey,EngineeringCadDocumentKey,EngineeringPartRevisionKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
82,144,386,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,450,84,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,286,244,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,348,115,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,62,42,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,415,303,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,484,200,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,89,288,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,34,241,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,469,164,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,411,150,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,10,441,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,458,154,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
95,241,328,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,191,341,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,463,386,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
98,166,194,98,144.260000,0.0098,1,1,2026-08-24T00:00:00.000
99,60,451,99,145.630000,0.0099,1,1,2026-08-24T00:00:00.000
100,472,53,100,147.000000,0.0100,1,1,2026-08-24T00:00:00.000
101,372,298,101,148.370000,0.0101,1,1,2026-08-24T00:00:00.000
102,399,220,102,149.740000,0.0102,1,1,2026-08-24T00:00:00.000
103,10,152,103,151.110000,0.0103,1,1,2026-08-24T00:00:00.000
104,325,296,104,152.480000,0.0104,1,1,2026-08-24T00:00:00.000
105,83,56,105,153.850000,0.0105,1,1,2026-08-24T00:00:00.000
106,230,41,106,155.220000,0.0106,1,1,2026-08-24T00:00:00.000
107,294,55,107,156.590000,0.0107,1,1,2026-08-24T00:00:00.000
108,348,131,108,157.960000,0.0108,1,1,2026-08-24T00:00:00.000
109,221,350,109,159.330000,0.0109,1,1,2026-08-24T00:00:00.000
110,238,30,110,160.700000,0.0110,1,1,2026-08-24T00:00:00.000
111,181,483,111,162.070000,0.0111,1,1,2026-08-24T00:00:00.000
112,4,472,112,163.440000,0.0112,1,1,2026-08-24T00:00:00.000
113,3,422,113,164.810000,0.0113,1,1,2026-08-24T00:00:00.000
114,47,480,114,166.180000,0.0114,1,1,2026-08-24T00:00:00.000
115,418,207,115,167.550000,0.0115,1,1,2026-08-24T00:00:00.000
116,481,469,116,168.920000,0.0116,1,1,2026-08-24T00:00:00.000
117,218,456,117,170.290000,0.0117,1,1,2026-08-24T00:00:00.000
118,274,22,118,171.660000,0.0118,1,1,2026-08-24T00:00:00.000
119,308,484,119,173.030000,0.0119,1,1,2026-08-24T00:00:00.000
120,263,375,120,174.400000,0.0120,1,1,2026-08-24T00:00:00.000
121,309,193,121,175.770000,0.0121,1,1,2026-08-24T00:00:00.000
122,209,57,122,177.140000,0.0122,1,1,2026-08-24T00:00:00.000
123,119,53,123,178.510000,0.0123,1,1,2026-08-24T00:00:00.000
124,476,427,124,179.880000,0.0124,1,1,2026-08-24T00:00:00.000
125,339,459,125,181.250000,0.0125,1,1,2026-08-24T00:00:00.000
126,444,397,126,182.620000,0.0126,1,1,2026-08-24T00:00:00.000
127,188,169,127,183.990000,0.0127,1,1,2026-08-24T00:00:00.000
128,326,138,128,185.360000,0.0128,1,1,2026-08-24T00:00:00.000
129,413,309,129,186.730000,0.0129,1,1,2026-08-24T00:00:00.000
130,345,157,130,188.100000,0.0130,1,1,2026-08-24T00:00:00.000
131,65,153,131,189.470000,0.0131,1,1,2026-08-24T00:00:00.000
132,27,442,132,190.840000,0.0132,1,1,2026-08-24T00:00:00.000
133,167,443,133,192.210000,0.0133,1,1,2026-08-24T00:00:00.000
134,91,70,134,193.580000,0.0134,1,1,2026-08-24T00:00:00.000
135,42,198,135,194.950000,0.0135,1,1,2026-08-24T00:00:00.000
136,197,362,136,196.320000,0.0136,1,1,2026-08-24T00:00:00.000
137,397,271,137,197.690000,0.0137,1,1,2026-08-24T00:00:00.000
138,409,51,138,199.060000,0.0138,1,1,2026-08-24T00:00:00.000
139,162,206,139,200.430000,0.0139,1,1,2026-08-24T00:00:00.000
140,3,249,140,201.800000,0.0140,1,1,2026-08-24T00:00:00.000
141,484,404,141,203.170000,0.0141,1,1,2026-08-24T00:00:00.000
142,496,287,142,204.540000,0.0142,1,1,2026-08-24T00:00:00.000
143,461,48,143,205.910000,0.0143,1,1,2026-08-24T00:00:00.000
144,158,465,144,207.280000,0.0144,1,1,2026-08-24T00:00:00.000
145,202,104,145,208.650000,0.0145,1,1,2026-08-24T00:00:00.000
146,386,151,146,210.020000,0.0146,1,1,2026-08-24T00:00:00.000
147,135,412,147,211.390000,0.0147,1,1,2026-08-24T00:00:00.000
148,300,481,148,212.760000,0.0148,1,1,2026-08-24T00:00:00.000
149,130,394,149,214.130000,0.0149,1,1,2026-08-24T00:00:00.000
150,338,364,150,215.500000,0.0150,1,1,2026-08-24T00:00:00.000
151,161,215,151,216.870000,0.0151,1,1,2026-08-24T00:00:00.000
152,488,286,152,218.240000,0.0152,1,1,2026-08-24T00:00:00.000
153,284,30,153,219.610000,0.0153,1,1,2026-08-24T00:00:00.000
154,279,89,154,220.980000,0.0154,1,1,2026-08-24T00:00:00.000
155,93,131,155,222.350000,0.0155,1,1,2026-08-24T00:00:00.000
156,150,346,156,223.720000,0.0156,1,1,2026-08-24T00:00:00.000
157,334,427,157,225.090000,0.0157,1,1,2026-08-24T00:00:00.000
158,269,429,158,226.460000,0.0158,1,1,2026-08-24T00:00:00.000
159,277,236,159,227.830000,0.0159,1,1,2026-08-24T00:00:00.000
160,375,400,160,229.200000,0.0160,1,1,2026-08-24T00:00:00.000
161,480,226,161,230.570000,0.0161,1,1,2026-08-24T00:00:00.000
162,96,387,162,231.940000,0.0162,1,1,2026-08-24T00:00:00.000
163,259,39,163,233.310000,0.0163,1,1,2026-08-24T00:00:00.000
164,108,322,164,234.680000,0.0164,1,1,2026-08-24T00:00:00.000
165,95,493,165,236.050000,0.0165,1,1,2026-08-24T00:00:00.000
166,493,175,166,237.420000,0.0166,1,1,2026-08-24T00:00:00.000
167,236,315,167,238.790000,0.0167,1,1,2026-08-24T00:00:00.000
168,233,22,168,240.160000,0.0168,1,1,2026-08-24T00:00:00.000
169,479,31,169,241.530000,0.0169,1,1,2026-08-24T00:00:00.000
170,267,226,170,242.900000,0.0170,1,1,2026-08-24T00:00:00.000
171,497,490,171,244.270000,0.0171,1,1,2026-08-24T00:00:00.000
172,413,345,172,245.640000,0.0172,1,1,2026-08-24T00:00:00.000
173,125,295,173,247.010000,0.0173,1,1,2026-08-24T00:00:00.000
174,211,383,174,248.380000,0.0174,1,1,2026-08-24T00:00:00.000
175,499,280,175,249.750000,0.0175,1,1,2026-08-24T00:00:00.000
176,167,108,176,251.120000,0.0176,1,1,2026-08-24T00:00:00.000
177,249,223,177,252.490000,0.0177,1,1,2026-08-24T00:00:00.000
178,292,109,178,253.860000,0.0178,1,1,2026-08-24T00:00:00.000
179,57,17,179,255.230000,0.0179,1,1,2026-08-24T00:00:00.000
180,453,146,180,256.600000,0.0180,1,1,2026-08-24T00:00:00.000
181,120,318,181,257.970000,0.0181,1,1,2026-08-24T00:00:00.000
182,408,294,182,259.340000,0.0182,1,1,2026-08-24T00:00:00.000
183,162,338,183,260.710000,0.0183,1,1,2026-08-24T00:00:00.000
184,409,315,184,262.080000,0.0184,1,1,2026-08-24T00:00:00.000
185,241,427,185,263.450000,0.0185,1,1,2026-08-24T00:00:00.000
186,334,224,186,264.820000,0.0186,1,1,2026-08-24T00:00:00.000
187,306,182,187,266.190000,0.0187,1,1,2026-08-24T00:00:00.000
188,39,118,188,267.560000,0.0188,1,1,2026-08-24T00:00:00.000
189,124,119,189,268.930000,0.0189,1,1,2026-08-24T00:00:00.000
190,434,436,190,270.300000,0.0190,1,1,2026-08-24T00:00:00.000
191,196,316,191,271.670000,0.0191,1,1,2026-08-24T00:00:00.000
192,397,105,192,273.040000,0.0192,1,1,2026-08-24T00:00:00.000
193,88,389,193,274.410000,0.0193,1,1,2026-08-24T00:00:00.000
194,46,224,194,275.780000,0.0194,1,1,2026-08-24T00:00:00.000
195,401,175,195,277.150000,0.0195,1,1,2026-08-24T00:00:00.000
196,239,270,196,278.520000,0.0196,1,1,2026-08-24T00:00:00.000
197,88,43,197,279.890000,0.0197,1,1,2026-08-24T00:00:00.000
198,319,138,198,281.260000,0.0198,1,1,2026-08-24T00:00:00.000
199,193,478,199,282.630000,0.0199,1,1,2026-08-24T00:00:00.000
200,280,165,200,284.000000,0.0200,1,1,2026-08-24T00:00:00.000
201,255,464,201,285.370000,0.0201,1,1,2026-08-24T00:00:00.000
202,306,440,202,286.740000,0.0202,1,1,2026-08-24T00:00:00.000
203,241,304,203,288.110000,0.0203,1,1,2026-08-24T00:00:00.000
204,301,171,204,289.480000,0.0204,1,1,2026-08-24T00:00:00.000
205,271,316,205,290.850000,0.0205,1,1,2026-08-24T00:00:00.000
206,442,206,206,292.220000,0.0206,1,1,2026-08-24T00:00:00.000
207,230,156,207,293.590000,0.0207,1,1,2026-08-24T00:00:00.000
208,268,117,208,294.960000,0.0208,1,1,2026-08-24T00:00:00.000
209,53,411,209,296.330000,0.0209,1,1,2026-08-24T00:00:00.000
210,137,349,210,297.700000,0.0210,1,1,2026-08-24T00:00:00.000
211,304,232,211,299.070000,0.0211,1,1,2026-08-24T00:00:00.000
212,233,49,212,300.440000,0.0212,1,1,2026-08-24T00:00:00.000
213,243,171,213,301.810000,0.0213,1,1,2026-08-24T00:00:00.000
214,379,168,214,303.180000,0.0214,1,1,2026-08-24T00:00:00.000
215,321,2,215,304.550000,0.0215,1,1,2026-08-24T00:00:00.000
216,392,61,216,305.920000,0.0216,1,1,2026-08-24T00:00:00.000
217,51,340,217,307.290000,0.0217,1,1,2026-08-24T00:00:00.000
218,466,156,218,308.660000,0.0218,1,1,2026-08-24T00:00:00.000
219,146,243,219,310.030000,0.0219,1,1,2026-08-24T00:00:00.000
220,376,270,220,311.400000,0.0220,1,1,2026-08-24T00:00:00.000
221,190,444,221,312.770000,0.0221,1,1,2026-08-24T00:00:00.000
222,238,94,222,314.140000,0.0222,1,1,2026-08-24T00:00:00.000
223,27,369,223,315.510000,0.0223,1,1,2026-08-24T00:00:00.000
224,295,366,224,316.880000,0.0224,1,1,2026-08-24T00:00:00.000
225,64,379,225,318.250000,0.0225,1,1,2026-08-24T00:00:00.000
226,5,447,226,319.620000,0.0226,1,1,2026-08-24T00:00:00.000
227,79,161,227,320.990000,0.0227,1,1,2026-08-24T00:00:00.000
228,158,258,228,322.360000,0.0228,1,1,2026-08-24T00:00:00.000
229,473,427,229,323.730000,0.0229,1,1,2026-08-24T00:00:00.000
230,42,467,230,325.100000,0.0230,1,1,2026-08-24T00:00:00.000
231,481,93,231,326.470000,0.0231,1,1,2026-08-24T00:00:00.000
232,256,35,232,327.840000,0.0232,1,1,2026-08-24T00:00:00.000
233,237,280,233,329.210000,0.0233,1,1,2026-08-24T00:00:00.000
234,380,15,234,330.580000,0.0234,1,1,2026-08-24T00:00:00.000
235,412,329,235,331.950000,0.0235,1,1,2026-08-24T00:00:00.000
236,139,189,236,333.320000,0.0236,1,1,2026-08-24T00:00:00.000
237,82,27,237,334.690000,0.0237,1,1,2026-08-24T00:00:00.000
238,15,203,238,336.060000,0.0238,1,1,2026-08-24T00:00:00.000
239,171,337,239,337.430000,0.0239,1,1,2026-08-24T00:00:00.000
240,321,312,240,338.800000,0.0240,1,1,2026-08-24T00:00:00.000
241,439,62,241,340.170000,0.0241,1,1,2026-08-24T00:00:00.000
242,97,300,242,341.540000,0.0242,1,1,2026-08-24T00:00:00.000
243,364,427,243,342.910000,0.0243,1,1,2026-08-24T00:00:00.000
244,391,177,244,344.280000,0.0244,1,1,2026-08-24T00:00:00.000
245,217,289,245,345.650000,0.0245,1,1,2026-08-24T00:00:00.000
246,174,201,246,347.020000,0.0246,1,1,2026-08-24T00:00:00.000
247,380,41,247,348.390000,0.0247,1,1,2026-08-24T00:00:00.000
248,67,494,248,349.760000,0.0248,1,1,2026-08-24T00:00:00.000
249,186,346,249,351.130000,0.0249,1,1,2026-08-24T00:00:00.000
250,483,449,250,352.500000,0.0250,1,1,2026-08-24T00:00:00.000
251,367,183,251,353.870000,0.0251,1,1,2026-08-24T00:00:00.000
252,195,217,252,355.240000,0.0252,1,1,2026-08-24T00:00:00.000
253,76,255,253,356.610000,0.0253,1,1,2026-08-24T00:00:00.000
254,21,401,254,357.980000,0.0254,1,1,2026-08-24T00:00:00.000
255,459,7,255,359.350000,0.0255,1,1,2026-08-24T00:00:00.000
256,345,487,256,360.720000,0.0256,1,1,2026-08-24T00:00:00.000
257,140,293,257,362.090000,0.0257,1,1,2026-08-24T00:00:00.000
258,222,115,258,363.460000,0.0258,1,1,2026-08-24T00:00:00.000
259,292,135,259,364.830000,0.0259,1,1,2026-08-24T00:00:00.000
260,453,410,260,366.200000,0.0260,1,1,2026-08-24T00:00:00.000
261,328,394,261,367.570000,0.0261,1,1,2026-08-24T00:00:00.000
262,334,418,262,368.940000,0.0262,1,1,2026-08-24T00:00:00.000
263,194,397,263,370.310000,0.0263,1,1,2026-08-24T00:00:00.000
264,465,285,264,371.680000,0.0264,1,1,2026-08-24T00:00:00.000
265,245,119,265,373.050000,0.0265,1,1,2026-08-24T00:00:00.000
266,447,93,266,374.420000,0.0266,1,1,2026-08-24T00:00:00.000
267,359,211,267,375.790000,0.0267,1,1,2026-08-24T00:00:00.000
268,99,51,268,377.160000,0.0268,1,1,2026-08-24T00:00:00.000
269,367,168,269,378.530000,0.0269,1,1,2026-08-24T00:00:00.000
270,289,13,270,379.900000,0.0270,1,1,2026-08-24T00:00:00.000
271,91,415,271,381.270000,0.0271,1,1,2026-08-24T00:00:00.000
272,313,70,272,382.640000,0.0272,1,1,2026-08-24T00:00:00.000
273,311,272,273,384.010000,0.0273,1,1,2026-08-24T00:00:00.000
274,234,382,274,385.380000,0.0274,1,1,2026-08-24T00:00:00.000
275,474,115,275,386.750000,0.0275,1,1,2026-08-24T00:00:00.000
276,49,90,276,388.120000,0.0276,1,1,2026-08-24T00:00:00.000
277,487,239,277,389.490000,0.0277,1,1,2026-08-24T00:00:00.000
278,271,53,278,390.860000,0.0278,1,1,2026-08-24T00:00:00.000
279,213,492,279,392.230000,0.0279,1,1,2026-08-24T00:00:00.000
280,303,179,280,393.600000,0.0280,1,1,2026-08-24T00:00:00.000
281,285,223,281,394.970000,0.0281,1,1,2026-08-24T00:00:00.000
282,351,16,282,396.340000,0.0282,1,1,2026-08-24T00:00:00.000
283,436,363,283,397.710000,0.0283,1,1,2026-08-24T00:00:00.000
284,443,118,284,399.080000,0.0284,1,1,2026-08-24T00:00:00.000
285,476,488,285,400.450000,0.0285,1,1,2026-08-24T00:00:00.000
286,161,142,286,401.820000,0.0286,1,1,2026-08-24T00:00:00.000
287,385,419,287,403.190000,0.0287,1,1,2026-08-24T00:00:00.000
288,296,111,288,404.560000,0.0288,1,1,2026-08-24T00:00:00.000
289,201,349,289,405.930000,0.0289,1,1,2026-08-24T00:00:00.000
290,266,80,290,407.300000,0.0290,1,1,2026-08-24T00:00:00.000
291,288,40,291,408.670000,0.0291,1,1,2026-08-24T00:00:00.000
292,220,370,292,410.040000,0.0292,1,1,2026-08-24T00:00:00.000
293,99,180,293,411.410000,0.0293,1,1,2026-08-24T00:00:00.000
294,108,223,294,412.780000,0.0294,1,1,2026-08-24T00:00:00.000
295,399,336,295,414.150000,0.0295,1,1,2026-08-24T00:00:00.000
296,410,22,296,415.520000,0.0296,1,1,2026-08-24T00:00:00.000
297,240,491,297,416.890000,0.0297,1,1,2026-08-24T00:00:00.000
298,295,120,298,418.260000,0.0298,1,1,2026-08-24T00:00:00.000
299,387,219,299,419.630000,0.0299,1,1,2026-08-24T00:00:00.000
300,395,30,300,421.000000,0.0300,1,1,2026-08-24T00:00:00.000
301,102,187,301,422.370000,0.0301,1,1,2026-08-24T00:00:00.000
302,11,348,302,423.740000,0.0302,1,1,2026-08-24T00:00:00.000
303,123,431,303,425.110000,0.0303,1,1,2026-08-24T00:00:00.000
304,233,215,304,426.480000,0.0304,1,1,2026-08-24T00:00:00.000
305,189,365,305,427.850000,0.0305,1,1,2026-08-24T00:00:00.000
306,306,319,306,429.220000,0.0306,1,1,2026-08-24T00:00:00.000
307,338,415,307,430.590000,0.0307,1,1,2026-08-24T00:00:00.000
308,161,487,308,431.960000,0.0308,1,1,2026-08-24T00:00:00.000
309,299,167,309,433.330000,0.0309,1,1,2026-08-24T00:00:00.000
310,198,409,310,434.700000,0.0310,1,1,2026-08-24T00:00:00.000
311,319,328,311,436.070000,0.0311,1,1,2026-08-24T00:00:00.000
312,415,382,312,437.440000,0.0312,1,1,2026-08-24T00:00:00.000
313,485,140,313,438.810000,0.0313,1,1,2026-08-24T00:00:00.000
314,235,316,314,440.180000,0.0314,1,1,2026-08-24T00:00:00.000
315,230,467,315,441.550000,0.0315,1,1,2026-08-24T00:00:00.000
316,337,209,316,442.920000,0.0316,1,1,2026-08-24T00:00:00.000
317,303,463,317,444.290000,0.0317,1,1,2026-08-24T00:00:00.000
318,231,154,318,445.660000,0.0318,1,1,2026-08-24T00:00:00.000
319,470,97,319,447.030000,0.0319,1,1,2026-08-24T00:00:00.000
320,71,402,320,448.400000,0.0320,1,1,2026-08-24T00:00:00.000
321,274,372,321,449.770000,0.0321,1,1,2026-08-24T00:00:00.000
322,195,466,322,451.140000,0.0322,1,1,2026-08-24T00:00:00.000
323,364,201,323,452.510000,0.0323,1,1,2026-08-24T00:00:00.000
324,294,183,324,453.880000,0.0324,1,1,2026-08-24T00:00:00.000
325,388,418,325,455.250000,0.0325,1,1,2026-08-24T00:00:00.000
326,485,278,326,456.620000,0.0326,1,1,2026-08-24T00:00:00.000
327,69,319,327,457.990000,0.0327,1,1,2026-08-24T00:00:00.000
328,419,499,328,459.360000,0.0328,1,1,2026-08-24T00:00:00.000
329,193,136,329,460.730000,0.0329,1,1,2026-08-24T00:00:00.000
330,126,411,330,462.100000,0.0330,1,1,2026-08-24T00:00:00.000
331,31,189,331,463.470000,0.0331,1,1,2026-08-24T00:00:00.000
332,247,290,332,464.840000,0.0332,1,1,2026-08-24T00:00:00.000
333,321,470,333,466.210000,0.0333,1,1,2026-08-24T00:00:00.000
334,140,341,334,467.580000,0.0334,1,1,2026-08-24T00:00:00.000
335,338,158,335,468.950000,0.0335,1,1,2026-08-24T00:00:00.000
336,25,473,336,470.320000,0.0336,1,1,2026-08-24T00:00:00.000
337,488,476,337,471.690000,0.0337,1,1,2026-08-24T00:00:00.000
338,354,91,338,473.060000,0.0338,1,1,2026-08-24T00:00:00.000
339,237,248,339,474.430000,0.0339,1,1,2026-08-24T00:00:00.000
340,14,342,340,475.800000,0.0340,1,1,2026-08-24T00:00:00.000
341,250,468,341,477.170000,0.0341,1,1,2026-08-24T00:00:00.000
342,185,495,342,478.540000,0.0342,1,1,2026-08-24T00:00:00.000
343,33,54,343,479.910000,0.0343,1,1,2026-08-24T00:00:00.000
344,56,80,344,481.280000,0.0344,1,1,2026-08-24T00:00:00.000
345,192,350,345,482.650000,0.0345,1,1,2026-08-24T00:00:00.000
346,440,47,346,484.020000,0.0346,1,1,2026-08-24T00:00:00.000
347,171,369,347,485.390000,0.0347,1,1,2026-08-24T00:00:00.000
348,347,16,348,486.760000,0.0348,1,1,2026-08-24T00:00:00.000
349,423,12,349,488.130000,0.0349,1,1,2026-08-24T00:00:00.000
350,47,21,350,489.500000,0.0350,1,1,2026-08-24T00:00:00.000
351,311,258,351,490.870000,0.0351,1,1,2026-08-24T00:00:00.000
352,153,125,352,492.240000,0.0352,1,1,2026-08-24T00:00:00.000
353,430,230,353,493.610000,0.0353,1,1,2026-08-24T00:00:00.000
354,350,188,354,494.980000,0.0354,1,1,2026-08-24T00:00:00.000
355,182,182,355,496.350000,0.0355,1,1,2026-08-24T00:00:00.000
356,424,277,356,497.720000,0.0356,1,1,2026-08-24T00:00:00.000
357,58,170,357,499.090000,0.0357,1,1,2026-08-24T00:00:00.000
358,10,262,358,500.460000,0.0358,1,1,2026-08-24T00:00:00.000
359,249,315,359,501.830000,0.0359,1,1,2026-08-24T00:00:00.000
360,495,407,360,503.200000,0.0360,1,1,2026-08-24T00:00:00.000
361,149,199,361,504.570000,0.0361,1,1,2026-08-24T00:00:00.000
362,355,14,362,505.940000,0.0362,1,1,2026-08-24T00:00:00.000
363,276,296,363,507.310000,0.0363,1,1,2026-08-24T00:00:00.000
364,443,155,364,508.680000,0.0364,1,1,2026-08-24T00:00:00.000
365,368,490,365,510.050000,0.0365,1,1,2026-08-24T00:00:00.000
366,177,131,366,511.420000,0.0366,1,1,2026-08-24T00:00:00.000
367,123,378,367,512.790000,0.0367,1,1,2026-08-24T00:00:00.000
368,342,464,368,514.160000,0.0368,1,1,2026-08-24T00:00:00.000
369,230,159,369,515.530000,0.0369,1,1,2026-08-24T00:00:00.000
370,254,125,370,516.900000,0.0370,1,1,2026-08-24T00:00:00.000
371,337,419,371,518.270000,0.0371,1,1,2026-08-24T00:00:00.000
372,231,228,372,519.640000,0.0372,1,1,2026-08-24T00:00:00.000
