FinanceCostComponentAllocationKey,FinanceProductCostVersionKey,FinanceCostComponentDetailKey,FinanceCostElementDetailKey,AllocationRatio,ComponentCostAmount,SourceSystemKey,BatchId,LoadedAtUtc
29,194,355,410,30.000000,49.7300,1,1,2026-08-24T00:00:00.000
30,485,261,316,31.000000,51.1000,1,1,2026-08-24T00:00:00.000
31,411,130,225,32.000000,52.4700,1,1,2026-08-24T00:00:00.000
32,249,171,471,33.000000,53.8400,1,1,2026-08-24T00:00:00.000
33,432,186,368,34.000000,55.2100,1,1,2026-08-24T00:00:00.000
34,94,327,233,35.000000,56.5800,1,1,2026-08-24T00:00:00.000
35,76,42,138,36.000000,57.9500,1,1,2026-08-24T00:00:00.000
36,28,411,31,37.000000,59.3200,1,1,2026-08-24T00:00:00.000
37,101,443,194,38.000000,60.6900,1,1,2026-08-24T00:00:00.000
38,106,298,387,39.000000,62.0600,1,1,2026-08-24T00:00:00.000
39,235,424,164,40.000000,63.4300,1,1,2026-08-24T00:00:00.000
40,149,93,81,41.000000,64.8000,1,1,2026-08-24T00:00:00.000
41,30,98,265,42.000000,66.1700,1,1,2026-08-24T00:00:00.000
42,227,338,214,43.000000,67.5400,1,1,2026-08-24T00:00:00.000
43,441,498,251,44.000000,68.9100,1,1,2026-08-24T00:00:00.000
44,194,20,374,45.000000,70.2800,1,1,2026-08-24T00:00:00.000
45,262,217,43,46.000000,71.6500,1,1,2026-08-24T00:00:00.000
46,493,122,70,47.000000,73.0200,1,1,2026-08-24T00:00:00.000
47,480,95,259,48.000000,74.3900,1,1,2026-08-24T00:00:00.000
48,192,163,31,49.000000,75.7600,1,1,2026-08-24T00:00:00.000
49,420,186,261,50.000000,77.1300,1,1,2026-08-24T00:00:00.000
50,228,47,88,51.000000,78.5000,1,1,2026-08-24T00:00:00.000
51,47,18,95,52.000000,79.8700,1,1,2026-08-24T00:00:00.000
52,477,240,198,53.000000,81.2400,1,1,2026-08-24T00:00:00.000
53,413,209,150,54.000000,82.6100,1,1,2026-08-24T00:00:00.000
54,194,233,322,55.000000,83.9800,1,1,2026-08-24T00:00:00.000
55,431,225,342,56.000000,85.3500,1,1,2026-08-24T00:00:00.000
56,241,380,76,57.000000,86.7200,1,1,2026-08-24T00:00:00.000
57,29,353,43,58.000000,88.0900,1,1,2026-08-24T00:00:00.000
58,363,163,28,59.000000,89.4600,1,1,2026-08-24T00:00:00.000
59,378,367,255,60.000000,90.8300,1,1,2026-08-24T00:00:00.000
60,219,411,206,61.000000,92.2000,1,1,2026-08-24T00:00:00.000
61,191,231,128,62.000000,93.5700,1,1,2026-08-24T00:00:00.000
62,458,295,280,63.000000,94.9400,1,1,2026-08-24T00:00:00.000
63,455,337,81,64.000000,96.3100,1,1,2026-08-24T00:00:00.000
64,406,5,414,65.000000,97.6800,1,1,2026-08-24T00:00:00.000
65,229,294,144,66.000000,99.0500,1,1,2026-08-24T00:00:00.000
66,53,100,134,67.000000,100.4200,1,1,2026-08-24T00:00:00.000
67,444,114,500,68.000000,101.7900,1,1,2026-08-24T00:00:00.000
68,308,243,236,69.000000,103.1600,1,1,2026-08-24T00:00:00.000
69,131,274,254,70.000000,104.5300,1,1,2026-08-24T00:00:00.000
70,229,356,16,71.000000,105.9000,1,1,2026-08-24T00:00:00.000
71,82,56,480,72.000000,107.2700,1,1,2026-08-24T00:00:00.000
72,210,114,268,73.000000,108.6400,1,1,2026-08-24T00:00:00.000
73,384,31,272,74.000000,110.0100,1,1,2026-08-24T00:00:00.000
74,500,369,480,75.000000,111.3800,1,1,2026-08-24T00:00:00.000
75,398,212,458,76.000000,112.7500,1,1,2026-08-24T00:00:00.000
76,107,65,471,77.000000,114.1200,1,1,2026-08-24T00:00:00.000
77,100,478,197,78.000000,115.4900,1,1,2026-08-24T00:00:00.000
78,210,149,474,79.000000,116.8600,1,1,2026-08-24T00:00:00.000
79,163,153,363,80.000000,118.2300,1,1,2026-08-24T00:00:00.000
80,420,3,92,81.000000,119.6000,1,1,2026-08-24T00:00:00.000
81,203,434,167,82.000000,120.9700,1,1,2026-08-24T00:00:00.000
82,208,147,38,83.000000,122.3400,1,1,2026-08-24T00:00:00.000
83,295,256,57,84.000000,123.7100,1,1,2026-08-24T00:00:00.000
84,109,294,20,85.000000,125.0800,1,1,2026-08-24T00:00:00.000
85,419,375,481,86.000000,126.4500,1,1,2026-08-24T00:00:00.000
86,250,176,164,87.000000,127.8200,1,1,2026-08-24T00:00:00.000
87,100,467,195,88.000000,129.1900,1,1,2026-08-24T00:00:00.000
88,54,188,418,89.000000,130.5600,1,1,2026-08-24T00:00:00.000
89,99,453,233,90.000000,131.9300,1,1,2026-08-24T00:00:00.000
90,23,484,298,91.000000,133.3000,1,1,2026-08-24T00:00:00.000
91,285,456,451,92.000000,134.6700,1,1,2026-08-24T00:00:00.000
92,372,466,290,93.000000,136.0400,1,1,2026-08-24T00:00:00.000
93,49,265,72,94.000000,137.4100,1,1,2026-08-24T00:00:00.000
94,117,460,337,95.000000,138.7800,1,1,2026-08-24T00:00:00.000
95,133,399,420,96.000000,140.1500,1,1,2026-08-24T00:00:00.000
96,489,467,446,97.000000,141.5200,1,1,2026-08-24T00:00:00.000
97,325,52,187,98.000000,142.8900,1,1,2026-08-24T00:00:00.000
98,123,211,168,99.000000,144.2600,1,1,2026-08-24T00:00:00.000
99,20,255,483,100.000000,145.6300,1,1,2026-08-24T00:00:00.000
100,16,252,165,101.000000,147.0000,1,1,2026-08-24T00:00:00.000
101,59,80,80,102.000000,148.3700,1,1,2026-08-24T00:00:00.000
102,328,120,24,103.000000,149.7400,1,1,2026-08-24T00:00:00.000
103,270,362,263,104.000000,151.1100,1,1,2026-08-24T00:00:00.000
104,291,374,234,105.000000,152.4800,1,1,2026-08-24T00:00:00.000
105,345,141,176,106.000000,153.8500,1,1,2026-08-24T00:00:00.000
106,429,453,175,107.000000,155.2200,1,1,2026-08-24T00:00:00.000
107,236,498,488,108.000000,156.5900,1,1,2026-08-24T00:00:00.000
108,96,248,354,109.000000,157.9600,1,1,2026-08-24T00:00:00.000
109,405,468,457,110.000000,159.3300,1,1,2026-08-24T00:00:00.000
110,119,493,319,111.000000,160.7000,1,1,2026-08-24T00:00:00.000
111,379,170,209,112.000000,162.0700,1,1,2026-08-24T00:00:00.000
112,155,323,255,113.000000,163.4400,1,1,2026-08-24T00:00:00.000
113,215,304,281,114.000000,164.8100,1,1,2026-08-24T00:00:00.000
114,53,203,248,115.000000,166.1800,1,1,2026-08-24T00:00:00.000
115,263,49,179,116.000000,167.5500,1,1,2026-08-24T00:00:00.000
116,438,215,229,117.000000,168.9200,1,1,2026-08-24T00:00:00.000
117,34,185,497,118.000000,170.2900,1,1,2026-08-24T00:00:00.000
118,481,396,228,119.000000,171.6600,1,1,2026-08-24T00:00:00.000
119,276,174,487,120.000000,173.0300,1,1,2026-08-24T00:00:00.000
120,363,367,440,121.000000,174.4000,1,1,2026-08-24T00:00:00.000
121,394,352,297,122.000000,175.7700,1,1,2026-08-24T00:00:00.000
122,480,309,496,123.000000,177.1400,1,1,2026-08-24T00:00:00.000
123,15,117,348,124.000000,178.5100,1,1,2026-08-24T00:00:00.000
124,499,173,99,125.000000,179.8800,1,1,2026-08-24T00:00:00.000
125,496,71,89,126.000000,181.2500,1,1,2026-08-24T00:00:00.000
126,394,396,483,127.000000,182.6200,1,1,2026-08-24T00:00:00.000
127,148,73,434,128.000000,183.9900,1,1,2026-08-24T00:00:00.000
128,85,29,301,129.000000,185.3600,1,1,2026-08-24T00:00:00.000
129,201,372,322,130.000000,186.7300,1,1,2026-08-24T00:00:00.000
130,77,224,154,131.000000,188.1000,1,1,2026-08-24T00:00:00.000
131,465,183,377,132.000000,189.4700,1,1,2026-08-24T00:00:00.000
132,484,38,289,133.000000,190.8400,1,1,2026-08-24T00:00:00.000
133,408,199,364,134.000000,192.2100,1,1,2026-08-24T00:00:00.000
134,477,259,276,135.000000,193.5800,1,1,2026-08-24T00:00:00.000
135,388,371,234,136.000000,194.9500,1,1,2026-08-24T00:00:00.000
136,417,449,488,137.000000,196.3200,1,1,2026-08-24T00:00:00.000
137,116,263,96,138.000000,197.6900,1,1,2026-08-24T00:00:00.000
138,383,292,486,139.000000,199.0600,1,1,2026-08-24T00:00:00.000
139,17,124,422,140.000000,200.4300,1,1,2026-08-24T00:00:00.000
140,29,228,425,141.000000,201.8000,1,1,2026-08-24T00:00:00.000
141,94,374,472,142.000000,203.1700,1,1,2026-08-24T00:00:00.000
142,8,189,429,143.000000,204.5400,1,1,2026-08-24T00:00:00.000
143,1,182,258,144.000000,205.9100,1,1,2026-08-24T00:00:00.000
144,229,479,286,145.000000,207.2800,1,1,2026-08-24T00:00:00.000
145,45,388,264,146.000000,208.6500,1,1,2026-08-24T00:00:00.000
146,486,299,52,147.000000,210.0200,1,1,2026-08-24T00:00:00.000
147,470,351,205,148.000000,211.3900,1,1,2026-08-24T00:00:00.000
148,385,212,440,149.000000,212.7600,1,1,2026-08-24T00:00:00.000
149,1,357,138,150.000000,214.1300,1,1,2026-08-24T00:00:00.000
150,298,64,402,151.000000,215.5000,1,1,2026-08-24T00:00:00.000
151,210,267,447,152.000000,216.8700,1,1,2026-08-24T00:00:00.000
152,13,407,361,153.000000,218.2400,1,1,2026-08-24T00:00:00.000
153,192,391,394,154.000000,219.6100,1,1,2026-08-24T00:00:00.000
154,169,240,298,155.000000,220.9800,1,1,2026-08-24T00:00:00.000
155,321,447,155,156.000000,222.3500,1,1,2026-08-24T00:00:00.000
156,346,131,307,157.000000,223.7200,1,1,2026-08-24T00:00:00.000
157,365,493,45,158.000000,225.0900,1,1,2026-08-24T00:00:00.000
158,394,171,421,159.000000,226.4600,1,1,2026-08-24T00:00:00.000
159,180,322,304,160.000000,227.8300,1,1,2026-08-24T00:00:00.000
160,121,354,198,161.000000,229.2000,1,1,2026-08-24T00:00:00.000
161,308,340,47,162.000000,230.5700,1,1,2026-08-24T00:00:00.000
162,292,149,465,163.000000,231.9400,1,1,2026-08-24T00:00:00.000
163,385,230,92,164.000000,233.3100,1,1,2026-08-24T00:00:00.000
164,73,413,468,165.000000,234.6800,1,1,2026-08-24T00:00:00.000
165,113,440,155,166.000000,236.0500,1,1,2026-08-24T00:00:00.000
166,302,366,415,167.000000,237.4200,1,1,2026-08-24T00:00:00.000
167,140,12,215,168.000000,238.7900,1,1,2026-08-24T00:00:00.000
168,265,269,410,169.000000,240.1600,1,1,2026-08-24T00:00:00.000
169,289,190,145,170.000000,241.5300,1,1,2026-08-24T00:00:00.000
170,296,162,355,171.000000,242.9000,1,1,2026-08-24T00:00:00.000
171,362,34,397,172.000000,244.2700,1,1,2026-08-24T00:00:00.000
172,445,187,495,173.000000,245.6400,1,1,2026-08-24T00:00:00.000
173,196,381,292,174.000000,247.0100,1,1,2026-08-24T00:00:00.000
174,449,331,331,175.000000,248.3800,1,1,2026-08-24T00:00:00.000
175,389,205,239,176.000000,249.7500,1,1,2026-08-24T00:00:00.000
176,234,275,41,177.000000,251.1200,1,1,2026-08-24T00:00:00.000
177,276,416,293,178.000000,252.4900,1,1,2026-08-24T00:00:00.000
178,299,46,175,179.000000,253.8600,1,1,2026-08-24T00:00:00.000
179,212,154,454,180.000000,255.2300,1,1,2026-08-24T00:00:00.000
180,48,249,107,181.000000,256.6000,1,1,2026-08-24T00:00:00.000
181,438,489,444,182.000000,257.9700,1,1,2026-08-24T00:00:00.000
182,307,41,274,183.000000,259.3400,1,1,2026-08-24T00:00:00.000
183,189,399,177,184.000000,260.7100,1,1,2026-08-24T00:00:00.000
184,283,465,157,185.000000,262.0800,1,1,2026-08-24T00:00:00.000
185,232,36,233,186.000000,263.4500,1,1,2026-08-24T00:00:00.000
186,58,243,323,187.000000,264.8200,1,1,2026-08-24T00:00:00.000
187,162,2,370,188.000000,266.1900,1,1,2026-08-24T00:00:00.000
188,236,453,341,189.000000,267.5600,1,1,2026-08-24T00:00:00.000
189,480,82,440,190.000000,268.9300,1,1,2026-08-24T00:00:00.000
190,433,473,77,191.000000,270.3000,1,1,2026-08-24T00:00:00.000
191,227,174,482,192.000000,271.6700,1,1,2026-08-24T00:00:00.000
192,427,31,63,193.000000,273.0400,1,1,2026-08-24T00:00:00.000
193,217,473,302,194.000000,274.4100,1,1,2026-08-24T00:00:00.000
194,330,277,221,195.000000,275.7800,1,1,2026-08-24T00:00:00.000
195,252,270,309,196.000000,277.1500,1,1,2026-08-24T00:00:00.000
196,83,440,367,197.000000,278.5200,1,1,2026-08-24T00:00:00.000
197,200,410,234,198.000000,279.8900,1,1,2026-08-24T00:00:00.000
198,173,295,410,199.000000,281.2600,1,1,2026-08-24T00:00:00.000
199,440,296,55,200.000000,282.6300,1,1,2026-08-24T00:00:00.000
200,405,347,95,201.000000,284.0000,1,1,2026-08-24T00:00:00.000
201,454,379,310,202.000000,285.3700,1,1,2026-08-24T00:00:00.000
202,488,110,335,203.000000,286.7400,1,1,2026-08-24T00:00:00.000
203,54,95,90,204.000000,288.1100,1,1,2026-08-24T00:00:00.000
204,361,269,64,205.000000,289.4800,1,1,2026-08-24T00:00:00.000
205,418,473,137,206.000000,290.8500,1,1,2026-08-24T00:00:00.000
206,480,486,18,207.000000,292.2200,1,1,2026-08-24T00:00:00.000
207,483,31,165,208.000000,293.5900,1,1,2026-08-24T00:00:00.000
208,129,169,62,209.000000,294.9600,1,1,2026-08-24T00:00:00.000
209,274,300,114,210.000000,296.3300,1,1,2026-08-24T00:00:00.000
210,467,217,303,211.000000,297.7000,1,1,2026-08-24T00:00:00.000
211,183,483,234,212.000000,299.0700,1,1,2026-08-24T00:00:00.000
212,13,459,157,213.000000,300.4400,1,1,2026-08-24T00:00:00.000
213,107,473,82,214.000000,301.8100,1,1,2026-08-24T00:00:00.000
214,267,104,332,215.000000,303.1800,1,1,2026-08-24T00:00:00.000
215,25,279,88,216.000000,304.5500,1,1,2026-08-24T00:00:00.000
216,192,138,23,217.000000,305.9200,1,1,2026-08-24T00:00:00.000
217,496,218,498,218.000000,307.2900,1,1,2026-08-24T00:00:00.000
218,229,318,348,219.000000,308.6600,1,1,2026-08-24T00:00:00.000
219,323,440,203,220.000000,310.0300,1,1,2026-08-24T00:00:00.000
220,271,415,321,221.000000,311.4000,1,1,2026-08-24T00:00:00.000
221,235,46,394,222.000000,312.7700,1,1,2026-08-24T00:00:00.000
222,204,305,56,223.000000,314.1400,1,1,2026-08-24T00:00:00.000
223,242,219,23,224.000000,315.5100,1,1,2026-08-24T00:00:00.000
224,306,41,95,225.000000,316.8800,1,1,2026-08-24T00:00:00.000
225,409,448,58,226.000000,318.2500,1,1,2026-08-24T00:00:00.000
226,81,53,131,227.000000,319.6200,1,1,2026-08-24T00:00:00.000
227,23,67,356,228.000000,320.9900,1,1,2026-08-24T00:00:00.000
228,116,138,95,229.000000,322.3600,1,1,2026-08-24T00:00:00.000
229,443,99,229,230.000000,323.7300,1,1,2026-08-24T00:00:00.000
230,438,225,217,231.000000,325.1000,1,1,2026-08-24T00:00:00.000
231,429,108,279,232.000000,326.4700,1,1,2026-08-24T00:00:00.000
232,354,158,332,233.000000,327.8400,1,1,2026-08-24T00:00:00.000
233,240,210,450,234.000000,329.2100,1,1,2026-08-24T00:00:00.000
234,15,45,249,235.000000,330.5800,1,1,2026-08-24T00:00:00.000
235,326,285,236,236.000000,331.9500,1,1,2026-08-24T00:00:00.000
236,76,107,181,237.000000,333.3200,1,1,2026-08-24T00:00:00.000
237,168,265,391,238.000000,334.6900,1,1,2026-08-24T00:00:00.000
238,244,449,490,239.000000,336.0600,1,1,2026-08-24T00:00:00.000
239,438,127,353,240.000000,337.4300,1,1,2026-08-24T00:00:00.000
240,197,375,422,241.000000,338.8000,1,1,2026-08-24T00:00:00.000
241,382,473,132,242.000000,340.1700,1,1,2026-08-24T00:00:00.000
242,335,284,292,243.000000,341.5400,1,1,2026-08-24T00:00:00.000
243,440,276,127,244.000000,342.9100,1,1,2026-08-24T00:00:00.000
244,52,286,126,245.000000,344.2800,1,1,2026-08-24T00:00:00.000
245,90,290,155,246.000000,345.6500,1,1,2026-08-24T00:00:00.000
246,212,358,146,247.000000,347.0200,1,1,2026-08-24T00:00:00.000
247,419,381,194,248.000000,348.3900,1,1,2026-08-24T00:00:00.000
248,68,209,29,249.000000,349.7600,1,1,2026-08-24T00:00:00.000
249,442,77,152,250.000000,351.1300,1,1,2026-08-24T00:00:00.000
250,21,312,63,251.000000,352.5000,1,1,2026-08-24T00:00:00.000
251,452,316,115,252.000000,353.8700,1,1,2026-08-24T00:00:00.000
252,271,50,463,253.000000,355.2400,1,1,2026-08-24T00:00:00.000
253,202,97,265,254.000000,356.6100,1,1,2026-08-24T00:00:00.000
254,443,35,133,255.000000,357.9800,1,1,2026-08-24T00:00:00.000
255,408,369,458,256.000000,359.3500,1,1,2026-08-24T00:00:00.000
256,397,408,185,257.000000,360.7200,1,1,2026-08-24T00:00:00.000
257,41,328,22,258.000000,362.0900,1,1,2026-08-24T00:00:00.000
258,318,494,273,259.000000,363.4600,1,1,2026-08-24T00:00:00.000
259,289,459,210,260.000000,364.8300,1,1,2026-08-24T00:00:00.000
260,177,426,12,261.000000,366.2000,1,1,2026-08-24T00:00:00.000
261,471,67,60,262.000000,367.5700,1,1,2026-08-24T00:00:00.000
262,317,145,262,263.000000,368.9400,1,1,2026-08-24T00:00:00.000
263,160,194,214,264.000000,370.3100,1,1,2026-08-24T00:00:00.000
264,205,474,35,265.000000,371.6800,1,1,2026-08-24T00:00:00.000
265,65,91,138,266.000000,373.0500,1,1,2026-08-24T00:00:00.000
266,415,307,236,267.000000,374.4200,1,1,2026-08-24T00:00:00.000
267,373,17,378,268.000000,375.7900,1,1,2026-08-24T00:00:00.000
268,25,209,415,269.000000,377.1600,1,1,2026-08-24T00:00:00.000
269,470,22,22,270.000000,378.5300,1,1,2026-08-24T00:00:00.000
270,222,108,493,271.000000,379.9000,1,1,2026-08-24T00:00:00.000
271,340,356,114,272.000000,381.2700,1,1,2026-08-24T00:00:00.000
272,120,302,217,273.000000,382.6400,1,1,2026-08-24T00:00:00.000
273,74,449,311,274.000000,384.0100,1,1,2026-08-24T00:00:00.000
274,229,1,349,275.000000,385.3800,1,1,2026-08-24T00:00:00.000
275,257,171,170,276.000000,386.7500,1,1,2026-08-24T00:00:00.000
276,451,445,279,277.000000,388.1200,1,1,2026-08-24T00:00:00.000
277,33,269,268,278.000000,389.4900,1,1,2026-08-24T00:00:00.000
278,62,32,318,279.000000,390.8600,1,1,2026-08-24T00:00:00.000
279,414,412,306,280.000000,392.2300,1,1,2026-08-24T00:00:00.000
280,210,164,421,281.000000,393.6000,1,1,2026-08-24T00:00:00.000
281,69,254,214,282.000000,394.9700,1,1,2026-08-24T00:00:00.000
282,280,499,41,283.000000,396.3400,1,1,2026-08-24T00:00:00.000
283,109,345,385,284.000000,397.7100,1,1,2026-08-24T00:00:00.000
284,47,431,345,285.000000,399.0800,1,1,2026-08-24T00:00:00.000
285,395,80,199,286.000000,400.4500,1,1,2026-08-24T00:00:00.000
286,158,457,142,287.000000,401.8200,1,1,2026-08-24T00:00:00.000
287,260,272,234,288.000000,403.1900,1,1,2026-08-24T00:00:00.000
288,483,413,293,289.000000,404.5600,1,1,2026-08-24T00:00:00.000
289,411,381,138,290.000000,405.9300,1,1,2026-08-24T00:00:00.000
290,235,489,277,291.000000,407.3000,1,1,2026-08-24T00:00:00.000
291,120,313,203,292.000000,408.6700,1,1,2026-08-24T00:00:00.000
292,284,479,20,293.000000,410.0400,1,1,2026-08-24T00:00:00.000
293,390,443,403,294.000000,411.4100,1,1,2026-08-24T00:00:00.000
294,146,310,36,295.000000,412.7800,1,1,2026-08-24T00:00:00.000
295,228,313,310,296.000000,414.1500,1,1,2026-08-24T00:00:00.000
296,212,155,333,297.000000,415.5200,1,1,2026-08-24T00:00:00.000
297,480,268,406,298.000000,416.8900,1,1,2026-08-24T00:00:00.000
298,289,498,338,299.000000,418.2600,1,1,2026-08-24T00:00:00.000
299,93,365,1,300.000000,419.6300,1,1,2026-08-24T00:00:00.000
300,10,225,406,301.000000,421.0000,1,1,2026-08-24T00:00:00.000
301,2,408,337,302.000000,422.3700,1,1,2026-08-24T00:00:00.000
302,277,257,399,303.000000,423.7400,1,1,2026-08-24T00:00:00.000
303,109,101,152,304.000000,425.1100,1,1,2026-08-24T00:00:00.000
304,456,489,372,305.000000,426.4800,1,1,2026-08-24T00:00:00.000
305,66,127,469,306.000000,427.8500,1,1,2026-08-24T00:00:00.000
306,46,451,3,307.000000,429.2200,1,1,2026-08-24T00:00:00.000
307,340,332,298,308.000000,430.5900,1,1,2026-08-24T00:00:00.000
308,17,136,434,309.000000,431.9600,1,1,2026-08-24T00:00:00.000
309,29,419,5,310.000000,433.3300,1,1,2026-08-24T00:00:00.000
310,175,113,322,311.000000,434.7000,1,1,2026-08-24T00:00:00.000
311,264,59,210,312.000000,436.0700,1,1,2026-08-24T00:00:00.000
312,48,225,5,313.000000,437.4400,1,1,2026-08-24T00:00:00.000
313,321,212,131,314.000000,438.8100,1,1,2026-08-24T00:00:00.000
314,465,374,113,315.000000,440.1800,1,1,2026-08-24T00:00:00.000
315,434,21,246,316.000000,441.5500,1,1,2026-08-24T00:00:00.000
316,150,83,340,317.000000,442.9200,1,1,2026-08-24T00:00:00.000
317,178,157,305,318.000000,444.2900,1,1,2026-08-24T00:00:00.000
318,93,376,199,319.000000,445.6600,1,1,2026-08-24T00:00:00.000
319,426,467,255,320.000000,447.0300,1,1,2026-08-24T00:00:00.000
320,3,125,472,321.000000,448.4000,1,1,2026-08-24T00:00:00.000
321,312,159,289,322.000000,449.7700,1,1,2026-08-24T00:00:00.000
322,493,22,412,323.000000,451.1400,1,1,2026-08-24T00:00:00.000
323,383,406,10,324.000000,452.5100,1,1,2026-08-24T00:00:00.000
324,364,273,331,325.000000,453.8800,1,1,2026-08-24T00:00:00.000
325,9,261,146,326.000000,455.2500,1,1,2026-08-24T00:00:00.000
326,281,294,385,327.000000,456.6200,1,1,2026-08-24T00:00:00.000
327,360,42,50,328.000000,457.9900,1,1,2026-08-24T00:00:00.000
328,70,47,458,329.000000,459.3600,1,1,2026-08-24T00:00:00.000
329,455,35,174,330.000000,460.7300,1,1,2026-08-24T00:00:00.000
330,210,158,212,331.000000,462.1000,1,1,2026-08-24T00:00:00.000
331,2,484,418,332.000000,463.4700,1,1,2026-08-24T00:00:00.000
332,442,322,88,333.000000,464.8400,1,1,2026-08-24T00:00:00.000
333,101,268,148,334.000000,466.2100,1,1,2026-08-24T00:00:00.000
334,431,260,122,335.000000,467.5800,1,1,2026-08-24T00:00:00.000
335,302,497,290,336.000000,468.9500,1,1,2026-08-24T00:00:00.000
336,49,372,496,337.000000,470.3200,1,1,2026-08-24T00:00:00.000
337,74,417,154,338.000000,471.6900,1,1,2026-08-24T00:00:00.000
338,445,486,468,339.000000,473.0600,1,1,2026-08-24T00:00:00.000
339,453,346,20,340.000000,474.4300,1,1,2026-08-24T00:00:00.000
340,302,56,108,341.000000,475.8000,1,1,2026-08-24T00:00:00.000
341,268,429,216,342.000000,477.1700,1,1,2026-08-24T00:00:00.000
342,14,8,169,343.000000,478.5400,1,1,2026-08-24T00:00:00.000
343,117,87,395,344.000000,479.9100,1,1,2026-08-24T00:00:00.000
344,150,439,248,345.000000,481.2800,1,1,2026-08-24T00:00:00.000
345,63,307,449,346.000000,482.6500,1,1,2026-08-24T00:00:00.000
346,351,69,71,347.000000,484.0200,1,1,2026-08-24T00:00:00.000
347,452,32,148,348.000000,485.3900,1,1,2026-08-24T00:00:00.000
348,408,250,416,349.000000,486.7600,1,1,2026-08-24T00:00:00.000
349,120,488,328,350.000000,488.1300,1,1,2026-08-24T00:00:00.000
350,308,318,393,351.000000,489.5000,1,1,2026-08-24T00:00:00.000
351,493,490,198,352.000000,490.8700,1,1,2026-08-24T00:00:00.000
352,250,45,180,353.000000,492.2400,1,1,2026-08-24T00:00:00.000
353,28,463,476,354.000000,493.6100,1,1,2026-08-24T00:00:00.000
354,135,340,301,355.000000,494.9800,1,1,2026-08-24T00:00:00.000
355,324,342,465,356.000000,496.3500,1,1,2026-08-24T00:00:00.000
356,439,157,250,357.000000,497.7200,1,1,2026-08-24T00:00:00.000
357,171,478,2,358.000000,499.0900,1,1,2026-08-24T00:00:00.000
358,23,328,114,359.000000,500.4600,1,1,2026-08-24T00:00:00.000
359,271,391,362,360.000000,501.8300,1,1,2026-08-24T00:00:00.000
360,82,447,104,361.000000,503.2000,1,1,2026-08-24T00:00:00.000
361,348,449,212,362.000000,504.5700,1,1,2026-08-24T00:00:00.000
362,222,227,399,363.000000,505.9400,1,1,2026-08-24T00:00:00.000
363,326,227,41,364.000000,507.3100,1,1,2026-08-24T00:00:00.000
364,450,139,319,365.000000,508.6800,1,1,2026-08-24T00:00:00.000
365,370,166,287,366.000000,510.0500,1,1,2026-08-24T00:00:00.000
366,87,88,135,367.000000,511.4200,1,1,2026-08-24T00:00:00.000
367,315,450,207,368.000000,512.7900,1,1,2026-08-24T00:00:00.000
368,13,128,440,369.000000,514.1600,1,1,2026-08-24T00:00:00.000
369,385,93,367,370.000000,515.5300,1,1,2026-08-24T00:00:00.000
370,226,437,159,371.000000,516.9000,1,1,2026-08-24T00:00:00.000
371,71,109,204,372.000000,518.2700,1,1,2026-08-24T00:00:00.000
