InventoryContainerContentKey,InventoryContainerKey,InventoryLotKey,InventorySerialNumberKey,ContentQuantity,SourceSystemKey,BatchId,LoadedAtUtc
105,473,98,354,73.6000,1,1,2026-08-24T00:00:00.000
106,182,167,284,74.3000,1,1,2026-08-24T00:00:00.000
107,219,417,282,75.0000,1,1,2026-08-24T00:00:00.000
108,413,447,357,75.7000,1,1,2026-08-24T00:00:00.000
109,139,461,383,76.4000,1,1,2026-08-24T00:00:00.000
110,74,195,343,77.1000,1,1,2026-08-24T00:00:00.000
111,11,377,225,77.8000,1,1,2026-08-24T00:00:00.000
112,335,41,239,78.5000,1,1,2026-08-24T00:00:00.000
113,328,240,405,79.2000,1,1,2026-08-24T00:00:00.000
114,314,33,396,79.9000,1,1,2026-08-24T00:00:00.000
115,16,63,368,80.6000,1,1,2026-08-24T00:00:00.000
116,318,447,427,81.3000,1,1,2026-08-24T00:00:00.000
117,109,167,390,82.0000,1,1,2026-08-24T00:00:00.000
118,469,203,265,82.7000,1,1,2026-08-24T00:00:00.000
119,26,-1,-1,83.4000,1,1,2026-08-24T00:00:00.000
120,380,46,387,84.1000,1,1,2026-08-24T00:00:00.000
121,446,197,109,84.8000,1,1,2026-08-24T00:00:00.000
122,213,36,268,85.5000,1,1,2026-08-24T00:00:00.000
123,42,480,478,86.2000,1,1,2026-08-24T00:00:00.000
124,114,58,216,86.9000,1,1,2026-08-24T00:00:00.000
125,78,145,402,87.6000,1,1,2026-08-24T00:00:00.000
126,271,187,82,88.3000,1,1,2026-08-24T00:00:00.000
127,139,214,327,89.0000,1,1,2026-08-24T00:00:00.000
128,472,312,83,89.7000,1,1,2026-08-24T00:00:00.000
129,404,394,149,90.4000,1,1,2026-08-24T00:00:00.000
130,403,377,167,91.1000,1,1,2026-08-24T00:00:00.000
131,329,115,177,91.8000,1,1,2026-08-24T00:00:00.000
132,273,189,398,92.5000,1,1,2026-08-24T00:00:00.000
133,392,46,137,93.2000,1,1,2026-08-24T00:00:00.000
134,226,302,385,93.9000,1,1,2026-08-24T00:00:00.000
135,11,219,439,94.6000,1,1,2026-08-24T00:00:00.000
136,189,-1,-1,95.3000,1,1,2026-08-24T00:00:00.000
137,401,376,172,96.0000,1,1,2026-08-24T00:00:00.000
138,416,32,293,96.7000,1,1,2026-08-24T00:00:00.000
139,434,322,147,97.4000,1,1,2026-08-24T00:00:00.000
140,39,154,156,98.1000,1,1,2026-08-24T00:00:00.000
141,66,164,139,98.8000,1,1,2026-08-24T00:00:00.000
142,172,134,463,99.5000,1,1,2026-08-24T00:00:00.000
143,281,323,412,100.2000,1,1,2026-08-24T00:00:00.000
144,180,223,327,100.9000,1,1,2026-08-24T00:00:00.000
145,345,249,266,101.6000,1,1,2026-08-24T00:00:00.000
146,274,497,198,102.3000,1,1,2026-08-24T00:00:00.000
147,466,437,221,103.0000,1,1,2026-08-24T00:00:00.000
148,105,185,467,103.7000,1,1,2026-08-24T00:00:00.000
149,221,4,488,104.4000,1,1,2026-08-24T00:00:00.000
150,158,430,232,105.1000,1,1,2026-08-24T00:00:00.000
151,307,106,278,105.8000,1,1,2026-08-24T00:00:00.000
152,208,259,85,106.5000,1,1,2026-08-24T00:00:00.000
153,492,-1,-1,107.2000,1,1,2026-08-24T00:00:00.000
154,99,366,317,107.9000,1,1,2026-08-24T00:00:00.000
155,256,94,236,108.6000,1,1,2026-08-24T00:00:00.000
156,266,85,379,109.3000,1,1,2026-08-24T00:00:00.000
157,469,173,332,110.0000,1,1,2026-08-24T00:00:00.000
158,425,490,475,110.7000,1,1,2026-08-24T00:00:00.000
159,389,227,436,111.4000,1,1,2026-08-24T00:00:00.000
160,471,313,247,112.1000,1,1,2026-08-24T00:00:00.000
161,384,324,108,112.8000,1,1,2026-08-24T00:00:00.000
162,369,72,145,113.5000,1,1,2026-08-24T00:00:00.000
163,74,7,30,114.2000,1,1,2026-08-24T00:00:00.000
164,492,316,190,114.9000,1,1,2026-08-24T00:00:00.000
165,379,473,1,115.6000,1,1,2026-08-24T00:00:00.000
166,444,13,442,116.3000,1,1,2026-08-24T00:00:00.000
167,99,130,190,117.0000,1,1,2026-08-24T00:00:00.000
168,329,322,418,117.7000,1,1,2026-08-24T00:00:00.000
169,231,19,407,118.4000,1,1,2026-08-24T00:00:00.000
170,28,-1,-1,119.1000,1,1,2026-08-24T00:00:00.000
171,249,26,262,119.8000,1,1,2026-08-24T00:00:00.000
172,21,207,448,120.5000,1,1,2026-08-24T00:00:00.000
173,43,293,203,121.2000,1,1,2026-08-24T00:00:00.000
174,218,392,269,121.9000,1,1,2026-08-24T00:00:00.000
175,150,104,176,122.6000,1,1,2026-08-24T00:00:00.000
176,65,127,408,123.3000,1,1,2026-08-24T00:00:00.000
177,248,281,422,124.0000,1,1,2026-08-24T00:00:00.000
178,371,457,129,124.7000,1,1,2026-08-24T00:00:00.000
179,251,31,254,125.4000,1,1,2026-08-24T00:00:00.000
180,431,169,442,126.1000,1,1,2026-08-24T00:00:00.000
181,90,266,192,126.8000,1,1,2026-08-24T00:00:00.000
182,71,55,363,127.5000,1,1,2026-08-24T00:00:00.000
183,448,490,263,128.2000,1,1,2026-08-24T00:00:00.000
184,20,119,66,128.9000,1,1,2026-08-24T00:00:00.000
185,401,386,375,129.6000,1,1,2026-08-24T00:00:00.000
186,367,259,213,130.3000,1,1,2026-08-24T00:00:00.000
187,459,-1,-1,131.0000,1,1,2026-08-24T00:00:00.000
188,325,59,95,131.7000,1,1,2026-08-24T00:00:00.000
189,50,480,416,132.4000,1,1,2026-08-24T00:00:00.000
190,166,32,335,133.1000,1,1,2026-08-24T00:00:00.000
191,279,319,259,133.8000,1,1,2026-08-24T00:00:00.000
192,464,143,99,134.5000,1,1,2026-08-24T00:00:00.000
193,493,283,443,135.2000,1,1,2026-08-24T00:00:00.000
194,132,280,150,135.9000,1,1,2026-08-24T00:00:00.000
195,23,410,105,136.6000,1,1,2026-08-24T00:00:00.000
196,143,36,334,137.3000,1,1,2026-08-24T00:00:00.000
197,441,349,305,138.0000,1,1,2026-08-24T00:00:00.000
198,88,244,459,138.7000,1,1,2026-08-24T00:00:00.000
199,399,312,135,139.4000,1,1,2026-08-24T00:00:00.000
200,357,140,389,140.1000,1,1,2026-08-24T00:00:00.000
201,441,410,11,140.8000,1,1,2026-08-24T00:00:00.000
202,372,98,146,141.5000,1,1,2026-08-24T00:00:00.000
203,210,341,15,142.2000,1,1,2026-08-24T00:00:00.000
204,457,-1,-1,142.9000,1,1,2026-08-24T00:00:00.000
205,54,367,464,143.6000,1,1,2026-08-24T00:00:00.000
206,394,446,139,144.3000,1,1,2026-08-24T00:00:00.000
207,412,242,161,145.0000,1,1,2026-08-24T00:00:00.000
208,467,111,379,145.7000,1,1,2026-08-24T00:00:00.000
209,51,39,127,146.4000,1,1,2026-08-24T00:00:00.000
210,131,187,160,147.1000,1,1,2026-08-24T00:00:00.000
211,385,416,234,147.8000,1,1,2026-08-24T00:00:00.000
212,50,84,310,148.5000,1,1,2026-08-24T00:00:00.000
213,102,203,299,149.2000,1,1,2026-08-24T00:00:00.000
214,89,199,258,149.9000,1,1,2026-08-24T00:00:00.000
215,494,382,467,150.6000,1,1,2026-08-24T00:00:00.000
216,188,431,471,151.3000,1,1,2026-08-24T00:00:00.000
217,432,498,39,152.0000,1,1,2026-08-24T00:00:00.000
218,175,372,288,152.7000,1,1,2026-08-24T00:00:00.000
219,208,464,180,153.4000,1,1,2026-08-24T00:00:00.000
220,235,273,234,154.1000,1,1,2026-08-24T00:00:00.000
221,45,-1,-1,154.8000,1,1,2026-08-24T00:00:00.000
222,405,222,50,155.5000,1,1,2026-08-24T00:00:00.000
223,388,498,267,156.2000,1,1,2026-08-24T00:00:00.000
224,330,449,476,156.9000,1,1,2026-08-24T00:00:00.000
225,344,462,428,157.6000,1,1,2026-08-24T00:00:00.000
226,338,454,187,158.3000,1,1,2026-08-24T00:00:00.000
227,254,499,443,159.0000,1,1,2026-08-24T00:00:00.000
228,101,3,279,159.7000,1,1,2026-08-24T00:00:00.000
229,356,441,275,160.4000,1,1,2026-08-24T00:00:00.000
230,238,257,285,161.1000,1,1,2026-08-24T00:00:00.000
231,362,13,210,161.8000,1,1,2026-08-24T00:00:00.000
232,30,115,424,162.5000,1,1,2026-08-24T00:00:00.000
233,213,324,472,163.2000,1,1,2026-08-24T00:00:00.000
234,360,209,170,163.9000,1,1,2026-08-24T00:00:00.000
235,258,329,77,164.6000,1,1,2026-08-24T00:00:00.000
236,402,301,61,165.3000,1,1,2026-08-24T00:00:00.000
237,411,358,315,166.0000,1,1,2026-08-24T00:00:00.000
238,390,-1,-1,166.7000,1,1,2026-08-24T00:00:00.000
239,366,146,114,167.4000,1,1,2026-08-24T00:00:00.000
240,92,62,459,168.1000,1,1,2026-08-24T00:00:00.000
241,480,42,142,168.8000,1,1,2026-08-24T00:00:00.000
242,272,298,416,169.5000,1,1,2026-08-24T00:00:00.000
243,387,25,447,170.2000,1,1,2026-08-24T00:00:00.000
244,80,248,324,170.9000,1,1,2026-08-24T00:00:00.000
245,317,348,204,171.6000,1,1,2026-08-24T00:00:00.000
246,349,171,479,172.3000,1,1,2026-08-24T00:00:00.000
247,448,445,175,173.0000,1,1,2026-08-24T00:00:00.000
248,294,430,316,173.7000,1,1,2026-08-24T00:00:00.000
249,340,20,350,174.4000,1,1,2026-08-24T00:00:00.000
250,266,409,386,175.1000,1,1,2026-08-24T00:00:00.000
251,339,484,297,175.8000,1,1,2026-08-24T00:00:00.000
252,388,147,452,176.5000,1,1,2026-08-24T00:00:00.000
253,438,79,153,177.2000,1,1,2026-08-24T00:00:00.000
254,136,21,287,177.9000,1,1,2026-08-24T00:00:00.000
255,390,-1,-1,178.6000,1,1,2026-08-24T00:00:00.000
256,291,467,178,179.3000,1,1,2026-08-24T00:00:00.000
257,36,455,380,180.0000,1,1,2026-08-24T00:00:00.000
258,195,53,396,180.7000,1,1,2026-08-24T00:00:00.000
259,406,160,487,181.4000,1,1,2026-08-24T00:00:00.000
260,40,231,212,182.1000,1,1,2026-08-24T00:00:00.000
261,366,213,26,182.8000,1,1,2026-08-24T00:00:00.000
262,322,221,239,183.5000,1,1,2026-08-24T00:00:00.000
263,91,128,77,184.2000,1,1,2026-08-24T00:00:00.000
264,4,151,376,184.9000,1,1,2026-08-24T00:00:00.000
265,164,440,252,185.6000,1,1,2026-08-24T00:00:00.000
266,447,144,95,186.3000,1,1,2026-08-24T00:00:00.000
267,144,213,455,187.0000,1,1,2026-08-24T00:00:00.000
268,340,221,494,187.7000,1,1,2026-08-24T00:00:00.000
269,486,456,286,188.4000,1,1,2026-08-24T00:00:00.000
270,167,128,58,189.1000,1,1,2026-08-24T00:00:00.000
271,432,496,257,189.8000,1,1,2026-08-24T00:00:00.000
272,458,-1,-1,190.5000,1,1,2026-08-24T00:00:00.000
273,483,119,387,191.2000,1,1,2026-08-24T00:00:00.000
274,81,461,12,191.9000,1,1,2026-08-24T00:00:00.000
275,292,498,118,192.6000,1,1,2026-08-24T00:00:00.000
276,324,1,83,193.3000,1,1,2026-08-24T00:00:00.000
277,489,351,323,194.0000,1,1,2026-08-24T00:00:00.000
278,431,61,481,194.7000,1,1,2026-08-24T00:00:00.000
279,39,357,229,195.4000,1,1,2026-08-24T00:00:00.000
280,375,491,208,196.1000,1,1,2026-08-24T00:00:00.000
281,337,369,182,196.8000,1,1,2026-08-24T00:00:00.000
282,241,459,15,197.5000,1,1,2026-08-24T00:00:00.000
283,225,18,2,198.2000,1,1,2026-08-24T00:00:00.000
284,80,338,411,198.9000,1,1,2026-08-24T00:00:00.000
285,18,148,301,199.6000,1,1,2026-08-24T00:00:00.000
286,336,440,134,200.3000,1,1,2026-08-24T00:00:00.000
287,245,481,15,201.0000,1,1,2026-08-24T00:00:00.000
288,311,272,165,201.7000,1,1,2026-08-24T00:00:00.000
289,458,-1,-1,202.4000,1,1,2026-08-24T00:00:00.000
290,301,330,77,203.1000,1,1,2026-08-24T00:00:00.000
291,93,55,188,203.8000,1,1,2026-08-24T00:00:00.000
292,475,80,404,204.5000,1,1,2026-08-24T00:00:00.000
293,280,105,11,205.2000,1,1,2026-08-24T00:00:00.000
294,198,293,84,205.9000,1,1,2026-08-24T00:00:00.000
295,120,245,330,206.6000,1,1,2026-08-24T00:00:00.000
296,466,381,489,207.3000,1,1,2026-08-24T00:00:00.000
297,447,45,192,208.0000,1,1,2026-08-24T00:00:00.000
298,448,81,148,208.7000,1,1,2026-08-24T00:00:00.000
299,389,436,393,209.4000,1,1,2026-08-24T00:00:00.000
300,373,337,36,210.1000,1,1,2026-08-24T00:00:00.000
301,152,143,392,210.8000,1,1,2026-08-24T00:00:00.000
302,49,409,195,211.5000,1,1,2026-08-24T00:00:00.000
303,208,353,430,212.2000,1,1,2026-08-24T00:00:00.000
304,425,179,37,212.9000,1,1,2026-08-24T00:00:00.000
305,438,337,284,213.6000,1,1,2026-08-24T00:00:00.000
306,64,-1,-1,214.3000,1,1,2026-08-24T00:00:00.000
307,256,163,381,215.0000,1,1,2026-08-24T00:00:00.000
308,488,426,6,215.7000,1,1,2026-08-24T00:00:00.000
309,176,350,44,216.4000,1,1,2026-08-24T00:00:00.000
310,150,460,418,217.1000,1,1,2026-08-24T00:00:00.000
311,179,344,69,217.8000,1,1,2026-08-24T00:00:00.000
312,294,280,271,218.5000,1,1,2026-08-24T00:00:00.000
313,258,44,322,219.2000,1,1,2026-08-24T00:00:00.000
314,455,216,40,219.9000,1,1,2026-08-24T00:00:00.000
315,279,40,325,220.6000,1,1,2026-08-24T00:00:00.000
316,449,388,315,221.3000,1,1,2026-08-24T00:00:00.000
317,150,429,144,222.0000,1,1,2026-08-24T00:00:00.000
318,35,182,458,222.7000,1,1,2026-08-24T00:00:00.000
319,200,369,327,223.4000,1,1,2026-08-24T00:00:00.000
320,86,246,113,224.1000,1,1,2026-08-24T00:00:00.000
321,126,69,446,224.8000,1,1,2026-08-24T00:00:00.000
322,95,411,176,225.5000,1,1,2026-08-24T00:00:00.000
323,419,-1,-1,226.2000,1,1,2026-08-24T00:00:00.000
324,397,308,21,226.9000,1,1,2026-08-24T00:00:00.000
325,163,380,248,227.6000,1,1,2026-08-24T00:00:00.000
326,91,126,279,228.3000,1,1,2026-08-24T00:00:00.000
327,158,424,423,229.0000,1,1,2026-08-24T00:00:00.000
328,114,81,30,229.7000,1,1,2026-08-24T00:00:00.000
329,304,458,295,230.4000,1,1,2026-08-24T00:00:00.000
330,304,84,118,231.1000,1,1,2026-08-24T00:00:00.000
331,359,375,350,231.8000,1,1,2026-08-24T00:00:00.000
332,407,257,199,232.5000,1,1,2026-08-24T00:00:00.000
333,321,246,444,233.2000,1,1,2026-08-24T00:00:00.000
334,170,18,261,233.9000,1,1,2026-08-24T00:00:00.000
335,345,63,191,234.6000,1,1,2026-08-24T00:00:00.000
336,447,493,400,235.3000,1,1,2026-08-24T00:00:00.000
337,425,24,280,236.0000,1,1,2026-08-24T00:00:00.000
338,255,73,272,236.7000,1,1,2026-08-24T00:00:00.000
339,181,279,61,237.4000,1,1,2026-08-24T00:00:00.000
340,181,-1,-1,238.1000,1,1,2026-08-24T00:00:00.000
341,350,12,213,238.8000,1,1,2026-08-24T00:00:00.000
342,54,172,17,239.5000,1,1,2026-08-24T00:00:00.000
343,29,387,323,240.2000,1,1,2026-08-24T00:00:00.000
344,293,470,351,240.9000,1,1,2026-08-24T00:00:00.000
345,220,79,336,241.6000,1,1,2026-08-24T00:00:00.000
346,375,145,23,242.3000,1,1,2026-08-24T00:00:00.000
347,466,483,176,243.0000,1,1,2026-08-24T00:00:00.000
348,164,441,248,243.7000,1,1,2026-08-24T00:00:00.000
349,71,456,202,244.4000,1,1,2026-08-24T00:00:00.000
350,51,339,22,245.1000,1,1,2026-08-24T00:00:00.000
351,308,72,43,245.8000,1,1,2026-08-24T00:00:00.000
352,321,279,328,246.5000,1,1,2026-08-24T00:00:00.000
353,52,108,453,247.2000,1,1,2026-08-24T00:00:00.000
354,419,301,113,247.9000,1,1,2026-08-24T00:00:00.000
355,242,495,34,248.6000,1,1,2026-08-24T00:00:00.000
356,448,316,396,249.3000,1,1,2026-08-24T00:00:00.000
357,194,-1,-1,250.0000,1,1,2026-08-24T00:00:00.000
358,43,109,450,250.7000,1,1,2026-08-24T00:00:00.000
359,478,405,241,251.4000,1,1,2026-08-24T00:00:00.000
360,39,66,498,252.1000,1,1,2026-08-24T00:00:00.000
361,335,185,361,252.8000,1,1,2026-08-24T00:00:00.000
362,325,54,444,253.5000,1,1,2026-08-24T00:00:00.000
363,185,182,57,254.2000,1,1,2026-08-24T00:00:00.000
364,256,339,148,254.9000,1,1,2026-08-24T00:00:00.000
365,311,204,144,255.6000,1,1,2026-08-24T00:00:00.000
366,77,396,100,256.3000,1,1,2026-08-24T00:00:00.000
367,214,348,245,257.0000,1,1,2026-08-24T00:00:00.000
368,326,494,215,257.7000,1,1,2026-08-24T00:00:00.000
369,160,144,262,258.4000,1,1,2026-08-24T00:00:00.000
370,374,363,154,259.1000,1,1,2026-08-24T00:00:00.000
371,487,462,421,259.8000,1,1,2026-08-24T00:00:00.000
372,17,313,57,260.5000,1,1,2026-08-24T00:00:00.000
373,201,354,478,261.2000,1,1,2026-08-24T00:00:00.000
374,265,-1,-1,261.9000,1,1,2026-08-24T00:00:00.000
375,435,240,338,262.6000,1,1,2026-08-24T00:00:00.000
376,157,132,159,263.3000,1,1,2026-08-24T00:00:00.000
377,266,83,47,264.0000,1,1,2026-08-24T00:00:00.000
378,48,448,491,264.7000,1,1,2026-08-24T00:00:00.000
379,27,307,203,265.4000,1,1,2026-08-24T00:00:00.000
380,439,70,159,266.1000,1,1,2026-08-24T00:00:00.000
381,105,193,268,266.8000,1,1,2026-08-24T00:00:00.000
382,82,424,244,267.5000,1,1,2026-08-24T00:00:00.000
383,71,52,207,268.2000,1,1,2026-08-24T00:00:00.000
384,179,430,400,268.9000,1,1,2026-08-24T00:00:00.000
385,483,390,200,269.6000,1,1,2026-08-24T00:00:00.000
386,204,221,202,270.3000,1,1,2026-08-24T00:00:00.000
387,396,157,287,271.0000,1,1,2026-08-24T00:00:00.000
388,187,203,22,271.7000,1,1,2026-08-24T00:00:00.000
389,392,500,81,272.4000,1,1,2026-08-24T00:00:00.000
390,124,138,41,273.1000,1,1,2026-08-24T00:00:00.000
391,304,-1,-1,273.8000,1,1,2026-08-24T00:00:00.000
392,218,454,51,274.5000,1,1,2026-08-24T00:00:00.000
393,107,383,421,275.2000,1,1,2026-08-24T00:00:00.000
394,362,123,215,275.9000,1,1,2026-08-24T00:00:00.000
395,332,370,151,276.6000,1,1,2026-08-24T00:00:00.000
396,437,378,181,277.3000,1,1,2026-08-24T00:00:00.000
397,63,86,416,278.0000,1,1,2026-08-24T00:00:00.000
398,300,316,365,278.7000,1,1,2026-08-24T00:00:00.000
399,265,164,239,279.4000,1,1,2026-08-24T00:00:00.000
400,430,60,358,280.1000,1,1,2026-08-24T00:00:00.000
401,5,295,251,280.8000,1,1,2026-08-24T00:00:00.000
402,128,314,102,281.5000,1,1,2026-08-24T00:00:00.000
403,335,249,277,282.2000,1,1,2026-08-24T00:00:00.000
404,478,481,402,282.9000,1,1,2026-08-24T00:00:00.000
405,285,368,378,283.6000,1,1,2026-08-24T00:00:00.000
406,3,262,258,284.3000,1,1,2026-08-24T00:00:00.000
407,81,336,449,285.0000,1,1,2026-08-24T00:00:00.000
408,409,-1,-1,285.7000,1,1,2026-08-24T00:00:00.000
409,110,381,38,286.4000,1,1,2026-08-24T00:00:00.000
410,151,36,430,287.1000,1,1,2026-08-24T00:00:00.000
411,495,49,365,287.8000,1,1,2026-08-24T00:00:00.000
412,446,322,49,288.5000,1,1,2026-08-24T00:00:00.000
413,98,92,226,289.2000,1,1,2026-08-24T00:00:00.000
414,477,280,427,289.9000,1,1,2026-08-24T00:00:00.000
415,14,450,167,290.6000,1,1,2026-08-24T00:00:00.000
416,371,413,380,291.3000,1,1,2026-08-24T00:00:00.000
417,485,446,69,292.0000,1,1,2026-08-24T00:00:00.000
418,313,160,156,292.7000,1,1,2026-08-24T00:00:00.000
419,322,342,150,293.4000,1,1,2026-08-24T00:00:00.000
420,356,84,426,294.1000,1,1,2026-08-24T00:00:00.000
421,176,85,423,294.8000,1,1,2026-08-24T00:00:00.000
422,471,91,55,295.5000,1,1,2026-08-24T00:00:00.000
423,63,426,168,296.2000,1,1,2026-08-24T00:00:00.000
424,407,320,72,296.9000,1,1,2026-08-24T00:00:00.000
425,151,-1,-1,297.6000,1,1,2026-08-24T00:00:00.000
426,350,389,171,298.3000,1,1,2026-08-24T00:00:00.000
427,382,240,351,299.0000,1,1,2026-08-24T00:00:00.000
428,243,244,31,299.7000,1,1,2026-08-24T00:00:00.000
429,478,448,96,300.4000,1,1,2026-08-24T00:00:00.000
430,161,28,466,301.1000,1,1,2026-08-24T00:00:00.000
