EnergyMeterAssetKey,EnergyMeterPointKey,AssetKey,AllocationRatio,EffectiveStartDate,EffectiveEndDate,SourceSystemKey,BatchId,LoadedAtUtc
72,37,85,73.000000,2020-03-13,2021-03-13,1,1,2026-08-24T00:00:00.000
73,231,108,74.000000,2020-03-14,2021-03-14,1,1,2026-08-24T00:00:00.000
74,252,302,75.000000,2020-03-15,2021-03-15,1,1,2026-08-24T00:00:00.000
75,124,401,76.000000,2020-03-16,2021-03-16,1,1,2026-08-24T00:00:00.000
76,329,462,77.000000,2020-03-17,2021-03-17,1,1,2026-08-24T00:00:00.000
77,342,381,78.000000,2020-03-18,2021-03-18,1,1,2026-08-24T00:00:00.000
78,350,239,79.000000,2020-03-19,2021-03-19,1,1,2026-08-24T00:00:00.000
79,371,349,80.000000,2020-03-20,2021-03-20,1,1,2026-08-24T00:00:00.000
80,275,427,81.000000,2020-03-21,2021-03-21,1,1,2026-08-24T00:00:00.000
81,230,129,82.000000,2020-03-22,2021-03-22,1,1,2026-08-24T00:00:00.000
82,27,62,83.000000,2020-03-23,2021-03-23,1,1,2026-08-24T00:00:00.000
83,334,327,84.000000,2020-03-24,2021-03-24,1,1,2026-08-24T00:00:00.000
84,238,132,85.000000,2020-03-25,2021-03-25,1,1,2026-08-24T00:00:00.000
85,16,133,86.000000,2020-03-26,2021-03-26,1,1,2026-08-24T00:00:00.000
86,273,499,87.000000,2020-03-27,2021-03-27,1,1,2026-08-24T00:00:00.000
87,376,282,88.000000,2020-03-28,2021-03-28,1,1,2026-08-24T00:00:00.000
88,279,76,89.000000,2020-03-29,2021-03-29,1,1,2026-08-24T00:00:00.000
89,405,377,90.000000,2020-03-30,2021-03-30,1,1,2026-08-24T00:00:00.000
90,199,35,91.000000,2020-03-31,2021-03-31,1,1,2026-08-24T00:00:00.000
91,385,135,92.000000,2020-04-01,2021-04-01,1,1,2026-08-24T00:00:00.000
92,271,63,93.000000,2020-04-02,2021-04-02,1,1,2026-08-24T00:00:00.000
93,357,240,94.000000,2020-04-03,2021-04-03,1,1,2026-08-24T00:00:00.000
94,143,207,95.000000,2020-04-04,2021-04-04,1,1,2026-08-24T00:00:00.000
95,347,28,96.000000,2020-04-05,2021-04-05,1,1,2026-08-24T00:00:00.000
96,475,385,97.000000,2020-04-06,2021-04-06,1,1,2026-08-24T00:00:00.000
97,129,241,98.000000,2020-04-07,2021-04-07,1,1,2026-08-24T00:00:00.000
98,398,413,99.000000,2020-04-08,2021-04-08,1,1,2026-08-24T00:00:00.000
99,239,446,100.000000,2020-04-09,2021-04-09,1,1,2026-08-24T00:00:00.000
100,307,185,101.000000,2020-04-10,2021-04-10,1,1,2026-08-24T00:00:00.000
101,390,154,102.000000,2020-04-11,2021-04-11,1,1,2026-08-24T00:00:00.000
102,33,138,103.000000,2020-04-12,2021-04-12,1,1,2026-08-24T00:00:00.000
103,237,150,104.000000,2020-04-13,2021-04-13,1,1,2026-08-24T00:00:00.000
104,20,121,105.000000,2020-04-14,2021-04-14,1,1,2026-08-24T00:00:00.000
105,486,387,106.000000,2020-04-15,2021-04-15,1,1,2026-08-24T00:00:00.000
106,401,197,107.000000,2020-04-16,2021-04-16,1,1,2026-08-24T00:00:00.000
107,255,256,108.000000,2020-04-17,2021-04-17,1,1,2026-08-24T00:00:00.000
108,60,406,109.000000,2020-04-18,2021-04-18,1,1,2026-08-24T00:00:00.000
109,480,390,110.000000,2020-04-19,2021-04-19,1,1,2026-08-24T00:00:00.000
110,65,416,111.000000,2020-04-20,2021-04-20,1,1,2026-08-24T00:00:00.000
111,146,372,112.000000,2020-04-21,2021-04-21,1,1,2026-08-24T00:00:00.000
112,78,133,113.000000,2020-04-22,2021-04-22,1,1,2026-08-24T00:00:00.000
113,485,198,114.000000,2020-04-23,2021-04-23,1,1,2026-08-24T00:00:00.000
114,316,286,115.000000,2020-04-24,2021-04-24,1,1,2026-08-24T00:00:00.000
115,171,393,116.000000,2020-04-25,2021-04-25,1,1,2026-08-24T00:00:00.000
116,242,404,117.000000,2020-04-26,2021-04-26,1,1,2026-08-24T00:00:00.000
117,215,174,118.000000,2020-04-27,2021-04-27,1,1,2026-08-24T00:00:00.000
118,494,189,119.000000,2020-04-28,2021-04-28,1,1,2026-08-24T00:00:00.000
119,433,65,120.000000,2020-04-29,2021-04-29,1,1,2026-08-24T00:00:00.000
120,96,26,121.000000,2020-04-30,2021-04-30,1,1,2026-08-24T00:00:00.000
121,300,320,122.000000,2020-05-01,2021-05-01,1,1,2026-08-24T00:00:00.000
122,194,159,123.000000,2020-05-02,2021-05-02,1,1,2026-08-24T00:00:00.000
123,82,83,124.000000,2020-05-03,2021-05-03,1,1,2026-08-24T00:00:00.000
124,442,73,125.000000,2020-05-04,2021-05-04,1,1,2026-08-24T00:00:00.000
125,37,403,126.000000,2020-05-05,2021-05-05,1,1,2026-08-24T00:00:00.000
126,343,250,127.000000,2020-05-06,2021-05-06,1,1,2026-08-24T00:00:00.000
127,24,396,128.000000,2020-05-07,2021-05-07,1,1,2026-08-24T00:00:00.000
128,455,134,129.000000,2020-05-08,2021-05-08,1,1,2026-08-24T00:00:00.000
129,231,107,130.000000,2020-05-09,2021-05-09,1,1,2026-08-24T00:00:00.000
130,345,495,131.000000,2020-05-10,2021-05-10,1,1,2026-08-24T00:00:00.000
131,469,450,132.000000,2020-05-11,2021-05-11,1,1,2026-08-24T00:00:00.000
132,217,296,133.000000,2020-05-12,2021-05-12,1,1,2026-08-24T00:00:00.000
133,152,242,134.000000,2020-05-13,2021-05-13,1,1,2026-08-24T00:00:00.000
134,261,90,135.000000,2020-05-14,2021-05-14,1,1,2026-08-24T00:00:00.000
135,477,32,136.000000,2020-05-15,2021-05-15,1,1,2026-08-24T00:00:00.000
136,106,72,137.000000,2020-05-16,2021-05-16,1,1,2026-08-24T00:00:00.000
137,344,4,138.000000,2020-05-17,2021-05-17,1,1,2026-08-24T00:00:00.000
138,409,326,139.000000,2020-05-18,2021-05-18,1,1,2026-08-24T00:00:00.000
139,34,73,140.000000,2020-05-19,2021-05-19,1,1,2026-08-24T00:00:00.000
140,29,375,141.000000,2020-05-20,2021-05-20,1,1,2026-08-24T00:00:00.000
141,354,439,142.000000,2020-05-21,2021-05-21,1,1,2026-08-24T00:00:00.000
142,475,34,143.000000,2020-05-22,2021-05-22,1,1,2026-08-24T00:00:00.000
143,201,466,144.000000,2020-05-23,2021-05-23,1,1,2026-08-24T00:00:00.000
144,199,447,145.000000,2020-05-24,2021-05-24,1,1,2026-08-24T00:00:00.000
145,406,57,146.000000,2020-05-25,2021-05-25,1,1,2026-08-24T00:00:00.000
146,241,48,147.000000,2020-05-26,2021-05-26,1,1,2026-08-24T00:00:00.000
147,179,390,148.000000,2020-05-27,2021-05-27,1,1,2026-08-24T00:00:00.000
148,290,53,149.000000,2020-05-28,2021-05-28,1,1,2026-08-24T00:00:00.000
149,469,1,150.000000,2020-05-29,2021-05-29,1,1,2026-08-24T00:00:00.000
150,440,120,151.000000,2020-05-30,2021-05-30,1,1,2026-08-24T00:00:00.000
151,409,138,152.000000,2020-05-31,2021-05-31,1,1,2026-08-24T00:00:00.000
152,59,485,153.000000,2020-06-01,2021-06-01,1,1,2026-08-24T00:00:00.000
153,482,404,154.000000,2020-06-02,2021-06-02,1,1,2026-08-24T00:00:00.000
154,263,207,155.000000,2020-06-03,2021-06-03,1,1,2026-08-24T00:00:00.000
155,213,222,156.000000,2020-06-04,2021-06-04,1,1,2026-08-24T00:00:00.000
156,364,221,157.000000,2020-06-05,2021-06-05,1,1,2026-08-24T00:00:00.000
157,77,492,158.000000,2020-06-06,2021-06-06,1,1,2026-08-24T00:00:00.000
158,481,270,159.000000,2020-06-07,2021-06-07,1,1,2026-08-24T00:00:00.000
159,39,187,160.000000,2020-06-08,2021-06-08,1,1,2026-08-24T00:00:00.000
160,498,294,161.000000,2020-06-09,2021-06-09,1,1,2026-08-24T00:00:00.000
161,67,162,162.000000,2020-06-10,2021-06-10,1,1,2026-08-24T00:00:00.000
162,173,166,163.000000,2020-06-11,2021-06-11,1,1,2026-08-24T00:00:00.000
163,85,218,164.000000,2020-06-12,2021-06-12,1,1,2026-08-24T00:00:00.000
164,361,129,165.000000,2020-06-13,2021-06-13,1,1,2026-08-24T00:00:00.000
165,231,243,166.000000,2020-06-14,2021-06-14,1,1,2026-08-24T00:00:00.000
166,246,194,167.000000,2020-06-15,2021-06-15,1,1,2026-08-24T00:00:00.000
167,156,446,168.000000,2020-06-16,2021-06-16,1,1,2026-08-24T00:00:00.000
168,137,454,169.000000,2020-06-17,2021-06-17,1,1,2026-08-24T00:00:00.000
169,384,316,170.000000,2020-06-18,2021-06-18,1,1,2026-08-24T00:00:00.000
170,113,405,171.000000,2020-06-19,2021-06-19,1,1,2026-08-24T00:00:00.000
171,411,34,172.000000,2020-06-20,2021-06-20,1,1,2026-08-24T00:00:00.000
172,39,480,173.000000,2020-06-21,2021-06-21,1,1,2026-08-24T00:00:00.000
173,442,324,174.000000,2020-06-22,2021-06-22,1,1,2026-08-24T00:00:00.000
174,137,484,175.000000,2020-06-23,2021-06-23,1,1,2026-08-24T00:00:00.000
175,168,390,176.000000,2020-06-24,2021-06-24,1,1,2026-08-24T00:00:00.000
176,491,430,177.000000,2020-06-25,2021-06-25,1,1,2026-08-24T00:00:00.000
177,129,71,178.000000,2020-06-26,2021-06-26,1,1,2026-08-24T00:00:00.000
178,45,306,179.000000,2020-06-27,2021-06-27,1,1,2026-08-24T00:00:00.000
179,58,426,180.000000,2020-06-28,2021-06-28,1,1,2026-08-24T00:00:00.000
180,286,324,181.000000,2020-06-29,2021-06-29,1,1,2026-08-24T00:00:00.000
181,207,405,182.000000,2020-06-30,2021-06-30,1,1,2026-08-24T00:00:00.000
182,191,370,183.000000,2020-07-01,2021-07-01,1,1,2026-08-24T00:00:00.000
183,207,98,184.000000,2020-07-02,2021-07-02,1,1,2026-08-24T00:00:00.000
184,430,420,185.000000,2020-07-03,2021-07-03,1,1,2026-08-24T00:00:00.000
185,161,16,186.000000,2020-07-04,2021-07-04,1,1,2026-08-24T00:00:00.000
186,327,62,187.000000,2020-07-05,2021-07-05,1,1,2026-08-24T00:00:00.000
187,359,405,188.000000,2020-07-06,2021-07-06,1,1,2026-08-24T00:00:00.000
188,384,79,189.000000,2020-07-07,2021-07-07,1,1,2026-08-24T00:00:00.000
189,215,278,190.000000,2020-07-08,2021-07-08,1,1,2026-08-24T00:00:00.000
190,491,256,191.000000,2020-07-09,2021-07-09,1,1,2026-08-24T00:00:00.000
191,50,274,192.000000,2020-07-10,2021-07-10,1,1,2026-08-24T00:00:00.000
192,161,175,193.000000,2020-07-11,2021-07-11,1,1,2026-08-24T00:00:00.000
193,320,62,194.000000,2020-07-12,2021-07-12,1,1,2026-08-24T00:00:00.000
194,156,119,195.000000,2020-07-13,2021-07-13,1,1,2026-08-24T00:00:00.000
195,480,96,196.000000,2020-07-14,2021-07-14,1,1,2026-08-24T00:00:00.000
196,203,386,197.000000,2020-07-15,2021-07-15,1,1,2026-08-24T00:00:00.000
197,59,67,198.000000,2020-07-16,2021-07-16,1,1,2026-08-24T00:00:00.000
198,92,73,199.000000,2020-07-17,2021-07-17,1,1,2026-08-24T00:00:00.000
199,125,283,200.000000,2020-07-18,2021-07-18,1,1,2026-08-24T00:00:00.000
200,471,350,201.000000,2020-07-19,2021-07-19,1,1,2026-08-24T00:00:00.000
201,99,15,202.000000,2020-07-20,2021-07-20,1,1,2026-08-24T00:00:00.000
202,44,408,203.000000,2020-07-21,2021-07-21,1,1,2026-08-24T00:00:00.000
203,193,446,204.000000,2020-07-22,2021-07-22,1,1,2026-08-24T00:00:00.000
204,382,430,205.000000,2020-07-23,2021-07-23,1,1,2026-08-24T00:00:00.000
205,491,482,206.000000,2020-07-24,2021-07-24,1,1,2026-08-24T00:00:00.000
206,238,119,207.000000,2020-07-25,2021-07-25,1,1,2026-08-24T00:00:00.000
207,40,154,208.000000,2020-07-26,2021-07-26,1,1,2026-08-24T00:00:00.000
208,163,163,209.000000,2020-07-27,2021-07-27,1,1,2026-08-24T00:00:00.000
209,385,287,210.000000,2020-07-28,2021-07-28,1,1,2026-08-24T00:00:00.000
210,41,249,211.000000,2020-07-29,2021-07-29,1,1,2026-08-24T00:00:00.000
211,152,86,212.000000,2020-07-30,2021-07-30,1,1,2026-08-24T00:00:00.000
212,136,213,213.000000,2020-07-31,2021-07-31,1,1,2026-08-24T00:00:00.000
213,361,178,214.000000,2020-08-01,2021-08-01,1,1,2026-08-24T00:00:00.000
214,335,172,215.000000,2020-08-02,2021-08-02,1,1,2026-08-24T00:00:00.000
215,120,284,216.000000,2020-08-03,2021-08-03,1,1,2026-08-24T00:00:00.000
216,418,98,217.000000,2020-08-04,2021-08-04,1,1,2026-08-24T00:00:00.000
217,366,65,218.000000,2020-08-05,2021-08-05,1,1,2026-08-24T00:00:00.000
218,166,311,219.000000,2020-08-06,2021-08-06,1,1,2026-08-24T00:00:00.000
219,436,66,220.000000,2020-08-07,2021-08-07,1,1,2026-08-24T00:00:00.000
220,79,125,221.000000,2020-08-08,2021-08-08,1,1,2026-08-24T00:00:00.000
221,415,213,222.000000,2020-08-09,2021-08-09,1,1,2026-08-24T00:00:00.000
222,347,107,223.000000,2020-08-10,2021-08-10,1,1,2026-08-24T00:00:00.000
223,304,384,224.000000,2020-08-11,2021-08-11,1,1,2026-08-24T00:00:00.000
224,19,428,225.000000,2020-08-12,2021-08-12,1,1,2026-08-24T00:00:00.000
225,418,215,226.000000,2020-08-13,2021-08-13,1,1,2026-08-24T00:00:00.000
226,332,347,227.000000,2020-08-14,2021-08-14,1,1,2026-08-24T00:00:00.000
227,70,188,228.000000,2020-08-15,2021-08-15,1,1,2026-08-24T00:00:00.000
228,406,56,229.000000,2020-08-16,2021-08-16,1,1,2026-08-24T00:00:00.000
229,220,70,230.000000,2020-08-17,2021-08-17,1,1,2026-08-24T00:00:00.000
230,197,433,231.000000,2020-08-18,2021-08-18,1,1,2026-08-24T00:00:00.000
231,473,2,232.000000,2020-08-19,2021-08-19,1,1,2026-08-24T00:00:00.000
232,232,69,233.000000,2020-08-20,2021-08-20,1,1,2026-08-24T00:00:00.000
233,27,11,234.000000,2020-08-21,2021-08-21,1,1,2026-08-24T00:00:00.000
234,122,235,235.000000,2020-08-22,2021-08-22,1,1,2026-08-24T00:00:00.000
235,24,103,236.000000,2020-08-23,2021-08-23,1,1,2026-08-24T00:00:00.000
236,219,119,237.000000,2020-08-24,2021-08-24,1,1,2026-08-24T00:00:00.000
237,312,213,238.000000,2020-08-25,2021-08-25,1,1,2026-08-24T00:00:00.000
238,158,183,239.000000,2020-08-26,2021-08-26,1,1,2026-08-24T00:00:00.000
239,19,37,240.000000,2020-08-27,2021-08-27,1,1,2026-08-24T00:00:00.000
240,402,352,241.000000,2020-08-28,2021-08-28,1,1,2026-08-24T00:00:00.000
241,433,165,242.000000,2020-08-29,2021-08-29,1,1,2026-08-24T00:00:00.000
242,381,180,243.000000,2020-08-30,2021-08-30,1,1,2026-08-24T00:00:00.000
243,55,171,244.000000,2020-08-31,2021-08-31,1,1,2026-08-24T00:00:00.000
244,199,222,245.000000,2020-09-01,2021-09-01,1,1,2026-08-24T00:00:00.000
245,234,401,246.000000,2020-09-02,2021-09-02,1,1,2026-08-24T00:00:00.000
246,194,495,247.000000,2020-09-03,2021-09-03,1,1,2026-08-24T00:00:00.000
247,102,162,248.000000,2020-09-04,2021-09-04,1,1,2026-08-24T00:00:00.000
248,47,93,249.000000,2020-09-05,2021-09-05,1,1,2026-08-24T00:00:00.000
249,278,272,250.000000,2020-09-06,2021-09-06,1,1,2026-08-24T00:00:00.000
250,270,265,251.000000,2020-09-07,2021-09-07,1,1,2026-08-24T00:00:00.000
251,388,377,252.000000,2020-09-08,2021-09-08,1,1,2026-08-24T00:00:00.000
252,63,464,253.000000,2020-09-09,2021-09-09,1,1,2026-08-24T00:00:00.000
253,122,403,254.000000,2020-09-10,2021-09-10,1,1,2026-08-24T00:00:00.000
254,498,7,255.000000,2020-09-11,2021-09-11,1,1,2026-08-24T00:00:00.000
255,445,306,256.000000,2020-09-12,2021-09-12,1,1,2026-08-24T00:00:00.000
256,472,65,257.000000,2020-09-13,2021-09-13,1,1,2026-08-24T00:00:00.000
257,269,271,258.000000,2020-09-14,2021-09-14,1,1,2026-08-24T00:00:00.000
258,474,190,259.000000,2020-09-15,2021-09-15,1,1,2026-08-24T00:00:00.000
259,69,114,260.000000,2020-09-16,2021-09-16,1,1,2026-08-24T00:00:00.000
260,250,133,261.000000,2020-09-17,2021-09-17,1,1,2026-08-24T00:00:00.000
261,221,372,262.000000,2020-09-18,2021-09-18,1,1,2026-08-24T00:00:00.000
262,371,205,263.000000,2020-09-19,2021-09-19,1,1,2026-08-24T00:00:00.000
263,392,135,264.000000,2020-09-20,2021-09-20,1,1,2026-08-24T00:00:00.000
264,279,100,265.000000,2020-09-21,2021-09-21,1,1,2026-08-24T00:00:00.000
265,293,257,266.000000,2020-09-22,2021-09-22,1,1,2026-08-24T00:00:00.000
266,250,226,267.000000,2020-09-23,2021-09-23,1,1,2026-08-24T00:00:00.000
267,373,120,268.000000,2020-09-24,2021-09-24,1,1,2026-08-24T00:00:00.000
268,337,388,269.000000,2020-09-25,2021-09-25,1,1,2026-08-24T00:00:00.000
269,408,476,270.000000,2020-09-26,2021-09-26,1,1,2026-08-24T00:00:00.000
270,41,472,271.000000,2020-09-27,2021-09-27,1,1,2026-08-24T00:00:00.000
271,235,157,272.000000,2020-09-28,2021-09-28,1,1,2026-08-24T00:00:00.000
272,395,250,273.000000,2020-09-29,2021-09-29,1,1,2026-08-24T00:00:00.000
273,399,257,274.000000,2020-09-30,2021-09-30,1,1,2026-08-24T00:00:00.000
274,207,367,275.000000,2020-10-01,2021-10-01,1,1,2026-08-24T00:00:00.000
275,386,340,276.000000,2020-10-02,2021-10-02,1,1,2026-08-24T00:00:00.000
276,148,327,277.000000,2020-10-03,2021-10-03,1,1,2026-08-24T00:00:00.000
277,252,371,278.000000,2020-10-04,2021-10-04,1,1,2026-08-24T00:00:00.000
278,127,468,279.000000,2020-10-05,2021-10-05,1,1,2026-08-24T00:00:00.000
279,377,322,280.000000,2020-10-06,2021-10-06,1,1,2026-08-24T00:00:00.000
280,403,416,281.000000,2020-10-07,2021-10-07,1,1,2026-08-24T00:00:00.000
281,425,347,282.000000,2020-10-08,2021-10-08,1,1,2026-08-24T00:00:00.000
282,362,367,283.000000,2020-10-09,2021-10-09,1,1,2026-08-24T00:00:00.000
283,289,203,284.000000,2020-10-10,2021-10-10,1,1,2026-08-24T00:00:00.000
284,22,329,285.000000,2020-10-11,2021-10-11,1,1,2026-08-24T00:00:00.000
285,492,127,286.000000,2020-10-12,2021-10-12,1,1,2026-08-24T00:00:00.000
286,347,418,287.000000,2020-10-13,2021-10-13,1,1,2026-08-24T00:00:00.000
287,247,64,288.000000,2020-10-14,2021-10-14,1,1,2026-08-24T00:00:00.000
288,462,190,289.000000,2020-10-15,2021-10-15,1,1,2026-08-24T00:00:00.000
289,466,307,290.000000,2020-10-16,2021-10-16,1,1,2026-08-24T00:00:00.000
290,16,215,291.000000,2020-10-17,2021-10-17,1,1,2026-08-24T00:00:00.000
291,196,368,292.000000,2020-10-18,2021-10-18,1,1,2026-08-24T00:00:00.000
292,495,408,293.000000,2020-10-19,2021-10-19,1,1,2026-08-24T00:00:00.000
293,329,75,294.000000,2020-10-20,2021-10-20,1,1,2026-08-24T00:00:00.000
294,496,426,295.000000,2020-10-21,2021-10-21,1,1,2026-08-24T00:00:00.000
295,256,199,296.000000,2020-10-22,2021-10-22,1,1,2026-08-24T00:00:00.000
296,483,389,297.000000,2020-10-23,2021-10-23,1,1,2026-08-24T00:00:00.000
297,147,318,298.000000,2020-10-24,2021-10-24,1,1,2026-08-24T00:00:00.000
298,198,177,299.000000,2020-10-25,2021-10-25,1,1,2026-08-24T00:00:00.000
299,117,206,300.000000,2020-10-26,2021-10-26,1,1,2026-08-24T00:00:00.000
300,374,445,301.000000,2020-10-27,2021-10-27,1,1,2026-08-24T00:00:00.000
301,377,418,302.000000,2020-10-28,2021-10-28,1,1,2026-08-24T00:00:00.000
302,18,240,303.000000,2020-10-29,2021-10-29,1,1,2026-08-24T00:00:00.000
303,108,304,304.000000,2020-10-30,2021-10-30,1,1,2026-08-24T00:00:00.000
304,155,310,305.000000,2020-10-31,2021-10-31,1,1,2026-08-24T00:00:00.000
305,308,76,306.000000,2020-11-01,2021-11-01,1,1,2026-08-24T00:00:00.000
306,157,294,307.000000,2020-11-02,2021-11-02,1,1,2026-08-24T00:00:00.000
307,231,95,308.000000,2020-11-03,2021-11-03,1,1,2026-08-24T00:00:00.000
308,189,208,309.000000,2020-11-04,2021-11-04,1,1,2026-08-24T00:00:00.000
309,207,310,310.000000,2020-11-05,2021-11-05,1,1,2026-08-24T00:00:00.000
310,470,330,311.000000,2020-11-06,2021-11-06,1,1,2026-08-24T00:00:00.000
311,123,413,312.000000,2020-11-07,2021-11-07,1,1,2026-08-24T00:00:00.000
312,470,309,313.000000,2020-11-08,2021-11-08,1,1,2026-08-24T00:00:00.000
313,458,368,314.000000,2020-11-09,2021-11-09,1,1,2026-08-24T00:00:00.000
