LaborEmployeeSkillKey,EmployeeKey,LaborSkillKey,ProficiencyRating,VerifiedDate,SourceSystemKey,BatchId,LoadedAtUtc
30,194,252,31.00,2020-01-31,1,1,2026-08-24T00:00:00.000
31,312,295,32.00,2020-02-01,1,1,2026-08-24T00:00:00.000
32,230,426,33.00,2020-02-02,1,1,2026-08-24T00:00:00.000
33,402,60,34.00,2020-02-03,1,1,2026-08-24T00:00:00.000
34,28,123,35.00,2020-02-04,1,1,2026-08-24T00:00:00.000
35,291,239,36.00,2020-02-05,1,1,2026-08-24T00:00:00.000
36,213,404,37.00,2020-02-06,1,1,2026-08-24T00:00:00.000
37,188,293,38.00,2020-02-07,1,1,2026-08-24T00:00:00.000
38,177,401,39.00,2020-02-08,1,1,2026-08-24T00:00:00.000
39,27,426,40.00,2020-02-09,1,1,2026-08-24T00:00:00.000
40,150,498,41.00,2020-02-10,1,1,2026-08-24T00:00:00.000
41,264,356,42.00,2020-02-11,1,1,2026-08-24T00:00:00.000
42,99,72,43.00,2020-02-12,1,1,2026-08-24T00:00:00.000
43,41,466,44.00,2020-02-13,1,1,2026-08-24T00:00:00.000
44,184,288,45.00,2020-02-14,1,1,2026-08-24T00:00:00.000
45,267,2,46.00,2020-02-15,1,1,2026-08-24T00:00:00.000
46,7,45,47.00,2020-02-16,1,1,2026-08-24T00:00:00.000
47,330,152,48.00,2020-02-17,1,1,2026-08-24T00:00:00.000
48,83,94,49.00,2020-02-18,1,1,2026-08-24T00:00:00.000
49,123,323,50.00,2020-02-19,1,1,2026-08-24T00:00:00.000
50,235,255,51.00,2020-02-20,1,1,2026-08-24T00:00:00.000
51,35,307,52.00,2020-02-21,1,1,2026-08-24T00:00:00.000
52,389,148,53.00,2020-02-22,1,1,2026-08-24T00:00:00.000
53,161,431,54.00,2020-02-23,1,1,2026-08-24T00:00:00.000
54,163,434,55.00,2020-02-24,1,1,2026-08-24T00:00:00.000
55,82,69,56.00,2020-02-25,1,1,2026-08-24T00:00:00.000
56,12,42,57.00,2020-02-26,1,1,2026-08-24T00:00:00.000
57,390,136,58.00,2020-02-27,1,1,2026-08-24T00:00:00.000
58,344,137,59.00,2020-02-28,1,1,2026-08-24T00:00:00.000
59,261,20,60.00,2020-02-29,1,1,2026-08-24T00:00:00.000
60,334,427,61.00,2020-03-01,1,1,2026-08-24T00:00:00.000
61,119,140,62.00,2020-03-02,1,1,2026-08-24T00:00:00.000
62,46,452,63.00,2020-03-03,1,1,2026-08-24T00:00:00.000
63,9,29,64.00,2020-03-04,1,1,2026-08-24T00:00:00.000
64,253,328,65.00,2020-03-05,1,1,2026-08-24T00:00:00.000
65,323,281,66.00,2020-03-06,1,1,2026-08-24T00:00:00.000
66,1,478,67.00,2020-03-07,1,1,2026-08-24T00:00:00.000
67,359,228,68.00,2020-03-08,1,1,2026-08-24T00:00:00.000
68,213,235,69.00,2020-03-09,1,1,2026-08-24T00:00:00.000
69,376,9,70.00,2020-03-10,1,1,2026-08-24T00:00:00.000
70,116,172,71.00,2020-03-11,1,1,2026-08-24T00:00:00.000
71,263,71,72.00,2020-03-12,1,1,2026-08-24T00:00:00.000
72,114,78,73.00,2020-03-13,1,1,2026-08-24T00:00:00.000
73,218,482,74.00,2020-03-14,1,1,2026-08-24T00:00:00.000
74,316,238,75.00,2020-03-15,1,1,2026-08-24T00:00:00.000
75,447,214,76.00,2020-03-16,1,1,2026-08-24T00:00:00.000
76,83,494,77.00,2020-03-17,1,1,2026-08-24T00:00:00.000
77,4,190,78.00,2020-03-18,1,1,2026-08-24T00:00:00.000
78,161,145,79.00,2020-03-19,1,1,2026-08-24T00:00:00.000
79,31,72,80.00,2020-03-20,1,1,2026-08-24T00:00:00.000
80,418,98,81.00,2020-03-21,1,1,2026-08-24T00:00:00.000
81,46,111,82.00,2020-03-22,1,1,2026-08-24T00:00:00.000
82,183,500,83.00,2020-03-23,1,1,2026-08-24T00:00:00.000
83,152,464,84.00,2020-03-24,1,1,2026-08-24T00:00:00.000
84,442,299,85.00,2020-03-25,1,1,2026-08-24T00:00:00.000
85,313,469,86.00,2020-03-26,1,1,2026-08-24T00:00:00.000
86,260,128,87.00,2020-03-27,1,1,2026-08-24T00:00:00.000
87,220,121,88.00,2020-03-28,1,1,2026-08-24T00:00:00.000
88,129,271,89.00,2020-03-29,1,1,2026-08-24T00:00:00.000
89,411,438,90.00,2020-03-30,1,1,2026-08-24T00:00:00.000
90,138,223,91.00,2020-03-31,1,1,2026-08-24T00:00:00.000
91,116,378,92.00,2020-04-01,1,1,2026-08-24T00:00:00.000
92,241,405,93.00,2020-04-02,1,1,2026-08-24T00:00:00.000
93,374,36,94.00,2020-04-03,1,1,2026-08-24T00:00:00.000
94,319,474,95.00,2020-04-04,1,1,2026-08-24T00:00:00.000
95,70,93,96.00,2020-04-05,1,1,2026-08-24T00:00:00.000
96,232,436,97.00,2020-04-06,1,1,2026-08-24T00:00:00.000
97,472,21,98.00,2020-04-07,1,1,2026-08-24T00:00:00.000
98,204,438,99.00,2020-04-08,1,1,2026-08-24T00:00:00.000
99,413,19,100.00,2020-04-09,1,1,2026-08-24T00:00:00.000
100,138,445,101.00,2020-04-10,1,1,2026-08-24T00:00:00.000
101,168,315,102.00,2020-04-11,1,1,2026-08-24T00:00:00.000
102,68,252,103.00,2020-04-12,1,1,2026-08-24T00:00:00.000
103,422,307,104.00,2020-04-13,1,1,2026-08-24T00:00:00.000
104,61,478,105.00,2020-04-14,1,1,2026-08-24T00:00:00.000
105,211,164,106.00,2020-04-15,1,1,2026-08-24T00:00:00.000
106,269,79,107.00,2020-04-16,1,1,2026-08-24T00:00:00.000
107,20,190,108.00,2020-04-17,1,1,2026-08-24T00:00:00.000
108,57,219,109.00,2020-04-18,1,1,2026-08-24T00:00:00.000
109,351,136,110.00,2020-04-19,1,1,2026-08-24T00:00:00.000
110,103,244,111.00,2020-04-20,1,1,2026-08-24T00:00:00.000
111,26,245,112.00,2020-04-21,1,1,2026-08-24T00:00:00.000
112,97,404,113.00,2020-04-22,1,1,2026-08-24T00:00:00.000
113,369,309,114.00,2020-04-23,1,1,2026-08-24T00:00:00.000
114,439,212,115.00,2020-04-24,1,1,2026-08-24T00:00:00.000
115,30,215,116.00,2020-04-25,1,1,2026-08-24T00:00:00.000
116,296,393,117.00,2020-04-26,1,1,2026-08-24T00:00:00.000
117,426,17,118.00,2020-04-27,1,1,2026-08-24T00:00:00.000
118,17,238,119.00,2020-04-28,1,1,2026-08-24T00:00:00.000
119,82,209,120.00,2020-04-29,1,1,2026-08-24T00:00:00.000
120,11,240,121.00,2020-04-30,1,1,2026-08-24T00:00:00.000
121,275,33,122.00,2020-05-01,1,1,2026-08-24T00:00:00.000
122,264,155,123.00,2020-05-02,1,1,2026-08-24T00:00:00.000
123,275,101,124.00,2020-05-03,1,1,2026-08-24T00:00:00.000
124,133,306,125.00,2020-05-04,1,1,2026-08-24T00:00:00.000
125,154,294,126.00,2020-05-05,1,1,2026-08-24T00:00:00.000
126,66,102,127.00,2020-05-06,1,1,2026-08-24T00:00:00.000
127,233,308,128.00,2020-05-07,1,1,2026-08-24T00:00:00.000
128,95,199,129.00,2020-05-08,1,1,2026-08-24T00:00:00.000
129,380,33,130.00,2020-05-09,1,1,2026-08-24T00:00:00.000
130,72,374,131.00,2020-05-10,1,1,2026-08-24T00:00:00.000
131,365,297,132.00,2020-05-11,1,1,2026-08-24T00:00:00.000
132,338,121,133.00,2020-05-12,1,1,2026-08-24T00:00:00.000
133,413,426,134.00,2020-05-13,1,1,2026-08-24T00:00:00.000
134,203,217,135.00,2020-05-14,1,1,2026-08-24T00:00:00.000
135,370,185,136.00,2020-05-15,1,1,2026-08-24T00:00:00.000
136,363,200,137.00,2020-05-16,1,1,2026-08-24T00:00:00.000
137,144,352,138.00,2020-05-17,1,1,2026-08-24T00:00:00.000
138,46,421,139.00,2020-05-18,1,1,2026-08-24T00:00:00.000
139,353,11,140.00,2020-05-19,1,1,2026-08-24T00:00:00.000
140,425,344,141.00,2020-05-20,1,1,2026-08-24T00:00:00.000
141,92,469,142.00,2020-05-21,1,1,2026-08-24T00:00:00.000
142,82,190,143.00,2020-05-22,1,1,2026-08-24T00:00:00.000
143,223,1,144.00,2020-05-23,1,1,2026-08-24T00:00:00.000
144,246,391,145.00,2020-05-24,1,1,2026-08-24T00:00:00.000
145,125,139,146.00,2020-05-25,1,1,2026-08-24T00:00:00.000
146,434,189,147.00,2020-05-26,1,1,2026-08-24T00:00:00.000
147,232,200,148.00,2020-05-27,1,1,2026-08-24T00:00:00.000
148,84,5,149.00,2020-05-28,1,1,2026-08-24T00:00:00.000
149,83,37,150.00,2020-05-29,1,1,2026-08-24T00:00:00.000
150,70,163,151.00,2020-05-30,1,1,2026-08-24T00:00:00.000
151,3,369,152.00,2020-05-31,1,1,2026-08-24T00:00:00.000
152,494,471,153.00,2020-06-01,1,1,2026-08-24T00:00:00.000
153,484,4,154.00,2020-06-02,1,1,2026-08-24T00:00:00.000
154,314,279,155.00,2020-06-03,1,1,2026-08-24T00:00:00.000
155,433,54,156.00,2020-06-04,1,1,2026-08-24T00:00:00.000
156,38,304,157.00,2020-06-05,1,1,2026-08-24T00:00:00.000
157,37,35,158.00,2020-06-06,1,1,2026-08-24T00:00:00.000
158,47,61,159.00,2020-06-07,1,1,2026-08-24T00:00:00.000
159,256,103,160.00,2020-06-08,1,1,2026-08-24T00:00:00.000
160,69,229,161.00,2020-06-09,1,1,2026-08-24T00:00:00.000
161,268,256,162.00,2020-06-10,1,1,2026-08-24T00:00:00.000
162,316,351,163.00,2020-06-11,1,1,2026-08-24T00:00:00.000
163,14,234,164.00,2020-06-12,1,1,2026-08-24T00:00:00.000
164,237,455,165.00,2020-06-13,1,1,2026-08-24T00:00:00.000
165,301,289,166.00,2020-06-14,1,1,2026-08-24T00:00:00.000
166,353,53,167.00,2020-06-15,1,1,2026-08-24T00:00:00.000
167,362,57,168.00,2020-06-16,1,1,2026-08-24T00:00:00.000
168,186,197,169.00,2020-06-17,1,1,2026-08-24T00:00:00.000
169,153,101,170.00,2020-06-18,1,1,2026-08-24T00:00:00.000
170,439,494,171.00,2020-06-19,1,1,2026-08-24T00:00:00.000
171,411,175,172.00,2020-06-20,1,1,2026-08-24T00:00:00.000
172,496,7,173.00,2020-06-21,1,1,2026-08-24T00:00:00.000
173,9,78,174.00,2020-06-22,1,1,2026-08-24T00:00:00.000
174,354,129,175.00,2020-06-23,1,1,2026-08-24T00:00:00.000
175,6,203,176.00,2020-06-24,1,1,2026-08-24T00:00:00.000
176,84,171,177.00,2020-06-25,1,1,2026-08-24T00:00:00.000
177,179,374,178.00,2020-06-26,1,1,2026-08-24T00:00:00.000
178,421,343,179.00,2020-06-27,1,1,2026-08-24T00:00:00.000
179,183,203,180.00,2020-06-28,1,1,2026-08-24T00:00:00.000
180,394,83,181.00,2020-06-29,1,1,2026-08-24T00:00:00.000
181,468,370,182.00,2020-06-30,1,1,2026-08-24T00:00:00.000
182,302,194,183.00,2020-07-01,1,1,2026-08-24T00:00:00.000
183,21,160,184.00,2020-07-02,1,1,2026-08-24T00:00:00.000
184,248,146,185.00,2020-07-03,1,1,2026-08-24T00:00:00.000
185,186,347,186.00,2020-07-04,1,1,2026-08-24T00:00:00.000
186,123,172,187.00,2020-07-05,1,1,2026-08-24T00:00:00.000
187,197,453,188.00,2020-07-06,1,1,2026-08-24T00:00:00.000
188,241,342,189.00,2020-07-07,1,1,2026-08-24T00:00:00.000
189,398,486,190.00,2020-07-08,1,1,2026-08-24T00:00:00.000
190,462,433,191.00,2020-07-09,1,1,2026-08-24T00:00:00.000
191,452,215,192.00,2020-07-10,1,1,2026-08-24T00:00:00.000
192,67,405,193.00,2020-07-11,1,1,2026-08-24T00:00:00.000
193,145,481,194.00,2020-07-12,1,1,2026-08-24T00:00:00.000
194,164,386,195.00,2020-07-13,1,1,2026-08-24T00:00:00.000
195,314,48,196.00,2020-07-14,1,1,2026-08-24T00:00:00.000
196,248,372,197.00,2020-07-15,1,1,2026-08-24T00:00:00.000
197,486,243,198.00,2020-07-16,1,1,2026-08-24T00:00:00.000
198,276,158,199.00,2020-07-17,1,1,2026-08-24T00:00:00.000
199,273,324,200.00,2020-07-18,1,1,2026-08-24T00:00:00.000
200,435,15,201.00,2020-07-19,1,1,2026-08-24T00:00:00.000
201,394,314,202.00,2020-07-20,1,1,2026-08-24T00:00:00.000
202,188,156,203.00,2020-07-21,1,1,2026-08-24T00:00:00.000
203,172,295,204.00,2020-07-22,1,1,2026-08-24T00:00:00.000
204,315,389,205.00,2020-07-23,1,1,2026-08-24T00:00:00.000
205,353,424,206.00,2020-07-24,1,1,2026-08-24T00:00:00.000
206,176,425,207.00,2020-07-25,1,1,2026-08-24T00:00:00.000
207,95,335,208.00,2020-07-26,1,1,2026-08-24T00:00:00.000
208,273,165,209.00,2020-07-27,1,1,2026-08-24T00:00:00.000
209,499,452,210.00,2020-07-28,1,1,2026-08-24T00:00:00.000
210,107,157,211.00,2020-07-29,1,1,2026-08-24T00:00:00.000
211,445,173,212.00,2020-07-30,1,1,2026-08-24T00:00:00.000
212,305,238,213.00,2020-07-31,1,1,2026-08-24T00:00:00.000
213,32,388,214.00,2020-08-01,1,1,2026-08-24T00:00:00.000
214,492,494,215.00,2020-08-02,1,1,2026-08-24T00:00:00.000
215,12,275,216.00,2020-08-03,1,1,2026-08-24T00:00:00.000
216,181,75,217.00,2020-08-04,1,1,2026-08-24T00:00:00.000
217,3,465,218.00,2020-08-05,1,1,2026-08-24T00:00:00.000
218,386,406,219.00,2020-08-06,1,1,2026-08-24T00:00:00.000
219,331,313,220.00,2020-08-07,1,1,2026-08-24T00:00:00.000
220,236,132,221.00,2020-08-08,1,1,2026-08-24T00:00:00.000
221,289,428,222.00,2020-08-09,1,1,2026-08-24T00:00:00.000
222,270,149,223.00,2020-08-10,1,1,2026-08-24T00:00:00.000
223,135,483,224.00,2020-08-11,1,1,2026-08-24T00:00:00.000
224,173,80,225.00,2020-08-12,1,1,2026-08-24T00:00:00.000
225,323,42,226.00,2020-08-13,1,1,2026-08-24T00:00:00.000
226,369,287,227.00,2020-08-14,1,1,2026-08-24T00:00:00.000
227,153,227,228.00,2020-08-15,1,1,2026-08-24T00:00:00.000
228,437,218,229.00,2020-08-16,1,1,2026-08-24T00:00:00.000
229,322,431,230.00,2020-08-17,1,1,2026-08-24T00:00:00.000
230,367,423,231.00,2020-08-18,1,1,2026-08-24T00:00:00.000
231,92,167,232.00,2020-08-19,1,1,2026-08-24T00:00:00.000
232,247,448,233.00,2020-08-20,1,1,2026-08-24T00:00:00.000
233,115,247,234.00,2020-08-21,1,1,2026-08-24T00:00:00.000
234,226,288,235.00,2020-08-22,1,1,2026-08-24T00:00:00.000
235,192,208,236.00,2020-08-23,1,1,2026-08-24T00:00:00.000
236,378,271,237.00,2020-08-24,1,1,2026-08-24T00:00:00.000
237,481,166,238.00,2020-08-25,1,1,2026-08-24T00:00:00.000
238,379,440,239.00,2020-08-26,1,1,2026-08-24T00:00:00.000
239,13,481,240.00,2020-08-27,1,1,2026-08-24T00:00:00.000
240,478,85,241.00,2020-08-28,1,1,2026-08-24T00:00:00.000
241,260,416,242.00,2020-08-29,1,1,2026-08-24T00:00:00.000
242,123,479,243.00,2020-08-30,1,1,2026-08-24T00:00:00.000
243,309,15,244.00,2020-08-31,1,1,2026-08-24T00:00:00.000
244,101,433,245.00,2020-09-01,1,1,2026-08-24T00:00:00.000
245,399,399,246.00,2020-09-02,1,1,2026-08-24T00:00:00.000
246,277,182,247.00,2020-09-03,1,1,2026-08-24T00:00:00.000
247,208,477,248.00,2020-09-04,1,1,2026-08-24T00:00:00.000
248,126,127,249.00,2020-09-05,1,1,2026-08-24T00:00:00.000
249,443,263,250.00,2020-09-06,1,1,2026-08-24T00:00:00.000
250,240,431,251.00,2020-09-07,1,1,2026-08-24T00:00:00.000
251,358,81,252.00,2020-09-08,1,1,2026-08-24T00:00:00.000
252,193,491,253.00,2020-09-09,1,1,2026-08-24T00:00:00.000
253,341,223,254.00,2020-09-10,1,1,2026-08-24T00:00:00.000
254,295,346,255.00,2020-09-11,1,1,2026-08-24T00:00:00.000
255,445,156,256.00,2020-09-12,1,1,2026-08-24T00:00:00.000
256,123,328,257.00,2020-09-13,1,1,2026-08-24T00:00:00.000
257,8,114,258.00,2020-09-14,1,1,2026-08-24T00:00:00.000
258,465,163,259.00,2020-09-15,1,1,2026-08-24T00:00:00.000
259,56,228,260.00,2020-09-16,1,1,2026-08-24T00:00:00.000
260,285,193,261.00,2020-09-17,1,1,2026-08-24T00:00:00.000
261,335,288,262.00,2020-09-18,1,1,2026-08-24T00:00:00.000
262,405,287,263.00,2020-09-19,1,1,2026-08-24T00:00:00.000
263,12,324,264.00,2020-09-20,1,1,2026-08-24T00:00:00.000
264,410,34,265.00,2020-09-21,1,1,2026-08-24T00:00:00.000
265,190,132,266.00,2020-09-22,1,1,2026-08-24T00:00:00.000
266,2,373,267.00,2020-09-23,1,1,2026-08-24T00:00:00.000
267,253,212,268.00,2020-09-24,1,1,2026-08-24T00:00:00.000
268,219,275,269.00,2020-09-25,1,1,2026-08-24T00:00:00.000
269,451,280,270.00,2020-09-26,1,1,2026-08-24T00:00:00.000
270,325,500,271.00,2020-09-27,1,1,2026-08-24T00:00:00.000
271,202,414,272.00,2020-09-28,1,1,2026-08-24T00:00:00.000
272,55,332,273.00,2020-09-29,1,1,2026-08-24T00:00:00.000
273,492,398,274.00,2020-09-30,1,1,2026-08-24T00:00:00.000
274,338,462,275.00,2020-10-01,1,1,2026-08-24T00:00:00.000
275,454,344,276.00,2020-10-02,1,1,2026-08-24T00:00:00.000
276,402,22,277.00,2020-10-03,1,1,2026-08-24T00:00:00.000
277,9,429,278.00,2020-10-04,1,1,2026-08-24T00:00:00.000
278,262,350,279.00,2020-10-05,1,1,2026-08-24T00:00:00.000
279,482,138,280.00,2020-10-06,1,1,2026-08-24T00:00:00.000
280,1,49,281.00,2020-10-07,1,1,2026-08-24T00:00:00.000
281,344,465,282.00,2020-10-08,1,1,2026-08-24T00:00:00.000
282,36,168,283.00,2020-10-09,1,1,2026-08-24T00:00:00.000
283,137,38,284.00,2020-10-10,1,1,2026-08-24T00:00:00.000
284,313,171,285.00,2020-10-11,1,1,2026-08-24T00:00:00.000
285,200,222,286.00,2020-10-12,1,1,2026-08-24T00:00:00.000
286,355,447,287.00,2020-10-13,1,1,2026-08-24T00:00:00.000
287,158,443,288.00,2020-10-14,1,1,2026-08-24T00:00:00.000
288,131,164,289.00,2020-10-15,1,1,2026-08-24T00:00:00.000
289,422,388,290.00,2020-10-16,1,1,2026-08-24T00:00:00.000
290,67,276,291.00,2020-10-17,1,1,2026-08-24T00:00:00.000
291,166,340,292.00,2020-10-18,1,1,2026-08-24T00:00:00.000
292,143,344,293.00,2020-10-19,1,1,2026-08-24T00:00:00.000
293,261,418,294.00,2020-10-20,1,1,2026-08-24T00:00:00.000
294,194,309,295.00,2020-10-21,1,1,2026-08-24T00:00:00.000
295,79,214,296.00,2020-10-22,1,1,2026-08-24T00:00:00.000
296,158,308,297.00,2020-10-23,1,1,2026-08-24T00:00:00.000
297,369,452,298.00,2020-10-24,1,1,2026-08-24T00:00:00.000
298,467,411,299.00,2020-10-25,1,1,2026-08-24T00:00:00.000
299,139,336,300.00,2020-10-26,1,1,2026-08-24T00:00:00.000
300,34,414,301.00,2020-10-27,1,1,2026-08-24T00:00:00.000
301,103,221,302.00,2020-10-28,1,1,2026-08-24T00:00:00.000
302,394,474,303.00,2020-10-29,1,1,2026-08-24T00:00:00.000
303,220,341,304.00,2020-10-30,1,1,2026-08-24T00:00:00.000
304,52,313,305.00,2020-10-31,1,1,2026-08-24T00:00:00.000
305,376,438,306.00,2020-11-01,1,1,2026-08-24T00:00:00.000
306,49,257,307.00,2020-11-02,1,1,2026-08-24T00:00:00.000
307,400,372,308.00,2020-11-03,1,1,2026-08-24T00:00:00.000
308,380,109,309.00,2020-11-04,1,1,2026-08-24T00:00:00.000
309,323,149,310.00,2020-11-05,1,1,2026-08-24T00:00:00.000
310,450,413,311.00,2020-11-06,1,1,2026-08-24T00:00:00.000
311,252,53,312.00,2020-11-07,1,1,2026-08-24T00:00:00.000
312,132,9,313.00,2020-11-08,1,1,2026-08-24T00:00:00.000
313,421,355,314.00,2020-11-09,1,1,2026-08-24T00:00:00.000
314,497,48,315.00,2020-11-10,1,1,2026-08-24T00:00:00.000
315,145,362,316.00,2020-11-11,1,1,2026-08-24T00:00:00.000
316,301,317,317.00,2020-11-12,1,1,2026-08-24T00:00:00.000
317,15,87,318.00,2020-11-13,1,1,2026-08-24T00:00:00.000
318,350,356,319.00,2020-11-14,1,1,2026-08-24T00:00:00.000
319,473,328,320.00,2020-11-15,1,1,2026-08-24T00:00:00.000
320,87,113,321.00,2020-11-16,1,1,2026-08-24T00:00:00.000
321,260,358,322.00,2020-11-17,1,1,2026-08-24T00:00:00.000
322,352,137,323.00,2020-11-18,1,1,2026-08-24T00:00:00.000
323,168,82,324.00,2020-11-19,1,1,2026-08-24T00:00:00.000
324,426,134,325.00,2020-11-20,1,1,2026-08-24T00:00:00.000
325,70,127,326.00,2020-11-21,1,1,2026-08-24T00:00:00.000
326,148,493,327.00,2020-11-22,1,1,2026-08-24T00:00:00.000
327,1,307,328.00,2020-11-23,1,1,2026-08-24T00:00:00.000
328,46,25,329.00,2020-11-24,1,1,2026-08-24T00:00:00.000
329,170,330,330.00,2020-11-25,1,1,2026-08-24T00:00:00.000
330,331,24,331.00,2020-11-26,1,1,2026-08-24T00:00:00.000
331,442,474,332.00,2020-11-27,1,1,2026-08-24T00:00:00.000
332,100,391,333.00,2020-11-28,1,1,2026-08-24T00:00:00.000
333,441,129,334.00,2020-11-29,1,1,2026-08-24T00:00:00.000
334,454,152,335.00,2020-11-30,1,1,2026-08-24T00:00:00.000
335,76,2,336.00,2020-12-01,1,1,2026-08-24T00:00:00.000
336,377,404,337.00,2020-12-02,1,1,2026-08-24T00:00:00.000
337,122,15,338.00,2020-12-03,1,1,2026-08-24T00:00:00.000
338,79,336,339.00,2020-12-04,1,1,2026-08-24T00:00:00.000
339,332,300,340.00,2020-12-05,1,1,2026-08-24T00:00:00.000
340,301,388,341.00,2020-12-06,1,1,2026-08-24T00:00:00.000
341,200,272,342.00,2020-12-07,1,1,2026-08-24T00:00:00.000
342,254,424,343.00,2020-12-08,1,1,2026-08-24T00:00:00.000
343,420,425,344.00,2020-12-09,1,1,2026-08-24T00:00:00.000
344,257,104,345.00,2020-12-10,1,1,2026-08-24T00:00:00.000
345,10,288,346.00,2020-12-11,1,1,2026-08-24T00:00:00.000
346,91,66,347.00,2020-12-12,1,1,2026-08-24T00:00:00.000
347,156,489,348.00,2020-12-13,1,1,2026-08-24T00:00:00.000
348,288,380,349.00,2020-12-14,1,1,2026-08-24T00:00:00.000
349,458,139,350.00,2020-12-15,1,1,2026-08-24T00:00:00.000
350,409,141,351.00,2020-12-16,1,1,2026-08-24T00:00:00.000
351,304,209,352.00,2020-12-17,1,1,2026-08-24T00:00:00.000
352,124,75,353.00,2020-12-18,1,1,2026-08-24T00:00:00.000
353,62,320,354.00,2020-12-19,1,1,2026-08-24T00:00:00.000
354,205,360,355.00,2020-12-20,1,1,2026-08-24T00:00:00.000
355,130,67,356.00,2020-12-21,1,1,2026-08-24T00:00:00.000
356,369,436,357.00,2020-12-22,1,1,2026-08-24T00:00:00.000
357,148,320,358.00,2020-12-23,1,1,2026-08-24T00:00:00.000
358,410,195,359.00,2020-12-24,1,1,2026-08-24T00:00:00.000
359,359,437,360.00,2020-12-25,1,1,2026-08-24T00:00:00.000
360,128,482,361.00,2020-12-26,1,1,2026-08-24T00:00:00.000
361,238,267,362.00,2020-12-27,1,1,2026-08-24T00:00:00.000
362,35,415,363.00,2020-12-28,1,1,2026-08-24T00:00:00.000
363,321,351,364.00,2020-12-29,1,1,2026-08-24T00:00:00.000
364,204,490,365.00,2020-12-30,1,1,2026-08-24T00:00:00.000
365,175,195,366.00,2020-12-31,1,1,2026-08-24T00:00:00.000
366,397,465,367.00,2021-01-01,1,1,2026-08-24T00:00:00.000
367,347,446,368.00,2021-01-02,1,1,2026-08-24T00:00:00.000
368,447,188,369.00,2021-01-03,1,1,2026-08-24T00:00:00.000
369,181,390,370.00,2021-01-04,1,1,2026-08-24T00:00:00.000
370,258,364,371.00,2021-01-05,1,1,2026-08-24T00:00:00.000
371,404,425,372.00,2021-01-06,1,1,2026-08-24T00:00:00.000
372,274,351,373.00,2021-01-07,1,1,2026-08-24T00:00:00.000
373,168,124,374.00,2021-01-08,1,1,2026-08-24T00:00:00.000
374,172,248,375.00,2021-01-09,1,1,2026-08-24T00:00:00.000
375,187,243,376.00,2021-01-10,1,1,2026-08-24T00:00:00.000
376,356,363,377.00,2021-01-11,1,1,2026-08-24T00:00:00.000
377,323,127,378.00,2021-01-12,1,1,2026-08-24T00:00:00.000
378,59,97,379.00,2021-01-13,1,1,2026-08-24T00:00:00.000
379,442,303,380.00,2021-01-14,1,1,2026-08-24T00:00:00.000
380,450,37,381.00,2021-01-15,1,1,2026-08-24T00:00:00.000
381,118,321,382.00,2021-01-16,1,1,2026-08-24T00:00:00.000
382,17,433,383.00,2021-01-17,1,1,2026-08-24T00:00:00.000
383,35,433,384.00,2021-01-18,1,1,2026-08-24T00:00:00.000
