QualityGaugeCharacteristicKey,QualityGaugeKey,QualityInspectionCharacteristicKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
110,284,384,110,160.700000,0.0110,1,1,2026-08-24T00:00:00.000
111,220,477,111,162.070000,0.0111,1,1,2026-08-24T00:00:00.000
112,102,41,112,163.440000,0.0112,1,1,2026-08-24T00:00:00.000
113,493,112,113,164.810000,0.0113,1,1,2026-08-24T00:00:00.000
114,353,251,114,166.180000,0.0114,1,1,2026-08-24T00:00:00.000
115,92,305,115,167.550000,0.0115,1,1,2026-08-24T00:00:00.000
116,450,305,116,168.920000,0.0116,1,1,2026-08-24T00:00:00.000
117,77,52,117,170.290000,0.0117,1,1,2026-08-24T00:00:00.000
118,185,212,118,171.660000,0.0118,1,1,2026-08-24T00:00:00.000
119,192,491,119,173.030000,0.0119,1,1,2026-08-24T00:00:00.000
120,205,171,120,174.400000,0.0120,1,1,2026-08-24T00:00:00.000
121,204,344,121,175.770000,0.0121,1,1,2026-08-24T00:00:00.000
122,373,384,122,177.140000,0.0122,1,1,2026-08-24T00:00:00.000
123,19,251,123,178.510000,0.0123,1,1,2026-08-24T00:00:00.000
124,27,149,124,179.880000,0.0124,1,1,2026-08-24T00:00:00.000
125,134,376,125,181.250000,0.0125,1,1,2026-08-24T00:00:00.000
126,356,491,126,182.620000,0.0126,1,1,2026-08-24T00:00:00.000
127,2,333,127,183.990000,0.0127,1,1,2026-08-24T00:00:00.000
128,281,437,128,185.360000,0.0128,1,1,2026-08-24T00:00:00.000
129,108,153,129,186.730000,0.0129,1,1,2026-08-24T00:00:00.000
130,44,130,130,188.100000,0.0130,1,1,2026-08-24T00:00:00.000
131,204,249,131,189.470000,0.0131,1,1,2026-08-24T00:00:00.000
132,364,293,132,190.840000,0.0132,1,1,2026-08-24T00:00:00.000
133,66,241,133,192.210000,0.0133,1,1,2026-08-24T00:00:00.000
134,376,268,134,193.580000,0.0134,1,1,2026-08-24T00:00:00.000
135,59,394,135,194.950000,0.0135,1,1,2026-08-24T00:00:00.000
136,99,107,136,196.320000,0.0136,1,1,2026-08-24T00:00:00.000
137,407,263,137,197.690000,0.0137,1,1,2026-08-24T00:00:00.000
138,229,72,138,199.060000,0.0138,1,1,2026-08-24T00:00:00.000
139,181,67,139,200.430000,0.0139,1,1,2026-08-24T00:00:00.000
140,442,226,140,201.800000,0.0140,1,1,2026-08-24T00:00:00.000
141,267,488,141,203.170000,0.0141,1,1,2026-08-24T00:00:00.000
142,224,488,142,204.540000,0.0142,1,1,2026-08-24T00:00:00.000
143,306,27,143,205.910000,0.0143,1,1,2026-08-24T00:00:00.000
144,242,130,144,207.280000,0.0144,1,1,2026-08-24T00:00:00.000
145,110,422,145,208.650000,0.0145,1,1,2026-08-24T00:00:00.000
146,83,27,146,210.020000,0.0146,1,1,2026-08-24T00:00:00.000
147,61,180,147,211.390000,0.0147,1,1,2026-08-24T00:00:00.000
148,487,279,148,212.760000,0.0148,1,1,2026-08-24T00:00:00.000
149,223,320,149,214.130000,0.0149,1,1,2026-08-24T00:00:00.000
150,402,167,150,215.500000,0.0150,1,1,2026-08-24T00:00:00.000
151,500,241,151,216.870000,0.0151,1,1,2026-08-24T00:00:00.000
152,156,442,152,218.240000,0.0152,1,1,2026-08-24T00:00:00.000
153,199,377,153,219.610000,0.0153,1,1,2026-08-24T00:00:00.000
154,175,201,154,220.980000,0.0154,1,1,2026-08-24T00:00:00.000
155,25,255,155,222.350000,0.0155,1,1,2026-08-24T00:00:00.000
156,301,51,156,223.720000,0.0156,1,1,2026-08-24T00:00:00.000
157,286,163,157,225.090000,0.0157,1,1,2026-08-24T00:00:00.000
158,23,90,158,226.460000,0.0158,1,1,2026-08-24T00:00:00.000
159,430,65,159,227.830000,0.0159,1,1,2026-08-24T00:00:00.000
160,37,54,160,229.200000,0.0160,1,1,2026-08-24T00:00:00.000
161,11,204,161,230.570000,0.0161,1,1,2026-08-24T00:00:00.000
162,7,290,162,231.940000,0.0162,1,1,2026-08-24T00:00:00.000
163,474,378,163,233.310000,0.0163,1,1,2026-08-24T00:00:00.000
164,94,4,164,234.680000,0.0164,1,1,2026-08-24T00:00:00.000
165,90,261,165,236.050000,0.0165,1,1,2026-08-24T00:00:00.000
166,223,187,166,237.420000,0.0166,1,1,2026-08-24T00:00:00.000
167,369,59,167,238.790000,0.0167,1,1,2026-08-24T00:00:00.000
168,493,379,168,240.160000,0.0168,1,1,2026-08-24T00:00:00.000
169,235,267,169,241.530000,0.0169,1,1,2026-08-24T00:00:00.000
170,495,25,170,242.900000,0.0170,1,1,2026-08-24T00:00:00.000
171,130,266,171,244.270000,0.0171,1,1,2026-08-24T00:00:00.000
172,213,449,172,245.640000,0.0172,1,1,2026-08-24T00:00:00.000
173,487,359,173,247.010000,0.0173,1,1,2026-08-24T00:00:00.000
174,303,113,174,248.380000,0.0174,1,1,2026-08-24T00:00:00.000
175,25,364,175,249.750000,0.0175,1,1,2026-08-24T00:00:00.000
176,335,27,176,251.120000,0.0176,1,1,2026-08-24T00:00:00.000
177,378,169,177,252.490000,0.0177,1,1,2026-08-24T00:00:00.000
178,194,216,178,253.860000,0.0178,1,1,2026-08-24T00:00:00.000
179,259,249,179,255.230000,0.0179,1,1,2026-08-24T00:00:00.000
180,276,127,180,256.600000,0.0180,1,1,2026-08-24T00:00:00.000
181,470,104,181,257.970000,0.0181,1,1,2026-08-24T00:00:00.000
182,287,199,182,259.340000,0.0182,1,1,2026-08-24T00:00:00.000
183,370,81,183,260.710000,0.0183,1,1,2026-08-24T00:00:00.000
184,193,82,184,262.080000,0.0184,1,1,2026-08-24T00:00:00.000
185,257,301,185,263.450000,0.0185,1,1,2026-08-24T00:00:00.000
186,109,48,186,264.820000,0.0186,1,1,2026-08-24T00:00:00.000
187,430,494,187,266.190000,0.0187,1,1,2026-08-24T00:00:00.000
188,375,73,188,267.560000,0.0188,1,1,2026-08-24T00:00:00.000
189,81,479,189,268.930000,0.0189,1,1,2026-08-24T00:00:00.000
190,222,91,190,270.300000,0.0190,1,1,2026-08-24T00:00:00.000
191,412,218,191,271.670000,0.0191,1,1,2026-08-24T00:00:00.000
192,53,437,192,273.040000,0.0192,1,1,2026-08-24T00:00:00.000
193,253,254,193,274.410000,0.0193,1,1,2026-08-24T00:00:00.000
194,446,77,194,275.780000,0.0194,1,1,2026-08-24T00:00:00.000
195,282,118,195,277.150000,0.0195,1,1,2026-08-24T00:00:00.000
196,395,483,196,278.520000,0.0196,1,1,2026-08-24T00:00:00.000
197,250,332,197,279.890000,0.0197,1,1,2026-08-24T00:00:00.000
198,247,276,198,281.260000,0.0198,1,1,2026-08-24T00:00:00.000
199,22,82,199,282.630000,0.0199,1,1,2026-08-24T00:00:00.000
200,299,23,200,284.000000,0.0200,1,1,2026-08-24T00:00:00.000
201,414,100,201,285.370000,0.0201,1,1,2026-08-24T00:00:00.000
202,218,363,202,286.740000,0.0202,1,1,2026-08-24T00:00:00.000
203,301,387,203,288.110000,0.0203,1,1,2026-08-24T00:00:00.000
204,407,206,204,289.480000,0.0204,1,1,2026-08-24T00:00:00.000
205,430,358,205,290.850000,0.0205,1,1,2026-08-24T00:00:00.000
206,73,177,206,292.220000,0.0206,1,1,2026-08-24T00:00:00.000
207,266,306,207,293.590000,0.0207,1,1,2026-08-24T00:00:00.000
208,425,412,208,294.960000,0.0208,1,1,2026-08-24T00:00:00.000
209,297,304,209,296.330000,0.0209,1,1,2026-08-24T00:00:00.000
210,481,414,210,297.700000,0.0210,1,1,2026-08-24T00:00:00.000
211,285,459,211,299.070000,0.0211,1,1,2026-08-24T00:00:00.000
212,12,435,212,300.440000,0.0212,1,1,2026-08-24T00:00:00.000
213,499,242,213,301.810000,0.0213,1,1,2026-08-24T00:00:00.000
214,272,63,214,303.180000,0.0214,1,1,2026-08-24T00:00:00.000
215,60,414,215,304.550000,0.0215,1,1,2026-08-24T00:00:00.000
216,345,292,216,305.920000,0.0216,1,1,2026-08-24T00:00:00.000
217,394,331,217,307.290000,0.0217,1,1,2026-08-24T00:00:00.000
218,302,149,218,308.660000,0.0218,1,1,2026-08-24T00:00:00.000
219,231,343,219,310.030000,0.0219,1,1,2026-08-24T00:00:00.000
220,145,164,220,311.400000,0.0220,1,1,2026-08-24T00:00:00.000
221,167,493,221,312.770000,0.0221,1,1,2026-08-24T00:00:00.000
222,338,408,222,314.140000,0.0222,1,1,2026-08-24T00:00:00.000
223,83,116,223,315.510000,0.0223,1,1,2026-08-24T00:00:00.000
224,271,332,224,316.880000,0.0224,1,1,2026-08-24T00:00:00.000
225,379,425,225,318.250000,0.0225,1,1,2026-08-24T00:00:00.000
226,230,200,226,319.620000,0.0226,1,1,2026-08-24T00:00:00.000
227,23,247,227,320.990000,0.0227,1,1,2026-08-24T00:00:00.000
228,269,268,228,322.360000,0.0228,1,1,2026-08-24T00:00:00.000
229,298,447,229,323.730000,0.0229,1,1,2026-08-24T00:00:00.000
230,5,79,230,325.100000,0.0230,1,1,2026-08-24T00:00:00.000
231,155,373,231,326.470000,0.0231,1,1,2026-08-24T00:00:00.000
232,301,284,232,327.840000,0.0232,1,1,2026-08-24T00:00:00.000
233,340,424,233,329.210000,0.0233,1,1,2026-08-24T00:00:00.000
234,451,231,234,330.580000,0.0234,1,1,2026-08-24T00:00:00.000
235,14,404,235,331.950000,0.0235,1,1,2026-08-24T00:00:00.000
236,70,187,236,333.320000,0.0236,1,1,2026-08-24T00:00:00.000
237,198,17,237,334.690000,0.0237,1,1,2026-08-24T00:00:00.000
238,334,419,238,336.060000,0.0238,1,1,2026-08-24T00:00:00.000
239,213,207,239,337.430000,0.0239,1,1,2026-08-24T00:00:00.000
240,324,174,240,338.800000,0.0240,1,1,2026-08-24T00:00:00.000
241,324,260,241,340.170000,0.0241,1,1,2026-08-24T00:00:00.000
242,390,10,242,341.540000,0.0242,1,1,2026-08-24T00:00:00.000
243,357,470,243,342.910000,0.0243,1,1,2026-08-24T00:00:00.000
244,214,317,244,344.280000,0.0244,1,1,2026-08-24T00:00:00.000
245,251,165,245,345.650000,0.0245,1,1,2026-08-24T00:00:00.000
246,285,500,246,347.020000,0.0246,1,1,2026-08-24T00:00:00.000
247,367,159,247,348.390000,0.0247,1,1,2026-08-24T00:00:00.000
248,367,406,248,349.760000,0.0248,1,1,2026-08-24T00:00:00.000
249,266,242,249,351.130000,0.0249,1,1,2026-08-24T00:00:00.000
250,108,64,250,352.500000,0.0250,1,1,2026-08-24T00:00:00.000
251,202,274,251,353.870000,0.0251,1,1,2026-08-24T00:00:00.000
252,61,27,252,355.240000,0.0252,1,1,2026-08-24T00:00:00.000
253,23,268,253,356.610000,0.0253,1,1,2026-08-24T00:00:00.000
254,119,210,254,357.980000,0.0254,1,1,2026-08-24T00:00:00.000
255,471,262,255,359.350000,0.0255,1,1,2026-08-24T00:00:00.000
256,124,212,256,360.720000,0.0256,1,1,2026-08-24T00:00:00.000
257,76,484,257,362.090000,0.0257,1,1,2026-08-24T00:00:00.000
258,36,476,258,363.460000,0.0258,1,1,2026-08-24T00:00:00.000
259,40,244,259,364.830000,0.0259,1,1,2026-08-24T00:00:00.000
260,497,459,260,366.200000,0.0260,1,1,2026-08-24T00:00:00.000
261,113,23,261,367.570000,0.0261,1,1,2026-08-24T00:00:00.000
262,479,489,262,368.940000,0.0262,1,1,2026-08-24T00:00:00.000
263,170,368,263,370.310000,0.0263,1,1,2026-08-24T00:00:00.000
264,387,50,264,371.680000,0.0264,1,1,2026-08-24T00:00:00.000
265,132,329,265,373.050000,0.0265,1,1,2026-08-24T00:00:00.000
266,279,495,266,374.420000,0.0266,1,1,2026-08-24T00:00:00.000
267,195,471,267,375.790000,0.0267,1,1,2026-08-24T00:00:00.000
268,44,317,268,377.160000,0.0268,1,1,2026-08-24T00:00:00.000
269,14,496,269,378.530000,0.0269,1,1,2026-08-24T00:00:00.000
270,440,500,270,379.900000,0.0270,1,1,2026-08-24T00:00:00.000
271,71,280,271,381.270000,0.0271,1,1,2026-08-24T00:00:00.000
272,236,238,272,382.640000,0.0272,1,1,2026-08-24T00:00:00.000
273,301,292,273,384.010000,0.0273,1,1,2026-08-24T00:00:00.000
274,43,110,274,385.380000,0.0274,1,1,2026-08-24T00:00:00.000
275,329,93,275,386.750000,0.0275,1,1,2026-08-24T00:00:00.000
276,194,431,276,388.120000,0.0276,1,1,2026-08-24T00:00:00.000
277,263,440,277,389.490000,0.0277,1,1,2026-08-24T00:00:00.000
278,160,437,278,390.860000,0.0278,1,1,2026-08-24T00:00:00.000
279,301,244,279,392.230000,0.0279,1,1,2026-08-24T00:00:00.000
280,472,211,280,393.600000,0.0280,1,1,2026-08-24T00:00:00.000
281,254,87,281,394.970000,0.0281,1,1,2026-08-24T00:00:00.000
282,118,393,282,396.340000,0.0282,1,1,2026-08-24T00:00:00.000
283,278,213,283,397.710000,0.0283,1,1,2026-08-24T00:00:00.000
284,239,23,284,399.080000,0.0284,1,1,2026-08-24T00:00:00.000
285,346,207,285,400.450000,0.0285,1,1,2026-08-24T00:00:00.000
286,431,390,286,401.820000,0.0286,1,1,2026-08-24T00:00:00.000
287,296,198,287,403.190000,0.0287,1,1,2026-08-24T00:00:00.000
288,408,3,288,404.560000,0.0288,1,1,2026-08-24T00:00:00.000
289,59,77,289,405.930000,0.0289,1,1,2026-08-24T00:00:00.000
290,426,163,290,407.300000,0.0290,1,1,2026-08-24T00:00:00.000
291,180,101,291,408.670000,0.0291,1,1,2026-08-24T00:00:00.000
292,482,94,292,410.040000,0.0292,1,1,2026-08-24T00:00:00.000
293,423,154,293,411.410000,0.0293,1,1,2026-08-24T00:00:00.000
294,223,200,294,412.780000,0.0294,1,1,2026-08-24T00:00:00.000
295,90,405,295,414.150000,0.0295,1,1,2026-08-24T00:00:00.000
296,331,390,296,415.520000,0.0296,1,1,2026-08-24T00:00:00.000
297,392,344,297,416.890000,0.0297,1,1,2026-08-24T00:00:00.000
298,329,254,298,418.260000,0.0298,1,1,2026-08-24T00:00:00.000
299,43,166,299,419.630000,0.0299,1,1,2026-08-24T00:00:00.000
300,468,391,300,421.000000,0.0300,1,1,2026-08-24T00:00:00.000
301,74,41,301,422.370000,0.0301,1,1,2026-08-24T00:00:00.000
302,481,41,302,423.740000,0.0302,1,1,2026-08-24T00:00:00.000
303,383,430,303,425.110000,0.0303,1,1,2026-08-24T00:00:00.000
304,394,168,304,426.480000,0.0304,1,1,2026-08-24T00:00:00.000
305,450,55,305,427.850000,0.0305,1,1,2026-08-24T00:00:00.000
306,130,133,306,429.220000,0.0306,1,1,2026-08-24T00:00:00.000
307,53,15,307,430.590000,0.0307,1,1,2026-08-24T00:00:00.000
308,409,333,308,431.960000,0.0308,1,1,2026-08-24T00:00:00.000
309,373,92,309,433.330000,0.0309,1,1,2026-08-24T00:00:00.000
310,216,3,310,434.700000,0.0310,1,1,2026-08-24T00:00:00.000
311,368,184,311,436.070000,0.0311,1,1,2026-08-24T00:00:00.000
312,268,396,312,437.440000,0.0312,1,1,2026-08-24T00:00:00.000
313,434,130,313,438.810000,0.0313,1,1,2026-08-24T00:00:00.000
314,34,429,314,440.180000,0.0314,1,1,2026-08-24T00:00:00.000
315,2,337,315,441.550000,0.0315,1,1,2026-08-24T00:00:00.000
316,472,26,316,442.920000,0.0316,1,1,2026-08-24T00:00:00.000
317,374,141,317,444.290000,0.0317,1,1,2026-08-24T00:00:00.000
318,331,191,318,445.660000,0.0318,1,1,2026-08-24T00:00:00.000
319,275,230,319,447.030000,0.0319,1,1,2026-08-24T00:00:00.000
320,400,355,320,448.400000,0.0320,1,1,2026-08-24T00:00:00.000
321,14,222,321,449.770000,0.0321,1,1,2026-08-24T00:00:00.000
322,160,76,322,451.140000,0.0322,1,1,2026-08-24T00:00:00.000
323,161,386,323,452.510000,0.0323,1,1,2026-08-24T00:00:00.000
324,62,202,324,453.880000,0.0324,1,1,2026-08-24T00:00:00.000
325,35,140,325,455.250000,0.0325,1,1,2026-08-24T00:00:00.000
326,488,36,326,456.620000,0.0326,1,1,2026-08-24T00:00:00.000
327,108,212,327,457.990000,0.0327,1,1,2026-08-24T00:00:00.000
328,351,444,328,459.360000,0.0328,1,1,2026-08-24T00:00:00.000
329,389,224,329,460.730000,0.0329,1,1,2026-08-24T00:00:00.000
330,215,362,330,462.100000,0.0330,1,1,2026-08-24T00:00:00.000
331,17,110,331,463.470000,0.0331,1,1,2026-08-24T00:00:00.000
332,287,403,332,464.840000,0.0332,1,1,2026-08-24T00:00:00.000
333,101,471,333,466.210000,0.0333,1,1,2026-08-24T00:00:00.000
334,496,382,334,467.580000,0.0334,1,1,2026-08-24T00:00:00.000
335,71,96,335,468.950000,0.0335,1,1,2026-08-24T00:00:00.000
336,346,382,336,470.320000,0.0336,1,1,2026-08-24T00:00:00.000
337,462,268,337,471.690000,0.0337,1,1,2026-08-24T00:00:00.000
338,244,473,338,473.060000,0.0338,1,1,2026-08-24T00:00:00.000
339,341,414,339,474.430000,0.0339,1,1,2026-08-24T00:00:00.000
340,353,490,340,475.800000,0.0340,1,1,2026-08-24T00:00:00.000
341,440,84,341,477.170000,0.0341,1,1,2026-08-24T00:00:00.000
342,488,217,342,478.540000,0.0342,1,1,2026-08-24T00:00:00.000
343,273,423,343,479.910000,0.0343,1,1,2026-08-24T00:00:00.000
344,468,140,344,481.280000,0.0344,1,1,2026-08-24T00:00:00.000
345,349,358,345,482.650000,0.0345,1,1,2026-08-24T00:00:00.000
346,139,305,346,484.020000,0.0346,1,1,2026-08-24T00:00:00.000
347,496,366,347,485.390000,0.0347,1,1,2026-08-24T00:00:00.000
348,23,230,348,486.760000,0.0348,1,1,2026-08-24T00:00:00.000
349,161,274,349,488.130000,0.0349,1,1,2026-08-24T00:00:00.000
350,297,443,350,489.500000,0.0350,1,1,2026-08-24T00:00:00.000
351,405,6,351,490.870000,0.0351,1,1,2026-08-24T00:00:00.000
352,163,15,352,492.240000,0.0352,1,1,2026-08-24T00:00:00.000
353,442,184,353,493.610000,0.0353,1,1,2026-08-24T00:00:00.000
354,337,353,354,494.980000,0.0354,1,1,2026-08-24T00:00:00.000
355,412,117,355,496.350000,0.0355,1,1,2026-08-24T00:00:00.000
356,121,418,356,497.720000,0.0356,1,1,2026-08-24T00:00:00.000
357,128,153,357,499.090000,0.0357,1,1,2026-08-24T00:00:00.000
358,206,213,358,500.460000,0.0358,1,1,2026-08-24T00:00:00.000
359,8,34,359,501.830000,0.0359,1,1,2026-08-24T00:00:00.000
360,44,259,360,503.200000,0.0360,1,1,2026-08-24T00:00:00.000
361,15,469,361,504.570000,0.0361,1,1,2026-08-24T00:00:00.000
362,260,374,362,505.940000,0.0362,1,1,2026-08-24T00:00:00.000
363,429,262,363,507.310000,0.0363,1,1,2026-08-24T00:00:00.000
364,166,485,364,508.680000,0.0364,1,1,2026-08-24T00:00:00.000
365,133,108,365,510.050000,0.0365,1,1,2026-08-24T00:00:00.000
366,329,92,366,511.420000,0.0366,1,1,2026-08-24T00:00:00.000
367,68,124,367,512.790000,0.0367,1,1,2026-08-24T00:00:00.000
368,406,328,368,514.160000,0.0368,1,1,2026-08-24T00:00:00.000
369,272,363,369,515.530000,0.0369,1,1,2026-08-24T00:00:00.000
370,297,87,370,516.900000,0.0370,1,1,2026-08-24T00:00:00.000
371,94,388,371,518.270000,0.0371,1,1,2026-08-24T00:00:00.000
372,180,9,372,519.640000,0.0372,1,1,2026-08-24T00:00:00.000
