QualityInspectionPlanCharacteristicKey,QualityInspectionPlanKey,QualityInspectionCharacteristicKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
28,76,291,28,48.360000,0.0028,1,1,2026-08-24T00:00:00.000
29,335,461,29,49.730000,0.0029,1,1,2026-08-24T00:00:00.000
30,248,118,30,51.100000,0.0030,1,1,2026-08-24T00:00:00.000
31,353,264,31,52.470000,0.0031,1,1,2026-08-24T00:00:00.000
32,293,421,32,53.840000,0.0032,1,1,2026-08-24T00:00:00.000
33,272,168,33,55.210000,0.0033,1,1,2026-08-24T00:00:00.000
34,357,211,34,56.580000,0.0034,1,1,2026-08-24T00:00:00.000
35,247,427,35,57.950000,0.0035,1,1,2026-08-24T00:00:00.000
36,288,498,36,59.320000,0.0036,1,1,2026-08-24T00:00:00.000
37,440,105,37,60.690000,0.0037,1,1,2026-08-24T00:00:00.000
38,146,456,38,62.060000,0.0038,1,1,2026-08-24T00:00:00.000
39,373,451,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,175,443,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,107,425,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,179,413,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,70,380,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,194,204,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,342,384,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,374,87,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,380,345,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,229,106,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,34,282,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,52,10,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,433,368,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,33,168,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,176,451,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
54,119,206,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,220,334,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,497,342,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,57,56,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,372,455,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,222,278,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,7,258,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,290,228,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
62,159,461,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,418,148,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,264,151,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,418,49,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
66,56,188,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,197,412,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,395,16,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,498,294,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,277,169,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
71,176,225,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,267,422,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,137,123,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,78,361,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,447,333,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,240,241,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,193,441,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,117,342,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,40,286,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,123,125,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,116,97,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
82,382,229,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,481,154,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,241,452,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,384,202,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,133,388,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,379,158,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,116,376,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,250,349,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,440,496,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,180,73,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,20,489,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,376,232,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,62,353,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
95,164,331,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,47,361,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,337,360,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
98,441,242,98,144.260000,0.0098,1,1,2026-08-24T00:00:00.000
99,110,104,99,145.630000,0.0099,1,1,2026-08-24T00:00:00.000
100,495,488,100,147.000000,0.0100,1,1,2026-08-24T00:00:00.000
101,460,307,101,148.370000,0.0101,1,1,2026-08-24T00:00:00.000
102,248,232,102,149.740000,0.0102,1,1,2026-08-24T00:00:00.000
103,458,272,103,151.110000,0.0103,1,1,2026-08-24T00:00:00.000
104,203,209,104,152.480000,0.0104,1,1,2026-08-24T00:00:00.000
105,226,6,105,153.850000,0.0105,1,1,2026-08-24T00:00:00.000
106,161,397,106,155.220000,0.0106,1,1,2026-08-24T00:00:00.000
107,174,45,107,156.590000,0.0107,1,1,2026-08-24T00:00:00.000
108,95,85,108,157.960000,0.0108,1,1,2026-08-24T00:00:00.000
109,296,448,109,159.330000,0.0109,1,1,2026-08-24T00:00:00.000
110,371,372,110,160.700000,0.0110,1,1,2026-08-24T00:00:00.000
111,449,77,111,162.070000,0.0111,1,1,2026-08-24T00:00:00.000
112,206,187,112,163.440000,0.0112,1,1,2026-08-24T00:00:00.000
113,317,249,113,164.810000,0.0113,1,1,2026-08-24T00:00:00.000
114,433,381,114,166.180000,0.0114,1,1,2026-08-24T00:00:00.000
115,391,247,115,167.550000,0.0115,1,1,2026-08-24T00:00:00.000
116,245,50,116,168.920000,0.0116,1,1,2026-08-24T00:00:00.000
117,458,470,117,170.290000,0.0117,1,1,2026-08-24T00:00:00.000
118,418,245,118,171.660000,0.0118,1,1,2026-08-24T00:00:00.000
119,399,78,119,173.030000,0.0119,1,1,2026-08-24T00:00:00.000
120,323,77,120,174.400000,0.0120,1,1,2026-08-24T00:00:00.000
121,460,442,121,175.770000,0.0121,1,1,2026-08-24T00:00:00.000
122,232,331,122,177.140000,0.0122,1,1,2026-08-24T00:00:00.000
123,249,51,123,178.510000,0.0123,1,1,2026-08-24T00:00:00.000
124,378,399,124,179.880000,0.0124,1,1,2026-08-24T00:00:00.000
125,104,38,125,181.250000,0.0125,1,1,2026-08-24T00:00:00.000
126,170,53,126,182.620000,0.0126,1,1,2026-08-24T00:00:00.000
127,488,103,127,183.990000,0.0127,1,1,2026-08-24T00:00:00.000
128,285,53,128,185.360000,0.0128,1,1,2026-08-24T00:00:00.000
129,65,340,129,186.730000,0.0129,1,1,2026-08-24T00:00:00.000
130,398,88,130,188.100000,0.0130,1,1,2026-08-24T00:00:00.000
131,328,59,131,189.470000,0.0131,1,1,2026-08-24T00:00:00.000
132,353,49,132,190.840000,0.0132,1,1,2026-08-24T00:00:00.000
133,120,143,133,192.210000,0.0133,1,1,2026-08-24T00:00:00.000
134,278,241,134,193.580000,0.0134,1,1,2026-08-24T00:00:00.000
135,182,489,135,194.950000,0.0135,1,1,2026-08-24T00:00:00.000
136,296,231,136,196.320000,0.0136,1,1,2026-08-24T00:00:00.000
137,245,49,137,197.690000,0.0137,1,1,2026-08-24T00:00:00.000
138,97,440,138,199.060000,0.0138,1,1,2026-08-24T00:00:00.000
139,365,171,139,200.430000,0.0139,1,1,2026-08-24T00:00:00.000
140,123,489,140,201.800000,0.0140,1,1,2026-08-24T00:00:00.000
141,8,199,141,203.170000,0.0141,1,1,2026-08-24T00:00:00.000
142,385,279,142,204.540000,0.0142,1,1,2026-08-24T00:00:00.000
143,438,255,143,205.910000,0.0143,1,1,2026-08-24T00:00:00.000
144,268,343,144,207.280000,0.0144,1,1,2026-08-24T00:00:00.000
145,162,51,145,208.650000,0.0145,1,1,2026-08-24T00:00:00.000
146,234,113,146,210.020000,0.0146,1,1,2026-08-24T00:00:00.000
147,242,96,147,211.390000,0.0147,1,1,2026-08-24T00:00:00.000
148,261,489,148,212.760000,0.0148,1,1,2026-08-24T00:00:00.000
149,476,80,149,214.130000,0.0149,1,1,2026-08-24T00:00:00.000
150,126,439,150,215.500000,0.0150,1,1,2026-08-24T00:00:00.000
151,100,206,151,216.870000,0.0151,1,1,2026-08-24T00:00:00.000
152,477,121,152,218.240000,0.0152,1,1,2026-08-24T00:00:00.000
153,144,362,153,219.610000,0.0153,1,1,2026-08-24T00:00:00.000
154,248,26,154,220.980000,0.0154,1,1,2026-08-24T00:00:00.000
155,66,30,155,222.350000,0.0155,1,1,2026-08-24T00:00:00.000
156,247,256,156,223.720000,0.0156,1,1,2026-08-24T00:00:00.000
157,248,242,157,225.090000,0.0157,1,1,2026-08-24T00:00:00.000
158,482,456,158,226.460000,0.0158,1,1,2026-08-24T00:00:00.000
159,364,479,159,227.830000,0.0159,1,1,2026-08-24T00:00:00.000
160,403,284,160,229.200000,0.0160,1,1,2026-08-24T00:00:00.000
161,486,50,161,230.570000,0.0161,1,1,2026-08-24T00:00:00.000
162,330,300,162,231.940000,0.0162,1,1,2026-08-24T00:00:00.000
163,247,82,163,233.310000,0.0163,1,1,2026-08-24T00:00:00.000
164,184,233,164,234.680000,0.0164,1,1,2026-08-24T00:00:00.000
165,243,458,165,236.050000,0.0165,1,1,2026-08-24T00:00:00.000
166,371,176,166,237.420000,0.0166,1,1,2026-08-24T00:00:00.000
167,322,188,167,238.790000,0.0167,1,1,2026-08-24T00:00:00.000
168,394,85,168,240.160000,0.0168,1,1,2026-08-24T00:00:00.000
169,476,487,169,241.530000,0.0169,1,1,2026-08-24T00:00:00.000
170,92,99,170,242.900000,0.0170,1,1,2026-08-24T00:00:00.000
171,15,172,171,244.270000,0.0171,1,1,2026-08-24T00:00:00.000
172,7,52,172,245.640000,0.0172,1,1,2026-08-24T00:00:00.000
173,67,79,173,247.010000,0.0173,1,1,2026-08-24T00:00:00.000
174,241,336,174,248.380000,0.0174,1,1,2026-08-24T00:00:00.000
175,6,144,175,249.750000,0.0175,1,1,2026-08-24T00:00:00.000
176,349,245,176,251.120000,0.0176,1,1,2026-08-24T00:00:00.000
177,212,305,177,252.490000,0.0177,1,1,2026-08-24T00:00:00.000
178,65,34,178,253.860000,0.0178,1,1,2026-08-24T00:00:00.000
179,206,106,179,255.230000,0.0179,1,1,2026-08-24T00:00:00.000
180,465,43,180,256.600000,0.0180,1,1,2026-08-24T00:00:00.000
181,481,465,181,257.970000,0.0181,1,1,2026-08-24T00:00:00.000
182,73,293,182,259.340000,0.0182,1,1,2026-08-24T00:00:00.000
183,361,103,183,260.710000,0.0183,1,1,2026-08-24T00:00:00.000
184,79,116,184,262.080000,0.0184,1,1,2026-08-24T00:00:00.000
185,130,67,185,263.450000,0.0185,1,1,2026-08-24T00:00:00.000
186,342,476,186,264.820000,0.0186,1,1,2026-08-24T00:00:00.000
187,479,431,187,266.190000,0.0187,1,1,2026-08-24T00:00:00.000
188,158,15,188,267.560000,0.0188,1,1,2026-08-24T00:00:00.000
189,353,341,189,268.930000,0.0189,1,1,2026-08-24T00:00:00.000
190,305,240,190,270.300000,0.0190,1,1,2026-08-24T00:00:00.000
191,60,403,191,271.670000,0.0191,1,1,2026-08-24T00:00:00.000
192,78,345,192,273.040000,0.0192,1,1,2026-08-24T00:00:00.000
193,269,242,193,274.410000,0.0193,1,1,2026-08-24T00:00:00.000
194,154,29,194,275.780000,0.0194,1,1,2026-08-24T00:00:00.000
195,312,285,195,277.150000,0.0195,1,1,2026-08-24T00:00:00.000
196,460,279,196,278.520000,0.0196,1,1,2026-08-24T00:00:00.000
197,195,255,197,279.890000,0.0197,1,1,2026-08-24T00:00:00.000
198,343,290,198,281.260000,0.0198,1,1,2026-08-24T00:00:00.000
199,224,359,199,282.630000,0.0199,1,1,2026-08-24T00:00:00.000
200,386,363,200,284.000000,0.0200,1,1,2026-08-24T00:00:00.000
201,391,260,201,285.370000,0.0201,1,1,2026-08-24T00:00:00.000
202,346,246,202,286.740000,0.0202,1,1,2026-08-24T00:00:00.000
203,193,276,203,288.110000,0.0203,1,1,2026-08-24T00:00:00.000
204,350,201,204,289.480000,0.0204,1,1,2026-08-24T00:00:00.000
205,324,124,205,290.850000,0.0205,1,1,2026-08-24T00:00:00.000
206,407,310,206,292.220000,0.0206,1,1,2026-08-24T00:00:00.000
207,290,7,207,293.590000,0.0207,1,1,2026-08-24T00:00:00.000
208,284,89,208,294.960000,0.0208,1,1,2026-08-24T00:00:00.000
209,3,168,209,296.330000,0.0209,1,1,2026-08-24T00:00:00.000
210,480,158,210,297.700000,0.0210,1,1,2026-08-24T00:00:00.000
211,226,151,211,299.070000,0.0211,1,1,2026-08-24T00:00:00.000
212,364,455,212,300.440000,0.0212,1,1,2026-08-24T00:00:00.000
213,200,453,213,301.810000,0.0213,1,1,2026-08-24T00:00:00.000
214,230,131,214,303.180000,0.0214,1,1,2026-08-24T00:00:00.000
215,322,204,215,304.550000,0.0215,1,1,2026-08-24T00:00:00.000
216,359,282,216,305.920000,0.0216,1,1,2026-08-24T00:00:00.000
217,150,392,217,307.290000,0.0217,1,1,2026-08-24T00:00:00.000
218,84,226,218,308.660000,0.0218,1,1,2026-08-24T00:00:00.000
219,210,256,219,310.030000,0.0219,1,1,2026-08-24T00:00:00.000
220,103,310,220,311.400000,0.0220,1,1,2026-08-24T00:00:00.000
221,331,269,221,312.770000,0.0221,1,1,2026-08-24T00:00:00.000
222,292,420,222,314.140000,0.0222,1,1,2026-08-24T00:00:00.000
223,16,125,223,315.510000,0.0223,1,1,2026-08-24T00:00:00.000
224,115,425,224,316.880000,0.0224,1,1,2026-08-24T00:00:00.000
225,119,252,225,318.250000,0.0225,1,1,2026-08-24T00:00:00.000
226,318,250,226,319.620000,0.0226,1,1,2026-08-24T00:00:00.000
227,299,317,227,320.990000,0.0227,1,1,2026-08-24T00:00:00.000
228,361,295,228,322.360000,0.0228,1,1,2026-08-24T00:00:00.000
229,218,92,229,323.730000,0.0229,1,1,2026-08-24T00:00:00.000
230,225,358,230,325.100000,0.0230,1,1,2026-08-24T00:00:00.000
231,310,188,231,326.470000,0.0231,1,1,2026-08-24T00:00:00.000
232,102,370,232,327.840000,0.0232,1,1,2026-08-24T00:00:00.000
233,414,173,233,329.210000,0.0233,1,1,2026-08-24T00:00:00.000
234,242,344,234,330.580000,0.0234,1,1,2026-08-24T00:00:00.000
235,45,447,235,331.950000,0.0235,1,1,2026-08-24T00:00:00.000
236,150,298,236,333.320000,0.0236,1,1,2026-08-24T00:00:00.000
237,464,337,237,334.690000,0.0237,1,1,2026-08-24T00:00:00.000
238,498,46,238,336.060000,0.0238,1,1,2026-08-24T00:00:00.000
239,448,342,239,337.430000,0.0239,1,1,2026-08-24T00:00:00.000
240,350,310,240,338.800000,0.0240,1,1,2026-08-24T00:00:00.000
241,11,301,241,340.170000,0.0241,1,1,2026-08-24T00:00:00.000
242,186,87,242,341.540000,0.0242,1,1,2026-08-24T00:00:00.000
243,73,211,243,342.910000,0.0243,1,1,2026-08-24T00:00:00.000
244,80,324,244,344.280000,0.0244,1,1,2026-08-24T00:00:00.000
245,350,31,245,345.650000,0.0245,1,1,2026-08-24T00:00:00.000
246,230,332,246,347.020000,0.0246,1,1,2026-08-24T00:00:00.000
247,53,18,247,348.390000,0.0247,1,1,2026-08-24T00:00:00.000
248,429,331,248,349.760000,0.0248,1,1,2026-08-24T00:00:00.000
249,334,125,249,351.130000,0.0249,1,1,2026-08-24T00:00:00.000
250,235,429,250,352.500000,0.0250,1,1,2026-08-24T00:00:00.000
251,471,34,251,353.870000,0.0251,1,1,2026-08-24T00:00:00.000
252,362,289,252,355.240000,0.0252,1,1,2026-08-24T00:00:00.000
253,341,56,253,356.610000,0.0253,1,1,2026-08-24T00:00:00.000
254,446,118,254,357.980000,0.0254,1,1,2026-08-24T00:00:00.000
255,71,70,255,359.350000,0.0255,1,1,2026-08-24T00:00:00.000
256,427,365,256,360.720000,0.0256,1,1,2026-08-24T00:00:00.000
257,198,264,257,362.090000,0.0257,1,1,2026-08-24T00:00:00.000
258,35,358,258,363.460000,0.0258,1,1,2026-08-24T00:00:00.000
259,278,134,259,364.830000,0.0259,1,1,2026-08-24T00:00:00.000
260,440,99,260,366.200000,0.0260,1,1,2026-08-24T00:00:00.000
261,165,117,261,367.570000,0.0261,1,1,2026-08-24T00:00:00.000
262,452,455,262,368.940000,0.0262,1,1,2026-08-24T00:00:00.000
263,57,96,263,370.310000,0.0263,1,1,2026-08-24T00:00:00.000
264,469,481,264,371.680000,0.0264,1,1,2026-08-24T00:00:00.000
265,410,148,265,373.050000,0.0265,1,1,2026-08-24T00:00:00.000
266,361,420,266,374.420000,0.0266,1,1,2026-08-24T00:00:00.000
267,356,143,267,375.790000,0.0267,1,1,2026-08-24T00:00:00.000
268,244,369,268,377.160000,0.0268,1,1,2026-08-24T00:00:00.000
269,338,325,269,378.530000,0.0269,1,1,2026-08-24T00:00:00.000
270,259,107,270,379.900000,0.0270,1,1,2026-08-24T00:00:00.000
271,484,249,271,381.270000,0.0271,1,1,2026-08-24T00:00:00.000
272,259,451,272,382.640000,0.0272,1,1,2026-08-24T00:00:00.000
273,348,455,273,384.010000,0.0273,1,1,2026-08-24T00:00:00.000
274,342,83,274,385.380000,0.0274,1,1,2026-08-24T00:00:00.000
275,235,321,275,386.750000,0.0275,1,1,2026-08-24T00:00:00.000
276,47,61,276,388.120000,0.0276,1,1,2026-08-24T00:00:00.000
277,490,98,277,389.490000,0.0277,1,1,2026-08-24T00:00:00.000
278,399,23,278,390.860000,0.0278,1,1,2026-08-24T00:00:00.000
279,102,452,279,392.230000,0.0279,1,1,2026-08-24T00:00:00.000
280,194,115,280,393.600000,0.0280,1,1,2026-08-24T00:00:00.000
281,363,75,281,394.970000,0.0281,1,1,2026-08-24T00:00:00.000
282,283,195,282,396.340000,0.0282,1,1,2026-08-24T00:00:00.000
283,166,46,283,397.710000,0.0283,1,1,2026-08-24T00:00:00.000
284,203,177,284,399.080000,0.0284,1,1,2026-08-24T00:00:00.000
285,295,488,285,400.450000,0.0285,1,1,2026-08-24T00:00:00.000
286,101,45,286,401.820000,0.0286,1,1,2026-08-24T00:00:00.000
287,95,203,287,403.190000,0.0287,1,1,2026-08-24T00:00:00.000
288,68,400,288,404.560000,0.0288,1,1,2026-08-24T00:00:00.000
289,453,190,289,405.930000,0.0289,1,1,2026-08-24T00:00:00.000
290,164,258,290,407.300000,0.0290,1,1,2026-08-24T00:00:00.000
291,106,340,291,408.670000,0.0291,1,1,2026-08-24T00:00:00.000
292,211,181,292,410.040000,0.0292,1,1,2026-08-24T00:00:00.000
293,165,365,293,411.410000,0.0293,1,1,2026-08-24T00:00:00.000
294,365,479,294,412.780000,0.0294,1,1,2026-08-24T00:00:00.000
295,115,239,295,414.150000,0.0295,1,1,2026-08-24T00:00:00.000
296,355,136,296,415.520000,0.0296,1,1,2026-08-24T00:00:00.000
297,264,492,297,416.890000,0.0297,1,1,2026-08-24T00:00:00.000
298,327,76,298,418.260000,0.0298,1,1,2026-08-24T00:00:00.000
299,295,419,299,419.630000,0.0299,1,1,2026-08-24T00:00:00.000
300,397,482,300,421.000000,0.0300,1,1,2026-08-24T00:00:00.000
301,326,202,301,422.370000,0.0301,1,1,2026-08-24T00:00:00.000
302,488,458,302,423.740000,0.0302,1,1,2026-08-24T00:00:00.000
303,387,347,303,425.110000,0.0303,1,1,2026-08-24T00:00:00.000
304,269,199,304,426.480000,0.0304,1,1,2026-08-24T00:00:00.000
305,299,332,305,427.850000,0.0305,1,1,2026-08-24T00:00:00.000
306,413,72,306,429.220000,0.0306,1,1,2026-08-24T00:00:00.000
307,77,5,307,430.590000,0.0307,1,1,2026-08-24T00:00:00.000
308,417,215,308,431.960000,0.0308,1,1,2026-08-24T00:00:00.000
309,430,307,309,433.330000,0.0309,1,1,2026-08-24T00:00:00.000
310,463,147,310,434.700000,0.0310,1,1,2026-08-24T00:00:00.000
311,441,144,311,436.070000,0.0311,1,1,2026-08-24T00:00:00.000
312,61,325,312,437.440000,0.0312,1,1,2026-08-24T00:00:00.000
313,17,427,313,438.810000,0.0313,1,1,2026-08-24T00:00:00.000
314,190,2,314,440.180000,0.0314,1,1,2026-08-24T00:00:00.000
315,472,358,315,441.550000,0.0315,1,1,2026-08-24T00:00:00.000
316,154,16,316,442.920000,0.0316,1,1,2026-08-24T00:00:00.000
317,251,298,317,444.290000,0.0317,1,1,2026-08-24T00:00:00.000
318,342,107,318,445.660000,0.0318,1,1,2026-08-24T00:00:00.000
319,210,465,319,447.030000,0.0319,1,1,2026-08-24T00:00:00.000
320,309,316,320,448.400000,0.0320,1,1,2026-08-24T00:00:00.000
321,457,456,321,449.770000,0.0321,1,1,2026-08-24T00:00:00.000
322,316,89,322,451.140000,0.0322,1,1,2026-08-24T00:00:00.000
323,145,166,323,452.510000,0.0323,1,1,2026-08-24T00:00:00.000
324,339,306,324,453.880000,0.0324,1,1,2026-08-24T00:00:00.000
325,304,386,325,455.250000,0.0325,1,1,2026-08-24T00:00:00.000
326,269,112,326,456.620000,0.0326,1,1,2026-08-24T00:00:00.000
327,52,90,327,457.990000,0.0327,1,1,2026-08-24T00:00:00.000
328,94,111,328,459.360000,0.0328,1,1,2026-08-24T00:00:00.000
329,458,483,329,460.730000,0.0329,1,1,2026-08-24T00:00:00.000
330,335,397,330,462.100000,0.0330,1,1,2026-08-24T00:00:00.000
331,434,309,331,463.470000,0.0331,1,1,2026-08-24T00:00:00.000
332,116,374,332,464.840000,0.0332,1,1,2026-08-24T00:00:00.000
333,500,29,333,466.210000,0.0333,1,1,2026-08-24T00:00:00.000
334,127,30,334,467.580000,0.0334,1,1,2026-08-24T00:00:00.000
335,39,462,335,468.950000,0.0335,1,1,2026-08-24T00:00:00.000
336,25,234,336,470.320000,0.0336,1,1,2026-08-24T00:00:00.000
337,173,140,337,471.690000,0.0337,1,1,2026-08-24T00:00:00.000
338,417,411,338,473.060000,0.0338,1,1,2026-08-24T00:00:00.000
339,399,79,339,474.430000,0.0339,1,1,2026-08-24T00:00:00.000
340,387,360,340,475.800000,0.0340,1,1,2026-08-24T00:00:00.000
341,289,37,341,477.170000,0.0341,1,1,2026-08-24T00:00:00.000
342,149,161,342,478.540000,0.0342,1,1,2026-08-24T00:00:00.000
343,109,112,343,479.910000,0.0343,1,1,2026-08-24T00:00:00.000
344,76,146,344,481.280000,0.0344,1,1,2026-08-24T00:00:00.000
345,473,206,345,482.650000,0.0345,1,1,2026-08-24T00:00:00.000
346,440,216,346,484.020000,0.0346,1,1,2026-08-24T00:00:00.000
347,382,379,347,485.390000,0.0347,1,1,2026-08-24T00:00:00.000
348,217,412,348,486.760000,0.0348,1,1,2026-08-24T00:00:00.000
349,244,62,349,488.130000,0.0349,1,1,2026-08-24T00:00:00.000
350,108,252,350,489.500000,0.0350,1,1,2026-08-24T00:00:00.000
351,209,104,351,490.870000,0.0351,1,1,2026-08-24T00:00:00.000
352,19,419,352,492.240000,0.0352,1,1,2026-08-24T00:00:00.000
353,103,415,353,493.610000,0.0353,1,1,2026-08-24T00:00:00.000
354,400,125,354,494.980000,0.0354,1,1,2026-08-24T00:00:00.000
355,208,357,355,496.350000,0.0355,1,1,2026-08-24T00:00:00.000
356,138,299,356,497.720000,0.0356,1,1,2026-08-24T00:00:00.000
357,486,289,357,499.090000,0.0357,1,1,2026-08-24T00:00:00.000
358,326,316,358,500.460000,0.0358,1,1,2026-08-24T00:00:00.000
359,412,217,359,501.830000,0.0359,1,1,2026-08-24T00:00:00.000
360,287,85,360,503.200000,0.0360,1,1,2026-08-24T00:00:00.000
361,225,318,361,504.570000,0.0361,1,1,2026-08-24T00:00:00.000
362,455,305,362,505.940000,0.0362,1,1,2026-08-24T00:00:00.000
363,215,37,363,507.310000,0.0363,1,1,2026-08-24T00:00:00.000
364,33,96,364,508.680000,0.0364,1,1,2026-08-24T00:00:00.000
365,6,390,365,510.050000,0.0365,1,1,2026-08-24T00:00:00.000
366,163,91,366,511.420000,0.0366,1,1,2026-08-24T00:00:00.000
367,31,74,367,512.790000,0.0367,1,1,2026-08-24T00:00:00.000
368,342,66,368,514.160000,0.0368,1,1,2026-08-24T00:00:00.000
369,305,17,369,515.530000,0.0369,1,1,2026-08-24T00:00:00.000
370,119,46,370,516.900000,0.0370,1,1,2026-08-24T00:00:00.000
371,12,371,371,518.270000,0.0371,1,1,2026-08-24T00:00:00.000
372,340,299,372,519.640000,0.0372,1,1,2026-08-24T00:00:00.000
