LogisticsLoadShipmentAssignmentKey,LogisticsTransportLoadKey,LogisticsShipmentHeaderKey,PlannedSequenceNumber,SourceSystemKey,BatchId,LoadedAtUtc
269,8,31,269,1,1,2026-08-24T00:00:00.000
270,104,229,270,1,1,2026-08-24T00:00:00.000
271,162,2,271,1,1,2026-08-24T00:00:00.000
272,309,260,272,1,1,2026-08-24T00:00:00.000
273,388,455,273,1,1,2026-08-24T00:00:00.000
274,75,320,274,1,1,2026-08-24T00:00:00.000
275,185,296,275,1,1,2026-08-24T00:00:00.000
276,467,103,276,1,1,2026-08-24T00:00:00.000
277,358,356,277,1,1,2026-08-24T00:00:00.000
278,240,284,278,1,1,2026-08-24T00:00:00.000
279,228,265,279,1,1,2026-08-24T00:00:00.000
280,342,230,280,1,1,2026-08-24T00:00:00.000
281,31,479,281,1,1,2026-08-24T00:00:00.000
282,129,148,282,1,1,2026-08-24T00:00:00.000
283,61,128,283,1,1,2026-08-24T00:00:00.000
284,35,335,284,1,1,2026-08-24T00:00:00.000
285,247,309,285,1,1,2026-08-24T00:00:00.000
286,266,460,286,1,1,2026-08-24T00:00:00.000
287,248,314,287,1,1,2026-08-24T00:00:00.000
288,469,430,288,1,1,2026-08-24T00:00:00.000
289,194,358,289,1,1,2026-08-24T00:00:00.000
290,51,364,290,1,1,2026-08-24T00:00:00.000
291,20,111,291,1,1,2026-08-24T00:00:00.000
292,434,246,292,1,1,2026-08-24T00:00:00.000
293,397,451,293,1,1,2026-08-24T00:00:00.000
294,175,297,294,1,1,2026-08-24T00:00:00.000
295,326,10,295,1,1,2026-08-24T00:00:00.000
296,106,454,296,1,1,2026-08-24T00:00:00.000
297,93,214,297,1,1,2026-08-24T00:00:00.000
298,51,205,298,1,1,2026-08-24T00:00:00.000
299,305,123,299,1,1,2026-08-24T00:00:00.000
300,367,407,300,1,1,2026-08-24T00:00:00.000
301,113,19,301,1,1,2026-08-24T00:00:00.000
302,93,289,302,1,1,2026-08-24T00:00:00.000
303,143,199,303,1,1,2026-08-24T00:00:00.000
304,213,184,304,1,1,2026-08-24T00:00:00.000
305,99,357,305,1,1,2026-08-24T00:00:00.000
306,381,42,306,1,1,2026-08-24T00:00:00.000
307,68,441,307,1,1,2026-08-24T00:00:00.000
308,162,488,308,1,1,2026-08-24T00:00:00.000
309,419,295,309,1,1,2026-08-24T00:00:00.000
310,330,349,310,1,1,2026-08-24T00:00:00.000
311,151,137,311,1,1,2026-08-24T00:00:00.000
312,489,42,312,1,1,2026-08-24T00:00:00.000
313,67,101,313,1,1,2026-08-24T00:00:00.000
314,382,167,314,1,1,2026-08-24T00:00:00.000
315,24,196,315,1,1,2026-08-24T00:00:00.000
316,96,283,316,1,1,2026-08-24T00:00:00.000
317,19,79,317,1,1,2026-08-24T00:00:00.000
318,198,64,318,1,1,2026-08-24T00:00:00.000
319,239,240,319,1,1,2026-08-24T00:00:00.000
320,398,154,320,1,1,2026-08-24T00:00:00.000
321,341,319,321,1,1,2026-08-24T00:00:00.000
322,298,391,322,1,1,2026-08-24T00:00:00.000
323,232,126,323,1,1,2026-08-24T00:00:00.000
324,477,147,324,1,1,2026-08-24T00:00:00.000
325,479,107,325,1,1,2026-08-24T00:00:00.000
326,405,308,326,1,1,2026-08-24T00:00:00.000
327,199,145,327,1,1,2026-08-24T00:00:00.000
328,103,388,328,1,1,2026-08-24T00:00:00.000
329,139,497,329,1,1,2026-08-24T00:00:00.000
330,3,307,330,1,1,2026-08-24T00:00:00.000
331,367,249,331,1,1,2026-08-24T00:00:00.000
332,8,335,332,1,1,2026-08-24T00:00:00.000
333,424,242,333,1,1,2026-08-24T00:00:00.000
334,414,185,334,1,1,2026-08-24T00:00:00.000
335,71,461,335,1,1,2026-08-24T00:00:00.000
336,176,81,336,1,1,2026-08-24T00:00:00.000
337,309,287,337,1,1,2026-08-24T00:00:00.000
338,403,364,338,1,1,2026-08-24T00:00:00.000
339,231,445,339,1,1,2026-08-24T00:00:00.000
340,130,333,340,1,1,2026-08-24T00:00:00.000
341,2,387,341,1,1,2026-08-24T00:00:00.000
342,209,65,342,1,1,2026-08-24T00:00:00.000
343,358,423,343,1,1,2026-08-24T00:00:00.000
344,29,117,344,1,1,2026-08-24T00:00:00.000
345,442,73,345,1,1,2026-08-24T00:00:00.000
346,171,70,346,1,1,2026-08-24T00:00:00.000
347,199,231,347,1,1,2026-08-24T00:00:00.000
348,92,77,348,1,1,2026-08-24T00:00:00.000
349,97,257,349,1,1,2026-08-24T00:00:00.000
350,133,465,350,1,1,2026-08-24T00:00:00.000
351,206,214,351,1,1,2026-08-24T00:00:00.000
352,361,271,352,1,1,2026-08-24T00:00:00.000
353,165,147,353,1,1,2026-08-24T00:00:00.000
354,442,169,354,1,1,2026-08-24T00:00:00.000
355,452,92,355,1,1,2026-08-24T00:00:00.000
356,79,224,356,1,1,2026-08-24T00:00:00.000
357,269,68,357,1,1,2026-08-24T00:00:00.000
358,172,198,358,1,1,2026-08-24T00:00:00.000
359,210,141,359,1,1,2026-08-24T00:00:00.000
360,308,420,360,1,1,2026-08-24T00:00:00.000
361,317,7,361,1,1,2026-08-24T00:00:00.000
362,404,219,362,1,1,2026-08-24T00:00:00.000
363,357,257,363,1,1,2026-08-24T00:00:00.000
364,399,28,364,1,1,2026-08-24T00:00:00.000
365,329,468,365,1,1,2026-08-24T00:00:00.000
366,150,436,366,1,1,2026-08-24T00:00:00.000
367,408,129,367,1,1,2026-08-24T00:00:00.000
368,308,137,368,1,1,2026-08-24T00:00:00.000
369,290,133,369,1,1,2026-08-24T00:00:00.000
370,184,215,370,1,1,2026-08-24T00:00:00.000
371,52,450,371,1,1,2026-08-24T00:00:00.000
372,346,383,372,1,1,2026-08-24T00:00:00.000
373,482,365,373,1,1,2026-08-24T00:00:00.000
374,224,149,374,1,1,2026-08-24T00:00:00.000
375,468,472,375,1,1,2026-08-24T00:00:00.000
376,221,353,376,1,1,2026-08-24T00:00:00.000
377,407,274,377,1,1,2026-08-24T00:00:00.000
378,408,135,378,1,1,2026-08-24T00:00:00.000
379,121,277,379,1,1,2026-08-24T00:00:00.000
380,334,135,380,1,1,2026-08-24T00:00:00.000
381,39,75,381,1,1,2026-08-24T00:00:00.000
382,426,11,382,1,1,2026-08-24T00:00:00.000
383,342,460,383,1,1,2026-08-24T00:00:00.000
384,375,427,384,1,1,2026-08-24T00:00:00.000
385,344,37,385,1,1,2026-08-24T00:00:00.000
386,137,128,386,1,1,2026-08-24T00:00:00.000
387,313,148,387,1,1,2026-08-24T00:00:00.000
388,391,131,388,1,1,2026-08-24T00:00:00.000
389,482,65,389,1,1,2026-08-24T00:00:00.000
390,182,179,390,1,1,2026-08-24T00:00:00.000
391,365,291,391,1,1,2026-08-24T00:00:00.000
392,430,498,392,1,1,2026-08-24T00:00:00.000
393,79,208,393,1,1,2026-08-24T00:00:00.000
394,57,269,394,1,1,2026-08-24T00:00:00.000
395,96,75,395,1,1,2026-08-24T00:00:00.000
396,211,66,396,1,1,2026-08-24T00:00:00.000
397,435,125,397,1,1,2026-08-24T00:00:00.000
398,192,82,398,1,1,2026-08-24T00:00:00.000
399,491,306,399,1,1,2026-08-24T00:00:00.000
400,356,466,400,1,1,2026-08-24T00:00:00.000
401,101,52,401,1,1,2026-08-24T00:00:00.000
402,244,74,402,1,1,2026-08-24T00:00:00.000
403,285,364,403,1,1,2026-08-24T00:00:00.000
404,24,11,404,1,1,2026-08-24T00:00:00.000
405,458,278,405,1,1,2026-08-24T00:00:00.000
406,57,375,406,1,1,2026-08-24T00:00:00.000
407,471,318,407,1,1,2026-08-24T00:00:00.000
408,461,215,408,1,1,2026-08-24T00:00:00.000
409,28,183,409,1,1,2026-08-24T00:00:00.000
410,256,347,410,1,1,2026-08-24T00:00:00.000
411,132,49,411,1,1,2026-08-24T00:00:00.000
412,368,1,412,1,1,2026-08-24T00:00:00.000
413,259,268,413,1,1,2026-08-24T00:00:00.000
414,51,193,414,1,1,2026-08-24T00:00:00.000
415,148,398,415,1,1,2026-08-24T00:00:00.000
416,46,315,416,1,1,2026-08-24T00:00:00.000
417,134,246,417,1,1,2026-08-24T00:00:00.000
418,273,63,418,1,1,2026-08-24T00:00:00.000
419,320,201,419,1,1,2026-08-24T00:00:00.000
420,272,396,420,1,1,2026-08-24T00:00:00.000
421,80,345,421,1,1,2026-08-24T00:00:00.000
422,218,265,422,1,1,2026-08-24T00:00:00.000
423,276,397,423,1,1,2026-08-24T00:00:00.000
424,497,215,424,1,1,2026-08-24T00:00:00.000
425,411,59,425,1,1,2026-08-24T00:00:00.000
426,362,166,426,1,1,2026-08-24T00:00:00.000
427,315,218,427,1,1,2026-08-24T00:00:00.000
428,242,98,428,1,1,2026-08-24T00:00:00.000
429,141,21,429,1,1,2026-08-24T00:00:00.000
430,256,260,430,1,1,2026-08-24T00:00:00.000
431,116,434,431,1,1,2026-08-24T00:00:00.000
432,66,330,432,1,1,2026-08-24T00:00:00.000
433,187,72,433,1,1,2026-08-24T00:00:00.000
434,345,136,434,1,1,2026-08-24T00:00:00.000
435,119,190,435,1,1,2026-08-24T00:00:00.000
436,352,164,436,1,1,2026-08-24T00:00:00.000
437,147,172,437,1,1,2026-08-24T00:00:00.000
438,474,357,438,1,1,2026-08-24T00:00:00.000
439,488,422,439,1,1,2026-08-24T00:00:00.000
440,422,130,440,1,1,2026-08-24T00:00:00.000
441,413,366,441,1,1,2026-08-24T00:00:00.000
442,42,438,442,1,1,2026-08-24T00:00:00.000
443,112,488,443,1,1,2026-08-24T00:00:00.000
444,484,152,444,1,1,2026-08-24T00:00:00.000
445,127,453,445,1,1,2026-08-24T00:00:00.000
446,212,450,446,1,1,2026-08-24T00:00:00.000
447,166,51,447,1,1,2026-08-24T00:00:00.000
448,471,348,448,1,1,2026-08-24T00:00:00.000
449,143,116,449,1,1,2026-08-24T00:00:00.000
450,303,418,450,1,1,2026-08-24T00:00:00.000
451,212,415,451,1,1,2026-08-24T00:00:00.000
452,242,101,452,1,1,2026-08-24T00:00:00.000
453,50,371,453,1,1,2026-08-24T00:00:00.000
454,12,184,454,1,1,2026-08-24T00:00:00.000
455,262,418,455,1,1,2026-08-24T00:00:00.000
456,147,242,456,1,1,2026-08-24T00:00:00.000
457,492,26,457,1,1,2026-08-24T00:00:00.000
458,255,254,458,1,1,2026-08-24T00:00:00.000
459,377,304,459,1,1,2026-08-24T00:00:00.000
460,243,336,460,1,1,2026-08-24T00:00:00.000
461,395,470,461,1,1,2026-08-24T00:00:00.000
462,69,16,462,1,1,2026-08-24T00:00:00.000
463,302,338,463,1,1,2026-08-24T00:00:00.000
464,428,317,464,1,1,2026-08-24T00:00:00.000
465,76,81,465,1,1,2026-08-24T00:00:00.000
466,81,79,466,1,1,2026-08-24T00:00:00.000
467,81,166,467,1,1,2026-08-24T00:00:00.000
468,252,276,468,1,1,2026-08-24T00:00:00.000
469,86,370,469,1,1,2026-08-24T00:00:00.000
470,416,395,470,1,1,2026-08-24T00:00:00.000
471,138,122,471,1,1,2026-08-24T00:00:00.000
472,195,498,472,1,1,2026-08-24T00:00:00.000
473,195,162,473,1,1,2026-08-24T00:00:00.000
474,191,291,474,1,1,2026-08-24T00:00:00.000
475,206,283,475,1,1,2026-08-24T00:00:00.000
476,310,222,476,1,1,2026-08-24T00:00:00.000
477,297,314,477,1,1,2026-08-24T00:00:00.000
478,183,13,478,1,1,2026-08-24T00:00:00.000
479,442,166,479,1,1,2026-08-24T00:00:00.000
480,61,192,480,1,1,2026-08-24T00:00:00.000
481,109,344,481,1,1,2026-08-24T00:00:00.000
482,373,351,482,1,1,2026-08-24T00:00:00.000
483,366,219,483,1,1,2026-08-24T00:00:00.000
484,271,142,484,1,1,2026-08-24T00:00:00.000
485,54,230,485,1,1,2026-08-24T00:00:00.000
486,478,107,486,1,1,2026-08-24T00:00:00.000
487,279,66,487,1,1,2026-08-24T00:00:00.000
488,266,72,488,1,1,2026-08-24T00:00:00.000
489,253,241,489,1,1,2026-08-24T00:00:00.000
490,468,334,490,1,1,2026-08-24T00:00:00.000
491,365,273,491,1,1,2026-08-24T00:00:00.000
492,459,26,492,1,1,2026-08-24T00:00:00.000
493,81,336,493,1,1,2026-08-24T00:00:00.000
494,423,22,494,1,1,2026-08-24T00:00:00.000
495,138,135,495,1,1,2026-08-24T00:00:00.000
496,441,202,496,1,1,2026-08-24T00:00:00.000
497,498,113,497,1,1,2026-08-24T00:00:00.000
498,61,43,498,1,1,2026-08-24T00:00:00.000
499,276,128,499,1,1,2026-08-24T00:00:00.000
500,233,13,500,1,1,2026-08-24T00:00:00.000
