SafetyRiskAssessmentHazardKey,SafetyRiskAssessmentKey,SafetyHazardConditionKey,AssessedRiskScore,ControlEffectivenessScore,SourceSystemKey,BatchId,LoadedAtUtc
51,499,133,52.00,52.00,1,1,2026-08-24T00:00:00.000
52,239,234,53.00,53.00,1,1,2026-08-24T00:00:00.000
53,323,185,54.00,54.00,1,1,2026-08-24T00:00:00.000
54,72,287,55.00,55.00,1,1,2026-08-24T00:00:00.000
55,420,148,56.00,56.00,1,1,2026-08-24T00:00:00.000
56,252,413,57.00,57.00,1,1,2026-08-24T00:00:00.000
57,286,347,58.00,58.00,1,1,2026-08-24T00:00:00.000
58,478,493,59.00,59.00,1,1,2026-08-24T00:00:00.000
59,241,187,60.00,60.00,1,1,2026-08-24T00:00:00.000
60,359,498,61.00,61.00,1,1,2026-08-24T00:00:00.000
61,190,445,62.00,62.00,1,1,2026-08-24T00:00:00.000
62,302,298,63.00,63.00,1,1,2026-08-24T00:00:00.000
63,325,162,64.00,64.00,1,1,2026-08-24T00:00:00.000
64,480,184,65.00,65.00,1,1,2026-08-24T00:00:00.000
65,249,13,66.00,66.00,1,1,2026-08-24T00:00:00.000
66,207,99,67.00,67.00,1,1,2026-08-24T00:00:00.000
67,218,500,68.00,68.00,1,1,2026-08-24T00:00:00.000
68,323,252,69.00,69.00,1,1,2026-08-24T00:00:00.000
69,67,412,70.00,70.00,1,1,2026-08-24T00:00:00.000
70,301,89,71.00,71.00,1,1,2026-08-24T00:00:00.000
71,363,390,72.00,72.00,1,1,2026-08-24T00:00:00.000
72,337,112,73.00,73.00,1,1,2026-08-24T00:00:00.000
73,217,251,74.00,74.00,1,1,2026-08-24T00:00:00.000
74,417,472,75.00,75.00,1,1,2026-08-24T00:00:00.000
75,478,44,76.00,76.00,1,1,2026-08-24T00:00:00.000
76,349,252,77.00,77.00,1,1,2026-08-24T00:00:00.000
77,283,321,78.00,78.00,1,1,2026-08-24T00:00:00.000
78,106,490,79.00,79.00,1,1,2026-08-24T00:00:00.000
79,146,377,80.00,80.00,1,1,2026-08-24T00:00:00.000
80,401,190,81.00,81.00,1,1,2026-08-24T00:00:00.000
81,429,177,82.00,82.00,1,1,2026-08-24T00:00:00.000
82,97,376,83.00,83.00,1,1,2026-08-24T00:00:00.000
83,18,290,84.00,84.00,1,1,2026-08-24T00:00:00.000
84,57,430,85.00,85.00,1,1,2026-08-24T00:00:00.000
85,165,44,86.00,86.00,1,1,2026-08-24T00:00:00.000
86,451,338,87.00,87.00,1,1,2026-08-24T00:00:00.000
87,175,309,88.00,88.00,1,1,2026-08-24T00:00:00.000
88,394,24,89.00,89.00,1,1,2026-08-24T00:00:00.000
89,83,280,90.00,90.00,1,1,2026-08-24T00:00:00.000
90,403,246,91.00,91.00,1,1,2026-08-24T00:00:00.000
91,8,324,92.00,92.00,1,1,2026-08-24T00:00:00.000
92,343,21,93.00,93.00,1,1,2026-08-24T00:00:00.000
93,52,185,94.00,94.00,1,1,2026-08-24T00:00:00.000
94,480,406,95.00,95.00,1,1,2026-08-24T00:00:00.000
95,49,360,96.00,96.00,1,1,2026-08-24T00:00:00.000
96,132,273,97.00,97.00,1,1,2026-08-24T00:00:00.000
97,324,78,98.00,98.00,1,1,2026-08-24T00:00:00.000
98,125,44,99.00,99.00,1,1,2026-08-24T00:00:00.000
99,82,437,100.00,100.00,1,1,2026-08-24T00:00:00.000
100,317,37,101.00,101.00,1,1,2026-08-24T00:00:00.000
101,389,98,102.00,102.00,1,1,2026-08-24T00:00:00.000
102,273,178,103.00,103.00,1,1,2026-08-24T00:00:00.000
103,297,491,104.00,104.00,1,1,2026-08-24T00:00:00.000
104,67,101,105.00,105.00,1,1,2026-08-24T00:00:00.000
105,423,163,106.00,106.00,1,1,2026-08-24T00:00:00.000
106,189,109,107.00,107.00,1,1,2026-08-24T00:00:00.000
107,28,126,108.00,108.00,1,1,2026-08-24T00:00:00.000
108,80,207,109.00,109.00,1,1,2026-08-24T00:00:00.000
109,296,317,110.00,110.00,1,1,2026-08-24T00:00:00.000
110,360,111,111.00,111.00,1,1,2026-08-24T00:00:00.000
111,440,17,112.00,112.00,1,1,2026-08-24T00:00:00.000
112,62,446,113.00,113.00,1,1,2026-08-24T00:00:00.000
113,247,363,114.00,114.00,1,1,2026-08-24T00:00:00.000
114,125,306,115.00,115.00,1,1,2026-08-24T00:00:00.000
115,360,438,116.00,116.00,1,1,2026-08-24T00:00:00.000
116,451,242,117.00,117.00,1,1,2026-08-24T00:00:00.000
117,248,12,118.00,118.00,1,1,2026-08-24T00:00:00.000
118,486,203,119.00,119.00,1,1,2026-08-24T00:00:00.000
119,103,77,120.00,120.00,1,1,2026-08-24T00:00:00.000
120,316,351,121.00,121.00,1,1,2026-08-24T00:00:00.000
121,74,121,122.00,122.00,1,1,2026-08-24T00:00:00.000
122,443,126,123.00,123.00,1,1,2026-08-24T00:00:00.000
123,391,26,124.00,124.00,1,1,2026-08-24T00:00:00.000
124,399,113,125.00,125.00,1,1,2026-08-24T00:00:00.000
125,367,80,126.00,126.00,1,1,2026-08-24T00:00:00.000
126,402,266,127.00,127.00,1,1,2026-08-24T00:00:00.000
127,389,423,128.00,128.00,1,1,2026-08-24T00:00:00.000
128,160,26,129.00,129.00,1,1,2026-08-24T00:00:00.000
129,83,156,130.00,130.00,1,1,2026-08-24T00:00:00.000
130,139,67,131.00,131.00,1,1,2026-08-24T00:00:00.000
131,425,446,132.00,132.00,1,1,2026-08-24T00:00:00.000
132,421,3,133.00,133.00,1,1,2026-08-24T00:00:00.000
133,446,203,134.00,134.00,1,1,2026-08-24T00:00:00.000
134,222,70,135.00,135.00,1,1,2026-08-24T00:00:00.000
135,104,343,136.00,136.00,1,1,2026-08-24T00:00:00.000
136,284,458,137.00,137.00,1,1,2026-08-24T00:00:00.000
137,265,374,138.00,138.00,1,1,2026-08-24T00:00:00.000
138,261,461,139.00,139.00,1,1,2026-08-24T00:00:00.000
139,496,435,140.00,140.00,1,1,2026-08-24T00:00:00.000
140,62,50,141.00,141.00,1,1,2026-08-24T00:00:00.000
141,118,306,142.00,142.00,1,1,2026-08-24T00:00:00.000
142,98,12,143.00,143.00,1,1,2026-08-24T00:00:00.000
143,373,198,144.00,144.00,1,1,2026-08-24T00:00:00.000
144,104,13,145.00,145.00,1,1,2026-08-24T00:00:00.000
145,244,88,146.00,146.00,1,1,2026-08-24T00:00:00.000
146,130,217,147.00,147.00,1,1,2026-08-24T00:00:00.000
147,266,233,148.00,148.00,1,1,2026-08-24T00:00:00.000
148,38,143,149.00,149.00,1,1,2026-08-24T00:00:00.000
149,230,134,150.00,150.00,1,1,2026-08-24T00:00:00.000
150,382,422,151.00,151.00,1,1,2026-08-24T00:00:00.000
151,287,478,152.00,152.00,1,1,2026-08-24T00:00:00.000
152,429,222,153.00,153.00,1,1,2026-08-24T00:00:00.000
153,180,224,154.00,154.00,1,1,2026-08-24T00:00:00.000
154,302,138,155.00,155.00,1,1,2026-08-24T00:00:00.000
155,161,114,156.00,156.00,1,1,2026-08-24T00:00:00.000
156,119,442,157.00,157.00,1,1,2026-08-24T00:00:00.000
157,184,153,158.00,158.00,1,1,2026-08-24T00:00:00.000
158,241,281,159.00,159.00,1,1,2026-08-24T00:00:00.000
159,175,432,160.00,160.00,1,1,2026-08-24T00:00:00.000
160,160,73,161.00,161.00,1,1,2026-08-24T00:00:00.000
161,1,332,162.00,162.00,1,1,2026-08-24T00:00:00.000
162,328,366,163.00,163.00,1,1,2026-08-24T00:00:00.000
163,211,16,164.00,164.00,1,1,2026-08-24T00:00:00.000
164,387,449,165.00,165.00,1,1,2026-08-24T00:00:00.000
165,467,322,166.00,166.00,1,1,2026-08-24T00:00:00.000
166,59,359,167.00,167.00,1,1,2026-08-24T00:00:00.000
167,123,124,168.00,168.00,1,1,2026-08-24T00:00:00.000
168,260,381,169.00,169.00,1,1,2026-08-24T00:00:00.000
169,81,486,170.00,170.00,1,1,2026-08-24T00:00:00.000
170,386,97,171.00,171.00,1,1,2026-08-24T00:00:00.000
171,284,423,172.00,172.00,1,1,2026-08-24T00:00:00.000
172,327,426,173.00,173.00,1,1,2026-08-24T00:00:00.000
173,375,338,174.00,174.00,1,1,2026-08-24T00:00:00.000
174,491,417,175.00,175.00,1,1,2026-08-24T00:00:00.000
175,157,277,176.00,176.00,1,1,2026-08-24T00:00:00.000
176,337,462,177.00,177.00,1,1,2026-08-24T00:00:00.000
177,322,403,178.00,178.00,1,1,2026-08-24T00:00:00.000
178,398,315,179.00,179.00,1,1,2026-08-24T00:00:00.000
179,415,308,180.00,180.00,1,1,2026-08-24T00:00:00.000
180,64,164,181.00,181.00,1,1,2026-08-24T00:00:00.000
181,217,39,182.00,182.00,1,1,2026-08-24T00:00:00.000
182,290,308,183.00,183.00,1,1,2026-08-24T00:00:00.000
183,117,193,184.00,184.00,1,1,2026-08-24T00:00:00.000
184,347,235,185.00,185.00,1,1,2026-08-24T00:00:00.000
185,290,129,186.00,186.00,1,1,2026-08-24T00:00:00.000
186,243,485,187.00,187.00,1,1,2026-08-24T00:00:00.000
187,269,225,188.00,188.00,1,1,2026-08-24T00:00:00.000
188,496,71,189.00,189.00,1,1,2026-08-24T00:00:00.000
189,85,339,190.00,190.00,1,1,2026-08-24T00:00:00.000
190,274,3,191.00,191.00,1,1,2026-08-24T00:00:00.000
191,494,13,192.00,192.00,1,1,2026-08-24T00:00:00.000
192,74,203,193.00,193.00,1,1,2026-08-24T00:00:00.000
193,417,123,194.00,194.00,1,1,2026-08-24T00:00:00.000
194,214,76,195.00,195.00,1,1,2026-08-24T00:00:00.000
195,443,69,196.00,196.00,1,1,2026-08-24T00:00:00.000
196,29,2,197.00,197.00,1,1,2026-08-24T00:00:00.000
197,401,163,198.00,198.00,1,1,2026-08-24T00:00:00.000
198,260,24,199.00,199.00,1,1,2026-08-24T00:00:00.000
199,16,277,200.00,200.00,1,1,2026-08-24T00:00:00.000
200,240,42,201.00,201.00,1,1,2026-08-24T00:00:00.000
201,28,328,202.00,202.00,1,1,2026-08-24T00:00:00.000
202,469,127,203.00,203.00,1,1,2026-08-24T00:00:00.000
203,132,69,204.00,204.00,1,1,2026-08-24T00:00:00.000
204,198,6,205.00,205.00,1,1,2026-08-24T00:00:00.000
205,2,15,206.00,206.00,1,1,2026-08-24T00:00:00.000
206,434,211,207.00,207.00,1,1,2026-08-24T00:00:00.000
207,445,11,208.00,208.00,1,1,2026-08-24T00:00:00.000
208,218,52,209.00,209.00,1,1,2026-08-24T00:00:00.000
209,343,195,210.00,210.00,1,1,2026-08-24T00:00:00.000
210,287,231,211.00,211.00,1,1,2026-08-24T00:00:00.000
211,270,161,212.00,212.00,1,1,2026-08-24T00:00:00.000
212,66,144,213.00,213.00,1,1,2026-08-24T00:00:00.000
213,156,368,214.00,214.00,1,1,2026-08-24T00:00:00.000
214,268,211,215.00,215.00,1,1,2026-08-24T00:00:00.000
215,101,36,216.00,216.00,1,1,2026-08-24T00:00:00.000
216,360,309,217.00,217.00,1,1,2026-08-24T00:00:00.000
217,441,482,218.00,218.00,1,1,2026-08-24T00:00:00.000
218,428,141,219.00,219.00,1,1,2026-08-24T00:00:00.000
219,484,352,220.00,220.00,1,1,2026-08-24T00:00:00.000
220,230,95,221.00,221.00,1,1,2026-08-24T00:00:00.000
221,442,313,222.00,222.00,1,1,2026-08-24T00:00:00.000
222,38,292,223.00,223.00,1,1,2026-08-24T00:00:00.000
223,180,212,224.00,224.00,1,1,2026-08-24T00:00:00.000
224,96,434,225.00,225.00,1,1,2026-08-24T00:00:00.000
225,291,193,226.00,226.00,1,1,2026-08-24T00:00:00.000
226,46,262,227.00,227.00,1,1,2026-08-24T00:00:00.000
227,307,51,228.00,228.00,1,1,2026-08-24T00:00:00.000
228,197,400,229.00,229.00,1,1,2026-08-24T00:00:00.000
229,242,23,230.00,230.00,1,1,2026-08-24T00:00:00.000
230,437,384,231.00,231.00,1,1,2026-08-24T00:00:00.000
231,323,493,232.00,232.00,1,1,2026-08-24T00:00:00.000
232,66,142,233.00,233.00,1,1,2026-08-24T00:00:00.000
233,109,428,234.00,234.00,1,1,2026-08-24T00:00:00.000
234,394,91,235.00,235.00,1,1,2026-08-24T00:00:00.000
235,383,168,236.00,236.00,1,1,2026-08-24T00:00:00.000
236,352,103,237.00,237.00,1,1,2026-08-24T00:00:00.000
237,225,445,238.00,238.00,1,1,2026-08-24T00:00:00.000
238,479,198,239.00,239.00,1,1,2026-08-24T00:00:00.000
239,406,159,240.00,240.00,1,1,2026-08-24T00:00:00.000
240,48,131,241.00,241.00,1,1,2026-08-24T00:00:00.000
241,491,347,242.00,242.00,1,1,2026-08-24T00:00:00.000
242,281,471,243.00,243.00,1,1,2026-08-24T00:00:00.000
243,218,358,244.00,244.00,1,1,2026-08-24T00:00:00.000
244,275,371,245.00,245.00,1,1,2026-08-24T00:00:00.000
245,408,400,246.00,246.00,1,1,2026-08-24T00:00:00.000
246,286,355,247.00,247.00,1,1,2026-08-24T00:00:00.000
247,450,30,248.00,248.00,1,1,2026-08-24T00:00:00.000
248,38,423,249.00,249.00,1,1,2026-08-24T00:00:00.000
249,355,150,250.00,250.00,1,1,2026-08-24T00:00:00.000
250,251,400,251.00,251.00,1,1,2026-08-24T00:00:00.000
251,12,176,252.00,252.00,1,1,2026-08-24T00:00:00.000
252,64,420,253.00,253.00,1,1,2026-08-24T00:00:00.000
253,167,318,254.00,254.00,1,1,2026-08-24T00:00:00.000
254,164,361,255.00,255.00,1,1,2026-08-24T00:00:00.000
255,294,317,256.00,256.00,1,1,2026-08-24T00:00:00.000
256,42,358,257.00,257.00,1,1,2026-08-24T00:00:00.000
257,266,361,258.00,258.00,1,1,2026-08-24T00:00:00.000
258,118,398,259.00,259.00,1,1,2026-08-24T00:00:00.000
259,240,461,260.00,260.00,1,1,2026-08-24T00:00:00.000
260,212,273,261.00,261.00,1,1,2026-08-24T00:00:00.000
261,196,460,262.00,262.00,1,1,2026-08-24T00:00:00.000
262,242,193,263.00,263.00,1,1,2026-08-24T00:00:00.000
263,424,451,264.00,264.00,1,1,2026-08-24T00:00:00.000
264,54,206,265.00,265.00,1,1,2026-08-24T00:00:00.000
265,75,165,266.00,266.00,1,1,2026-08-24T00:00:00.000
266,447,434,267.00,267.00,1,1,2026-08-24T00:00:00.000
267,240,279,268.00,268.00,1,1,2026-08-24T00:00:00.000
268,152,304,269.00,269.00,1,1,2026-08-24T00:00:00.000
269,96,64,270.00,270.00,1,1,2026-08-24T00:00:00.000
270,133,271,271.00,271.00,1,1,2026-08-24T00:00:00.000
271,485,293,272.00,272.00,1,1,2026-08-24T00:00:00.000
272,433,236,273.00,273.00,1,1,2026-08-24T00:00:00.000
273,396,29,274.00,274.00,1,1,2026-08-24T00:00:00.000
274,353,237,275.00,275.00,1,1,2026-08-24T00:00:00.000
275,408,355,276.00,276.00,1,1,2026-08-24T00:00:00.000
276,191,208,277.00,277.00,1,1,2026-08-24T00:00:00.000
277,472,262,278.00,278.00,1,1,2026-08-24T00:00:00.000
278,344,422,279.00,279.00,1,1,2026-08-24T00:00:00.000
279,47,64,280.00,280.00,1,1,2026-08-24T00:00:00.000
280,209,21,281.00,281.00,1,1,2026-08-24T00:00:00.000
281,489,344,282.00,282.00,1,1,2026-08-24T00:00:00.000
282,193,281,283.00,283.00,1,1,2026-08-24T00:00:00.000
283,151,50,284.00,284.00,1,1,2026-08-24T00:00:00.000
284,455,495,285.00,285.00,1,1,2026-08-24T00:00:00.000
285,78,365,286.00,286.00,1,1,2026-08-24T00:00:00.000
286,346,328,287.00,287.00,1,1,2026-08-24T00:00:00.000
287,190,105,288.00,288.00,1,1,2026-08-24T00:00:00.000
288,54,133,289.00,289.00,1,1,2026-08-24T00:00:00.000
289,24,201,290.00,290.00,1,1,2026-08-24T00:00:00.000
290,443,231,291.00,291.00,1,1,2026-08-24T00:00:00.000
291,77,128,292.00,292.00,1,1,2026-08-24T00:00:00.000
292,491,95,293.00,293.00,1,1,2026-08-24T00:00:00.000
293,148,246,294.00,294.00,1,1,2026-08-24T00:00:00.000
294,289,99,295.00,295.00,1,1,2026-08-24T00:00:00.000
295,128,357,296.00,296.00,1,1,2026-08-24T00:00:00.000
296,434,372,297.00,297.00,1,1,2026-08-24T00:00:00.000
297,443,30,298.00,298.00,1,1,2026-08-24T00:00:00.000
298,381,398,299.00,299.00,1,1,2026-08-24T00:00:00.000
299,466,252,300.00,300.00,1,1,2026-08-24T00:00:00.000
300,286,311,301.00,301.00,1,1,2026-08-24T00:00:00.000
301,485,444,302.00,302.00,1,1,2026-08-24T00:00:00.000
302,473,18,303.00,303.00,1,1,2026-08-24T00:00:00.000
303,294,208,304.00,304.00,1,1,2026-08-24T00:00:00.000
304,472,27,305.00,305.00,1,1,2026-08-24T00:00:00.000
305,250,9,306.00,306.00,1,1,2026-08-24T00:00:00.000
306,287,474,307.00,307.00,1,1,2026-08-24T00:00:00.000
307,225,393,308.00,308.00,1,1,2026-08-24T00:00:00.000
308,55,467,309.00,309.00,1,1,2026-08-24T00:00:00.000
309,213,379,310.00,310.00,1,1,2026-08-24T00:00:00.000
310,256,115,311.00,311.00,1,1,2026-08-24T00:00:00.000
311,35,62,312.00,312.00,1,1,2026-08-24T00:00:00.000
312,435,359,313.00,313.00,1,1,2026-08-24T00:00:00.000
313,308,479,314.00,314.00,1,1,2026-08-24T00:00:00.000
314,2,45,315.00,315.00,1,1,2026-08-24T00:00:00.000
315,197,82,316.00,316.00,1,1,2026-08-24T00:00:00.000
316,473,3,317.00,317.00,1,1,2026-08-24T00:00:00.000
317,146,338,318.00,318.00,1,1,2026-08-24T00:00:00.000
318,137,56,319.00,319.00,1,1,2026-08-24T00:00:00.000
319,1,203,320.00,320.00,1,1,2026-08-24T00:00:00.000
320,478,387,321.00,321.00,1,1,2026-08-24T00:00:00.000
321,37,421,322.00,322.00,1,1,2026-08-24T00:00:00.000
322,401,273,323.00,323.00,1,1,2026-08-24T00:00:00.000
323,40,478,324.00,324.00,1,1,2026-08-24T00:00:00.000
324,275,362,325.00,325.00,1,1,2026-08-24T00:00:00.000
325,180,142,326.00,326.00,1,1,2026-08-24T00:00:00.000
326,240,116,327.00,327.00,1,1,2026-08-24T00:00:00.000
327,281,223,328.00,328.00,1,1,2026-08-24T00:00:00.000
328,136,461,329.00,329.00,1,1,2026-08-24T00:00:00.000
329,276,427,330.00,330.00,1,1,2026-08-24T00:00:00.000
330,71,454,331.00,331.00,1,1,2026-08-24T00:00:00.000
331,180,179,332.00,332.00,1,1,2026-08-24T00:00:00.000
332,91,411,333.00,333.00,1,1,2026-08-24T00:00:00.000
333,300,169,334.00,334.00,1,1,2026-08-24T00:00:00.000
334,239,183,335.00,335.00,1,1,2026-08-24T00:00:00.000
335,29,5,336.00,336.00,1,1,2026-08-24T00:00:00.000
336,72,361,337.00,337.00,1,1,2026-08-24T00:00:00.000
337,106,415,338.00,338.00,1,1,2026-08-24T00:00:00.000
338,432,477,339.00,339.00,1,1,2026-08-24T00:00:00.000
339,384,461,340.00,340.00,1,1,2026-08-24T00:00:00.000
340,378,262,341.00,341.00,1,1,2026-08-24T00:00:00.000
341,398,403,342.00,342.00,1,1,2026-08-24T00:00:00.000
342,390,438,343.00,343.00,1,1,2026-08-24T00:00:00.000
343,417,350,344.00,344.00,1,1,2026-08-24T00:00:00.000
344,357,326,345.00,345.00,1,1,2026-08-24T00:00:00.000
345,92,145,346.00,346.00,1,1,2026-08-24T00:00:00.000
346,407,124,347.00,347.00,1,1,2026-08-24T00:00:00.000
347,75,371,348.00,348.00,1,1,2026-08-24T00:00:00.000
348,81,422,349.00,349.00,1,1,2026-08-24T00:00:00.000
349,316,359,350.00,350.00,1,1,2026-08-24T00:00:00.000
350,491,283,351.00,351.00,1,1,2026-08-24T00:00:00.000
351,294,188,352.00,352.00,1,1,2026-08-24T00:00:00.000
352,100,186,353.00,353.00,1,1,2026-08-24T00:00:00.000
353,57,206,354.00,354.00,1,1,2026-08-24T00:00:00.000
354,134,481,355.00,355.00,1,1,2026-08-24T00:00:00.000
355,461,450,356.00,356.00,1,1,2026-08-24T00:00:00.000
356,376,253,357.00,357.00,1,1,2026-08-24T00:00:00.000
357,198,370,358.00,358.00,1,1,2026-08-24T00:00:00.000
358,267,486,359.00,359.00,1,1,2026-08-24T00:00:00.000
359,438,398,360.00,360.00,1,1,2026-08-24T00:00:00.000
360,306,213,361.00,361.00,1,1,2026-08-24T00:00:00.000
361,27,288,362.00,362.00,1,1,2026-08-24T00:00:00.000
362,190,246,363.00,363.00,1,1,2026-08-24T00:00:00.000
363,56,390,364.00,364.00,1,1,2026-08-24T00:00:00.000
364,430,70,365.00,365.00,1,1,2026-08-24T00:00:00.000
365,464,415,366.00,366.00,1,1,2026-08-24T00:00:00.000
366,130,42,367.00,367.00,1,1,2026-08-24T00:00:00.000
367,1,266,368.00,368.00,1,1,2026-08-24T00:00:00.000
368,426,107,369.00,369.00,1,1,2026-08-24T00:00:00.000
369,21,220,370.00,370.00,1,1,2026-08-24T00:00:00.000
370,342,273,371.00,371.00,1,1,2026-08-24T00:00:00.000
371,403,82,372.00,372.00,1,1,2026-08-24T00:00:00.000
372,22,341,373.00,373.00,1,1,2026-08-24T00:00:00.000
373,141,410,374.00,374.00,1,1,2026-08-24T00:00:00.000
374,483,101,375.00,375.00,1,1,2026-08-24T00:00:00.000
375,174,358,376.00,376.00,1,1,2026-08-24T00:00:00.000
376,247,301,377.00,377.00,1,1,2026-08-24T00:00:00.000
377,55,375,378.00,378.00,1,1,2026-08-24T00:00:00.000
378,162,201,379.00,379.00,1,1,2026-08-24T00:00:00.000
379,15,293,380.00,380.00,1,1,2026-08-24T00:00:00.000
380,455,143,381.00,381.00,1,1,2026-08-24T00:00:00.000
381,249,488,382.00,382.00,1,1,2026-08-24T00:00:00.000
382,183,485,383.00,383.00,1,1,2026-08-24T00:00:00.000
383,327,151,384.00,384.00,1,1,2026-08-24T00:00:00.000
384,124,100,385.00,385.00,1,1,2026-08-24T00:00:00.000
385,473,159,386.00,386.00,1,1,2026-08-24T00:00:00.000
386,170,168,387.00,387.00,1,1,2026-08-24T00:00:00.000
387,16,449,388.00,388.00,1,1,2026-08-24T00:00:00.000
388,26,394,389.00,389.00,1,1,2026-08-24T00:00:00.000
389,230,117,390.00,390.00,1,1,2026-08-24T00:00:00.000
390,385,469,391.00,391.00,1,1,2026-08-24T00:00:00.000
391,101,96,392.00,392.00,1,1,2026-08-24T00:00:00.000
392,125,378,393.00,393.00,1,1,2026-08-24T00:00:00.000
393,98,336,394.00,394.00,1,1,2026-08-24T00:00:00.000
394,263,323,395.00,395.00,1,1,2026-08-24T00:00:00.000
395,361,195,396.00,396.00,1,1,2026-08-24T00:00:00.000
396,284,58,397.00,397.00,1,1,2026-08-24T00:00:00.000
397,231,352,398.00,398.00,1,1,2026-08-24T00:00:00.000
398,239,25,399.00,399.00,1,1,2026-08-24T00:00:00.000
399,442,158,400.00,400.00,1,1,2026-08-24T00:00:00.000
400,178,260,401.00,401.00,1,1,2026-08-24T00:00:00.000
401,453,327,402.00,402.00,1,1,2026-08-24T00:00:00.000
402,3,341,403.00,403.00,1,1,2026-08-24T00:00:00.000
403,309,298,404.00,404.00,1,1,2026-08-24T00:00:00.000
404,471,449,405.00,405.00,1,1,2026-08-24T00:00:00.000
405,471,419,406.00,406.00,1,1,2026-08-24T00:00:00.000
406,424,155,407.00,407.00,1,1,2026-08-24T00:00:00.000
407,334,128,408.00,408.00,1,1,2026-08-24T00:00:00.000
408,374,187,409.00,409.00,1,1,2026-08-24T00:00:00.000
409,408,153,410.00,410.00,1,1,2026-08-24T00:00:00.000
410,473,370,411.00,411.00,1,1,2026-08-24T00:00:00.000
411,23,103,412.00,412.00,1,1,2026-08-24T00:00:00.000
412,342,131,413.00,413.00,1,1,2026-08-24T00:00:00.000
413,400,383,414.00,414.00,1,1,2026-08-24T00:00:00.000
414,310,471,415.00,415.00,1,1,2026-08-24T00:00:00.000
415,390,217,416.00,416.00,1,1,2026-08-24T00:00:00.000
416,210,186,417.00,417.00,1,1,2026-08-24T00:00:00.000
417,331,76,418.00,418.00,1,1,2026-08-24T00:00:00.000
