MaintenanceCrewEmployeeKey,MaintenanceCrewKey,EmployeeKey,MaintenanceCrewRoleKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
171,182,313,457,171,244.270000,0.0171,1,1,2026-08-24T00:00:00.000
172,400,499,232,172,245.640000,0.0172,1,1,2026-08-24T00:00:00.000
173,124,391,190,173,247.010000,0.0173,1,1,2026-08-24T00:00:00.000
174,75,257,273,174,248.380000,0.0174,1,1,2026-08-24T00:00:00.000
175,372,136,110,175,249.750000,0.0175,1,1,2026-08-24T00:00:00.000
176,324,160,303,176,251.120000,0.0176,1,1,2026-08-24T00:00:00.000
177,36,360,416,177,252.490000,0.0177,1,1,2026-08-24T00:00:00.000
178,449,359,152,178,253.860000,0.0178,1,1,2026-08-24T00:00:00.000
179,276,353,213,179,255.230000,0.0179,1,1,2026-08-24T00:00:00.000
180,384,61,127,180,256.600000,0.0180,1,1,2026-08-24T00:00:00.000
181,367,39,389,181,257.970000,0.0181,1,1,2026-08-24T00:00:00.000
182,407,435,488,182,259.340000,0.0182,1,1,2026-08-24T00:00:00.000
183,58,467,323,183,260.710000,0.0183,1,1,2026-08-24T00:00:00.000
184,366,201,323,184,262.080000,0.0184,1,1,2026-08-24T00:00:00.000
185,287,107,67,185,263.450000,0.0185,1,1,2026-08-24T00:00:00.000
186,125,87,73,186,264.820000,0.0186,1,1,2026-08-24T00:00:00.000
187,369,75,309,187,266.190000,0.0187,1,1,2026-08-24T00:00:00.000
188,265,215,244,188,267.560000,0.0188,1,1,2026-08-24T00:00:00.000
189,9,53,236,189,268.930000,0.0189,1,1,2026-08-24T00:00:00.000
190,159,349,102,190,270.300000,0.0190,1,1,2026-08-24T00:00:00.000
191,35,200,119,191,271.670000,0.0191,1,1,2026-08-24T00:00:00.000
192,121,18,264,192,273.040000,0.0192,1,1,2026-08-24T00:00:00.000
193,192,234,351,193,274.410000,0.0193,1,1,2026-08-24T00:00:00.000
194,339,109,252,194,275.780000,0.0194,1,1,2026-08-24T00:00:00.000
195,262,280,370,195,277.150000,0.0195,1,1,2026-08-24T00:00:00.000
196,138,200,276,196,278.520000,0.0196,1,1,2026-08-24T00:00:00.000
197,206,96,344,197,279.890000,0.0197,1,1,2026-08-24T00:00:00.000
198,267,489,202,198,281.260000,0.0198,1,1,2026-08-24T00:00:00.000
199,209,95,273,199,282.630000,0.0199,1,1,2026-08-24T00:00:00.000
200,452,226,86,200,284.000000,0.0200,1,1,2026-08-24T00:00:00.000
201,258,405,61,201,285.370000,0.0201,1,1,2026-08-24T00:00:00.000
202,308,290,274,202,286.740000,0.0202,1,1,2026-08-24T00:00:00.000
203,239,249,17,203,288.110000,0.0203,1,1,2026-08-24T00:00:00.000
204,132,455,487,204,289.480000,0.0204,1,1,2026-08-24T00:00:00.000
205,325,34,321,205,290.850000,0.0205,1,1,2026-08-24T00:00:00.000
206,71,30,452,206,292.220000,0.0206,1,1,2026-08-24T00:00:00.000
207,416,242,289,207,293.590000,0.0207,1,1,2026-08-24T00:00:00.000
208,385,482,232,208,294.960000,0.0208,1,1,2026-08-24T00:00:00.000
209,176,181,254,209,296.330000,0.0209,1,1,2026-08-24T00:00:00.000
210,481,432,474,210,297.700000,0.0210,1,1,2026-08-24T00:00:00.000
211,362,346,279,211,299.070000,0.0211,1,1,2026-08-24T00:00:00.000
212,78,391,402,212,300.440000,0.0212,1,1,2026-08-24T00:00:00.000
213,487,413,468,213,301.810000,0.0213,1,1,2026-08-24T00:00:00.000
214,474,20,484,214,303.180000,0.0214,1,1,2026-08-24T00:00:00.000
215,227,64,470,215,304.550000,0.0215,1,1,2026-08-24T00:00:00.000
216,443,45,492,216,305.920000,0.0216,1,1,2026-08-24T00:00:00.000
217,166,475,86,217,307.290000,0.0217,1,1,2026-08-24T00:00:00.000
218,313,413,200,218,308.660000,0.0218,1,1,2026-08-24T00:00:00.000
219,78,482,59,219,310.030000,0.0219,1,1,2026-08-24T00:00:00.000
220,249,203,155,220,311.400000,0.0220,1,1,2026-08-24T00:00:00.000
221,67,209,465,221,312.770000,0.0221,1,1,2026-08-24T00:00:00.000
222,264,303,344,222,314.140000,0.0222,1,1,2026-08-24T00:00:00.000
223,479,77,8,223,315.510000,0.0223,1,1,2026-08-24T00:00:00.000
224,157,251,438,224,316.880000,0.0224,1,1,2026-08-24T00:00:00.000
225,277,215,121,225,318.250000,0.0225,1,1,2026-08-24T00:00:00.000
226,428,98,47,226,319.620000,0.0226,1,1,2026-08-24T00:00:00.000
227,217,328,27,227,320.990000,0.0227,1,1,2026-08-24T00:00:00.000
228,95,133,353,228,322.360000,0.0228,1,1,2026-08-24T00:00:00.000
229,437,275,16,229,323.730000,0.0229,1,1,2026-08-24T00:00:00.000
230,379,382,115,230,325.100000,0.0230,1,1,2026-08-24T00:00:00.000
231,47,433,269,231,326.470000,0.0231,1,1,2026-08-24T00:00:00.000
232,395,25,68,232,327.840000,0.0232,1,1,2026-08-24T00:00:00.000
233,235,309,266,233,329.210000,0.0233,1,1,2026-08-24T00:00:00.000
234,362,490,181,234,330.580000,0.0234,1,1,2026-08-24T00:00:00.000
235,395,337,19,235,331.950000,0.0235,1,1,2026-08-24T00:00:00.000
236,184,42,278,236,333.320000,0.0236,1,1,2026-08-24T00:00:00.000
237,385,430,78,237,334.690000,0.0237,1,1,2026-08-24T00:00:00.000
238,275,147,58,238,336.060000,0.0238,1,1,2026-08-24T00:00:00.000
239,304,208,274,239,337.430000,0.0239,1,1,2026-08-24T00:00:00.000
240,156,476,80,240,338.800000,0.0240,1,1,2026-08-24T00:00:00.000
241,142,219,419,241,340.170000,0.0241,1,1,2026-08-24T00:00:00.000
242,136,407,4,242,341.540000,0.0242,1,1,2026-08-24T00:00:00.000
243,251,56,192,243,342.910000,0.0243,1,1,2026-08-24T00:00:00.000
244,193,260,195,244,344.280000,0.0244,1,1,2026-08-24T00:00:00.000
245,238,434,300,245,345.650000,0.0245,1,1,2026-08-24T00:00:00.000
246,100,205,298,246,347.020000,0.0246,1,1,2026-08-24T00:00:00.000
247,4,223,50,247,348.390000,0.0247,1,1,2026-08-24T00:00:00.000
248,208,200,13,248,349.760000,0.0248,1,1,2026-08-24T00:00:00.000
249,9,347,255,249,351.130000,0.0249,1,1,2026-08-24T00:00:00.000
250,305,378,271,250,352.500000,0.0250,1,1,2026-08-24T00:00:00.000
251,244,263,101,251,353.870000,0.0251,1,1,2026-08-24T00:00:00.000
252,174,299,274,252,355.240000,0.0252,1,1,2026-08-24T00:00:00.000
253,264,22,458,253,356.610000,0.0253,1,1,2026-08-24T00:00:00.000
254,11,308,142,254,357.980000,0.0254,1,1,2026-08-24T00:00:00.000
255,61,277,62,255,359.350000,0.0255,1,1,2026-08-24T00:00:00.000
256,8,35,238,256,360.720000,0.0256,1,1,2026-08-24T00:00:00.000
257,57,127,105,257,362.090000,0.0257,1,1,2026-08-24T00:00:00.000
258,478,438,352,258,363.460000,0.0258,1,1,2026-08-24T00:00:00.000
259,244,347,255,259,364.830000,0.0259,1,1,2026-08-24T00:00:00.000
260,263,6,468,260,366.200000,0.0260,1,1,2026-08-24T00:00:00.000
261,362,32,100,261,367.570000,0.0261,1,1,2026-08-24T00:00:00.000
262,378,299,114,262,368.940000,0.0262,1,1,2026-08-24T00:00:00.000
263,247,100,459,263,370.310000,0.0263,1,1,2026-08-24T00:00:00.000
264,185,347,420,264,371.680000,0.0264,1,1,2026-08-24T00:00:00.000
265,391,262,138,265,373.050000,0.0265,1,1,2026-08-24T00:00:00.000
266,18,123,344,266,374.420000,0.0266,1,1,2026-08-24T00:00:00.000
267,308,63,326,267,375.790000,0.0267,1,1,2026-08-24T00:00:00.000
268,355,34,326,268,377.160000,0.0268,1,1,2026-08-24T00:00:00.000
269,87,352,149,269,378.530000,0.0269,1,1,2026-08-24T00:00:00.000
270,298,137,17,270,379.900000,0.0270,1,1,2026-08-24T00:00:00.000
271,287,104,65,271,381.270000,0.0271,1,1,2026-08-24T00:00:00.000
272,423,173,57,272,382.640000,0.0272,1,1,2026-08-24T00:00:00.000
273,299,494,255,273,384.010000,0.0273,1,1,2026-08-24T00:00:00.000
274,492,448,364,274,385.380000,0.0274,1,1,2026-08-24T00:00:00.000
275,132,295,480,275,386.750000,0.0275,1,1,2026-08-24T00:00:00.000
276,431,228,193,276,388.120000,0.0276,1,1,2026-08-24T00:00:00.000
277,284,463,287,277,389.490000,0.0277,1,1,2026-08-24T00:00:00.000
278,363,406,61,278,390.860000,0.0278,1,1,2026-08-24T00:00:00.000
279,455,270,434,279,392.230000,0.0279,1,1,2026-08-24T00:00:00.000
280,248,454,66,280,393.600000,0.0280,1,1,2026-08-24T00:00:00.000
281,336,313,17,281,394.970000,0.0281,1,1,2026-08-24T00:00:00.000
282,184,233,324,282,396.340000,0.0282,1,1,2026-08-24T00:00:00.000
283,278,401,174,283,397.710000,0.0283,1,1,2026-08-24T00:00:00.000
284,201,475,287,284,399.080000,0.0284,1,1,2026-08-24T00:00:00.000
285,283,157,335,285,400.450000,0.0285,1,1,2026-08-24T00:00:00.000
286,346,363,490,286,401.820000,0.0286,1,1,2026-08-24T00:00:00.000
287,226,128,275,287,403.190000,0.0287,1,1,2026-08-24T00:00:00.000
288,40,419,124,288,404.560000,0.0288,1,1,2026-08-24T00:00:00.000
289,64,442,40,289,405.930000,0.0289,1,1,2026-08-24T00:00:00.000
290,177,120,353,290,407.300000,0.0290,1,1,2026-08-24T00:00:00.000
291,464,213,248,291,408.670000,0.0291,1,1,2026-08-24T00:00:00.000
292,157,457,197,292,410.040000,0.0292,1,1,2026-08-24T00:00:00.000
293,388,157,166,293,411.410000,0.0293,1,1,2026-08-24T00:00:00.000
294,426,362,358,294,412.780000,0.0294,1,1,2026-08-24T00:00:00.000
295,98,95,25,295,414.150000,0.0295,1,1,2026-08-24T00:00:00.000
296,189,306,115,296,415.520000,0.0296,1,1,2026-08-24T00:00:00.000
297,398,17,96,297,416.890000,0.0297,1,1,2026-08-24T00:00:00.000
298,167,337,382,298,418.260000,0.0298,1,1,2026-08-24T00:00:00.000
299,276,279,270,299,419.630000,0.0299,1,1,2026-08-24T00:00:00.000
300,253,426,79,300,421.000000,0.0300,1,1,2026-08-24T00:00:00.000
301,100,9,85,301,422.370000,0.0301,1,1,2026-08-24T00:00:00.000
302,394,191,7,302,423.740000,0.0302,1,1,2026-08-24T00:00:00.000
303,148,128,463,303,425.110000,0.0303,1,1,2026-08-24T00:00:00.000
304,345,450,407,304,426.480000,0.0304,1,1,2026-08-24T00:00:00.000
305,117,494,248,305,427.850000,0.0305,1,1,2026-08-24T00:00:00.000
306,397,280,397,306,429.220000,0.0306,1,1,2026-08-24T00:00:00.000
307,104,278,195,307,430.590000,0.0307,1,1,2026-08-24T00:00:00.000
308,499,386,268,308,431.960000,0.0308,1,1,2026-08-24T00:00:00.000
309,321,452,202,309,433.330000,0.0309,1,1,2026-08-24T00:00:00.000
310,353,177,137,310,434.700000,0.0310,1,1,2026-08-24T00:00:00.000
311,239,126,30,311,436.070000,0.0311,1,1,2026-08-24T00:00:00.000
312,214,38,189,312,437.440000,0.0312,1,1,2026-08-24T00:00:00.000
313,262,433,307,313,438.810000,0.0313,1,1,2026-08-24T00:00:00.000
314,435,66,137,314,440.180000,0.0314,1,1,2026-08-24T00:00:00.000
315,396,27,3,315,441.550000,0.0315,1,1,2026-08-24T00:00:00.000
316,457,298,168,316,442.920000,0.0316,1,1,2026-08-24T00:00:00.000
317,108,88,352,317,444.290000,0.0317,1,1,2026-08-24T00:00:00.000
318,120,38,15,318,445.660000,0.0318,1,1,2026-08-24T00:00:00.000
319,153,231,152,319,447.030000,0.0319,1,1,2026-08-24T00:00:00.000
320,100,356,235,320,448.400000,0.0320,1,1,2026-08-24T00:00:00.000
321,77,240,266,321,449.770000,0.0321,1,1,2026-08-24T00:00:00.000
322,417,291,290,322,451.140000,0.0322,1,1,2026-08-24T00:00:00.000
323,283,41,61,323,452.510000,0.0323,1,1,2026-08-24T00:00:00.000
324,377,327,387,324,453.880000,0.0324,1,1,2026-08-24T00:00:00.000
325,354,243,201,325,455.250000,0.0325,1,1,2026-08-24T00:00:00.000
326,241,66,247,326,456.620000,0.0326,1,1,2026-08-24T00:00:00.000
327,157,492,461,327,457.990000,0.0327,1,1,2026-08-24T00:00:00.000
328,84,106,142,328,459.360000,0.0328,1,1,2026-08-24T00:00:00.000
329,297,28,261,329,460.730000,0.0329,1,1,2026-08-24T00:00:00.000
330,186,404,497,330,462.100000,0.0330,1,1,2026-08-24T00:00:00.000
331,490,106,233,331,463.470000,0.0331,1,1,2026-08-24T00:00:00.000
332,350,71,339,332,464.840000,0.0332,1,1,2026-08-24T00:00:00.000
333,100,341,364,333,466.210000,0.0333,1,1,2026-08-24T00:00:00.000
334,293,427,104,334,467.580000,0.0334,1,1,2026-08-24T00:00:00.000
335,131,124,147,335,468.950000,0.0335,1,1,2026-08-24T00:00:00.000
336,491,48,192,336,470.320000,0.0336,1,1,2026-08-24T00:00:00.000
337,402,194,482,337,471.690000,0.0337,1,1,2026-08-24T00:00:00.000
338,362,164,79,338,473.060000,0.0338,1,1,2026-08-24T00:00:00.000
339,126,183,321,339,474.430000,0.0339,1,1,2026-08-24T00:00:00.000
340,218,202,97,340,475.800000,0.0340,1,1,2026-08-24T00:00:00.000
341,257,467,445,341,477.170000,0.0341,1,1,2026-08-24T00:00:00.000
342,276,161,63,342,478.540000,0.0342,1,1,2026-08-24T00:00:00.000
343,125,315,452,343,479.910000,0.0343,1,1,2026-08-24T00:00:00.000
344,300,491,258,344,481.280000,0.0344,1,1,2026-08-24T00:00:00.000
345,196,121,37,345,482.650000,0.0345,1,1,2026-08-24T00:00:00.000
346,487,3,489,346,484.020000,0.0346,1,1,2026-08-24T00:00:00.000
347,81,95,368,347,485.390000,0.0347,1,1,2026-08-24T00:00:00.000
348,397,67,62,348,486.760000,0.0348,1,1,2026-08-24T00:00:00.000
349,303,479,52,349,488.130000,0.0349,1,1,2026-08-24T00:00:00.000
350,87,67,232,350,489.500000,0.0350,1,1,2026-08-24T00:00:00.000
351,208,437,130,351,490.870000,0.0351,1,1,2026-08-24T00:00:00.000
352,309,289,42,352,492.240000,0.0352,1,1,2026-08-24T00:00:00.000
