WarrantyClaimRepairCodeKey,WarrantyFailureModeKey,ServiceRepairCodeKey,RepairProbabilityRatio,StandardAllowanceAmount,SourceSystemKey,BatchId,LoadedAtUtc
41,371,111,42.000000,66.1700,1,1,2026-08-24T00:00:00.000
42,30,279,43.000000,67.5400,1,1,2026-08-24T00:00:00.000
43,461,174,44.000000,68.9100,1,1,2026-08-24T00:00:00.000
44,358,174,45.000000,70.2800,1,1,2026-08-24T00:00:00.000
45,49,241,46.000000,71.6500,1,1,2026-08-24T00:00:00.000
46,26,461,47.000000,73.0200,1,1,2026-08-24T00:00:00.000
47,116,275,48.000000,74.3900,1,1,2026-08-24T00:00:00.000
48,124,430,49.000000,75.7600,1,1,2026-08-24T00:00:00.000
49,228,357,50.000000,77.1300,1,1,2026-08-24T00:00:00.000
50,258,408,51.000000,78.5000,1,1,2026-08-24T00:00:00.000
51,446,274,52.000000,79.8700,1,1,2026-08-24T00:00:00.000
52,246,146,53.000000,81.2400,1,1,2026-08-24T00:00:00.000
53,159,315,54.000000,82.6100,1,1,2026-08-24T00:00:00.000
54,207,278,55.000000,83.9800,1,1,2026-08-24T00:00:00.000
55,329,359,56.000000,85.3500,1,1,2026-08-24T00:00:00.000
56,232,353,57.000000,86.7200,1,1,2026-08-24T00:00:00.000
57,321,376,58.000000,88.0900,1,1,2026-08-24T00:00:00.000
58,433,58,59.000000,89.4600,1,1,2026-08-24T00:00:00.000
59,418,228,60.000000,90.8300,1,1,2026-08-24T00:00:00.000
60,77,175,61.000000,92.2000,1,1,2026-08-24T00:00:00.000
61,310,403,62.000000,93.5700,1,1,2026-08-24T00:00:00.000
62,249,437,63.000000,94.9400,1,1,2026-08-24T00:00:00.000
63,492,486,64.000000,96.3100,1,1,2026-08-24T00:00:00.000
64,237,138,65.000000,97.6800,1,1,2026-08-24T00:00:00.000
65,37,95,66.000000,99.0500,1,1,2026-08-24T00:00:00.000
66,453,407,67.000000,100.4200,1,1,2026-08-24T00:00:00.000
67,142,407,68.000000,101.7900,1,1,2026-08-24T00:00:00.000
68,311,485,69.000000,103.1600,1,1,2026-08-24T00:00:00.000
69,361,223,70.000000,104.5300,1,1,2026-08-24T00:00:00.000
70,320,134,71.000000,105.9000,1,1,2026-08-24T00:00:00.000
71,251,222,72.000000,107.2700,1,1,2026-08-24T00:00:00.000
72,12,62,73.000000,108.6400,1,1,2026-08-24T00:00:00.000
73,122,365,74.000000,110.0100,1,1,2026-08-24T00:00:00.000
74,126,206,75.000000,111.3800,1,1,2026-08-24T00:00:00.000
75,58,500,76.000000,112.7500,1,1,2026-08-24T00:00:00.000
76,481,71,77.000000,114.1200,1,1,2026-08-24T00:00:00.000
77,483,229,78.000000,115.4900,1,1,2026-08-24T00:00:00.000
78,267,334,79.000000,116.8600,1,1,2026-08-24T00:00:00.000
79,197,145,80.000000,118.2300,1,1,2026-08-24T00:00:00.000
80,185,344,81.000000,119.6000,1,1,2026-08-24T00:00:00.000
81,470,365,82.000000,120.9700,1,1,2026-08-24T00:00:00.000
82,210,319,83.000000,122.3400,1,1,2026-08-24T00:00:00.000
83,313,462,84.000000,123.7100,1,1,2026-08-24T00:00:00.000
84,390,267,85.000000,125.0800,1,1,2026-08-24T00:00:00.000
85,23,476,86.000000,126.4500,1,1,2026-08-24T00:00:00.000
86,46,196,87.000000,127.8200,1,1,2026-08-24T00:00:00.000
87,406,54,88.000000,129.1900,1,1,2026-08-24T00:00:00.000
88,408,19,89.000000,130.5600,1,1,2026-08-24T00:00:00.000
89,219,178,90.000000,131.9300,1,1,2026-08-24T00:00:00.000
90,296,106,91.000000,133.3000,1,1,2026-08-24T00:00:00.000
91,413,253,92.000000,134.6700,1,1,2026-08-24T00:00:00.000
92,117,216,93.000000,136.0400,1,1,2026-08-24T00:00:00.000
93,64,244,94.000000,137.4100,1,1,2026-08-24T00:00:00.000
94,277,276,95.000000,138.7800,1,1,2026-08-24T00:00:00.000
95,460,240,96.000000,140.1500,1,1,2026-08-24T00:00:00.000
96,78,107,97.000000,141.5200,1,1,2026-08-24T00:00:00.000
97,32,2,98.000000,142.8900,1,1,2026-08-24T00:00:00.000
98,170,246,99.000000,144.2600,1,1,2026-08-24T00:00:00.000
99,453,376,100.000000,145.6300,1,1,2026-08-24T00:00:00.000
100,375,298,101.000000,147.0000,1,1,2026-08-24T00:00:00.000
101,475,364,102.000000,148.3700,1,1,2026-08-24T00:00:00.000
102,479,312,103.000000,149.7400,1,1,2026-08-24T00:00:00.000
103,111,373,104.000000,151.1100,1,1,2026-08-24T00:00:00.000
104,498,56,105.000000,152.4800,1,1,2026-08-24T00:00:00.000
105,105,173,106.000000,153.8500,1,1,2026-08-24T00:00:00.000
106,225,462,107.000000,155.2200,1,1,2026-08-24T00:00:00.000
107,13,25,108.000000,156.5900,1,1,2026-08-24T00:00:00.000
108,90,229,109.000000,157.9600,1,1,2026-08-24T00:00:00.000
109,88,23,110.000000,159.3300,1,1,2026-08-24T00:00:00.000
110,168,452,111.000000,160.7000,1,1,2026-08-24T00:00:00.000
111,69,202,112.000000,162.0700,1,1,2026-08-24T00:00:00.000
112,214,331,113.000000,163.4400,1,1,2026-08-24T00:00:00.000
113,67,321,114.000000,164.8100,1,1,2026-08-24T00:00:00.000
114,265,475,115.000000,166.1800,1,1,2026-08-24T00:00:00.000
115,9,140,116.000000,167.5500,1,1,2026-08-24T00:00:00.000
116,397,475,117.000000,168.9200,1,1,2026-08-24T00:00:00.000
117,90,472,118.000000,170.2900,1,1,2026-08-24T00:00:00.000
118,127,219,119.000000,171.6600,1,1,2026-08-24T00:00:00.000
119,118,43,120.000000,173.0300,1,1,2026-08-24T00:00:00.000
120,497,48,121.000000,174.4000,1,1,2026-08-24T00:00:00.000
121,203,411,122.000000,175.7700,1,1,2026-08-24T00:00:00.000
122,438,362,123.000000,177.1400,1,1,2026-08-24T00:00:00.000
123,443,402,124.000000,178.5100,1,1,2026-08-24T00:00:00.000
124,145,277,125.000000,179.8800,1,1,2026-08-24T00:00:00.000
125,46,181,126.000000,181.2500,1,1,2026-08-24T00:00:00.000
126,178,363,127.000000,182.6200,1,1,2026-08-24T00:00:00.000
127,181,333,128.000000,183.9900,1,1,2026-08-24T00:00:00.000
128,165,472,129.000000,185.3600,1,1,2026-08-24T00:00:00.000
129,173,444,130.000000,186.7300,1,1,2026-08-24T00:00:00.000
130,172,319,131.000000,188.1000,1,1,2026-08-24T00:00:00.000
131,229,494,132.000000,189.4700,1,1,2026-08-24T00:00:00.000
132,175,279,133.000000,190.8400,1,1,2026-08-24T00:00:00.000
133,458,11,134.000000,192.2100,1,1,2026-08-24T00:00:00.000
134,387,418,135.000000,193.5800,1,1,2026-08-24T00:00:00.000
135,201,117,136.000000,194.9500,1,1,2026-08-24T00:00:00.000
136,167,262,137.000000,196.3200,1,1,2026-08-24T00:00:00.000
137,239,310,138.000000,197.6900,1,1,2026-08-24T00:00:00.000
138,312,302,139.000000,199.0600,1,1,2026-08-24T00:00:00.000
139,246,396,140.000000,200.4300,1,1,2026-08-24T00:00:00.000
140,312,407,141.000000,201.8000,1,1,2026-08-24T00:00:00.000
141,62,151,142.000000,203.1700,1,1,2026-08-24T00:00:00.000
142,56,329,143.000000,204.5400,1,1,2026-08-24T00:00:00.000
143,350,347,144.000000,205.9100,1,1,2026-08-24T00:00:00.000
144,102,160,145.000000,207.2800,1,1,2026-08-24T00:00:00.000
145,75,263,146.000000,208.6500,1,1,2026-08-24T00:00:00.000
146,44,40,147.000000,210.0200,1,1,2026-08-24T00:00:00.000
147,38,194,148.000000,211.3900,1,1,2026-08-24T00:00:00.000
148,152,256,149.000000,212.7600,1,1,2026-08-24T00:00:00.000
149,393,196,150.000000,214.1300,1,1,2026-08-24T00:00:00.000
150,329,264,151.000000,215.5000,1,1,2026-08-24T00:00:00.000
151,392,33,152.000000,216.8700,1,1,2026-08-24T00:00:00.000
152,26,378,153.000000,218.2400,1,1,2026-08-24T00:00:00.000
153,262,228,154.000000,219.6100,1,1,2026-08-24T00:00:00.000
154,290,477,155.000000,220.9800,1,1,2026-08-24T00:00:00.000
155,98,49,156.000000,222.3500,1,1,2026-08-24T00:00:00.000
156,403,250,157.000000,223.7200,1,1,2026-08-24T00:00:00.000
157,266,16,158.000000,225.0900,1,1,2026-08-24T00:00:00.000
158,34,312,159.000000,226.4600,1,1,2026-08-24T00:00:00.000
159,420,223,160.000000,227.8300,1,1,2026-08-24T00:00:00.000
160,192,303,161.000000,229.2000,1,1,2026-08-24T00:00:00.000
161,105,254,162.000000,230.5700,1,1,2026-08-24T00:00:00.000
162,22,58,163.000000,231.9400,1,1,2026-08-24T00:00:00.000
163,225,397,164.000000,233.3100,1,1,2026-08-24T00:00:00.000
164,466,318,165.000000,234.6800,1,1,2026-08-24T00:00:00.000
165,451,57,166.000000,236.0500,1,1,2026-08-24T00:00:00.000
166,142,203,167.000000,237.4200,1,1,2026-08-24T00:00:00.000
167,311,211,168.000000,238.7900,1,1,2026-08-24T00:00:00.000
168,358,296,169.000000,240.1600,1,1,2026-08-24T00:00:00.000
169,312,189,170.000000,241.5300,1,1,2026-08-24T00:00:00.000
170,260,470,171.000000,242.9000,1,1,2026-08-24T00:00:00.000
171,245,155,172.000000,244.2700,1,1,2026-08-24T00:00:00.000
172,280,232,173.000000,245.6400,1,1,2026-08-24T00:00:00.000
173,417,467,174.000000,247.0100,1,1,2026-08-24T00:00:00.000
174,194,290,175.000000,248.3800,1,1,2026-08-24T00:00:00.000
175,435,80,176.000000,249.7500,1,1,2026-08-24T00:00:00.000
176,187,355,177.000000,251.1200,1,1,2026-08-24T00:00:00.000
177,203,380,178.000000,252.4900,1,1,2026-08-24T00:00:00.000
178,273,390,179.000000,253.8600,1,1,2026-08-24T00:00:00.000
179,363,292,180.000000,255.2300,1,1,2026-08-24T00:00:00.000
180,212,442,181.000000,256.6000,1,1,2026-08-24T00:00:00.000
181,290,294,182.000000,257.9700,1,1,2026-08-24T00:00:00.000
182,69,79,183.000000,259.3400,1,1,2026-08-24T00:00:00.000
183,50,168,184.000000,260.7100,1,1,2026-08-24T00:00:00.000
184,19,122,185.000000,262.0800,1,1,2026-08-24T00:00:00.000
185,256,31,186.000000,263.4500,1,1,2026-08-24T00:00:00.000
186,42,285,187.000000,264.8200,1,1,2026-08-24T00:00:00.000
187,117,402,188.000000,266.1900,1,1,2026-08-24T00:00:00.000
188,352,135,189.000000,267.5600,1,1,2026-08-24T00:00:00.000
189,456,42,190.000000,268.9300,1,1,2026-08-24T00:00:00.000
190,235,150,191.000000,270.3000,1,1,2026-08-24T00:00:00.000
191,370,338,192.000000,271.6700,1,1,2026-08-24T00:00:00.000
192,28,475,193.000000,273.0400,1,1,2026-08-24T00:00:00.000
193,141,159,194.000000,274.4100,1,1,2026-08-24T00:00:00.000
194,140,24,195.000000,275.7800,1,1,2026-08-24T00:00:00.000
195,304,212,196.000000,277.1500,1,1,2026-08-24T00:00:00.000
196,415,419,197.000000,278.5200,1,1,2026-08-24T00:00:00.000
197,292,125,198.000000,279.8900,1,1,2026-08-24T00:00:00.000
198,15,174,199.000000,281.2600,1,1,2026-08-24T00:00:00.000
199,24,176,200.000000,282.6300,1,1,2026-08-24T00:00:00.000
200,285,43,201.000000,284.0000,1,1,2026-08-24T00:00:00.000
201,139,345,202.000000,285.3700,1,1,2026-08-24T00:00:00.000
202,183,125,203.000000,286.7400,1,1,2026-08-24T00:00:00.000
203,181,208,204.000000,288.1100,1,1,2026-08-24T00:00:00.000
204,325,92,205.000000,289.4800,1,1,2026-08-24T00:00:00.000
205,149,158,206.000000,290.8500,1,1,2026-08-24T00:00:00.000
206,430,60,207.000000,292.2200,1,1,2026-08-24T00:00:00.000
207,374,327,208.000000,293.5900,1,1,2026-08-24T00:00:00.000
208,358,5,209.000000,294.9600,1,1,2026-08-24T00:00:00.000
209,70,243,210.000000,296.3300,1,1,2026-08-24T00:00:00.000
210,143,262,211.000000,297.7000,1,1,2026-08-24T00:00:00.000
211,122,408,212.000000,299.0700,1,1,2026-08-24T00:00:00.000
212,22,423,213.000000,300.4400,1,1,2026-08-24T00:00:00.000
213,447,259,214.000000,301.8100,1,1,2026-08-24T00:00:00.000
214,10,139,215.000000,303.1800,1,1,2026-08-24T00:00:00.000
215,33,197,216.000000,304.5500,1,1,2026-08-24T00:00:00.000
216,364,372,217.000000,305.9200,1,1,2026-08-24T00:00:00.000
217,487,354,218.000000,307.2900,1,1,2026-08-24T00:00:00.000
218,215,196,219.000000,308.6600,1,1,2026-08-24T00:00:00.000
219,363,493,220.000000,310.0300,1,1,2026-08-24T00:00:00.000
220,353,49,221.000000,311.4000,1,1,2026-08-24T00:00:00.000
221,105,265,222.000000,312.7700,1,1,2026-08-24T00:00:00.000
222,456,9,223.000000,314.1400,1,1,2026-08-24T00:00:00.000
223,450,34,224.000000,315.5100,1,1,2026-08-24T00:00:00.000
224,309,489,225.000000,316.8800,1,1,2026-08-24T00:00:00.000
225,409,346,226.000000,318.2500,1,1,2026-08-24T00:00:00.000
226,122,266,227.000000,319.6200,1,1,2026-08-24T00:00:00.000
227,400,16,228.000000,320.9900,1,1,2026-08-24T00:00:00.000
228,386,370,229.000000,322.3600,1,1,2026-08-24T00:00:00.000
229,409,349,230.000000,323.7300,1,1,2026-08-24T00:00:00.000
230,435,417,231.000000,325.1000,1,1,2026-08-24T00:00:00.000
231,148,213,232.000000,326.4700,1,1,2026-08-24T00:00:00.000
232,392,66,233.000000,327.8400,1,1,2026-08-24T00:00:00.000
233,470,86,234.000000,329.2100,1,1,2026-08-24T00:00:00.000
234,447,82,235.000000,330.5800,1,1,2026-08-24T00:00:00.000
235,234,493,236.000000,331.9500,1,1,2026-08-24T00:00:00.000
236,126,431,237.000000,333.3200,1,1,2026-08-24T00:00:00.000
237,374,452,238.000000,334.6900,1,1,2026-08-24T00:00:00.000
238,210,369,239.000000,336.0600,1,1,2026-08-24T00:00:00.000
239,499,174,240.000000,337.4300,1,1,2026-08-24T00:00:00.000
240,419,284,241.000000,338.8000,1,1,2026-08-24T00:00:00.000
241,463,135,242.000000,340.1700,1,1,2026-08-24T00:00:00.000
242,348,307,243.000000,341.5400,1,1,2026-08-24T00:00:00.000
243,143,102,244.000000,342.9100,1,1,2026-08-24T00:00:00.000
244,481,62,245.000000,344.2800,1,1,2026-08-24T00:00:00.000
245,80,397,246.000000,345.6500,1,1,2026-08-24T00:00:00.000
246,103,365,247.000000,347.0200,1,1,2026-08-24T00:00:00.000
247,66,25,248.000000,348.3900,1,1,2026-08-24T00:00:00.000
248,269,58,249.000000,349.7600,1,1,2026-08-24T00:00:00.000
249,63,294,250.000000,351.1300,1,1,2026-08-24T00:00:00.000
250,400,193,251.000000,352.5000,1,1,2026-08-24T00:00:00.000
251,121,370,252.000000,353.8700,1,1,2026-08-24T00:00:00.000
252,350,125,253.000000,355.2400,1,1,2026-08-24T00:00:00.000
253,155,195,254.000000,356.6100,1,1,2026-08-24T00:00:00.000
254,451,264,255.000000,357.9800,1,1,2026-08-24T00:00:00.000
255,469,317,256.000000,359.3500,1,1,2026-08-24T00:00:00.000
256,303,271,257.000000,360.7200,1,1,2026-08-24T00:00:00.000
257,106,369,258.000000,362.0900,1,1,2026-08-24T00:00:00.000
258,203,284,259.000000,363.4600,1,1,2026-08-24T00:00:00.000
259,56,152,260.000000,364.8300,1,1,2026-08-24T00:00:00.000
260,11,452,261.000000,366.2000,1,1,2026-08-24T00:00:00.000
261,470,286,262.000000,367.5700,1,1,2026-08-24T00:00:00.000
262,429,474,263.000000,368.9400,1,1,2026-08-24T00:00:00.000
263,348,426,264.000000,370.3100,1,1,2026-08-24T00:00:00.000
264,256,188,265.000000,371.6800,1,1,2026-08-24T00:00:00.000
265,33,387,266.000000,373.0500,1,1,2026-08-24T00:00:00.000
266,359,366,267.000000,374.4200,1,1,2026-08-24T00:00:00.000
267,166,397,268.000000,375.7900,1,1,2026-08-24T00:00:00.000
268,6,402,269.000000,377.1600,1,1,2026-08-24T00:00:00.000
269,404,186,270.000000,378.5300,1,1,2026-08-24T00:00:00.000
270,318,124,271.000000,379.9000,1,1,2026-08-24T00:00:00.000
271,46,50,272.000000,381.2700,1,1,2026-08-24T00:00:00.000
272,492,495,273.000000,382.6400,1,1,2026-08-24T00:00:00.000
273,283,315,274.000000,384.0100,1,1,2026-08-24T00:00:00.000
274,315,422,275.000000,385.3800,1,1,2026-08-24T00:00:00.000
275,94,361,276.000000,386.7500,1,1,2026-08-24T00:00:00.000
276,29,302,277.000000,388.1200,1,1,2026-08-24T00:00:00.000
277,483,208,278.000000,389.4900,1,1,2026-08-24T00:00:00.000
278,342,173,279.000000,390.8600,1,1,2026-08-24T00:00:00.000
279,81,209,280.000000,392.2300,1,1,2026-08-24T00:00:00.000
280,396,76,281.000000,393.6000,1,1,2026-08-24T00:00:00.000
281,213,495,282.000000,394.9700,1,1,2026-08-24T00:00:00.000
282,90,453,283.000000,396.3400,1,1,2026-08-24T00:00:00.000
283,440,311,284.000000,397.7100,1,1,2026-08-24T00:00:00.000
284,168,265,285.000000,399.0800,1,1,2026-08-24T00:00:00.000
285,409,182,286.000000,400.4500,1,1,2026-08-24T00:00:00.000
286,103,275,287.000000,401.8200,1,1,2026-08-24T00:00:00.000
287,217,303,288.000000,403.1900,1,1,2026-08-24T00:00:00.000
288,407,474,289.000000,404.5600,1,1,2026-08-24T00:00:00.000
289,252,244,290.000000,405.9300,1,1,2026-08-24T00:00:00.000
290,346,71,291.000000,407.3000,1,1,2026-08-24T00:00:00.000
291,211,94,292.000000,408.6700,1,1,2026-08-24T00:00:00.000
292,31,434,293.000000,410.0400,1,1,2026-08-24T00:00:00.000
293,348,203,294.000000,411.4100,1,1,2026-08-24T00:00:00.000
294,216,358,295.000000,412.7800,1,1,2026-08-24T00:00:00.000
295,479,11,296.000000,414.1500,1,1,2026-08-24T00:00:00.000
296,376,274,297.000000,415.5200,1,1,2026-08-24T00:00:00.000
297,155,419,298.000000,416.8900,1,1,2026-08-24T00:00:00.000
298,89,9,299.000000,418.2600,1,1,2026-08-24T00:00:00.000
299,134,41,300.000000,419.6300,1,1,2026-08-24T00:00:00.000
300,424,75,301.000000,421.0000,1,1,2026-08-24T00:00:00.000
301,436,174,302.000000,422.3700,1,1,2026-08-24T00:00:00.000
302,60,306,303.000000,423.7400,1,1,2026-08-24T00:00:00.000
303,325,456,304.000000,425.1100,1,1,2026-08-24T00:00:00.000
304,298,155,305.000000,426.4800,1,1,2026-08-24T00:00:00.000
305,361,112,306.000000,427.8500,1,1,2026-08-24T00:00:00.000
306,108,399,307.000000,429.2200,1,1,2026-08-24T00:00:00.000
307,8,41,308.000000,430.5900,1,1,2026-08-24T00:00:00.000
308,219,215,309.000000,431.9600,1,1,2026-08-24T00:00:00.000
309,451,490,310.000000,433.3300,1,1,2026-08-24T00:00:00.000
310,194,371,311.000000,434.7000,1,1,2026-08-24T00:00:00.000
311,326,83,312.000000,436.0700,1,1,2026-08-24T00:00:00.000
312,348,483,313.000000,437.4400,1,1,2026-08-24T00:00:00.000
313,19,27,314.000000,438.8100,1,1,2026-08-24T00:00:00.000
314,500,48,315.000000,440.1800,1,1,2026-08-24T00:00:00.000
315,222,260,316.000000,441.5500,1,1,2026-08-24T00:00:00.000
316,174,418,317.000000,442.9200,1,1,2026-08-24T00:00:00.000
317,126,435,318.000000,444.2900,1,1,2026-08-24T00:00:00.000
318,355,147,319.000000,445.6600,1,1,2026-08-24T00:00:00.000
319,18,406,320.000000,447.0300,1,1,2026-08-24T00:00:00.000
320,106,143,321.000000,448.4000,1,1,2026-08-24T00:00:00.000
321,423,379,322.000000,449.7700,1,1,2026-08-24T00:00:00.000
322,393,317,323.000000,451.1400,1,1,2026-08-24T00:00:00.000
323,20,343,324.000000,452.5100,1,1,2026-08-24T00:00:00.000
324,431,350,325.000000,453.8800,1,1,2026-08-24T00:00:00.000
325,440,343,326.000000,455.2500,1,1,2026-08-24T00:00:00.000
326,405,244,327.000000,456.6200,1,1,2026-08-24T00:00:00.000
327,219,208,328.000000,457.9900,1,1,2026-08-24T00:00:00.000
328,43,83,329.000000,459.3600,1,1,2026-08-24T00:00:00.000
329,126,98,330.000000,460.7300,1,1,2026-08-24T00:00:00.000
330,400,312,331.000000,462.1000,1,1,2026-08-24T00:00:00.000
331,329,484,332.000000,463.4700,1,1,2026-08-24T00:00:00.000
332,258,97,333.000000,464.8400,1,1,2026-08-24T00:00:00.000
333,438,29,334.000000,466.2100,1,1,2026-08-24T00:00:00.000
334,221,312,335.000000,467.5800,1,1,2026-08-24T00:00:00.000
335,36,254,336.000000,468.9500,1,1,2026-08-24T00:00:00.000
336,105,84,337.000000,470.3200,1,1,2026-08-24T00:00:00.000
337,487,423,338.000000,471.6900,1,1,2026-08-24T00:00:00.000
338,484,85,339.000000,473.0600,1,1,2026-08-24T00:00:00.000
339,214,474,340.000000,474.4300,1,1,2026-08-24T00:00:00.000
340,151,9,341.000000,475.8000,1,1,2026-08-24T00:00:00.000
341,123,374,342.000000,477.1700,1,1,2026-08-24T00:00:00.000
342,281,397,343.000000,478.5400,1,1,2026-08-24T00:00:00.000
343,327,136,344.000000,479.9100,1,1,2026-08-24T00:00:00.000
344,240,322,345.000000,481.2800,1,1,2026-08-24T00:00:00.000
345,321,232,346.000000,482.6500,1,1,2026-08-24T00:00:00.000
346,363,490,347.000000,484.0200,1,1,2026-08-24T00:00:00.000
347,12,239,348.000000,485.3900,1,1,2026-08-24T00:00:00.000
348,134,490,349.000000,486.7600,1,1,2026-08-24T00:00:00.000
349,232,371,350.000000,488.1300,1,1,2026-08-24T00:00:00.000
350,247,478,351.000000,489.5000,1,1,2026-08-24T00:00:00.000
351,85,184,352.000000,490.8700,1,1,2026-08-24T00:00:00.000
352,244,71,353.000000,492.2400,1,1,2026-08-24T00:00:00.000
353,146,66,354.000000,493.6100,1,1,2026-08-24T00:00:00.000
354,134,253,355.000000,494.9800,1,1,2026-08-24T00:00:00.000
355,360,390,356.000000,496.3500,1,1,2026-08-24T00:00:00.000
356,25,22,357.000000,497.7200,1,1,2026-08-24T00:00:00.000
357,107,304,358.000000,499.0900,1,1,2026-08-24T00:00:00.000
358,252,155,359.000000,500.4600,1,1,2026-08-24T00:00:00.000
359,32,120,360.000000,501.8300,1,1,2026-08-24T00:00:00.000
360,288,389,361.000000,503.2000,1,1,2026-08-24T00:00:00.000
361,316,474,362.000000,504.5700,1,1,2026-08-24T00:00:00.000
362,72,264,363.000000,505.9400,1,1,2026-08-24T00:00:00.000
363,144,265,364.000000,507.3100,1,1,2026-08-24T00:00:00.000
364,399,330,365.000000,508.6800,1,1,2026-08-24T00:00:00.000
365,270,54,366.000000,510.0500,1,1,2026-08-24T00:00:00.000
366,62,155,367.000000,511.4200,1,1,2026-08-24T00:00:00.000
367,148,343,368.000000,512.7900,1,1,2026-08-24T00:00:00.000
368,162,95,369.000000,514.1600,1,1,2026-08-24T00:00:00.000
369,493,345,370.000000,515.5300,1,1,2026-08-24T00:00:00.000
370,242,49,371.000000,516.9000,1,1,2026-08-24T00:00:00.000
371,317,367,372.000000,518.2700,1,1,2026-08-24T00:00:00.000
372,345,256,373.000000,519.6400,1,1,2026-08-24T00:00:00.000
373,163,172,374.000000,521.0100,1,1,2026-08-24T00:00:00.000
374,273,149,375.000000,522.3800,1,1,2026-08-24T00:00:00.000
375,262,357,376.000000,523.7500,1,1,2026-08-24T00:00:00.000
376,189,458,377.000000,525.1200,1,1,2026-08-24T00:00:00.000
377,384,259,378.000000,526.4900,1,1,2026-08-24T00:00:00.000
378,386,250,379.000000,527.8600,1,1,2026-08-24T00:00:00.000
379,322,496,380.000000,529.2300,1,1,2026-08-24T00:00:00.000
380,292,416,381.000000,530.6000,1,1,2026-08-24T00:00:00.000
381,100,413,382.000000,531.9700,1,1,2026-08-24T00:00:00.000
382,16,237,383.000000,533.3400,1,1,2026-08-24T00:00:00.000
383,53,213,384.000000,534.7100,1,1,2026-08-24T00:00:00.000
384,259,32,385.000000,536.0800,1,1,2026-08-24T00:00:00.000
385,11,260,386.000000,537.4500,1,1,2026-08-24T00:00:00.000
386,469,116,387.000000,538.8200,1,1,2026-08-24T00:00:00.000
387,87,241,388.000000,540.1900,1,1,2026-08-24T00:00:00.000
388,285,253,389.000000,541.5600,1,1,2026-08-24T00:00:00.000
389,157,151,390.000000,542.9300,1,1,2026-08-24T00:00:00.000
390,54,497,391.000000,544.3000,1,1,2026-08-24T00:00:00.000
391,471,189,392.000000,545.6700,1,1,2026-08-24T00:00:00.000
392,228,138,393.000000,547.0400,1,1,2026-08-24T00:00:00.000
393,485,35,394.000000,548.4100,1,1,2026-08-24T00:00:00.000
