QualityDefectCharacteristicKey,QualityDefectCodeKey,QualityInspectionCharacteristicKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
39,11,168,39,63.430000,0.0039,1,1,2026-08-24T00:00:00.000
40,406,490,40,64.800000,0.0040,1,1,2026-08-24T00:00:00.000
41,75,85,41,66.170000,0.0041,1,1,2026-08-24T00:00:00.000
42,137,12,42,67.540000,0.0042,1,1,2026-08-24T00:00:00.000
43,284,328,43,68.910000,0.0043,1,1,2026-08-24T00:00:00.000
44,80,494,44,70.280000,0.0044,1,1,2026-08-24T00:00:00.000
45,5,435,45,71.650000,0.0045,1,1,2026-08-24T00:00:00.000
46,154,40,46,73.020000,0.0046,1,1,2026-08-24T00:00:00.000
47,230,253,47,74.390000,0.0047,1,1,2026-08-24T00:00:00.000
48,56,411,48,75.760000,0.0048,1,1,2026-08-24T00:00:00.000
49,76,154,49,77.130000,0.0049,1,1,2026-08-24T00:00:00.000
50,109,24,50,78.500000,0.0050,1,1,2026-08-24T00:00:00.000
51,482,383,51,79.870000,0.0051,1,1,2026-08-24T00:00:00.000
52,403,453,52,81.240000,0.0052,1,1,2026-08-24T00:00:00.000
53,191,17,53,82.610000,0.0053,1,1,2026-08-24T00:00:00.000
54,413,289,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,341,384,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,418,93,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,324,445,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,101,87,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,143,99,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,359,143,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,469,67,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
62,102,61,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,68,454,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,104,339,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,244,142,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
66,171,168,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,207,305,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,59,316,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,319,444,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,274,192,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
71,88,307,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,481,350,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,382,46,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,303,403,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,475,477,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,71,475,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,146,388,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,373,102,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,445,383,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,400,73,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,346,293,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
82,121,268,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,484,168,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,378,185,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,446,314,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,420,115,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,212,240,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,270,209,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,493,95,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,15,37,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,169,105,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,233,387,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,373,480,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,476,431,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
95,80,151,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,184,94,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,207,276,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
98,46,93,98,144.260000,0.0098,1,1,2026-08-24T00:00:00.000
99,227,323,99,145.630000,0.0099,1,1,2026-08-24T00:00:00.000
100,472,468,100,147.000000,0.0100,1,1,2026-08-24T00:00:00.000
101,101,94,101,148.370000,0.0101,1,1,2026-08-24T00:00:00.000
102,310,270,102,149.740000,0.0102,1,1,2026-08-24T00:00:00.000
103,65,120,103,151.110000,0.0103,1,1,2026-08-24T00:00:00.000
104,491,446,104,152.480000,0.0104,1,1,2026-08-24T00:00:00.000
105,116,221,105,153.850000,0.0105,1,1,2026-08-24T00:00:00.000
106,170,25,106,155.220000,0.0106,1,1,2026-08-24T00:00:00.000
107,85,499,107,156.590000,0.0107,1,1,2026-08-24T00:00:00.000
108,220,379,108,157.960000,0.0108,1,1,2026-08-24T00:00:00.000
109,335,474,109,159.330000,0.0109,1,1,2026-08-24T00:00:00.000
110,346,96,110,160.700000,0.0110,1,1,2026-08-24T00:00:00.000
111,21,151,111,162.070000,0.0111,1,1,2026-08-24T00:00:00.000
112,447,312,112,163.440000,0.0112,1,1,2026-08-24T00:00:00.000
113,247,77,113,164.810000,0.0113,1,1,2026-08-24T00:00:00.000
114,17,97,114,166.180000,0.0114,1,1,2026-08-24T00:00:00.000
115,237,425,115,167.550000,0.0115,1,1,2026-08-24T00:00:00.000
116,263,213,116,168.920000,0.0116,1,1,2026-08-24T00:00:00.000
117,188,440,117,170.290000,0.0117,1,1,2026-08-24T00:00:00.000
118,316,95,118,171.660000,0.0118,1,1,2026-08-24T00:00:00.000
119,396,217,119,173.030000,0.0119,1,1,2026-08-24T00:00:00.000
120,45,180,120,174.400000,0.0120,1,1,2026-08-24T00:00:00.000
121,356,499,121,175.770000,0.0121,1,1,2026-08-24T00:00:00.000
122,363,200,122,177.140000,0.0122,1,1,2026-08-24T00:00:00.000
123,207,314,123,178.510000,0.0123,1,1,2026-08-24T00:00:00.000
124,238,407,124,179.880000,0.0124,1,1,2026-08-24T00:00:00.000
125,178,333,125,181.250000,0.0125,1,1,2026-08-24T00:00:00.000
126,188,338,126,182.620000,0.0126,1,1,2026-08-24T00:00:00.000
127,107,290,127,183.990000,0.0127,1,1,2026-08-24T00:00:00.000
128,308,108,128,185.360000,0.0128,1,1,2026-08-24T00:00:00.000
129,87,497,129,186.730000,0.0129,1,1,2026-08-24T00:00:00.000
130,358,470,130,188.100000,0.0130,1,1,2026-08-24T00:00:00.000
131,345,460,131,189.470000,0.0131,1,1,2026-08-24T00:00:00.000
132,348,75,132,190.840000,0.0132,1,1,2026-08-24T00:00:00.000
133,160,372,133,192.210000,0.0133,1,1,2026-08-24T00:00:00.000
134,487,35,134,193.580000,0.0134,1,1,2026-08-24T00:00:00.000
135,443,398,135,194.950000,0.0135,1,1,2026-08-24T00:00:00.000
136,440,2,136,196.320000,0.0136,1,1,2026-08-24T00:00:00.000
137,160,32,137,197.690000,0.0137,1,1,2026-08-24T00:00:00.000
138,374,174,138,199.060000,0.0138,1,1,2026-08-24T00:00:00.000
139,496,292,139,200.430000,0.0139,1,1,2026-08-24T00:00:00.000
140,156,328,140,201.800000,0.0140,1,1,2026-08-24T00:00:00.000
141,4,141,141,203.170000,0.0141,1,1,2026-08-24T00:00:00.000
142,330,391,142,204.540000,0.0142,1,1,2026-08-24T00:00:00.000
143,284,79,143,205.910000,0.0143,1,1,2026-08-24T00:00:00.000
144,60,328,144,207.280000,0.0144,1,1,2026-08-24T00:00:00.000
145,70,381,145,208.650000,0.0145,1,1,2026-08-24T00:00:00.000
146,22,381,146,210.020000,0.0146,1,1,2026-08-24T00:00:00.000
147,451,297,147,211.390000,0.0147,1,1,2026-08-24T00:00:00.000
148,424,190,148,212.760000,0.0148,1,1,2026-08-24T00:00:00.000
149,450,87,149,214.130000,0.0149,1,1,2026-08-24T00:00:00.000
150,118,448,150,215.500000,0.0150,1,1,2026-08-24T00:00:00.000
151,72,9,151,216.870000,0.0151,1,1,2026-08-24T00:00:00.000
152,368,165,152,218.240000,0.0152,1,1,2026-08-24T00:00:00.000
153,403,46,153,219.610000,0.0153,1,1,2026-08-24T00:00:00.000
154,155,93,154,220.980000,0.0154,1,1,2026-08-24T00:00:00.000
155,357,75,155,222.350000,0.0155,1,1,2026-08-24T00:00:00.000
156,486,318,156,223.720000,0.0156,1,1,2026-08-24T00:00:00.000
157,142,99,157,225.090000,0.0157,1,1,2026-08-24T00:00:00.000
158,462,464,158,226.460000,0.0158,1,1,2026-08-24T00:00:00.000
159,124,402,159,227.830000,0.0159,1,1,2026-08-24T00:00:00.000
160,392,34,160,229.200000,0.0160,1,1,2026-08-24T00:00:00.000
161,54,158,161,230.570000,0.0161,1,1,2026-08-24T00:00:00.000
162,112,138,162,231.940000,0.0162,1,1,2026-08-24T00:00:00.000
163,348,330,163,233.310000,0.0163,1,1,2026-08-24T00:00:00.000
164,449,194,164,234.680000,0.0164,1,1,2026-08-24T00:00:00.000
165,175,411,165,236.050000,0.0165,1,1,2026-08-24T00:00:00.000
166,318,372,166,237.420000,0.0166,1,1,2026-08-24T00:00:00.000
167,65,91,167,238.790000,0.0167,1,1,2026-08-24T00:00:00.000
168,96,262,168,240.160000,0.0168,1,1,2026-08-24T00:00:00.000
169,478,54,169,241.530000,0.0169,1,1,2026-08-24T00:00:00.000
170,353,211,170,242.900000,0.0170,1,1,2026-08-24T00:00:00.000
171,6,132,171,244.270000,0.0171,1,1,2026-08-24T00:00:00.000
172,456,26,172,245.640000,0.0172,1,1,2026-08-24T00:00:00.000
173,293,432,173,247.010000,0.0173,1,1,2026-08-24T00:00:00.000
174,40,230,174,248.380000,0.0174,1,1,2026-08-24T00:00:00.000
175,125,318,175,249.750000,0.0175,1,1,2026-08-24T00:00:00.000
176,77,253,176,251.120000,0.0176,1,1,2026-08-24T00:00:00.000
177,212,185,177,252.490000,0.0177,1,1,2026-08-24T00:00:00.000
178,336,339,178,253.860000,0.0178,1,1,2026-08-24T00:00:00.000
179,386,86,179,255.230000,0.0179,1,1,2026-08-24T00:00:00.000
180,387,8,180,256.600000,0.0180,1,1,2026-08-24T00:00:00.000
181,333,320,181,257.970000,0.0181,1,1,2026-08-24T00:00:00.000
182,178,475,182,259.340000,0.0182,1,1,2026-08-24T00:00:00.000
183,386,334,183,260.710000,0.0183,1,1,2026-08-24T00:00:00.000
184,243,147,184,262.080000,0.0184,1,1,2026-08-24T00:00:00.000
185,237,469,185,263.450000,0.0185,1,1,2026-08-24T00:00:00.000
186,58,193,186,264.820000,0.0186,1,1,2026-08-24T00:00:00.000
187,206,380,187,266.190000,0.0187,1,1,2026-08-24T00:00:00.000
188,38,144,188,267.560000,0.0188,1,1,2026-08-24T00:00:00.000
189,218,49,189,268.930000,0.0189,1,1,2026-08-24T00:00:00.000
190,313,235,190,270.300000,0.0190,1,1,2026-08-24T00:00:00.000
191,90,129,191,271.670000,0.0191,1,1,2026-08-24T00:00:00.000
192,275,10,192,273.040000,0.0192,1,1,2026-08-24T00:00:00.000
193,422,86,193,274.410000,0.0193,1,1,2026-08-24T00:00:00.000
194,422,97,194,275.780000,0.0194,1,1,2026-08-24T00:00:00.000
195,493,10,195,277.150000,0.0195,1,1,2026-08-24T00:00:00.000
196,92,80,196,278.520000,0.0196,1,1,2026-08-24T00:00:00.000
197,215,325,197,279.890000,0.0197,1,1,2026-08-24T00:00:00.000
198,161,10,198,281.260000,0.0198,1,1,2026-08-24T00:00:00.000
199,387,438,199,282.630000,0.0199,1,1,2026-08-24T00:00:00.000
200,334,264,200,284.000000,0.0200,1,1,2026-08-24T00:00:00.000
201,167,274,201,285.370000,0.0201,1,1,2026-08-24T00:00:00.000
202,46,228,202,286.740000,0.0202,1,1,2026-08-24T00:00:00.000
203,493,421,203,288.110000,0.0203,1,1,2026-08-24T00:00:00.000
204,213,498,204,289.480000,0.0204,1,1,2026-08-24T00:00:00.000
205,165,65,205,290.850000,0.0205,1,1,2026-08-24T00:00:00.000
206,85,82,206,292.220000,0.0206,1,1,2026-08-24T00:00:00.000
207,238,144,207,293.590000,0.0207,1,1,2026-08-24T00:00:00.000
208,17,231,208,294.960000,0.0208,1,1,2026-08-24T00:00:00.000
209,224,77,209,296.330000,0.0209,1,1,2026-08-24T00:00:00.000
210,263,392,210,297.700000,0.0210,1,1,2026-08-24T00:00:00.000
211,222,463,211,299.070000,0.0211,1,1,2026-08-24T00:00:00.000
212,338,257,212,300.440000,0.0212,1,1,2026-08-24T00:00:00.000
213,228,444,213,301.810000,0.0213,1,1,2026-08-24T00:00:00.000
214,320,375,214,303.180000,0.0214,1,1,2026-08-24T00:00:00.000
215,275,379,215,304.550000,0.0215,1,1,2026-08-24T00:00:00.000
216,196,463,216,305.920000,0.0216,1,1,2026-08-24T00:00:00.000
217,263,434,217,307.290000,0.0217,1,1,2026-08-24T00:00:00.000
218,308,9,218,308.660000,0.0218,1,1,2026-08-24T00:00:00.000
219,318,234,219,310.030000,0.0219,1,1,2026-08-24T00:00:00.000
220,471,498,220,311.400000,0.0220,1,1,2026-08-24T00:00:00.000
221,19,387,221,312.770000,0.0221,1,1,2026-08-24T00:00:00.000
222,115,431,222,314.140000,0.0222,1,1,2026-08-24T00:00:00.000
223,413,186,223,315.510000,0.0223,1,1,2026-08-24T00:00:00.000
224,337,96,224,316.880000,0.0224,1,1,2026-08-24T00:00:00.000
225,415,334,225,318.250000,0.0225,1,1,2026-08-24T00:00:00.000
226,406,134,226,319.620000,0.0226,1,1,2026-08-24T00:00:00.000
227,392,20,227,320.990000,0.0227,1,1,2026-08-24T00:00:00.000
228,30,374,228,322.360000,0.0228,1,1,2026-08-24T00:00:00.000
229,462,444,229,323.730000,0.0229,1,1,2026-08-24T00:00:00.000
230,65,273,230,325.100000,0.0230,1,1,2026-08-24T00:00:00.000
231,324,333,231,326.470000,0.0231,1,1,2026-08-24T00:00:00.000
232,179,389,232,327.840000,0.0232,1,1,2026-08-24T00:00:00.000
233,265,17,233,329.210000,0.0233,1,1,2026-08-24T00:00:00.000
234,98,216,234,330.580000,0.0234,1,1,2026-08-24T00:00:00.000
235,427,166,235,331.950000,0.0235,1,1,2026-08-24T00:00:00.000
236,340,44,236,333.320000,0.0236,1,1,2026-08-24T00:00:00.000
237,33,461,237,334.690000,0.0237,1,1,2026-08-24T00:00:00.000
238,279,257,238,336.060000,0.0238,1,1,2026-08-24T00:00:00.000
239,70,212,239,337.430000,0.0239,1,1,2026-08-24T00:00:00.000
240,319,374,240,338.800000,0.0240,1,1,2026-08-24T00:00:00.000
241,326,316,241,340.170000,0.0241,1,1,2026-08-24T00:00:00.000
242,200,154,242,341.540000,0.0242,1,1,2026-08-24T00:00:00.000
243,429,54,243,342.910000,0.0243,1,1,2026-08-24T00:00:00.000
244,113,284,244,344.280000,0.0244,1,1,2026-08-24T00:00:00.000
245,183,176,245,345.650000,0.0245,1,1,2026-08-24T00:00:00.000
246,317,333,246,347.020000,0.0246,1,1,2026-08-24T00:00:00.000
247,193,219,247,348.390000,0.0247,1,1,2026-08-24T00:00:00.000
248,215,353,248,349.760000,0.0248,1,1,2026-08-24T00:00:00.000
249,292,390,249,351.130000,0.0249,1,1,2026-08-24T00:00:00.000
250,258,63,250,352.500000,0.0250,1,1,2026-08-24T00:00:00.000
251,234,158,251,353.870000,0.0251,1,1,2026-08-24T00:00:00.000
252,422,112,252,355.240000,0.0252,1,1,2026-08-24T00:00:00.000
253,13,251,253,356.610000,0.0253,1,1,2026-08-24T00:00:00.000
254,300,335,254,357.980000,0.0254,1,1,2026-08-24T00:00:00.000
255,480,256,255,359.350000,0.0255,1,1,2026-08-24T00:00:00.000
256,340,481,256,360.720000,0.0256,1,1,2026-08-24T00:00:00.000
257,269,43,257,362.090000,0.0257,1,1,2026-08-24T00:00:00.000
258,223,6,258,363.460000,0.0258,1,1,2026-08-24T00:00:00.000
259,216,56,259,364.830000,0.0259,1,1,2026-08-24T00:00:00.000
260,371,349,260,366.200000,0.0260,1,1,2026-08-24T00:00:00.000
261,133,110,261,367.570000,0.0261,1,1,2026-08-24T00:00:00.000
262,434,338,262,368.940000,0.0262,1,1,2026-08-24T00:00:00.000
263,150,361,263,370.310000,0.0263,1,1,2026-08-24T00:00:00.000
264,99,257,264,371.680000,0.0264,1,1,2026-08-24T00:00:00.000
265,55,29,265,373.050000,0.0265,1,1,2026-08-24T00:00:00.000
266,433,33,266,374.420000,0.0266,1,1,2026-08-24T00:00:00.000
267,14,67,267,375.790000,0.0267,1,1,2026-08-24T00:00:00.000
268,393,337,268,377.160000,0.0268,1,1,2026-08-24T00:00:00.000
269,444,400,269,378.530000,0.0269,1,1,2026-08-24T00:00:00.000
270,338,345,270,379.900000,0.0270,1,1,2026-08-24T00:00:00.000
271,347,20,271,381.270000,0.0271,1,1,2026-08-24T00:00:00.000
272,200,446,272,382.640000,0.0272,1,1,2026-08-24T00:00:00.000
273,358,137,273,384.010000,0.0273,1,1,2026-08-24T00:00:00.000
274,345,222,274,385.380000,0.0274,1,1,2026-08-24T00:00:00.000
275,261,198,275,386.750000,0.0275,1,1,2026-08-24T00:00:00.000
276,153,485,276,388.120000,0.0276,1,1,2026-08-24T00:00:00.000
277,333,342,277,389.490000,0.0277,1,1,2026-08-24T00:00:00.000
278,338,216,278,390.860000,0.0278,1,1,2026-08-24T00:00:00.000
279,363,229,279,392.230000,0.0279,1,1,2026-08-24T00:00:00.000
280,495,96,280,393.600000,0.0280,1,1,2026-08-24T00:00:00.000
281,259,351,281,394.970000,0.0281,1,1,2026-08-24T00:00:00.000
282,482,69,282,396.340000,0.0282,1,1,2026-08-24T00:00:00.000
283,430,234,283,397.710000,0.0283,1,1,2026-08-24T00:00:00.000
284,343,283,284,399.080000,0.0284,1,1,2026-08-24T00:00:00.000
285,112,463,285,400.450000,0.0285,1,1,2026-08-24T00:00:00.000
286,434,140,286,401.820000,0.0286,1,1,2026-08-24T00:00:00.000
287,299,466,287,403.190000,0.0287,1,1,2026-08-24T00:00:00.000
288,77,339,288,404.560000,0.0288,1,1,2026-08-24T00:00:00.000
289,121,398,289,405.930000,0.0289,1,1,2026-08-24T00:00:00.000
290,293,19,290,407.300000,0.0290,1,1,2026-08-24T00:00:00.000
291,165,468,291,408.670000,0.0291,1,1,2026-08-24T00:00:00.000
292,90,315,292,410.040000,0.0292,1,1,2026-08-24T00:00:00.000
293,458,258,293,411.410000,0.0293,1,1,2026-08-24T00:00:00.000
294,232,432,294,412.780000,0.0294,1,1,2026-08-24T00:00:00.000
295,430,482,295,414.150000,0.0295,1,1,2026-08-24T00:00:00.000
296,216,25,296,415.520000,0.0296,1,1,2026-08-24T00:00:00.000
297,280,389,297,416.890000,0.0297,1,1,2026-08-24T00:00:00.000
298,238,206,298,418.260000,0.0298,1,1,2026-08-24T00:00:00.000
299,337,403,299,419.630000,0.0299,1,1,2026-08-24T00:00:00.000
300,287,392,300,421.000000,0.0300,1,1,2026-08-24T00:00:00.000
301,152,499,301,422.370000,0.0301,1,1,2026-08-24T00:00:00.000
302,154,468,302,423.740000,0.0302,1,1,2026-08-24T00:00:00.000
303,1,17,303,425.110000,0.0303,1,1,2026-08-24T00:00:00.000
304,235,35,304,426.480000,0.0304,1,1,2026-08-24T00:00:00.000
305,96,3,305,427.850000,0.0305,1,1,2026-08-24T00:00:00.000
306,321,65,306,429.220000,0.0306,1,1,2026-08-24T00:00:00.000
307,189,392,307,430.590000,0.0307,1,1,2026-08-24T00:00:00.000
308,322,392,308,431.960000,0.0308,1,1,2026-08-24T00:00:00.000
309,460,426,309,433.330000,0.0309,1,1,2026-08-24T00:00:00.000
310,199,33,310,434.700000,0.0310,1,1,2026-08-24T00:00:00.000
311,105,29,311,436.070000,0.0311,1,1,2026-08-24T00:00:00.000
312,340,423,312,437.440000,0.0312,1,1,2026-08-24T00:00:00.000
313,327,37,313,438.810000,0.0313,1,1,2026-08-24T00:00:00.000
314,428,189,314,440.180000,0.0314,1,1,2026-08-24T00:00:00.000
315,267,428,315,441.550000,0.0315,1,1,2026-08-24T00:00:00.000
316,55,190,316,442.920000,0.0316,1,1,2026-08-24T00:00:00.000
317,215,364,317,444.290000,0.0317,1,1,2026-08-24T00:00:00.000
318,291,350,318,445.660000,0.0318,1,1,2026-08-24T00:00:00.000
319,325,388,319,447.030000,0.0319,1,1,2026-08-24T00:00:00.000
320,352,309,320,448.400000,0.0320,1,1,2026-08-24T00:00:00.000
321,204,476,321,449.770000,0.0321,1,1,2026-08-24T00:00:00.000
322,13,344,322,451.140000,0.0322,1,1,2026-08-24T00:00:00.000
323,277,146,323,452.510000,0.0323,1,1,2026-08-24T00:00:00.000
324,358,339,324,453.880000,0.0324,1,1,2026-08-24T00:00:00.000
325,148,270,325,455.250000,0.0325,1,1,2026-08-24T00:00:00.000
326,219,10,326,456.620000,0.0326,1,1,2026-08-24T00:00:00.000
327,357,59,327,457.990000,0.0327,1,1,2026-08-24T00:00:00.000
328,326,103,328,459.360000,0.0328,1,1,2026-08-24T00:00:00.000
329,61,63,329,460.730000,0.0329,1,1,2026-08-24T00:00:00.000
330,213,12,330,462.100000,0.0330,1,1,2026-08-24T00:00:00.000
331,500,145,331,463.470000,0.0331,1,1,2026-08-24T00:00:00.000
332,339,309,332,464.840000,0.0332,1,1,2026-08-24T00:00:00.000
333,104,296,333,466.210000,0.0333,1,1,2026-08-24T00:00:00.000
334,484,451,334,467.580000,0.0334,1,1,2026-08-24T00:00:00.000
335,101,190,335,468.950000,0.0335,1,1,2026-08-24T00:00:00.000
336,281,409,336,470.320000,0.0336,1,1,2026-08-24T00:00:00.000
337,3,251,337,471.690000,0.0337,1,1,2026-08-24T00:00:00.000
338,252,459,338,473.060000,0.0338,1,1,2026-08-24T00:00:00.000
339,258,216,339,474.430000,0.0339,1,1,2026-08-24T00:00:00.000
340,384,79,340,475.800000,0.0340,1,1,2026-08-24T00:00:00.000
341,493,339,341,477.170000,0.0341,1,1,2026-08-24T00:00:00.000
342,285,163,342,478.540000,0.0342,1,1,2026-08-24T00:00:00.000
343,395,406,343,479.910000,0.0343,1,1,2026-08-24T00:00:00.000
344,315,207,344,481.280000,0.0344,1,1,2026-08-24T00:00:00.000
345,324,478,345,482.650000,0.0345,1,1,2026-08-24T00:00:00.000
346,86,487,346,484.020000,0.0346,1,1,2026-08-24T00:00:00.000
347,76,141,347,485.390000,0.0347,1,1,2026-08-24T00:00:00.000
348,282,352,348,486.760000,0.0348,1,1,2026-08-24T00:00:00.000
349,150,83,349,488.130000,0.0349,1,1,2026-08-24T00:00:00.000
350,73,91,350,489.500000,0.0350,1,1,2026-08-24T00:00:00.000
351,417,476,351,490.870000,0.0351,1,1,2026-08-24T00:00:00.000
352,337,342,352,492.240000,0.0352,1,1,2026-08-24T00:00:00.000
353,241,214,353,493.610000,0.0353,1,1,2026-08-24T00:00:00.000
354,60,262,354,494.980000,0.0354,1,1,2026-08-24T00:00:00.000
355,214,291,355,496.350000,0.0355,1,1,2026-08-24T00:00:00.000
356,205,168,356,497.720000,0.0356,1,1,2026-08-24T00:00:00.000
357,261,384,357,499.090000,0.0357,1,1,2026-08-24T00:00:00.000
358,246,330,358,500.460000,0.0358,1,1,2026-08-24T00:00:00.000
359,378,112,359,501.830000,0.0359,1,1,2026-08-24T00:00:00.000
360,449,488,360,503.200000,0.0360,1,1,2026-08-24T00:00:00.000
361,173,248,361,504.570000,0.0361,1,1,2026-08-24T00:00:00.000
362,285,429,362,505.940000,0.0362,1,1,2026-08-24T00:00:00.000
363,402,176,363,507.310000,0.0363,1,1,2026-08-24T00:00:00.000
364,209,202,364,508.680000,0.0364,1,1,2026-08-24T00:00:00.000
365,446,306,365,510.050000,0.0365,1,1,2026-08-24T00:00:00.000
366,392,342,366,511.420000,0.0366,1,1,2026-08-24T00:00:00.000
367,399,190,367,512.790000,0.0367,1,1,2026-08-24T00:00:00.000
368,188,389,368,514.160000,0.0368,1,1,2026-08-24T00:00:00.000
369,338,22,369,515.530000,0.0369,1,1,2026-08-24T00:00:00.000
370,391,19,370,516.900000,0.0370,1,1,2026-08-24T00:00:00.000
371,132,54,371,518.270000,0.0371,1,1,2026-08-24T00:00:00.000
372,236,230,372,519.640000,0.0372,1,1,2026-08-24T00:00:00.000
