InventorySerialBinAssignmentKey,InventorySerialNumberKey,InventoryBinKey,InventoryContainerKey,InventoryStockStatusKey,AssignmentSequenceNumber,SourceSystemKey,BatchId,LoadedAtUtc
68,406,374,-1,9,68,1,1,2026-08-24T00:00:00.000
69,111,397,90,10,69,1,1,2026-08-24T00:00:00.000
70,117,284,271,7,70,1,1,2026-08-24T00:00:00.000
71,317,337,349,9,71,1,1,2026-08-24T00:00:00.000
72,131,360,492,4,72,1,1,2026-08-24T00:00:00.000
73,42,2,479,1,73,1,1,2026-08-24T00:00:00.000
74,247,152,231,3,74,1,1,2026-08-24T00:00:00.000
75,119,459,312,4,75,1,1,2026-08-24T00:00:00.000
76,121,74,385,4,76,1,1,2026-08-24T00:00:00.000
77,416,261,348,3,77,1,1,2026-08-24T00:00:00.000
78,466,328,140,9,78,1,1,2026-08-24T00:00:00.000
79,10,266,312,2,79,1,1,2026-08-24T00:00:00.000
80,52,166,266,9,80,1,1,2026-08-24T00:00:00.000
81,151,166,100,8,81,1,1,2026-08-24T00:00:00.000
82,269,497,74,8,82,1,1,2026-08-24T00:00:00.000
83,263,415,327,3,83,1,1,2026-08-24T00:00:00.000
84,253,442,210,4,84,1,1,2026-08-24T00:00:00.000
85,272,394,-1,2,85,1,1,2026-08-24T00:00:00.000
86,85,79,143,7,86,1,1,2026-08-24T00:00:00.000
87,180,33,17,4,87,1,1,2026-08-24T00:00:00.000
88,492,333,454,2,88,1,1,2026-08-24T00:00:00.000
89,364,289,282,1,89,1,1,2026-08-24T00:00:00.000
90,340,403,484,8,90,1,1,2026-08-24T00:00:00.000
91,291,318,394,1,91,1,1,2026-08-24T00:00:00.000
92,285,84,388,7,92,1,1,2026-08-24T00:00:00.000
93,123,174,323,8,93,1,1,2026-08-24T00:00:00.000
94,435,77,142,8,94,1,1,2026-08-24T00:00:00.000
95,396,402,59,5,95,1,1,2026-08-24T00:00:00.000
96,462,356,303,4,96,1,1,2026-08-24T00:00:00.000
97,250,43,328,3,97,1,1,2026-08-24T00:00:00.000
98,258,260,212,5,98,1,1,2026-08-24T00:00:00.000
99,421,23,275,2,99,1,1,2026-08-24T00:00:00.000
100,483,208,305,6,100,1,1,2026-08-24T00:00:00.000
101,96,177,10,6,101,1,1,2026-08-24T00:00:00.000
102,3,214,-1,5,102,1,1,2026-08-24T00:00:00.000
103,386,49,429,9,103,1,1,2026-08-24T00:00:00.000
104,376,325,474,5,104,1,1,2026-08-24T00:00:00.000
105,394,34,172,9,105,1,1,2026-08-24T00:00:00.000
106,138,56,267,3,106,1,1,2026-08-24T00:00:00.000
107,37,426,417,9,107,1,1,2026-08-24T00:00:00.000
108,311,96,315,8,108,1,1,2026-08-24T00:00:00.000
109,73,292,229,8,109,1,1,2026-08-24T00:00:00.000
110,254,191,29,2,110,1,1,2026-08-24T00:00:00.000
111,106,123,123,3,111,1,1,2026-08-24T00:00:00.000
112,251,343,231,4,112,1,1,2026-08-24T00:00:00.000
113,301,353,281,5,113,1,1,2026-08-24T00:00:00.000
114,152,480,289,7,114,1,1,2026-08-24T00:00:00.000
115,332,496,10,6,115,1,1,2026-08-24T00:00:00.000
116,91,247,433,7,116,1,1,2026-08-24T00:00:00.000
117,52,365,489,10,117,1,1,2026-08-24T00:00:00.000
118,34,320,20,8,118,1,1,2026-08-24T00:00:00.000
119,458,8,-1,7,119,1,1,2026-08-24T00:00:00.000
120,465,92,419,9,120,1,1,2026-08-24T00:00:00.000
121,230,85,90,7,121,1,1,2026-08-24T00:00:00.000
122,101,10,458,4,122,1,1,2026-08-24T00:00:00.000
123,156,423,280,10,123,1,1,2026-08-24T00:00:00.000
124,495,467,444,2,124,1,1,2026-08-24T00:00:00.000
125,391,256,161,3,125,1,1,2026-08-24T00:00:00.000
126,458,283,360,8,126,1,1,2026-08-24T00:00:00.000
127,342,39,286,7,127,1,1,2026-08-24T00:00:00.000
128,352,143,128,2,128,1,1,2026-08-24T00:00:00.000
129,220,462,480,9,129,1,1,2026-08-24T00:00:00.000
130,491,146,87,8,130,1,1,2026-08-24T00:00:00.000
131,439,434,286,4,131,1,1,2026-08-24T00:00:00.000
132,282,196,327,2,132,1,1,2026-08-24T00:00:00.000
133,470,468,422,5,133,1,1,2026-08-24T00:00:00.000
134,286,380,357,2,134,1,1,2026-08-24T00:00:00.000
135,211,494,404,5,135,1,1,2026-08-24T00:00:00.000
136,293,480,-1,3,136,1,1,2026-08-24T00:00:00.000
137,448,248,79,3,137,1,1,2026-08-24T00:00:00.000
138,396,118,56,5,138,1,1,2026-08-24T00:00:00.000
139,383,34,288,9,139,1,1,2026-08-24T00:00:00.000
140,258,370,408,4,140,1,1,2026-08-24T00:00:00.000
141,324,284,476,9,141,1,1,2026-08-24T00:00:00.000
142,4,276,377,6,142,1,1,2026-08-24T00:00:00.000
143,392,16,130,10,143,1,1,2026-08-24T00:00:00.000
144,292,91,486,9,144,1,1,2026-08-24T00:00:00.000
145,137,173,188,8,145,1,1,2026-08-24T00:00:00.000
146,417,337,288,10,146,1,1,2026-08-24T00:00:00.000
147,349,251,500,5,147,1,1,2026-08-24T00:00:00.000
148,420,355,493,6,148,1,1,2026-08-24T00:00:00.000
149,204,2,78,9,149,1,1,2026-08-24T00:00:00.000
150,77,72,371,4,150,1,1,2026-08-24T00:00:00.000
151,100,116,193,2,151,1,1,2026-08-24T00:00:00.000
152,77,8,338,4,152,1,1,2026-08-24T00:00:00.000
153,155,27,-1,6,153,1,1,2026-08-24T00:00:00.000
154,227,175,296,7,154,1,1,2026-08-24T00:00:00.000
155,418,279,203,4,155,1,1,2026-08-24T00:00:00.000
156,321,203,375,10,156,1,1,2026-08-24T00:00:00.000
157,378,45,204,10,157,1,1,2026-08-24T00:00:00.000
158,417,394,400,10,158,1,1,2026-08-24T00:00:00.000
159,425,183,280,7,159,1,1,2026-08-24T00:00:00.000
160,148,301,156,3,160,1,1,2026-08-24T00:00:00.000
161,109,468,107,9,161,1,1,2026-08-24T00:00:00.000
162,44,463,483,1,162,1,1,2026-08-24T00:00:00.000
163,454,394,358,9,163,1,1,2026-08-24T00:00:00.000
164,316,256,489,7,164,1,1,2026-08-24T00:00:00.000
165,450,178,365,8,165,1,1,2026-08-24T00:00:00.000
166,328,264,165,5,166,1,1,2026-08-24T00:00:00.000
167,243,481,139,9,167,1,1,2026-08-24T00:00:00.000
168,89,312,3,4,168,1,1,2026-08-24T00:00:00.000
169,78,330,335,5,169,1,1,2026-08-24T00:00:00.000
170,292,283,-1,10,170,1,1,2026-08-24T00:00:00.000
171,462,310,253,5,171,1,1,2026-08-24T00:00:00.000
172,108,240,115,10,172,1,1,2026-08-24T00:00:00.000
173,169,106,29,8,173,1,1,2026-08-24T00:00:00.000
174,389,288,161,8,174,1,1,2026-08-24T00:00:00.000
175,475,480,343,10,175,1,1,2026-08-24T00:00:00.000
176,124,253,480,8,176,1,1,2026-08-24T00:00:00.000
177,97,298,360,6,177,1,1,2026-08-24T00:00:00.000
178,403,62,201,3,178,1,1,2026-08-24T00:00:00.000
179,208,400,39,4,179,1,1,2026-08-24T00:00:00.000
180,397,270,372,6,180,1,1,2026-08-24T00:00:00.000
181,115,461,215,7,181,1,1,2026-08-24T00:00:00.000
182,442,2,205,8,182,1,1,2026-08-24T00:00:00.000
183,396,472,455,3,183,1,1,2026-08-24T00:00:00.000
184,139,207,55,5,184,1,1,2026-08-24T00:00:00.000
185,429,453,499,10,185,1,1,2026-08-24T00:00:00.000
186,147,143,379,2,186,1,1,2026-08-24T00:00:00.000
187,396,63,-1,3,187,1,1,2026-08-24T00:00:00.000
188,340,410,279,6,188,1,1,2026-08-24T00:00:00.000
189,75,203,198,8,189,1,1,2026-08-24T00:00:00.000
190,131,279,355,8,190,1,1,2026-08-24T00:00:00.000
191,323,140,297,1,191,1,1,2026-08-24T00:00:00.000
192,218,234,348,5,192,1,1,2026-08-24T00:00:00.000
193,308,446,309,9,193,1,1,2026-08-24T00:00:00.000
194,145,462,109,9,194,1,1,2026-08-24T00:00:00.000
195,258,25,200,4,195,1,1,2026-08-24T00:00:00.000
196,429,331,211,4,196,1,1,2026-08-24T00:00:00.000
197,311,223,51,4,197,1,1,2026-08-24T00:00:00.000
198,25,217,131,2,198,1,1,2026-08-24T00:00:00.000
199,234,176,240,3,199,1,1,2026-08-24T00:00:00.000
200,368,499,464,3,200,1,1,2026-08-24T00:00:00.000
201,437,257,221,1,201,1,1,2026-08-24T00:00:00.000
202,301,344,449,5,202,1,1,2026-08-24T00:00:00.000
203,120,56,217,10,203,1,1,2026-08-24T00:00:00.000
204,496,248,-1,7,204,1,1,2026-08-24T00:00:00.000
205,79,152,51,6,205,1,1,2026-08-24T00:00:00.000
206,47,33,201,3,206,1,1,2026-08-24T00:00:00.000
207,74,205,169,3,207,1,1,2026-08-24T00:00:00.000
208,472,448,216,8,208,1,1,2026-08-24T00:00:00.000
209,266,145,220,8,209,1,1,2026-08-24T00:00:00.000
210,395,55,166,5,210,1,1,2026-08-24T00:00:00.000
211,111,278,154,4,211,1,1,2026-08-24T00:00:00.000
212,173,104,125,7,212,1,1,2026-08-24T00:00:00.000
213,264,17,103,10,213,1,1,2026-08-24T00:00:00.000
214,375,183,408,4,214,1,1,2026-08-24T00:00:00.000
215,430,130,343,5,215,1,1,2026-08-24T00:00:00.000
216,146,131,227,8,216,1,1,2026-08-24T00:00:00.000
217,318,162,480,4,217,1,1,2026-08-24T00:00:00.000
218,277,500,129,4,218,1,1,2026-08-24T00:00:00.000
219,489,31,463,10,219,1,1,2026-08-24T00:00:00.000
220,455,111,45,3,220,1,1,2026-08-24T00:00:00.000
221,379,416,-1,7,221,1,1,2026-08-24T00:00:00.000
222,276,67,227,10,222,1,1,2026-08-24T00:00:00.000
223,93,432,129,8,223,1,1,2026-08-24T00:00:00.000
224,224,354,277,3,224,1,1,2026-08-24T00:00:00.000
225,252,434,476,4,225,1,1,2026-08-24T00:00:00.000
226,430,316,65,9,226,1,1,2026-08-24T00:00:00.000
227,162,463,136,1,227,1,1,2026-08-24T00:00:00.000
228,6,96,97,8,228,1,1,2026-08-24T00:00:00.000
229,494,7,392,5,229,1,1,2026-08-24T00:00:00.000
230,360,285,328,5,230,1,1,2026-08-24T00:00:00.000
231,234,306,162,6,231,1,1,2026-08-24T00:00:00.000
232,394,83,28,4,232,1,1,2026-08-24T00:00:00.000
233,48,426,73,2,233,1,1,2026-08-24T00:00:00.000
234,25,482,403,8,234,1,1,2026-08-24T00:00:00.000
235,445,130,445,8,235,1,1,2026-08-24T00:00:00.000
236,143,408,463,5,236,1,1,2026-08-24T00:00:00.000
237,95,257,125,10,237,1,1,2026-08-24T00:00:00.000
238,106,273,-1,7,238,1,1,2026-08-24T00:00:00.000
239,282,294,335,8,239,1,1,2026-08-24T00:00:00.000
240,52,386,280,3,240,1,1,2026-08-24T00:00:00.000
241,20,382,474,7,241,1,1,2026-08-24T00:00:00.000
242,90,150,195,9,242,1,1,2026-08-24T00:00:00.000
243,125,138,359,1,243,1,1,2026-08-24T00:00:00.000
244,193,106,110,5,244,1,1,2026-08-24T00:00:00.000
245,63,348,358,8,245,1,1,2026-08-24T00:00:00.000
246,413,5,177,10,246,1,1,2026-08-24T00:00:00.000
247,405,303,272,3,247,1,1,2026-08-24T00:00:00.000
248,254,457,411,5,248,1,1,2026-08-24T00:00:00.000
249,379,90,232,5,249,1,1,2026-08-24T00:00:00.000
250,56,99,492,1,250,1,1,2026-08-24T00:00:00.000
251,178,422,374,9,251,1,1,2026-08-24T00:00:00.000
252,483,55,347,2,252,1,1,2026-08-24T00:00:00.000
253,173,7,115,8,253,1,1,2026-08-24T00:00:00.000
254,405,319,242,8,254,1,1,2026-08-24T00:00:00.000
255,305,179,-1,7,255,1,1,2026-08-24T00:00:00.000
256,133,198,65,6,256,1,1,2026-08-24T00:00:00.000
257,360,16,178,8,257,1,1,2026-08-24T00:00:00.000
258,273,135,221,9,258,1,1,2026-08-24T00:00:00.000
259,107,71,442,7,259,1,1,2026-08-24T00:00:00.000
260,263,405,337,9,260,1,1,2026-08-24T00:00:00.000
261,34,250,128,6,261,1,1,2026-08-24T00:00:00.000
262,360,463,299,5,262,1,1,2026-08-24T00:00:00.000
263,438,479,390,7,263,1,1,2026-08-24T00:00:00.000
264,238,259,153,9,264,1,1,2026-08-24T00:00:00.000
265,102,202,417,4,265,1,1,2026-08-24T00:00:00.000
266,39,388,11,9,266,1,1,2026-08-24T00:00:00.000
267,58,243,227,4,267,1,1,2026-08-24T00:00:00.000
268,33,365,304,9,268,1,1,2026-08-24T00:00:00.000
269,392,499,340,9,269,1,1,2026-08-24T00:00:00.000
270,122,203,401,9,270,1,1,2026-08-24T00:00:00.000
271,429,436,121,3,271,1,1,2026-08-24T00:00:00.000
272,72,334,-1,2,272,1,1,2026-08-24T00:00:00.000
273,221,105,335,10,273,1,1,2026-08-24T00:00:00.000
274,496,470,391,6,274,1,1,2026-08-24T00:00:00.000
275,113,22,339,5,275,1,1,2026-08-24T00:00:00.000
276,492,216,443,7,276,1,1,2026-08-24T00:00:00.000
277,434,342,459,9,277,1,1,2026-08-24T00:00:00.000
278,315,117,215,9,278,1,1,2026-08-24T00:00:00.000
279,144,71,485,4,279,1,1,2026-08-24T00:00:00.000
280,238,441,296,8,280,1,1,2026-08-24T00:00:00.000
281,36,288,299,5,281,1,1,2026-08-24T00:00:00.000
282,485,253,368,6,282,1,1,2026-08-24T00:00:00.000
283,439,272,120,3,283,1,1,2026-08-24T00:00:00.000
284,31,25,75,5,284,1,1,2026-08-24T00:00:00.000
285,126,115,147,3,285,1,1,2026-08-24T00:00:00.000
286,499,53,429,3,286,1,1,2026-08-24T00:00:00.000
287,327,57,355,3,287,1,1,2026-08-24T00:00:00.000
288,103,424,158,8,288,1,1,2026-08-24T00:00:00.000
289,385,447,-1,1,289,1,1,2026-08-24T00:00:00.000
290,272,295,364,1,290,1,1,2026-08-24T00:00:00.000
291,77,192,168,7,291,1,1,2026-08-24T00:00:00.000
292,384,113,182,6,292,1,1,2026-08-24T00:00:00.000
293,481,264,195,7,293,1,1,2026-08-24T00:00:00.000
294,400,142,327,1,294,1,1,2026-08-24T00:00:00.000
295,40,314,98,7,295,1,1,2026-08-24T00:00:00.000
296,103,190,446,3,296,1,1,2026-08-24T00:00:00.000
297,228,180,410,4,297,1,1,2026-08-24T00:00:00.000
298,496,425,105,1,298,1,1,2026-08-24T00:00:00.000
299,344,412,166,5,299,1,1,2026-08-24T00:00:00.000
300,60,198,448,10,300,1,1,2026-08-24T00:00:00.000
301,440,253,256,7,301,1,1,2026-08-24T00:00:00.000
302,21,438,210,10,302,1,1,2026-08-24T00:00:00.000
303,255,336,23,10,303,1,1,2026-08-24T00:00:00.000
304,345,228,39,8,304,1,1,2026-08-24T00:00:00.000
305,52,405,242,10,305,1,1,2026-08-24T00:00:00.000
306,75,475,-1,7,306,1,1,2026-08-24T00:00:00.000
307,355,420,339,3,307,1,1,2026-08-24T00:00:00.000
308,498,102,218,6,308,1,1,2026-08-24T00:00:00.000
309,302,452,26,1,309,1,1,2026-08-24T00:00:00.000
310,113,43,202,3,310,1,1,2026-08-24T00:00:00.000
311,455,89,328,3,311,1,1,2026-08-24T00:00:00.000
312,191,278,449,7,312,1,1,2026-08-24T00:00:00.000
313,257,469,117,7,313,1,1,2026-08-24T00:00:00.000
314,76,25,480,4,314,1,1,2026-08-24T00:00:00.000
315,225,88,432,8,315,1,1,2026-08-24T00:00:00.000
316,351,180,225,8,316,1,1,2026-08-24T00:00:00.000
317,117,264,491,4,317,1,1,2026-08-24T00:00:00.000
318,463,159,494,3,318,1,1,2026-08-24T00:00:00.000
319,415,12,9,5,319,1,1,2026-08-24T00:00:00.000
320,211,386,252,6,320,1,1,2026-08-24T00:00:00.000
321,130,266,393,9,321,1,1,2026-08-24T00:00:00.000
322,257,67,99,9,322,1,1,2026-08-24T00:00:00.000
323,115,40,-1,8,323,1,1,2026-08-24T00:00:00.000
324,340,373,402,10,324,1,1,2026-08-24T00:00:00.000
325,231,407,219,1,325,1,1,2026-08-24T00:00:00.000
326,134,426,169,2,326,1,1,2026-08-24T00:00:00.000
327,219,412,408,5,327,1,1,2026-08-24T00:00:00.000
328,491,33,288,10,328,1,1,2026-08-24T00:00:00.000
329,76,306,44,5,329,1,1,2026-08-24T00:00:00.000
330,224,484,494,10,330,1,1,2026-08-24T00:00:00.000
331,175,341,217,5,331,1,1,2026-08-24T00:00:00.000
332,258,353,435,6,332,1,1,2026-08-24T00:00:00.000
333,57,389,23,2,333,1,1,2026-08-24T00:00:00.000
334,247,103,448,2,334,1,1,2026-08-24T00:00:00.000
335,240,364,294,7,335,1,1,2026-08-24T00:00:00.000
336,67,155,392,8,336,1,1,2026-08-24T00:00:00.000
337,280,382,269,7,337,1,1,2026-08-24T00:00:00.000
338,122,212,191,2,338,1,1,2026-08-24T00:00:00.000
339,193,340,19,2,339,1,1,2026-08-24T00:00:00.000
340,317,409,-1,8,340,1,1,2026-08-24T00:00:00.000
341,43,78,164,1,341,1,1,2026-08-24T00:00:00.000
342,396,363,383,4,342,1,1,2026-08-24T00:00:00.000
343,119,232,200,6,343,1,1,2026-08-24T00:00:00.000
344,337,438,279,8,344,1,1,2026-08-24T00:00:00.000
345,191,202,250,8,345,1,1,2026-08-24T00:00:00.000
346,203,22,143,2,346,1,1,2026-08-24T00:00:00.000
347,496,440,92,6,347,1,1,2026-08-24T00:00:00.000
348,359,22,43,5,348,1,1,2026-08-24T00:00:00.000
349,18,499,230,8,349,1,1,2026-08-24T00:00:00.000
350,488,56,373,2,350,1,1,2026-08-24T00:00:00.000
351,263,11,59,10,351,1,1,2026-08-24T00:00:00.000
352,89,497,500,4,352,1,1,2026-08-24T00:00:00.000
353,262,374,46,8,353,1,1,2026-08-24T00:00:00.000
354,471,222,354,2,354,1,1,2026-08-24T00:00:00.000
355,478,65,35,2,355,1,1,2026-08-24T00:00:00.000
356,40,334,84,4,356,1,1,2026-08-24T00:00:00.000
357,39,290,-1,10,357,1,1,2026-08-24T00:00:00.000
358,439,300,410,9,358,1,1,2026-08-24T00:00:00.000
359,227,298,32,5,359,1,1,2026-08-24T00:00:00.000
360,394,193,26,1,360,1,1,2026-08-24T00:00:00.000
361,348,88,237,1,361,1,1,2026-08-24T00:00:00.000
362,228,32,247,6,362,1,1,2026-08-24T00:00:00.000
363,332,118,252,6,363,1,1,2026-08-24T00:00:00.000
364,3,466,218,9,364,1,1,2026-08-24T00:00:00.000
365,155,119,471,9,365,1,1,2026-08-24T00:00:00.000
366,185,123,11,6,366,1,1,2026-08-24T00:00:00.000
367,36,331,144,4,367,1,1,2026-08-24T00:00:00.000
368,225,166,108,2,368,1,1,2026-08-24T00:00:00.000
369,296,179,449,6,369,1,1,2026-08-24T00:00:00.000
370,474,303,396,4,370,1,1,2026-08-24T00:00:00.000
371,75,30,462,9,371,1,1,2026-08-24T00:00:00.000
372,127,475,495,7,372,1,1,2026-08-24T00:00:00.000
373,297,370,2,8,373,1,1,2026-08-24T00:00:00.000
374,236,220,-1,9,374,1,1,2026-08-24T00:00:00.000
375,303,486,49,2,375,1,1,2026-08-24T00:00:00.000
376,21,450,23,9,376,1,1,2026-08-24T00:00:00.000
377,400,400,421,6,377,1,1,2026-08-24T00:00:00.000
378,77,265,436,6,378,1,1,2026-08-24T00:00:00.000
379,90,325,152,7,379,1,1,2026-08-24T00:00:00.000
380,196,445,161,1,380,1,1,2026-08-24T00:00:00.000
381,418,366,60,5,381,1,1,2026-08-24T00:00:00.000
382,9,162,409,8,382,1,1,2026-08-24T00:00:00.000
383,340,399,100,4,383,1,1,2026-08-24T00:00:00.000
384,32,453,152,4,384,1,1,2026-08-24T00:00:00.000
385,289,412,6,5,385,1,1,2026-08-24T00:00:00.000
386,173,107,447,1,386,1,1,2026-08-24T00:00:00.000
387,329,310,233,9,387,1,1,2026-08-24T00:00:00.000
388,198,57,217,5,388,1,1,2026-08-24T00:00:00.000
389,127,496,299,5,389,1,1,2026-08-24T00:00:00.000
390,104,497,407,4,390,1,1,2026-08-24T00:00:00.000
391,314,500,-1,4,391,1,1,2026-08-24T00:00:00.000
392,376,354,109,7,392,1,1,2026-08-24T00:00:00.000
393,352,56,307,6,393,1,1,2026-08-24T00:00:00.000
394,410,213,17,10,394,1,1,2026-08-24T00:00:00.000
395,281,428,400,10,395,1,1,2026-08-24T00:00:00.000
396,372,108,367,7,396,1,1,2026-08-24T00:00:00.000
397,415,84,390,9,397,1,1,2026-08-24T00:00:00.000
398,166,275,465,7,398,1,1,2026-08-24T00:00:00.000
399,30,355,380,8,399,1,1,2026-08-24T00:00:00.000
400,160,496,337,9,400,1,1,2026-08-24T00:00:00.000
401,64,127,394,8,401,1,1,2026-08-24T00:00:00.000
402,451,386,234,10,402,1,1,2026-08-24T00:00:00.000
403,73,254,219,9,403,1,1,2026-08-24T00:00:00.000
404,401,350,237,3,404,1,1,2026-08-24T00:00:00.000
405,123,185,396,7,405,1,1,2026-08-24T00:00:00.000
406,62,104,438,7,406,1,1,2026-08-24T00:00:00.000
407,269,217,345,10,407,1,1,2026-08-24T00:00:00.000
408,470,216,-1,9,408,1,1,2026-08-24T00:00:00.000
409,434,375,346,5,409,1,1,2026-08-24T00:00:00.000
410,18,442,188,3,410,1,1,2026-08-24T00:00:00.000
411,364,405,185,1,411,1,1,2026-08-24T00:00:00.000
412,240,160,402,7,412,1,1,2026-08-24T00:00:00.000
413,416,209,273,6,413,1,1,2026-08-24T00:00:00.000
414,472,274,383,6,414,1,1,2026-08-24T00:00:00.000
415,351,85,72,10,415,1,1,2026-08-24T00:00:00.000
416,196,388,229,7,416,1,1,2026-08-24T00:00:00.000
417,258,495,491,7,417,1,1,2026-08-24T00:00:00.000
418,395,303,328,1,418,1,1,2026-08-24T00:00:00.000
419,376,117,99,10,419,1,1,2026-08-24T00:00:00.000
420,37,302,289,9,420,1,1,2026-08-24T00:00:00.000
421,132,55,328,5,421,1,1,2026-08-24T00:00:00.000
422,343,242,169,3,422,1,1,2026-08-24T00:00:00.000
423,249,256,303,3,423,1,1,2026-08-24T00:00:00.000
424,27,298,278,2,424,1,1,2026-08-24T00:00:00.000
425,216,448,-1,10,425,1,1,2026-08-24T00:00:00.000
426,470,241,289,2,426,1,1,2026-08-24T00:00:00.000
427,109,491,405,6,427,1,1,2026-08-24T00:00:00.000
428,98,269,242,10,428,1,1,2026-08-24T00:00:00.000
429,381,66,436,2,429,1,1,2026-08-24T00:00:00.000
430,372,18,299,10,430,1,1,2026-08-24T00:00:00.000
431,467,200,240,10,431,1,1,2026-08-24T00:00:00.000
432,320,332,418,10,432,1,1,2026-08-24T00:00:00.000
433,119,212,361,6,433,1,1,2026-08-24T00:00:00.000
434,332,95,122,9,434,1,1,2026-08-24T00:00:00.000
435,218,307,428,7,435,1,1,2026-08-24T00:00:00.000
436,12,51,255,9,436,1,1,2026-08-24T00:00:00.000
437,403,220,347,7,437,1,1,2026-08-24T00:00:00.000
438,146,422,106,6,438,1,1,2026-08-24T00:00:00.000
439,2,229,481,3,439,1,1,2026-08-24T00:00:00.000
440,346,392,453,5,440,1,1,2026-08-24T00:00:00.000
441,352,271,10,3,441,1,1,2026-08-24T00:00:00.000
442,67,379,-1,5,442,1,1,2026-08-24T00:00:00.000
443,207,124,12,6,443,1,1,2026-08-24T00:00:00.000
