ProductionLotGenealogyKey,ParentProductionLotKey,ChildProductionLotKey,UnitOfMeasureKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
54,189,68,6,54,83.980000,0.0054,1,1,2026-08-24T00:00:00.000
55,219,49,6,55,85.350000,0.0055,1,1,2026-08-24T00:00:00.000
56,237,132,6,56,86.720000,0.0056,1,1,2026-08-24T00:00:00.000
57,78,171,2,57,88.090000,0.0057,1,1,2026-08-24T00:00:00.000
58,135,476,2,58,89.460000,0.0058,1,1,2026-08-24T00:00:00.000
59,239,494,3,59,90.830000,0.0059,1,1,2026-08-24T00:00:00.000
60,17,119,3,60,92.200000,0.0060,1,1,2026-08-24T00:00:00.000
61,493,290,2,61,93.570000,0.0061,1,1,2026-08-24T00:00:00.000
62,354,267,1,62,94.940000,0.0062,1,1,2026-08-24T00:00:00.000
63,443,382,1,63,96.310000,0.0063,1,1,2026-08-24T00:00:00.000
64,288,394,3,64,97.680000,0.0064,1,1,2026-08-24T00:00:00.000
65,146,5,5,65,99.050000,0.0065,1,1,2026-08-24T00:00:00.000
66,179,364,1,66,100.420000,0.0066,1,1,2026-08-24T00:00:00.000
67,173,61,7,67,101.790000,0.0067,1,1,2026-08-24T00:00:00.000
68,378,220,6,68,103.160000,0.0068,1,1,2026-08-24T00:00:00.000
69,454,214,7,69,104.530000,0.0069,1,1,2026-08-24T00:00:00.000
70,149,284,5,70,105.900000,0.0070,1,1,2026-08-24T00:00:00.000
71,348,300,4,71,107.270000,0.0071,1,1,2026-08-24T00:00:00.000
72,413,475,1,72,108.640000,0.0072,1,1,2026-08-24T00:00:00.000
73,412,190,1,73,110.010000,0.0073,1,1,2026-08-24T00:00:00.000
74,92,44,2,74,111.380000,0.0074,1,1,2026-08-24T00:00:00.000
75,435,347,3,75,112.750000,0.0075,1,1,2026-08-24T00:00:00.000
76,451,73,2,76,114.120000,0.0076,1,1,2026-08-24T00:00:00.000
77,331,187,6,77,115.490000,0.0077,1,1,2026-08-24T00:00:00.000
78,266,417,4,78,116.860000,0.0078,1,1,2026-08-24T00:00:00.000
79,433,452,5,79,118.230000,0.0079,1,1,2026-08-24T00:00:00.000
80,281,84,4,80,119.600000,0.0080,1,1,2026-08-24T00:00:00.000
81,474,74,3,81,120.970000,0.0081,1,1,2026-08-24T00:00:00.000
82,263,81,7,82,122.340000,0.0082,1,1,2026-08-24T00:00:00.000
83,249,470,3,83,123.710000,0.0083,1,1,2026-08-24T00:00:00.000
84,229,236,1,84,125.080000,0.0084,1,1,2026-08-24T00:00:00.000
85,149,410,7,85,126.450000,0.0085,1,1,2026-08-24T00:00:00.000
86,222,288,7,86,127.820000,0.0086,1,1,2026-08-24T00:00:00.000
87,486,382,6,87,129.190000,0.0087,1,1,2026-08-24T00:00:00.000
88,40,10,5,88,130.560000,0.0088,1,1,2026-08-24T00:00:00.000
89,448,284,5,89,131.930000,0.0089,1,1,2026-08-24T00:00:00.000
90,402,116,2,90,133.300000,0.0090,1,1,2026-08-24T00:00:00.000
91,102,67,1,91,134.670000,0.0091,1,1,2026-08-24T00:00:00.000
92,339,91,7,92,136.040000,0.0092,1,1,2026-08-24T00:00:00.000
93,155,472,6,93,137.410000,0.0093,1,1,2026-08-24T00:00:00.000
94,310,218,5,94,138.780000,0.0094,1,1,2026-08-24T00:00:00.000
95,439,123,4,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,133,164,2,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,439,245,1,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
98,126,96,4,98,144.260000,0.0098,1,1,2026-08-24T00:00:00.000
99,314,420,1,99,145.630000,0.0099,1,1,2026-08-24T00:00:00.000
100,3,116,5,100,147.000000,0.0100,1,1,2026-08-24T00:00:00.000
101,263,198,4,101,148.370000,0.0101,1,1,2026-08-24T00:00:00.000
102,478,302,6,102,149.740000,0.0102,1,1,2026-08-24T00:00:00.000
103,370,395,3,103,151.110000,0.0103,1,1,2026-08-24T00:00:00.000
104,7,253,4,104,152.480000,0.0104,1,1,2026-08-24T00:00:00.000
105,145,459,3,105,153.850000,0.0105,1,1,2026-08-24T00:00:00.000
106,100,255,2,106,155.220000,0.0106,1,1,2026-08-24T00:00:00.000
107,270,481,1,107,156.590000,0.0107,1,1,2026-08-24T00:00:00.000
108,256,208,4,108,157.960000,0.0108,1,1,2026-08-24T00:00:00.000
109,78,82,4,109,159.330000,0.0109,1,1,2026-08-24T00:00:00.000
110,422,294,2,110,160.700000,0.0110,1,1,2026-08-24T00:00:00.000
111,118,59,6,111,162.070000,0.0111,1,1,2026-08-24T00:00:00.000
112,52,23,3,112,163.440000,0.0112,1,1,2026-08-24T00:00:00.000
113,141,135,7,113,164.810000,0.0113,1,1,2026-08-24T00:00:00.000
114,366,344,1,114,166.180000,0.0114,1,1,2026-08-24T00:00:00.000
115,81,351,1,115,167.550000,0.0115,1,1,2026-08-24T00:00:00.000
116,153,346,5,116,168.920000,0.0116,1,1,2026-08-24T00:00:00.000
117,237,247,5,117,170.290000,0.0117,1,1,2026-08-24T00:00:00.000
118,309,95,2,118,171.660000,0.0118,1,1,2026-08-24T00:00:00.000
119,399,467,4,119,173.030000,0.0119,1,1,2026-08-24T00:00:00.000
120,77,104,1,120,174.400000,0.0120,1,1,2026-08-24T00:00:00.000
121,382,334,1,121,175.770000,0.0121,1,1,2026-08-24T00:00:00.000
122,229,498,6,122,177.140000,0.0122,1,1,2026-08-24T00:00:00.000
123,404,317,2,123,178.510000,0.0123,1,1,2026-08-24T00:00:00.000
124,30,270,4,124,179.880000,0.0124,1,1,2026-08-24T00:00:00.000
125,149,498,6,125,181.250000,0.0125,1,1,2026-08-24T00:00:00.000
126,229,466,3,126,182.620000,0.0126,1,1,2026-08-24T00:00:00.000
127,54,287,1,127,183.990000,0.0127,1,1,2026-08-24T00:00:00.000
128,29,447,5,128,185.360000,0.0128,1,1,2026-08-24T00:00:00.000
129,449,443,2,129,186.730000,0.0129,1,1,2026-08-24T00:00:00.000
130,423,214,1,130,188.100000,0.0130,1,1,2026-08-24T00:00:00.000
131,325,195,5,131,189.470000,0.0131,1,1,2026-08-24T00:00:00.000
132,467,107,6,132,190.840000,0.0132,1,1,2026-08-24T00:00:00.000
133,141,109,4,133,192.210000,0.0133,1,1,2026-08-24T00:00:00.000
134,111,82,7,134,193.580000,0.0134,1,1,2026-08-24T00:00:00.000
135,416,178,5,135,194.950000,0.0135,1,1,2026-08-24T00:00:00.000
136,456,240,6,136,196.320000,0.0136,1,1,2026-08-24T00:00:00.000
137,249,166,3,137,197.690000,0.0137,1,1,2026-08-24T00:00:00.000
138,362,377,2,138,199.060000,0.0138,1,1,2026-08-24T00:00:00.000
139,176,82,5,139,200.430000,0.0139,1,1,2026-08-24T00:00:00.000
140,489,58,1,140,201.800000,0.0140,1,1,2026-08-24T00:00:00.000
141,279,451,2,141,203.170000,0.0141,1,1,2026-08-24T00:00:00.000
142,300,344,4,142,204.540000,0.0142,1,1,2026-08-24T00:00:00.000
143,130,318,3,143,205.910000,0.0143,1,1,2026-08-24T00:00:00.000
144,417,410,6,144,207.280000,0.0144,1,1,2026-08-24T00:00:00.000
145,109,58,6,145,208.650000,0.0145,1,1,2026-08-24T00:00:00.000
146,451,106,1,146,210.020000,0.0146,1,1,2026-08-24T00:00:00.000
147,304,453,4,147,211.390000,0.0147,1,1,2026-08-24T00:00:00.000
148,313,333,2,148,212.760000,0.0148,1,1,2026-08-24T00:00:00.000
149,327,79,5,149,214.130000,0.0149,1,1,2026-08-24T00:00:00.000
150,493,174,4,150,215.500000,0.0150,1,1,2026-08-24T00:00:00.000
151,56,76,6,151,216.870000,0.0151,1,1,2026-08-24T00:00:00.000
152,195,95,5,152,218.240000,0.0152,1,1,2026-08-24T00:00:00.000
153,234,350,6,153,219.610000,0.0153,1,1,2026-08-24T00:00:00.000
154,79,70,3,154,220.980000,0.0154,1,1,2026-08-24T00:00:00.000
155,22,446,7,155,222.350000,0.0155,1,1,2026-08-24T00:00:00.000
156,120,441,3,156,223.720000,0.0156,1,1,2026-08-24T00:00:00.000
157,213,113,2,157,225.090000,0.0157,1,1,2026-08-24T00:00:00.000
158,310,394,5,158,226.460000,0.0158,1,1,2026-08-24T00:00:00.000
159,436,120,4,159,227.830000,0.0159,1,1,2026-08-24T00:00:00.000
160,137,196,4,160,229.200000,0.0160,1,1,2026-08-24T00:00:00.000
161,290,281,1,161,230.570000,0.0161,1,1,2026-08-24T00:00:00.000
162,36,27,4,162,231.940000,0.0162,1,1,2026-08-24T00:00:00.000
163,358,22,2,163,233.310000,0.0163,1,1,2026-08-24T00:00:00.000
164,177,456,6,164,234.680000,0.0164,1,1,2026-08-24T00:00:00.000
165,289,235,3,165,236.050000,0.0165,1,1,2026-08-24T00:00:00.000
166,186,495,6,166,237.420000,0.0166,1,1,2026-08-24T00:00:00.000
167,211,148,6,167,238.790000,0.0167,1,1,2026-08-24T00:00:00.000
168,36,399,6,168,240.160000,0.0168,1,1,2026-08-24T00:00:00.000
169,20,364,3,169,241.530000,0.0169,1,1,2026-08-24T00:00:00.000
170,148,167,2,170,242.900000,0.0170,1,1,2026-08-24T00:00:00.000
171,228,250,5,171,244.270000,0.0171,1,1,2026-08-24T00:00:00.000
172,11,96,6,172,245.640000,0.0172,1,1,2026-08-24T00:00:00.000
173,266,367,3,173,247.010000,0.0173,1,1,2026-08-24T00:00:00.000
174,273,461,5,174,248.380000,0.0174,1,1,2026-08-24T00:00:00.000
175,73,1,5,175,249.750000,0.0175,1,1,2026-08-24T00:00:00.000
176,338,74,7,176,251.120000,0.0176,1,1,2026-08-24T00:00:00.000
177,149,326,3,177,252.490000,0.0177,1,1,2026-08-24T00:00:00.000
178,365,265,7,178,253.860000,0.0178,1,1,2026-08-24T00:00:00.000
179,426,53,1,179,255.230000,0.0179,1,1,2026-08-24T00:00:00.000
180,79,452,1,180,256.600000,0.0180,1,1,2026-08-24T00:00:00.000
181,35,139,5,181,257.970000,0.0181,1,1,2026-08-24T00:00:00.000
182,156,384,1,182,259.340000,0.0182,1,1,2026-08-24T00:00:00.000
183,321,58,5,183,260.710000,0.0183,1,1,2026-08-24T00:00:00.000
184,310,373,7,184,262.080000,0.0184,1,1,2026-08-24T00:00:00.000
185,408,446,2,185,263.450000,0.0185,1,1,2026-08-24T00:00:00.000
186,473,364,5,186,264.820000,0.0186,1,1,2026-08-24T00:00:00.000
187,357,157,4,187,266.190000,0.0187,1,1,2026-08-24T00:00:00.000
188,85,317,5,188,267.560000,0.0188,1,1,2026-08-24T00:00:00.000
189,471,341,7,189,268.930000,0.0189,1,1,2026-08-24T00:00:00.000
190,107,424,1,190,270.300000,0.0190,1,1,2026-08-24T00:00:00.000
191,12,274,3,191,271.670000,0.0191,1,1,2026-08-24T00:00:00.000
192,190,10,1,192,273.040000,0.0192,1,1,2026-08-24T00:00:00.000
193,373,63,7,193,274.410000,0.0193,1,1,2026-08-24T00:00:00.000
194,303,36,1,194,275.780000,0.0194,1,1,2026-08-24T00:00:00.000
195,15,196,2,195,277.150000,0.0195,1,1,2026-08-24T00:00:00.000
196,252,484,2,196,278.520000,0.0196,1,1,2026-08-24T00:00:00.000
197,83,52,7,197,279.890000,0.0197,1,1,2026-08-24T00:00:00.000
198,410,308,1,198,281.260000,0.0198,1,1,2026-08-24T00:00:00.000
199,37,137,5,199,282.630000,0.0199,1,1,2026-08-24T00:00:00.000
200,175,348,2,200,284.000000,0.0200,1,1,2026-08-24T00:00:00.000
201,440,344,1,201,285.370000,0.0201,1,1,2026-08-24T00:00:00.000
202,237,201,3,202,286.740000,0.0202,1,1,2026-08-24T00:00:00.000
203,292,387,3,203,288.110000,0.0203,1,1,2026-08-24T00:00:00.000
204,5,324,2,204,289.480000,0.0204,1,1,2026-08-24T00:00:00.000
205,182,311,5,205,290.850000,0.0205,1,1,2026-08-24T00:00:00.000
206,306,471,7,206,292.220000,0.0206,1,1,2026-08-24T00:00:00.000
207,116,255,3,207,293.590000,0.0207,1,1,2026-08-24T00:00:00.000
208,162,28,2,208,294.960000,0.0208,1,1,2026-08-24T00:00:00.000
209,383,251,1,209,296.330000,0.0209,1,1,2026-08-24T00:00:00.000
210,20,297,3,210,297.700000,0.0210,1,1,2026-08-24T00:00:00.000
211,403,330,6,211,299.070000,0.0211,1,1,2026-08-24T00:00:00.000
212,380,273,7,212,300.440000,0.0212,1,1,2026-08-24T00:00:00.000
213,120,101,7,213,301.810000,0.0213,1,1,2026-08-24T00:00:00.000
214,220,382,2,214,303.180000,0.0214,1,1,2026-08-24T00:00:00.000
215,441,113,6,215,304.550000,0.0215,1,1,2026-08-24T00:00:00.000
216,215,446,7,216,305.920000,0.0216,1,1,2026-08-24T00:00:00.000
217,82,360,5,217,307.290000,0.0217,1,1,2026-08-24T00:00:00.000
218,156,466,3,218,308.660000,0.0218,1,1,2026-08-24T00:00:00.000
219,307,228,5,219,310.030000,0.0219,1,1,2026-08-24T00:00:00.000
220,167,154,7,220,311.400000,0.0220,1,1,2026-08-24T00:00:00.000
221,191,242,7,221,312.770000,0.0221,1,1,2026-08-24T00:00:00.000
222,384,227,5,222,314.140000,0.0222,1,1,2026-08-24T00:00:00.000
223,471,471,7,223,315.510000,0.0223,1,1,2026-08-24T00:00:00.000
224,193,414,1,224,316.880000,0.0224,1,1,2026-08-24T00:00:00.000
225,148,348,3,225,318.250000,0.0225,1,1,2026-08-24T00:00:00.000
226,277,360,2,226,319.620000,0.0226,1,1,2026-08-24T00:00:00.000
227,88,293,6,227,320.990000,0.0227,1,1,2026-08-24T00:00:00.000
228,84,297,3,228,322.360000,0.0228,1,1,2026-08-24T00:00:00.000
229,296,473,6,229,323.730000,0.0229,1,1,2026-08-24T00:00:00.000
230,442,96,2,230,325.100000,0.0230,1,1,2026-08-24T00:00:00.000
231,67,24,2,231,326.470000,0.0231,1,1,2026-08-24T00:00:00.000
232,145,327,4,232,327.840000,0.0232,1,1,2026-08-24T00:00:00.000
233,199,290,6,233,329.210000,0.0233,1,1,2026-08-24T00:00:00.000
234,216,148,7,234,330.580000,0.0234,1,1,2026-08-24T00:00:00.000
235,101,256,6,235,331.950000,0.0235,1,1,2026-08-24T00:00:00.000
236,373,291,2,236,333.320000,0.0236,1,1,2026-08-24T00:00:00.000
237,96,82,2,237,334.690000,0.0237,1,1,2026-08-24T00:00:00.000
238,155,449,1,238,336.060000,0.0238,1,1,2026-08-24T00:00:00.000
239,406,316,5,239,337.430000,0.0239,1,1,2026-08-24T00:00:00.000
240,452,161,7,240,338.800000,0.0240,1,1,2026-08-24T00:00:00.000
241,298,309,7,241,340.170000,0.0241,1,1,2026-08-24T00:00:00.000
242,494,387,3,242,341.540000,0.0242,1,1,2026-08-24T00:00:00.000
243,202,267,5,243,342.910000,0.0243,1,1,2026-08-24T00:00:00.000
244,385,67,6,244,344.280000,0.0244,1,1,2026-08-24T00:00:00.000
245,76,365,2,245,345.650000,0.0245,1,1,2026-08-24T00:00:00.000
246,83,416,5,246,347.020000,0.0246,1,1,2026-08-24T00:00:00.000
247,194,382,5,247,348.390000,0.0247,1,1,2026-08-24T00:00:00.000
248,375,97,1,248,349.760000,0.0248,1,1,2026-08-24T00:00:00.000
249,123,94,6,249,351.130000,0.0249,1,1,2026-08-24T00:00:00.000
250,122,155,6,250,352.500000,0.0250,1,1,2026-08-24T00:00:00.000
251,451,221,5,251,353.870000,0.0251,1,1,2026-08-24T00:00:00.000
252,218,259,3,252,355.240000,0.0252,1,1,2026-08-24T00:00:00.000
253,361,35,6,253,356.610000,0.0253,1,1,2026-08-24T00:00:00.000
254,375,129,1,254,357.980000,0.0254,1,1,2026-08-24T00:00:00.000
255,301,306,2,255,359.350000,0.0255,1,1,2026-08-24T00:00:00.000
256,350,55,3,256,360.720000,0.0256,1,1,2026-08-24T00:00:00.000
257,60,337,6,257,362.090000,0.0257,1,1,2026-08-24T00:00:00.000
258,378,365,6,258,363.460000,0.0258,1,1,2026-08-24T00:00:00.000
259,457,85,1,259,364.830000,0.0259,1,1,2026-08-24T00:00:00.000
260,93,188,2,260,366.200000,0.0260,1,1,2026-08-24T00:00:00.000
261,150,360,7,261,367.570000,0.0261,1,1,2026-08-24T00:00:00.000
262,331,96,1,262,368.940000,0.0262,1,1,2026-08-24T00:00:00.000
263,473,278,3,263,370.310000,0.0263,1,1,2026-08-24T00:00:00.000
264,364,136,2,264,371.680000,0.0264,1,1,2026-08-24T00:00:00.000
265,411,267,3,265,373.050000,0.0265,1,1,2026-08-24T00:00:00.000
266,296,440,6,266,374.420000,0.0266,1,1,2026-08-24T00:00:00.000
267,215,391,5,267,375.790000,0.0267,1,1,2026-08-24T00:00:00.000
268,85,291,4,268,377.160000,0.0268,1,1,2026-08-24T00:00:00.000
269,383,414,5,269,378.530000,0.0269,1,1,2026-08-24T00:00:00.000
270,329,269,7,270,379.900000,0.0270,1,1,2026-08-24T00:00:00.000
271,216,176,1,271,381.270000,0.0271,1,1,2026-08-24T00:00:00.000
272,490,461,2,272,382.640000,0.0272,1,1,2026-08-24T00:00:00.000
273,334,400,7,273,384.010000,0.0273,1,1,2026-08-24T00:00:00.000
274,85,353,3,274,385.380000,0.0274,1,1,2026-08-24T00:00:00.000
275,209,29,1,275,386.750000,0.0275,1,1,2026-08-24T00:00:00.000
276,223,95,5,276,388.120000,0.0276,1,1,2026-08-24T00:00:00.000
277,300,127,5,277,389.490000,0.0277,1,1,2026-08-24T00:00:00.000
278,408,51,6,278,390.860000,0.0278,1,1,2026-08-24T00:00:00.000
279,321,460,1,279,392.230000,0.0279,1,1,2026-08-24T00:00:00.000
280,149,240,4,280,393.600000,0.0280,1,1,2026-08-24T00:00:00.000
281,166,87,1,281,394.970000,0.0281,1,1,2026-08-24T00:00:00.000
282,99,153,2,282,396.340000,0.0282,1,1,2026-08-24T00:00:00.000
283,286,231,4,283,397.710000,0.0283,1,1,2026-08-24T00:00:00.000
284,416,326,2,284,399.080000,0.0284,1,1,2026-08-24T00:00:00.000
285,447,64,5,285,400.450000,0.0285,1,1,2026-08-24T00:00:00.000
286,76,65,5,286,401.820000,0.0286,1,1,2026-08-24T00:00:00.000
287,21,247,6,287,403.190000,0.0287,1,1,2026-08-24T00:00:00.000
288,219,199,1,288,404.560000,0.0288,1,1,2026-08-24T00:00:00.000
289,43,190,5,289,405.930000,0.0289,1,1,2026-08-24T00:00:00.000
290,371,212,6,290,407.300000,0.0290,1,1,2026-08-24T00:00:00.000
291,147,188,3,291,408.670000,0.0291,1,1,2026-08-24T00:00:00.000
292,55,358,7,292,410.040000,0.0292,1,1,2026-08-24T00:00:00.000
293,415,222,1,293,411.410000,0.0293,1,1,2026-08-24T00:00:00.000
294,196,276,1,294,412.780000,0.0294,1,1,2026-08-24T00:00:00.000
295,377,85,3,295,414.150000,0.0295,1,1,2026-08-24T00:00:00.000
296,269,156,5,296,415.520000,0.0296,1,1,2026-08-24T00:00:00.000
297,254,189,2,297,416.890000,0.0297,1,1,2026-08-24T00:00:00.000
298,237,191,7,298,418.260000,0.0298,1,1,2026-08-24T00:00:00.000
299,43,472,4,299,419.630000,0.0299,1,1,2026-08-24T00:00:00.000
300,373,386,7,300,421.000000,0.0300,1,1,2026-08-24T00:00:00.000
301,427,199,7,301,422.370000,0.0301,1,1,2026-08-24T00:00:00.000
302,364,390,6,302,423.740000,0.0302,1,1,2026-08-24T00:00:00.000
303,471,260,5,303,425.110000,0.0303,1,1,2026-08-24T00:00:00.000
304,1,24,3,304,426.480000,0.0304,1,1,2026-08-24T00:00:00.000
305,61,444,4,305,427.850000,0.0305,1,1,2026-08-24T00:00:00.000
306,261,466,1,306,429.220000,0.0306,1,1,2026-08-24T00:00:00.000
307,235,253,4,307,430.590000,0.0307,1,1,2026-08-24T00:00:00.000
308,397,92,5,308,431.960000,0.0308,1,1,2026-08-24T00:00:00.000
309,262,153,2,309,433.330000,0.0309,1,1,2026-08-24T00:00:00.000
310,191,66,7,310,434.700000,0.0310,1,1,2026-08-24T00:00:00.000
311,19,149,3,311,436.070000,0.0311,1,1,2026-08-24T00:00:00.000
312,395,221,3,312,437.440000,0.0312,1,1,2026-08-24T00:00:00.000
313,151,70,5,313,438.810000,0.0313,1,1,2026-08-24T00:00:00.000
314,255,251,1,314,440.180000,0.0314,1,1,2026-08-24T00:00:00.000
315,348,429,5,315,441.550000,0.0315,1,1,2026-08-24T00:00:00.000
316,228,486,7,316,442.920000,0.0316,1,1,2026-08-24T00:00:00.000
317,116,438,6,317,444.290000,0.0317,1,1,2026-08-24T00:00:00.000
318,206,7,3,318,445.660000,0.0318,1,1,2026-08-24T00:00:00.000
319,103,121,7,319,447.030000,0.0319,1,1,2026-08-24T00:00:00.000
320,464,340,6,320,448.400000,0.0320,1,1,2026-08-24T00:00:00.000
321,249,94,2,321,449.770000,0.0321,1,1,2026-08-24T00:00:00.000
322,486,203,7,322,451.140000,0.0322,1,1,2026-08-24T00:00:00.000
323,432,16,3,323,452.510000,0.0323,1,1,2026-08-24T00:00:00.000
324,66,10,6,324,453.880000,0.0324,1,1,2026-08-24T00:00:00.000
325,160,384,3,325,455.250000,0.0325,1,1,2026-08-24T00:00:00.000
326,403,413,7,326,456.620000,0.0326,1,1,2026-08-24T00:00:00.000
327,214,457,6,327,457.990000,0.0327,1,1,2026-08-24T00:00:00.000
328,30,496,1,328,459.360000,0.0328,1,1,2026-08-24T00:00:00.000
329,216,133,3,329,460.730000,0.0329,1,1,2026-08-24T00:00:00.000
330,78,451,5,330,462.100000,0.0330,1,1,2026-08-24T00:00:00.000
331,464,355,6,331,463.470000,0.0331,1,1,2026-08-24T00:00:00.000
332,472,141,4,332,464.840000,0.0332,1,1,2026-08-24T00:00:00.000
333,254,322,3,333,466.210000,0.0333,1,1,2026-08-24T00:00:00.000
334,144,114,2,334,467.580000,0.0334,1,1,2026-08-24T00:00:00.000
335,319,140,3,335,468.950000,0.0335,1,1,2026-08-24T00:00:00.000
336,451,90,7,336,470.320000,0.0336,1,1,2026-08-24T00:00:00.000
337,159,452,5,337,471.690000,0.0337,1,1,2026-08-24T00:00:00.000
338,207,39,6,338,473.060000,0.0338,1,1,2026-08-24T00:00:00.000
339,86,202,4,339,474.430000,0.0339,1,1,2026-08-24T00:00:00.000
340,315,103,6,340,475.800000,0.0340,1,1,2026-08-24T00:00:00.000
341,248,400,1,341,477.170000,0.0341,1,1,2026-08-24T00:00:00.000
342,95,198,5,342,478.540000,0.0342,1,1,2026-08-24T00:00:00.000
343,264,77,5,343,479.910000,0.0343,1,1,2026-08-24T00:00:00.000
344,186,387,3,344,481.280000,0.0344,1,1,2026-08-24T00:00:00.000
345,11,285,5,345,482.650000,0.0345,1,1,2026-08-24T00:00:00.000
346,171,180,6,346,484.020000,0.0346,1,1,2026-08-24T00:00:00.000
347,158,45,7,347,485.390000,0.0347,1,1,2026-08-24T00:00:00.000
348,69,138,2,348,486.760000,0.0348,1,1,2026-08-24T00:00:00.000
349,418,46,2,349,488.130000,0.0349,1,1,2026-08-24T00:00:00.000
350,367,52,7,350,489.500000,0.0350,1,1,2026-08-24T00:00:00.000
351,218,278,6,351,490.870000,0.0351,1,1,2026-08-24T00:00:00.000
352,17,376,7,352,492.240000,0.0352,1,1,2026-08-24T00:00:00.000
