LaborEmployeeCertificationKey,EmployeeKey,LaborCertificationKey,RecordStatusKey,IssuedDate,ExpirationDate,CertificationScore,SourceSystemKey,BatchId,LoadedAtUtc
54,275,479,2,2020-02-24,2020-02-24,55.00,1,1,2026-08-24T00:00:00.000
55,383,65,2,2020-02-25,2020-02-25,56.00,1,1,2026-08-24T00:00:00.000
56,350,282,2,2020-02-26,2020-02-26,57.00,1,1,2026-08-24T00:00:00.000
57,319,25,2,2020-02-27,2020-02-27,58.00,1,1,2026-08-24T00:00:00.000
58,222,358,3,2020-02-28,2020-02-28,59.00,1,1,2026-08-24T00:00:00.000
59,347,383,2,2020-02-29,2020-02-29,60.00,1,1,2026-08-24T00:00:00.000
60,500,471,3,2020-03-01,2020-03-01,61.00,1,1,2026-08-24T00:00:00.000
61,157,326,2,2020-03-02,2020-03-02,62.00,1,1,2026-08-24T00:00:00.000
62,350,306,1,2020-03-03,2020-03-03,63.00,1,1,2026-08-24T00:00:00.000
63,19,200,3,2020-03-04,2020-03-04,64.00,1,1,2026-08-24T00:00:00.000
64,215,201,4,2020-03-05,2020-03-05,65.00,1,1,2026-08-24T00:00:00.000
65,347,92,4,2020-03-06,2020-03-06,66.00,1,1,2026-08-24T00:00:00.000
66,193,241,3,2020-03-07,2020-03-07,67.00,1,1,2026-08-24T00:00:00.000
67,223,491,3,2020-03-08,2020-03-08,68.00,1,1,2026-08-24T00:00:00.000
68,472,376,3,2020-03-09,2020-03-09,69.00,1,1,2026-08-24T00:00:00.000
69,204,371,1,2020-03-10,2020-03-10,70.00,1,1,2026-08-24T00:00:00.000
70,109,304,2,2020-03-11,2020-03-11,71.00,1,1,2026-08-24T00:00:00.000
71,311,481,3,2020-03-12,2020-03-12,72.00,1,1,2026-08-24T00:00:00.000
72,493,62,3,2020-03-13,2020-03-13,73.00,1,1,2026-08-24T00:00:00.000
73,423,375,4,2020-03-14,2020-03-14,74.00,1,1,2026-08-24T00:00:00.000
74,436,399,1,2020-03-15,2020-03-15,75.00,1,1,2026-08-24T00:00:00.000
75,416,498,2,2020-03-16,2020-03-16,76.00,1,1,2026-08-24T00:00:00.000
76,65,403,1,2020-03-17,2020-03-17,77.00,1,1,2026-08-24T00:00:00.000
77,248,462,4,2020-03-18,2020-03-18,78.00,1,1,2026-08-24T00:00:00.000
78,330,149,4,2020-03-19,2020-03-19,79.00,1,1,2026-08-24T00:00:00.000
79,168,248,1,2020-03-20,2020-03-20,80.00,1,1,2026-08-24T00:00:00.000
80,298,84,4,2020-03-21,2020-03-21,81.00,1,1,2026-08-24T00:00:00.000
81,483,190,3,2020-03-22,2020-03-22,82.00,1,1,2026-08-24T00:00:00.000
82,369,397,4,2020-03-23,2020-03-23,83.00,1,1,2026-08-24T00:00:00.000
83,134,209,2,2020-03-24,2020-03-24,84.00,1,1,2026-08-24T00:00:00.000
84,264,5,3,2020-03-25,2020-03-25,85.00,1,1,2026-08-24T00:00:00.000
85,359,34,2,2020-03-26,2020-03-26,86.00,1,1,2026-08-24T00:00:00.000
86,458,312,1,2020-03-27,2020-03-27,87.00,1,1,2026-08-24T00:00:00.000
87,160,329,3,2020-03-28,2020-03-28,88.00,1,1,2026-08-24T00:00:00.000
88,52,280,3,2020-03-29,2020-03-29,89.00,1,1,2026-08-24T00:00:00.000
89,160,489,1,2020-03-30,2020-03-30,90.00,1,1,2026-08-24T00:00:00.000
90,470,299,1,2020-03-31,2020-03-31,91.00,1,1,2026-08-24T00:00:00.000
91,378,153,3,2020-04-01,2020-04-01,92.00,1,1,2026-08-24T00:00:00.000
92,484,115,4,2020-04-02,2020-04-02,93.00,1,1,2026-08-24T00:00:00.000
93,140,328,4,2020-04-03,2020-04-03,94.00,1,1,2026-08-24T00:00:00.000
94,105,196,4,2020-04-04,2020-04-04,95.00,1,1,2026-08-24T00:00:00.000
95,307,363,4,2020-04-05,2020-04-05,96.00,1,1,2026-08-24T00:00:00.000
96,248,330,1,2020-04-06,2020-04-06,97.00,1,1,2026-08-24T00:00:00.000
97,231,123,2,2020-04-07,2020-04-07,98.00,1,1,2026-08-24T00:00:00.000
98,119,433,1,2020-04-08,2020-04-08,99.00,1,1,2026-08-24T00:00:00.000
99,4,45,1,2020-04-09,2020-04-09,100.00,1,1,2026-08-24T00:00:00.000
100,464,257,2,2020-04-10,2020-04-10,101.00,1,1,2026-08-24T00:00:00.000
101,418,297,2,2020-04-11,2020-04-11,102.00,1,1,2026-08-24T00:00:00.000
102,324,209,4,2020-04-12,2020-04-12,103.00,1,1,2026-08-24T00:00:00.000
103,425,202,3,2020-04-13,2020-04-13,104.00,1,1,2026-08-24T00:00:00.000
104,474,296,4,2020-04-14,2020-04-14,105.00,1,1,2026-08-24T00:00:00.000
105,118,296,3,2020-04-15,2020-04-15,106.00,1,1,2026-08-24T00:00:00.000
106,313,292,4,2020-04-16,2020-04-16,107.00,1,1,2026-08-24T00:00:00.000
107,473,393,2,2020-04-17,2020-04-17,108.00,1,1,2026-08-24T00:00:00.000
108,196,121,4,2020-04-18,2020-04-18,109.00,1,1,2026-08-24T00:00:00.000
109,31,207,2,2020-04-19,2020-04-19,110.00,1,1,2026-08-24T00:00:00.000
110,14,49,4,2020-04-20,2020-04-20,111.00,1,1,2026-08-24T00:00:00.000
111,112,362,4,2020-04-21,2020-04-21,112.00,1,1,2026-08-24T00:00:00.000
112,471,253,1,2020-04-22,2020-04-22,113.00,1,1,2026-08-24T00:00:00.000
113,55,308,2,2020-04-23,2020-04-23,114.00,1,1,2026-08-24T00:00:00.000
114,82,404,3,2020-04-24,2020-04-24,115.00,1,1,2026-08-24T00:00:00.000
115,155,443,3,2020-04-25,2020-04-25,116.00,1,1,2026-08-24T00:00:00.000
116,34,337,3,2020-04-26,2020-04-26,117.00,1,1,2026-08-24T00:00:00.000
117,10,350,4,2020-04-27,2020-04-27,118.00,1,1,2026-08-24T00:00:00.000
118,330,127,3,2020-04-28,2020-04-28,119.00,1,1,2026-08-24T00:00:00.000
119,185,209,1,2020-04-29,2020-04-29,120.00,1,1,2026-08-24T00:00:00.000
120,417,89,2,2020-04-30,2020-04-30,121.00,1,1,2026-08-24T00:00:00.000
121,30,52,3,2020-05-01,2020-05-01,122.00,1,1,2026-08-24T00:00:00.000
122,266,301,4,2020-05-02,2020-05-02,123.00,1,1,2026-08-24T00:00:00.000
123,435,405,3,2020-05-03,2020-05-03,124.00,1,1,2026-08-24T00:00:00.000
124,296,313,3,2020-05-04,2020-05-04,125.00,1,1,2026-08-24T00:00:00.000
125,460,129,2,2020-05-05,2020-05-05,126.00,1,1,2026-08-24T00:00:00.000
126,303,53,3,2020-05-06,2020-05-06,127.00,1,1,2026-08-24T00:00:00.000
127,196,482,1,2020-05-07,2020-05-07,128.00,1,1,2026-08-24T00:00:00.000
128,46,497,3,2020-05-08,2020-05-08,129.00,1,1,2026-08-24T00:00:00.000
129,472,320,3,2020-05-09,2020-05-09,130.00,1,1,2026-08-24T00:00:00.000
130,201,235,3,2020-05-10,2020-05-10,131.00,1,1,2026-08-24T00:00:00.000
131,62,105,1,2020-05-11,2020-05-11,132.00,1,1,2026-08-24T00:00:00.000
132,36,242,2,2020-05-12,2020-05-12,133.00,1,1,2026-08-24T00:00:00.000
133,356,149,4,2020-05-13,2020-05-13,134.00,1,1,2026-08-24T00:00:00.000
134,252,465,2,2020-05-14,2020-05-14,135.00,1,1,2026-08-24T00:00:00.000
135,374,412,3,2020-05-15,2020-05-15,136.00,1,1,2026-08-24T00:00:00.000
136,436,153,1,2020-05-16,2020-05-16,137.00,1,1,2026-08-24T00:00:00.000
137,414,496,2,2020-05-17,2020-05-17,138.00,1,1,2026-08-24T00:00:00.000
138,141,10,1,2020-05-18,2020-05-18,139.00,1,1,2026-08-24T00:00:00.000
139,306,266,4,2020-05-19,2020-05-19,140.00,1,1,2026-08-24T00:00:00.000
140,149,24,1,2020-05-20,2020-05-20,141.00,1,1,2026-08-24T00:00:00.000
141,346,191,3,2020-05-21,2020-05-21,142.00,1,1,2026-08-24T00:00:00.000
142,47,435,2,2020-05-22,2020-05-22,143.00,1,1,2026-08-24T00:00:00.000
143,437,464,1,2020-05-23,2020-05-23,144.00,1,1,2026-08-24T00:00:00.000
144,367,115,3,2020-05-24,2020-05-24,145.00,1,1,2026-08-24T00:00:00.000
145,53,99,3,2020-05-25,2020-05-25,146.00,1,1,2026-08-24T00:00:00.000
146,329,82,1,2020-05-26,2020-05-26,147.00,1,1,2026-08-24T00:00:00.000
147,78,411,4,2020-05-27,2020-05-27,148.00,1,1,2026-08-24T00:00:00.000
148,53,31,3,2020-05-28,2020-05-28,149.00,1,1,2026-08-24T00:00:00.000
149,245,313,4,2020-05-29,2020-05-29,150.00,1,1,2026-08-24T00:00:00.000
150,255,184,1,2020-05-30,2020-05-30,151.00,1,1,2026-08-24T00:00:00.000
151,72,482,4,2020-05-31,2020-05-31,152.00,1,1,2026-08-24T00:00:00.000
152,197,5,3,2020-06-01,2020-06-01,153.00,1,1,2026-08-24T00:00:00.000
153,64,487,3,2020-06-02,2020-06-02,154.00,1,1,2026-08-24T00:00:00.000
154,387,440,3,2020-06-03,2020-06-03,155.00,1,1,2026-08-24T00:00:00.000
155,450,118,2,2020-06-04,2020-06-04,156.00,1,1,2026-08-24T00:00:00.000
156,365,92,3,2020-06-05,2020-06-05,157.00,1,1,2026-08-24T00:00:00.000
157,500,191,1,2020-06-06,2020-06-06,158.00,1,1,2026-08-24T00:00:00.000
158,187,307,2,2020-06-07,2020-06-07,159.00,1,1,2026-08-24T00:00:00.000
159,43,1,3,2020-06-08,2020-06-08,160.00,1,1,2026-08-24T00:00:00.000
160,375,447,2,2020-06-09,2020-06-09,161.00,1,1,2026-08-24T00:00:00.000
161,15,231,2,2020-06-10,2020-06-10,162.00,1,1,2026-08-24T00:00:00.000
162,338,334,1,2020-06-11,2020-06-11,163.00,1,1,2026-08-24T00:00:00.000
163,60,204,1,2020-06-12,2020-06-12,164.00,1,1,2026-08-24T00:00:00.000
164,148,429,4,2020-06-13,2020-06-13,165.00,1,1,2026-08-24T00:00:00.000
165,150,205,3,2020-06-14,2020-06-14,166.00,1,1,2026-08-24T00:00:00.000
166,451,203,1,2020-06-15,2020-06-15,167.00,1,1,2026-08-24T00:00:00.000
167,143,406,1,2020-06-16,2020-06-16,168.00,1,1,2026-08-24T00:00:00.000
168,138,287,3,2020-06-17,2020-06-17,169.00,1,1,2026-08-24T00:00:00.000
169,395,111,3,2020-06-18,2020-06-18,170.00,1,1,2026-08-24T00:00:00.000
170,47,85,3,2020-06-19,2020-06-19,171.00,1,1,2026-08-24T00:00:00.000
171,371,182,1,2020-06-20,2020-06-20,172.00,1,1,2026-08-24T00:00:00.000
172,72,50,4,2020-06-21,2020-06-21,173.00,1,1,2026-08-24T00:00:00.000
173,79,150,4,2020-06-22,2020-06-22,174.00,1,1,2026-08-24T00:00:00.000
174,138,264,3,2020-06-23,2020-06-23,175.00,1,1,2026-08-24T00:00:00.000
175,182,353,2,2020-06-24,2020-06-24,176.00,1,1,2026-08-24T00:00:00.000
176,493,146,4,2020-06-25,2020-06-25,177.00,1,1,2026-08-24T00:00:00.000
177,12,408,2,2020-06-26,2020-06-26,178.00,1,1,2026-08-24T00:00:00.000
178,81,143,2,2020-06-27,2020-06-27,179.00,1,1,2026-08-24T00:00:00.000
179,194,276,3,2020-06-28,2020-06-28,180.00,1,1,2026-08-24T00:00:00.000
180,4,341,3,2020-06-29,2020-06-29,181.00,1,1,2026-08-24T00:00:00.000
181,245,418,2,2020-06-30,2020-06-30,182.00,1,1,2026-08-24T00:00:00.000
182,243,495,2,2020-07-01,2020-07-01,183.00,1,1,2026-08-24T00:00:00.000
183,436,231,1,2020-07-02,2020-07-02,184.00,1,1,2026-08-24T00:00:00.000
184,426,263,3,2020-07-03,2020-07-03,185.00,1,1,2026-08-24T00:00:00.000
185,323,496,2,2020-07-04,2020-07-04,186.00,1,1,2026-08-24T00:00:00.000
186,60,42,4,2020-07-05,2020-07-05,187.00,1,1,2026-08-24T00:00:00.000
187,18,273,1,2020-07-06,2020-07-06,188.00,1,1,2026-08-24T00:00:00.000
188,62,33,3,2020-07-07,2020-07-07,189.00,1,1,2026-08-24T00:00:00.000
189,465,333,2,2020-07-08,2020-07-08,190.00,1,1,2026-08-24T00:00:00.000
190,134,116,4,2020-07-09,2020-07-09,191.00,1,1,2026-08-24T00:00:00.000
191,230,63,4,2020-07-10,2020-07-10,192.00,1,1,2026-08-24T00:00:00.000
192,439,18,3,2020-07-11,2020-07-11,193.00,1,1,2026-08-24T00:00:00.000
193,199,377,3,2020-07-12,2020-07-12,194.00,1,1,2026-08-24T00:00:00.000
194,128,263,1,2020-07-13,2020-07-13,195.00,1,1,2026-08-24T00:00:00.000
195,162,120,1,2020-07-14,2020-07-14,196.00,1,1,2026-08-24T00:00:00.000
196,7,246,2,2020-07-15,2020-07-15,197.00,1,1,2026-08-24T00:00:00.000
197,487,112,4,2020-07-16,2020-07-16,198.00,1,1,2026-08-24T00:00:00.000
198,239,89,1,2020-07-17,2020-07-17,199.00,1,1,2026-08-24T00:00:00.000
199,20,377,2,2020-07-18,2020-07-18,200.00,1,1,2026-08-24T00:00:00.000
200,20,260,4,2020-07-19,2020-07-19,201.00,1,1,2026-08-24T00:00:00.000
201,53,11,1,2020-07-20,2020-07-20,202.00,1,1,2026-08-24T00:00:00.000
202,160,466,4,2020-07-21,2020-07-21,203.00,1,1,2026-08-24T00:00:00.000
203,93,284,1,2020-07-22,2020-07-22,204.00,1,1,2026-08-24T00:00:00.000
204,76,379,2,2020-07-23,2020-07-23,205.00,1,1,2026-08-24T00:00:00.000
205,388,437,4,2020-07-24,2020-07-24,206.00,1,1,2026-08-24T00:00:00.000
206,456,448,4,2020-07-25,2020-07-25,207.00,1,1,2026-08-24T00:00:00.000
207,404,238,2,2020-07-26,2020-07-26,208.00,1,1,2026-08-24T00:00:00.000
208,232,272,4,2020-07-27,2020-07-27,209.00,1,1,2026-08-24T00:00:00.000
209,250,86,2,2020-07-28,2020-07-28,210.00,1,1,2026-08-24T00:00:00.000
210,450,48,1,2020-07-29,2020-07-29,211.00,1,1,2026-08-24T00:00:00.000
211,267,436,4,2020-07-30,2020-07-30,212.00,1,1,2026-08-24T00:00:00.000
212,107,73,2,2020-07-31,2020-07-31,213.00,1,1,2026-08-24T00:00:00.000
213,451,259,3,2020-08-01,2020-08-01,214.00,1,1,2026-08-24T00:00:00.000
214,218,156,2,2020-08-02,2020-08-02,215.00,1,1,2026-08-24T00:00:00.000
215,101,473,1,2020-08-03,2020-08-03,216.00,1,1,2026-08-24T00:00:00.000
216,79,422,2,2020-08-04,2020-08-04,217.00,1,1,2026-08-24T00:00:00.000
217,430,159,4,2020-08-05,2020-08-05,218.00,1,1,2026-08-24T00:00:00.000
218,426,391,4,2020-08-06,2020-08-06,219.00,1,1,2026-08-24T00:00:00.000
219,300,462,4,2020-08-07,2020-08-07,220.00,1,1,2026-08-24T00:00:00.000
220,137,480,1,2020-08-08,2020-08-08,221.00,1,1,2026-08-24T00:00:00.000
221,246,284,4,2020-08-09,2020-08-09,222.00,1,1,2026-08-24T00:00:00.000
222,350,446,2,2020-08-10,2020-08-10,223.00,1,1,2026-08-24T00:00:00.000
223,368,21,2,2020-08-11,2020-08-11,224.00,1,1,2026-08-24T00:00:00.000
224,269,142,1,2020-08-12,2020-08-12,225.00,1,1,2026-08-24T00:00:00.000
225,21,198,4,2020-08-13,2020-08-13,226.00,1,1,2026-08-24T00:00:00.000
226,451,469,1,2020-08-14,2020-08-14,227.00,1,1,2026-08-24T00:00:00.000
227,165,329,4,2020-08-15,2020-08-15,228.00,1,1,2026-08-24T00:00:00.000
228,53,21,1,2020-08-16,2020-08-16,229.00,1,1,2026-08-24T00:00:00.000
229,146,49,4,2020-08-17,2020-08-17,230.00,1,1,2026-08-24T00:00:00.000
230,130,268,2,2020-08-18,2020-08-18,231.00,1,1,2026-08-24T00:00:00.000
231,129,288,4,2020-08-19,2020-08-19,232.00,1,1,2026-08-24T00:00:00.000
232,320,19,4,2020-08-20,2020-08-20,233.00,1,1,2026-08-24T00:00:00.000
233,352,494,2,2020-08-21,2020-08-21,234.00,1,1,2026-08-24T00:00:00.000
234,16,487,4,2020-08-22,2020-08-22,235.00,1,1,2026-08-24T00:00:00.000
235,488,66,1,2020-08-23,2020-08-23,236.00,1,1,2026-08-24T00:00:00.000
236,46,360,1,2020-08-24,2020-08-24,237.00,1,1,2026-08-24T00:00:00.000
237,259,252,3,2020-08-25,2020-08-25,238.00,1,1,2026-08-24T00:00:00.000
238,389,464,4,2020-08-26,2020-08-26,239.00,1,1,2026-08-24T00:00:00.000
239,25,213,3,2020-08-27,2020-08-27,240.00,1,1,2026-08-24T00:00:00.000
240,273,493,2,2020-08-28,2020-08-28,241.00,1,1,2026-08-24T00:00:00.000
241,350,475,1,2020-08-29,2020-08-29,242.00,1,1,2026-08-24T00:00:00.000
242,326,373,4,2020-08-30,2020-08-30,243.00,1,1,2026-08-24T00:00:00.000
243,239,342,3,2020-08-31,2020-08-31,244.00,1,1,2026-08-24T00:00:00.000
244,65,308,3,2020-09-01,2020-09-01,245.00,1,1,2026-08-24T00:00:00.000
245,60,257,3,2020-09-02,2020-09-02,246.00,1,1,2026-08-24T00:00:00.000
246,352,70,1,2020-09-03,2020-09-03,247.00,1,1,2026-08-24T00:00:00.000
247,191,282,2,2020-09-04,2020-09-04,248.00,1,1,2026-08-24T00:00:00.000
248,380,238,1,2020-09-05,2020-09-05,249.00,1,1,2026-08-24T00:00:00.000
249,109,150,2,2020-09-06,2020-09-06,250.00,1,1,2026-08-24T00:00:00.000
250,189,302,2,2020-09-07,2020-09-07,251.00,1,1,2026-08-24T00:00:00.000
251,84,168,4,2020-09-08,2020-09-08,252.00,1,1,2026-08-24T00:00:00.000
252,329,486,4,2020-09-09,2020-09-09,253.00,1,1,2026-08-24T00:00:00.000
253,92,215,1,2020-09-10,2020-09-10,254.00,1,1,2026-08-24T00:00:00.000
254,337,156,4,2020-09-11,2020-09-11,255.00,1,1,2026-08-24T00:00:00.000
255,9,161,4,2020-09-12,2020-09-12,256.00,1,1,2026-08-24T00:00:00.000
256,257,170,3,2020-09-13,2020-09-13,257.00,1,1,2026-08-24T00:00:00.000
257,374,153,4,2020-09-14,2020-09-14,258.00,1,1,2026-08-24T00:00:00.000
258,49,328,3,2020-09-15,2020-09-15,259.00,1,1,2026-08-24T00:00:00.000
259,352,297,2,2020-09-16,2020-09-16,260.00,1,1,2026-08-24T00:00:00.000
260,349,415,1,2020-09-17,2020-09-17,261.00,1,1,2026-08-24T00:00:00.000
261,165,263,3,2020-09-18,2020-09-18,262.00,1,1,2026-08-24T00:00:00.000
262,163,179,2,2020-09-19,2020-09-19,263.00,1,1,2026-08-24T00:00:00.000
263,17,121,2,2020-09-20,2020-09-20,264.00,1,1,2026-08-24T00:00:00.000
264,295,107,3,2020-09-21,2020-09-21,265.00,1,1,2026-08-24T00:00:00.000
265,91,179,2,2020-09-22,2020-09-22,266.00,1,1,2026-08-24T00:00:00.000
266,451,326,1,2020-09-23,2020-09-23,267.00,1,1,2026-08-24T00:00:00.000
267,161,257,4,2020-09-24,2020-09-24,268.00,1,1,2026-08-24T00:00:00.000
268,469,71,3,2020-09-25,2020-09-25,269.00,1,1,2026-08-24T00:00:00.000
269,262,488,3,2020-09-26,2020-09-26,270.00,1,1,2026-08-24T00:00:00.000
270,89,139,4,2020-09-27,2020-09-27,271.00,1,1,2026-08-24T00:00:00.000
271,442,57,3,2020-09-28,2020-09-28,272.00,1,1,2026-08-24T00:00:00.000
272,133,339,2,2020-09-29,2020-09-29,273.00,1,1,2026-08-24T00:00:00.000
273,287,176,4,2020-09-30,2020-09-30,274.00,1,1,2026-08-24T00:00:00.000
274,51,485,4,2020-10-01,2020-10-01,275.00,1,1,2026-08-24T00:00:00.000
275,218,292,1,2020-10-02,2020-10-02,276.00,1,1,2026-08-24T00:00:00.000
276,500,73,2,2020-10-03,2020-10-03,277.00,1,1,2026-08-24T00:00:00.000
277,68,376,4,2020-10-04,2020-10-04,278.00,1,1,2026-08-24T00:00:00.000
278,257,56,1,2020-10-05,2020-10-05,279.00,1,1,2026-08-24T00:00:00.000
279,461,297,2,2020-10-06,2020-10-06,280.00,1,1,2026-08-24T00:00:00.000
280,24,191,2,2020-10-07,2020-10-07,281.00,1,1,2026-08-24T00:00:00.000
281,475,164,4,2020-10-08,2020-10-08,282.00,1,1,2026-08-24T00:00:00.000
282,335,55,3,2020-10-09,2020-10-09,283.00,1,1,2026-08-24T00:00:00.000
283,242,365,4,2020-10-10,2020-10-10,284.00,1,1,2026-08-24T00:00:00.000
284,494,287,4,2020-10-11,2020-10-11,285.00,1,1,2026-08-24T00:00:00.000
285,362,439,3,2020-10-12,2020-10-12,286.00,1,1,2026-08-24T00:00:00.000
286,12,492,1,2020-10-13,2020-10-13,287.00,1,1,2026-08-24T00:00:00.000
287,437,328,3,2020-10-14,2020-10-14,288.00,1,1,2026-08-24T00:00:00.000
288,296,136,1,2020-10-15,2020-10-15,289.00,1,1,2026-08-24T00:00:00.000
289,485,244,2,2020-10-16,2020-10-16,290.00,1,1,2026-08-24T00:00:00.000
290,393,260,3,2020-10-17,2020-10-17,291.00,1,1,2026-08-24T00:00:00.000
291,478,491,2,2020-10-18,2020-10-18,292.00,1,1,2026-08-24T00:00:00.000
292,378,217,1,2020-10-19,2020-10-19,293.00,1,1,2026-08-24T00:00:00.000
293,257,336,4,2020-10-20,2020-10-20,294.00,1,1,2026-08-24T00:00:00.000
294,1,378,4,2020-10-21,2020-10-21,295.00,1,1,2026-08-24T00:00:00.000
295,447,129,3,2020-10-22,2020-10-22,296.00,1,1,2026-08-24T00:00:00.000
296,301,72,3,2020-10-23,2020-10-23,297.00,1,1,2026-08-24T00:00:00.000
297,438,245,4,2020-10-24,2020-10-24,298.00,1,1,2026-08-24T00:00:00.000
298,136,104,3,2020-10-25,2020-10-25,299.00,1,1,2026-08-24T00:00:00.000
299,387,278,2,2020-10-26,2020-10-26,300.00,1,1,2026-08-24T00:00:00.000
300,138,436,4,2020-10-27,2020-10-27,301.00,1,1,2026-08-24T00:00:00.000
301,336,73,1,2020-10-28,2020-10-28,302.00,1,1,2026-08-24T00:00:00.000
302,86,200,4,2020-10-29,2020-10-29,303.00,1,1,2026-08-24T00:00:00.000
303,104,426,4,2020-10-30,2020-10-30,304.00,1,1,2026-08-24T00:00:00.000
304,140,397,2,2020-10-31,2020-10-31,305.00,1,1,2026-08-24T00:00:00.000
305,182,162,4,2020-11-01,2020-11-01,306.00,1,1,2026-08-24T00:00:00.000
306,11,260,3,2020-11-02,2020-11-02,307.00,1,1,2026-08-24T00:00:00.000
