SafetyEmployeePpeKey,EmployeeKey,SafetyPpeItemKey,IssuedDate,ReplacementDueDate,IssuedQuantity,SourceSystemKey,BatchId,LoadedAtUtc
111,81,132,2020-04-21,2020-04-21,77.8000,1,1,2026-08-24T00:00:00.000
112,481,125,2020-04-22,2020-04-22,78.5000,1,1,2026-08-24T00:00:00.000
113,384,38,2020-04-23,2020-04-23,79.2000,1,1,2026-08-24T00:00:00.000
114,291,213,2020-04-24,2020-04-24,79.9000,1,1,2026-08-24T00:00:00.000
115,414,123,2020-04-25,2020-04-25,80.6000,1,1,2026-08-24T00:00:00.000
116,347,94,2020-04-26,2020-04-26,81.3000,1,1,2026-08-24T00:00:00.000
117,171,374,2020-04-27,2020-04-27,82.0000,1,1,2026-08-24T00:00:00.000
118,95,447,2020-04-28,2020-04-28,82.7000,1,1,2026-08-24T00:00:00.000
119,87,124,2020-04-29,2020-04-29,83.4000,1,1,2026-08-24T00:00:00.000
120,125,193,2020-04-30,2020-04-30,84.1000,1,1,2026-08-24T00:00:00.000
121,301,150,2020-05-01,2020-05-01,84.8000,1,1,2026-08-24T00:00:00.000
122,212,126,2020-05-02,2020-05-02,85.5000,1,1,2026-08-24T00:00:00.000
123,37,468,2020-05-03,2020-05-03,86.2000,1,1,2026-08-24T00:00:00.000
124,318,496,2020-05-04,2020-05-04,86.9000,1,1,2026-08-24T00:00:00.000
125,101,146,2020-05-05,2020-05-05,87.6000,1,1,2026-08-24T00:00:00.000
126,256,301,2020-05-06,2020-05-06,88.3000,1,1,2026-08-24T00:00:00.000
127,339,397,2020-05-07,2020-05-07,89.0000,1,1,2026-08-24T00:00:00.000
128,410,176,2020-05-08,2020-05-08,89.7000,1,1,2026-08-24T00:00:00.000
129,340,482,2020-05-09,2020-05-09,90.4000,1,1,2026-08-24T00:00:00.000
130,434,499,2020-05-10,2020-05-10,91.1000,1,1,2026-08-24T00:00:00.000
131,4,112,2020-05-11,2020-05-11,91.8000,1,1,2026-08-24T00:00:00.000
132,163,244,2020-05-12,2020-05-12,92.5000,1,1,2026-08-24T00:00:00.000
133,96,77,2020-05-13,2020-05-13,93.2000,1,1,2026-08-24T00:00:00.000
134,324,345,2020-05-14,2020-05-14,93.9000,1,1,2026-08-24T00:00:00.000
135,10,306,2020-05-15,2020-05-15,94.6000,1,1,2026-08-24T00:00:00.000
136,379,479,2020-05-16,2020-05-16,95.3000,1,1,2026-08-24T00:00:00.000
137,449,366,2020-05-17,2020-05-17,96.0000,1,1,2026-08-24T00:00:00.000
138,158,68,2020-05-18,2020-05-18,96.7000,1,1,2026-08-24T00:00:00.000
139,214,316,2020-05-19,2020-05-19,97.4000,1,1,2026-08-24T00:00:00.000
140,2,365,2020-05-20,2020-05-20,98.1000,1,1,2026-08-24T00:00:00.000
141,450,376,2020-05-21,2020-05-21,98.8000,1,1,2026-08-24T00:00:00.000
142,166,498,2020-05-22,2020-05-22,99.5000,1,1,2026-08-24T00:00:00.000
143,421,432,2020-05-23,2020-05-23,100.2000,1,1,2026-08-24T00:00:00.000
144,224,234,2020-05-24,2020-05-24,100.9000,1,1,2026-08-24T00:00:00.000
145,115,308,2020-05-25,2020-05-25,101.6000,1,1,2026-08-24T00:00:00.000
146,358,399,2020-05-26,2020-05-26,102.3000,1,1,2026-08-24T00:00:00.000
147,415,298,2020-05-27,2020-05-27,103.0000,1,1,2026-08-24T00:00:00.000
148,101,210,2020-05-28,2020-05-28,103.7000,1,1,2026-08-24T00:00:00.000
149,200,214,2020-05-29,2020-05-29,104.4000,1,1,2026-08-24T00:00:00.000
150,69,58,2020-05-30,2020-05-30,105.1000,1,1,2026-08-24T00:00:00.000
151,175,452,2020-05-31,2020-05-31,105.8000,1,1,2026-08-24T00:00:00.000
152,179,500,2020-06-01,2020-06-01,106.5000,1,1,2026-08-24T00:00:00.000
153,414,347,2020-06-02,2020-06-02,107.2000,1,1,2026-08-24T00:00:00.000
154,235,450,2020-06-03,2020-06-03,107.9000,1,1,2026-08-24T00:00:00.000
155,173,358,2020-06-04,2020-06-04,108.6000,1,1,2026-08-24T00:00:00.000
156,198,409,2020-06-05,2020-06-05,109.3000,1,1,2026-08-24T00:00:00.000
157,54,155,2020-06-06,2020-06-06,110.0000,1,1,2026-08-24T00:00:00.000
158,117,473,2020-06-07,2020-06-07,110.7000,1,1,2026-08-24T00:00:00.000
159,491,408,2020-06-08,2020-06-08,111.4000,1,1,2026-08-24T00:00:00.000
160,234,433,2020-06-09,2020-06-09,112.1000,1,1,2026-08-24T00:00:00.000
161,365,93,2020-06-10,2020-06-10,112.8000,1,1,2026-08-24T00:00:00.000
162,1,366,2020-06-11,2020-06-11,113.5000,1,1,2026-08-24T00:00:00.000
163,306,222,2020-06-12,2020-06-12,114.2000,1,1,2026-08-24T00:00:00.000
164,437,355,2020-06-13,2020-06-13,114.9000,1,1,2026-08-24T00:00:00.000
165,230,421,2020-06-14,2020-06-14,115.6000,1,1,2026-08-24T00:00:00.000
166,307,116,2020-06-15,2020-06-15,116.3000,1,1,2026-08-24T00:00:00.000
167,358,421,2020-06-16,2020-06-16,117.0000,1,1,2026-08-24T00:00:00.000
168,454,409,2020-06-17,2020-06-17,117.7000,1,1,2026-08-24T00:00:00.000
169,63,3,2020-06-18,2020-06-18,118.4000,1,1,2026-08-24T00:00:00.000
170,184,3,2020-06-19,2020-06-19,119.1000,1,1,2026-08-24T00:00:00.000
171,197,331,2020-06-20,2020-06-20,119.8000,1,1,2026-08-24T00:00:00.000
172,47,481,2020-06-21,2020-06-21,120.5000,1,1,2026-08-24T00:00:00.000
173,272,424,2020-06-22,2020-06-22,121.2000,1,1,2026-08-24T00:00:00.000
174,106,495,2020-06-23,2020-06-23,121.9000,1,1,2026-08-24T00:00:00.000
175,207,219,2020-06-24,2020-06-24,122.6000,1,1,2026-08-24T00:00:00.000
176,145,325,2020-06-25,2020-06-25,123.3000,1,1,2026-08-24T00:00:00.000
177,465,410,2020-06-26,2020-06-26,124.0000,1,1,2026-08-24T00:00:00.000
178,65,298,2020-06-27,2020-06-27,124.7000,1,1,2026-08-24T00:00:00.000
179,121,165,2020-06-28,2020-06-28,125.4000,1,1,2026-08-24T00:00:00.000
180,215,55,2020-06-29,2020-06-29,126.1000,1,1,2026-08-24T00:00:00.000
181,489,159,2020-06-30,2020-06-30,126.8000,1,1,2026-08-24T00:00:00.000
182,319,128,2020-07-01,2020-07-01,127.5000,1,1,2026-08-24T00:00:00.000
183,284,98,2020-07-02,2020-07-02,128.2000,1,1,2026-08-24T00:00:00.000
184,279,380,2020-07-03,2020-07-03,128.9000,1,1,2026-08-24T00:00:00.000
185,37,164,2020-07-04,2020-07-04,129.6000,1,1,2026-08-24T00:00:00.000
186,142,490,2020-07-05,2020-07-05,130.3000,1,1,2026-08-24T00:00:00.000
187,341,207,2020-07-06,2020-07-06,131.0000,1,1,2026-08-24T00:00:00.000
188,199,299,2020-07-07,2020-07-07,131.7000,1,1,2026-08-24T00:00:00.000
189,358,409,2020-07-08,2020-07-08,132.4000,1,1,2026-08-24T00:00:00.000
190,185,103,2020-07-09,2020-07-09,133.1000,1,1,2026-08-24T00:00:00.000
191,183,314,2020-07-10,2020-07-10,133.8000,1,1,2026-08-24T00:00:00.000
192,67,131,2020-07-11,2020-07-11,134.5000,1,1,2026-08-24T00:00:00.000
193,145,176,2020-07-12,2020-07-12,135.2000,1,1,2026-08-24T00:00:00.000
194,54,416,2020-07-13,2020-07-13,135.9000,1,1,2026-08-24T00:00:00.000
195,72,240,2020-07-14,2020-07-14,136.6000,1,1,2026-08-24T00:00:00.000
196,445,362,2020-07-15,2020-07-15,137.3000,1,1,2026-08-24T00:00:00.000
197,40,79,2020-07-16,2020-07-16,138.0000,1,1,2026-08-24T00:00:00.000
198,96,218,2020-07-17,2020-07-17,138.7000,1,1,2026-08-24T00:00:00.000
199,92,456,2020-07-18,2020-07-18,139.4000,1,1,2026-08-24T00:00:00.000
200,463,385,2020-07-19,2020-07-19,140.1000,1,1,2026-08-24T00:00:00.000
201,376,19,2020-07-20,2020-07-20,140.8000,1,1,2026-08-24T00:00:00.000
202,234,315,2020-07-21,2020-07-21,141.5000,1,1,2026-08-24T00:00:00.000
203,454,462,2020-07-22,2020-07-22,142.2000,1,1,2026-08-24T00:00:00.000
204,1,148,2020-07-23,2020-07-23,142.9000,1,1,2026-08-24T00:00:00.000
205,399,322,2020-07-24,2020-07-24,143.6000,1,1,2026-08-24T00:00:00.000
206,235,235,2020-07-25,2020-07-25,144.3000,1,1,2026-08-24T00:00:00.000
207,360,253,2020-07-26,2020-07-26,145.0000,1,1,2026-08-24T00:00:00.000
208,477,42,2020-07-27,2020-07-27,145.7000,1,1,2026-08-24T00:00:00.000
209,12,260,2020-07-28,2020-07-28,146.4000,1,1,2026-08-24T00:00:00.000
210,457,300,2020-07-29,2020-07-29,147.1000,1,1,2026-08-24T00:00:00.000
211,24,87,2020-07-30,2020-07-30,147.8000,1,1,2026-08-24T00:00:00.000
212,444,20,2020-07-31,2020-07-31,148.5000,1,1,2026-08-24T00:00:00.000
213,353,199,2020-08-01,2020-08-01,149.2000,1,1,2026-08-24T00:00:00.000
214,404,323,2020-08-02,2020-08-02,149.9000,1,1,2026-08-24T00:00:00.000
215,80,159,2020-08-03,2020-08-03,150.6000,1,1,2026-08-24T00:00:00.000
216,355,388,2020-08-04,2020-08-04,151.3000,1,1,2026-08-24T00:00:00.000
217,317,459,2020-08-05,2020-08-05,152.0000,1,1,2026-08-24T00:00:00.000
218,91,470,2020-08-06,2020-08-06,152.7000,1,1,2026-08-24T00:00:00.000
219,71,231,2020-08-07,2020-08-07,153.4000,1,1,2026-08-24T00:00:00.000
220,196,359,2020-08-08,2020-08-08,154.1000,1,1,2026-08-24T00:00:00.000
221,89,407,2020-08-09,2020-08-09,154.8000,1,1,2026-08-24T00:00:00.000
222,24,178,2020-08-10,2020-08-10,155.5000,1,1,2026-08-24T00:00:00.000
223,368,272,2020-08-11,2020-08-11,156.2000,1,1,2026-08-24T00:00:00.000
224,268,70,2020-08-12,2020-08-12,156.9000,1,1,2026-08-24T00:00:00.000
225,499,285,2020-08-13,2020-08-13,157.6000,1,1,2026-08-24T00:00:00.000
226,327,105,2020-08-14,2020-08-14,158.3000,1,1,2026-08-24T00:00:00.000
227,476,372,2020-08-15,2020-08-15,159.0000,1,1,2026-08-24T00:00:00.000
228,210,87,2020-08-16,2020-08-16,159.7000,1,1,2026-08-24T00:00:00.000
229,265,357,2020-08-17,2020-08-17,160.4000,1,1,2026-08-24T00:00:00.000
230,79,265,2020-08-18,2020-08-18,161.1000,1,1,2026-08-24T00:00:00.000
231,359,384,2020-08-19,2020-08-19,161.8000,1,1,2026-08-24T00:00:00.000
232,475,184,2020-08-20,2020-08-20,162.5000,1,1,2026-08-24T00:00:00.000
233,149,16,2020-08-21,2020-08-21,163.2000,1,1,2026-08-24T00:00:00.000
234,311,253,2020-08-22,2020-08-22,163.9000,1,1,2026-08-24T00:00:00.000
235,399,330,2020-08-23,2020-08-23,164.6000,1,1,2026-08-24T00:00:00.000
236,265,232,2020-08-24,2020-08-24,165.3000,1,1,2026-08-24T00:00:00.000
237,191,446,2020-08-25,2020-08-25,166.0000,1,1,2026-08-24T00:00:00.000
238,453,130,2020-08-26,2020-08-26,166.7000,1,1,2026-08-24T00:00:00.000
239,96,136,2020-08-27,2020-08-27,167.4000,1,1,2026-08-24T00:00:00.000
240,121,344,2020-08-28,2020-08-28,168.1000,1,1,2026-08-24T00:00:00.000
241,113,268,2020-08-29,2020-08-29,168.8000,1,1,2026-08-24T00:00:00.000
242,67,494,2020-08-30,2020-08-30,169.5000,1,1,2026-08-24T00:00:00.000
243,92,294,2020-08-31,2020-08-31,170.2000,1,1,2026-08-24T00:00:00.000
244,128,257,2020-09-01,2020-09-01,170.9000,1,1,2026-08-24T00:00:00.000
245,348,447,2020-09-02,2020-09-02,171.6000,1,1,2026-08-24T00:00:00.000
246,407,20,2020-09-03,2020-09-03,172.3000,1,1,2026-08-24T00:00:00.000
247,468,115,2020-09-04,2020-09-04,173.0000,1,1,2026-08-24T00:00:00.000
248,222,395,2020-09-05,2020-09-05,173.7000,1,1,2026-08-24T00:00:00.000
249,94,364,2020-09-06,2020-09-06,174.4000,1,1,2026-08-24T00:00:00.000
250,270,385,2020-09-07,2020-09-07,175.1000,1,1,2026-08-24T00:00:00.000
251,280,85,2020-09-08,2020-09-08,175.8000,1,1,2026-08-24T00:00:00.000
252,323,245,2020-09-09,2020-09-09,176.5000,1,1,2026-08-24T00:00:00.000
253,433,136,2020-09-10,2020-09-10,177.2000,1,1,2026-08-24T00:00:00.000
254,219,158,2020-09-11,2020-09-11,177.9000,1,1,2026-08-24T00:00:00.000
255,208,266,2020-09-12,2020-09-12,178.6000,1,1,2026-08-24T00:00:00.000
256,409,18,2020-09-13,2020-09-13,179.3000,1,1,2026-08-24T00:00:00.000
257,15,5,2020-09-14,2020-09-14,180.0000,1,1,2026-08-24T00:00:00.000
258,306,469,2020-09-15,2020-09-15,180.7000,1,1,2026-08-24T00:00:00.000
259,410,407,2020-09-16,2020-09-16,181.4000,1,1,2026-08-24T00:00:00.000
260,168,28,2020-09-17,2020-09-17,182.1000,1,1,2026-08-24T00:00:00.000
261,291,70,2020-09-18,2020-09-18,182.8000,1,1,2026-08-24T00:00:00.000
262,177,332,2020-09-19,2020-09-19,183.5000,1,1,2026-08-24T00:00:00.000
263,154,280,2020-09-20,2020-09-20,184.2000,1,1,2026-08-24T00:00:00.000
264,137,87,2020-09-21,2020-09-21,184.9000,1,1,2026-08-24T00:00:00.000
265,14,68,2020-09-22,2020-09-22,185.6000,1,1,2026-08-24T00:00:00.000
266,113,350,2020-09-23,2020-09-23,186.3000,1,1,2026-08-24T00:00:00.000
267,427,377,2020-09-24,2020-09-24,187.0000,1,1,2026-08-24T00:00:00.000
268,317,82,2020-09-25,2020-09-25,187.7000,1,1,2026-08-24T00:00:00.000
269,90,111,2020-09-26,2020-09-26,188.4000,1,1,2026-08-24T00:00:00.000
270,452,456,2020-09-27,2020-09-27,189.1000,1,1,2026-08-24T00:00:00.000
271,220,59,2020-09-28,2020-09-28,189.8000,1,1,2026-08-24T00:00:00.000
272,432,481,2020-09-29,2020-09-29,190.5000,1,1,2026-08-24T00:00:00.000
273,209,266,2020-09-30,2020-09-30,191.2000,1,1,2026-08-24T00:00:00.000
274,201,23,2020-10-01,2020-10-01,191.9000,1,1,2026-08-24T00:00:00.000
275,330,292,2020-10-02,2020-10-02,192.6000,1,1,2026-08-24T00:00:00.000
276,460,303,2020-10-03,2020-10-03,193.3000,1,1,2026-08-24T00:00:00.000
277,244,35,2020-10-04,2020-10-04,194.0000,1,1,2026-08-24T00:00:00.000
278,429,460,2020-10-05,2020-10-05,194.7000,1,1,2026-08-24T00:00:00.000
279,350,275,2020-10-06,2020-10-06,195.4000,1,1,2026-08-24T00:00:00.000
280,423,224,2020-10-07,2020-10-07,196.1000,1,1,2026-08-24T00:00:00.000
281,164,296,2020-10-08,2020-10-08,196.8000,1,1,2026-08-24T00:00:00.000
282,461,197,2020-10-09,2020-10-09,197.5000,1,1,2026-08-24T00:00:00.000
283,391,161,2020-10-10,2020-10-10,198.2000,1,1,2026-08-24T00:00:00.000
284,258,49,2020-10-11,2020-10-11,198.9000,1,1,2026-08-24T00:00:00.000
285,110,478,2020-10-12,2020-10-12,199.6000,1,1,2026-08-24T00:00:00.000
286,272,267,2020-10-13,2020-10-13,200.3000,1,1,2026-08-24T00:00:00.000
287,277,238,2020-10-14,2020-10-14,201.0000,1,1,2026-08-24T00:00:00.000
288,277,341,2020-10-15,2020-10-15,201.7000,1,1,2026-08-24T00:00:00.000
289,470,326,2020-10-16,2020-10-16,202.4000,1,1,2026-08-24T00:00:00.000
290,454,44,2020-10-17,2020-10-17,203.1000,1,1,2026-08-24T00:00:00.000
291,128,407,2020-10-18,2020-10-18,203.8000,1,1,2026-08-24T00:00:00.000
292,398,271,2020-10-19,2020-10-19,204.5000,1,1,2026-08-24T00:00:00.000
293,24,308,2020-10-20,2020-10-20,205.2000,1,1,2026-08-24T00:00:00.000
294,117,300,2020-10-21,2020-10-21,205.9000,1,1,2026-08-24T00:00:00.000
295,111,242,2020-10-22,2020-10-22,206.6000,1,1,2026-08-24T00:00:00.000
296,468,499,2020-10-23,2020-10-23,207.3000,1,1,2026-08-24T00:00:00.000
297,55,60,2020-10-24,2020-10-24,208.0000,1,1,2026-08-24T00:00:00.000
298,173,268,2020-10-25,2020-10-25,208.7000,1,1,2026-08-24T00:00:00.000
299,30,13,2020-10-26,2020-10-26,209.4000,1,1,2026-08-24T00:00:00.000
300,92,375,2020-10-27,2020-10-27,210.1000,1,1,2026-08-24T00:00:00.000
301,300,432,2020-10-28,2020-10-28,210.8000,1,1,2026-08-24T00:00:00.000
302,219,338,2020-10-29,2020-10-29,211.5000,1,1,2026-08-24T00:00:00.000
303,212,348,2020-10-30,2020-10-30,212.2000,1,1,2026-08-24T00:00:00.000
304,150,87,2020-10-31,2020-10-31,212.9000,1,1,2026-08-24T00:00:00.000
305,217,424,2020-11-01,2020-11-01,213.6000,1,1,2026-08-24T00:00:00.000
306,310,6,2020-11-02,2020-11-02,214.3000,1,1,2026-08-24T00:00:00.000
307,135,439,2020-11-03,2020-11-03,215.0000,1,1,2026-08-24T00:00:00.000
308,171,9,2020-11-04,2020-11-04,215.7000,1,1,2026-08-24T00:00:00.000
309,338,293,2020-11-05,2020-11-05,216.4000,1,1,2026-08-24T00:00:00.000
310,204,201,2020-11-06,2020-11-06,217.1000,1,1,2026-08-24T00:00:00.000
311,212,473,2020-11-07,2020-11-07,217.8000,1,1,2026-08-24T00:00:00.000
312,263,41,2020-11-08,2020-11-08,218.5000,1,1,2026-08-24T00:00:00.000
313,38,230,2020-11-09,2020-11-09,219.2000,1,1,2026-08-24T00:00:00.000
