EngineeringChangeAffectedItemKey,EngineeringChangeOrderKey,EngineeringPartRevisionKey,EngineeringCadDocumentKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
199,86,312,183,199,282.630000,0.0199,1,1,2026-08-24T00:00:00.000
200,37,219,364,200,284.000000,0.0200,1,1,2026-08-24T00:00:00.000
201,300,122,194,201,285.370000,0.0201,1,1,2026-08-24T00:00:00.000
202,73,449,87,202,286.740000,0.0202,1,1,2026-08-24T00:00:00.000
203,358,403,67,203,288.110000,0.0203,1,1,2026-08-24T00:00:00.000
204,324,205,306,204,289.480000,0.0204,1,1,2026-08-24T00:00:00.000
205,195,292,20,205,290.850000,0.0205,1,1,2026-08-24T00:00:00.000
206,149,70,4,206,292.220000,0.0206,1,1,2026-08-24T00:00:00.000
207,44,60,123,207,293.590000,0.0207,1,1,2026-08-24T00:00:00.000
208,40,441,309,208,294.960000,0.0208,1,1,2026-08-24T00:00:00.000
209,174,408,151,209,296.330000,0.0209,1,1,2026-08-24T00:00:00.000
210,411,154,420,210,297.700000,0.0210,1,1,2026-08-24T00:00:00.000
211,300,207,175,211,299.070000,0.0211,1,1,2026-08-24T00:00:00.000
212,232,72,255,212,300.440000,0.0212,1,1,2026-08-24T00:00:00.000
213,406,262,458,213,301.810000,0.0213,1,1,2026-08-24T00:00:00.000
214,177,40,402,214,303.180000,0.0214,1,1,2026-08-24T00:00:00.000
215,271,194,426,215,304.550000,0.0215,1,1,2026-08-24T00:00:00.000
216,311,145,28,216,305.920000,0.0216,1,1,2026-08-24T00:00:00.000
217,459,23,386,217,307.290000,0.0217,1,1,2026-08-24T00:00:00.000
218,238,40,171,218,308.660000,0.0218,1,1,2026-08-24T00:00:00.000
219,395,341,204,219,310.030000,0.0219,1,1,2026-08-24T00:00:00.000
220,223,263,104,220,311.400000,0.0220,1,1,2026-08-24T00:00:00.000
221,13,271,187,221,312.770000,0.0221,1,1,2026-08-24T00:00:00.000
222,150,158,70,222,314.140000,0.0222,1,1,2026-08-24T00:00:00.000
223,122,424,433,223,315.510000,0.0223,1,1,2026-08-24T00:00:00.000
224,422,5,323,224,316.880000,0.0224,1,1,2026-08-24T00:00:00.000
225,351,127,236,225,318.250000,0.0225,1,1,2026-08-24T00:00:00.000
226,336,59,312,226,319.620000,0.0226,1,1,2026-08-24T00:00:00.000
227,201,192,241,227,320.990000,0.0227,1,1,2026-08-24T00:00:00.000
228,94,435,189,228,322.360000,0.0228,1,1,2026-08-24T00:00:00.000
229,361,277,268,229,323.730000,0.0229,1,1,2026-08-24T00:00:00.000
230,491,448,376,230,325.100000,0.0230,1,1,2026-08-24T00:00:00.000
231,7,485,415,231,326.470000,0.0231,1,1,2026-08-24T00:00:00.000
232,302,493,290,232,327.840000,0.0232,1,1,2026-08-24T00:00:00.000
233,469,208,497,233,329.210000,0.0233,1,1,2026-08-24T00:00:00.000
234,496,489,436,234,330.580000,0.0234,1,1,2026-08-24T00:00:00.000
235,486,357,387,235,331.950000,0.0235,1,1,2026-08-24T00:00:00.000
236,484,460,333,236,333.320000,0.0236,1,1,2026-08-24T00:00:00.000
237,285,147,316,237,334.690000,0.0237,1,1,2026-08-24T00:00:00.000
238,383,122,81,238,336.060000,0.0238,1,1,2026-08-24T00:00:00.000
239,285,268,378,239,337.430000,0.0239,1,1,2026-08-24T00:00:00.000
240,161,314,425,240,338.800000,0.0240,1,1,2026-08-24T00:00:00.000
241,289,390,215,241,340.170000,0.0241,1,1,2026-08-24T00:00:00.000
242,256,145,154,242,341.540000,0.0242,1,1,2026-08-24T00:00:00.000
243,37,44,110,243,342.910000,0.0243,1,1,2026-08-24T00:00:00.000
244,463,412,408,244,344.280000,0.0244,1,1,2026-08-24T00:00:00.000
245,450,171,456,245,345.650000,0.0245,1,1,2026-08-24T00:00:00.000
246,235,334,471,246,347.020000,0.0246,1,1,2026-08-24T00:00:00.000
247,414,244,363,247,348.390000,0.0247,1,1,2026-08-24T00:00:00.000
248,312,403,20,248,349.760000,0.0248,1,1,2026-08-24T00:00:00.000
249,105,437,283,249,351.130000,0.0249,1,1,2026-08-24T00:00:00.000
250,430,24,116,250,352.500000,0.0250,1,1,2026-08-24T00:00:00.000
251,494,198,13,251,353.870000,0.0251,1,1,2026-08-24T00:00:00.000
252,432,330,191,252,355.240000,0.0252,1,1,2026-08-24T00:00:00.000
253,64,269,183,253,356.610000,0.0253,1,1,2026-08-24T00:00:00.000
254,456,284,104,254,357.980000,0.0254,1,1,2026-08-24T00:00:00.000
255,238,473,150,255,359.350000,0.0255,1,1,2026-08-24T00:00:00.000
256,303,32,245,256,360.720000,0.0256,1,1,2026-08-24T00:00:00.000
257,228,99,284,257,362.090000,0.0257,1,1,2026-08-24T00:00:00.000
258,103,5,43,258,363.460000,0.0258,1,1,2026-08-24T00:00:00.000
259,255,3,48,259,364.830000,0.0259,1,1,2026-08-24T00:00:00.000
260,133,197,57,260,366.200000,0.0260,1,1,2026-08-24T00:00:00.000
261,70,485,33,261,367.570000,0.0261,1,1,2026-08-24T00:00:00.000
262,54,334,134,262,368.940000,0.0262,1,1,2026-08-24T00:00:00.000
263,335,426,464,263,370.310000,0.0263,1,1,2026-08-24T00:00:00.000
264,26,57,444,264,371.680000,0.0264,1,1,2026-08-24T00:00:00.000
265,253,496,370,265,373.050000,0.0265,1,1,2026-08-24T00:00:00.000
266,24,115,15,266,374.420000,0.0266,1,1,2026-08-24T00:00:00.000
267,490,460,11,267,375.790000,0.0267,1,1,2026-08-24T00:00:00.000
268,127,296,273,268,377.160000,0.0268,1,1,2026-08-24T00:00:00.000
269,489,232,471,269,378.530000,0.0269,1,1,2026-08-24T00:00:00.000
270,379,399,69,270,379.900000,0.0270,1,1,2026-08-24T00:00:00.000
271,23,33,253,271,381.270000,0.0271,1,1,2026-08-24T00:00:00.000
272,398,426,161,272,382.640000,0.0272,1,1,2026-08-24T00:00:00.000
273,168,426,317,273,384.010000,0.0273,1,1,2026-08-24T00:00:00.000
274,41,127,450,274,385.380000,0.0274,1,1,2026-08-24T00:00:00.000
275,145,289,239,275,386.750000,0.0275,1,1,2026-08-24T00:00:00.000
276,207,155,232,276,388.120000,0.0276,1,1,2026-08-24T00:00:00.000
277,152,149,324,277,389.490000,0.0277,1,1,2026-08-24T00:00:00.000
278,472,368,39,278,390.860000,0.0278,1,1,2026-08-24T00:00:00.000
279,312,380,234,279,392.230000,0.0279,1,1,2026-08-24T00:00:00.000
280,100,370,343,280,393.600000,0.0280,1,1,2026-08-24T00:00:00.000
281,452,277,398,281,394.970000,0.0281,1,1,2026-08-24T00:00:00.000
282,427,185,376,282,396.340000,0.0282,1,1,2026-08-24T00:00:00.000
283,345,35,121,283,397.710000,0.0283,1,1,2026-08-24T00:00:00.000
284,184,163,346,284,399.080000,0.0284,1,1,2026-08-24T00:00:00.000
285,309,161,344,285,400.450000,0.0285,1,1,2026-08-24T00:00:00.000
286,234,400,151,286,401.820000,0.0286,1,1,2026-08-24T00:00:00.000
287,125,31,93,287,403.190000,0.0287,1,1,2026-08-24T00:00:00.000
288,452,11,193,288,404.560000,0.0288,1,1,2026-08-24T00:00:00.000
289,222,492,207,289,405.930000,0.0289,1,1,2026-08-24T00:00:00.000
290,318,159,454,290,407.300000,0.0290,1,1,2026-08-24T00:00:00.000
291,262,296,410,291,408.670000,0.0291,1,1,2026-08-24T00:00:00.000
292,201,295,69,292,410.040000,0.0292,1,1,2026-08-24T00:00:00.000
293,206,64,152,293,411.410000,0.0293,1,1,2026-08-24T00:00:00.000
294,68,396,284,294,412.780000,0.0294,1,1,2026-08-24T00:00:00.000
295,142,472,137,295,414.150000,0.0295,1,1,2026-08-24T00:00:00.000
296,183,367,347,296,415.520000,0.0296,1,1,2026-08-24T00:00:00.000
297,430,460,361,297,416.890000,0.0297,1,1,2026-08-24T00:00:00.000
298,232,292,127,298,418.260000,0.0298,1,1,2026-08-24T00:00:00.000
299,189,275,299,299,419.630000,0.0299,1,1,2026-08-24T00:00:00.000
300,73,90,464,300,421.000000,0.0300,1,1,2026-08-24T00:00:00.000
301,44,396,335,301,422.370000,0.0301,1,1,2026-08-24T00:00:00.000
302,37,327,108,302,423.740000,0.0302,1,1,2026-08-24T00:00:00.000
303,476,434,5,303,425.110000,0.0303,1,1,2026-08-24T00:00:00.000
304,160,237,180,304,426.480000,0.0304,1,1,2026-08-24T00:00:00.000
305,329,463,274,305,427.850000,0.0305,1,1,2026-08-24T00:00:00.000
306,57,369,207,306,429.220000,0.0306,1,1,2026-08-24T00:00:00.000
307,201,28,73,307,430.590000,0.0307,1,1,2026-08-24T00:00:00.000
308,179,10,57,308,431.960000,0.0308,1,1,2026-08-24T00:00:00.000
309,94,254,384,309,433.330000,0.0309,1,1,2026-08-24T00:00:00.000
310,403,435,99,310,434.700000,0.0310,1,1,2026-08-24T00:00:00.000
311,256,47,177,311,436.070000,0.0311,1,1,2026-08-24T00:00:00.000
312,202,400,254,312,437.440000,0.0312,1,1,2026-08-24T00:00:00.000
313,252,312,31,313,438.810000,0.0313,1,1,2026-08-24T00:00:00.000
314,202,194,339,314,440.180000,0.0314,1,1,2026-08-24T00:00:00.000
315,182,257,481,315,441.550000,0.0315,1,1,2026-08-24T00:00:00.000
316,119,474,145,316,442.920000,0.0316,1,1,2026-08-24T00:00:00.000
317,65,126,287,317,444.290000,0.0317,1,1,2026-08-24T00:00:00.000
318,374,261,414,318,445.660000,0.0318,1,1,2026-08-24T00:00:00.000
319,421,237,51,319,447.030000,0.0319,1,1,2026-08-24T00:00:00.000
320,169,223,315,320,448.400000,0.0320,1,1,2026-08-24T00:00:00.000
321,30,331,25,321,449.770000,0.0321,1,1,2026-08-24T00:00:00.000
322,312,211,255,322,451.140000,0.0322,1,1,2026-08-24T00:00:00.000
323,288,9,379,323,452.510000,0.0323,1,1,2026-08-24T00:00:00.000
324,41,484,363,324,453.880000,0.0324,1,1,2026-08-24T00:00:00.000
325,390,26,317,325,455.250000,0.0325,1,1,2026-08-24T00:00:00.000
326,157,257,218,326,456.620000,0.0326,1,1,2026-08-24T00:00:00.000
327,86,117,270,327,457.990000,0.0327,1,1,2026-08-24T00:00:00.000
328,369,161,101,328,459.360000,0.0328,1,1,2026-08-24T00:00:00.000
329,187,235,335,329,460.730000,0.0329,1,1,2026-08-24T00:00:00.000
330,60,443,384,330,462.100000,0.0330,1,1,2026-08-24T00:00:00.000
331,353,319,475,331,463.470000,0.0331,1,1,2026-08-24T00:00:00.000
332,11,241,372,332,464.840000,0.0332,1,1,2026-08-24T00:00:00.000
333,267,180,160,333,466.210000,0.0333,1,1,2026-08-24T00:00:00.000
334,191,71,96,334,467.580000,0.0334,1,1,2026-08-24T00:00:00.000
335,433,336,377,335,468.950000,0.0335,1,1,2026-08-24T00:00:00.000
336,196,38,144,336,470.320000,0.0336,1,1,2026-08-24T00:00:00.000
337,484,57,22,337,471.690000,0.0337,1,1,2026-08-24T00:00:00.000
338,369,152,25,338,473.060000,0.0338,1,1,2026-08-24T00:00:00.000
339,34,474,243,339,474.430000,0.0339,1,1,2026-08-24T00:00:00.000
340,319,121,220,340,475.800000,0.0340,1,1,2026-08-24T00:00:00.000
341,392,270,369,341,477.170000,0.0341,1,1,2026-08-24T00:00:00.000
342,241,3,437,342,478.540000,0.0342,1,1,2026-08-24T00:00:00.000
343,396,8,91,343,479.910000,0.0343,1,1,2026-08-24T00:00:00.000
344,246,4,454,344,481.280000,0.0344,1,1,2026-08-24T00:00:00.000
345,328,202,5,345,482.650000,0.0345,1,1,2026-08-24T00:00:00.000
346,144,163,44,346,484.020000,0.0346,1,1,2026-08-24T00:00:00.000
347,434,436,291,347,485.390000,0.0347,1,1,2026-08-24T00:00:00.000
348,219,191,355,348,486.760000,0.0348,1,1,2026-08-24T00:00:00.000
349,364,261,323,349,488.130000,0.0349,1,1,2026-08-24T00:00:00.000
350,455,447,398,350,489.500000,0.0350,1,1,2026-08-24T00:00:00.000
351,443,106,441,351,490.870000,0.0351,1,1,2026-08-24T00:00:00.000
352,143,80,125,352,492.240000,0.0352,1,1,2026-08-24T00:00:00.000
