ProductionWorkOrderEmployeeKey,ProductionWorkOrderKey,EmployeeKey,ProductionCrewRoleKey,SequenceNumber,QuantityValue,AllocationPercent,SourceSystemKey,BatchId,LoadedAtUtc
95,239,286,466,95,140.150000,0.0095,1,1,2026-08-24T00:00:00.000
96,399,106,61,96,141.520000,0.0096,1,1,2026-08-24T00:00:00.000
97,13,426,441,97,142.890000,0.0097,1,1,2026-08-24T00:00:00.000
98,253,6,182,98,144.260000,0.0098,1,1,2026-08-24T00:00:00.000
99,390,224,153,99,145.630000,0.0099,1,1,2026-08-24T00:00:00.000
100,287,359,21,100,147.000000,0.0100,1,1,2026-08-24T00:00:00.000
101,367,497,344,101,148.370000,0.0101,1,1,2026-08-24T00:00:00.000
102,496,318,441,102,149.740000,0.0102,1,1,2026-08-24T00:00:00.000
103,24,22,110,103,151.110000,0.0103,1,1,2026-08-24T00:00:00.000
104,143,245,448,104,152.480000,0.0104,1,1,2026-08-24T00:00:00.000
105,344,323,343,105,153.850000,0.0105,1,1,2026-08-24T00:00:00.000
106,433,436,181,106,155.220000,0.0106,1,1,2026-08-24T00:00:00.000
107,110,268,351,107,156.590000,0.0107,1,1,2026-08-24T00:00:00.000
108,410,399,304,108,157.960000,0.0108,1,1,2026-08-24T00:00:00.000
109,267,327,406,109,159.330000,0.0109,1,1,2026-08-24T00:00:00.000
110,479,79,375,110,160.700000,0.0110,1,1,2026-08-24T00:00:00.000
111,391,332,117,111,162.070000,0.0111,1,1,2026-08-24T00:00:00.000
112,217,126,293,112,163.440000,0.0112,1,1,2026-08-24T00:00:00.000
113,280,208,398,113,164.810000,0.0113,1,1,2026-08-24T00:00:00.000
114,242,263,300,114,166.180000,0.0114,1,1,2026-08-24T00:00:00.000
115,93,84,397,115,167.550000,0.0115,1,1,2026-08-24T00:00:00.000
116,241,221,183,116,168.920000,0.0116,1,1,2026-08-24T00:00:00.000
117,42,226,44,117,170.290000,0.0117,1,1,2026-08-24T00:00:00.000
118,359,139,83,118,171.660000,0.0118,1,1,2026-08-24T00:00:00.000
119,163,373,290,119,173.030000,0.0119,1,1,2026-08-24T00:00:00.000
120,337,28,239,120,174.400000,0.0120,1,1,2026-08-24T00:00:00.000
121,64,14,408,121,175.770000,0.0121,1,1,2026-08-24T00:00:00.000
122,157,196,330,122,177.140000,0.0122,1,1,2026-08-24T00:00:00.000
123,230,495,146,123,178.510000,0.0123,1,1,2026-08-24T00:00:00.000
124,383,24,384,124,179.880000,0.0124,1,1,2026-08-24T00:00:00.000
125,306,282,361,125,181.250000,0.0125,1,1,2026-08-24T00:00:00.000
126,203,478,338,126,182.620000,0.0126,1,1,2026-08-24T00:00:00.000
127,476,298,453,127,183.990000,0.0127,1,1,2026-08-24T00:00:00.000
128,197,328,252,128,185.360000,0.0128,1,1,2026-08-24T00:00:00.000
129,422,129,221,129,186.730000,0.0129,1,1,2026-08-24T00:00:00.000
130,387,163,114,130,188.100000,0.0130,1,1,2026-08-24T00:00:00.000
131,240,55,141,131,189.470000,0.0131,1,1,2026-08-24T00:00:00.000
132,319,415,207,132,190.840000,0.0132,1,1,2026-08-24T00:00:00.000
133,65,165,76,133,192.210000,0.0133,1,1,2026-08-24T00:00:00.000
134,484,401,17,134,193.580000,0.0134,1,1,2026-08-24T00:00:00.000
135,310,149,58,135,194.950000,0.0135,1,1,2026-08-24T00:00:00.000
136,118,429,445,136,196.320000,0.0136,1,1,2026-08-24T00:00:00.000
137,208,227,299,137,197.690000,0.0137,1,1,2026-08-24T00:00:00.000
138,221,362,313,138,199.060000,0.0138,1,1,2026-08-24T00:00:00.000
139,365,469,78,139,200.430000,0.0139,1,1,2026-08-24T00:00:00.000
140,448,419,378,140,201.800000,0.0140,1,1,2026-08-24T00:00:00.000
141,328,406,467,141,203.170000,0.0141,1,1,2026-08-24T00:00:00.000
142,47,323,92,142,204.540000,0.0142,1,1,2026-08-24T00:00:00.000
143,19,341,419,143,205.910000,0.0143,1,1,2026-08-24T00:00:00.000
144,343,44,448,144,207.280000,0.0144,1,1,2026-08-24T00:00:00.000
145,66,236,386,145,208.650000,0.0145,1,1,2026-08-24T00:00:00.000
146,236,387,13,146,210.020000,0.0146,1,1,2026-08-24T00:00:00.000
147,62,265,90,147,211.390000,0.0147,1,1,2026-08-24T00:00:00.000
148,46,437,486,148,212.760000,0.0148,1,1,2026-08-24T00:00:00.000
149,306,160,447,149,214.130000,0.0149,1,1,2026-08-24T00:00:00.000
150,48,295,212,150,215.500000,0.0150,1,1,2026-08-24T00:00:00.000
151,327,34,467,151,216.870000,0.0151,1,1,2026-08-24T00:00:00.000
152,424,476,263,152,218.240000,0.0152,1,1,2026-08-24T00:00:00.000
153,349,416,9,153,219.610000,0.0153,1,1,2026-08-24T00:00:00.000
154,179,227,356,154,220.980000,0.0154,1,1,2026-08-24T00:00:00.000
155,234,325,441,155,222.350000,0.0155,1,1,2026-08-24T00:00:00.000
156,160,337,59,156,223.720000,0.0156,1,1,2026-08-24T00:00:00.000
157,27,203,106,157,225.090000,0.0157,1,1,2026-08-24T00:00:00.000
158,447,248,102,158,226.460000,0.0158,1,1,2026-08-24T00:00:00.000
159,91,285,86,159,227.830000,0.0159,1,1,2026-08-24T00:00:00.000
160,348,41,110,160,229.200000,0.0160,1,1,2026-08-24T00:00:00.000
161,408,432,318,161,230.570000,0.0161,1,1,2026-08-24T00:00:00.000
162,39,84,133,162,231.940000,0.0162,1,1,2026-08-24T00:00:00.000
163,34,434,358,163,233.310000,0.0163,1,1,2026-08-24T00:00:00.000
164,481,181,417,164,234.680000,0.0164,1,1,2026-08-24T00:00:00.000
165,40,256,144,165,236.050000,0.0165,1,1,2026-08-24T00:00:00.000
166,416,478,145,166,237.420000,0.0166,1,1,2026-08-24T00:00:00.000
167,424,65,420,167,238.790000,0.0167,1,1,2026-08-24T00:00:00.000
168,52,354,335,168,240.160000,0.0168,1,1,2026-08-24T00:00:00.000
169,7,61,246,169,241.530000,0.0169,1,1,2026-08-24T00:00:00.000
170,399,22,367,170,242.900000,0.0170,1,1,2026-08-24T00:00:00.000
171,343,330,413,171,244.270000,0.0171,1,1,2026-08-24T00:00:00.000
172,390,392,449,172,245.640000,0.0172,1,1,2026-08-24T00:00:00.000
173,366,327,133,173,247.010000,0.0173,1,1,2026-08-24T00:00:00.000
174,124,386,187,174,248.380000,0.0174,1,1,2026-08-24T00:00:00.000
175,469,355,392,175,249.750000,0.0175,1,1,2026-08-24T00:00:00.000
176,23,380,316,176,251.120000,0.0176,1,1,2026-08-24T00:00:00.000
177,61,322,61,177,252.490000,0.0177,1,1,2026-08-24T00:00:00.000
178,217,368,97,178,253.860000,0.0178,1,1,2026-08-24T00:00:00.000
179,169,343,176,179,255.230000,0.0179,1,1,2026-08-24T00:00:00.000
180,28,89,496,180,256.600000,0.0180,1,1,2026-08-24T00:00:00.000
181,136,242,122,181,257.970000,0.0181,1,1,2026-08-24T00:00:00.000
182,464,187,399,182,259.340000,0.0182,1,1,2026-08-24T00:00:00.000
183,394,383,186,183,260.710000,0.0183,1,1,2026-08-24T00:00:00.000
184,176,352,153,184,262.080000,0.0184,1,1,2026-08-24T00:00:00.000
185,312,17,436,185,263.450000,0.0185,1,1,2026-08-24T00:00:00.000
186,54,352,88,186,264.820000,0.0186,1,1,2026-08-24T00:00:00.000
187,495,174,500,187,266.190000,0.0187,1,1,2026-08-24T00:00:00.000
188,319,149,87,188,267.560000,0.0188,1,1,2026-08-24T00:00:00.000
189,416,196,153,189,268.930000,0.0189,1,1,2026-08-24T00:00:00.000
190,494,176,306,190,270.300000,0.0190,1,1,2026-08-24T00:00:00.000
191,291,87,49,191,271.670000,0.0191,1,1,2026-08-24T00:00:00.000
192,331,35,118,192,273.040000,0.0192,1,1,2026-08-24T00:00:00.000
193,283,434,200,193,274.410000,0.0193,1,1,2026-08-24T00:00:00.000
194,324,4,328,194,275.780000,0.0194,1,1,2026-08-24T00:00:00.000
195,103,198,112,195,277.150000,0.0195,1,1,2026-08-24T00:00:00.000
196,308,18,1,196,278.520000,0.0196,1,1,2026-08-24T00:00:00.000
197,171,394,491,197,279.890000,0.0197,1,1,2026-08-24T00:00:00.000
198,362,375,59,198,281.260000,0.0198,1,1,2026-08-24T00:00:00.000
199,37,297,160,199,282.630000,0.0199,1,1,2026-08-24T00:00:00.000
200,343,191,404,200,284.000000,0.0200,1,1,2026-08-24T00:00:00.000
201,388,91,226,201,285.370000,0.0201,1,1,2026-08-24T00:00:00.000
202,198,191,278,202,286.740000,0.0202,1,1,2026-08-24T00:00:00.000
203,59,95,52,203,288.110000,0.0203,1,1,2026-08-24T00:00:00.000
204,273,264,324,204,289.480000,0.0204,1,1,2026-08-24T00:00:00.000
205,389,317,464,205,290.850000,0.0205,1,1,2026-08-24T00:00:00.000
206,177,72,128,206,292.220000,0.0206,1,1,2026-08-24T00:00:00.000
207,327,366,185,207,293.590000,0.0207,1,1,2026-08-24T00:00:00.000
208,104,55,314,208,294.960000,0.0208,1,1,2026-08-24T00:00:00.000
209,68,353,237,209,296.330000,0.0209,1,1,2026-08-24T00:00:00.000
210,337,357,132,210,297.700000,0.0210,1,1,2026-08-24T00:00:00.000
211,280,44,49,211,299.070000,0.0211,1,1,2026-08-24T00:00:00.000
212,269,182,126,212,300.440000,0.0212,1,1,2026-08-24T00:00:00.000
213,53,42,255,213,301.810000,0.0213,1,1,2026-08-24T00:00:00.000
214,491,347,262,214,303.180000,0.0214,1,1,2026-08-24T00:00:00.000
215,233,192,317,215,304.550000,0.0215,1,1,2026-08-24T00:00:00.000
216,380,34,309,216,305.920000,0.0216,1,1,2026-08-24T00:00:00.000
217,406,340,199,217,307.290000,0.0217,1,1,2026-08-24T00:00:00.000
218,316,394,327,218,308.660000,0.0218,1,1,2026-08-24T00:00:00.000
219,215,222,129,219,310.030000,0.0219,1,1,2026-08-24T00:00:00.000
220,189,85,90,220,311.400000,0.0220,1,1,2026-08-24T00:00:00.000
221,155,309,391,221,312.770000,0.0221,1,1,2026-08-24T00:00:00.000
222,207,385,146,222,314.140000,0.0222,1,1,2026-08-24T00:00:00.000
223,99,143,479,223,315.510000,0.0223,1,1,2026-08-24T00:00:00.000
224,91,343,329,224,316.880000,0.0224,1,1,2026-08-24T00:00:00.000
225,474,162,190,225,318.250000,0.0225,1,1,2026-08-24T00:00:00.000
226,143,151,27,226,319.620000,0.0226,1,1,2026-08-24T00:00:00.000
227,181,218,479,227,320.990000,0.0227,1,1,2026-08-24T00:00:00.000
228,396,475,378,228,322.360000,0.0228,1,1,2026-08-24T00:00:00.000
229,479,280,194,229,323.730000,0.0229,1,1,2026-08-24T00:00:00.000
230,282,131,422,230,325.100000,0.0230,1,1,2026-08-24T00:00:00.000
231,425,75,164,231,326.470000,0.0231,1,1,2026-08-24T00:00:00.000
232,470,144,294,232,327.840000,0.0232,1,1,2026-08-24T00:00:00.000
233,286,400,120,233,329.210000,0.0233,1,1,2026-08-24T00:00:00.000
234,354,268,199,234,330.580000,0.0234,1,1,2026-08-24T00:00:00.000
235,486,218,448,235,331.950000,0.0235,1,1,2026-08-24T00:00:00.000
236,278,328,345,236,333.320000,0.0236,1,1,2026-08-24T00:00:00.000
237,117,154,414,237,334.690000,0.0237,1,1,2026-08-24T00:00:00.000
238,243,492,235,238,336.060000,0.0238,1,1,2026-08-24T00:00:00.000
239,288,171,57,239,337.430000,0.0239,1,1,2026-08-24T00:00:00.000
240,429,396,487,240,338.800000,0.0240,1,1,2026-08-24T00:00:00.000
241,57,328,216,241,340.170000,0.0241,1,1,2026-08-24T00:00:00.000
242,367,218,405,242,341.540000,0.0242,1,1,2026-08-24T00:00:00.000
243,241,195,48,243,342.910000,0.0243,1,1,2026-08-24T00:00:00.000
244,274,60,224,244,344.280000,0.0244,1,1,2026-08-24T00:00:00.000
245,368,388,134,245,345.650000,0.0245,1,1,2026-08-24T00:00:00.000
246,434,482,491,246,347.020000,0.0246,1,1,2026-08-24T00:00:00.000
247,341,262,296,247,348.390000,0.0247,1,1,2026-08-24T00:00:00.000
248,485,421,142,248,349.760000,0.0248,1,1,2026-08-24T00:00:00.000
249,32,13,358,249,351.130000,0.0249,1,1,2026-08-24T00:00:00.000
250,411,442,374,250,352.500000,0.0250,1,1,2026-08-24T00:00:00.000
251,296,416,384,251,353.870000,0.0251,1,1,2026-08-24T00:00:00.000
252,171,393,493,252,355.240000,0.0252,1,1,2026-08-24T00:00:00.000
253,223,299,233,253,356.610000,0.0253,1,1,2026-08-24T00:00:00.000
254,165,229,285,254,357.980000,0.0254,1,1,2026-08-24T00:00:00.000
255,103,363,142,255,359.350000,0.0255,1,1,2026-08-24T00:00:00.000
256,84,471,198,256,360.720000,0.0256,1,1,2026-08-24T00:00:00.000
257,499,96,283,257,362.090000,0.0257,1,1,2026-08-24T00:00:00.000
258,424,245,492,258,363.460000,0.0258,1,1,2026-08-24T00:00:00.000
259,366,451,440,259,364.830000,0.0259,1,1,2026-08-24T00:00:00.000
260,396,166,244,260,366.200000,0.0260,1,1,2026-08-24T00:00:00.000
261,90,247,180,261,367.570000,0.0261,1,1,2026-08-24T00:00:00.000
262,85,449,304,262,368.940000,0.0262,1,1,2026-08-24T00:00:00.000
263,83,130,332,263,370.310000,0.0263,1,1,2026-08-24T00:00:00.000
264,391,5,194,264,371.680000,0.0264,1,1,2026-08-24T00:00:00.000
265,67,414,284,265,373.050000,0.0265,1,1,2026-08-24T00:00:00.000
266,18,285,401,266,374.420000,0.0266,1,1,2026-08-24T00:00:00.000
267,241,495,379,267,375.790000,0.0267,1,1,2026-08-24T00:00:00.000
268,4,293,267,268,377.160000,0.0268,1,1,2026-08-24T00:00:00.000
269,11,241,97,269,378.530000,0.0269,1,1,2026-08-24T00:00:00.000
270,163,166,141,270,379.900000,0.0270,1,1,2026-08-24T00:00:00.000
271,334,22,473,271,381.270000,0.0271,1,1,2026-08-24T00:00:00.000
272,59,335,284,272,382.640000,0.0272,1,1,2026-08-24T00:00:00.000
273,177,333,242,273,384.010000,0.0273,1,1,2026-08-24T00:00:00.000
274,219,127,143,274,385.380000,0.0274,1,1,2026-08-24T00:00:00.000
275,192,357,491,275,386.750000,0.0275,1,1,2026-08-24T00:00:00.000
276,249,433,419,276,388.120000,0.0276,1,1,2026-08-24T00:00:00.000
277,446,102,499,277,389.490000,0.0277,1,1,2026-08-24T00:00:00.000
278,271,164,170,278,390.860000,0.0278,1,1,2026-08-24T00:00:00.000
279,31,446,134,279,392.230000,0.0279,1,1,2026-08-24T00:00:00.000
280,169,424,70,280,393.600000,0.0280,1,1,2026-08-24T00:00:00.000
281,279,122,111,281,394.970000,0.0281,1,1,2026-08-24T00:00:00.000
282,423,237,344,282,396.340000,0.0282,1,1,2026-08-24T00:00:00.000
283,298,319,435,283,397.710000,0.0283,1,1,2026-08-24T00:00:00.000
284,454,36,468,284,399.080000,0.0284,1,1,2026-08-24T00:00:00.000
285,282,2,60,285,400.450000,0.0285,1,1,2026-08-24T00:00:00.000
286,255,112,466,286,401.820000,0.0286,1,1,2026-08-24T00:00:00.000
287,162,366,384,287,403.190000,0.0287,1,1,2026-08-24T00:00:00.000
288,118,292,27,288,404.560000,0.0288,1,1,2026-08-24T00:00:00.000
289,423,77,216,289,405.930000,0.0289,1,1,2026-08-24T00:00:00.000
290,129,175,173,290,407.300000,0.0290,1,1,2026-08-24T00:00:00.000
291,294,400,103,291,408.670000,0.0291,1,1,2026-08-24T00:00:00.000
292,281,69,415,292,410.040000,0.0292,1,1,2026-08-24T00:00:00.000
293,292,426,352,293,411.410000,0.0293,1,1,2026-08-24T00:00:00.000
294,190,27,440,294,412.780000,0.0294,1,1,2026-08-24T00:00:00.000
295,23,417,136,295,414.150000,0.0295,1,1,2026-08-24T00:00:00.000
296,277,59,126,296,415.520000,0.0296,1,1,2026-08-24T00:00:00.000
297,449,382,216,297,416.890000,0.0297,1,1,2026-08-24T00:00:00.000
298,97,113,450,298,418.260000,0.0298,1,1,2026-08-24T00:00:00.000
299,371,48,278,299,419.630000,0.0299,1,1,2026-08-24T00:00:00.000
300,305,69,176,300,421.000000,0.0300,1,1,2026-08-24T00:00:00.000
301,341,370,343,301,422.370000,0.0301,1,1,2026-08-24T00:00:00.000
302,431,38,345,302,423.740000,0.0302,1,1,2026-08-24T00:00:00.000
303,349,312,4,303,425.110000,0.0303,1,1,2026-08-24T00:00:00.000
304,459,195,164,304,426.480000,0.0304,1,1,2026-08-24T00:00:00.000
305,163,109,208,305,427.850000,0.0305,1,1,2026-08-24T00:00:00.000
306,243,145,487,306,429.220000,0.0306,1,1,2026-08-24T00:00:00.000
307,388,255,142,307,430.590000,0.0307,1,1,2026-08-24T00:00:00.000
308,324,271,304,308,431.960000,0.0308,1,1,2026-08-24T00:00:00.000
309,353,237,105,309,433.330000,0.0309,1,1,2026-08-24T00:00:00.000
310,200,52,456,310,434.700000,0.0310,1,1,2026-08-24T00:00:00.000
311,417,437,97,311,436.070000,0.0311,1,1,2026-08-24T00:00:00.000
312,239,336,386,312,437.440000,0.0312,1,1,2026-08-24T00:00:00.000
313,223,207,45,313,438.810000,0.0313,1,1,2026-08-24T00:00:00.000
314,307,109,45,314,440.180000,0.0314,1,1,2026-08-24T00:00:00.000
315,293,293,436,315,441.550000,0.0315,1,1,2026-08-24T00:00:00.000
316,102,329,164,316,442.920000,0.0316,1,1,2026-08-24T00:00:00.000
317,298,173,150,317,444.290000,0.0317,1,1,2026-08-24T00:00:00.000
318,187,174,422,318,445.660000,0.0318,1,1,2026-08-24T00:00:00.000
319,419,102,376,319,447.030000,0.0319,1,1,2026-08-24T00:00:00.000
320,291,358,432,320,448.400000,0.0320,1,1,2026-08-24T00:00:00.000
321,130,268,382,321,449.770000,0.0321,1,1,2026-08-24T00:00:00.000
322,90,218,220,322,451.140000,0.0322,1,1,2026-08-24T00:00:00.000
323,438,8,482,323,452.510000,0.0323,1,1,2026-08-24T00:00:00.000
324,7,187,91,324,453.880000,0.0324,1,1,2026-08-24T00:00:00.000
325,435,230,315,325,455.250000,0.0325,1,1,2026-08-24T00:00:00.000
326,441,427,224,326,456.620000,0.0326,1,1,2026-08-24T00:00:00.000
327,67,428,252,327,457.990000,0.0327,1,1,2026-08-24T00:00:00.000
328,246,105,323,328,459.360000,0.0328,1,1,2026-08-24T00:00:00.000
329,218,111,181,329,460.730000,0.0329,1,1,2026-08-24T00:00:00.000
330,206,78,273,330,462.100000,0.0330,1,1,2026-08-24T00:00:00.000
331,268,158,165,331,463.470000,0.0331,1,1,2026-08-24T00:00:00.000
332,483,416,331,332,464.840000,0.0332,1,1,2026-08-24T00:00:00.000
333,288,203,331,333,466.210000,0.0333,1,1,2026-08-24T00:00:00.000
334,283,274,487,334,467.580000,0.0334,1,1,2026-08-24T00:00:00.000
335,178,45,10,335,468.950000,0.0335,1,1,2026-08-24T00:00:00.000
336,73,224,158,336,470.320000,0.0336,1,1,2026-08-24T00:00:00.000
337,77,389,460,337,471.690000,0.0337,1,1,2026-08-24T00:00:00.000
338,408,462,431,338,473.060000,0.0338,1,1,2026-08-24T00:00:00.000
339,108,6,395,339,474.430000,0.0339,1,1,2026-08-24T00:00:00.000
340,350,488,429,340,475.800000,0.0340,1,1,2026-08-24T00:00:00.000
341,400,267,201,341,477.170000,0.0341,1,1,2026-08-24T00:00:00.000
342,298,75,280,342,478.540000,0.0342,1,1,2026-08-24T00:00:00.000
343,480,97,217,343,479.910000,0.0343,1,1,2026-08-24T00:00:00.000
344,399,331,113,344,481.280000,0.0344,1,1,2026-08-24T00:00:00.000
345,377,154,282,345,482.650000,0.0345,1,1,2026-08-24T00:00:00.000
346,166,102,44,346,484.020000,0.0346,1,1,2026-08-24T00:00:00.000
347,347,210,157,347,485.390000,0.0347,1,1,2026-08-24T00:00:00.000
348,302,170,31,348,486.760000,0.0348,1,1,2026-08-24T00:00:00.000
349,417,372,84,349,488.130000,0.0349,1,1,2026-08-24T00:00:00.000
350,271,207,345,350,489.500000,0.0350,1,1,2026-08-24T00:00:00.000
351,393,125,291,351,490.870000,0.0351,1,1,2026-08-24T00:00:00.000
352,388,94,282,352,492.240000,0.0352,1,1,2026-08-24T00:00:00.000
