LogisticsShipmentExecutionKey,ShipDateKey,PlannedDeliveryDateKey,ActualDeliveryDateKey,ShipTimeOfDayKey,ActualDeliveryTimeOfDayKey,LogisticsShipmentHeaderKey,LogisticsShipmentLineKey,LogisticsCarrierServiceOptionKey,LogisticsLaneSegmentKey,ProductKey,CustomerKey,LogisticsShipmentStatusKey,LogisticsServiceLevelKey,UnitOfMeasureKey,CurrencyKey,ShippedQuantity,ShippedWeightKg,FreightAmount,SourceSystemKey,BatchId,LoadedAtUtc
13,20260607,20260729,20260625,67140,45960,415,441,207,87,70,36,1,18,4,5,9.2000,14.0000,27.8100,1,1,2026-08-24T00:00:00.000
14,20260712,20260722,20260528,55800,33960,376,193,430,291,77,463,6,14,4,2,9.9000,15.0000,29.1800,1,1,2026-08-24T00:00:00.000
15,20260719,20260629,20260603,7440,34200,453,361,377,307,262,21,10,1,7,2,10.6000,16.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260702,20260630,20260622,70200,5280,478,152,299,497,385,289,7,19,4,3,11.3000,17.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260728,20260824,20260705,2760,53160,151,31,405,145,435,-1,4,3,2,3,12.0000,18.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260815,20260614,20260726,65520,36540,48,226,301,37,67,216,9,15,2,3,12.7000,19.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260715,20260623,20260725,31560,14400,183,131,363,3,469,113,8,8,7,5,13.4000,20.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260724,20260730,20260612,66600,35220,372,276,17,401,79,142,8,11,1,3,14.1000,21.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260707,20260614,20260628,3240,63720,68,303,331,411,22,496,3,3,3,5,14.8000,22.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260813,20260809,20260608,49560,44640,352,293,393,447,445,335,6,4,6,2,15.5000,23.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260529,20260724,20260712,44340,12900,347,387,81,398,422,35,14,1,3,4,16.2000,24.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260715,20260714,20260727,38100,58320,290,14,424,350,423,75,14,11,6,3,16.9000,25.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260614,20260803,20260621,65640,81480,157,48,194,54,180,266,6,15,5,2,17.6000,26.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260605,20260606,20260702,38760,24060,116,278,275,475,420,238,8,18,7,5,18.3000,27.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260822,20260711,20260614,56640,57480,83,204,179,230,374,333,1,14,1,4,19.0000,28.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260726,20260724,20260722,29280,12000,446,48,175,304,44,246,5,13,6,3,19.7000,29.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260605,20260628,20260625,8040,14640,379,438,204,81,33,24,1,17,4,1,20.4000,30.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260606,20260609,20260713,73920,11940,343,196,470,486,148,345,10,4,3,2,21.1000,31.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260601,20260717,20260701,30000,83700,320,446,20,408,388,431,12,6,4,2,21.8000,32.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260720,20260620,20260701,29760,84120,144,425,372,271,235,152,7,7,1,3,22.5000,33.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260628,20260531,20260621,43980,21120,479,165,495,38,215,213,10,6,3,1,23.2000,34.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260618,20260607,20260705,41160,13500,75,34,200,35,2,-1,3,8,2,1,23.9000,35.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260815,20260610,20260622,2880,49680,267,278,55,384,244,238,8,16,6,5,24.6000,36.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260820,20260628,20260530,10380,79380,330,57,415,144,320,453,5,8,1,3,25.3000,37.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260618,20260628,20260809,25020,17220,294,217,60,234,21,174,14,18,5,2,26.0000,38.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260630,20260714,20260719,27060,12360,400,416,434,316,216,381,6,6,6,2,26.7000,39.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260815,20260703,20260602,78660,69600,287,422,422,101,196,268,7,17,7,1,27.4000,40.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260708,20260625,20260820,240,56400,211,207,480,36,100,66,4,18,4,5,28.1000,41.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260705,20260802,20260623,48000,37500,124,130,409,226,88,137,14,19,4,3,28.8000,42.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260706,20260615,20260801,10200,56040,71,444,357,415,74,449,11,20,4,1,29.5000,43.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260624,20260606,20260731,4260,57240,302,495,148,109,107,28,12,13,6,2,30.2000,44.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260611,20260716,20260714,85080,1200,8,154,19,488,318,86,6,19,5,3,30.9000,45.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260806,20260818,20260812,53100,14700,97,272,345,458,313,336,7,18,7,1,31.6000,46.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260729,20260708,20260805,70920,24360,246,274,157,176,259,407,2,12,5,5,32.3000,47.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260812,20260725,20260617,42120,49080,363,146,227,379,458,23,6,17,3,2,33.0000,48.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260621,20260612,20260607,21720,63720,107,218,5,154,32,14,10,18,2,4,33.7000,49.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260812,20260716,20260527,22140,43200,481,220,489,88,439,61,4,20,1,4,34.4000,50.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260706,20260716,20260612,33120,84600,222,257,364,108,73,72,1,13,1,4,35.1000,51.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260607,20260813,20260716,70920,12480,55,34,480,302,59,-1,5,6,6,2,35.8000,52.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260815,20260603,20260622,5580,12060,99,179,300,205,104,461,12,3,3,5,36.5000,53.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260607,20260612,20260718,81420,28560,332,449,12,398,6,298,14,4,2,1,37.2000,54.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260622,20260727,20260724,540,29040,343,343,121,95,238,163,8,3,4,5,37.9000,55.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260621,20260617,20260725,39060,39180,100,142,118,386,360,66,11,13,6,4,38.6000,56.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260610,20260726,20260822,56460,43740,303,326,268,362,114,288,1,13,5,2,39.3000,57.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260725,20260728,20260716,59160,51720,277,14,211,324,23,145,8,16,7,1,40.0000,58.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260804,20260614,20260709,26280,65280,26,489,365,44,173,421,6,14,5,3,40.7000,59.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260818,20260802,20260724,82800,24300,49,96,84,419,209,439,1,6,6,4,41.4000,60.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260713,20260710,20260809,73140,74100,37,15,199,344,15,270,14,20,6,4,42.1000,61.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260731,20260708,20260814,58200,40140,20,397,287,234,426,255,11,13,5,2,42.8000,62.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260814,20260619,20260716,71940,34980,93,284,137,431,196,91,12,9,2,3,43.5000,63.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260819,20260528,20260616,32160,75300,481,8,25,415,156,386,1,7,6,2,44.2000,64.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260707,20260806,20260724,81660,8700,265,196,277,2,470,58,10,13,5,2,44.9000,65.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260529,20260626,20260705,64260,27660,24,149,119,263,203,411,8,20,1,3,45.6000,66.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260804,20260803,20260801,40080,65940,467,251,481,457,135,350,5,10,3,4,46.3000,67.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260725,20260704,20260704,69480,17100,341,196,101,290,160,442,6,1,6,2,47.0000,68.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260818,20260602,20260531,1320,57840,50,128,229,105,434,-1,1,16,6,5,47.7000,69.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260603,20260616,20260605,48840,81480,436,264,348,486,5,88,7,8,4,1,48.4000,70.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260624,20260625,20260627,84480,39600,389,478,86,50,90,198,11,6,7,2,49.1000,71.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260704,20260806,20260802,60600,36420,11,39,67,425,211,224,4,11,4,5,49.8000,72.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260616,20260601,20260706,10980,81660,489,18,174,255,196,44,9,20,4,2,50.5000,73.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260716,20260724,20260728,44820,52500,241,97,475,336,98,332,7,9,6,2,51.2000,74.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260806,20260620,20260822,11820,61020,450,207,473,230,489,202,7,17,3,4,51.9000,75.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260629,20260605,20260723,16440,43800,160,495,62,378,120,323,1,2,2,3,52.6000,76.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260617,20260603,20260723,38640,2580,49,317,109,21,379,291,1,13,2,4,53.3000,77.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260805,20260805,20260710,84000,60240,496,450,438,48,339,216,9,1,2,5,54.0000,78.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260709,20260527,20260801,31200,2280,173,335,344,264,232,120,9,15,1,4,54.7000,79.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260820,20260817,20260801,15960,22500,329,1,446,436,403,275,11,5,7,1,55.4000,80.0000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260607,20260727,20260617,46920,37680,173,496,322,147,74,296,2,2,7,2,56.1000,81.0000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260713,20260612,20260802,7800,33480,430,369,488,482,62,177,6,16,5,4,56.8000,82.0000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260817,20260808,20260614,6600,12480,466,442,480,318,267,343,9,13,5,4,57.5000,83.0000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260702,20260727,20260722,62820,86100,227,94,129,366,387,363,11,16,2,1,58.2000,84.0000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260623,20260817,20260622,18960,72120,341,56,171,400,176,104,8,16,1,2,58.9000,85.0000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260822,20260707,20260609,30840,17460,197,371,312,166,46,-1,13,18,3,1,59.6000,86.0000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260603,20260529,20260624,36660,43740,323,43,145,357,52,45,14,15,6,4,60.3000,87.0000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260617,20260810,20260823,39840,61860,394,56,305,266,126,386,10,7,5,1,61.0000,88.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260819,20260610,20260611,72720,43440,379,86,327,382,482,76,14,8,7,2,61.7000,89.0000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260707,20260614,20260608,15900,77940,129,12,478,171,228,11,1,11,4,4,62.4000,90.0000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260812,20260725,20260813,58620,62880,429,302,434,90,458,458,2,1,7,1,63.1000,91.0000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260711,20260704,20260628,72540,24480,407,112,3,204,173,64,3,7,3,3,63.8000,92.0000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260604,20260710,20260722,45420,50760,305,182,375,196,407,323,2,4,5,5,64.5000,93.0000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260619,20260721,20260611,58440,57780,255,422,333,284,335,357,6,1,1,1,65.2000,94.0000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260606,20260824,20260614,38940,19380,127,216,22,480,246,119,1,8,2,4,65.9000,95.0000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260606,20260603,20260615,77040,77640,230,457,490,432,324,496,8,2,4,4,66.6000,96.0000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260824,20260822,20260621,43320,77640,70,88,217,126,246,15,11,3,4,4,67.3000,97.0000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260803,20260720,20260712,27720,73080,99,90,86,92,64,422,12,14,4,2,68.0000,98.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260604,20260615,20260709,24300,43380,204,94,188,140,143,486,9,11,1,1,68.7000,99.0000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260710,20260805,20260622,60300,20460,292,148,104,155,149,242,7,10,2,2,69.4000,100.0000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260614,20260822,20260626,80400,68940,189,355,182,348,11,286,12,2,1,5,70.1000,101.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260807,20260612,20260719,48660,8280,244,202,354,305,283,304,3,2,5,1,70.8000,102.0000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260609,20260531,20260628,77220,29220,77,145,298,348,37,-1,6,19,6,4,71.5000,103.0000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260730,20260804,20260808,27720,42720,444,490,160,432,93,162,9,1,3,5,72.2000,104.0000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260528,20260618,20260725,70980,64500,373,181,281,465,58,85,13,3,1,1,72.9000,105.0000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260718,20260801,20260617,85260,58560,60,91,422,382,91,463,11,19,5,2,73.6000,106.0000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260626,20260617,20260707,1740,57780,48,110,378,421,495,449,11,10,2,4,74.3000,107.0000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260613,20260608,20260612,33720,78060,242,327,300,209,138,399,6,5,7,5,75.0000,108.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260724,20260530,20260616,16440,28080,359,285,23,34,40,312,4,15,2,1,75.7000,109.0000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260628,20260608,20260606,11640,29640,64,378,231,71,335,386,3,6,6,1,76.4000,110.0000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260626,20260601,20260614,11100,18780,50,163,478,159,91,16,11,16,5,3,77.1000,111.0000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260704,20260621,20260628,36720,10500,320,56,281,329,383,314,13,3,6,1,77.8000,112.0000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260616,20260620,20260606,39660,69000,198,402,451,67,436,299,13,1,7,2,78.5000,113.0000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260629,20260705,20260615,2520,32760,451,451,274,171,46,356,4,6,3,3,79.2000,114.0000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260701,20260605,20260820,42720,35520,121,89,410,215,15,119,4,19,5,5,79.9000,115.0000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260727,20260729,20260803,7980,84600,357,355,64,317,81,39,1,15,6,1,80.6000,116.0000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260615,20260720,20260713,6300,75000,32,425,2,422,357,369,5,11,3,3,81.3000,117.0000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260812,20260620,20260708,54180,68220,202,51,13,470,353,315,7,17,3,2,82.0000,118.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260805,20260607,20260623,36300,67020,114,52,61,64,361,194,12,2,3,1,82.7000,119.0000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260804,20260812,20260812,44520,51780,381,479,169,11,467,-1,11,20,3,3,83.4000,120.0000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260710,20260531,20260801,61440,83880,378,320,352,142,255,204,6,5,4,3,84.1000,121.0000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260626,20260705,20260725,81960,83160,241,12,484,140,329,165,13,17,7,4,84.8000,122.0000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260704,20260615,20260602,76980,56160,448,162,375,314,450,273,13,11,2,1,85.5000,123.0000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260605,20260619,20260615,23460,15960,352,160,476,24,118,62,4,15,5,2,86.2000,124.0000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260809,20260715,20260722,52140,27720,191,133,324,179,445,308,11,9,5,2,86.9000,125.0000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260726,20260812,20260722,81300,27420,301,11,83,127,193,353,3,20,1,2,87.6000,126.0000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260727,20260530,20260622,68940,55080,461,10,10,205,155,16,14,18,2,4,88.3000,127.0000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260716,20260803,20260809,67080,30960,155,267,255,92,36,414,14,4,3,3,89.0000,128.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260603,20260814,20260709,28860,39180,194,212,368,383,243,274,3,12,2,1,89.7000,129.0000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260801,20260527,20260805,38040,23400,46,74,179,125,98,101,8,17,7,3,90.4000,130.0000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260605,20260802,20260812,2040,35520,37,249,297,396,345,11,4,3,7,1,91.1000,131.0000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260817,20260630,20260527,24840,81900,263,282,429,448,430,254,5,9,6,4,91.8000,132.0000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260812,20260705,20260806,11220,720,112,497,75,287,97,146,10,7,2,2,92.5000,133.0000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260606,20260809,20260602,9300,46620,270,201,305,192,244,181,11,15,5,4,93.2000,134.0000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260611,20260717,20260820,56940,30060,291,463,297,82,65,172,7,4,1,2,93.9000,135.0000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260716,20260728,20260603,27960,78540,310,75,199,377,264,415,3,18,5,2,94.6000,136.0000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260607,20260726,20260819,3180,5280,75,351,452,111,267,-1,2,18,1,5,95.3000,137.0000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260708,20260620,20260814,14460,76440,461,465,361,287,438,481,14,14,6,5,96.0000,138.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260622,20260617,20260721,31500,74640,444,486,3,186,92,345,8,16,1,4,96.7000,139.0000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260625,20260806,20260817,23040,6240,318,37,91,453,178,349,5,17,6,1,97.4000,140.0000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260725,20260617,20260721,63300,54960,374,3,235,317,321,191,8,1,7,4,98.1000,141.0000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260727,20260620,20260718,86160,62040,255,411,275,349,443,103,7,19,7,4,98.8000,142.0000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260621,20260605,20260818,66780,54480,489,473,293,272,367,222,1,10,1,4,99.5000,143.0000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260616,20260810,20260628,10860,74040,434,60,352,341,248,67,3,14,4,5,100.2000,144.0000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260812,20260623,20260822,65640,7440,73,220,41,282,158,494,8,17,7,1,100.9000,145.0000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260818,20260603,20260714,64200,82860,11,286,334,192,119,73,13,10,1,2,101.6000,146.0000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260617,20260815,20260814,10680,36900,384,136,379,235,133,19,8,8,1,5,102.3000,147.0000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260802,20260823,20260619,32040,35280,363,372,112,347,404,85,6,12,7,3,103.0000,148.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260803,20260805,20260815,67500,53340,57,108,322,116,306,48,7,6,7,2,103.7000,149.0000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260615,20260611,20260804,18120,57900,438,128,196,258,355,128,13,10,1,1,104.4000,150.0000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260605,20260602,20260713,81420,80940,466,426,90,86,372,499,7,5,1,5,105.1000,151.0000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260527,20260702,20260605,49500,3780,271,264,492,312,356,177,2,19,1,2,105.8000,152.0000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260816,20260718,20260729,39000,38340,354,176,179,500,36,461,3,7,3,4,106.5000,153.0000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260604,20260602,20260608,17220,39720,443,3,468,135,495,-1,5,19,1,2,107.2000,154.0000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260630,20260618,20260727,43260,84420,243,122,70,39,335,118,12,12,1,1,107.9000,155.0000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260801,20260707,20260820,65640,63300,173,207,299,344,467,13,8,6,6,2,108.6000,156.0000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260623,20260723,20260719,21240,10440,330,421,41,34,197,191,6,16,1,3,109.3000,157.0000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260711,20260622,20260818,76080,34560,27,246,103,388,324,105,9,17,6,4,110.0000,158.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260610,20260707,20260619,45780,12720,240,138,105,455,421,151,1,3,2,3,110.7000,159.0000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260609,20260804,20260727,22380,71580,48,384,463,373,256,151,9,3,5,2,111.4000,160.0000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260807,20260823,20260713,64980,61440,227,371,208,95,82,40,10,3,7,3,112.1000,161.0000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260620,20260626,20260529,14520,39480,202,68,156,301,500,451,3,19,4,5,112.8000,162.0000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260720,20260620,20260530,45360,76800,40,3,138,160,401,315,12,9,7,3,113.5000,163.0000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260616,20260703,20260803,70380,18540,352,118,43,204,248,208,12,9,2,4,114.2000,164.0000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260618,20260609,20260629,74460,44100,500,216,446,206,159,208,11,15,1,2,114.9000,165.0000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260711,20260727,20260708,75300,0,188,72,245,254,434,108,11,13,6,4,115.6000,166.0000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260528,20260702,20260713,21120,240,226,457,436,362,96,84,1,20,4,1,116.3000,167.0000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260726,20260625,20260709,72840,17400,356,391,256,21,399,148,8,14,1,4,117.0000,168.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260821,20260803,20260823,50220,64440,321,343,329,48,276,148,1,3,7,4,117.7000,169.0000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260624,20260702,20260625,67620,43680,251,177,189,431,8,15,6,8,4,2,118.4000,170.0000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260822,20260728,20260604,60000,41100,282,291,389,104,404,-1,7,4,1,5,119.1000,171.0000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260609,20260702,20260604,31380,51360,425,261,88,403,206,139,5,17,4,4,119.8000,172.0000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260822,20260808,20260530,53760,56880,77,250,177,213,177,2,11,7,2,2,120.5000,173.0000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260626,20260727,20260603,40380,52920,444,353,173,40,209,289,13,20,3,2,121.2000,174.0000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260811,20260818,20260717,35760,31860,236,187,416,359,359,433,4,10,6,3,121.9000,175.0000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260804,20260713,20260603,35100,12540,299,462,158,283,201,140,6,7,3,3,122.6000,176.0000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260709,20260617,20260712,67680,80700,351,286,419,28,114,18,7,10,6,5,123.3000,177.0000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260619,20260730,20260612,30300,69360,8,440,354,36,346,160,9,14,1,1,124.0000,178.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260727,20260608,20260611,40560,41220,295,187,136,320,463,406,12,3,4,2,124.7000,179.0000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260709,20260627,20260711,71940,71880,324,500,173,471,225,414,7,9,2,1,125.4000,180.0000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260719,20260612,20260811,61020,81960,304,433,2,50,150,251,14,15,2,1,126.1000,181.0000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260527,20260813,20260820,80040,18060,435,96,195,334,267,284,12,18,6,2,126.8000,182.0000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260609,20260616,20260814,62280,30720,493,368,41,221,90,308,5,8,2,5,127.5000,183.0000,259.3400,1,1,2026-08-24T00:00:00.000
