MachineChangeoverEventKey,StartDateKey,EndDateKey,StartTimeOfDayKey,EndTimeOfDayKey,MachineKey,MachineChangeoverKey,FromProductKey,ToProductKey,WorkCenterKey,PlantKey,LeadEmployeeKey,OeeCalculationMethodKey,ChangeoverEventNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
30,20260624,20260717,58440,59100,356,341,354,77,435,176,30,11,MCE000030,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260701,20260801,64380,80880,251,454,247,412,489,21,168,8,MCE000031,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260630,20260621,23880,14700,101,51,203,283,285,346,496,3,MCE000032,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260622,20260729,22080,20220,284,137,25,26,498,217,18,2,MCE000033,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260608,20260601,86040,41400,407,6,-1,-1,38,300,-1,7,MCE000034,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260809,20260527,80760,58440,184,447,424,490,211,325,189,12,MCE000035,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260807,20260611,21180,14640,147,37,327,336,131,151,393,1,MCE000036,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260606,20260605,26100,70440,228,2,74,115,308,190,343,6,MCE000037,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260605,20260819,20100,52140,19,283,159,19,197,18,380,8,MCE000038,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260611,20260712,21420,66120,172,403,47,465,96,336,188,9,MCE000039,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260531,20260706,22440,31740,19,455,126,133,175,51,443,4,MCE000040,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260528,20260824,43020,27840,428,193,111,378,204,257,270,8,MCE000041,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260804,20260625,6420,77940,400,271,100,199,427,70,269,11,MCE000042,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260712,20260708,34980,56160,336,40,13,20,419,181,218,4,MCE000043,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260626,20260616,67380,39480,364,192,486,368,125,18,224,4,MCE000044,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260620,20260531,30120,13200,215,388,369,357,311,189,494,8,MCE000045,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260729,20260602,83280,3720,202,451,445,457,402,129,431,3,MCE000046,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260626,20260814,65760,61620,58,83,14,68,445,24,72,12,MCE000047,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260814,20260809,25320,33960,477,363,201,477,462,291,139,6,MCE000048,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260730,20260727,66300,60660,466,160,253,325,288,270,227,3,MCE000049,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260705,20260615,13800,67680,343,365,185,100,17,305,250,11,MCE000050,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260614,20260705,59880,29220,279,266,-1,-1,185,297,-1,11,MCE000051,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260822,20260824,49200,56700,199,190,449,191,239,148,359,6,MCE000052,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260803,20260725,47400,66480,14,426,23,422,291,34,295,3,MCE000053,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260730,20260805,11940,7860,155,117,186,227,214,257,288,10,MCE000054,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260601,20260528,35640,76920,294,492,406,230,470,62,84,8,MCE000055,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260729,20260620,84480,39840,243,200,217,285,396,190,136,3,MCE000056,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260804,20260813,39300,75960,326,331,119,389,322,285,50,3,MCE000057,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260531,20260824,56040,43740,337,14,289,326,383,308,488,5,MCE000058,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260705,20260719,9300,77220,75,443,41,275,161,261,204,1,MCE000059,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260724,20260716,32340,63900,210,444,108,341,41,258,57,1,MCE000060,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260715,20260823,49140,74760,336,232,173,352,236,130,181,3,MCE000061,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260619,20260625,15480,31620,146,332,109,234,101,214,360,7,MCE000062,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260709,20260814,35760,35880,258,468,459,293,369,72,321,10,MCE000063,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260810,20260823,71760,17400,217,162,99,114,94,137,309,1,MCE000064,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260616,20260712,56100,56100,474,232,225,490,252,173,299,8,MCE000065,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260818,20260711,6300,5580,68,113,333,326,147,113,428,12,MCE000066,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260822,20260803,69720,16860,128,414,3,274,311,239,324,6,MCE000067,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260808,20260622,25560,2940,307,250,-1,-1,281,224,-1,12,MCE000068,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
