QualityInspectionResultKey,InspectionDateKey,InspectionTimeOfDayKey,QualityInspectionLotKey,QualityInspectionPlanKey,QualityInspectionCharacteristicKey,QualityGaugeKey,ProductKey,PlantKey,SupplierKey,InspectorEmployeeKey,QualityInspectionTypeKey,QualityResultStatusKey,UnitOfMeasureKey,SampleNumber,ResultSequenceNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
15,20260731,52920,281,155,186,488,11,114,193,153,6,10,4,QIR000015,15,16,30.5500,20.0000,30.5500,1,1,2026-08-24T00:00:00.000
16,20260817,13320,230,59,214,226,342,194,57,483,9,3,7,QIR000016,16,17,31.9200,21.0000,31.9200,1,1,2026-08-24T00:00:00.000
17,20260611,71760,305,54,187,-1,33,270,-1,-1,11,11,4,QIR000017,17,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260725,21060,129,261,392,410,120,72,4,258,8,11,4,QIR000018,18,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260612,50040,454,55,350,219,377,15,269,171,7,4,4,QIR000019,19,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260623,52560,213,454,451,474,196,2,418,220,5,12,5,QIR000020,20,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260620,600,269,219,324,371,200,32,219,263,2,7,5,QIR000021,21,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260822,81780,161,246,404,465,367,59,171,174,2,9,4,QIR000022,22,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260731,40080,245,193,60,342,175,289,260,480,6,9,3,QIR000023,23,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260727,69240,122,131,230,333,66,331,63,474,12,11,2,QIR000024,24,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260529,51000,274,93,128,170,423,342,72,121,7,1,2,QIR000025,25,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260709,20220,129,264,256,89,403,128,484,315,10,3,1,QIR000026,26,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260707,51060,84,422,402,320,4,167,11,488,5,12,5,QIR000027,27,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260610,70500,376,407,142,229,288,131,150,278,10,9,6,QIR000028,28,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260804,80220,159,284,479,98,72,289,479,372,6,12,6,QIR000029,29,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260802,57180,420,126,119,81,259,233,113,279,4,11,7,QIR000030,30,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260617,35820,98,255,185,325,119,17,126,354,4,3,5,QIR000031,31,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260730,44460,87,451,461,116,175,234,192,372,5,11,3,QIR000032,32,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260727,51660,497,82,151,302,128,18,34,337,7,9,1,QIR000033,33,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260814,17520,212,332,147,-1,349,16,-1,-1,4,1,1,QIR000034,34,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260713,34860,4,442,457,157,176,75,183,44,4,8,7,QIR000035,35,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260621,3420,147,471,477,91,67,282,385,188,8,10,2,QIR000036,36,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260820,78600,103,482,447,272,487,340,171,210,2,5,4,QIR000037,37,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260619,27000,443,382,463,241,86,183,459,374,8,2,4,QIR000038,38,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260612,59220,251,191,1,47,359,111,296,329,9,1,3,QIR000039,39,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260814,73620,124,45,298,293,105,65,64,140,9,9,7,QIR000040,40,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260723,33060,240,450,315,462,433,322,2,227,2,8,3,QIR000041,41,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260808,79140,230,82,315,291,364,335,261,450,5,8,3,QIR000042,42,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260606,13260,481,424,380,497,328,306,105,83,10,6,6,QIR000043,43,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260723,49080,347,201,18,371,500,102,52,367,2,3,4,QIR000044,44,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260728,2460,294,43,439,201,210,15,9,227,6,12,1,QIR000045,45,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260807,24540,420,346,382,67,457,117,89,397,10,5,5,QIR000046,46,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260528,77820,300,274,259,358,131,343,244,67,3,3,3,QIR000047,47,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260623,35340,257,200,236,353,62,238,37,494,2,4,2,QIR000048,48,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260821,81180,5,334,260,124,351,236,236,395,9,1,1,QIR000049,49,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260628,39720,234,413,130,4,457,65,379,273,12,7,7,QIR000050,50,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260529,37500,202,182,484,-1,129,197,-1,-1,9,7,2,QIR000051,51,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260623,36180,329,302,181,137,210,7,50,484,4,7,2,QIR000052,52,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260716,19920,264,226,403,353,325,264,109,57,11,1,7,QIR000053,53,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260715,76020,24,188,476,15,71,46,97,117,12,4,5,QIR000054,54,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260721,44700,22,469,308,456,397,66,223,360,8,5,5,QIR000055,55,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260627,17640,385,291,424,457,202,49,465,158,10,11,1,QIR000056,56,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260808,60960,484,494,370,89,356,80,211,151,1,3,4,QIR000057,57,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260528,45120,459,310,473,412,473,220,337,345,7,8,4,QIR000058,58,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260814,67140,116,163,21,434,319,39,54,359,2,1,6,QIR000059,59,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260720,13980,410,382,148,235,371,92,412,136,2,2,2,QIR000060,60,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260623,84180,28,15,174,493,177,122,329,400,1,10,2,QIR000061,61,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260530,77940,97,210,327,207,281,56,61,110,4,10,2,QIR000062,62,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260604,17100,295,297,143,409,299,32,386,69,2,10,5,QIR000063,63,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260616,13140,276,131,133,76,122,24,168,499,10,6,6,QIR000064,64,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260813,47280,49,169,300,362,426,272,27,323,3,10,2,QIR000065,65,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260720,78780,479,404,87,490,201,41,167,86,7,6,7,QIR000066,66,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260602,4500,483,496,223,92,7,264,398,462,2,11,4,QIR000067,67,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260814,79920,195,288,354,-1,225,205,-1,-1,11,8,3,QIR000068,68,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260629,27600,8,81,426,266,88,210,328,321,8,11,6,QIR000069,69,70,104.5300,74.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260728,15360,473,179,174,14,336,343,58,31,4,3,1,QIR000070,70,71,105.9000,75.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260722,23940,128,399,117,365,215,237,308,198,12,9,4,QIR000071,71,72,107.2700,76.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260712,18660,342,497,242,278,399,140,1,218,8,2,3,QIR000072,72,73,108.6400,77.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260604,59820,14,327,457,210,38,165,408,38,9,6,4,QIR000073,73,74,110.0100,78.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260714,11280,148,27,19,240,172,153,205,412,7,12,7,QIR000074,74,75,111.3800,79.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260629,74160,256,33,355,359,234,186,365,465,7,1,6,QIR000075,75,76,112.7500,80.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260626,34020,125,436,285,304,447,94,177,350,5,3,1,QIR000076,76,77,114.1200,81.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260620,48780,353,158,217,177,343,67,326,86,4,10,7,QIR000077,77,78,115.4900,82.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260620,9900,296,466,192,272,309,327,409,191,11,2,7,QIR000078,78,79,116.8600,83.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260622,1980,105,491,191,323,94,136,412,404,2,5,1,QIR000079,79,80,118.2300,84.0000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260714,25920,67,277,470,37,96,148,201,79,4,5,4,QIR000080,80,81,119.6000,85.0000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260809,86160,34,98,326,145,275,88,302,29,7,10,4,QIR000081,81,82,120.9700,86.0000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260719,66060,120,87,141,74,162,56,110,8,2,2,6,QIR000082,82,83,122.3400,87.0000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260804,5820,285,264,127,94,346,324,402,391,12,2,2,QIR000083,83,84,123.7100,88.0000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260731,51840,267,185,81,397,296,16,97,291,3,5,1,QIR000084,84,85,125.0800,89.0000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260702,36720,323,23,90,-1,476,298,-1,-1,9,8,5,QIR000085,85,86,126.4500,90.0000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260729,74640,289,139,165,300,25,133,366,82,12,6,6,QIR000086,86,87,127.8200,91.0000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260714,38220,3,456,80,71,418,262,197,208,1,5,5,QIR000087,87,88,129.1900,92.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260824,50520,314,457,1,59,364,228,405,459,4,5,3,QIR000088,88,89,130.5600,93.0000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260708,53340,39,454,189,398,55,300,161,218,2,3,3,QIR000089,89,90,131.9300,94.0000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260702,24720,134,464,216,89,232,250,482,492,4,10,6,QIR000090,90,91,133.3000,95.0000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260712,16620,160,417,481,393,262,332,418,115,10,2,2,QIR000091,91,92,134.6700,96.0000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260618,82620,68,415,222,318,171,258,456,24,9,8,3,QIR000092,92,93,136.0400,97.0000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260712,4620,216,346,139,211,366,213,298,236,10,2,5,QIR000093,93,94,137.4100,98.0000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260814,11160,191,20,101,73,408,258,81,415,12,3,4,QIR000094,94,95,138.7800,99.0000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260718,20040,333,175,364,20,52,25,6,80,1,2,7,QIR000095,95,96,140.1500,100.0000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260629,48900,395,314,225,489,193,176,199,349,6,8,3,QIR000096,96,97,141.5200,101.0000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260613,64440,109,385,73,292,344,266,342,223,5,6,7,QIR000097,97,98,142.8900,102.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260804,70980,484,285,290,277,310,135,302,421,2,6,5,QIR000098,98,99,144.2600,103.0000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260602,67560,48,395,3,76,387,69,100,139,5,12,3,QIR000099,99,100,145.6300,104.0000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260618,59100,283,68,91,324,29,320,363,280,11,2,3,QIR000100,100,101,147.0000,105.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260708,18780,49,354,17,492,221,312,327,114,9,12,3,QIR000101,101,102,148.3700,106.0000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260819,78420,59,109,250,-1,19,245,-1,-1,5,7,3,QIR000102,102,103,149.7400,107.0000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260627,66840,308,477,16,83,168,78,128,231,12,3,5,QIR000103,103,104,151.1100,108.0000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260722,58560,70,366,191,141,101,238,90,105,2,8,2,QIR000104,104,105,152.4800,109.0000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260717,22620,294,353,18,244,336,301,228,39,11,3,6,QIR000105,105,106,153.8500,110.0000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260728,18060,139,330,332,48,241,144,43,186,11,10,6,QIR000106,106,107,155.2200,111.0000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260725,68520,490,485,23,95,57,198,317,220,9,4,4,QIR000107,107,108,156.5900,112.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260814,51120,200,40,66,63,298,152,247,161,4,11,7,QIR000108,108,109,157.9600,113.0000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260815,23280,373,241,100,476,42,109,242,330,9,4,6,QIR000109,109,110,159.3300,114.0000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260824,80520,148,62,58,77,216,41,358,57,7,8,1,QIR000110,110,111,160.7000,115.0000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260530,25080,308,6,315,420,301,255,338,178,2,11,6,QIR000111,111,112,162.0700,116.0000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260630,59220,428,491,257,43,152,308,99,12,5,7,4,QIR000112,112,113,163.4400,117.0000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260713,11280,365,357,141,303,95,257,458,220,5,9,2,QIR000113,113,114,164.8100,118.0000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260617,13200,298,48,407,228,12,203,89,243,9,4,1,QIR000114,114,115,166.1800,119.0000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260614,78420,53,311,62,221,139,220,92,139,5,1,6,QIR000115,115,116,167.5500,120.0000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260704,52800,132,209,91,276,373,163,435,52,12,10,2,QIR000116,116,117,168.9200,121.0000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260717,20460,39,252,101,361,485,183,161,115,10,12,2,QIR000117,117,118,170.2900,122.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260822,75840,403,169,438,340,398,297,128,17,10,9,6,QIR000118,118,119,171.6600,123.0000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260531,83520,195,420,242,-1,392,5,-1,-1,5,3,2,QIR000119,119,120,173.0300,124.0000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260721,37020,351,342,370,257,433,250,395,247,3,11,6,QIR000120,120,121,174.4000,125.0000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260721,76260,130,319,492,213,423,308,238,69,1,1,1,QIR000121,121,122,175.7700,126.0000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260729,51360,314,270,388,371,25,276,173,237,7,11,5,QIR000122,122,123,177.1400,127.0000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260724,10020,65,253,210,202,51,144,29,38,2,1,7,QIR000123,123,124,178.5100,128.0000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260706,16980,317,457,250,380,459,280,144,16,12,6,3,QIR000124,124,125,179.8800,129.0000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260711,59100,271,346,145,44,366,33,330,216,1,3,4,QIR000125,125,126,181.2500,130.0000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260529,10860,23,143,210,364,484,331,68,221,4,1,3,QIR000126,126,127,182.6200,131.0000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260622,11820,358,413,434,7,301,182,351,465,9,5,4,QIR000127,127,128,183.9900,132.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260606,8040,186,119,168,99,140,61,479,88,4,4,7,QIR000128,128,129,185.3600,133.0000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260808,75900,359,84,456,200,46,282,63,77,6,12,3,QIR000129,129,130,186.7300,134.0000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260625,23220,123,252,229,35,255,27,173,313,6,10,7,QIR000130,130,131,188.1000,135.0000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260604,14220,2,363,7,325,305,17,237,353,11,3,7,QIR000131,131,132,189.4700,136.0000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260617,74460,229,249,243,148,151,94,81,416,7,9,7,QIR000132,132,133,190.8400,137.0000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260627,65580,334,366,91,20,66,270,177,198,6,3,5,QIR000133,133,134,192.2100,138.0000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260805,75840,148,415,364,418,169,348,177,110,1,4,7,QIR000134,134,135,193.5800,139.0000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260601,8460,12,261,11,234,214,178,381,327,6,6,6,QIR000135,135,136,194.9500,140.0000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260807,29700,231,166,169,-1,458,271,-1,-1,4,7,1,QIR000136,136,137,196.3200,141.0000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260808,37260,208,490,4,82,433,288,195,181,9,9,6,QIR000137,137,138,197.6900,142.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260531,17820,222,350,178,239,346,121,300,191,9,4,3,QIR000138,138,139,199.0600,143.0000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260612,52500,54,198,63,67,210,247,61,330,11,3,3,QIR000139,139,140,200.4300,144.0000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260620,60900,259,313,353,447,183,94,147,108,2,12,2,QIR000140,140,141,201.8000,145.0000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260805,71880,321,13,243,76,172,229,329,270,10,9,5,QIR000141,141,142,203.1700,146.0000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260801,10380,175,187,190,193,354,178,28,222,11,4,1,QIR000142,142,143,204.5400,147.0000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260605,1860,471,298,386,372,231,295,396,106,4,9,6,QIR000143,143,144,205.9100,148.0000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260712,37560,8,403,448,473,393,150,358,67,7,3,7,QIR000144,144,145,207.2800,149.0000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260625,18660,429,173,281,249,293,180,9,147,7,9,7,QIR000145,145,146,208.6500,150.0000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260726,7800,450,341,286,487,452,303,467,293,6,9,6,QIR000146,146,147,210.0200,151.0000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260530,55500,294,480,369,8,449,294,423,333,5,12,4,QIR000147,147,148,211.3900,152.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260713,46260,220,453,401,44,165,47,443,14,5,10,7,QIR000148,148,149,212.7600,153.0000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260627,86160,74,349,22,408,56,24,28,304,6,4,4,QIR000149,149,150,214.1300,154.0000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260608,49260,373,205,346,343,240,77,473,8,8,9,7,QIR000150,150,151,215.5000,155.0000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260604,45180,474,12,64,363,124,324,89,397,11,3,4,QIR000151,151,152,216.8700,156.0000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260710,74700,133,307,137,349,447,307,393,432,10,8,1,QIR000152,152,153,218.2400,157.0000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260616,28800,443,158,202,-1,104,43,-1,-1,7,9,3,QIR000153,153,154,219.6100,158.0000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260614,28980,456,492,217,286,117,337,330,177,8,12,4,QIR000154,154,155,220.9800,159.0000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260823,77940,334,378,231,81,153,189,351,68,7,2,4,QIR000155,155,156,222.3500,160.0000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260622,6540,381,187,409,423,352,133,60,13,9,12,1,QIR000156,156,157,223.7200,161.0000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260607,73260,432,53,70,66,333,177,467,62,10,11,5,QIR000157,157,158,225.0900,162.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260625,19800,358,62,47,290,145,67,303,420,2,12,1,QIR000158,158,159,226.4600,163.0000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260629,10320,389,484,335,223,27,110,248,143,6,2,6,QIR000159,159,160,227.8300,164.0000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260707,61260,223,5,211,65,134,262,311,267,8,3,5,QIR000160,160,161,229.2000,165.0000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260527,29640,344,4,391,255,302,274,54,163,12,3,2,QIR000161,161,162,230.5700,166.0000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260820,4380,88,241,392,72,460,33,421,486,7,6,3,QIR000162,162,163,231.9400,167.0000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260705,36240,245,43,371,117,91,170,381,101,7,10,4,QIR000163,163,164,233.3100,168.0000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260803,42540,19,244,374,184,199,156,75,7,3,5,2,QIR000164,164,165,234.6800,169.0000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260606,69960,2,108,413,55,302,46,253,155,2,10,1,QIR000165,165,166,236.0500,170.0000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260702,27480,228,174,371,216,266,293,72,36,7,10,2,QIR000166,166,167,237.4200,171.0000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260610,9120,452,335,287,382,400,193,245,500,4,9,5,QIR000167,167,168,238.7900,172.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260704,35340,188,249,114,156,85,67,113,188,8,1,7,QIR000168,168,169,240.1600,173.0000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260730,33900,485,276,180,500,285,336,447,343,1,7,2,QIR000169,169,170,241.5300,174.0000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260718,62520,198,241,335,-1,230,173,-1,-1,12,12,6,QIR000170,170,171,242.9000,175.0000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260718,27840,197,196,256,480,8,131,84,355,4,9,3,QIR000171,171,172,244.2700,176.0000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260703,57780,219,198,239,242,13,249,31,60,9,10,5,QIR000172,172,173,245.6400,177.0000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260622,72960,418,240,317,265,216,143,397,397,10,5,4,QIR000173,173,174,247.0100,178.0000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260819,75540,308,43,97,77,224,264,385,358,2,8,3,QIR000174,174,175,248.3800,179.0000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260612,7860,280,423,385,326,343,102,139,43,6,1,2,QIR000175,175,176,249.7500,180.0000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260702,85020,136,165,8,250,473,293,489,149,10,2,5,QIR000176,176,177,251.1200,181.0000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260722,64380,312,40,28,399,389,215,66,314,12,7,5,QIR000177,177,178,252.4900,182.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260601,66060,256,101,106,250,251,97,486,398,11,6,2,QIR000178,178,179,253.8600,183.0000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260722,63900,15,19,418,18,132,85,387,348,10,2,3,QIR000179,179,180,255.2300,184.0000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260820,53820,145,418,258,331,253,197,140,20,1,12,2,QIR000180,180,181,256.6000,185.0000,256.6000,1,1,2026-08-24T00:00:00.000
