FinanceBudgetForecastKey,SnapshotDateKey,FiscalPeriodDateKey,FinancePlanningVersionKey,GlAccountKey,CostCenterKey,BusinessUnitKey,ProductKey,FinanceProfitObjectKey,FinanceScenarioTypeKey,CurrencyKey,BudgetAmount,ForecastAmount,BudgetQuantity,ForecastQuantity,SourceSystemKey,BatchId,LoadedAtUtc
43,20260530,20260712,221,465,158,120,430,138,4,2,68.9100,68.9100,30.2000,30.2000,1,1,2026-08-24T00:00:00.000
44,20260718,20260802,431,399,481,203,137,374,6,5,70.2800,70.2800,30.9000,30.9000,1,1,2026-08-24T00:00:00.000
45,20260601,20260616,318,20,183,200,139,310,5,2,71.6500,71.6500,31.6000,31.6000,1,1,2026-08-24T00:00:00.000
46,20260812,20260822,343,293,26,217,112,336,2,4,73.0200,73.0200,32.3000,32.3000,1,1,2026-08-24T00:00:00.000
47,20260726,20260615,161,49,312,151,311,218,9,4,74.3900,74.3900,33.0000,33.0000,1,1,2026-08-24T00:00:00.000
48,20260609,20260604,206,359,12,52,324,211,10,3,75.7600,75.7600,33.7000,33.7000,1,1,2026-08-24T00:00:00.000
49,20260724,20260602,18,370,298,66,307,175,8,4,77.1300,77.1300,34.4000,34.4000,1,1,2026-08-24T00:00:00.000
50,20260722,20260701,325,21,224,70,42,143,6,2,78.5000,78.5000,35.1000,35.1000,1,1,2026-08-24T00:00:00.000
51,20260822,20260731,437,198,-1,481,-1,-1,6,5,79.8700,79.8700,35.8000,35.8000,1,1,2026-08-24T00:00:00.000
52,20260820,20260820,329,84,271,349,384,389,5,5,81.2400,81.2400,36.5000,36.5000,1,1,2026-08-24T00:00:00.000
53,20260614,20260822,159,328,486,79,393,90,8,5,82.6100,82.6100,37.2000,37.2000,1,1,2026-08-24T00:00:00.000
54,20260528,20260702,95,499,338,366,303,198,5,4,83.9800,83.9800,37.9000,37.9000,1,1,2026-08-24T00:00:00.000
55,20260630,20260708,63,28,119,430,469,262,3,4,85.3500,85.3500,38.6000,38.6000,1,1,2026-08-24T00:00:00.000
56,20260801,20260603,79,255,101,16,134,23,4,5,86.7200,86.7200,39.3000,39.3000,1,1,2026-08-24T00:00:00.000
57,20260809,20260730,199,257,239,407,320,283,6,3,88.0900,88.0900,40.0000,40.0000,1,1,2026-08-24T00:00:00.000
58,20260719,20260719,36,87,327,350,466,481,4,5,89.4600,89.4600,40.7000,40.7000,1,1,2026-08-24T00:00:00.000
59,20260722,20260610,483,296,52,295,217,124,4,5,90.8300,90.8300,41.4000,41.4000,1,1,2026-08-24T00:00:00.000
60,20260619,20260608,340,125,92,30,165,248,3,2,92.2000,92.2000,42.1000,42.1000,1,1,2026-08-24T00:00:00.000
61,20260804,20260602,326,146,484,445,116,151,4,4,93.5700,93.5700,42.8000,42.8000,1,1,2026-08-24T00:00:00.000
62,20260806,20260602,65,170,268,202,490,416,7,2,94.9400,94.9400,43.5000,43.5000,1,1,2026-08-24T00:00:00.000
63,20260620,20260612,130,148,59,238,172,294,2,2,96.3100,96.3100,44.2000,44.2000,1,1,2026-08-24T00:00:00.000
64,20260823,20260819,28,38,416,398,178,400,8,1,97.6800,97.6800,44.9000,44.9000,1,1,2026-08-24T00:00:00.000
65,20260618,20260724,400,124,235,14,475,324,3,2,99.0500,99.0500,45.6000,45.6000,1,1,2026-08-24T00:00:00.000
66,20260727,20260721,119,19,352,359,146,53,7,2,100.4200,100.4200,46.3000,46.3000,1,1,2026-08-24T00:00:00.000
67,20260702,20260614,58,424,454,86,474,117,3,3,101.7900,101.7900,47.0000,47.0000,1,1,2026-08-24T00:00:00.000
68,20260807,20260707,122,173,-1,252,-1,-1,7,3,103.1600,103.1600,47.7000,47.7000,1,1,2026-08-24T00:00:00.000
69,20260613,20260601,230,197,317,270,456,393,9,1,104.5300,104.5300,48.4000,48.4000,1,1,2026-08-24T00:00:00.000
70,20260731,20260817,486,315,75,431,360,386,5,2,105.9000,105.9000,49.1000,49.1000,1,1,2026-08-24T00:00:00.000
71,20260625,20260708,311,73,243,54,344,76,10,1,107.2700,107.2700,49.8000,49.8000,1,1,2026-08-24T00:00:00.000
72,20260730,20260531,500,469,287,7,131,487,7,4,108.6400,108.6400,50.5000,50.5000,1,1,2026-08-24T00:00:00.000
73,20260818,20260601,395,103,183,35,199,101,1,4,110.0100,110.0100,51.2000,51.2000,1,1,2026-08-24T00:00:00.000
74,20260628,20260602,268,128,212,367,465,500,2,4,111.3800,111.3800,51.9000,51.9000,1,1,2026-08-24T00:00:00.000
75,20260807,20260608,134,428,94,301,63,150,9,3,112.7500,112.7500,52.6000,52.6000,1,1,2026-08-24T00:00:00.000
76,20260728,20260611,272,378,72,204,241,189,9,2,114.1200,114.1200,53.3000,53.3000,1,1,2026-08-24T00:00:00.000
77,20260531,20260729,97,286,171,366,341,259,9,2,115.4900,115.4900,54.0000,54.0000,1,1,2026-08-24T00:00:00.000
78,20260623,20260606,10,364,129,246,55,189,6,2,116.8600,116.8600,54.7000,54.7000,1,1,2026-08-24T00:00:00.000
79,20260710,20260614,180,359,426,336,184,401,8,1,118.2300,118.2300,55.4000,55.4000,1,1,2026-08-24T00:00:00.000
80,20260603,20260701,144,423,225,239,245,376,9,4,119.6000,119.6000,56.1000,56.1000,1,1,2026-08-24T00:00:00.000
81,20260608,20260630,8,47,6,360,13,470,2,4,120.9700,120.9700,56.8000,56.8000,1,1,2026-08-24T00:00:00.000
82,20260613,20260614,204,224,44,193,310,324,6,2,122.3400,122.3400,57.5000,57.5000,1,1,2026-08-24T00:00:00.000
83,20260803,20260823,181,122,153,244,176,187,9,5,123.7100,123.7100,58.2000,58.2000,1,1,2026-08-24T00:00:00.000
84,20260619,20260817,325,491,85,421,16,492,7,3,125.0800,125.0800,58.9000,58.9000,1,1,2026-08-24T00:00:00.000
85,20260728,20260614,148,183,-1,4,-1,-1,1,5,126.4500,126.4500,59.6000,59.6000,1,1,2026-08-24T00:00:00.000
86,20260618,20260624,136,443,342,142,462,259,5,1,127.8200,127.8200,60.3000,60.3000,1,1,2026-08-24T00:00:00.000
87,20260626,20260718,189,418,141,148,301,37,9,3,129.1900,129.1900,61.0000,61.0000,1,1,2026-08-24T00:00:00.000
88,20260728,20260616,155,411,85,470,297,493,3,4,130.5600,130.5600,61.7000,61.7000,1,1,2026-08-24T00:00:00.000
89,20260824,20260704,141,319,449,8,452,422,3,3,131.9300,131.9300,62.4000,62.4000,1,1,2026-08-24T00:00:00.000
90,20260814,20260626,395,75,191,137,296,155,9,2,133.3000,133.3000,63.1000,63.1000,1,1,2026-08-24T00:00:00.000
91,20260818,20260808,467,368,22,154,391,215,5,4,134.6700,134.6700,63.8000,63.8000,1,1,2026-08-24T00:00:00.000
92,20260728,20260607,493,248,489,384,424,324,10,3,136.0400,136.0400,64.5000,64.5000,1,1,2026-08-24T00:00:00.000
93,20260722,20260710,127,51,261,228,354,267,8,1,137.4100,137.4100,65.2000,65.2000,1,1,2026-08-24T00:00:00.000
94,20260608,20260817,444,280,286,300,297,203,8,4,138.7800,138.7800,65.9000,65.9000,1,1,2026-08-24T00:00:00.000
95,20260801,20260810,189,218,467,35,467,268,10,2,140.1500,140.1500,66.6000,66.6000,1,1,2026-08-24T00:00:00.000
96,20260627,20260721,31,439,320,205,14,460,6,2,141.5200,141.5200,67.3000,67.3000,1,1,2026-08-24T00:00:00.000
97,20260621,20260715,486,5,248,421,304,375,4,1,142.8900,142.8900,68.0000,68.0000,1,1,2026-08-24T00:00:00.000
98,20260531,20260621,168,15,27,320,403,65,2,4,144.2600,144.2600,68.7000,68.7000,1,1,2026-08-24T00:00:00.000
99,20260817,20260804,104,133,158,14,264,80,4,3,145.6300,145.6300,69.4000,69.4000,1,1,2026-08-24T00:00:00.000
100,20260807,20260804,222,33,108,26,496,6,5,1,147.0000,147.0000,70.1000,70.1000,1,1,2026-08-24T00:00:00.000
101,20260718,20260714,76,477,437,384,382,28,3,3,148.3700,148.3700,70.8000,70.8000,1,1,2026-08-24T00:00:00.000
102,20260701,20260803,135,323,-1,84,-1,-1,6,1,149.7400,149.7400,71.5000,71.5000,1,1,2026-08-24T00:00:00.000
103,20260812,20260801,43,16,365,429,348,58,2,1,151.1100,151.1100,72.2000,72.2000,1,1,2026-08-24T00:00:00.000
104,20260718,20260801,395,397,302,75,169,154,5,3,152.4800,152.4800,72.9000,72.9000,1,1,2026-08-24T00:00:00.000
105,20260616,20260807,46,380,90,388,165,347,7,2,153.8500,153.8500,73.6000,73.6000,1,1,2026-08-24T00:00:00.000
106,20260709,20260715,337,253,204,266,84,416,8,1,155.2200,155.2200,74.3000,74.3000,1,1,2026-08-24T00:00:00.000
107,20260711,20260608,329,357,500,377,273,444,6,5,156.5900,156.5900,75.0000,75.0000,1,1,2026-08-24T00:00:00.000
108,20260707,20260720,258,172,492,257,197,203,1,2,157.9600,157.9600,75.7000,75.7000,1,1,2026-08-24T00:00:00.000
109,20260608,20260708,302,316,150,48,382,180,9,2,159.3300,159.3300,76.4000,76.4000,1,1,2026-08-24T00:00:00.000
110,20260611,20260721,30,99,411,293,217,150,9,5,160.7000,160.7000,77.1000,77.1000,1,1,2026-08-24T00:00:00.000
111,20260605,20260615,388,360,282,190,373,39,4,2,162.0700,162.0700,77.8000,77.8000,1,1,2026-08-24T00:00:00.000
112,20260719,20260528,434,273,295,2,148,407,3,3,163.4400,163.4400,78.5000,78.5000,1,1,2026-08-24T00:00:00.000
113,20260724,20260706,450,42,173,438,254,297,1,1,164.8100,164.8100,79.2000,79.2000,1,1,2026-08-24T00:00:00.000
114,20260530,20260719,311,77,94,325,30,248,10,3,166.1800,166.1800,79.9000,79.9000,1,1,2026-08-24T00:00:00.000
115,20260709,20260711,94,308,331,459,290,440,9,2,167.5500,167.5500,80.6000,80.6000,1,1,2026-08-24T00:00:00.000
116,20260713,20260817,409,298,421,312,435,88,1,2,168.9200,168.9200,81.3000,81.3000,1,1,2026-08-24T00:00:00.000
117,20260611,20260810,168,313,202,188,17,490,4,1,170.2900,170.2900,82.0000,82.0000,1,1,2026-08-24T00:00:00.000
118,20260614,20260802,227,342,74,64,494,123,6,2,171.6600,171.6600,82.7000,82.7000,1,1,2026-08-24T00:00:00.000
119,20260620,20260701,59,32,-1,288,-1,-1,3,2,173.0300,173.0300,83.4000,83.4000,1,1,2026-08-24T00:00:00.000
120,20260803,20260706,113,32,392,406,147,263,1,5,174.4000,174.4000,84.1000,84.1000,1,1,2026-08-24T00:00:00.000
121,20260530,20260809,226,388,219,449,340,57,8,5,175.7700,175.7700,84.8000,84.8000,1,1,2026-08-24T00:00:00.000
122,20260710,20260805,449,81,280,50,498,292,2,4,177.1400,177.1400,85.5000,85.5000,1,1,2026-08-24T00:00:00.000
123,20260714,20260721,432,316,58,285,248,121,9,2,178.5100,178.5100,86.2000,86.2000,1,1,2026-08-24T00:00:00.000
124,20260619,20260823,493,358,175,319,379,259,1,3,179.8800,179.8800,86.9000,86.9000,1,1,2026-08-24T00:00:00.000
125,20260610,20260606,469,55,199,358,408,99,6,4,181.2500,181.2500,87.6000,87.6000,1,1,2026-08-24T00:00:00.000
126,20260722,20260806,355,184,52,108,56,427,7,5,182.6200,182.6200,88.3000,88.3000,1,1,2026-08-24T00:00:00.000
127,20260614,20260610,208,392,337,243,293,237,7,4,183.9900,183.9900,89.0000,89.0000,1,1,2026-08-24T00:00:00.000
128,20260801,20260620,310,66,411,217,345,160,10,5,185.3600,185.3600,89.7000,89.7000,1,1,2026-08-24T00:00:00.000
129,20260818,20260731,483,14,338,484,112,18,9,4,186.7300,186.7300,90.4000,90.4000,1,1,2026-08-24T00:00:00.000
130,20260805,20260605,337,327,44,279,75,125,7,1,188.1000,188.1000,91.1000,91.1000,1,1,2026-08-24T00:00:00.000
131,20260820,20260527,58,51,199,275,226,363,1,3,189.4700,189.4700,91.8000,91.8000,1,1,2026-08-24T00:00:00.000
132,20260812,20260617,248,35,295,140,186,74,10,2,190.8400,190.8400,92.5000,92.5000,1,1,2026-08-24T00:00:00.000
133,20260815,20260529,357,483,146,211,113,305,8,1,192.2100,192.2100,93.2000,93.2000,1,1,2026-08-24T00:00:00.000
134,20260629,20260610,382,282,406,328,361,354,6,1,193.5800,193.5800,93.9000,93.9000,1,1,2026-08-24T00:00:00.000
135,20260810,20260814,116,403,117,478,395,467,5,2,194.9500,194.9500,94.6000,94.6000,1,1,2026-08-24T00:00:00.000
136,20260616,20260614,75,311,-1,253,-1,-1,2,5,196.3200,196.3200,95.3000,95.3000,1,1,2026-08-24T00:00:00.000
137,20260625,20260815,465,372,401,127,190,311,2,4,197.6900,197.6900,96.0000,96.0000,1,1,2026-08-24T00:00:00.000
138,20260820,20260601,294,196,483,457,192,11,9,1,199.0600,199.0600,96.7000,96.7000,1,1,2026-08-24T00:00:00.000
139,20260822,20260627,440,35,277,292,405,239,5,4,200.4300,200.4300,97.4000,97.4000,1,1,2026-08-24T00:00:00.000
140,20260724,20260724,275,434,205,496,104,395,9,3,201.8000,201.8000,98.1000,98.1000,1,1,2026-08-24T00:00:00.000
141,20260530,20260710,44,58,50,395,299,486,2,1,203.1700,203.1700,98.8000,98.8000,1,1,2026-08-24T00:00:00.000
142,20260612,20260721,220,170,66,95,53,34,7,3,204.5400,204.5400,99.5000,99.5000,1,1,2026-08-24T00:00:00.000
143,20260709,20260709,33,374,319,157,412,186,7,2,205.9100,205.9100,100.2000,100.2000,1,1,2026-08-24T00:00:00.000
144,20260818,20260804,373,172,29,26,151,462,9,1,207.2800,207.2800,100.9000,100.9000,1,1,2026-08-24T00:00:00.000
145,20260803,20260608,62,459,212,271,5,375,7,1,208.6500,208.6500,101.6000,101.6000,1,1,2026-08-24T00:00:00.000
146,20260722,20260730,335,459,377,158,170,145,6,2,210.0200,210.0200,102.3000,102.3000,1,1,2026-08-24T00:00:00.000
147,20260605,20260731,55,6,21,481,419,420,9,1,211.3900,211.3900,103.0000,103.0000,1,1,2026-08-24T00:00:00.000
148,20260824,20260604,97,111,344,393,88,34,4,1,212.7600,212.7600,103.7000,103.7000,1,1,2026-08-24T00:00:00.000
149,20260528,20260821,28,139,44,405,453,200,8,3,214.1300,214.1300,104.4000,104.4000,1,1,2026-08-24T00:00:00.000
150,20260806,20260622,263,221,363,37,239,162,4,4,215.5000,215.5000,105.1000,105.1000,1,1,2026-08-24T00:00:00.000
151,20260803,20260531,116,203,352,190,406,52,9,3,216.8700,216.8700,105.8000,105.8000,1,1,2026-08-24T00:00:00.000
152,20260703,20260625,122,262,165,128,264,308,2,4,218.2400,218.2400,106.5000,106.5000,1,1,2026-08-24T00:00:00.000
153,20260611,20260804,122,228,-1,307,-1,-1,2,3,219.6100,219.6100,107.2000,107.2000,1,1,2026-08-24T00:00:00.000
154,20260723,20260715,5,357,398,134,387,290,8,1,220.9800,220.9800,107.9000,107.9000,1,1,2026-08-24T00:00:00.000
155,20260817,20260629,485,60,267,481,455,323,3,3,222.3500,222.3500,108.6000,108.6000,1,1,2026-08-24T00:00:00.000
156,20260615,20260815,190,417,380,201,242,182,6,3,223.7200,223.7200,109.3000,109.3000,1,1,2026-08-24T00:00:00.000
157,20260611,20260702,250,43,91,240,417,273,7,4,225.0900,225.0900,110.0000,110.0000,1,1,2026-08-24T00:00:00.000
158,20260610,20260629,463,351,60,363,473,318,3,5,226.4600,226.4600,110.7000,110.7000,1,1,2026-08-24T00:00:00.000
159,20260602,20260629,262,350,213,455,398,382,7,5,227.8300,227.8300,111.4000,111.4000,1,1,2026-08-24T00:00:00.000
160,20260603,20260531,248,437,438,455,432,176,4,4,229.2000,229.2000,112.1000,112.1000,1,1,2026-08-24T00:00:00.000
161,20260713,20260704,201,165,166,433,198,216,4,2,230.5700,230.5700,112.8000,112.8000,1,1,2026-08-24T00:00:00.000
162,20260805,20260616,13,418,95,288,298,417,4,2,231.9400,231.9400,113.5000,113.5000,1,1,2026-08-24T00:00:00.000
163,20260820,20260713,184,301,95,289,426,478,9,3,233.3100,233.3100,114.2000,114.2000,1,1,2026-08-24T00:00:00.000
164,20260607,20260617,156,350,255,145,45,35,4,4,234.6800,234.6800,114.9000,114.9000,1,1,2026-08-24T00:00:00.000
165,20260703,20260813,497,91,302,5,14,366,10,3,236.0500,236.0500,115.6000,115.6000,1,1,2026-08-24T00:00:00.000
166,20260807,20260727,202,376,354,18,397,110,4,2,237.4200,237.4200,116.3000,116.3000,1,1,2026-08-24T00:00:00.000
167,20260719,20260720,334,278,100,491,485,98,3,3,238.7900,238.7900,117.0000,117.0000,1,1,2026-08-24T00:00:00.000
168,20260626,20260723,283,80,207,151,36,386,6,2,240.1600,240.1600,117.7000,117.7000,1,1,2026-08-24T00:00:00.000
169,20260707,20260727,383,245,480,84,6,471,6,2,241.5300,241.5300,118.4000,118.4000,1,1,2026-08-24T00:00:00.000
170,20260627,20260716,44,293,-1,415,-1,-1,10,1,242.9000,242.9000,119.1000,119.1000,1,1,2026-08-24T00:00:00.000
171,20260720,20260706,77,186,291,455,395,285,2,2,244.2700,244.2700,119.8000,119.8000,1,1,2026-08-24T00:00:00.000
172,20260629,20260713,433,42,254,243,299,464,8,1,245.6400,245.6400,120.5000,120.5000,1,1,2026-08-24T00:00:00.000
173,20260822,20260527,80,406,465,156,443,461,9,4,247.0100,247.0100,121.2000,121.2000,1,1,2026-08-24T00:00:00.000
174,20260623,20260808,437,473,85,150,487,56,6,3,248.3800,248.3800,121.9000,121.9000,1,1,2026-08-24T00:00:00.000
175,20260604,20260706,438,206,84,293,28,395,9,2,249.7500,249.7500,122.6000,122.6000,1,1,2026-08-24T00:00:00.000
176,20260822,20260611,490,192,418,369,441,410,2,4,251.1200,251.1200,123.3000,123.3000,1,1,2026-08-24T00:00:00.000
177,20260601,20260623,473,154,290,324,386,312,5,1,252.4900,252.4900,124.0000,124.0000,1,1,2026-08-24T00:00:00.000
178,20260531,20260724,411,125,172,425,449,223,10,1,253.8600,253.8600,124.7000,124.7000,1,1,2026-08-24T00:00:00.000
179,20260715,20260605,292,14,410,397,392,34,10,4,255.2300,255.2300,125.4000,125.4000,1,1,2026-08-24T00:00:00.000
180,20260811,20260723,94,349,297,94,8,180,2,2,256.6000,256.6000,126.1000,126.1000,1,1,2026-08-24T00:00:00.000
181,20260824,20260627,351,464,5,309,321,303,9,3,257.9700,257.9700,126.8000,126.8000,1,1,2026-08-24T00:00:00.000
182,20260531,20260612,128,374,319,128,166,366,5,4,259.3400,259.3400,127.5000,127.5000,1,1,2026-08-24T00:00:00.000
183,20260603,20260713,348,54,117,387,178,277,4,5,260.7100,260.7100,128.2000,128.2000,1,1,2026-08-24T00:00:00.000
184,20260607,20260607,135,45,164,303,182,455,2,1,262.0800,262.0800,128.9000,128.9000,1,1,2026-08-24T00:00:00.000
185,20260822,20260626,123,309,56,254,72,420,3,3,263.4500,263.4500,129.6000,129.6000,1,1,2026-08-24T00:00:00.000
186,20260816,20260710,178,363,326,439,27,448,5,1,264.8200,264.8200,130.3000,130.3000,1,1,2026-08-24T00:00:00.000
187,20260820,20260714,110,21,-1,148,-1,-1,9,3,266.1900,266.1900,131.0000,131.0000,1,1,2026-08-24T00:00:00.000
188,20260714,20260730,111,390,496,190,188,445,5,5,267.5600,267.5600,131.7000,131.7000,1,1,2026-08-24T00:00:00.000
189,20260727,20260716,250,405,147,120,399,277,8,1,268.9300,268.9300,132.4000,132.4000,1,1,2026-08-24T00:00:00.000
190,20260716,20260622,54,137,28,189,231,430,3,5,270.3000,270.3000,133.1000,133.1000,1,1,2026-08-24T00:00:00.000
191,20260821,20260701,114,391,305,86,495,418,6,2,271.6700,271.6700,133.8000,133.8000,1,1,2026-08-24T00:00:00.000
192,20260731,20260729,41,30,180,15,71,231,9,5,273.0400,273.0400,134.5000,134.5000,1,1,2026-08-24T00:00:00.000
193,20260719,20260728,417,436,406,173,257,341,5,1,274.4100,274.4100,135.2000,135.2000,1,1,2026-08-24T00:00:00.000
194,20260727,20260527,180,192,220,131,423,355,8,5,275.7800,275.7800,135.9000,135.9000,1,1,2026-08-24T00:00:00.000
195,20260611,20260708,352,302,138,303,323,68,7,2,277.1500,277.1500,136.6000,136.6000,1,1,2026-08-24T00:00:00.000
196,20260617,20260606,52,91,140,343,91,370,3,1,278.5200,278.5200,137.3000,137.3000,1,1,2026-08-24T00:00:00.000
197,20260719,20260803,117,388,132,499,121,490,4,3,279.8900,279.8900,138.0000,138.0000,1,1,2026-08-24T00:00:00.000
198,20260706,20260607,198,289,126,479,109,341,9,5,281.2600,281.2600,138.7000,138.7000,1,1,2026-08-24T00:00:00.000
199,20260623,20260701,46,374,291,4,304,232,6,1,282.6300,282.6300,139.4000,139.4000,1,1,2026-08-24T00:00:00.000
200,20260616,20260602,499,355,106,231,244,127,7,5,284.0000,284.0000,140.1000,140.1000,1,1,2026-08-24T00:00:00.000
201,20260624,20260818,343,199,122,19,433,491,5,1,285.3700,285.3700,140.8000,140.8000,1,1,2026-08-24T00:00:00.000
202,20260622,20260627,110,300,170,315,309,265,4,2,286.7400,286.7400,141.5000,141.5000,1,1,2026-08-24T00:00:00.000
203,20260702,20260625,99,30,201,35,210,442,10,5,288.1100,288.1100,142.2000,142.2000,1,1,2026-08-24T00:00:00.000
204,20260720,20260603,431,319,-1,150,-1,-1,1,5,289.4800,289.4800,142.9000,142.9000,1,1,2026-08-24T00:00:00.000
205,20260528,20260730,236,105,468,378,492,139,2,2,290.8500,290.8500,143.6000,143.6000,1,1,2026-08-24T00:00:00.000
206,20260802,20260620,287,33,3,491,475,328,2,2,292.2200,292.2200,144.3000,144.3000,1,1,2026-08-24T00:00:00.000
207,20260812,20260617,286,303,488,302,137,233,8,5,293.5900,293.5900,145.0000,145.0000,1,1,2026-08-24T00:00:00.000
208,20260603,20260728,131,11,305,327,359,292,1,1,294.9600,294.9600,145.7000,145.7000,1,1,2026-08-24T00:00:00.000
209,20260717,20260718,11,434,431,115,208,184,7,2,296.3300,296.3300,146.4000,146.4000,1,1,2026-08-24T00:00:00.000
