ProductionDowntimeEventKey,StartDateKey,EndDateKey,StartTimeOfDayKey,EndTimeOfDayKey,PlantKey,WorkCenterKey,ProductionRunKey,ProductionShiftKey,ProductionDowntimeReasonKey,SeverityKey,DowntimeEventNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
37,20260616,20260629,57660,3840,233,197,384,272,9,4,PDE000037,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260707,20260605,35220,35280,174,272,426,83,8,3,PDE000038,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260817,20260812,79740,78660,133,173,25,254,6,5,PDE000039,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260813,20260703,46740,83220,341,299,419,127,8,5,PDE000040,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260603,20260708,23040,48000,142,471,195,57,4,4,PDE000041,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260722,20260613,53820,36300,303,228,251,284,2,1,PDE000042,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260529,20260806,17340,22260,89,235,355,227,6,5,PDE000043,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260810,20260816,80160,39060,52,340,56,317,6,3,PDE000044,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260811,20260802,85980,51600,274,33,268,148,11,1,PDE000045,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260609,20260529,78660,21720,242,352,343,288,6,5,PDE000046,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260718,20260723,52620,71700,273,141,253,355,4,3,PDE000047,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260805,20260603,33120,46200,98,488,268,96,8,1,PDE000048,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260624,20260805,64440,59340,220,11,335,357,7,4,PDE000049,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260816,20260824,46980,78780,176,211,229,59,9,5,PDE000050,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260608,20260717,25620,43980,133,41,-1,473,9,2,PDE000051,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260707,20260809,50880,5340,183,20,96,112,12,3,PDE000052,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260704,20260712,77820,70800,157,118,114,450,9,5,PDE000053,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260817,20260710,12600,79860,279,465,489,484,2,2,PDE000054,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260610,20260608,83700,34980,8,91,479,455,6,1,PDE000055,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260620,20260628,47460,72780,350,179,427,406,4,4,PDE000056,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260720,20260808,21480,43920,187,396,48,424,4,2,PDE000057,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260702,20260722,960,32640,143,111,112,110,1,4,PDE000058,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260625,20260622,300,46680,4,483,147,33,6,5,PDE000059,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260813,20260616,23640,31260,183,282,148,172,11,2,PDE000060,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260604,20260610,16860,56280,13,127,346,351,8,3,PDE000061,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260626,20260713,120,60300,97,463,44,394,3,5,PDE000062,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260817,20260606,73920,16440,115,221,82,164,10,2,PDE000063,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260731,20260629,54840,4080,231,183,475,315,11,5,PDE000064,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260531,20260702,41400,33360,190,154,336,313,1,2,PDE000065,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260613,20260721,5460,74280,247,222,405,116,12,5,PDE000066,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260527,20260802,60960,70740,86,338,424,316,12,2,PDE000067,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260720,20260715,9600,39300,93,461,-1,276,10,1,PDE000068,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260816,20260712,64680,53820,288,445,410,437,11,3,PDE000069,70,104.5300,74.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260605,20260819,67380,31500,290,500,181,368,9,5,PDE000070,71,105.9000,75.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260608,20260725,11520,31320,72,101,406,453,10,1,PDE000071,72,107.2700,76.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260611,20260712,8820,56760,297,417,366,407,8,1,PDE000072,73,108.6400,77.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260621,20260613,46800,10140,173,45,449,213,5,5,PDE000073,74,110.0100,78.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260815,20260807,13500,53820,153,172,184,209,6,4,PDE000074,75,111.3800,79.0000,111.3800,1,1,2026-08-24T00:00:00.000
