InventoryBalanceSnapshotKey,SnapshotDateKey,ProductKey,PlantKey,InventoryBinKey,InventoryLotKey,InventorySerialNumberKey,InventoryConsignmentOwnerKey,InventoryStockStatusKey,UnitOfMeasureKey,OnHandQuantity,AvailableQuantity,ReservedQuantity,InventoryValueAmount,SourceSystemKey,BatchId,LoadedAtUtc
37,20260808,333,142,349,338,368,12,8,4,26.0000,26.0000,26.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260623,206,136,420,76,65,129,8,7,26.7000,26.7000,26.7000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260701,414,211,469,352,156,222,9,3,27.4000,27.4000,27.4000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260802,310,235,415,88,175,1,8,1,28.1000,28.1000,28.1000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260627,293,17,115,185,470,57,4,2,28.8000,28.8000,28.8000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260720,99,69,280,93,279,128,9,3,29.5000,29.5000,29.5000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260730,280,59,231,478,200,135,3,3,30.2000,30.2000,30.2000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260625,55,201,62,176,112,58,2,1,30.9000,30.9000,30.9000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260607,291,185,108,77,410,494,7,1,31.6000,31.6000,31.6000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260713,377,128,480,222,69,2,10,4,32.3000,32.3000,32.3000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260807,361,29,144,257,104,491,10,6,33.0000,33.0000,33.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260529,236,323,202,285,497,214,2,2,33.7000,33.7000,33.7000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260708,494,155,224,267,468,330,9,1,34.4000,34.4000,34.4000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260824,238,90,386,293,222,491,5,1,35.1000,35.1000,35.1000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260812,355,101,84,-1,-1,-1,3,1,35.8000,35.8000,35.8000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260627,472,75,111,273,271,80,8,7,36.5000,36.5000,36.5000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260616,415,52,147,208,452,403,7,6,37.2000,37.2000,37.2000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260802,383,174,203,400,136,469,5,1,37.9000,37.9000,37.9000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260614,276,4,352,232,384,302,8,1,38.6000,38.6000,38.6000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260619,424,223,450,360,350,222,6,3,39.3000,39.3000,39.3000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260818,500,140,354,454,405,351,8,1,40.0000,40.0000,40.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260716,444,119,116,385,96,107,4,5,40.7000,40.7000,40.7000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260629,412,303,248,333,75,308,4,1,41.4000,41.4000,41.4000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260818,316,51,327,392,18,189,10,4,42.1000,42.1000,42.1000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260719,133,309,337,178,269,485,2,2,42.8000,42.8000,42.8000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260721,413,246,74,340,349,385,6,4,43.5000,43.5000,43.5000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260813,293,143,256,10,467,204,10,2,44.2000,44.2000,44.2000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260818,288,229,9,30,466,87,1,7,44.9000,44.9000,44.9000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260811,13,329,447,31,459,410,10,2,45.6000,45.6000,45.6000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260708,195,26,176,270,340,258,8,2,46.3000,46.3000,46.3000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260722,97,229,114,139,42,468,9,2,47.0000,47.0000,47.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260608,264,46,71,-1,-1,-1,4,2,47.7000,47.7000,47.7000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260816,158,123,177,354,272,422,5,5,48.4000,48.4000,48.4000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260721,497,43,27,233,306,206,5,4,49.1000,49.1000,49.1000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260819,231,37,9,43,321,211,10,5,49.8000,49.8000,49.8000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260704,384,311,370,195,118,146,8,5,50.5000,50.5000,50.5000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260606,330,211,53,368,43,79,10,5,51.2000,51.2000,51.2000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260819,321,118,490,93,159,327,9,1,51.9000,51.9000,51.9000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260721,390,63,277,384,307,138,6,3,52.6000,52.6000,52.6000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260616,389,285,291,34,487,5,7,5,53.3000,53.3000,53.3000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260705,392,253,186,484,249,380,1,1,54.0000,54.0000,54.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260626,155,194,55,335,466,85,3,6,54.7000,54.7000,54.7000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260703,105,119,478,368,297,200,10,1,55.4000,55.4000,55.4000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260624,415,240,289,54,40,353,5,2,56.1000,56.1000,56.1000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260817,41,330,139,82,355,227,10,3,56.8000,56.8000,56.8000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260723,237,102,426,481,440,7,6,7,57.5000,57.5000,57.5000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260616,386,109,257,106,9,206,1,5,58.2000,58.2000,58.2000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260728,116,138,84,435,303,4,7,6,58.9000,58.9000,58.9000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260724,276,274,87,-1,-1,-1,7,7,59.6000,59.6000,59.6000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260622,488,283,125,409,319,473,4,4,60.3000,60.3000,60.3000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260629,143,187,227,416,234,39,9,5,61.0000,61.0000,61.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260610,95,169,244,182,324,157,4,7,61.7000,61.7000,61.7000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260710,180,118,334,84,396,490,7,3,62.4000,62.4000,62.4000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260815,488,122,347,158,435,355,9,6,63.1000,63.1000,63.1000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260613,202,306,225,409,201,175,7,2,63.8000,63.8000,63.8000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260610,153,11,243,50,118,213,10,6,64.5000,64.5000,64.5000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260806,343,26,146,1,265,125,8,2,65.2000,65.2000,65.2000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260709,171,171,86,68,134,360,3,6,65.9000,65.9000,65.9000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260801,323,233,244,167,197,395,7,3,66.6000,66.6000,66.6000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260614,391,227,113,26,276,468,6,7,67.3000,67.3000,67.3000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260808,295,331,396,257,262,305,7,7,68.0000,68.0000,68.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260601,259,47,70,363,128,266,4,7,68.7000,68.7000,68.7000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260709,176,333,364,413,344,492,3,1,69.4000,69.4000,69.4000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260531,149,119,331,27,145,76,5,7,70.1000,70.1000,70.1000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260810,14,322,63,66,253,463,10,2,70.8000,70.8000,70.8000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260702,446,4,245,-1,-1,-1,10,4,71.5000,71.5000,71.5000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260802,101,70,336,435,407,407,5,3,72.2000,72.2000,72.2000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260705,442,94,13,289,213,25,4,3,72.9000,72.9000,72.9000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260811,142,244,458,382,101,64,5,3,73.6000,73.6000,73.6000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260528,354,130,113,104,408,174,10,6,74.3000,74.3000,74.3000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260716,254,5,99,279,233,23,1,6,75.0000,75.0000,75.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260808,358,12,451,452,495,45,1,2,75.7000,75.7000,75.7000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260724,54,344,235,58,223,375,10,5,76.4000,76.4000,76.4000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260602,208,286,351,326,389,357,10,3,77.1000,77.1000,77.1000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260716,94,289,271,65,430,131,6,4,77.8000,77.8000,77.8000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260809,486,10,159,323,386,352,9,3,78.5000,78.5000,78.5000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260707,482,187,246,74,147,149,2,3,79.2000,79.2000,79.2000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260812,272,134,277,223,395,463,2,3,79.9000,79.9000,79.9000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260724,299,220,16,223,186,128,8,1,80.6000,80.6000,80.6000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260815,302,40,421,271,440,401,3,5,81.3000,81.3000,81.3000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260730,338,108,288,168,333,157,6,6,82.0000,82.0000,82.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260602,456,250,364,372,365,142,6,2,82.7000,82.7000,82.7000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260720,471,37,192,-1,-1,-1,9,4,83.4000,83.4000,83.4000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260620,218,182,61,44,132,500,4,3,84.1000,84.1000,84.1000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260726,234,140,110,329,449,218,9,6,84.8000,84.8000,84.8000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260806,262,70,420,152,483,188,4,3,85.5000,85.5000,85.5000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260611,348,143,59,59,169,221,2,5,86.2000,86.2000,86.2000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260609,462,254,252,489,492,475,6,3,86.9000,86.9000,86.9000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260824,41,9,359,143,362,5,9,7,87.6000,87.6000,87.6000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260617,466,259,78,31,204,43,7,2,88.3000,88.3000,88.3000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260708,336,347,237,174,41,173,2,6,89.0000,89.0000,89.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260624,288,305,260,470,127,458,2,2,89.7000,89.7000,89.7000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260823,396,117,245,408,479,1,4,6,90.4000,90.4000,90.4000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260628,330,340,28,58,290,146,6,1,91.1000,91.1000,91.1000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260731,73,177,34,267,113,100,1,5,91.8000,91.8000,91.8000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260813,486,79,456,56,162,56,7,6,92.5000,92.5000,92.5000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260614,199,98,215,382,3,48,5,4,93.2000,93.2000,93.2000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260611,254,341,475,284,73,29,7,7,93.9000,93.9000,93.9000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260712,317,126,85,435,281,120,6,2,94.6000,94.6000,94.6000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260706,189,160,195,-1,-1,-1,9,2,95.3000,95.3000,95.3000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260606,350,164,35,375,346,441,1,5,96.0000,96.0000,96.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260615,191,97,257,463,332,367,10,7,96.7000,96.7000,96.7000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260724,421,292,15,83,427,20,3,5,97.4000,97.4000,97.4000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260820,409,83,438,397,449,414,10,4,98.1000,98.1000,98.1000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260702,469,114,115,304,430,106,10,2,98.8000,98.8000,98.8000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260822,138,179,47,39,339,17,10,4,99.5000,99.5000,99.5000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260704,225,76,85,335,250,345,6,3,100.2000,100.2000,100.2000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260813,330,203,278,216,474,399,10,2,100.9000,100.9000,100.9000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260819,463,132,351,50,96,422,7,3,101.6000,101.6000,101.6000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260801,442,28,255,48,375,217,4,7,102.3000,102.3000,102.3000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260804,449,80,229,292,383,374,10,3,103.0000,103.0000,103.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260611,217,87,496,296,98,66,10,7,103.7000,103.7000,103.7000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260821,47,42,194,373,332,205,6,3,104.4000,104.4000,104.4000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260625,440,53,67,196,58,317,4,5,105.1000,105.1000,105.1000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260820,121,85,496,297,239,406,6,7,105.8000,105.8000,105.8000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260616,440,196,177,162,418,47,2,2,106.5000,106.5000,106.5000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260810,252,258,243,-1,-1,-1,6,4,107.2000,107.2000,107.2000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260604,68,143,339,274,167,136,2,7,107.9000,107.9000,107.9000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260719,381,216,409,457,296,161,2,1,108.6000,108.6000,108.6000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260612,343,87,8,392,421,471,6,6,109.3000,109.3000,109.3000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260710,389,24,129,232,148,310,9,7,110.0000,110.0000,110.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260611,208,322,63,405,128,426,8,1,110.7000,110.7000,110.7000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260817,251,307,11,490,94,342,7,4,111.4000,111.4000,111.4000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260719,450,234,48,406,146,165,6,6,112.1000,112.1000,112.1000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260823,281,2,319,88,264,35,10,5,112.8000,112.8000,112.8000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260619,58,312,182,164,337,439,6,1,113.5000,113.5000,113.5000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260717,394,272,433,147,27,24,6,2,114.2000,114.2000,114.2000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260705,166,33,213,325,397,299,3,3,114.9000,114.9000,114.9000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260820,64,151,187,363,259,75,2,1,115.6000,115.6000,115.6000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260709,90,23,110,206,496,60,8,1,116.3000,116.3000,116.3000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260815,123,255,203,242,170,414,7,6,117.0000,117.0000,117.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260725,439,111,31,493,375,388,7,4,117.7000,117.7000,117.7000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260811,83,279,161,377,243,35,8,4,118.4000,118.4000,118.4000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260812,143,37,160,-1,-1,-1,10,4,119.1000,119.1000,119.1000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260611,15,167,52,453,436,18,6,5,119.8000,119.8000,119.8000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260623,141,324,430,410,402,328,8,7,120.5000,120.5000,120.5000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260702,424,340,247,60,440,132,8,1,121.2000,121.2000,121.2000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260811,363,15,32,344,146,284,9,4,121.9000,121.9000,121.9000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260606,69,250,308,355,43,467,2,5,122.6000,122.6000,122.6000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260816,343,157,122,293,260,167,9,5,123.3000,123.3000,123.3000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260614,294,268,251,88,234,255,5,1,124.0000,124.0000,124.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260809,406,148,47,384,78,264,2,7,124.7000,124.7000,124.7000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260805,99,311,185,287,45,86,8,6,125.4000,125.4000,125.4000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260611,412,157,433,411,405,389,8,1,126.1000,126.1000,126.1000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260530,326,266,45,341,1,205,5,4,126.8000,126.8000,126.8000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260622,176,195,8,373,166,377,8,5,127.5000,127.5000,127.5000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260714,462,64,225,407,30,496,2,2,128.2000,128.2000,128.2000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260811,420,194,477,15,74,265,4,4,128.9000,128.9000,128.9000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260709,10,186,419,122,80,91,2,6,129.6000,129.6000,129.6000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260820,294,249,189,164,289,372,6,6,130.3000,130.3000,130.3000,264.8200,1,1,2026-08-24T00:00:00.000
187,20260615,218,222,284,-1,-1,-1,1,4,131.0000,131.0000,131.0000,266.1900,1,1,2026-08-24T00:00:00.000
188,20260619,368,127,8,153,460,426,8,4,131.7000,131.7000,131.7000,267.5600,1,1,2026-08-24T00:00:00.000
189,20260728,303,266,348,347,4,53,3,1,132.4000,132.4000,132.4000,268.9300,1,1,2026-08-24T00:00:00.000
190,20260816,91,48,384,34,116,419,10,7,133.1000,133.1000,133.1000,270.3000,1,1,2026-08-24T00:00:00.000
191,20260701,261,193,201,106,302,441,2,7,133.8000,133.8000,133.8000,271.6700,1,1,2026-08-24T00:00:00.000
192,20260623,286,135,82,307,358,488,2,7,134.5000,134.5000,134.5000,273.0400,1,1,2026-08-24T00:00:00.000
193,20260706,64,155,461,431,147,283,5,5,135.2000,135.2000,135.2000,274.4100,1,1,2026-08-24T00:00:00.000
194,20260702,413,77,489,294,314,5,4,4,135.9000,135.9000,135.9000,275.7800,1,1,2026-08-24T00:00:00.000
195,20260809,322,325,495,146,156,70,5,4,136.6000,136.6000,136.6000,277.1500,1,1,2026-08-24T00:00:00.000
196,20260619,374,212,423,354,471,383,9,5,137.3000,137.3000,137.3000,278.5200,1,1,2026-08-24T00:00:00.000
197,20260817,351,86,351,411,226,319,6,5,138.0000,138.0000,138.0000,279.8900,1,1,2026-08-24T00:00:00.000
198,20260816,143,28,189,251,360,481,10,5,138.7000,138.7000,138.7000,281.2600,1,1,2026-08-24T00:00:00.000
199,20260819,396,191,316,221,464,310,1,3,139.4000,139.4000,139.4000,282.6300,1,1,2026-08-24T00:00:00.000
200,20260723,355,58,337,1,48,374,4,7,140.1000,140.1000,140.1000,284.0000,1,1,2026-08-24T00:00:00.000
201,20260717,128,95,101,339,231,170,2,1,140.8000,140.8000,140.8000,285.3700,1,1,2026-08-24T00:00:00.000
202,20260606,62,155,468,388,224,276,4,4,141.5000,141.5000,141.5000,286.7400,1,1,2026-08-24T00:00:00.000
203,20260722,232,233,242,24,362,266,1,6,142.2000,142.2000,142.2000,288.1100,1,1,2026-08-24T00:00:00.000
204,20260606,131,106,281,-1,-1,-1,8,7,142.9000,142.9000,142.9000,289.4800,1,1,2026-08-24T00:00:00.000
205,20260607,233,57,240,189,405,227,2,5,143.6000,143.6000,143.6000,290.8500,1,1,2026-08-24T00:00:00.000
206,20260710,125,72,312,64,31,315,9,7,144.3000,144.3000,144.3000,292.2200,1,1,2026-08-24T00:00:00.000
207,20260618,216,39,67,128,341,254,9,3,145.0000,145.0000,145.0000,293.5900,1,1,2026-08-24T00:00:00.000
208,20260607,469,55,319,134,391,78,2,6,145.7000,145.7000,145.7000,294.9600,1,1,2026-08-24T00:00:00.000
209,20260803,498,164,495,446,51,337,10,6,146.4000,146.4000,146.4000,296.3300,1,1,2026-08-24T00:00:00.000
210,20260620,406,281,451,297,10,72,9,3,147.1000,147.1000,147.1000,297.7000,1,1,2026-08-24T00:00:00.000
211,20260528,115,194,448,117,33,480,8,4,147.8000,147.8000,147.8000,299.0700,1,1,2026-08-24T00:00:00.000
212,20260813,394,231,45,247,295,376,3,4,148.5000,148.5000,148.5000,300.4400,1,1,2026-08-24T00:00:00.000
213,20260625,210,225,120,23,387,96,7,7,149.2000,149.2000,149.2000,301.8100,1,1,2026-08-24T00:00:00.000
214,20260709,373,37,346,178,205,188,9,2,149.9000,149.9000,149.9000,303.1800,1,1,2026-08-24T00:00:00.000
215,20260802,154,281,176,431,242,384,7,6,150.6000,150.6000,150.6000,304.5500,1,1,2026-08-24T00:00:00.000
216,20260820,29,254,13,374,150,185,8,1,151.3000,151.3000,151.3000,305.9200,1,1,2026-08-24T00:00:00.000
217,20260810,188,78,398,63,330,299,6,2,152.0000,152.0000,152.0000,307.2900,1,1,2026-08-24T00:00:00.000
218,20260726,359,131,154,125,62,5,4,7,152.7000,152.7000,152.7000,308.6600,1,1,2026-08-24T00:00:00.000
219,20260606,41,11,296,123,249,69,8,4,153.4000,153.4000,153.4000,310.0300,1,1,2026-08-24T00:00:00.000
220,20260601,90,203,95,321,66,199,1,3,154.1000,154.1000,154.1000,311.4000,1,1,2026-08-24T00:00:00.000
221,20260702,354,150,457,-1,-1,-1,8,1,154.8000,154.8000,154.8000,312.7700,1,1,2026-08-24T00:00:00.000
222,20260808,8,167,68,421,302,82,10,2,155.5000,155.5000,155.5000,314.1400,1,1,2026-08-24T00:00:00.000
223,20260527,133,180,337,293,305,366,9,3,156.2000,156.2000,156.2000,315.5100,1,1,2026-08-24T00:00:00.000
