MachineSensorReadingKey,ReadingDateKey,ReadingTimeOfDayKey,MachineKey,MachineSensorTagKey,WorkCenterKey,PlantKey,MachineSensorTypeKey,UnitOfMeasureKey,ReadingSequenceNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
90,20260701,5280,14,199,344,17,7,7,90,91,133.3000,95.0000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260625,6840,86,10,404,344,6,2,91,92,134.6700,96.0000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260801,36540,146,209,497,23,2,7,92,93,136.0400,97.0000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260619,7980,49,285,77,59,1,5,93,94,137.4100,98.0000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260721,68640,263,78,227,174,5,1,94,95,138.7800,99.0000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260623,13980,346,369,438,26,5,7,95,96,140.1500,100.0000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260616,1140,245,283,57,334,9,3,96,97,141.5200,101.0000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260627,16320,100,321,224,31,1,4,97,98,142.8900,102.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260715,41160,208,283,274,103,1,6,98,99,144.2600,103.0000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260702,59520,486,67,282,280,3,6,99,100,145.6300,104.0000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260817,80700,90,88,72,241,1,1,100,101,147.0000,105.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260731,43620,307,126,489,117,7,6,101,102,148.3700,106.0000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260809,3240,25,97,195,126,8,5,102,103,149.7400,107.0000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260810,20760,442,63,321,177,7,2,103,104,151.1100,108.0000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260612,58860,243,213,473,203,2,6,104,105,152.4800,109.0000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260716,39900,417,188,75,123,7,1,105,106,153.8500,110.0000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260529,36180,292,194,36,17,10,1,106,107,155.2200,111.0000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260629,8820,315,405,496,325,2,6,107,108,156.5900,112.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260623,16020,60,432,10,272,1,6,108,109,157.9600,113.0000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260529,3420,477,145,160,307,6,6,109,110,159.3300,114.0000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260721,6300,53,131,240,253,8,1,110,111,160.7000,115.0000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260713,77280,290,60,144,135,12,2,111,112,162.0700,116.0000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260606,38220,102,340,441,187,8,2,112,113,163.4400,117.0000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260804,36420,348,438,222,17,11,2,113,114,164.8100,118.0000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260712,61200,147,117,415,3,3,6,114,115,166.1800,119.0000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260719,85620,14,273,178,79,1,3,115,116,167.5500,120.0000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260726,84180,115,284,307,292,2,5,116,117,168.9200,121.0000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260529,20040,33,442,148,186,2,7,117,118,170.2900,122.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260709,78900,461,224,91,215,8,5,118,119,171.6600,123.0000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260805,12300,260,115,64,10,1,3,119,120,173.0300,124.0000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260606,55140,412,451,63,121,8,1,120,121,174.4000,125.0000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260725,540,269,164,51,220,2,4,121,122,175.7700,126.0000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260812,43620,40,174,52,90,10,7,122,123,177.1400,127.0000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260529,47040,401,431,25,237,3,7,123,124,178.5100,128.0000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260823,29880,468,279,423,24,12,1,124,125,179.8800,129.0000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260617,25800,236,67,482,60,7,6,125,126,181.2500,130.0000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260624,7980,20,15,394,112,1,1,126,127,182.6200,131.0000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260718,31200,476,292,343,201,12,1,127,128,183.9900,132.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260727,28680,247,296,121,338,11,1,128,129,185.3600,133.0000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260822,20220,344,353,483,56,11,3,129,130,186.7300,134.0000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260621,8640,206,117,110,236,9,6,130,131,188.1000,135.0000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260629,19020,271,328,146,274,9,7,131,132,189.4700,136.0000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260808,38040,31,355,360,3,10,7,132,133,190.8400,137.0000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260709,24300,475,77,241,4,9,4,133,134,192.2100,138.0000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260821,35880,260,463,333,18,6,3,134,135,193.5800,139.0000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260712,63000,58,384,10,335,12,3,135,136,194.9500,140.0000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260713,5940,18,313,194,300,12,4,136,137,196.3200,141.0000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260702,60360,191,400,265,152,2,1,137,138,197.6900,142.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260625,37440,471,384,419,68,10,1,138,139,199.0600,143.0000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260818,1320,420,207,183,282,4,4,139,140,200.4300,144.0000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260803,29100,85,30,439,210,5,7,140,141,201.8000,145.0000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260713,28920,219,491,47,178,7,4,141,142,203.1700,146.0000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260809,41520,173,263,58,41,12,2,142,143,204.5400,147.0000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260720,79020,149,133,51,261,4,5,143,144,205.9100,148.0000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260805,26340,164,122,434,300,4,2,144,145,207.2800,149.0000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260718,62340,299,405,418,176,10,1,145,146,208.6500,150.0000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260812,56400,290,407,402,8,1,1,146,147,210.0200,151.0000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260621,12540,361,279,14,236,7,1,147,148,211.3900,152.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260820,1020,336,256,106,288,3,7,148,149,212.7600,153.0000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260623,42000,35,124,305,215,2,4,149,150,214.1300,154.0000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260528,17160,452,396,393,44,6,4,150,151,215.5000,155.0000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260628,49920,18,445,364,201,6,2,151,152,216.8700,156.0000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260730,17160,195,306,494,344,10,7,152,153,218.2400,157.0000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260808,6120,279,333,211,39,1,5,153,154,219.6100,158.0000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260803,71580,215,408,205,54,1,4,154,155,220.9800,159.0000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260805,47040,496,231,86,29,2,5,155,156,222.3500,160.0000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260715,13740,67,78,433,268,11,2,156,157,223.7200,161.0000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260707,1440,231,181,499,296,7,5,157,158,225.0900,162.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260610,29340,210,416,179,198,1,5,158,159,226.4600,163.0000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260814,57600,379,457,473,63,7,2,159,160,227.8300,164.0000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260608,42540,344,423,389,235,12,2,160,161,229.2000,165.0000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260614,37680,488,147,233,312,11,4,161,162,230.5700,166.0000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260824,84420,173,445,341,72,1,6,162,163,231.9400,167.0000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260713,34680,350,34,193,169,3,5,163,164,233.3100,168.0000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260731,72420,225,389,383,149,9,5,164,165,234.6800,169.0000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260722,15360,87,218,471,263,11,4,165,166,236.0500,170.0000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260601,57420,44,292,352,128,3,5,166,167,237.4200,171.0000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260710,7980,247,34,339,350,11,6,167,168,238.7900,172.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260818,51840,33,66,59,63,12,4,168,169,240.1600,173.0000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260703,54960,262,144,124,218,1,1,169,170,241.5300,174.0000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260824,9300,372,492,298,154,1,5,170,171,242.9000,175.0000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260710,29940,203,235,10,304,11,2,171,172,244.2700,176.0000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260726,34560,93,208,458,172,9,4,172,173,245.6400,177.0000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260706,48180,371,313,23,10,11,7,173,174,247.0100,178.0000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260814,50160,192,115,319,319,6,5,174,175,248.3800,179.0000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260729,57240,252,307,30,36,8,4,175,176,249.7500,180.0000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260607,15300,365,199,245,215,9,7,176,177,251.1200,181.0000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260808,21360,350,346,459,344,7,2,177,178,252.4900,182.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260706,19080,28,160,343,319,7,6,178,179,253.8600,183.0000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260630,33660,28,476,27,216,11,1,179,180,255.2300,184.0000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260614,78120,227,157,439,338,1,4,180,181,256.6000,185.0000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260628,180,125,428,95,101,12,1,181,182,257.9700,186.0000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260707,49320,228,222,239,102,8,7,182,183,259.3400,187.0000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260624,5340,51,369,162,106,7,5,183,184,260.7100,188.0000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260601,81420,477,170,301,233,7,3,184,185,262.0800,189.0000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260722,84720,442,15,135,339,2,6,185,186,263.4500,190.0000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260808,71040,441,82,117,276,6,4,186,187,264.8200,191.0000,264.8200,1,1,2026-08-24T00:00:00.000
187,20260804,27300,323,330,365,348,6,1,187,188,266.1900,192.0000,266.1900,1,1,2026-08-24T00:00:00.000
188,20260815,86220,496,260,440,101,10,1,188,189,267.5600,193.0000,267.5600,1,1,2026-08-24T00:00:00.000
189,20260810,18000,492,207,317,306,9,6,189,190,268.9300,194.0000,268.9300,1,1,2026-08-24T00:00:00.000
190,20260528,35340,322,177,201,128,3,5,190,191,270.3000,195.0000,270.3000,1,1,2026-08-24T00:00:00.000
191,20260707,15960,265,454,19,113,11,2,191,192,271.6700,196.0000,271.6700,1,1,2026-08-24T00:00:00.000
192,20260728,37080,471,402,331,104,9,5,192,193,273.0400,197.0000,273.0400,1,1,2026-08-24T00:00:00.000
193,20260603,85080,494,227,138,46,10,5,193,194,274.4100,198.0000,274.4100,1,1,2026-08-24T00:00:00.000
194,20260731,70020,304,375,382,303,11,7,194,195,275.7800,199.0000,275.7800,1,1,2026-08-24T00:00:00.000
195,20260719,35040,8,329,199,190,2,3,195,196,277.1500,200.0000,277.1500,1,1,2026-08-24T00:00:00.000
196,20260710,86340,280,379,256,101,9,5,196,197,278.5200,201.0000,278.5200,1,1,2026-08-24T00:00:00.000
197,20260804,6720,386,297,403,162,6,6,197,198,279.8900,202.0000,279.8900,1,1,2026-08-24T00:00:00.000
198,20260717,10260,76,449,14,36,11,3,198,199,281.2600,203.0000,281.2600,1,1,2026-08-24T00:00:00.000
199,20260528,66420,301,67,300,218,7,3,199,200,282.6300,204.0000,282.6300,1,1,2026-08-24T00:00:00.000
200,20260724,80340,17,487,228,20,7,6,200,201,284.0000,205.0000,284.0000,1,1,2026-08-24T00:00:00.000
201,20260605,51180,278,426,231,331,1,5,201,202,285.3700,206.0000,285.3700,1,1,2026-08-24T00:00:00.000
202,20260629,53220,153,425,478,324,9,1,202,203,286.7400,207.0000,286.7400,1,1,2026-08-24T00:00:00.000
203,20260612,55320,341,100,357,158,6,1,203,204,288.1100,208.0000,288.1100,1,1,2026-08-24T00:00:00.000
204,20260625,73500,43,147,466,320,6,2,204,205,289.4800,209.0000,289.4800,1,1,2026-08-24T00:00:00.000
205,20260619,4200,316,496,317,27,2,5,205,206,290.8500,210.0000,290.8500,1,1,2026-08-24T00:00:00.000
206,20260801,39900,131,133,16,73,7,6,206,207,292.2200,211.0000,292.2200,1,1,2026-08-24T00:00:00.000
207,20260704,63120,68,275,341,28,7,1,207,208,293.5900,212.0000,293.5900,1,1,2026-08-24T00:00:00.000
208,20260606,63540,453,300,442,36,10,2,208,209,294.9600,213.0000,294.9600,1,1,2026-08-24T00:00:00.000
209,20260622,69300,204,58,202,179,5,2,209,210,296.3300,214.0000,296.3300,1,1,2026-08-24T00:00:00.000
210,20260727,61980,116,148,20,161,3,5,210,211,297.7000,215.0000,297.7000,1,1,2026-08-24T00:00:00.000
211,20260725,55980,310,136,481,254,10,5,211,212,299.0700,216.0000,299.0700,1,1,2026-08-24T00:00:00.000
212,20260630,81780,409,261,225,105,8,2,212,213,300.4400,217.0000,300.4400,1,1,2026-08-24T00:00:00.000
213,20260801,82320,133,230,14,166,2,3,213,214,301.8100,218.0000,301.8100,1,1,2026-08-24T00:00:00.000
214,20260613,34140,136,308,90,68,10,7,214,215,303.1800,219.0000,303.1800,1,1,2026-08-24T00:00:00.000
215,20260724,7440,495,257,55,79,9,4,215,216,304.5500,220.0000,304.5500,1,1,2026-08-24T00:00:00.000
216,20260606,420,107,389,361,261,3,2,216,217,305.9200,221.0000,305.9200,1,1,2026-08-24T00:00:00.000
217,20260621,63540,163,234,260,57,5,6,217,218,307.2900,222.0000,307.2900,1,1,2026-08-24T00:00:00.000
218,20260712,46860,309,316,123,192,9,2,218,219,308.6600,223.0000,308.6600,1,1,2026-08-24T00:00:00.000
219,20260627,24360,188,318,358,184,2,3,219,220,310.0300,224.0000,310.0300,1,1,2026-08-24T00:00:00.000
220,20260814,13920,346,101,152,334,12,4,220,221,311.4000,225.0000,311.4000,1,1,2026-08-24T00:00:00.000
221,20260814,78900,235,139,321,181,12,5,221,222,312.7700,226.0000,312.7700,1,1,2026-08-24T00:00:00.000
222,20260705,63540,357,465,472,285,10,3,222,223,314.1400,227.0000,314.1400,1,1,2026-08-24T00:00:00.000
223,20260717,27780,55,295,283,339,12,4,223,224,315.5100,228.0000,315.5100,1,1,2026-08-24T00:00:00.000
224,20260807,32160,409,281,268,129,12,3,224,225,316.8800,229.0000,316.8800,1,1,2026-08-24T00:00:00.000
225,20260711,52380,276,375,451,135,12,4,225,226,318.2500,230.0000,318.2500,1,1,2026-08-24T00:00:00.000
226,20260816,63120,325,3,121,348,3,5,226,227,319.6200,231.0000,319.6200,1,1,2026-08-24T00:00:00.000
227,20260624,44040,372,194,321,90,8,1,227,228,320.9900,232.0000,320.9900,1,1,2026-08-24T00:00:00.000
228,20260628,15300,28,485,96,338,3,3,228,229,322.3600,233.0000,322.3600,1,1,2026-08-24T00:00:00.000
229,20260714,73320,444,402,174,268,12,5,229,230,323.7300,234.0000,323.7300,1,1,2026-08-24T00:00:00.000
230,20260602,85440,238,455,389,77,4,7,230,231,325.1000,235.0000,325.1000,1,1,2026-08-24T00:00:00.000
231,20260725,21360,284,273,358,5,8,7,231,232,326.4700,236.0000,326.4700,1,1,2026-08-24T00:00:00.000
232,20260617,82200,86,382,57,92,7,2,232,233,327.8400,237.0000,327.8400,1,1,2026-08-24T00:00:00.000
