MaintenanceConditionReadingKey,ReadingDateKey,ReadingTimeOfDayKey,MaintenanceConditionPointKey,AssetKey,PlantKey,WorkCenterKey,MaintenanceConditionTypeKey,UnitOfMeasureKey,ReadingBatchNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
38,20260619,79380,406,98,99,158,6,1,MCR000038,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260822,23340,87,282,60,165,6,3,MCR000039,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260811,55860,34,318,158,421,8,6,MCR000040,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260809,54420,206,255,124,242,2,7,MCR000041,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260807,68700,366,330,100,264,9,6,MCR000042,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260712,81660,394,62,82,108,10,7,MCR000043,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260710,63300,357,348,228,75,9,7,MCR000044,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260612,5100,147,431,68,63,1,5,MCR000045,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260807,14940,239,264,313,19,7,1,MCR000046,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260709,53220,480,5,182,405,12,2,MCR000047,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260816,33180,355,18,185,116,6,1,MCR000048,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260824,73020,292,367,288,369,11,4,MCR000049,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260810,22500,14,22,249,196,12,7,MCR000050,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260618,11100,387,143,153,-1,5,5,MCR000051,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260623,3660,66,330,215,282,10,6,MCR000052,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260624,56340,30,261,45,457,4,2,MCR000053,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260818,47220,216,128,192,413,7,2,MCR000054,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260527,5220,376,59,239,133,1,3,MCR000055,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260804,75180,103,326,201,399,12,4,MCR000056,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260611,9120,172,274,39,8,2,4,MCR000057,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260529,44460,291,387,259,415,9,2,MCR000058,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260810,300,333,336,61,30,8,2,MCR000059,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260807,12540,145,206,338,305,9,5,MCR000060,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260618,14160,405,216,6,306,3,5,MCR000061,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260813,55320,456,71,203,378,1,5,MCR000062,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260717,74820,301,292,310,337,9,7,MCR000063,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260604,76080,127,483,125,429,7,6,MCR000064,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260709,8220,57,51,170,352,6,6,MCR000065,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260628,23460,342,251,122,215,1,5,MCR000066,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260803,8940,165,358,158,107,7,5,MCR000067,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260625,6300,426,342,234,-1,9,4,MCR000068,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260605,8640,218,243,26,329,11,2,MCR000069,70,104.5300,74.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260807,8940,368,119,48,499,7,4,MCR000070,71,105.9000,75.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260815,28500,497,160,66,198,10,3,MCR000071,72,107.2700,76.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260810,51360,91,154,213,199,5,1,MCR000072,73,108.6400,77.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260818,58560,279,444,182,175,2,2,MCR000073,74,110.0100,78.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260810,44460,182,319,150,231,1,2,MCR000074,75,111.3800,79.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260808,63480,466,140,36,446,1,7,MCR000075,76,112.7500,80.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260726,84060,178,176,254,181,7,2,MCR000076,77,114.1200,81.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260809,47460,41,127,28,142,3,4,MCR000077,78,115.4900,82.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260615,10680,76,264,76,332,11,3,MCR000078,79,116.8600,83.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260529,39060,36,92,327,403,8,1,MCR000079,80,118.2300,84.0000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260819,38280,499,251,84,219,4,4,MCR000080,81,119.6000,85.0000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260709,40920,200,135,62,6,1,6,MCR000081,82,120.9700,86.0000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260606,32340,126,237,112,36,7,5,MCR000082,83,122.3400,87.0000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260730,67620,315,159,233,230,11,2,MCR000083,84,123.7100,88.0000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260811,64080,120,326,162,69,8,3,MCR000084,85,125.0800,89.0000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260628,27420,146,244,6,-1,1,1,MCR000085,86,126.4500,90.0000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260802,44400,322,171,48,42,7,7,MCR000086,87,127.8200,91.0000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260818,11460,69,365,87,194,8,6,MCR000087,88,129.1900,92.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260822,62340,2,203,33,474,2,5,MCR000088,89,130.5600,93.0000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260821,53280,288,204,167,106,5,7,MCR000089,90,131.9300,94.0000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260601,80280,358,56,139,442,3,6,MCR000090,91,133.3000,95.0000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260728,47160,69,29,27,324,9,6,MCR000091,92,134.6700,96.0000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260612,24300,30,50,191,459,7,1,MCR000092,93,136.0400,97.0000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260717,63960,473,120,115,86,7,3,MCR000093,94,137.4100,98.0000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260614,19560,180,487,313,12,6,7,MCR000094,95,138.7800,99.0000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260814,6300,432,151,275,86,8,3,MCR000095,96,140.1500,100.0000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260626,74460,216,182,218,227,3,6,MCR000096,97,141.5200,101.0000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260821,57060,471,155,23,19,5,7,MCR000097,98,142.8900,102.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260822,46680,116,120,103,470,3,7,MCR000098,99,144.2600,103.0000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260531,10860,306,455,297,369,12,5,MCR000099,100,145.6300,104.0000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260717,22500,196,465,275,73,8,3,MCR000100,101,147.0000,105.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260617,29580,359,300,255,295,7,2,MCR000101,102,148.3700,106.0000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260821,33300,99,271,293,-1,5,5,MCR000102,103,149.7400,107.0000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260715,78780,117,135,28,212,8,2,MCR000103,104,151.1100,108.0000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260606,43800,122,109,124,232,3,2,MCR000104,105,152.4800,109.0000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260623,73080,207,6,33,164,1,3,MCR000105,106,153.8500,110.0000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260713,45540,420,315,283,38,6,6,MCR000106,107,155.2200,111.0000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260822,66240,265,378,57,163,9,5,MCR000107,108,156.5900,112.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260727,58140,345,295,309,22,3,7,MCR000108,109,157.9600,113.0000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260712,73200,498,399,225,288,1,3,MCR000109,110,159.3300,114.0000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260801,4440,253,326,76,448,7,3,MCR000110,111,160.7000,115.0000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260801,74520,1,48,35,441,8,4,MCR000111,112,162.0700,116.0000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260807,0,96,417,195,182,7,1,MCR000112,113,163.4400,117.0000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260618,68040,379,57,102,280,5,5,MCR000113,114,164.8100,118.0000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260707,20820,187,273,76,122,11,5,MCR000114,115,166.1800,119.0000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260722,77580,465,226,277,104,12,5,MCR000115,116,167.5500,120.0000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260821,5700,494,198,115,185,8,2,MCR000116,117,168.9200,121.0000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260805,1560,426,116,10,58,10,2,MCR000117,118,170.2900,122.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260610,33420,492,42,38,278,2,1,MCR000118,119,171.6600,123.0000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260704,48180,147,433,293,-1,4,1,MCR000119,120,173.0300,124.0000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260625,73920,294,207,158,482,1,7,MCR000120,121,174.4000,125.0000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260605,13320,197,499,210,234,10,4,MCR000121,122,175.7700,126.0000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260622,12960,486,270,117,484,9,4,MCR000122,123,177.1400,127.0000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260811,61860,117,99,217,207,7,7,MCR000123,124,178.5100,128.0000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260806,43860,73,259,113,435,4,3,MCR000124,125,179.8800,129.0000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260724,81000,174,94,157,147,12,3,MCR000125,126,181.2500,130.0000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260624,62760,120,141,71,303,2,4,MCR000126,127,182.6200,131.0000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260725,57840,209,499,334,278,8,4,MCR000127,128,183.9900,132.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260527,69120,69,453,239,299,12,2,MCR000128,129,185.3600,133.0000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260603,38460,404,466,128,464,8,7,MCR000129,130,186.7300,134.0000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260819,60240,483,39,169,277,9,3,MCR000130,131,188.1000,135.0000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260819,53340,454,73,166,419,2,1,MCR000131,132,189.4700,136.0000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260606,31800,240,149,287,97,3,1,MCR000132,133,190.8400,137.0000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260810,80580,184,113,210,262,9,2,MCR000133,134,192.2100,138.0000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260814,66000,414,456,161,494,3,4,MCR000134,135,193.5800,139.0000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260822,48000,495,377,114,172,7,6,MCR000135,136,194.9500,140.0000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260614,77340,347,409,5,-1,11,7,MCR000136,137,196.3200,141.0000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260703,36660,112,59,258,378,12,7,MCR000137,138,197.6900,142.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260812,16980,71,429,282,92,12,1,MCR000138,139,199.0600,143.0000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260731,68580,190,276,133,234,7,7,MCR000139,140,200.4300,144.0000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260820,54900,162,322,162,180,1,2,MCR000140,141,201.8000,145.0000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260621,62580,368,227,139,274,12,7,MCR000141,142,203.1700,146.0000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260819,16800,453,201,289,458,3,2,MCR000142,143,204.5400,147.0000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260613,85800,351,324,297,16,6,2,MCR000143,144,205.9100,148.0000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260811,23700,117,288,200,20,8,4,MCR000144,145,207.2800,149.0000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260627,33360,261,106,43,345,3,3,MCR000145,146,208.6500,150.0000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260609,77760,299,166,205,491,4,2,MCR000146,147,210.0200,151.0000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260729,37680,33,355,252,43,9,6,MCR000147,148,211.3900,152.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260609,41160,432,306,112,393,11,6,MCR000148,149,212.7600,153.0000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260811,9840,120,414,218,380,8,1,MCR000149,150,214.1300,154.0000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260812,23280,311,134,260,497,5,2,MCR000150,151,215.5000,155.0000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260610,51060,57,311,192,97,5,1,MCR000151,152,216.8700,156.0000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260607,52080,254,349,203,426,8,3,MCR000152,153,218.2400,157.0000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260711,69480,128,422,160,-1,3,4,MCR000153,154,219.6100,158.0000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260729,76800,456,47,50,308,7,6,MCR000154,155,220.9800,159.0000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260614,80640,38,445,320,80,10,2,MCR000155,156,222.3500,160.0000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260801,23940,2,141,47,172,12,1,MCR000156,157,223.7200,161.0000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260731,26280,404,246,102,49,9,2,MCR000157,158,225.0900,162.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260815,25620,293,299,41,19,12,7,MCR000158,159,226.4600,163.0000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260719,25320,157,233,224,5,8,6,MCR000159,160,227.8300,164.0000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260622,78000,273,230,332,245,7,3,MCR000160,161,229.2000,165.0000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260722,59940,464,294,215,403,12,2,MCR000161,162,230.5700,166.0000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260620,78300,308,331,312,211,10,7,MCR000162,163,231.9400,167.0000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260603,36660,136,459,344,350,11,5,MCR000163,164,233.3100,168.0000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260529,36720,226,192,337,222,3,2,MCR000164,165,234.6800,169.0000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260725,63540,257,110,4,171,2,6,MCR000165,166,236.0500,170.0000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260820,34320,58,341,281,457,4,1,MCR000166,167,237.4200,171.0000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260819,75960,378,288,55,348,1,3,MCR000167,168,238.7900,172.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260707,86280,38,73,243,45,11,7,MCR000168,169,240.1600,173.0000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260714,81480,350,111,263,257,12,4,MCR000169,170,241.5300,174.0000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260815,74340,500,208,291,-1,12,4,MCR000170,171,242.9000,175.0000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260708,33120,239,280,89,390,7,2,MCR000171,172,244.2700,176.0000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260601,77220,117,262,216,463,10,1,MCR000172,173,245.6400,177.0000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260716,2760,222,55,331,348,10,4,MCR000173,174,247.0100,178.0000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260813,56880,391,102,157,297,7,6,MCR000174,175,248.3800,179.0000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260729,75000,201,131,228,440,7,1,MCR000175,176,249.7500,180.0000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260613,82620,36,1,238,131,8,7,MCR000176,177,251.1200,181.0000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260814,17880,490,468,188,447,11,5,MCR000177,178,252.4900,182.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260619,81660,400,444,210,19,6,5,MCR000178,179,253.8600,183.0000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260725,55560,169,333,131,277,11,4,MCR000179,180,255.2300,184.0000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260530,5580,316,457,347,184,10,3,MCR000180,181,256.6000,185.0000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260618,32940,471,355,339,358,8,6,MCR000181,182,257.9700,186.0000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260725,23340,253,24,268,67,9,1,MCR000182,183,259.3400,187.0000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260818,37200,238,411,202,297,3,3,MCR000183,184,260.7100,188.0000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260820,3480,310,327,293,31,8,5,MCR000184,185,262.0800,189.0000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260722,39660,285,430,149,6,4,3,MCR000185,186,263.4500,190.0000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260802,3060,266,154,177,16,10,6,MCR000186,187,264.8200,191.0000,264.8200,1,1,2026-08-24T00:00:00.000
187,20260715,67260,135,223,266,-1,1,5,MCR000187,188,266.1900,192.0000,266.1900,1,1,2026-08-24T00:00:00.000
188,20260613,16620,146,241,251,67,3,5,MCR000188,189,267.5600,193.0000,267.5600,1,1,2026-08-24T00:00:00.000
189,20260621,70560,171,408,116,417,1,4,MCR000189,190,268.9300,194.0000,268.9300,1,1,2026-08-24T00:00:00.000
190,20260703,18120,189,168,328,24,12,1,MCR000190,191,270.3000,195.0000,270.3000,1,1,2026-08-24T00:00:00.000
191,20260824,7620,456,212,54,98,5,4,MCR000191,192,271.6700,196.0000,271.6700,1,1,2026-08-24T00:00:00.000
192,20260805,76680,278,149,306,352,9,1,MCR000192,193,273.0400,197.0000,273.0400,1,1,2026-08-24T00:00:00.000
193,20260819,22560,346,54,227,388,5,2,MCR000193,194,274.4100,198.0000,274.4100,1,1,2026-08-24T00:00:00.000
194,20260723,51480,73,341,23,5,7,5,MCR000194,195,275.7800,199.0000,275.7800,1,1,2026-08-24T00:00:00.000
195,20260730,81480,142,230,80,8,7,3,MCR000195,196,277.1500,200.0000,277.1500,1,1,2026-08-24T00:00:00.000
196,20260718,2580,6,204,220,17,3,6,MCR000196,197,278.5200,201.0000,278.5200,1,1,2026-08-24T00:00:00.000
197,20260628,38880,163,100,342,129,4,4,MCR000197,198,279.8900,202.0000,279.8900,1,1,2026-08-24T00:00:00.000
198,20260805,65100,230,299,205,238,2,5,MCR000198,199,281.2600,203.0000,281.2600,1,1,2026-08-24T00:00:00.000
199,20260803,21240,249,174,35,285,7,2,MCR000199,200,282.6300,204.0000,282.6300,1,1,2026-08-24T00:00:00.000
200,20260729,29520,200,219,308,325,3,6,MCR000200,201,284.0000,205.0000,284.0000,1,1,2026-08-24T00:00:00.000
201,20260618,24180,461,163,193,58,6,6,MCR000201,202,285.3700,206.0000,285.3700,1,1,2026-08-24T00:00:00.000
202,20260720,7680,230,258,107,492,12,4,MCR000202,203,286.7400,207.0000,286.7400,1,1,2026-08-24T00:00:00.000
203,20260718,38400,137,246,40,487,7,1,MCR000203,204,288.1100,208.0000,288.1100,1,1,2026-08-24T00:00:00.000
204,20260721,69960,277,288,15,-1,9,5,MCR000204,205,289.4800,209.0000,289.4800,1,1,2026-08-24T00:00:00.000
205,20260715,45840,487,227,52,446,1,7,MCR000205,206,290.8500,210.0000,290.8500,1,1,2026-08-24T00:00:00.000
206,20260630,10380,498,1,162,380,8,7,MCR000206,207,292.2200,211.0000,292.2200,1,1,2026-08-24T00:00:00.000
207,20260615,63960,126,147,118,157,12,3,MCR000207,208,293.5900,212.0000,293.5900,1,1,2026-08-24T00:00:00.000
208,20260622,69900,263,52,244,158,5,7,MCR000208,209,294.9600,213.0000,294.9600,1,1,2026-08-24T00:00:00.000
209,20260613,31860,206,12,282,331,1,2,MCR000209,210,296.3300,214.0000,296.3300,1,1,2026-08-24T00:00:00.000
210,20260719,32400,77,406,64,277,11,2,MCR000210,211,297.7000,215.0000,297.7000,1,1,2026-08-24T00:00:00.000
211,20260717,16980,337,121,241,315,12,4,MCR000211,212,299.0700,216.0000,299.0700,1,1,2026-08-24T00:00:00.000
212,20260719,61500,311,140,226,193,7,1,MCR000212,213,300.4400,217.0000,300.4400,1,1,2026-08-24T00:00:00.000
213,20260713,26160,233,81,101,267,1,6,MCR000213,214,301.8100,218.0000,301.8100,1,1,2026-08-24T00:00:00.000
214,20260817,50880,176,236,52,37,10,3,MCR000214,215,303.1800,219.0000,303.1800,1,1,2026-08-24T00:00:00.000
215,20260726,82980,56,427,145,267,4,6,MCR000215,216,304.5500,220.0000,304.5500,1,1,2026-08-24T00:00:00.000
216,20260613,40860,196,255,131,371,5,3,MCR000216,217,305.9200,221.0000,305.9200,1,1,2026-08-24T00:00:00.000
