InventorySafetyStockSnapshotKey,SnapshotDateKey,InventorySafetyStockPolicyKey,ProductKey,PlantKey,InventoryAbcClassKey,UnitOfMeasureKey,OnHandQuantity,SafetyStockQuantity,ShortageQuantity,ShortageValueAmount,SourceSystemKey,BatchId,LoadedAtUtc
24,20260619,116,469,319,4,1,16.9000,16.9000,16.9000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260724,64,416,222,3,7,17.6000,17.6000,17.6000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260609,184,250,234,2,6,18.3000,18.3000,18.3000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260609,388,239,56,1,3,19.0000,19.0000,19.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260706,307,369,192,4,5,19.7000,19.7000,19.7000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260807,192,226,8,2,3,20.4000,20.4000,20.4000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260717,424,73,96,4,7,21.1000,21.1000,21.1000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260608,226,478,106,5,1,21.8000,21.8000,21.8000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260824,132,170,103,4,7,22.5000,22.5000,22.5000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260824,166,447,199,2,4,23.2000,23.2000,23.2000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260811,153,54,39,2,7,23.9000,23.9000,23.9000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260719,52,396,223,5,1,24.6000,24.6000,24.6000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260628,237,102,222,1,7,25.3000,25.3000,25.3000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260613,208,43,244,5,2,26.0000,26.0000,26.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260626,471,176,196,5,6,26.7000,26.7000,26.7000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260813,129,55,176,1,1,27.4000,27.4000,27.4000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260708,121,256,121,5,3,28.1000,28.1000,28.1000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260527,173,475,118,1,3,28.8000,28.8000,28.8000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260531,360,41,320,2,6,29.5000,29.5000,29.5000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260715,46,72,336,4,4,30.2000,30.2000,30.2000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260628,5,392,171,4,3,30.9000,30.9000,30.9000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260712,409,158,29,2,2,31.6000,31.6000,31.6000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260629,324,344,154,2,4,32.3000,32.3000,32.3000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260814,479,408,180,4,2,33.0000,33.0000,33.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260603,395,476,62,3,5,33.7000,33.7000,33.7000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260714,170,221,5,1,4,34.4000,34.4000,34.4000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260619,499,431,66,5,5,35.1000,35.1000,35.1000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260821,268,397,294,5,4,35.8000,35.8000,35.8000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260629,445,103,154,2,7,36.5000,36.5000,36.5000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260823,165,329,169,4,5,37.2000,37.2000,37.2000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260615,118,351,181,1,7,37.9000,37.9000,37.9000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260719,336,385,33,2,5,38.6000,38.6000,38.6000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260708,229,144,309,1,5,39.3000,39.3000,39.3000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260718,349,97,206,3,1,40.0000,40.0000,40.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260706,89,495,195,5,7,40.7000,40.7000,40.7000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260606,282,11,16,4,2,41.4000,41.4000,41.4000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260611,215,120,13,1,4,42.1000,42.1000,42.1000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260807,296,463,346,1,4,42.8000,42.8000,42.8000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260707,380,379,31,3,7,43.5000,43.5000,43.5000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260819,278,405,309,5,5,44.2000,44.2000,44.2000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260608,299,73,203,1,1,44.9000,44.9000,44.9000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260724,105,80,55,3,1,45.6000,45.6000,45.6000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260609,326,309,23,3,3,46.3000,46.3000,46.3000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260623,336,181,166,3,7,47.0000,47.0000,47.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260728,246,228,87,3,7,47.7000,47.7000,47.7000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260629,446,357,52,2,6,48.4000,48.4000,48.4000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260712,494,76,56,4,5,49.1000,49.1000,49.1000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260804,113,226,65,2,2,49.8000,49.8000,49.8000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260802,283,169,98,3,1,50.5000,50.5000,50.5000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260818,104,164,14,4,4,51.2000,51.2000,51.2000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260528,196,494,288,5,5,51.9000,51.9000,51.9000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260616,165,333,139,1,5,52.6000,52.6000,52.6000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260723,20,394,249,5,6,53.3000,53.3000,53.3000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260727,479,242,107,1,6,54.0000,54.0000,54.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260711,53,330,247,2,4,54.7000,54.7000,54.7000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260610,486,465,93,4,5,55.4000,55.4000,55.4000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260611,289,21,254,1,5,56.1000,56.1000,56.1000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260822,394,112,52,2,1,56.8000,56.8000,56.8000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260815,146,185,218,5,1,57.5000,57.5000,57.5000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260721,499,65,144,1,2,58.2000,58.2000,58.2000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260621,158,186,279,2,7,58.9000,58.9000,58.9000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260610,365,200,197,4,7,59.6000,59.6000,59.6000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260731,125,66,264,4,4,60.3000,60.3000,60.3000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260704,430,463,144,4,1,61.0000,61.0000,61.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260605,453,397,275,2,1,61.7000,61.7000,61.7000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260530,81,462,291,1,4,62.4000,62.4000,62.4000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260622,227,100,174,2,2,63.1000,63.1000,63.1000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260803,27,201,25,1,1,63.8000,63.8000,63.8000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260808,302,6,223,5,5,64.5000,64.5000,64.5000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260819,374,184,278,1,3,65.2000,65.2000,65.2000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260531,50,401,163,1,4,65.9000,65.9000,65.9000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260710,141,323,300,5,3,66.6000,66.6000,66.6000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260817,470,429,293,4,4,67.3000,67.3000,67.3000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260730,118,246,242,3,5,68.0000,68.0000,68.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260615,106,233,212,5,4,68.7000,68.7000,68.7000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260705,197,267,123,3,3,69.4000,69.4000,69.4000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260705,464,187,123,4,7,70.1000,70.1000,70.1000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260822,167,155,314,4,4,70.8000,70.8000,70.8000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260719,320,4,328,4,3,71.5000,71.5000,71.5000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260809,331,287,101,3,7,72.2000,72.2000,72.2000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260605,15,11,304,1,6,72.9000,72.9000,72.9000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260617,219,360,192,2,5,73.6000,73.6000,73.6000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260628,145,52,101,3,4,74.3000,74.3000,74.3000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260626,399,430,16,2,5,75.0000,75.0000,75.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260822,451,471,40,4,1,75.7000,75.7000,75.7000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260617,422,144,272,2,2,76.4000,76.4000,76.4000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260722,81,247,235,2,2,77.1000,77.1000,77.1000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260608,35,221,233,3,1,77.8000,77.8000,77.8000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260604,237,393,300,4,7,78.5000,78.5000,78.5000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260714,469,105,60,2,4,79.2000,79.2000,79.2000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260725,29,408,18,1,3,79.9000,79.9000,79.9000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260818,380,28,256,3,3,80.6000,80.6000,80.6000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260713,482,141,171,5,6,81.3000,81.3000,81.3000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260704,433,296,170,5,2,82.0000,82.0000,82.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260811,491,372,75,2,2,82.7000,82.7000,82.7000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260606,195,309,319,5,3,83.4000,83.4000,83.4000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260528,490,117,311,3,6,84.1000,84.1000,84.1000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260804,29,62,72,3,4,84.8000,84.8000,84.8000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260823,481,490,294,3,7,85.5000,85.5000,85.5000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260614,309,202,37,1,3,86.2000,86.2000,86.2000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260611,483,150,47,1,7,86.9000,86.9000,86.9000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260705,79,345,222,1,5,87.6000,87.6000,87.6000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260719,140,279,314,3,3,88.3000,88.3000,88.3000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260615,245,55,334,3,5,89.0000,89.0000,89.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260628,145,177,285,5,6,89.7000,89.7000,89.7000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260728,460,67,230,4,7,90.4000,90.4000,90.4000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260812,166,110,97,1,7,91.1000,91.1000,91.1000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260625,243,322,31,5,5,91.8000,91.8000,91.8000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260701,384,467,310,2,6,92.5000,92.5000,92.5000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260810,58,464,217,1,6,93.2000,93.2000,93.2000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260628,50,419,227,2,3,93.9000,93.9000,93.9000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260623,150,393,277,3,3,94.6000,94.6000,94.6000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260705,193,297,105,3,4,95.3000,95.3000,95.3000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260718,93,182,314,2,2,96.0000,96.0000,96.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260710,345,339,56,4,5,96.7000,96.7000,96.7000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260816,124,101,191,1,7,97.4000,97.4000,97.4000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260612,415,208,340,5,4,98.1000,98.1000,98.1000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260607,444,257,121,2,7,98.8000,98.8000,98.8000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260810,100,242,185,3,4,99.5000,99.5000,99.5000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260711,419,212,247,3,3,100.2000,100.2000,100.2000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260803,353,433,96,1,4,100.9000,100.9000,100.9000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260628,470,437,228,1,3,101.6000,101.6000,101.6000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260621,391,314,229,3,4,102.3000,102.3000,102.3000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260607,427,261,316,4,6,103.0000,103.0000,103.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260803,149,333,154,5,1,103.7000,103.7000,103.7000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260707,401,157,84,2,7,104.4000,104.4000,104.4000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260618,240,40,243,4,3,105.1000,105.1000,105.1000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260623,171,1,20,3,5,105.8000,105.8000,105.8000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260809,50,117,143,4,3,106.5000,106.5000,106.5000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260714,198,291,76,5,7,107.2000,107.2000,107.2000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260619,370,26,257,2,7,107.9000,107.9000,107.9000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260709,73,151,153,4,7,108.6000,108.6000,108.6000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260609,73,195,290,3,5,109.3000,109.3000,109.3000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260703,488,212,350,4,3,110.0000,110.0000,110.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260728,395,355,258,2,2,110.7000,110.7000,110.7000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260607,403,484,124,3,6,111.4000,111.4000,111.4000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260708,280,84,271,1,7,112.1000,112.1000,112.1000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260821,460,356,215,2,4,112.8000,112.8000,112.8000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260717,243,373,13,2,2,113.5000,113.5000,113.5000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260804,424,490,248,3,6,114.2000,114.2000,114.2000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260806,29,89,178,5,7,114.9000,114.9000,114.9000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260807,89,408,225,3,5,115.6000,115.6000,115.6000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260721,12,474,40,5,1,116.3000,116.3000,116.3000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260717,346,82,166,2,7,117.0000,117.0000,117.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260624,25,67,156,4,1,117.7000,117.7000,117.7000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260714,192,457,40,1,6,118.4000,118.4000,118.4000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260527,215,298,77,4,6,119.1000,119.1000,119.1000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260709,306,169,163,4,7,119.8000,119.8000,119.8000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260814,328,459,322,3,3,120.5000,120.5000,120.5000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260626,376,109,36,5,3,121.2000,121.2000,121.2000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260529,48,320,95,4,7,121.9000,121.9000,121.9000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260531,265,250,25,5,5,122.6000,122.6000,122.6000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260807,407,325,151,1,2,123.3000,123.3000,123.3000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260701,433,420,183,3,5,124.0000,124.0000,124.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260809,430,141,303,3,6,124.7000,124.7000,124.7000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260619,281,437,180,1,1,125.4000,125.4000,125.4000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260604,415,347,245,2,3,126.1000,126.1000,126.1000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260724,357,305,101,1,5,126.8000,126.8000,126.8000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260804,104,475,118,5,6,127.5000,127.5000,127.5000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260713,91,256,228,2,4,128.2000,128.2000,128.2000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260606,245,13,121,2,6,128.9000,128.9000,128.9000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260707,305,404,280,3,1,129.6000,129.6000,129.6000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260630,28,185,39,3,1,130.3000,130.3000,130.3000,264.8200,1,1,2026-08-24T00:00:00.000
187,20260624,66,26,190,3,6,131.0000,131.0000,131.0000,266.1900,1,1,2026-08-24T00:00:00.000
188,20260813,251,202,290,5,5,131.7000,131.7000,131.7000,267.5600,1,1,2026-08-24T00:00:00.000
189,20260528,162,241,240,2,5,132.4000,132.4000,132.4000,268.9300,1,1,2026-08-24T00:00:00.000
190,20260611,272,67,128,3,7,133.1000,133.1000,133.1000,270.3000,1,1,2026-08-24T00:00:00.000
191,20260713,330,188,113,5,5,133.8000,133.8000,133.8000,271.6700,1,1,2026-08-24T00:00:00.000
192,20260729,47,423,13,1,3,134.5000,134.5000,134.5000,273.0400,1,1,2026-08-24T00:00:00.000
193,20260710,466,375,313,4,4,135.2000,135.2000,135.2000,274.4100,1,1,2026-08-24T00:00:00.000
194,20260605,482,459,115,3,3,135.9000,135.9000,135.9000,275.7800,1,1,2026-08-24T00:00:00.000
195,20260625,246,314,212,5,5,136.6000,136.6000,136.6000,277.1500,1,1,2026-08-24T00:00:00.000
196,20260703,11,205,28,1,4,137.3000,137.3000,137.3000,278.5200,1,1,2026-08-24T00:00:00.000
197,20260730,35,392,328,4,7,138.0000,138.0000,138.0000,279.8900,1,1,2026-08-24T00:00:00.000
198,20260617,365,398,122,3,2,138.7000,138.7000,138.7000,281.2600,1,1,2026-08-24T00:00:00.000
199,20260618,117,347,45,3,7,139.4000,139.4000,139.4000,282.6300,1,1,2026-08-24T00:00:00.000
200,20260616,119,47,76,4,5,140.1000,140.1000,140.1000,284.0000,1,1,2026-08-24T00:00:00.000
201,20260702,449,169,248,5,5,140.8000,140.8000,140.8000,285.3700,1,1,2026-08-24T00:00:00.000
202,20260720,110,321,256,4,2,141.5000,141.5000,141.5000,286.7400,1,1,2026-08-24T00:00:00.000
203,20260817,358,48,296,4,1,142.2000,142.2000,142.2000,288.1100,1,1,2026-08-24T00:00:00.000
204,20260619,126,116,348,3,2,142.9000,142.9000,142.9000,289.4800,1,1,2026-08-24T00:00:00.000
205,20260706,256,100,75,4,6,143.6000,143.6000,143.6000,290.8500,1,1,2026-08-24T00:00:00.000
206,20260531,117,18,55,5,7,144.3000,144.3000,144.3000,292.2200,1,1,2026-08-24T00:00:00.000
207,20260529,56,48,292,1,5,145.0000,145.0000,145.0000,293.5900,1,1,2026-08-24T00:00:00.000
208,20260628,42,34,188,1,6,145.7000,145.7000,145.7000,294.9600,1,1,2026-08-24T00:00:00.000
209,20260731,494,436,344,3,6,146.4000,146.4000,146.4000,296.3300,1,1,2026-08-24T00:00:00.000
210,20260819,255,226,225,3,3,147.1000,147.1000,147.1000,297.7000,1,1,2026-08-24T00:00:00.000
211,20260822,197,269,90,2,2,147.8000,147.8000,147.8000,299.0700,1,1,2026-08-24T00:00:00.000
212,20260710,210,187,23,4,6,148.5000,148.5000,148.5000,300.4400,1,1,2026-08-24T00:00:00.000
213,20260604,17,427,22,4,6,149.2000,149.2000,149.2000,301.8100,1,1,2026-08-24T00:00:00.000
214,20260604,427,297,322,3,2,149.9000,149.9000,149.9000,303.1800,1,1,2026-08-24T00:00:00.000
215,20260621,60,34,287,5,1,150.6000,150.6000,150.6000,304.5500,1,1,2026-08-24T00:00:00.000
216,20260529,253,18,163,4,7,151.3000,151.3000,151.3000,305.9200,1,1,2026-08-24T00:00:00.000
217,20260601,1,39,55,5,4,152.0000,152.0000,152.0000,307.2900,1,1,2026-08-24T00:00:00.000
218,20260706,253,105,212,4,3,152.7000,152.7000,152.7000,308.6600,1,1,2026-08-24T00:00:00.000
219,20260816,194,340,219,5,5,153.4000,153.4000,153.4000,310.0300,1,1,2026-08-24T00:00:00.000
220,20260717,425,237,220,5,2,154.1000,154.1000,154.1000,311.4000,1,1,2026-08-24T00:00:00.000
221,20260717,383,320,244,4,4,154.8000,154.8000,154.8000,312.7700,1,1,2026-08-24T00:00:00.000
222,20260616,15,29,111,5,4,155.5000,155.5000,155.5000,314.1400,1,1,2026-08-24T00:00:00.000
223,20260719,36,363,73,4,4,156.2000,156.2000,156.2000,315.5100,1,1,2026-08-24T00:00:00.000
224,20260626,224,427,212,4,6,156.9000,156.9000,156.9000,316.8800,1,1,2026-08-24T00:00:00.000
225,20260629,486,302,80,5,4,157.6000,157.6000,157.6000,318.2500,1,1,2026-08-24T00:00:00.000
226,20260618,383,411,27,1,2,158.3000,158.3000,158.3000,319.6200,1,1,2026-08-24T00:00:00.000
227,20260617,470,428,326,1,5,159.0000,159.0000,159.0000,320.9900,1,1,2026-08-24T00:00:00.000
228,20260617,423,22,337,5,6,159.7000,159.7000,159.7000,322.3600,1,1,2026-08-24T00:00:00.000
229,20260815,102,382,199,4,5,160.4000,160.4000,160.4000,323.7300,1,1,2026-08-24T00:00:00.000
230,20260819,351,96,63,5,5,161.1000,161.1000,161.1000,325.1000,1,1,2026-08-24T00:00:00.000
231,20260729,209,165,200,5,1,161.8000,161.8000,161.8000,326.4700,1,1,2026-08-24T00:00:00.000
232,20260617,452,411,201,5,3,162.5000,162.5000,162.5000,327.8400,1,1,2026-08-24T00:00:00.000
233,20260527,261,38,55,5,2,163.2000,163.2000,163.2000,329.2100,1,1,2026-08-24T00:00:00.000
234,20260726,104,484,133,3,6,163.9000,163.9000,163.9000,330.5800,1,1,2026-08-24T00:00:00.000
235,20260805,158,291,285,1,5,164.6000,164.6000,164.6000,331.9500,1,1,2026-08-24T00:00:00.000
236,20260609,207,155,227,5,2,165.3000,165.3000,165.3000,333.3200,1,1,2026-08-24T00:00:00.000
237,20260708,270,101,6,4,7,166.0000,166.0000,166.0000,334.6900,1,1,2026-08-24T00:00:00.000
238,20260711,291,94,143,2,5,166.7000,166.7000,166.7000,336.0600,1,1,2026-08-24T00:00:00.000
239,20260707,5,48,287,1,5,167.4000,167.4000,167.4000,337.4300,1,1,2026-08-24T00:00:00.000
240,20260615,70,391,182,2,2,168.1000,168.1000,168.1000,338.8000,1,1,2026-08-24T00:00:00.000
241,20260610,416,76,107,2,1,168.8000,168.8000,168.8000,340.1700,1,1,2026-08-24T00:00:00.000
242,20260806,469,399,160,3,7,169.5000,169.5000,169.5000,341.5400,1,1,2026-08-24T00:00:00.000
243,20260628,396,156,70,3,7,170.2000,170.2000,170.2000,342.9100,1,1,2026-08-24T00:00:00.000
244,20260720,151,435,182,2,2,170.9000,170.9000,170.9000,344.2800,1,1,2026-08-24T00:00:00.000
245,20260614,259,496,2,4,5,171.6000,171.6000,171.6000,345.6500,1,1,2026-08-24T00:00:00.000
246,20260603,110,245,22,5,3,172.3000,172.3000,172.3000,347.0200,1,1,2026-08-24T00:00:00.000
247,20260822,355,76,247,2,4,173.0000,173.0000,173.0000,348.3900,1,1,2026-08-24T00:00:00.000
248,20260719,225,51,199,1,4,173.7000,173.7000,173.7000,349.7600,1,1,2026-08-24T00:00:00.000
249,20260806,314,235,143,1,2,174.4000,174.4000,174.4000,351.1300,1,1,2026-08-24T00:00:00.000
