MaintenanceSparePartUsageKey,MovementDateKey,MovementTimeOfDayKey,MaintenanceWorkOrderKey,MaintenanceSparePartKey,AssetKey,PlantKey,CostCenterKey,UnitOfMeasureKey,TransactionTypeKey,MaterialDocumentNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
40,20260713,77220,427,478,208,264,138,4,1,MSPU000040,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260723,10800,422,314,387,47,4,5,2,MSPU000041,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260710,79800,114,148,111,347,155,1,4,MSPU000042,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260803,67200,298,394,370,124,159,6,4,MSPU000043,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260607,7860,465,312,218,187,286,3,4,MSPU000044,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260803,11220,346,400,467,166,50,4,1,MSPU000045,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260817,12720,181,160,304,82,53,2,2,MSPU000046,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260706,44580,209,28,178,214,331,7,2,MSPU000047,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260823,71340,403,279,144,162,114,3,3,MSPU000048,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260618,81360,461,373,263,130,57,6,3,MSPU000049,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260824,57900,364,238,11,37,194,1,2,MSPU000050,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260602,68220,491,211,175,199,80,6,3,MSPU000051,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260530,86280,11,187,480,232,113,1,4,MSPU000052,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260817,2880,271,122,226,297,275,3,2,MSPU000053,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260813,5340,13,416,204,68,93,2,3,MSPU000054,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260714,22920,106,23,88,319,217,5,3,MSPU000055,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260601,61140,65,404,402,225,43,5,2,MSPU000056,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260615,57480,104,101,402,246,467,1,4,MSPU000057,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260607,44940,294,403,80,75,444,2,3,MSPU000058,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260806,66900,78,56,174,25,162,3,3,MSPU000059,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260718,48360,314,257,220,172,73,3,1,MSPU000060,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260814,74220,451,47,353,172,441,2,2,MSPU000061,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260720,28320,76,10,197,12,428,2,1,MSPU000062,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260715,74040,348,361,240,57,145,6,2,MSPU000063,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260625,51840,185,77,449,68,113,7,1,MSPU000064,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260819,18240,402,404,396,90,273,7,2,MSPU000065,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260531,4680,218,20,2,258,356,6,3,MSPU000066,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260802,22680,236,251,202,124,473,2,1,MSPU000067,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260609,28380,386,445,4,232,133,6,2,MSPU000068,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260704,19440,300,499,153,209,427,2,3,MSPU000069,70,104.5300,74.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260616,72540,432,312,421,348,128,2,3,MSPU000070,71,105.9000,75.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260719,21840,331,271,105,173,369,5,3,MSPU000071,72,107.2700,76.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260725,53280,397,494,48,294,300,5,2,MSPU000072,73,108.6400,77.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260614,76500,20,247,323,179,270,3,1,MSPU000073,74,110.0100,78.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260812,7440,399,353,451,78,403,1,4,MSPU000074,75,111.3800,79.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260628,51480,369,210,482,167,178,6,4,MSPU000075,76,112.7500,80.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260821,6720,338,286,80,13,139,4,4,MSPU000076,77,114.1200,81.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260712,38340,116,313,118,281,114,6,1,MSPU000077,78,115.4900,82.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260604,3780,157,110,182,331,111,2,3,MSPU000078,79,116.8600,83.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260608,71460,225,258,397,149,325,5,1,MSPU000079,80,118.2300,84.0000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260712,69780,105,99,153,13,323,5,3,MSPU000080,81,119.6000,85.0000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260823,6060,239,69,2,276,295,6,3,MSPU000081,82,120.9700,86.0000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260605,58080,21,229,379,194,229,6,4,MSPU000082,83,122.3400,87.0000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260716,63300,403,72,390,72,212,6,2,MSPU000083,84,123.7100,88.0000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260802,44040,495,291,60,42,429,5,3,MSPU000084,85,125.0800,89.0000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260604,36780,491,57,286,272,228,6,2,MSPU000085,86,126.4500,90.0000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260810,27900,67,243,68,81,44,1,4,MSPU000086,87,127.8200,91.0000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260704,70800,139,82,253,314,466,6,1,MSPU000087,88,129.1900,92.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260620,34800,14,220,405,175,315,4,4,MSPU000088,89,130.5600,93.0000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260723,51420,147,253,280,176,273,1,3,MSPU000089,90,131.9300,94.0000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260611,53280,29,95,343,109,477,6,2,MSPU000090,91,133.3000,95.0000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260709,52140,239,465,302,137,221,7,4,MSPU000091,92,134.6700,96.0000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260614,81300,329,328,39,284,304,5,4,MSPU000092,93,136.0400,97.0000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260602,50700,342,330,393,132,72,2,3,MSPU000093,94,137.4100,98.0000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260618,6900,455,43,111,12,126,7,1,MSPU000094,95,138.7800,99.0000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260815,15960,317,207,196,56,162,3,3,MSPU000095,96,140.1500,100.0000,140.1500,1,1,2026-08-24T00:00:00.000
