ProductionRunYieldKey,StartDateKey,FinishDateKey,StartTimeOfDayKey,FinishTimeOfDayKey,ProductionRunKey,ProductionLotKey,ProductKey,PlantKey,WorkCenterKey,ProductionRunTypeKey,UnitOfMeasureKey,RunTicketNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
68,20260614,20260807,80880,74520,291,149,495,26,217,4,6,PRY000068,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260612,20260620,82620,20400,6,427,446,61,34,6,6,PRY000069,70,104.5300,74.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260601,20260719,51300,59580,386,234,116,291,181,4,6,PRY000070,71,105.9000,75.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260711,20260716,43020,41460,116,380,376,280,234,4,6,PRY000071,72,107.2700,76.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260814,20260701,61380,71700,408,154,350,290,129,9,1,PRY000072,73,108.6400,77.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260803,20260603,25980,77460,420,99,483,3,87,8,2,PRY000073,74,110.0100,78.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260723,20260814,66360,13320,320,163,27,165,112,9,3,PRY000074,75,111.3800,79.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260701,20260708,27480,49320,345,149,36,327,259,7,5,PRY000075,76,112.7500,80.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260723,20260717,61380,68820,44,366,326,295,300,7,7,PRY000076,77,114.1200,81.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260620,20260611,84120,85560,126,360,166,188,449,10,1,PRY000077,78,115.4900,82.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260817,20260601,33840,59520,65,308,338,198,246,2,7,PRY000078,79,116.8600,83.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260528,20260816,56880,30600,305,212,181,251,86,6,2,PRY000079,80,118.2300,84.0000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260531,20260625,50520,25680,461,176,144,154,426,3,7,PRY000080,81,119.6000,85.0000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260603,20260708,12300,73920,274,233,220,343,344,9,3,PRY000081,82,120.9700,86.0000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260710,20260823,27660,21600,150,20,422,75,393,6,6,PRY000082,83,122.3400,87.0000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260805,20260805,14040,22380,44,470,468,86,436,1,2,PRY000083,84,123.7100,88.0000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260707,20260726,70800,25320,62,238,449,118,338,8,7,PRY000084,85,125.0800,89.0000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260711,20260708,83280,28200,499,178,432,188,353,2,3,PRY000085,86,126.4500,90.0000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260530,20260819,67020,85860,407,99,79,301,379,3,5,PRY000086,87,127.8200,91.0000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260527,20260821,22560,82320,306,235,188,26,145,3,2,PRY000087,88,129.1900,92.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260628,20260629,12660,48180,226,225,402,107,22,2,5,PRY000088,89,130.5600,93.0000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260821,20260714,2160,7440,496,21,249,5,418,8,2,PRY000089,90,131.9300,94.0000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260716,20260805,78720,53820,158,142,77,13,3,9,7,PRY000090,91,133.3000,95.0000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260821,20260704,10800,34920,56,298,350,140,23,5,3,PRY000091,92,134.6700,96.0000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260721,20260712,21660,35040,265,392,115,58,478,12,4,PRY000092,93,136.0400,97.0000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260702,20260718,81600,50460,346,227,47,104,290,8,5,PRY000093,94,137.4100,98.0000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260622,20260527,59640,17100,224,90,199,224,165,1,4,PRY000094,95,138.7800,99.0000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260531,20260812,79260,39780,373,188,493,75,416,11,1,PRY000095,96,140.1500,100.0000,140.1500,1,1,2026-08-24T00:00:00.000
