InventoryMovementKey,PostingDateKey,DocumentDateKey,ExpirationDateKey,PostingTimeOfDayKey,ProductKey,PlantKey,InventoryBinKey,InventoryLotKey,InventorySerialNumberKey,InventoryContainerKey,PostedByEmployeeKey,InventoryMovementTypeKey,InventoryStockStatusKey,UnitOfMeasureKey,AdjustmentReasonKey,InventoryDocumentNumber,InventoryDocumentLineNumber,MovementQuantity,MovementValueAmount,WeightKg,SourceSystemKey,BatchId,LoadedAtUtc
67,20260719,20260617,20260624,53520,55,124,277,135,444,112,263,15,3,1,4,IM000067,67,47.0000,101.7900,68.0000,1,1,2026-08-24T00:00:00.000
68,20260816,20260729,20260605,20880,79,221,416,-1,-1,-1,-1,15,4,6,-1,IM000068,68,47.7000,103.1600,69.0000,1,1,2026-08-24T00:00:00.000
69,20260816,20260616,20260822,41640,8,266,133,219,204,289,449,6,10,2,1,IM000069,69,48.4000,104.5300,70.0000,1,1,2026-08-24T00:00:00.000
70,20260710,20260810,20260622,51360,407,317,136,486,263,441,433,10,4,2,1,IM000070,70,49.1000,105.9000,71.0000,1,1,2026-08-24T00:00:00.000
71,20260821,20260701,20260711,43620,15,257,302,497,394,256,423,14,10,6,1,IM000071,71,49.8000,107.2700,72.0000,1,1,2026-08-24T00:00:00.000
72,20260715,20260616,20260717,10320,299,49,449,430,176,243,376,14,4,5,1,IM000072,72,50.5000,108.6400,73.0000,1,1,2026-08-24T00:00:00.000
73,20260627,20260818,20260715,42960,228,75,236,286,139,473,313,5,5,2,1,IM000073,73,51.2000,110.0100,74.0000,1,1,2026-08-24T00:00:00.000
74,20260701,20260615,20260818,36660,55,82,443,403,440,26,219,6,3,1,2,IM000074,74,51.9000,111.3800,75.0000,1,1,2026-08-24T00:00:00.000
75,20260730,20260815,20260705,69660,103,231,494,301,237,187,118,2,8,5,3,IM000075,75,52.6000,112.7500,76.0000,1,1,2026-08-24T00:00:00.000
76,20260614,20260530,20260606,61440,460,15,317,398,254,373,108,1,8,7,3,IM000076,76,53.3000,114.1200,77.0000,1,1,2026-08-24T00:00:00.000
77,20260613,20260603,20260721,3180,325,288,38,216,379,93,387,15,8,1,3,IM000077,77,54.0000,115.4900,78.0000,1,1,2026-08-24T00:00:00.000
78,20260803,20260801,20260805,26820,45,148,41,239,170,458,275,5,6,4,4,IM000078,78,54.7000,116.8600,79.0000,1,1,2026-08-24T00:00:00.000
79,20260804,20260824,20260721,65160,50,208,15,57,418,476,169,16,8,7,2,IM000079,79,55.4000,118.2300,80.0000,1,1,2026-08-24T00:00:00.000
80,20260704,20260727,20260713,63120,409,54,96,434,116,352,280,8,8,2,1,IM000080,80,56.1000,119.6000,81.0000,1,1,2026-08-24T00:00:00.000
81,20260818,20260626,20260708,43920,443,245,115,19,165,441,326,16,1,6,4,IM000081,81,56.8000,120.9700,82.0000,1,1,2026-08-24T00:00:00.000
82,20260809,20260816,20260721,51300,72,32,316,209,187,369,299,9,2,1,3,IM000082,82,57.5000,122.3400,83.0000,1,1,2026-08-24T00:00:00.000
83,20260724,20260820,20260710,67260,142,253,180,357,482,137,269,9,10,6,4,IM000083,83,58.2000,123.7100,84.0000,1,1,2026-08-24T00:00:00.000
84,20260704,20260708,20260731,55740,125,171,405,222,60,34,10,7,8,2,2,IM000084,84,58.9000,125.0800,85.0000,1,1,2026-08-24T00:00:00.000
85,20260530,20260801,20260602,20280,261,219,352,-1,-1,-1,-1,12,4,7,-1,IM000085,85,59.6000,126.4500,86.0000,1,1,2026-08-24T00:00:00.000
86,20260810,20260722,20260601,6480,438,11,122,176,359,245,245,6,6,1,1,IM000086,86,60.3000,127.8200,87.0000,1,1,2026-08-24T00:00:00.000
87,20260808,20260804,20260718,8100,83,246,320,50,61,157,198,4,5,4,3,IM000087,87,61.0000,129.1900,88.0000,1,1,2026-08-24T00:00:00.000
88,20260807,20260702,20260722,2100,457,249,191,453,307,96,427,16,4,1,1,IM000088,88,61.7000,130.5600,89.0000,1,1,2026-08-24T00:00:00.000
89,20260528,20260527,20260707,85920,96,116,287,466,35,465,134,13,1,7,1,IM000089,89,62.4000,131.9300,90.0000,1,1,2026-08-24T00:00:00.000
90,20260602,20260619,20260604,23400,461,313,337,416,266,132,120,12,3,5,2,IM000090,90,63.1000,133.3000,91.0000,1,1,2026-08-24T00:00:00.000
91,20260824,20260729,20260729,35640,61,8,435,480,152,39,482,4,6,5,4,IM000091,91,63.8000,134.6700,92.0000,1,1,2026-08-24T00:00:00.000
92,20260710,20260721,20260626,7140,298,302,313,283,433,363,7,11,5,5,3,IM000092,92,64.5000,136.0400,93.0000,1,1,2026-08-24T00:00:00.000
93,20260822,20260818,20260708,38340,328,218,246,190,150,172,190,14,8,7,2,IM000093,93,65.2000,137.4100,94.0000,1,1,2026-08-24T00:00:00.000
94,20260530,20260607,20260722,54300,448,51,223,10,142,308,433,11,3,2,2,IM000094,94,65.9000,138.7800,95.0000,1,1,2026-08-24T00:00:00.000
95,20260703,20260815,20260601,16620,154,192,451,250,419,4,471,1,3,5,3,IM000095,95,66.6000,140.1500,96.0000,1,1,2026-08-24T00:00:00.000
96,20260608,20260530,20260705,81840,80,72,479,318,278,133,460,6,6,2,1,IM000096,96,67.3000,141.5200,97.0000,1,1,2026-08-24T00:00:00.000
97,20260705,20260720,20260801,24060,400,90,119,417,343,184,359,13,1,7,3,IM000097,97,68.0000,142.8900,98.0000,1,1,2026-08-24T00:00:00.000
98,20260601,20260823,20260630,23760,38,35,211,66,22,376,166,8,9,5,1,IM000098,98,68.7000,144.2600,99.0000,1,1,2026-08-24T00:00:00.000
99,20260710,20260725,20260713,70140,15,290,48,366,330,8,482,4,8,7,3,IM000099,99,69.4000,145.6300,100.0000,1,1,2026-08-24T00:00:00.000
100,20260725,20260604,20260816,46680,124,202,132,113,215,342,259,5,5,7,3,IM000100,100,70.1000,147.0000,101.0000,1,1,2026-08-24T00:00:00.000
101,20260801,20260614,20260805,64020,440,144,330,484,218,376,278,4,10,7,1,IM000101,101,70.8000,148.3700,102.0000,1,1,2026-08-24T00:00:00.000
102,20260603,20260617,20260618,31080,3,261,55,-1,-1,-1,-1,7,9,5,-1,IM000102,102,71.5000,149.7400,103.0000,1,1,2026-08-24T00:00:00.000
103,20260608,20260717,20260706,29340,163,71,27,49,350,236,493,13,10,1,3,IM000103,103,72.2000,151.1100,104.0000,1,1,2026-08-24T00:00:00.000
104,20260714,20260530,20260715,11220,126,175,218,152,144,348,375,16,1,1,3,IM000104,104,72.9000,152.4800,105.0000,1,1,2026-08-24T00:00:00.000
105,20260820,20260616,20260620,63300,265,99,192,289,136,216,179,7,4,5,1,IM000105,105,73.6000,153.8500,106.0000,1,1,2026-08-24T00:00:00.000
106,20260606,20260821,20260531,71820,393,111,486,233,65,157,32,3,3,3,3,IM000106,106,74.3000,155.2200,107.0000,1,1,2026-08-24T00:00:00.000
107,20260615,20260719,20260712,29880,133,254,441,208,344,375,41,7,6,6,3,IM000107,107,75.0000,156.5900,108.0000,1,1,2026-08-24T00:00:00.000
108,20260621,20260815,20260815,84960,417,154,145,302,278,146,483,5,6,1,2,IM000108,108,75.7000,157.9600,109.0000,1,1,2026-08-24T00:00:00.000
109,20260716,20260715,20260716,70680,252,52,140,230,34,59,339,8,8,5,1,IM000109,109,76.4000,159.3300,110.0000,1,1,2026-08-24T00:00:00.000
110,20260615,20260718,20260603,30300,241,121,179,37,444,206,376,6,3,1,2,IM000110,110,77.1000,160.7000,111.0000,1,1,2026-08-24T00:00:00.000
111,20260823,20260701,20260607,80940,83,228,194,262,34,9,17,11,5,2,4,IM000111,111,77.8000,162.0700,112.0000,1,1,2026-08-24T00:00:00.000
112,20260629,20260601,20260704,540,55,66,117,483,114,481,342,16,10,3,4,IM000112,112,78.5000,163.4400,113.0000,1,1,2026-08-24T00:00:00.000
113,20260625,20260618,20260623,29400,374,86,257,311,31,343,88,9,5,5,1,IM000113,113,79.2000,164.8100,114.0000,1,1,2026-08-24T00:00:00.000
114,20260626,20260531,20260805,27000,83,341,15,393,473,267,338,9,7,6,4,IM000114,114,79.9000,166.1800,115.0000,1,1,2026-08-24T00:00:00.000
115,20260727,20260614,20260728,53160,402,197,149,241,260,228,144,2,7,7,2,IM000115,115,80.6000,167.5500,116.0000,1,1,2026-08-24T00:00:00.000
116,20260608,20260603,20260610,64260,80,301,285,390,46,301,198,8,3,4,1,IM000116,116,81.3000,168.9200,117.0000,1,1,2026-08-24T00:00:00.000
117,20260708,20260807,20260609,4440,35,122,399,384,358,12,195,2,6,5,2,IM000117,117,82.0000,170.2900,118.0000,1,1,2026-08-24T00:00:00.000
118,20260726,20260618,20260807,70800,478,96,195,413,421,328,277,1,1,1,3,IM000118,118,82.7000,171.6600,119.0000,1,1,2026-08-24T00:00:00.000
119,20260619,20260721,20260717,36900,375,54,326,-1,-1,-1,-1,7,9,7,-1,IM000119,119,83.4000,173.0300,120.0000,1,1,2026-08-24T00:00:00.000
120,20260725,20260603,20260613,53280,321,53,431,193,201,77,277,10,8,3,4,IM000120,120,84.1000,174.4000,121.0000,1,1,2026-08-24T00:00:00.000
121,20260528,20260626,20260801,21000,343,232,162,152,57,460,52,5,9,6,1,IM000121,121,84.8000,175.7700,122.0000,1,1,2026-08-24T00:00:00.000
122,20260824,20260819,20260528,44640,136,187,466,300,466,19,289,2,5,6,1,IM000122,122,85.5000,177.1400,123.0000,1,1,2026-08-24T00:00:00.000
123,20260729,20260601,20260729,61320,379,215,309,165,266,306,96,8,9,1,4,IM000123,123,86.2000,178.5100,124.0000,1,1,2026-08-24T00:00:00.000
124,20260601,20260704,20260728,300,213,44,308,177,75,275,396,7,6,1,4,IM000124,124,86.9000,179.8800,125.0000,1,1,2026-08-24T00:00:00.000
125,20260615,20260528,20260820,73260,250,48,67,4,259,417,45,2,3,3,1,IM000125,125,87.6000,181.2500,126.0000,1,1,2026-08-24T00:00:00.000
126,20260622,20260626,20260724,4200,284,74,425,102,62,74,90,10,4,3,3,IM000126,126,88.3000,182.6200,127.0000,1,1,2026-08-24T00:00:00.000
127,20260712,20260821,20260701,24840,46,1,39,189,132,165,92,11,2,5,3,IM000127,127,89.0000,183.9900,128.0000,1,1,2026-08-24T00:00:00.000
128,20260602,20260617,20260623,46500,174,293,485,472,483,297,393,2,2,6,1,IM000128,128,89.7000,185.3600,129.0000,1,1,2026-08-24T00:00:00.000
129,20260809,20260603,20260818,23580,459,82,13,339,428,416,76,1,8,6,3,IM000129,129,90.4000,186.7300,130.0000,1,1,2026-08-24T00:00:00.000
130,20260607,20260803,20260527,17940,130,37,193,230,494,498,415,1,9,7,1,IM000130,130,91.1000,188.1000,131.0000,1,1,2026-08-24T00:00:00.000
131,20260722,20260613,20260816,64380,69,178,119,439,119,125,471,13,9,2,4,IM000131,131,91.8000,189.4700,132.0000,1,1,2026-08-24T00:00:00.000
132,20260801,20260703,20260806,34620,464,265,409,204,278,312,199,2,4,6,1,IM000132,132,92.5000,190.8400,133.0000,1,1,2026-08-24T00:00:00.000
133,20260702,20260805,20260821,52620,475,224,175,236,135,256,64,6,10,6,1,IM000133,133,93.2000,192.2100,134.0000,1,1,2026-08-24T00:00:00.000
134,20260611,20260528,20260608,22740,322,231,31,410,403,417,415,13,7,1,1,IM000134,134,93.9000,193.5800,135.0000,1,1,2026-08-24T00:00:00.000
135,20260820,20260720,20260813,53880,338,235,60,130,496,345,129,4,8,4,3,IM000135,135,94.6000,194.9500,136.0000,1,1,2026-08-24T00:00:00.000
136,20260802,20260728,20260729,50760,182,324,335,-1,-1,-1,-1,4,5,6,-1,IM000136,136,95.3000,196.3200,137.0000,1,1,2026-08-24T00:00:00.000
137,20260529,20260627,20260628,26820,41,77,349,66,348,495,20,13,3,5,4,IM000137,137,96.0000,197.6900,138.0000,1,1,2026-08-24T00:00:00.000
138,20260810,20260613,20260714,40260,446,33,410,440,374,320,423,3,10,4,4,IM000138,138,96.7000,199.0600,139.0000,1,1,2026-08-24T00:00:00.000
139,20260806,20260531,20260822,47340,390,210,223,181,497,305,246,13,10,1,4,IM000139,139,97.4000,200.4300,140.0000,1,1,2026-08-24T00:00:00.000
140,20260731,20260615,20260725,55920,273,77,140,59,78,126,420,16,1,3,4,IM000140,140,98.1000,201.8000,141.0000,1,1,2026-08-24T00:00:00.000
141,20260821,20260627,20260716,34860,59,124,81,10,99,108,139,8,3,3,2,IM000141,141,98.8000,203.1700,142.0000,1,1,2026-08-24T00:00:00.000
142,20260708,20260724,20260615,4680,334,69,240,204,157,259,296,7,7,2,2,IM000142,142,99.5000,204.5400,143.0000,1,1,2026-08-24T00:00:00.000
143,20260810,20260626,20260611,21720,167,47,276,262,475,317,449,14,6,2,2,IM000143,143,100.2000,205.9100,144.0000,1,1,2026-08-24T00:00:00.000
144,20260813,20260705,20260627,81120,90,32,486,35,190,138,197,4,8,6,4,IM000144,144,100.9000,207.2800,145.0000,1,1,2026-08-24T00:00:00.000
145,20260621,20260630,20260713,81360,342,52,286,3,326,226,21,2,7,6,1,IM000145,145,101.6000,208.6500,146.0000,1,1,2026-08-24T00:00:00.000
146,20260623,20260730,20260723,75900,19,238,221,139,98,282,220,8,10,1,4,IM000146,146,102.3000,210.0200,147.0000,1,1,2026-08-24T00:00:00.000
147,20260527,20260704,20260812,16080,99,39,451,271,496,58,49,12,10,5,1,IM000147,147,103.0000,211.3900,148.0000,1,1,2026-08-24T00:00:00.000
148,20260712,20260812,20260805,40200,283,186,221,431,496,270,476,7,2,5,3,IM000148,148,103.7000,212.7600,149.0000,1,1,2026-08-24T00:00:00.000
149,20260819,20260814,20260531,82680,337,286,100,179,210,304,80,9,1,5,3,IM000149,149,104.4000,214.1300,150.0000,1,1,2026-08-24T00:00:00.000
150,20260529,20260628,20260804,56460,384,46,257,204,338,289,151,11,3,6,3,IM000150,150,105.1000,215.5000,151.0000,1,1,2026-08-24T00:00:00.000
151,20260625,20260706,20260528,11760,128,240,50,99,423,118,449,6,7,3,2,IM000151,151,105.8000,216.8700,152.0000,1,1,2026-08-24T00:00:00.000
152,20260807,20260625,20260811,29640,320,280,236,460,301,138,398,3,2,1,2,IM000152,152,106.5000,218.2400,153.0000,1,1,2026-08-24T00:00:00.000
153,20260804,20260713,20260715,32640,135,54,291,-1,-1,-1,-1,10,7,1,-1,IM000153,153,107.2000,219.6100,154.0000,1,1,2026-08-24T00:00:00.000
154,20260624,20260708,20260715,35940,215,48,60,166,467,284,50,4,3,4,4,IM000154,154,107.9000,220.9800,155.0000,1,1,2026-08-24T00:00:00.000
155,20260711,20260813,20260601,42840,320,10,229,369,378,183,80,6,2,7,4,IM000155,155,108.6000,222.3500,156.0000,1,1,2026-08-24T00:00:00.000
156,20260709,20260612,20260705,26460,269,286,347,216,230,205,301,15,2,5,1,IM000156,156,109.3000,223.7200,157.0000,1,1,2026-08-24T00:00:00.000
157,20260723,20260612,20260731,5940,201,301,107,351,401,354,264,13,10,7,2,IM000157,157,110.0000,225.0900,158.0000,1,1,2026-08-24T00:00:00.000
158,20260705,20260803,20260613,14820,451,67,437,300,448,336,9,2,7,7,1,IM000158,158,110.7000,226.4600,159.0000,1,1,2026-08-24T00:00:00.000
159,20260619,20260824,20260702,27540,242,41,95,119,340,86,472,15,1,2,4,IM000159,159,111.4000,227.8300,160.0000,1,1,2026-08-24T00:00:00.000
160,20260608,20260730,20260812,64200,333,337,232,450,454,215,338,5,1,6,1,IM000160,160,112.1000,229.2000,161.0000,1,1,2026-08-24T00:00:00.000
161,20260719,20260807,20260803,9960,431,320,36,207,13,391,444,12,6,7,4,IM000161,161,112.8000,230.5700,162.0000,1,1,2026-08-24T00:00:00.000
162,20260802,20260822,20260527,4740,164,82,348,177,136,357,393,12,7,3,1,IM000162,162,113.5000,231.9400,163.0000,1,1,2026-08-24T00:00:00.000
163,20260713,20260824,20260616,22080,377,320,119,379,382,36,110,16,10,1,3,IM000163,163,114.2000,233.3100,164.0000,1,1,2026-08-24T00:00:00.000
164,20260624,20260528,20260720,79620,120,165,301,382,180,137,194,14,10,1,2,IM000164,164,114.9000,234.6800,165.0000,1,1,2026-08-24T00:00:00.000
165,20260527,20260808,20260714,62100,95,295,216,57,166,66,63,3,7,3,1,IM000165,165,115.6000,236.0500,166.0000,1,1,2026-08-24T00:00:00.000
166,20260630,20260610,20260701,43680,267,176,77,82,394,244,172,5,5,5,1,IM000166,166,116.3000,237.4200,167.0000,1,1,2026-08-24T00:00:00.000
167,20260823,20260710,20260705,19140,263,138,295,200,109,136,415,11,5,3,1,IM000167,167,117.0000,238.7900,168.0000,1,1,2026-08-24T00:00:00.000
168,20260817,20260806,20260720,8340,167,128,472,145,23,202,187,9,6,5,1,IM000168,168,117.7000,240.1600,169.0000,1,1,2026-08-24T00:00:00.000
