PurchaseGoodsReceiptKey,ReceiptDateKey,PostingDateKey,DocumentDateKey,ReceiptTimeOfDayKey,PurchaseOrderLineKey,SupplierKey,ProductKey,PlantKey,ReceiverEmployeeKey,PurchaseReceiptStatusKey,UnitOfMeasureKey,CurrencyKey,GoodsReceiptNumber,GoodsReceiptLineNumber,ReceivedQuantity,AcceptedQuantity,RejectedQuantity,ReceiptAmount,SourceSystemKey,BatchId,LoadedAtUtc
63,20260630,20260623,20260720,50100,168,18,156,280,172,2,3,4,PGR000063,63,44.2000,44.2000,44.2000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260705,20260814,20260529,21120,334,83,121,80,137,6,7,2,PGR000064,64,44.9000,44.9000,44.9000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260805,20260727,20260601,2580,420,407,233,127,20,3,2,5,PGR000065,65,45.6000,45.6000,45.6000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260529,20260528,20260614,58020,334,438,457,152,408,3,7,3,PGR000066,66,46.3000,46.3000,46.3000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260821,20260603,20260622,78240,10,215,368,123,328,8,6,5,PGR000067,67,47.0000,47.0000,47.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260823,20260722,20260719,40980,414,413,-1,72,-1,5,6,5,PGR000068,68,47.7000,47.7000,47.7000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260623,20260813,20260611,50160,279,231,15,247,250,8,5,2,PGR000069,69,48.4000,48.4000,48.4000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260715,20260613,20260813,7680,294,232,297,137,234,2,7,3,PGR000070,70,49.1000,49.1000,49.1000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260803,20260821,20260815,31080,39,290,3,95,330,3,4,2,PGR000071,71,49.8000,49.8000,49.8000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260710,20260818,20260618,61620,333,304,409,274,149,4,2,5,PGR000072,72,50.5000,50.5000,50.5000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260709,20260714,20260719,27360,89,17,103,304,77,4,2,1,PGR000073,73,51.2000,51.2000,51.2000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260807,20260606,20260716,70260,47,195,366,137,419,5,2,2,PGR000074,74,51.9000,51.9000,51.9000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260721,20260822,20260609,37200,329,317,225,207,181,5,2,5,PGR000075,75,52.6000,52.6000,52.6000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260701,20260717,20260803,62700,448,16,189,282,433,8,5,3,PGR000076,76,53.3000,53.3000,53.3000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260720,20260615,20260810,31140,491,92,327,106,2,2,3,5,PGR000077,77,54.0000,54.0000,54.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260720,20260613,20260614,52800,81,141,499,215,194,1,4,4,PGR000078,78,54.7000,54.7000,54.7000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260620,20260714,20260722,13560,314,320,273,28,26,3,6,3,PGR000079,79,55.4000,55.4000,55.4000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260625,20260724,20260818,37860,380,449,51,138,412,8,3,3,PGR000080,80,56.1000,56.1000,56.1000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260623,20260530,20260731,23220,86,31,238,29,270,6,6,4,PGR000081,81,56.8000,56.8000,56.8000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260711,20260719,20260717,60060,482,452,462,222,174,8,7,2,PGR000082,82,57.5000,57.5000,57.5000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260702,20260718,20260720,18000,179,113,495,318,217,1,3,2,PGR000083,83,58.2000,58.2000,58.2000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260713,20260527,20260705,71940,111,312,167,236,447,6,7,1,PGR000084,84,58.9000,58.9000,58.9000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260808,20260727,20260718,71220,220,47,-1,278,-1,2,4,4,PGR000085,85,59.6000,59.6000,59.6000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260622,20260713,20260617,4500,54,5,13,144,28,4,3,4,PGR000086,86,60.3000,60.3000,60.3000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260625,20260818,20260731,77880,95,59,257,199,44,7,1,5,PGR000087,87,61.0000,61.0000,61.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260817,20260718,20260725,68280,397,163,474,225,178,2,3,5,PGR000088,88,61.7000,61.7000,61.7000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260816,20260705,20260714,56160,316,412,358,39,433,5,6,4,PGR000089,89,62.4000,62.4000,62.4000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260812,20260616,20260725,80340,241,55,193,318,243,3,7,3,PGR000090,90,63.1000,63.1000,63.1000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260821,20260705,20260727,53820,285,455,447,198,458,1,5,1,PGR000091,91,63.8000,63.8000,63.8000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260717,20260607,20260607,60300,269,2,240,321,467,2,2,4,PGR000092,92,64.5000,64.5000,64.5000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260729,20260715,20260606,84180,444,438,176,79,378,3,3,5,PGR000093,93,65.2000,65.2000,65.2000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260625,20260615,20260617,18480,116,228,477,157,494,7,2,3,PGR000094,94,65.9000,65.9000,65.9000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260629,20260619,20260618,50700,201,240,188,329,7,7,6,3,PGR000095,95,66.6000,66.6000,66.6000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260527,20260624,20260601,82080,420,448,241,26,228,5,5,3,PGR000096,96,67.3000,67.3000,67.3000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260815,20260708,20260602,74520,213,13,474,20,4,6,2,4,PGR000097,97,68.0000,68.0000,68.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260731,20260705,20260611,79020,238,389,335,164,26,2,6,3,PGR000098,98,68.7000,68.7000,68.7000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260823,20260713,20260718,49140,111,185,467,249,154,7,4,4,PGR000099,99,69.4000,69.4000,69.4000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260810,20260822,20260721,9660,430,63,182,166,449,4,4,5,PGR000100,100,70.1000,70.1000,70.1000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260715,20260707,20260703,1440,447,117,130,304,341,7,3,4,PGR000101,101,70.8000,70.8000,70.8000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260805,20260816,20260616,66900,40,176,-1,240,-1,3,7,4,PGR000102,102,71.5000,71.5000,71.5000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260602,20260816,20260726,68100,240,456,379,348,232,2,1,5,PGR000103,103,72.2000,72.2000,72.2000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260709,20260707,20260722,15240,127,107,434,75,478,8,3,3,PGR000104,104,72.9000,72.9000,72.9000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260712,20260809,20260817,82920,30,123,466,10,91,8,1,5,PGR000105,105,73.6000,73.6000,73.6000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260709,20260821,20260617,41880,370,1,122,117,248,6,2,5,PGR000106,106,74.3000,74.3000,74.3000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260602,20260818,20260615,65220,343,23,461,27,152,2,6,4,PGR000107,107,75.0000,75.0000,75.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260728,20260728,20260531,72840,237,257,362,164,438,3,3,2,PGR000108,108,75.7000,75.7000,75.7000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260724,20260728,20260702,44040,302,197,336,238,119,8,2,3,PGR000109,109,76.4000,76.4000,76.4000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260625,20260711,20260707,28440,304,293,356,181,231,6,5,3,PGR000110,110,77.1000,77.1000,77.1000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260710,20260609,20260811,73800,296,83,132,12,286,4,4,2,PGR000111,111,77.8000,77.8000,77.8000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260729,20260711,20260708,70380,6,102,410,347,374,3,6,4,PGR000112,112,78.5000,78.5000,78.5000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260823,20260718,20260816,45000,268,273,473,40,324,2,7,1,PGR000113,113,79.2000,79.2000,79.2000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260718,20260620,20260601,41700,248,421,311,53,477,7,2,2,PGR000114,114,79.9000,79.9000,79.9000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260601,20260724,20260709,82200,48,499,293,184,108,4,5,1,PGR000115,115,80.6000,80.6000,80.6000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260629,20260715,20260604,37740,38,240,94,308,108,8,1,2,PGR000116,116,81.3000,81.3000,81.3000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260809,20260610,20260618,66000,29,377,294,92,43,5,1,3,PGR000117,117,82.0000,82.0000,82.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260822,20260603,20260625,28740,434,343,277,206,224,6,2,1,PGR000118,118,82.7000,82.7000,82.7000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260621,20260727,20260806,56520,354,409,-1,214,-1,3,5,3,PGR000119,119,83.4000,83.4000,83.4000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260701,20260620,20260717,47940,69,155,14,99,153,7,2,1,PGR000120,120,84.1000,84.1000,84.1000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260714,20260530,20260808,48720,385,251,451,262,369,3,6,2,PGR000121,121,84.8000,84.8000,84.8000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260723,20260723,20260713,68040,401,393,3,261,245,6,4,5,PGR000122,122,85.5000,85.5000,85.5000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260713,20260624,20260607,86340,278,90,481,99,146,5,3,5,PGR000123,123,86.2000,86.2000,86.2000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260822,20260711,20260728,51180,104,147,10,261,314,1,4,1,PGR000124,124,86.9000,86.9000,86.9000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260820,20260720,20260605,9060,218,185,230,227,218,5,2,2,PGR000125,125,87.6000,87.6000,87.6000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260702,20260805,20260805,76140,206,241,213,108,292,1,2,3,PGR000126,126,88.3000,88.3000,88.3000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260704,20260604,20260705,52500,140,406,44,254,203,4,2,5,PGR000127,127,89.0000,89.0000,89.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260629,20260621,20260718,64260,10,27,186,154,4,5,2,5,PGR000128,128,89.7000,89.7000,89.7000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260811,20260813,20260707,41700,477,485,414,97,412,3,4,3,PGR000129,129,90.4000,90.4000,90.4000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260805,20260606,20260817,48600,457,301,32,109,335,7,1,2,PGR000130,130,91.1000,91.1000,91.1000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260719,20260711,20260612,85620,193,279,199,256,337,7,1,4,PGR000131,131,91.8000,91.8000,91.8000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260818,20260723,20260713,9780,148,372,391,22,461,3,5,4,PGR000132,132,92.5000,92.5000,92.5000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260726,20260601,20260623,42120,137,213,115,144,308,7,6,1,PGR000133,133,93.2000,93.2000,93.2000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260702,20260620,20260713,5100,305,282,439,77,197,2,6,5,PGR000134,134,93.9000,93.9000,93.9000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260709,20260628,20260606,48660,380,100,405,17,477,2,1,4,PGR000135,135,94.6000,94.6000,94.6000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260620,20260801,20260724,12120,82,419,-1,311,-1,2,5,5,PGR000136,136,95.3000,95.3000,95.3000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260708,20260805,20260817,2340,407,205,27,102,218,5,4,2,PGR000137,137,96.0000,96.0000,96.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260620,20260821,20260621,27120,500,1,309,44,417,3,3,4,PGR000138,138,96.7000,96.7000,96.7000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260811,20260822,20260811,71460,196,148,491,265,204,4,2,2,PGR000139,139,97.4000,97.4000,97.4000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260706,20260617,20260621,34800,147,309,359,117,145,6,2,5,PGR000140,140,98.1000,98.1000,98.1000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260816,20260813,20260803,36180,14,317,414,208,105,4,5,5,PGR000141,141,98.8000,98.8000,98.8000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260624,20260706,20260614,4380,256,465,482,40,23,5,7,5,PGR000142,142,99.5000,99.5000,99.5000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260625,20260715,20260606,37200,202,5,354,230,403,7,1,1,PGR000143,143,100.2000,100.2000,100.2000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260607,20260805,20260802,20040,155,412,425,227,268,2,5,5,PGR000144,144,100.9000,100.9000,100.9000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260810,20260622,20260805,5100,189,290,43,124,288,8,4,4,PGR000145,145,101.6000,101.6000,101.6000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260722,20260807,20260815,30360,343,75,179,262,232,3,7,1,PGR000146,146,102.3000,102.3000,102.3000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260725,20260707,20260608,34800,49,428,484,199,320,1,3,2,PGR000147,147,103.0000,103.0000,103.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260529,20260723,20260807,54060,37,23,49,164,413,2,1,3,PGR000148,148,103.7000,103.7000,103.7000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260731,20260731,20260531,3060,325,500,180,166,19,3,1,2,PGR000149,149,104.4000,104.4000,104.4000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260714,20260619,20260531,67740,84,473,500,269,137,5,2,2,PGR000150,150,105.1000,105.1000,105.1000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260615,20260702,20260621,36600,472,214,385,147,273,4,5,4,PGR000151,151,105.8000,105.8000,105.8000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260715,20260721,20260721,10020,99,64,438,350,112,4,1,1,PGR000152,152,106.5000,106.5000,106.5000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260817,20260602,20260614,86340,292,479,-1,180,-1,4,3,4,PGR000153,153,107.2000,107.2000,107.2000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260628,20260802,20260706,5820,447,317,151,58,268,3,2,4,PGR000154,154,107.9000,107.9000,107.9000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260618,20260624,20260609,21300,150,321,136,216,144,3,7,3,PGR000155,155,108.6000,108.6000,108.6000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260809,20260804,20260625,45420,484,416,140,25,145,8,6,1,PGR000156,156,109.3000,109.3000,109.3000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260818,20260726,20260716,63180,64,144,185,299,427,3,1,1,PGR000157,157,110.0000,110.0000,110.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260731,20260822,20260701,45120,419,10,455,98,418,3,1,4,PGR000158,158,110.7000,110.7000,110.7000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260810,20260704,20260824,79020,489,133,2,346,219,8,7,3,PGR000159,159,111.4000,111.4000,111.4000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260605,20260626,20260705,63960,446,364,127,72,91,4,1,2,PGR000160,160,112.1000,112.1000,112.1000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260602,20260617,20260730,4920,401,391,491,289,484,3,4,5,PGR000161,161,112.8000,112.8000,112.8000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260604,20260620,20260818,19020,40,137,200,175,72,6,6,5,PGR000162,162,113.5000,113.5000,113.5000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260610,20260604,20260724,26460,317,62,263,175,362,5,5,4,PGR000163,163,114.2000,114.2000,114.2000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260601,20260530,20260611,69180,220,202,311,78,286,3,6,2,PGR000164,164,114.9000,114.9000,114.9000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260614,20260728,20260804,40380,160,416,82,286,111,8,7,4,PGR000165,165,115.6000,115.6000,115.6000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260806,20260813,20260710,26460,112,296,422,29,24,8,5,1,PGR000166,166,116.3000,116.3000,116.3000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260806,20260813,20260812,55920,50,60,185,169,439,1,4,4,PGR000167,167,117.0000,117.0000,117.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260717,20260720,20260612,900,231,75,192,64,437,5,6,4,PGR000168,168,117.7000,117.7000,117.7000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260530,20260706,20260604,41400,445,278,434,265,380,6,5,2,PGR000169,169,118.4000,118.4000,118.4000,241.5300,1,1,2026-08-24T00:00:00.000
