PurchaseOrderSpendKey,OrderDateKey,RequestedDeliveryDateKey,PromisedDeliveryDateKey,PurchaseOrderHeaderKey,PurchaseOrderLineKey,SupplierKey,ProductKey,PlantKey,CostCenterKey,PurchaseOrderLifecycleStatusKey,UnitOfMeasureKey,CurrencyKey,PurchaseOrderDistributionNumber,OrderedQuantity,UnitPriceAmount,ExtendedAmount,SourceSystemKey,BatchId,LoadedAtUtc
27,20260801,20260710,20260707,350,428,265,316,77,188,1,4,4,POS000027,19.0000,46.9900,46.9900,1,1,2026-08-24T00:00:00.000
28,20260702,20260616,20260814,132,480,404,222,143,60,4,1,3,POS000028,19.7000,48.3600,48.3600,1,1,2026-08-24T00:00:00.000
29,20260605,20260612,20260609,450,64,436,170,329,460,5,4,2,POS000029,20.4000,49.7300,49.7300,1,1,2026-08-24T00:00:00.000
30,20260620,20260602,20260615,154,316,252,125,141,90,11,4,1,POS000030,21.1000,51.1000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260726,20260723,20260802,253,286,333,188,97,294,3,3,5,POS000031,21.8000,52.4700,52.4700,1,1,2026-08-24T00:00:00.000
32,20260617,20260815,20260819,120,304,417,262,232,279,11,6,1,POS000032,22.5000,53.8400,53.8400,1,1,2026-08-24T00:00:00.000
33,20260625,20260621,20260618,423,271,7,420,204,215,12,7,1,POS000033,23.2000,55.2100,55.2100,1,1,2026-08-24T00:00:00.000
34,20260805,20260629,20260625,436,472,310,-1,105,-1,5,7,4,POS000034,23.9000,56.5800,56.5800,1,1,2026-08-24T00:00:00.000
35,20260819,20260707,20260610,372,15,319,207,329,213,4,1,2,POS000035,24.6000,57.9500,57.9500,1,1,2026-08-24T00:00:00.000
36,20260622,20260731,20260527,371,39,367,29,234,234,3,3,4,POS000036,25.3000,59.3200,59.3200,1,1,2026-08-24T00:00:00.000
37,20260820,20260803,20260706,316,475,386,195,119,484,5,1,2,POS000037,26.0000,60.6900,60.6900,1,1,2026-08-24T00:00:00.000
38,20260709,20260815,20260815,215,183,310,113,197,225,12,7,3,POS000038,26.7000,62.0600,62.0600,1,1,2026-08-24T00:00:00.000
39,20260623,20260625,20260612,11,170,16,375,132,426,1,5,2,POS000039,27.4000,63.4300,63.4300,1,1,2026-08-24T00:00:00.000
40,20260814,20260602,20260605,266,168,221,361,296,184,5,3,4,POS000040,28.1000,64.8000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260813,20260717,20260720,142,379,28,21,78,442,2,2,2,POS000041,28.8000,66.1700,66.1700,1,1,2026-08-24T00:00:00.000
42,20260617,20260623,20260713,125,150,316,395,285,470,2,2,3,POS000042,29.5000,67.5400,67.5400,1,1,2026-08-24T00:00:00.000
43,20260610,20260716,20260712,78,278,212,76,264,260,1,5,5,POS000043,30.2000,68.9100,68.9100,1,1,2026-08-24T00:00:00.000
44,20260529,20260821,20260601,314,116,20,72,8,168,10,6,2,POS000044,30.9000,70.2800,70.2800,1,1,2026-08-24T00:00:00.000
45,20260820,20260817,20260723,193,25,241,471,187,460,11,3,2,POS000045,31.6000,71.6500,71.6500,1,1,2026-08-24T00:00:00.000
46,20260624,20260609,20260726,241,23,276,253,329,259,4,5,1,POS000046,32.3000,73.0200,73.0200,1,1,2026-08-24T00:00:00.000
47,20260616,20260617,20260804,349,34,488,140,82,308,11,2,1,POS000047,33.0000,74.3900,74.3900,1,1,2026-08-24T00:00:00.000
48,20260602,20260723,20260804,309,303,55,318,283,55,1,5,2,POS000048,33.7000,75.7600,75.7600,1,1,2026-08-24T00:00:00.000
49,20260615,20260622,20260629,255,160,290,208,300,287,8,1,5,POS000049,34.4000,77.1300,77.1300,1,1,2026-08-24T00:00:00.000
50,20260617,20260727,20260811,394,268,210,100,154,309,3,1,2,POS000050,35.1000,78.5000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260623,20260817,20260610,152,410,112,-1,230,-1,4,2,4,POS000051,35.8000,79.8700,79.8700,1,1,2026-08-24T00:00:00.000
52,20260702,20260610,20260717,148,478,36,66,16,99,1,2,5,POS000052,36.5000,81.2400,81.2400,1,1,2026-08-24T00:00:00.000
53,20260719,20260818,20260801,177,450,210,286,31,12,9,1,4,POS000053,37.2000,82.6100,82.6100,1,1,2026-08-24T00:00:00.000
54,20260622,20260607,20260618,161,459,284,284,147,89,12,2,1,POS000054,37.9000,83.9800,83.9800,1,1,2026-08-24T00:00:00.000
55,20260812,20260822,20260615,177,428,299,197,161,372,4,3,2,POS000055,38.6000,85.3500,85.3500,1,1,2026-08-24T00:00:00.000
56,20260731,20260804,20260626,352,158,172,288,239,332,10,7,4,POS000056,39.3000,86.7200,86.7200,1,1,2026-08-24T00:00:00.000
57,20260531,20260730,20260704,162,45,137,6,68,114,10,4,4,POS000057,40.0000,88.0900,88.0900,1,1,2026-08-24T00:00:00.000
58,20260804,20260809,20260605,411,327,62,108,166,45,7,5,2,POS000058,40.7000,89.4600,89.4600,1,1,2026-08-24T00:00:00.000
59,20260614,20260803,20260714,73,128,359,396,85,403,5,1,5,POS000059,41.4000,90.8300,90.8300,1,1,2026-08-24T00:00:00.000
60,20260802,20260726,20260529,78,466,96,243,273,129,6,2,1,POS000060,42.1000,92.2000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260810,20260807,20260801,454,255,114,271,67,406,7,2,3,POS000061,42.8000,93.5700,93.5700,1,1,2026-08-24T00:00:00.000
62,20260824,20260708,20260712,143,289,291,199,50,342,3,1,2,POS000062,43.5000,94.9400,94.9400,1,1,2026-08-24T00:00:00.000
63,20260620,20260710,20260604,257,20,254,307,179,206,12,1,4,POS000063,44.2000,96.3100,96.3100,1,1,2026-08-24T00:00:00.000
64,20260717,20260626,20260725,317,64,183,361,37,398,10,1,5,POS000064,44.9000,97.6800,97.6800,1,1,2026-08-24T00:00:00.000
65,20260605,20260820,20260701,424,273,490,125,50,142,12,6,3,POS000065,45.6000,99.0500,99.0500,1,1,2026-08-24T00:00:00.000
66,20260802,20260621,20260628,498,377,27,139,279,59,9,3,4,POS000066,46.3000,100.4200,100.4200,1,1,2026-08-24T00:00:00.000
67,20260813,20260721,20260618,117,16,115,79,157,274,6,4,4,POS000067,47.0000,101.7900,101.7900,1,1,2026-08-24T00:00:00.000
68,20260709,20260531,20260728,84,58,184,-1,333,-1,7,7,5,POS000068,47.7000,103.1600,103.1600,1,1,2026-08-24T00:00:00.000
69,20260601,20260701,20260706,384,370,274,104,332,80,12,5,2,POS000069,48.4000,104.5300,104.5300,1,1,2026-08-24T00:00:00.000
70,20260702,20260704,20260724,24,137,117,247,187,420,2,3,5,POS000070,49.1000,105.9000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260815,20260804,20260704,65,53,104,37,37,445,10,6,1,POS000071,49.8000,107.2700,107.2700,1,1,2026-08-24T00:00:00.000
72,20260528,20260709,20260630,257,32,400,146,151,289,12,2,2,POS000072,50.5000,108.6400,108.6400,1,1,2026-08-24T00:00:00.000
73,20260707,20260727,20260622,241,313,446,381,54,300,6,3,1,POS000073,51.2000,110.0100,110.0100,1,1,2026-08-24T00:00:00.000
74,20260630,20260618,20260617,315,117,410,165,136,146,3,2,3,POS000074,51.9000,111.3800,111.3800,1,1,2026-08-24T00:00:00.000
75,20260619,20260602,20260804,248,311,419,358,219,219,12,6,2,POS000075,52.6000,112.7500,112.7500,1,1,2026-08-24T00:00:00.000
76,20260805,20260821,20260606,400,153,50,38,20,431,3,5,1,POS000076,53.3000,114.1200,114.1200,1,1,2026-08-24T00:00:00.000
77,20260531,20260605,20260601,202,232,380,243,186,415,7,7,2,POS000077,54.0000,115.4900,115.4900,1,1,2026-08-24T00:00:00.000
78,20260721,20260821,20260702,256,36,316,221,311,407,7,1,4,POS000078,54.7000,116.8600,116.8600,1,1,2026-08-24T00:00:00.000
79,20260820,20260619,20260730,168,172,146,413,212,159,9,1,5,POS000079,55.4000,118.2300,118.2300,1,1,2026-08-24T00:00:00.000
80,20260811,20260724,20260705,324,380,389,289,158,469,4,5,2,POS000080,56.1000,119.6000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260629,20260611,20260728,1,367,444,288,328,407,5,2,2,POS000081,56.8000,120.9700,120.9700,1,1,2026-08-24T00:00:00.000
82,20260527,20260820,20260715,212,297,112,316,103,267,10,6,5,POS000082,57.5000,122.3400,122.3400,1,1,2026-08-24T00:00:00.000
83,20260628,20260713,20260605,192,21,197,402,256,268,8,1,3,POS000083,58.2000,123.7100,123.7100,1,1,2026-08-24T00:00:00.000
84,20260610,20260801,20260715,398,178,218,198,236,367,2,3,4,POS000084,58.9000,125.0800,125.0800,1,1,2026-08-24T00:00:00.000
85,20260614,20260601,20260617,322,218,390,-1,64,-1,6,4,2,POS000085,59.6000,126.4500,126.4500,1,1,2026-08-24T00:00:00.000
86,20260712,20260816,20260805,448,222,241,396,255,39,4,2,1,POS000086,60.3000,127.8200,127.8200,1,1,2026-08-24T00:00:00.000
87,20260617,20260610,20260613,164,368,477,380,215,270,2,2,2,POS000087,61.0000,129.1900,129.1900,1,1,2026-08-24T00:00:00.000
88,20260628,20260803,20260723,66,147,201,201,88,342,11,2,2,POS000088,61.7000,130.5600,130.5600,1,1,2026-08-24T00:00:00.000
89,20260824,20260624,20260630,111,462,126,437,346,495,9,1,3,POS000089,62.4000,131.9300,131.9300,1,1,2026-08-24T00:00:00.000
90,20260716,20260613,20260621,429,268,432,7,221,61,10,6,2,POS000090,63.1000,133.3000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260527,20260722,20260710,296,477,3,44,146,163,4,6,3,POS000091,63.8000,134.6700,134.6700,1,1,2026-08-24T00:00:00.000
92,20260616,20260602,20260607,86,200,285,318,298,380,6,4,4,POS000092,64.5000,136.0400,136.0400,1,1,2026-08-24T00:00:00.000
93,20260705,20260721,20260605,80,278,200,408,153,412,1,5,4,POS000093,65.2000,137.4100,137.4100,1,1,2026-08-24T00:00:00.000
94,20260730,20260724,20260708,291,288,339,438,76,64,8,1,3,POS000094,65.9000,138.7800,138.7800,1,1,2026-08-24T00:00:00.000
95,20260722,20260822,20260716,300,155,474,348,309,350,7,3,2,POS000095,66.6000,140.1500,140.1500,1,1,2026-08-24T00:00:00.000
96,20260816,20260627,20260723,142,151,90,241,28,139,8,2,2,POS000096,67.3000,141.5200,141.5200,1,1,2026-08-24T00:00:00.000
97,20260823,20260530,20260701,108,223,340,354,148,371,10,2,4,POS000097,68.0000,142.8900,142.8900,1,1,2026-08-24T00:00:00.000
98,20260706,20260817,20260821,430,69,371,423,35,64,5,2,5,POS000098,68.7000,144.2600,144.2600,1,1,2026-08-24T00:00:00.000
99,20260628,20260623,20260617,191,24,153,91,284,327,8,7,3,POS000099,69.4000,145.6300,145.6300,1,1,2026-08-24T00:00:00.000
100,20260810,20260528,20260716,301,474,283,445,216,151,6,1,1,POS000100,70.1000,147.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260820,20260627,20260610,421,124,227,8,153,267,7,7,3,POS000101,70.8000,148.3700,148.3700,1,1,2026-08-24T00:00:00.000
102,20260616,20260714,20260611,385,499,8,-1,162,-1,7,4,4,POS000102,71.5000,149.7400,149.7400,1,1,2026-08-24T00:00:00.000
103,20260623,20260703,20260818,414,230,86,227,339,142,8,3,1,POS000103,72.2000,151.1100,151.1100,1,1,2026-08-24T00:00:00.000
104,20260802,20260803,20260604,407,254,290,167,9,187,8,2,4,POS000104,72.9000,152.4800,152.4800,1,1,2026-08-24T00:00:00.000
105,20260812,20260603,20260613,458,480,332,289,253,259,6,1,5,POS000105,73.6000,153.8500,153.8500,1,1,2026-08-24T00:00:00.000
106,20260822,20260610,20260702,274,312,221,169,250,151,11,3,5,POS000106,74.3000,155.2200,155.2200,1,1,2026-08-24T00:00:00.000
107,20260626,20260604,20260531,295,126,418,376,138,234,1,7,2,POS000107,75.0000,156.5900,156.5900,1,1,2026-08-24T00:00:00.000
108,20260821,20260613,20260527,183,477,386,492,59,354,2,1,2,POS000108,75.7000,157.9600,157.9600,1,1,2026-08-24T00:00:00.000
109,20260624,20260815,20260622,136,197,8,416,325,46,7,2,1,POS000109,76.4000,159.3300,159.3300,1,1,2026-08-24T00:00:00.000
110,20260812,20260820,20260705,97,427,346,465,4,170,10,5,5,POS000110,77.1000,160.7000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260708,20260626,20260729,266,334,475,227,64,269,4,3,1,POS000111,77.8000,162.0700,162.0700,1,1,2026-08-24T00:00:00.000
112,20260701,20260722,20260605,420,89,142,24,6,98,11,4,1,POS000112,78.5000,163.4400,163.4400,1,1,2026-08-24T00:00:00.000
113,20260619,20260625,20260529,113,127,254,67,159,367,9,1,1,POS000113,79.2000,164.8100,164.8100,1,1,2026-08-24T00:00:00.000
114,20260712,20260629,20260621,312,167,351,383,211,340,6,6,4,POS000114,79.9000,166.1800,166.1800,1,1,2026-08-24T00:00:00.000
115,20260806,20260814,20260621,291,286,189,91,10,130,2,7,2,POS000115,80.6000,167.5500,167.5500,1,1,2026-08-24T00:00:00.000
116,20260703,20260701,20260618,477,74,125,478,194,481,6,2,1,POS000116,81.3000,168.9200,168.9200,1,1,2026-08-24T00:00:00.000
117,20260715,20260629,20260703,253,392,304,173,104,190,1,7,5,POS000117,82.0000,170.2900,170.2900,1,1,2026-08-24T00:00:00.000
118,20260713,20260730,20260527,48,226,293,185,122,42,6,2,5,POS000118,82.7000,171.6600,171.6600,1,1,2026-08-24T00:00:00.000
119,20260712,20260814,20260820,263,402,386,-1,255,-1,3,1,1,POS000119,83.4000,173.0300,173.0300,1,1,2026-08-24T00:00:00.000
120,20260620,20260802,20260616,256,411,67,102,296,437,2,4,5,POS000120,84.1000,174.4000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260614,20260705,20260705,36,214,440,107,168,46,8,3,1,POS000121,84.8000,175.7700,175.7700,1,1,2026-08-24T00:00:00.000
122,20260602,20260616,20260802,138,325,13,210,88,229,9,1,1,POS000122,85.5000,177.1400,177.1400,1,1,2026-08-24T00:00:00.000
123,20260810,20260819,20260803,40,317,145,156,141,166,2,7,5,POS000123,86.2000,178.5100,178.5100,1,1,2026-08-24T00:00:00.000
124,20260727,20260619,20260815,412,278,200,120,237,321,10,6,5,POS000124,86.9000,179.8800,179.8800,1,1,2026-08-24T00:00:00.000
125,20260811,20260530,20260605,184,92,9,252,220,198,9,2,3,POS000125,87.6000,181.2500,181.2500,1,1,2026-08-24T00:00:00.000
126,20260528,20260719,20260601,56,219,72,110,224,243,10,4,3,POS000126,88.3000,182.6200,182.6200,1,1,2026-08-24T00:00:00.000
127,20260802,20260615,20260628,498,262,465,16,315,489,1,6,4,POS000127,89.0000,183.9900,183.9900,1,1,2026-08-24T00:00:00.000
128,20260812,20260712,20260529,30,361,280,58,164,224,8,2,4,POS000128,89.7000,185.3600,185.3600,1,1,2026-08-24T00:00:00.000
129,20260529,20260801,20260625,203,311,209,286,274,451,10,7,5,POS000129,90.4000,186.7300,186.7300,1,1,2026-08-24T00:00:00.000
130,20260819,20260819,20260625,279,186,464,241,26,204,11,5,4,POS000130,91.1000,188.1000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260622,20260815,20260720,124,323,262,184,177,406,2,4,5,POS000131,91.8000,189.4700,189.4700,1,1,2026-08-24T00:00:00.000
132,20260801,20260804,20260728,164,28,268,259,229,219,6,1,3,POS000132,92.5000,190.8400,190.8400,1,1,2026-08-24T00:00:00.000
133,20260604,20260617,20260714,208,64,449,143,303,416,2,1,4,POS000133,93.2000,192.2100,192.2100,1,1,2026-08-24T00:00:00.000
134,20260614,20260702,20260703,394,390,96,81,151,419,1,3,2,POS000134,93.9000,193.5800,193.5800,1,1,2026-08-24T00:00:00.000
135,20260820,20260716,20260727,65,186,305,274,4,188,10,5,3,POS000135,94.6000,194.9500,194.9500,1,1,2026-08-24T00:00:00.000
136,20260718,20260616,20260531,192,220,465,-1,209,-1,9,7,5,POS000136,95.3000,196.3200,196.3200,1,1,2026-08-24T00:00:00.000
137,20260611,20260816,20260818,500,165,354,394,150,51,4,7,4,POS000137,96.0000,197.6900,197.6900,1,1,2026-08-24T00:00:00.000
138,20260813,20260701,20260701,394,81,447,254,3,88,7,1,3,POS000138,96.7000,199.0600,199.0600,1,1,2026-08-24T00:00:00.000
139,20260611,20260714,20260808,111,27,369,33,113,265,6,3,3,POS000139,97.4000,200.4300,200.4300,1,1,2026-08-24T00:00:00.000
140,20260611,20260716,20260807,267,94,155,378,167,92,3,1,4,POS000140,98.1000,201.8000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260803,20260728,20260606,391,335,349,152,228,157,3,6,2,POS000141,98.8000,203.1700,203.1700,1,1,2026-08-24T00:00:00.000
142,20260811,20260617,20260601,373,361,356,120,345,402,9,6,5,POS000142,99.5000,204.5400,204.5400,1,1,2026-08-24T00:00:00.000
143,20260622,20260730,20260616,270,53,169,123,189,492,10,3,1,POS000143,100.2000,205.9100,205.9100,1,1,2026-08-24T00:00:00.000
144,20260604,20260611,20260814,142,79,131,184,105,417,6,3,2,POS000144,100.9000,207.2800,207.2800,1,1,2026-08-24T00:00:00.000
145,20260803,20260624,20260705,287,373,237,214,109,365,4,4,1,POS000145,101.6000,208.6500,208.6500,1,1,2026-08-24T00:00:00.000
146,20260805,20260610,20260822,265,468,445,384,219,282,4,3,4,POS000146,102.3000,210.0200,210.0200,1,1,2026-08-24T00:00:00.000
147,20260711,20260719,20260704,236,230,370,304,306,165,8,4,2,POS000147,103.0000,211.3900,211.3900,1,1,2026-08-24T00:00:00.000
148,20260720,20260823,20260718,239,113,324,427,201,429,11,3,1,POS000148,103.7000,212.7600,212.7600,1,1,2026-08-24T00:00:00.000
149,20260714,20260709,20260601,96,339,185,334,133,218,7,4,1,POS000149,104.4000,214.1300,214.1300,1,1,2026-08-24T00:00:00.000
150,20260719,20260629,20260606,23,231,431,44,201,236,4,3,3,POS000150,105.1000,215.5000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260715,20260713,20260621,221,358,146,250,196,356,9,7,5,POS000151,105.8000,216.8700,216.8700,1,1,2026-08-24T00:00:00.000
152,20260603,20260817,20260630,435,469,358,266,242,169,1,6,4,POS000152,106.5000,218.2400,218.2400,1,1,2026-08-24T00:00:00.000
153,20260720,20260802,20260821,89,64,268,-1,117,-1,10,5,4,POS000153,107.2000,219.6100,219.6100,1,1,2026-08-24T00:00:00.000
154,20260820,20260807,20260721,35,126,56,426,271,495,3,5,2,POS000154,107.9000,220.9800,220.9800,1,1,2026-08-24T00:00:00.000
155,20260814,20260728,20260803,116,15,416,429,144,413,9,7,5,POS000155,108.6000,222.3500,222.3500,1,1,2026-08-24T00:00:00.000
156,20260801,20260810,20260807,17,89,177,217,224,409,2,3,4,POS000156,109.3000,223.7200,223.7200,1,1,2026-08-24T00:00:00.000
157,20260703,20260710,20260815,78,334,110,101,40,106,6,5,2,POS000157,110.0000,225.0900,225.0900,1,1,2026-08-24T00:00:00.000
158,20260629,20260704,20260730,350,478,247,259,321,171,5,1,4,POS000158,110.7000,226.4600,226.4600,1,1,2026-08-24T00:00:00.000
159,20260813,20260608,20260810,99,154,130,313,331,200,10,4,5,POS000159,111.4000,227.8300,227.8300,1,1,2026-08-24T00:00:00.000
160,20260821,20260822,20260711,155,407,218,466,158,342,7,2,4,POS000160,112.1000,229.2000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260707,20260602,20260605,234,314,308,463,283,329,8,6,2,POS000161,112.8000,230.5700,230.5700,1,1,2026-08-24T00:00:00.000
162,20260701,20260625,20260721,59,483,496,265,222,211,5,1,5,POS000162,113.5000,231.9400,231.9400,1,1,2026-08-24T00:00:00.000
163,20260804,20260614,20260712,312,76,373,261,107,482,8,2,4,POS000163,114.2000,233.3100,233.3100,1,1,2026-08-24T00:00:00.000
164,20260810,20260622,20260727,228,388,230,305,345,49,1,5,2,POS000164,114.9000,234.6800,234.6800,1,1,2026-08-24T00:00:00.000
165,20260530,20260814,20260811,102,157,285,273,294,408,7,6,5,POS000165,115.6000,236.0500,236.0500,1,1,2026-08-24T00:00:00.000
166,20260723,20260821,20260722,333,330,284,235,304,465,9,3,1,POS000166,116.3000,237.4200,237.4200,1,1,2026-08-24T00:00:00.000
167,20260710,20260625,20260804,170,175,42,273,20,377,5,4,2,POS000167,117.0000,238.7900,238.7900,1,1,2026-08-24T00:00:00.000
168,20260824,20260611,20260707,375,306,42,231,9,193,1,1,4,POS000168,117.7000,240.1600,240.1600,1,1,2026-08-24T00:00:00.000
169,20260710,20260722,20260808,300,136,19,214,30,500,4,4,4,POS000169,118.4000,241.5300,241.5300,1,1,2026-08-24T00:00:00.000
170,20260621,20260823,20260812,462,106,237,-1,75,-1,3,5,3,POS000170,119.1000,242.9000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260730,20260707,20260719,203,100,115,229,244,328,5,3,2,POS000171,119.8000,244.2700,244.2700,1,1,2026-08-24T00:00:00.000
172,20260620,20260801,20260819,261,191,480,247,142,392,7,3,3,POS000172,120.5000,245.6400,245.6400,1,1,2026-08-24T00:00:00.000
173,20260807,20260604,20260729,157,346,86,39,150,491,7,3,4,POS000173,121.2000,247.0100,247.0100,1,1,2026-08-24T00:00:00.000
174,20260815,20260610,20260613,420,154,271,288,111,361,9,2,4,POS000174,121.9000,248.3800,248.3800,1,1,2026-08-24T00:00:00.000
175,20260530,20260711,20260607,80,443,213,209,207,139,11,4,4,POS000175,122.6000,249.7500,249.7500,1,1,2026-08-24T00:00:00.000
176,20260625,20260606,20260809,130,289,328,317,350,431,7,1,4,POS000176,123.3000,251.1200,251.1200,1,1,2026-08-24T00:00:00.000
177,20260602,20260527,20260611,472,199,180,264,40,57,5,2,3,POS000177,124.0000,252.4900,252.4900,1,1,2026-08-24T00:00:00.000
178,20260801,20260726,20260714,214,66,54,447,285,163,7,3,3,POS000178,124.7000,253.8600,253.8600,1,1,2026-08-24T00:00:00.000
179,20260723,20260722,20260629,346,259,191,325,176,478,12,4,3,POS000179,125.4000,255.2300,255.2300,1,1,2026-08-24T00:00:00.000
180,20260803,20260619,20260702,162,4,362,111,317,257,9,3,1,POS000180,126.1000,256.6000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260623,20260715,20260702,118,496,285,11,6,82,3,5,1,POS000181,126.8000,257.9700,257.9700,1,1,2026-08-24T00:00:00.000
182,20260630,20260712,20260608,456,21,98,351,197,495,2,7,4,POS000182,127.5000,259.3400,259.3400,1,1,2026-08-24T00:00:00.000
183,20260816,20260730,20260819,214,44,341,353,248,378,11,1,4,POS000183,128.2000,260.7100,260.7100,1,1,2026-08-24T00:00:00.000
184,20260815,20260630,20260613,493,118,24,484,145,71,5,2,3,POS000184,128.9000,262.0800,262.0800,1,1,2026-08-24T00:00:00.000
185,20260812,20260808,20260601,63,106,383,204,58,310,9,3,3,POS000185,129.6000,263.4500,263.4500,1,1,2026-08-24T00:00:00.000
186,20260604,20260620,20260801,482,300,15,373,273,435,6,3,1,POS000186,130.3000,264.8200,264.8200,1,1,2026-08-24T00:00:00.000
187,20260616,20260813,20260729,2,323,486,-1,125,-1,6,4,5,POS000187,131.0000,266.1900,266.1900,1,1,2026-08-24T00:00:00.000
188,20260714,20260613,20260816,51,4,191,88,122,470,12,2,5,POS000188,131.7000,267.5600,267.5600,1,1,2026-08-24T00:00:00.000
189,20260615,20260808,20260729,217,70,25,205,125,208,5,7,4,POS000189,132.4000,268.9300,268.9300,1,1,2026-08-24T00:00:00.000
190,20260626,20260701,20260712,330,461,472,219,8,46,7,4,2,POS000190,133.1000,270.3000,270.3000,1,1,2026-08-24T00:00:00.000
