MachineStateEventKey,StartDateKey,EndDateKey,StartTimeOfDayKey,EndTimeOfDayKey,MachineKey,MachineStateKey,WorkCenterKey,PlantKey,ProductionShiftKey,MachineStateTypeKey,StateEventNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
17,20260809,20260731,19560,19860,311,404,358,223,-1,1,MSE000017,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260622,20260730,52200,49080,301,111,81,91,340,9,MSE000018,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260529,20260703,76080,72420,182,66,262,273,150,6,MSE000019,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260624,20260527,31860,34080,118,331,197,191,420,9,MSE000020,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260713,20260628,46920,64620,9,102,331,149,447,2,MSE000021,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260623,20260602,21960,62940,470,180,156,54,434,11,MSE000022,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260530,20260530,31380,9960,240,349,303,182,138,11,MSE000023,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260728,20260713,56100,6720,152,49,243,39,152,5,MSE000024,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260528,20260612,6660,36540,252,282,22,330,372,12,MSE000025,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260610,20260614,60600,13320,259,386,246,11,34,10,MSE000026,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260702,20260819,64740,71940,88,165,301,283,374,12,MSE000027,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260820,20260720,76020,6180,249,402,120,290,68,1,MSE000028,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260618,20260811,26820,64080,66,85,72,258,305,7,MSE000029,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260817,20260810,59640,82320,41,449,44,320,418,2,MSE000030,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260706,20260705,26040,79920,245,192,144,11,247,4,MSE000031,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260628,20260620,5100,33300,30,44,194,2,71,8,MSE000032,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260719,20260810,15120,25080,52,447,10,268,165,9,MSE000033,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260701,20260725,26160,79800,256,409,309,191,-1,6,MSE000034,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260705,20260822,13260,15900,278,68,157,265,476,7,MSE000035,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260711,20260625,82020,62940,336,405,115,337,488,10,MSE000036,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260610,20260723,28860,40680,82,233,44,13,125,9,MSE000037,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260620,20260624,17520,22080,323,173,455,206,7,12,MSE000038,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260609,20260805,54720,82200,448,348,130,30,308,2,MSE000039,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260618,20260715,61920,71040,419,343,142,193,49,6,MSE000040,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260601,20260810,40260,82980,431,115,130,152,341,11,MSE000041,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260621,20260711,55920,43140,393,217,7,278,479,8,MSE000042,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260715,20260721,14160,31440,98,34,498,275,27,3,MSE000043,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260601,20260628,42120,62040,147,91,384,208,325,11,MSE000044,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260619,20260819,18540,33840,465,104,150,60,338,10,MSE000045,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260606,20260718,5940,49800,496,45,414,138,253,11,MSE000046,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260610,20260620,29400,55800,245,244,76,178,145,6,MSE000047,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260527,20260703,9660,65100,120,39,224,11,372,6,MSE000048,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260802,20260810,67680,24660,487,35,197,225,301,7,MSE000049,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260610,20260529,59340,61800,459,109,353,270,293,3,MSE000050,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260531,20260630,33900,50220,266,7,350,340,-1,12,MSE000051,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260716,20260720,62340,15300,407,239,257,319,481,6,MSE000052,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260624,20260716,57120,57060,283,485,241,17,31,1,MSE000053,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260713,20260530,43980,69360,352,307,204,234,207,12,MSE000054,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260730,20260809,1140,61260,192,229,494,70,131,3,MSE000055,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260630,20260527,12360,22920,488,347,143,135,40,5,MSE000056,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260716,20260529,81420,26340,450,265,59,279,52,8,MSE000057,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260604,20260528,66180,61320,238,48,220,218,52,9,MSE000058,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260626,20260703,12600,2520,122,493,85,47,486,4,MSE000059,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260616,20260819,6060,41880,76,107,495,247,401,3,MSE000060,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260630,20260719,72060,40140,279,220,433,69,292,4,MSE000061,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260707,20260709,33480,57240,21,44,112,184,150,6,MSE000062,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260531,20260801,33420,2160,282,395,322,268,101,12,MSE000063,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260801,20260713,13140,16620,487,112,74,12,266,7,MSE000064,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260615,20260722,7140,2880,443,285,95,194,265,3,MSE000065,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260623,20260614,66420,5640,230,118,45,159,150,10,MSE000066,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260605,20260724,0,83880,442,324,383,19,318,6,MSE000067,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260721,20260727,72360,780,16,166,77,95,-1,9,MSE000068,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260722,20260623,12960,19680,410,204,462,116,147,7,MSE000069,70,104.5300,74.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260729,20260611,38340,58260,339,61,462,15,373,6,MSE000070,71,105.9000,75.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260627,20260814,14040,64380,329,211,232,323,181,12,MSE000071,72,107.2700,76.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260718,20260628,75660,57360,243,448,496,131,126,8,MSE000072,73,108.6400,77.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260816,20260628,82020,60,56,296,373,121,66,5,MSE000073,74,110.0100,78.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260619,20260709,58200,34740,295,307,83,43,406,3,MSE000074,75,111.3800,79.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260804,20260708,42360,18300,236,89,384,264,270,8,MSE000075,76,112.7500,80.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260626,20260708,9180,78480,454,1,231,333,140,1,MSE000076,77,114.1200,81.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260723,20260708,51600,10320,325,335,151,57,29,5,MSE000077,78,115.4900,82.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260731,20260610,25620,18900,422,53,335,276,283,10,MSE000078,79,116.8600,83.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260711,20260725,16620,51360,226,74,325,189,169,8,MSE000079,80,118.2300,84.0000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260530,20260718,9540,76440,198,12,252,205,308,6,MSE000080,81,119.6000,85.0000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260806,20260712,49920,53400,440,199,227,158,48,12,MSE000081,82,120.9700,86.0000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260821,20260803,40080,82920,252,383,22,210,140,2,MSE000082,83,122.3400,87.0000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260702,20260616,40200,50880,108,283,246,87,495,4,MSE000083,84,123.7100,88.0000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260823,20260610,72780,84660,23,285,408,219,444,1,MSE000084,85,125.0800,89.0000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260731,20260722,68880,27960,179,306,188,328,-1,4,MSE000085,86,126.4500,90.0000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260610,20260629,64260,8580,49,457,492,176,171,12,MSE000086,87,127.8200,91.0000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260814,20260808,34920,69360,467,375,105,336,297,6,MSE000087,88,129.1900,92.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260731,20260804,59040,70920,368,338,69,5,250,5,MSE000088,89,130.5600,93.0000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260812,20260620,31380,23220,400,399,129,235,84,3,MSE000089,90,131.9300,94.0000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260803,20260606,76260,34980,276,271,369,301,282,9,MSE000090,91,133.3000,95.0000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260805,20260703,5880,62280,423,198,425,185,123,8,MSE000091,92,134.6700,96.0000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260603,20260724,65520,74100,327,495,297,295,380,6,MSE000092,93,136.0400,97.0000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260803,20260626,74520,83460,226,47,325,238,125,5,MSE000093,94,137.4100,98.0000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260704,20260707,71520,45660,389,355,397,57,487,7,MSE000094,95,138.7800,99.0000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260714,20260807,9660,53700,285,397,330,32,373,3,MSE000095,96,140.1500,100.0000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260708,20260609,60900,69900,71,499,126,206,268,5,MSE000096,97,141.5200,101.0000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260527,20260805,47940,74100,348,64,426,290,354,12,MSE000097,98,142.8900,102.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260530,20260813,24720,35100,296,138,63,239,124,5,MSE000098,99,144.2600,103.0000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260718,20260802,5880,82020,423,230,166,117,378,7,MSE000099,100,145.6300,104.0000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260812,20260808,59340,27180,113,196,361,124,220,11,MSE000100,101,147.0000,105.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260710,20260720,58200,5160,425,205,114,76,410,1,MSE000101,102,148.3700,106.0000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260620,20260703,42840,44880,67,190,13,280,-1,9,MSE000102,103,149.7400,107.0000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260601,20260620,43680,41820,352,497,348,51,116,1,MSE000103,104,151.1100,108.0000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260530,20260710,7560,10920,471,185,281,77,314,2,MSE000104,105,152.4800,109.0000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260613,20260608,60720,33720,449,98,174,337,105,4,MSE000105,106,153.8500,110.0000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260702,20260731,7680,50340,405,126,414,238,279,10,MSE000106,107,155.2200,111.0000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260731,20260604,34620,48300,464,143,259,188,292,6,MSE000107,108,156.5900,112.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260724,20260629,33300,9720,138,352,89,111,219,9,MSE000108,109,157.9600,113.0000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260808,20260703,66420,15540,298,298,261,269,490,4,MSE000109,110,159.3300,114.0000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260530,20260822,23580,10800,382,40,312,305,171,12,MSE000110,111,160.7000,115.0000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260717,20260810,28740,42600,131,60,208,166,7,3,MSE000111,112,162.0700,116.0000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260713,20260625,38220,4200,488,484,190,158,344,7,MSE000112,113,163.4400,117.0000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260720,20260527,78840,56880,452,26,388,180,317,5,MSE000113,114,164.8100,118.0000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260809,20260811,65100,64800,129,262,294,186,212,11,MSE000114,115,166.1800,119.0000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260722,20260715,31260,76140,168,298,465,274,457,2,MSE000115,116,167.5500,120.0000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260817,20260705,59400,70920,236,204,8,299,228,8,MSE000116,117,168.9200,121.0000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260712,20260626,68280,51840,472,478,341,287,229,12,MSE000117,118,170.2900,122.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260710,20260610,240,27780,425,148,220,343,367,12,MSE000118,119,171.6600,123.0000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260708,20260807,49680,23280,319,20,67,207,-1,5,MSE000119,120,173.0300,124.0000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260716,20260816,12360,21660,106,289,1,170,224,12,MSE000120,121,174.4000,125.0000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260730,20260609,60000,34680,74,73,246,114,153,2,MSE000121,122,175.7700,126.0000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260626,20260727,21840,21240,90,247,120,350,482,5,MSE000122,123,177.1400,127.0000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260724,20260802,54060,12000,481,394,471,220,88,7,MSE000123,124,178.5100,128.0000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260720,20260720,31380,26460,420,231,195,187,389,9,MSE000124,125,179.8800,129.0000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260607,20260605,360,62340,175,436,67,147,246,4,MSE000125,126,181.2500,130.0000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260628,20260726,66600,85740,74,167,411,41,95,12,MSE000126,127,182.6200,131.0000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260718,20260727,62580,21000,362,182,380,109,226,12,MSE000127,128,183.9900,132.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260605,20260731,44940,68400,192,70,68,18,48,9,MSE000128,129,185.3600,133.0000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260606,20260819,62520,26640,16,360,154,91,238,6,MSE000129,130,186.7300,134.0000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260713,20260703,14280,28560,167,406,81,260,127,2,MSE000130,131,188.1000,135.0000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260622,20260704,16440,37380,119,407,22,3,444,4,MSE000131,132,189.4700,136.0000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260814,20260724,7140,84600,130,461,98,90,24,1,MSE000132,133,190.8400,137.0000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260603,20260803,82500,54720,177,15,294,145,47,3,MSE000133,134,192.2100,138.0000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260618,20260811,25620,40980,205,403,478,162,307,2,MSE000134,135,193.5800,139.0000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260812,20260727,65700,37140,272,445,468,51,457,2,MSE000135,136,194.9500,140.0000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260609,20260731,56160,77700,153,428,24,65,-1,6,MSE000136,137,196.3200,141.0000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260809,20260619,48780,53760,453,87,173,143,409,12,MSE000137,138,197.6900,142.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260604,20260622,82560,81480,288,5,383,44,290,3,MSE000138,139,199.0600,143.0000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260627,20260608,57540,86280,46,117,1,153,215,3,MSE000139,140,200.4300,144.0000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260619,20260720,66960,21000,355,189,207,39,321,3,MSE000140,141,201.8000,145.0000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260812,20260615,43440,50820,383,148,482,134,69,8,MSE000141,142,203.1700,146.0000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260609,20260809,2700,15660,227,219,344,207,292,10,MSE000142,143,204.5400,147.0000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260818,20260731,49380,25740,494,305,349,181,313,11,MSE000143,144,205.9100,148.0000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260812,20260817,81120,44160,464,301,197,213,320,12,MSE000144,145,207.2800,149.0000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260707,20260729,27600,54600,348,369,334,302,439,3,MSE000145,146,208.6500,150.0000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260715,20260712,46740,30060,220,465,63,323,50,2,MSE000146,147,210.0200,151.0000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260611,20260709,75180,75720,288,221,14,349,80,9,MSE000147,148,211.3900,152.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260605,20260722,37080,16620,430,252,365,198,34,3,MSE000148,149,212.7600,153.0000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260629,20260822,68340,35820,187,298,451,133,310,7,MSE000149,150,214.1300,154.0000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260801,20260706,62100,46080,113,54,473,87,207,12,MSE000150,151,215.5000,155.0000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260613,20260704,31980,75660,380,67,407,56,10,3,MSE000151,152,216.8700,156.0000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260605,20260812,31620,69000,390,271,256,58,462,3,MSE000152,153,218.2400,157.0000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260617,20260716,34320,11160,69,143,459,161,-1,2,MSE000153,154,219.6100,158.0000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260706,20260701,65520,33540,361,231,264,344,237,2,MSE000154,155,220.9800,159.0000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260625,20260627,69660,74940,239,407,75,76,42,10,MSE000155,156,222.3500,160.0000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260718,20260807,1620,55860,240,124,262,332,343,4,MSE000156,157,223.7200,161.0000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260630,20260624,78480,73200,128,223,128,328,290,2,MSE000157,158,225.0900,162.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260603,20260805,19380,79680,449,442,98,150,75,1,MSE000158,159,226.4600,163.0000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260730,20260719,25380,81900,407,60,256,81,309,3,MSE000159,160,227.8300,164.0000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260805,20260527,34980,64980,48,180,422,287,428,9,MSE000160,161,229.2000,165.0000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260822,20260721,71160,45480,270,321,296,246,269,1,MSE000161,162,230.5700,166.0000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260530,20260707,83760,4440,141,129,23,9,458,10,MSE000162,163,231.9400,167.0000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260628,20260716,1620,56880,404,131,390,128,150,5,MSE000163,164,233.3100,168.0000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260708,20260612,15720,63180,135,145,72,4,354,5,MSE000164,165,234.6800,169.0000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260601,20260613,54780,14220,184,186,166,149,219,1,MSE000165,166,236.0500,170.0000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260605,20260718,80760,23760,222,8,470,138,135,3,MSE000166,167,237.4200,171.0000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260806,20260812,49980,41100,174,117,176,142,220,4,MSE000167,168,238.7900,172.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260623,20260822,32220,5100,420,281,413,150,318,10,MSE000168,169,240.1600,173.0000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260711,20260714,29580,25020,447,29,352,161,341,12,MSE000169,170,241.5300,174.0000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260529,20260726,63720,31140,425,231,165,343,-1,1,MSE000170,171,242.9000,175.0000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260819,20260718,41520,3180,406,87,99,326,93,1,MSE000171,172,244.2700,176.0000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260819,20260724,52140,44220,201,10,346,290,75,10,MSE000172,173,245.6400,177.0000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260708,20260721,10740,77520,354,79,469,163,206,6,MSE000173,174,247.0100,178.0000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260821,20260604,80340,73440,9,355,46,46,275,7,MSE000174,175,248.3800,179.0000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260628,20260709,68460,7680,320,162,269,2,368,1,MSE000175,176,249.7500,180.0000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260804,20260802,27300,71340,144,378,4,163,333,4,MSE000176,177,251.1200,181.0000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260612,20260809,9960,33300,221,395,291,143,289,10,MSE000177,178,252.4900,182.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260623,20260619,82620,18960,107,232,345,276,108,6,MSE000178,179,253.8600,183.0000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260704,20260824,22980,60960,418,15,31,206,487,8,MSE000179,180,255.2300,184.0000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260728,20260527,42120,29640,332,99,232,13,295,11,MSE000180,181,256.6000,185.0000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260528,20260610,51600,61200,167,313,320,108,219,2,MSE000181,182,257.9700,186.0000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260627,20260629,76860,25920,105,438,10,45,244,7,MSE000182,183,259.3400,187.0000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260712,20260812,76500,72180,76,430,137,208,299,4,MSE000183,184,260.7100,188.0000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260529,20260717,62700,57300,261,407,216,151,238,2,MSE000184,185,262.0800,189.0000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260603,20260820,71340,15180,426,356,207,61,5,9,MSE000185,186,263.4500,190.0000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260814,20260811,78720,72300,379,91,265,338,204,10,MSE000186,187,264.8200,191.0000,264.8200,1,1,2026-08-24T00:00:00.000
187,20260608,20260708,49020,27600,414,218,401,287,-1,7,MSE000187,188,266.1900,192.0000,266.1900,1,1,2026-08-24T00:00:00.000
188,20260819,20260726,80940,44160,305,161,253,146,482,4,MSE000188,189,267.5600,193.0000,267.5600,1,1,2026-08-24T00:00:00.000
189,20260619,20260806,25500,26040,278,29,205,44,243,8,MSE000189,190,268.9300,194.0000,268.9300,1,1,2026-08-24T00:00:00.000
190,20260622,20260715,17460,42780,89,356,25,200,468,5,MSE000190,191,270.3000,195.0000,270.3000,1,1,2026-08-24T00:00:00.000
191,20260820,20260702,81180,50040,443,30,27,5,159,6,MSE000191,192,271.6700,196.0000,271.6700,1,1,2026-08-24T00:00:00.000
192,20260622,20260727,50160,47460,287,73,386,124,98,8,MSE000192,193,273.0400,197.0000,273.0400,1,1,2026-08-24T00:00:00.000
193,20260730,20260727,66540,840,70,81,139,350,143,4,MSE000193,194,274.4100,198.0000,274.4100,1,1,2026-08-24T00:00:00.000
194,20260617,20260709,79740,13920,494,226,238,173,317,8,MSE000194,195,275.7800,199.0000,275.7800,1,1,2026-08-24T00:00:00.000
195,20260821,20260531,10500,33840,12,199,32,168,189,3,MSE000195,196,277.1500,200.0000,277.1500,1,1,2026-08-24T00:00:00.000
