ProductionScrapReworkEventKey,EventDateKey,EventTimeOfDayKey,ProductionWorkOrderKey,ProductionOperationKey,ProductKey,WorkCenterKey,RecorderEmployeeKey,ProductionLotKey,ProductionScrapReasonKey,ProductionReworkReasonKey,SeverityKey,UnitOfMeasureKey,EventNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
28,20260811,36360,477,294,51,296,328,164,1,12,1,7,PSRE000028,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260815,43260,333,419,67,225,81,318,12,6,4,1,PSRE000029,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260711,64020,2,194,320,265,368,63,9,6,1,2,PSRE000030,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260731,22440,79,418,349,180,85,380,9,3,1,7,PSRE000031,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260811,40560,380,256,267,200,327,147,7,10,2,7,PSRE000032,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260611,33300,4,389,49,45,344,112,1,9,1,2,PSRE000033,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260703,65460,57,455,279,460,-1,-1,-1,-1,5,6,PSRE000034,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260623,81840,87,206,485,117,493,270,3,11,5,1,PSRE000035,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260608,21180,375,48,358,202,52,390,4,1,3,1,PSRE000036,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260607,6960,141,389,142,311,180,480,7,8,4,4,PSRE000037,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260527,77700,217,192,77,212,415,470,8,8,3,3,PSRE000038,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260720,15660,143,310,188,355,402,82,2,6,4,2,PSRE000039,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260729,61080,387,146,216,422,5,235,9,10,3,3,PSRE000040,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260614,32700,280,125,339,376,362,2,5,10,3,7,PSRE000041,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260816,59340,259,271,420,123,195,433,7,9,1,7,PSRE000042,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260722,27120,61,387,235,286,110,251,6,3,5,6,PSRE000043,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260709,81000,135,322,312,69,263,416,1,9,2,4,PSRE000044,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260613,66120,498,47,456,8,116,449,12,12,4,5,PSRE000045,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260718,83280,423,183,296,339,308,428,10,1,2,3,PSRE000046,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260527,34380,373,429,14,12,459,317,9,5,1,4,PSRE000047,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260726,60240,370,99,186,128,151,146,2,5,4,7,PSRE000048,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260727,21720,445,196,63,430,378,78,8,7,4,7,PSRE000049,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260719,79860,179,116,41,66,97,157,12,7,5,4,PSRE000050,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260622,58980,259,191,68,139,-1,-1,-1,-1,3,7,PSRE000051,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260708,68220,486,270,269,314,351,55,11,9,3,7,PSRE000052,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260618,57180,436,469,275,479,441,281,12,1,3,3,PSRE000053,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260810,3060,99,414,487,336,231,50,11,5,4,3,PSRE000054,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260608,28440,408,406,59,256,157,205,2,11,2,1,PSRE000055,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260804,74400,390,8,438,6,386,220,7,1,3,2,PSRE000056,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260624,29220,388,428,89,474,79,225,7,5,4,5,PSRE000057,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260718,35820,193,429,89,191,450,240,5,3,4,2,PSRE000058,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260715,76020,354,448,98,415,484,362,10,7,3,2,PSRE000059,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260528,45780,417,283,309,70,489,97,9,8,3,5,PSRE000060,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260808,6240,233,48,307,482,124,3,4,3,2,7,PSRE000061,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260715,73800,288,29,30,345,132,418,2,7,5,1,PSRE000062,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260603,37740,39,94,484,201,33,111,12,8,5,1,PSRE000063,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260822,13980,242,170,27,451,399,317,1,11,3,5,PSRE000064,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260619,68280,191,251,165,142,112,138,6,6,2,3,PSRE000065,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260605,16800,115,97,155,355,396,383,5,1,3,1,PSRE000066,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260708,13260,473,212,135,327,157,316,7,4,4,7,PSRE000067,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260805,83940,359,221,363,48,-1,-1,-1,-1,5,3,PSRE000068,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260705,28380,144,266,187,247,259,407,1,10,1,1,PSRE000069,70,104.5300,74.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260723,33480,377,84,63,331,69,335,4,6,4,1,PSRE000070,71,105.9000,75.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260614,27000,461,109,397,439,216,54,12,10,1,1,PSRE000071,72,107.2700,76.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260614,57240,442,426,34,351,113,209,10,5,5,5,PSRE000072,73,108.6400,77.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260726,61500,304,148,269,176,240,245,2,5,5,3,PSRE000073,74,110.0100,78.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260613,79680,53,231,279,31,348,421,7,9,2,2,PSRE000074,75,111.3800,79.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260608,18000,354,260,16,177,355,325,6,1,1,3,PSRE000075,76,112.7500,80.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260617,82620,27,254,369,406,350,198,5,7,3,1,PSRE000076,77,114.1200,81.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260812,78180,7,337,367,117,271,83,2,9,4,6,PSRE000077,78,115.4900,82.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260707,36420,199,183,93,446,62,11,3,11,4,5,PSRE000078,79,116.8600,83.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260813,11820,358,179,78,196,114,333,2,10,5,2,PSRE000079,80,118.2300,84.0000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260527,76500,449,115,215,90,499,198,11,7,3,2,PSRE000080,81,119.6000,85.0000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260814,53100,210,391,93,366,210,88,3,7,3,1,PSRE000081,82,120.9700,86.0000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260703,20400,18,236,233,206,30,352,11,3,2,3,PSRE000082,83,122.3400,87.0000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260711,75300,333,262,139,40,467,65,11,6,2,3,PSRE000083,84,123.7100,88.0000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260723,65280,219,44,50,164,209,85,9,7,2,2,PSRE000084,85,125.0800,89.0000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260613,49740,468,405,53,413,-1,-1,-1,-1,3,6,PSRE000085,86,126.4500,90.0000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260727,49920,483,377,141,12,83,153,11,11,1,1,PSRE000086,87,127.8200,91.0000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260720,55860,75,20,132,157,41,280,9,6,4,7,PSRE000087,88,129.1900,92.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260806,19140,364,267,430,321,490,299,1,6,4,2,PSRE000088,89,130.5600,93.0000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260802,71280,223,66,492,161,448,78,8,9,4,2,PSRE000089,90,131.9300,94.0000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260801,18840,426,104,438,117,174,481,3,5,5,4,PSRE000090,91,133.3000,95.0000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260718,28920,236,195,203,457,473,201,3,8,2,4,PSRE000091,92,134.6700,96.0000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260728,78300,447,367,19,383,76,82,6,4,4,7,PSRE000092,93,136.0400,97.0000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260724,80580,17,71,464,54,398,283,1,9,5,6,PSRE000093,94,137.4100,98.0000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260625,11580,442,5,111,298,419,306,9,7,1,6,PSRE000094,95,138.7800,99.0000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260625,78960,434,430,350,35,263,475,2,5,4,5,PSRE000095,96,140.1500,100.0000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260711,75900,175,187,305,11,367,440,6,5,4,4,PSRE000096,97,141.5200,101.0000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260527,24420,445,407,450,411,65,63,9,8,1,6,PSRE000097,98,142.8900,102.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260623,39900,16,229,499,445,342,46,6,9,4,1,PSRE000098,99,144.2600,103.0000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260611,82800,154,154,55,478,73,440,1,8,5,3,PSRE000099,100,145.6300,104.0000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260628,7080,184,232,66,172,298,97,10,5,5,2,PSRE000100,101,147.0000,105.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260803,74340,303,274,373,474,387,267,5,7,3,3,PSRE000101,102,148.3700,106.0000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260704,77160,36,412,264,483,-1,-1,-1,-1,3,1,PSRE000102,103,149.7400,107.0000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260710,50460,31,463,124,34,487,384,10,12,2,2,PSRE000103,104,151.1100,108.0000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260628,26880,289,288,338,142,139,331,1,1,4,2,PSRE000104,105,152.4800,109.0000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260607,11100,495,1,272,96,278,483,7,3,4,4,PSRE000105,106,153.8500,110.0000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260803,69300,168,195,45,297,331,462,11,5,3,2,PSRE000106,107,155.2200,111.0000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260602,33300,274,7,495,166,35,142,2,4,1,3,PSRE000107,108,156.5900,112.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260708,45060,161,396,472,188,156,425,5,2,3,5,PSRE000108,109,157.9600,113.0000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260606,13860,492,23,149,415,271,375,10,6,5,4,PSRE000109,110,159.3300,114.0000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260716,33180,285,146,156,364,340,237,4,10,4,6,PSRE000110,111,160.7000,115.0000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260721,61440,268,388,35,61,119,381,9,9,5,4,PSRE000111,112,162.0700,116.0000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260612,69180,263,374,127,121,186,101,8,8,1,4,PSRE000112,113,163.4400,117.0000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260620,5520,429,310,248,149,162,197,6,9,5,5,PSRE000113,114,164.8100,118.0000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260823,71340,177,137,385,25,336,104,6,12,5,2,PSRE000114,115,166.1800,119.0000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260819,11400,404,200,449,454,489,426,1,1,2,1,PSRE000115,116,167.5500,120.0000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260608,15600,238,28,430,413,97,17,11,5,3,7,PSRE000116,117,168.9200,121.0000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260617,37560,366,242,61,318,244,156,4,7,1,4,PSRE000117,118,170.2900,122.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260715,83040,347,417,285,490,150,409,2,5,4,2,PSRE000118,119,171.6600,123.0000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260810,8220,76,331,59,214,-1,-1,-1,-1,1,2,PSRE000119,120,173.0300,124.0000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260601,76560,467,130,452,388,387,177,4,1,4,4,PSRE000120,121,174.4000,125.0000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260605,9540,203,70,470,9,412,176,4,6,2,1,PSRE000121,122,175.7700,126.0000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260724,62100,263,486,150,120,457,328,9,7,1,4,PSRE000122,123,177.1400,127.0000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260702,26280,342,94,294,350,389,298,8,6,5,1,PSRE000123,124,178.5100,128.0000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260821,54480,97,13,185,37,69,71,8,9,2,4,PSRE000124,125,179.8800,129.0000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260628,15420,82,410,330,445,243,249,5,4,3,1,PSRE000125,126,181.2500,130.0000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260721,29400,399,135,480,163,8,281,11,5,5,7,PSRE000126,127,182.6200,131.0000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260726,76380,233,41,179,94,157,334,4,2,1,2,PSRE000127,128,183.9900,132.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260608,52860,241,231,429,432,214,122,7,9,4,5,PSRE000128,129,185.3600,133.0000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260810,13260,197,311,234,192,5,385,8,7,2,1,PSRE000129,130,186.7300,134.0000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260719,28800,482,438,115,389,111,56,6,4,2,6,PSRE000130,131,188.1000,135.0000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260802,68100,337,83,318,255,120,250,8,8,4,5,PSRE000131,132,189.4700,136.0000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260601,18540,159,370,356,89,438,211,1,9,2,2,PSRE000132,133,190.8400,137.0000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260604,33540,279,235,443,40,406,350,7,4,3,1,PSRE000133,134,192.2100,138.0000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260614,80520,197,329,197,405,256,105,1,2,3,3,PSRE000134,135,193.5800,139.0000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260619,41280,211,180,49,259,361,427,9,3,3,7,PSRE000135,136,194.9500,140.0000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260529,4500,73,438,239,376,-1,-1,-1,-1,3,7,PSRE000136,137,196.3200,141.0000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260824,18840,372,482,14,320,444,451,12,5,1,2,PSRE000137,138,197.6900,142.0000,197.6900,1,1,2026-08-24T00:00:00.000
