FinanceProductCostSnapshotKey,SnapshotDateKey,EffectiveDateKey,ProductKey,PlantKey,FinanceProductCostVersionKey,FinanceCostComponentDetailKey,FinanceCostElementDetailKey,FinanceCostingMethodKey,CurrencyKey,StandardCostAmount,ActualCostAmount,CostVarianceAmount,CostQuantity,SourceSystemKey,BatchId,LoadedAtUtc
37,20260805,20260809,131,201,475,447,42,2,3,60.6900,60.6900,60.6900,60.6900,1,1,2026-08-24T00:00:00.000
38,20260623,20260804,267,200,71,491,127,6,1,62.0600,62.0600,62.0600,62.0600,1,1,2026-08-24T00:00:00.000
39,20260822,20260630,323,173,38,335,347,4,4,63.4300,63.4300,63.4300,63.4300,1,1,2026-08-24T00:00:00.000
40,20260805,20260721,172,168,338,440,391,2,2,64.8000,64.8000,64.8000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260726,20260615,451,82,308,228,68,8,2,66.1700,66.1700,66.1700,66.1700,1,1,2026-08-24T00:00:00.000
42,20260530,20260626,232,187,64,481,279,1,5,67.5400,67.5400,67.5400,67.5400,1,1,2026-08-24T00:00:00.000
43,20260627,20260617,287,339,34,349,96,5,3,68.9100,68.9100,68.9100,68.9100,1,1,2026-08-24T00:00:00.000
44,20260712,20260823,495,102,66,420,233,1,4,70.2800,70.2800,70.2800,70.2800,1,1,2026-08-24T00:00:00.000
45,20260705,20260823,176,267,27,294,397,1,5,71.6500,71.6500,71.6500,71.6500,1,1,2026-08-24T00:00:00.000
46,20260625,20260609,38,257,233,277,205,2,5,73.0200,73.0200,73.0200,73.0200,1,1,2026-08-24T00:00:00.000
47,20260603,20260710,439,126,485,291,224,3,4,74.3900,74.3900,74.3900,74.3900,1,1,2026-08-24T00:00:00.000
48,20260714,20260714,340,44,10,432,115,8,5,75.7600,75.7600,75.7600,75.7600,1,1,2026-08-24T00:00:00.000
49,20260726,20260816,231,110,115,254,244,7,4,77.1300,77.1300,77.1300,77.1300,1,1,2026-08-24T00:00:00.000
50,20260628,20260816,9,253,140,269,162,1,1,78.5000,78.5000,78.5000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260702,20260701,107,211,47,161,24,4,3,79.8700,79.8700,79.8700,79.8700,1,1,2026-08-24T00:00:00.000
52,20260726,20260811,33,113,3,403,336,2,2,81.2400,81.2400,81.2400,81.2400,1,1,2026-08-24T00:00:00.000
53,20260705,20260529,173,286,367,230,61,5,2,82.6100,82.6100,82.6100,82.6100,1,1,2026-08-24T00:00:00.000
54,20260527,20260612,123,106,96,441,378,6,4,83.9800,83.9800,83.9800,83.9800,1,1,2026-08-24T00:00:00.000
55,20260816,20260607,68,182,169,368,1,8,1,85.3500,85.3500,85.3500,85.3500,1,1,2026-08-24T00:00:00.000
56,20260717,20260702,239,128,86,255,152,1,5,86.7200,86.7200,86.7200,86.7200,1,1,2026-08-24T00:00:00.000
57,20260719,20260601,408,61,153,345,403,4,2,88.0900,88.0900,88.0900,88.0900,1,1,2026-08-24T00:00:00.000
58,20260703,20260723,287,96,161,62,133,8,4,89.4600,89.4600,89.4600,89.4600,1,1,2026-08-24T00:00:00.000
59,20260628,20260811,442,213,159,407,222,7,4,90.8300,90.8300,90.8300,90.8300,1,1,2026-08-24T00:00:00.000
60,20260607,20260527,492,37,45,172,41,4,5,92.2000,92.2000,92.2000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260626,20260807,142,293,112,32,51,8,4,93.5700,93.5700,93.5700,93.5700,1,1,2026-08-24T00:00:00.000
62,20260723,20260706,197,333,241,284,195,8,1,94.9400,94.9400,94.9400,94.9400,1,1,2026-08-24T00:00:00.000
63,20260808,20260819,295,26,279,229,305,7,1,96.3100,96.3100,96.3100,96.3100,1,1,2026-08-24T00:00:00.000
64,20260812,20260722,178,294,362,72,486,5,1,97.6800,97.6800,97.6800,97.6800,1,1,2026-08-24T00:00:00.000
65,20260820,20260607,407,110,10,38,228,4,4,99.0500,99.0500,99.0500,99.0500,1,1,2026-08-24T00:00:00.000
66,20260811,20260815,456,78,440,475,334,4,1,100.4200,100.4200,100.4200,100.4200,1,1,2026-08-24T00:00:00.000
67,20260623,20260801,250,63,138,176,458,7,4,101.7900,101.7900,101.7900,101.7900,1,1,2026-08-24T00:00:00.000
68,20260624,20260728,54,168,396,20,120,5,3,103.1600,103.1600,103.1600,103.1600,1,1,2026-08-24T00:00:00.000
69,20260721,20260628,98,169,424,173,355,3,2,104.5300,104.5300,104.5300,104.5300,1,1,2026-08-24T00:00:00.000
70,20260529,20260815,135,47,144,132,323,3,2,105.9000,105.9000,105.9000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260622,20260720,312,293,223,272,318,7,4,107.2700,107.2700,107.2700,107.2700,1,1,2026-08-24T00:00:00.000
72,20260621,20260809,113,136,124,493,355,1,4,108.6400,108.6400,108.6400,108.6400,1,1,2026-08-24T00:00:00.000
73,20260621,20260613,363,94,485,376,59,3,3,110.0100,110.0100,110.0100,110.0100,1,1,2026-08-24T00:00:00.000
74,20260612,20260809,331,211,203,318,294,1,3,111.3800,111.3800,111.3800,111.3800,1,1,2026-08-24T00:00:00.000
75,20260713,20260614,271,206,141,386,214,7,3,112.7500,112.7500,112.7500,112.7500,1,1,2026-08-24T00:00:00.000
76,20260625,20260724,297,265,337,363,177,7,5,114.1200,114.1200,114.1200,114.1200,1,1,2026-08-24T00:00:00.000
77,20260802,20260612,294,149,445,21,327,2,4,115.4900,115.4900,115.4900,115.4900,1,1,2026-08-24T00:00:00.000
78,20260806,20260612,155,107,240,390,122,7,2,116.8600,116.8600,116.8600,116.8600,1,1,2026-08-24T00:00:00.000
79,20260607,20260823,60,332,376,488,416,7,2,118.2300,118.2300,118.2300,118.2300,1,1,2026-08-24T00:00:00.000
80,20260813,20260607,318,140,393,375,239,7,5,119.6000,119.6000,119.6000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260821,20260802,65,350,18,181,468,2,5,120.9700,120.9700,120.9700,120.9700,1,1,2026-08-24T00:00:00.000
82,20260531,20260808,220,143,48,370,346,7,4,122.3400,122.3400,122.3400,122.3400,1,1,2026-08-24T00:00:00.000
83,20260710,20260603,281,210,134,441,109,2,3,123.7100,123.7100,123.7100,123.7100,1,1,2026-08-24T00:00:00.000
84,20260821,20260611,202,250,21,317,284,5,2,125.0800,125.0800,125.0800,125.0800,1,1,2026-08-24T00:00:00.000
85,20260818,20260801,449,283,382,352,478,4,5,126.4500,126.4500,126.4500,126.4500,1,1,2026-08-24T00:00:00.000
86,20260719,20260726,69,80,333,191,391,6,2,127.8200,127.8200,127.8200,127.8200,1,1,2026-08-24T00:00:00.000
87,20260716,20260719,227,82,412,69,370,1,3,129.1900,129.1900,129.1900,129.1900,1,1,2026-08-24T00:00:00.000
88,20260622,20260821,21,334,301,228,359,5,3,130.5600,130.5600,130.5600,130.5600,1,1,2026-08-24T00:00:00.000
89,20260621,20260624,303,218,469,305,136,6,1,131.9300,131.9300,131.9300,131.9300,1,1,2026-08-24T00:00:00.000
90,20260809,20260707,86,331,264,346,64,6,5,133.3000,133.3000,133.3000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260731,20260720,384,326,108,330,202,1,5,134.6700,134.6700,134.6700,134.6700,1,1,2026-08-24T00:00:00.000
92,20260605,20260719,16,11,489,475,474,7,1,136.0400,136.0400,136.0400,136.0400,1,1,2026-08-24T00:00:00.000
93,20260808,20260620,244,49,410,41,495,5,3,137.4100,137.4100,137.4100,137.4100,1,1,2026-08-24T00:00:00.000
94,20260722,20260807,380,165,36,109,261,1,4,138.7800,138.7800,138.7800,138.7800,1,1,2026-08-24T00:00:00.000
95,20260815,20260610,187,206,495,47,309,5,5,140.1500,140.1500,140.1500,140.1500,1,1,2026-08-24T00:00:00.000
96,20260714,20260715,473,298,194,288,70,7,1,141.5200,141.5200,141.5200,141.5200,1,1,2026-08-24T00:00:00.000
97,20260621,20260615,308,202,154,393,188,1,1,142.8900,142.8900,142.8900,142.8900,1,1,2026-08-24T00:00:00.000
98,20260726,20260706,321,223,200,216,386,5,1,144.2600,144.2600,144.2600,144.2600,1,1,2026-08-24T00:00:00.000
99,20260804,20260627,465,168,368,55,59,7,3,145.6300,145.6300,145.6300,145.6300,1,1,2026-08-24T00:00:00.000
100,20260718,20260608,144,161,366,296,98,1,4,147.0000,147.0000,147.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260725,20260712,500,15,123,236,246,6,5,148.3700,148.3700,148.3700,148.3700,1,1,2026-08-24T00:00:00.000
102,20260706,20260719,332,145,190,46,401,7,2,149.7400,149.7400,149.7400,149.7400,1,1,2026-08-24T00:00:00.000
103,20260619,20260702,51,55,85,190,362,6,2,151.1100,151.1100,151.1100,151.1100,1,1,2026-08-24T00:00:00.000
104,20260708,20260807,41,236,288,391,33,5,2,152.4800,152.4800,152.4800,152.4800,1,1,2026-08-24T00:00:00.000
105,20260619,20260609,64,309,228,97,240,7,3,153.8500,153.8500,153.8500,153.8500,1,1,2026-08-24T00:00:00.000
106,20260717,20260722,110,117,131,196,67,5,2,155.2200,155.2200,155.2200,155.2200,1,1,2026-08-24T00:00:00.000
107,20260620,20260726,230,212,100,153,337,5,2,156.5900,156.5900,156.5900,156.5900,1,1,2026-08-24T00:00:00.000
108,20260808,20260625,295,229,376,154,494,8,2,157.9600,157.9600,157.9600,157.9600,1,1,2026-08-24T00:00:00.000
109,20260817,20260817,198,307,155,390,350,8,1,159.3300,159.3300,159.3300,159.3300,1,1,2026-08-24T00:00:00.000
110,20260722,20260720,407,17,362,202,497,2,4,160.7000,160.7000,160.7000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260617,20260718,457,230,429,119,216,6,2,162.0700,162.0700,162.0700,162.0700,1,1,2026-08-24T00:00:00.000
112,20260711,20260811,71,126,240,262,215,4,4,163.4400,163.4400,163.4400,163.4400,1,1,2026-08-24T00:00:00.000
113,20260816,20260721,139,154,175,241,320,1,1,164.8100,164.8100,164.8100,164.8100,1,1,2026-08-24T00:00:00.000
114,20260814,20260813,284,5,324,111,87,1,1,166.1800,166.1800,166.1800,166.1800,1,1,2026-08-24T00:00:00.000
115,20260807,20260819,275,285,168,236,374,2,4,167.5500,167.5500,167.5500,167.5500,1,1,2026-08-24T00:00:00.000
116,20260716,20260713,392,235,488,253,457,8,3,168.9200,168.9200,168.9200,168.9200,1,1,2026-08-24T00:00:00.000
117,20260808,20260619,308,341,103,127,25,2,1,170.2900,170.2900,170.2900,170.2900,1,1,2026-08-24T00:00:00.000
118,20260813,20260625,119,33,36,2,154,6,1,171.6600,171.6600,171.6600,171.6600,1,1,2026-08-24T00:00:00.000
119,20260729,20260712,169,240,473,172,302,7,4,173.0300,173.0300,173.0300,173.0300,1,1,2026-08-24T00:00:00.000
120,20260804,20260731,170,108,380,59,146,1,2,174.4000,174.4000,174.4000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260816,20260614,448,207,282,312,336,4,3,175.7700,175.7700,175.7700,175.7700,1,1,2026-08-24T00:00:00.000
122,20260730,20260714,196,148,331,191,210,3,5,177.1400,177.1400,177.1400,177.1400,1,1,2026-08-24T00:00:00.000
123,20260605,20260620,111,49,460,466,184,7,1,178.5100,178.5100,178.5100,178.5100,1,1,2026-08-24T00:00:00.000
124,20260713,20260817,187,217,140,85,441,8,3,179.8800,179.8800,179.8800,179.8800,1,1,2026-08-24T00:00:00.000
125,20260818,20260618,98,17,192,21,11,6,2,181.2500,181.2500,181.2500,181.2500,1,1,2026-08-24T00:00:00.000
126,20260616,20260603,148,267,36,426,460,1,3,182.6200,182.6200,182.6200,182.6200,1,1,2026-08-24T00:00:00.000
127,20260528,20260602,154,294,345,325,17,4,4,183.9900,183.9900,183.9900,183.9900,1,1,2026-08-24T00:00:00.000
128,20260815,20260731,174,48,180,151,350,3,1,185.3600,185.3600,185.3600,185.3600,1,1,2026-08-24T00:00:00.000
129,20260822,20260712,359,171,480,314,65,1,2,186.7300,186.7300,186.7300,186.7300,1,1,2026-08-24T00:00:00.000
130,20260601,20260708,23,176,76,388,70,3,1,188.1000,188.1000,188.1000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260731,20260531,20,223,267,224,51,8,5,189.4700,189.4700,189.4700,189.4700,1,1,2026-08-24T00:00:00.000
132,20260627,20260808,348,258,296,45,60,6,2,190.8400,190.8400,190.8400,190.8400,1,1,2026-08-24T00:00:00.000
133,20260710,20260717,112,131,106,75,135,7,5,192.2100,192.2100,192.2100,192.2100,1,1,2026-08-24T00:00:00.000
134,20260803,20260615,488,267,36,38,254,7,5,193.5800,193.5800,193.5800,193.5800,1,1,2026-08-24T00:00:00.000
135,20260821,20260806,19,304,313,131,197,8,5,194.9500,194.9500,194.9500,194.9500,1,1,2026-08-24T00:00:00.000
136,20260810,20260702,403,106,27,182,197,2,3,196.3200,196.3200,196.3200,196.3200,1,1,2026-08-24T00:00:00.000
137,20260716,20260824,224,302,233,70,399,5,5,197.6900,197.6900,197.6900,197.6900,1,1,2026-08-24T00:00:00.000
138,20260528,20260610,290,336,364,462,141,5,5,199.0600,199.0600,199.0600,199.0600,1,1,2026-08-24T00:00:00.000
139,20260706,20260530,313,223,360,240,280,2,5,200.4300,200.4300,200.4300,200.4300,1,1,2026-08-24T00:00:00.000
140,20260816,20260707,454,34,261,184,27,5,3,201.8000,201.8000,201.8000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260529,20260611,377,219,110,32,332,4,1,203.1700,203.1700,203.1700,203.1700,1,1,2026-08-24T00:00:00.000
142,20260703,20260615,275,13,189,402,354,8,5,204.5400,204.5400,204.5400,204.5400,1,1,2026-08-24T00:00:00.000
143,20260714,20260702,497,87,348,200,64,2,4,205.9100,205.9100,205.9100,205.9100,1,1,2026-08-24T00:00:00.000
144,20260726,20260704,42,275,30,320,154,8,1,207.2800,207.2800,207.2800,207.2800,1,1,2026-08-24T00:00:00.000
145,20260801,20260627,357,282,7,377,292,7,1,208.6500,208.6500,208.6500,208.6500,1,1,2026-08-24T00:00:00.000
146,20260727,20260709,224,32,419,240,202,2,5,210.0200,210.0200,210.0200,210.0200,1,1,2026-08-24T00:00:00.000
147,20260527,20260605,240,306,227,212,14,6,5,211.3900,211.3900,211.3900,211.3900,1,1,2026-08-24T00:00:00.000
148,20260728,20260816,439,80,143,426,34,4,1,212.7600,212.7600,212.7600,212.7600,1,1,2026-08-24T00:00:00.000
149,20260529,20260527,342,328,470,466,206,5,3,214.1300,214.1300,214.1300,214.1300,1,1,2026-08-24T00:00:00.000
150,20260824,20260729,328,119,271,422,313,6,1,215.5000,215.5000,215.5000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260712,20260813,438,269,374,433,82,1,2,216.8700,216.8700,216.8700,216.8700,1,1,2026-08-24T00:00:00.000
152,20260622,20260728,252,250,424,481,261,4,1,218.2400,218.2400,218.2400,218.2400,1,1,2026-08-24T00:00:00.000
153,20260807,20260527,321,234,457,325,8,8,3,219.6100,219.6100,219.6100,219.6100,1,1,2026-08-24T00:00:00.000
154,20260815,20260715,116,349,268,360,177,7,3,220.9800,220.9800,220.9800,220.9800,1,1,2026-08-24T00:00:00.000
155,20260824,20260611,393,86,384,473,131,2,2,222.3500,222.3500,222.3500,222.3500,1,1,2026-08-24T00:00:00.000
156,20260611,20260817,437,147,487,405,175,7,1,223.7200,223.7200,223.7200,223.7200,1,1,2026-08-24T00:00:00.000
157,20260630,20260731,77,107,146,225,196,5,2,225.0900,225.0900,225.0900,225.0900,1,1,2026-08-24T00:00:00.000
158,20260729,20260725,53,283,263,364,215,8,1,226.4600,226.4600,226.4600,226.4600,1,1,2026-08-24T00:00:00.000
159,20260812,20260714,203,125,10,298,4,7,2,227.8300,227.8300,227.8300,227.8300,1,1,2026-08-24T00:00:00.000
160,20260815,20260611,438,12,102,120,77,8,1,229.2000,229.2000,229.2000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260616,20260808,301,53,43,96,413,7,5,230.5700,230.5700,230.5700,230.5700,1,1,2026-08-24T00:00:00.000
162,20260822,20260607,73,49,464,393,483,1,2,231.9400,231.9400,231.9400,231.9400,1,1,2026-08-24T00:00:00.000
163,20260805,20260621,322,238,356,228,138,1,4,233.3100,233.3100,233.3100,233.3100,1,1,2026-08-24T00:00:00.000
164,20260601,20260529,344,222,355,47,109,2,1,234.6800,234.6800,234.6800,234.6800,1,1,2026-08-24T00:00:00.000
165,20260728,20260703,258,336,346,175,285,2,2,236.0500,236.0500,236.0500,236.0500,1,1,2026-08-24T00:00:00.000
166,20260627,20260726,290,48,269,441,304,4,1,237.4200,237.4200,237.4200,237.4200,1,1,2026-08-24T00:00:00.000
167,20260801,20260617,201,252,243,105,372,8,4,238.7900,238.7900,238.7900,238.7900,1,1,2026-08-24T00:00:00.000
168,20260618,20260801,14,231,82,328,73,4,4,240.1600,240.1600,240.1600,240.1600,1,1,2026-08-24T00:00:00.000
169,20260822,20260815,468,100,146,286,83,5,4,241.5300,241.5300,241.5300,241.5300,1,1,2026-08-24T00:00:00.000
170,20260528,20260728,299,74,488,267,287,5,4,242.9000,242.9000,242.9000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260714,20260727,293,332,270,373,166,2,4,244.2700,244.2700,244.2700,244.2700,1,1,2026-08-24T00:00:00.000
172,20260813,20260805,303,138,408,34,352,4,5,245.6400,245.6400,245.6400,245.6400,1,1,2026-08-24T00:00:00.000
173,20260704,20260715,2,256,448,339,489,4,5,247.0100,247.0100,247.0100,247.0100,1,1,2026-08-24T00:00:00.000
174,20260720,20260603,299,76,251,114,170,3,2,248.3800,248.3800,248.3800,248.3800,1,1,2026-08-24T00:00:00.000
175,20260608,20260611,340,14,136,66,385,8,5,249.7500,249.7500,249.7500,249.7500,1,1,2026-08-24T00:00:00.000
176,20260818,20260623,452,189,320,34,106,8,5,251.1200,251.1200,251.1200,251.1200,1,1,2026-08-24T00:00:00.000
177,20260704,20260716,320,56,426,279,249,6,2,252.4900,252.4900,252.4900,252.4900,1,1,2026-08-24T00:00:00.000
178,20260528,20260715,365,262,72,202,258,2,2,253.8600,253.8600,253.8600,253.8600,1,1,2026-08-24T00:00:00.000
179,20260624,20260702,114,309,320,457,170,1,5,255.2300,255.2300,255.2300,255.2300,1,1,2026-08-24T00:00:00.000
180,20260615,20260630,115,159,47,431,154,2,2,256.6000,256.6000,256.6000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260712,20260807,243,122,23,98,343,6,4,257.9700,257.9700,257.9700,257.9700,1,1,2026-08-24T00:00:00.000
182,20260611,20260613,16,303,400,394,477,4,4,259.3400,259.3400,259.3400,259.3400,1,1,2026-08-24T00:00:00.000
183,20260725,20260803,15,94,20,259,243,3,5,260.7100,260.7100,260.7100,260.7100,1,1,2026-08-24T00:00:00.000
184,20260623,20260704,207,263,202,245,250,4,2,262.0800,262.0800,262.0800,262.0800,1,1,2026-08-24T00:00:00.000
185,20260704,20260601,272,337,103,380,114,3,4,263.4500,263.4500,263.4500,263.4500,1,1,2026-08-24T00:00:00.000
186,20260709,20260729,367,76,413,407,491,8,3,264.8200,264.8200,264.8200,264.8200,1,1,2026-08-24T00:00:00.000
187,20260817,20260625,173,181,434,380,118,7,3,266.1900,266.1900,266.1900,266.1900,1,1,2026-08-24T00:00:00.000
188,20260815,20260730,203,230,51,213,399,5,5,267.5600,267.5600,267.5600,267.5600,1,1,2026-08-24T00:00:00.000
189,20260718,20260720,420,64,486,132,300,4,5,268.9300,268.9300,268.9300,268.9300,1,1,2026-08-24T00:00:00.000
190,20260807,20260712,366,69,223,472,344,8,4,270.3000,270.3000,270.3000,270.3000,1,1,2026-08-24T00:00:00.000
191,20260713,20260708,89,208,74,475,404,2,4,271.6700,271.6700,271.6700,271.6700,1,1,2026-08-24T00:00:00.000
192,20260622,20260707,387,164,134,116,445,7,1,273.0400,273.0400,273.0400,273.0400,1,1,2026-08-24T00:00:00.000
193,20260808,20260807,5,196,16,105,164,6,2,274.4100,274.4100,274.4100,274.4100,1,1,2026-08-24T00:00:00.000
194,20260630,20260714,415,234,162,31,449,3,1,275.7800,275.7800,275.7800,275.7800,1,1,2026-08-24T00:00:00.000
195,20260602,20260605,330,232,291,485,391,1,1,277.1500,277.1500,277.1500,277.1500,1,1,2026-08-24T00:00:00.000
196,20260802,20260822,446,197,444,57,340,6,1,278.5200,278.5200,278.5200,278.5200,1,1,2026-08-24T00:00:00.000
197,20260615,20260627,209,31,435,74,53,6,2,279.8900,279.8900,279.8900,279.8900,1,1,2026-08-24T00:00:00.000
198,20260716,20260703,307,24,341,312,242,3,2,281.2600,281.2600,281.2600,281.2600,1,1,2026-08-24T00:00:00.000
199,20260626,20260528,263,252,468,208,187,7,1,282.6300,282.6300,282.6300,282.6300,1,1,2026-08-24T00:00:00.000
200,20260604,20260823,59,262,50,311,432,2,5,284.0000,284.0000,284.0000,284.0000,1,1,2026-08-24T00:00:00.000
201,20260711,20260530,490,193,274,207,156,2,5,285.3700,285.3700,285.3700,285.3700,1,1,2026-08-24T00:00:00.000
202,20260603,20260618,450,31,392,342,252,7,4,286.7400,286.7400,286.7400,286.7400,1,1,2026-08-24T00:00:00.000
203,20260608,20260705,9,31,208,84,460,6,1,288.1100,288.1100,288.1100,288.1100,1,1,2026-08-24T00:00:00.000
204,20260818,20260621,226,148,249,499,144,6,4,289.4800,289.4800,289.4800,289.4800,1,1,2026-08-24T00:00:00.000
205,20260616,20260802,3,297,278,235,118,5,1,290.8500,290.8500,290.8500,290.8500,1,1,2026-08-24T00:00:00.000
206,20260527,20260704,106,179,140,376,414,2,5,292.2200,292.2200,292.2200,292.2200,1,1,2026-08-24T00:00:00.000
207,20260617,20260709,395,223,41,368,353,8,5,293.5900,293.5900,293.5900,293.5900,1,1,2026-08-24T00:00:00.000
208,20260712,20260605,49,140,385,431,431,1,2,294.9600,294.9600,294.9600,294.9600,1,1,2026-08-24T00:00:00.000
209,20260626,20260712,45,99,126,40,225,7,1,296.3300,296.3300,296.3300,296.3300,1,1,2026-08-24T00:00:00.000
210,20260726,20260623,233,145,64,388,265,5,2,297.7000,297.7000,297.7000,297.7000,1,1,2026-08-24T00:00:00.000
211,20260711,20260802,13,25,5,311,399,3,2,299.0700,299.0700,299.0700,299.0700,1,1,2026-08-24T00:00:00.000
212,20260802,20260719,67,329,108,463,354,8,5,300.4400,300.4400,300.4400,300.4400,1,1,2026-08-24T00:00:00.000
213,20260624,20260617,195,228,181,285,386,8,4,301.8100,301.8100,301.8100,301.8100,1,1,2026-08-24T00:00:00.000
214,20260806,20260614,371,239,452,213,361,5,2,303.1800,303.1800,303.1800,303.1800,1,1,2026-08-24T00:00:00.000
215,20260724,20260620,472,191,172,58,455,6,4,304.5500,304.5500,304.5500,304.5500,1,1,2026-08-24T00:00:00.000
216,20260821,20260530,183,25,430,235,403,6,3,305.9200,305.9200,305.9200,305.9200,1,1,2026-08-24T00:00:00.000
