QualityNonConformanceEventKey,EventDateKey,EventTimeOfDayKey,QualityNonConformanceKey,ProductKey,PlantKey,SupplierKey,OwnerEmployeeKey,QualityDefectSeverityKey,QualityResultStatusKey,UnitOfMeasureKey,NonConformanceEventNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
22,20260527,38520,151,244,28,369,354,5,7,4,QNCE000022,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260806,47820,497,95,227,228,298,12,8,6,QNCE000023,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260727,8460,338,421,150,434,292,11,7,6,QNCE000024,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260612,22560,38,451,309,182,59,6,5,4,QNCE000025,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260611,15120,177,45,338,91,143,12,2,4,QNCE000026,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260614,43200,185,117,100,92,10,8,4,1,QNCE000027,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260723,58980,332,374,236,324,453,7,9,5,QNCE000028,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260607,51360,216,491,155,218,240,3,10,6,QNCE000029,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260707,49260,325,59,332,238,299,4,7,4,QNCE000030,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260811,85320,133,8,184,276,119,3,7,6,QNCE000031,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260809,61920,205,219,278,384,393,6,7,5,QNCE000032,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260608,31020,158,221,321,456,20,8,12,7,QNCE000033,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260808,77880,224,-1,313,-1,-1,2,2,5,QNCE000034,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260614,57180,115,448,163,411,244,10,7,3,QNCE000035,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260630,3420,164,418,219,472,360,5,9,2,QNCE000036,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260705,53100,136,350,55,349,242,8,6,5,QNCE000037,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260530,12600,453,473,167,274,254,7,9,6,QNCE000038,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260723,61020,159,269,291,171,147,10,12,3,QNCE000039,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260813,75900,222,174,186,336,145,8,12,1,QNCE000040,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260722,3960,142,136,136,352,357,8,5,6,QNCE000041,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260726,72120,153,116,221,476,59,12,9,5,QNCE000042,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260704,62520,368,299,325,222,319,11,4,4,QNCE000043,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260710,62940,301,298,257,74,56,12,10,3,QNCE000044,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260731,31680,231,374,229,420,136,2,5,6,QNCE000045,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260621,29760,239,34,119,136,198,6,2,1,QNCE000046,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260601,60480,366,444,306,101,360,12,10,6,QNCE000047,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260602,85440,282,53,174,444,93,4,9,3,QNCE000048,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260710,20280,77,386,254,191,99,9,8,2,QNCE000049,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260806,10680,291,498,341,418,304,12,8,4,QNCE000050,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260701,2460,383,-1,174,-1,-1,2,4,1,QNCE000051,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260621,83280,226,394,130,396,63,5,1,5,QNCE000052,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260729,41160,259,158,237,33,150,5,10,2,QNCE000053,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260801,30960,473,373,212,51,109,8,4,1,QNCE000054,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260726,11400,371,194,229,34,302,4,5,5,QNCE000055,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260529,61980,199,55,174,139,212,12,11,7,QNCE000056,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260630,13740,182,106,169,395,223,9,12,1,QNCE000057,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260820,64980,315,255,328,176,234,6,5,4,QNCE000058,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260723,9060,121,62,273,37,123,5,6,5,QNCE000059,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260818,18000,16,294,48,316,305,12,9,5,QNCE000060,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260602,72300,235,434,39,445,23,9,6,7,QNCE000061,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260529,49560,366,207,321,7,349,9,8,3,QNCE000062,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260712,26640,265,85,283,269,248,6,7,6,QNCE000063,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260813,43080,142,284,151,111,217,4,5,1,QNCE000064,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260712,43620,9,81,141,455,283,3,2,1,QNCE000065,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260703,35700,433,360,147,153,113,4,2,7,QNCE000066,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260527,34560,285,152,210,422,90,5,5,1,QNCE000067,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260611,25260,457,-1,343,-1,-1,6,1,1,QNCE000068,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260607,71460,289,431,29,384,381,10,1,2,QNCE000069,70,104.5300,74.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260822,42540,30,495,42,405,455,6,7,5,QNCE000070,71,105.9000,75.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260817,70980,55,394,37,223,490,5,1,3,QNCE000071,72,107.2700,76.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260811,47100,209,186,80,31,170,1,4,4,QNCE000072,73,108.6400,77.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260630,60000,220,312,119,437,385,5,12,6,QNCE000073,74,110.0100,78.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260726,31380,340,300,61,482,72,6,3,7,QNCE000074,75,111.3800,79.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260613,8400,22,60,170,110,148,8,4,7,QNCE000075,76,112.7500,80.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260822,65640,275,302,256,244,277,2,7,2,QNCE000076,77,114.1200,81.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260730,59160,105,186,317,471,432,7,5,7,QNCE000077,78,115.4900,82.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260820,74760,192,441,148,398,318,7,10,3,QNCE000078,79,116.8600,83.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260710,34080,240,418,182,430,383,2,2,5,QNCE000079,80,118.2300,84.0000,118.2300,1,1,2026-08-24T00:00:00.000
