QualitySpcSampleKey,SampleDateKey,SampleTimeOfDayKey,QualityInspectionCharacteristicKey,ProductKey,WorkCenterKey,PlantKey,QualityResultStatusKey,UnitOfMeasureKey,ControlChartNumber,SubgroupNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
45,20260817,85140,132,60,260,325,12,2,QSS000045,45,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260530,39120,82,99,24,120,3,3,QSS000046,46,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260531,77400,339,473,443,291,7,7,QSS000047,47,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260710,19980,415,206,69,44,8,3,QSS000048,48,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260812,35880,22,407,326,195,9,5,QSS000049,49,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260718,30840,195,331,150,297,6,5,QSS000050,50,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260708,28560,366,85,197,261,5,4,QSS000051,51,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260630,51840,481,450,17,320,9,7,QSS000052,52,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260602,20580,175,430,163,339,2,3,QSS000053,53,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260606,11880,263,493,211,199,4,2,QSS000054,54,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260731,45780,428,109,324,46,8,6,QSS000055,55,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260815,42480,410,46,308,182,9,6,QSS000056,56,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260725,3480,400,199,462,316,11,2,QSS000057,57,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260719,36420,431,132,454,70,6,7,QSS000058,58,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260620,17280,389,457,94,138,5,6,QSS000059,59,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260601,20460,336,264,190,179,7,3,QSS000060,60,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260730,27300,253,127,459,188,11,5,QSS000061,61,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260708,18780,231,353,428,149,8,6,QSS000062,62,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260824,13620,303,80,27,32,4,1,QSS000063,63,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260719,73260,147,278,470,141,6,1,QSS000064,64,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260728,69660,410,20,454,277,5,4,QSS000065,65,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260808,33840,443,218,70,289,8,6,QSS000066,66,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260615,77340,97,191,484,60,5,1,QSS000067,67,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260811,11820,303,9,73,127,11,7,QSS000068,68,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260809,27060,42,67,416,149,6,3,QSS000069,69,70,104.5300,74.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260820,39240,2,141,292,186,8,1,QSS000070,70,71,105.9000,75.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260813,40560,333,257,425,241,4,1,QSS000071,71,72,107.2700,76.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260618,17640,137,451,371,222,1,2,QSS000072,72,73,108.6400,77.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260604,57060,305,252,143,269,3,1,QSS000073,73,74,110.0100,78.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260731,7800,65,255,214,123,6,3,QSS000074,74,75,111.3800,79.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260623,25980,152,381,21,350,10,3,QSS000075,75,76,112.7500,80.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260808,8220,75,445,135,99,3,1,QSS000076,76,77,114.1200,81.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260715,27120,261,408,88,319,2,6,QSS000077,77,78,115.4900,82.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260708,59700,46,113,46,217,9,6,QSS000078,78,79,116.8600,83.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260725,3060,458,437,129,10,12,2,QSS000079,79,80,118.2300,84.0000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260705,65040,301,280,51,313,7,6,QSS000080,80,81,119.6000,85.0000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260704,79980,457,290,247,215,9,5,QSS000081,81,82,120.9700,86.0000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260627,38460,224,302,90,197,12,5,QSS000082,82,83,122.3400,87.0000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260630,300,304,463,23,97,6,5,QSS000083,83,84,123.7100,88.0000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260807,47940,447,326,8,219,12,4,QSS000084,84,85,125.0800,89.0000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260811,7560,434,343,205,260,8,5,QSS000085,85,86,126.4500,90.0000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260714,75180,287,277,101,45,9,1,QSS000086,86,87,127.8200,91.0000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260811,15240,134,487,280,216,6,4,QSS000087,87,88,129.1900,92.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260714,31800,311,282,395,200,7,3,QSS000088,88,89,130.5600,93.0000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260716,62760,148,464,322,15,9,1,QSS000089,89,90,131.9300,94.0000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260711,3300,80,12,449,289,1,4,QSS000090,90,91,133.3000,95.0000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260527,37440,351,349,440,74,12,5,QSS000091,91,92,134.6700,96.0000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260718,79500,124,94,454,302,4,2,QSS000092,92,93,136.0400,97.0000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260607,16500,438,312,243,247,9,1,QSS000093,93,94,137.4100,98.0000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260625,40320,425,154,470,275,7,1,QSS000094,94,95,138.7800,99.0000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260617,62880,372,37,308,132,12,3,QSS000095,95,96,140.1500,100.0000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260728,19560,205,287,376,12,5,1,QSS000096,96,97,141.5200,101.0000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260718,28500,392,491,389,185,1,4,QSS000097,97,98,142.8900,102.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260611,8760,338,258,180,273,4,3,QSS000098,98,99,144.2600,103.0000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260608,85500,490,196,354,234,8,2,QSS000099,99,100,145.6300,104.0000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260601,66240,107,234,332,21,8,4,QSS000100,100,101,147.0000,105.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260618,30780,393,197,247,302,9,6,QSS000101,101,102,148.3700,106.0000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260814,51180,331,352,400,38,4,1,QSS000102,102,103,149.7400,107.0000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260606,79800,99,348,366,258,12,2,QSS000103,103,104,151.1100,108.0000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260608,72000,383,178,477,303,6,6,QSS000104,104,105,152.4800,109.0000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260815,12420,336,150,196,123,5,5,QSS000105,105,106,153.8500,110.0000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260530,37020,300,206,91,304,12,7,QSS000106,106,107,155.2200,111.0000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260625,29760,477,180,175,67,5,4,QSS000107,107,108,156.5900,112.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260622,21300,73,89,435,181,4,3,QSS000108,108,109,157.9600,113.0000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260806,83460,243,303,272,97,5,4,QSS000109,109,110,159.3300,114.0000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260721,20400,230,281,386,271,9,5,QSS000110,110,111,160.7000,115.0000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260629,69600,108,375,1,20,12,6,QSS000111,111,112,162.0700,116.0000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260624,9120,497,321,3,188,12,4,QSS000112,112,113,163.4400,117.0000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260708,67260,110,415,359,285,7,7,QSS000113,113,114,164.8100,118.0000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260707,20880,290,313,138,248,7,4,QSS000114,114,115,166.1800,119.0000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260624,27660,176,349,496,269,3,4,QSS000115,115,116,167.5500,120.0000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260703,73680,262,349,349,229,12,4,QSS000116,116,117,168.9200,121.0000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260719,21120,168,112,255,314,3,1,QSS000117,117,118,170.2900,122.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260821,30540,434,33,117,59,12,5,QSS000118,118,119,171.6600,123.0000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260611,46440,298,410,63,135,4,5,QSS000119,119,120,173.0300,124.0000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260624,11520,233,250,328,289,9,7,QSS000120,120,121,174.4000,125.0000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260619,14820,60,378,195,340,3,3,QSS000121,121,122,175.7700,126.0000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260818,84540,261,449,198,158,11,4,QSS000122,122,123,177.1400,127.0000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260606,26640,295,146,373,183,8,3,QSS000123,123,124,178.5100,128.0000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260617,73980,216,238,317,149,8,2,QSS000124,124,125,179.8800,129.0000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260616,41340,270,70,421,307,12,3,QSS000125,125,126,181.2500,130.0000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260611,51660,372,472,413,325,10,6,QSS000126,126,127,182.6200,131.0000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260720,75360,375,444,289,307,4,6,QSS000127,127,128,183.9900,132.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260619,60480,146,62,191,48,5,4,QSS000128,128,129,185.3600,133.0000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260730,16920,361,30,125,226,11,4,QSS000129,129,130,186.7300,134.0000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260629,36840,365,426,156,134,10,3,QSS000130,130,131,188.1000,135.0000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260713,1080,74,161,366,229,2,3,QSS000131,131,132,189.4700,136.0000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260801,31740,462,185,469,150,7,4,QSS000132,132,133,190.8400,137.0000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260820,47940,254,455,343,287,4,1,QSS000133,133,134,192.2100,138.0000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260702,48900,107,166,322,214,2,5,QSS000134,134,135,193.5800,139.0000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260627,46020,289,321,103,69,5,6,QSS000135,135,136,194.9500,140.0000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260706,66960,436,63,75,334,12,4,QSS000136,136,137,196.3200,141.0000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260614,52140,255,189,455,126,10,5,QSS000137,137,138,197.6900,142.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260704,2880,341,21,146,121,6,4,QSS000138,138,139,199.0600,143.0000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260805,74220,363,238,248,195,7,2,QSS000139,139,140,200.4300,144.0000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260624,41940,384,375,199,164,4,7,QSS000140,140,141,201.8000,145.0000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260725,83820,398,188,121,287,1,3,QSS000141,141,142,203.1700,146.0000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260622,65580,117,321,301,315,6,2,QSS000142,142,143,204.5400,147.0000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260625,60780,391,470,230,196,10,7,QSS000143,143,144,205.9100,148.0000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260619,36240,342,465,451,313,4,1,QSS000144,144,145,207.2800,149.0000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260725,70260,28,169,210,327,2,5,QSS000145,145,146,208.6500,150.0000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260620,50400,369,370,207,263,7,2,QSS000146,146,147,210.0200,151.0000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260824,75240,300,472,375,237,5,5,QSS000147,147,148,211.3900,152.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260630,48420,487,276,180,239,6,5,QSS000148,148,149,212.7600,153.0000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260815,43560,455,207,201,178,2,6,QSS000149,149,150,214.1300,154.0000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260731,420,488,381,106,219,8,2,QSS000150,150,151,215.5000,155.0000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260721,32820,437,139,475,263,3,5,QSS000151,151,152,216.8700,156.0000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260811,18720,83,230,128,201,1,2,QSS000152,152,153,218.2400,157.0000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260712,38760,371,366,334,28,8,7,QSS000153,153,154,219.6100,158.0000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260720,10020,38,166,449,246,3,3,QSS000154,154,155,220.9800,159.0000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260721,12840,248,439,93,201,5,1,QSS000155,155,156,222.3500,160.0000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260610,72420,136,73,256,239,3,1,QSS000156,156,157,223.7200,161.0000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260613,7260,446,403,42,181,6,6,QSS000157,157,158,225.0900,162.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260625,27360,332,315,195,169,6,5,QSS000158,158,159,226.4600,163.0000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260527,74640,457,223,286,349,7,6,QSS000159,159,160,227.8300,164.0000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260701,37020,279,308,218,145,1,1,QSS000160,160,161,229.2000,165.0000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260619,4200,285,397,18,6,1,1,QSS000161,161,162,230.5700,166.0000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260626,42660,260,236,69,29,1,3,QSS000162,162,163,231.9400,167.0000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260612,70980,449,24,445,172,8,3,QSS000163,163,164,233.3100,168.0000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260811,72240,472,133,273,310,3,6,QSS000164,164,165,234.6800,169.0000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260815,65520,404,199,329,160,6,1,QSS000165,165,166,236.0500,170.0000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260704,53520,267,34,403,51,4,7,QSS000166,166,167,237.4200,171.0000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260610,16740,77,8,347,266,8,2,QSS000167,167,168,238.7900,172.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260810,7320,394,408,132,174,1,3,QSS000168,168,169,240.1600,173.0000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260630,20580,332,117,124,10,10,3,QSS000169,169,170,241.5300,174.0000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260610,36000,92,191,299,146,4,5,QSS000170,170,171,242.9000,175.0000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260814,54720,111,84,281,259,4,2,QSS000171,171,172,244.2700,176.0000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260807,2640,233,181,4,65,4,1,QSS000172,172,173,245.6400,177.0000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260717,33300,252,310,271,42,4,5,QSS000173,173,174,247.0100,178.0000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260709,1260,263,469,419,201,12,1,QSS000174,174,175,248.3800,179.0000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260802,75000,234,412,66,205,6,1,QSS000175,175,176,249.7500,180.0000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260617,68040,332,354,220,128,12,4,QSS000176,176,177,251.1200,181.0000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260804,77100,250,290,427,252,9,3,QSS000177,177,178,252.4900,182.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260809,64620,139,63,490,303,5,4,QSS000178,178,179,253.8600,183.0000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260821,59700,310,295,92,139,1,1,QSS000179,179,180,255.2300,184.0000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260729,82740,117,431,309,138,9,7,QSS000180,180,181,256.6000,185.0000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260628,24300,243,497,171,12,5,1,QSS000181,181,182,257.9700,186.0000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260528,80700,109,381,490,186,4,6,QSS000182,182,183,259.3400,187.0000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260622,63660,155,136,202,348,2,2,QSS000183,183,184,260.7100,188.0000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260529,7560,248,129,221,122,5,6,QSS000184,184,185,262.0800,189.0000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260705,41700,108,241,214,288,4,1,QSS000185,185,186,263.4500,190.0000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260815,46020,184,111,348,172,3,4,QSS000186,186,187,264.8200,191.0000,264.8200,1,1,2026-08-24T00:00:00.000
187,20260702,67380,281,198,306,15,1,3,QSS000187,187,188,266.1900,192.0000,266.1900,1,1,2026-08-24T00:00:00.000
188,20260806,36900,402,325,197,105,7,4,QSS000188,188,189,267.5600,193.0000,267.5600,1,1,2026-08-24T00:00:00.000
189,20260729,1680,380,177,210,78,8,6,QSS000189,189,190,268.9300,194.0000,268.9300,1,1,2026-08-24T00:00:00.000
190,20260707,9000,428,47,44,189,5,2,QSS000190,190,191,270.3000,195.0000,270.3000,1,1,2026-08-24T00:00:00.000
191,20260812,27540,243,243,85,52,10,1,QSS000191,191,192,271.6700,196.0000,271.6700,1,1,2026-08-24T00:00:00.000
192,20260624,64320,387,92,442,5,8,1,QSS000192,192,193,273.0400,197.0000,273.0400,1,1,2026-08-24T00:00:00.000
193,20260701,600,409,457,473,135,1,3,QSS000193,193,194,274.4100,198.0000,274.4100,1,1,2026-08-24T00:00:00.000
194,20260822,55020,358,381,409,227,4,3,QSS000194,194,195,275.7800,199.0000,275.7800,1,1,2026-08-24T00:00:00.000
195,20260812,72480,62,255,394,136,2,1,QSS000195,195,196,277.1500,200.0000,277.1500,1,1,2026-08-24T00:00:00.000
196,20260605,73740,353,434,377,20,6,2,QSS000196,196,197,278.5200,201.0000,278.5200,1,1,2026-08-24T00:00:00.000
197,20260820,54660,163,172,77,291,10,4,QSS000197,197,198,279.8900,202.0000,279.8900,1,1,2026-08-24T00:00:00.000
198,20260612,9900,323,14,209,260,6,6,QSS000198,198,199,281.2600,203.0000,281.2600,1,1,2026-08-24T00:00:00.000
199,20260707,39000,170,142,21,50,4,1,QSS000199,199,200,282.6300,204.0000,282.6300,1,1,2026-08-24T00:00:00.000
200,20260710,8640,156,98,108,164,2,2,QSS000200,200,201,284.0000,205.0000,284.0000,1,1,2026-08-24T00:00:00.000
201,20260804,75000,374,303,287,327,4,4,QSS000201,201,202,285.3700,206.0000,285.3700,1,1,2026-08-24T00:00:00.000
202,20260731,41160,425,366,355,131,10,7,QSS000202,202,203,286.7400,207.0000,286.7400,1,1,2026-08-24T00:00:00.000
203,20260823,80820,437,442,73,172,11,3,QSS000203,203,204,288.1100,208.0000,288.1100,1,1,2026-08-24T00:00:00.000
204,20260728,59400,167,178,479,2,2,1,QSS000204,204,205,289.4800,209.0000,289.4800,1,1,2026-08-24T00:00:00.000
205,20260715,59820,268,115,443,222,9,3,QSS000205,205,206,290.8500,210.0000,290.8500,1,1,2026-08-24T00:00:00.000
206,20260808,20760,320,145,304,81,5,5,QSS000206,206,207,292.2200,211.0000,292.2200,1,1,2026-08-24T00:00:00.000
207,20260807,16080,415,7,154,38,7,5,QSS000207,207,208,293.5900,212.0000,293.5900,1,1,2026-08-24T00:00:00.000
208,20260805,83940,249,163,125,253,6,2,QSS000208,208,209,294.9600,213.0000,294.9600,1,1,2026-08-24T00:00:00.000
209,20260809,49980,80,372,68,111,10,5,QSS000209,209,210,296.3300,214.0000,296.3300,1,1,2026-08-24T00:00:00.000
210,20260715,59340,15,380,114,289,8,3,QSS000210,210,211,297.7000,215.0000,297.7000,1,1,2026-08-24T00:00:00.000
