OeeLossEventKey,EventDateKey,EventTimeOfDayKey,MachineKey,OeeLossReasonKey,ProductKey,WorkCenterKey,PlantKey,MachineLossCategoryKey,SeverityKey,LossEventNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
17,20260615,28860,246,363,-1,118,34,2,1,OLE000017,18,33.2900,22.0000,33.2900,1,1,2026-08-24T00:00:00.000
18,20260818,42000,279,426,404,402,197,11,2,OLE000018,19,34.6600,23.0000,34.6600,1,1,2026-08-24T00:00:00.000
19,20260619,68820,250,286,196,17,116,12,3,OLE000019,20,36.0300,24.0000,36.0300,1,1,2026-08-24T00:00:00.000
20,20260602,23160,45,157,256,494,105,4,3,OLE000020,21,37.4000,25.0000,37.4000,1,1,2026-08-24T00:00:00.000
21,20260615,56100,412,286,412,94,316,5,2,OLE000021,22,38.7700,26.0000,38.7700,1,1,2026-08-24T00:00:00.000
22,20260616,81480,51,415,192,206,97,4,1,OLE000022,23,40.1400,27.0000,40.1400,1,1,2026-08-24T00:00:00.000
23,20260721,58500,476,472,53,186,134,3,5,OLE000023,24,41.5100,28.0000,41.5100,1,1,2026-08-24T00:00:00.000
24,20260617,5220,309,343,469,208,7,8,1,OLE000024,25,42.8800,29.0000,42.8800,1,1,2026-08-24T00:00:00.000
25,20260602,16320,157,28,199,325,107,9,4,OLE000025,26,44.2500,30.0000,44.2500,1,1,2026-08-24T00:00:00.000
26,20260801,33420,452,230,372,345,166,5,5,OLE000026,27,45.6200,31.0000,45.6200,1,1,2026-08-24T00:00:00.000
27,20260723,55680,84,294,236,378,48,6,5,OLE000027,28,46.9900,32.0000,46.9900,1,1,2026-08-24T00:00:00.000
28,20260716,35580,142,121,107,343,209,9,3,OLE000028,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260617,55260,245,421,108,341,316,6,1,OLE000029,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260824,52740,417,222,178,157,118,12,5,OLE000030,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260628,1560,90,204,460,64,337,3,2,OLE000031,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260805,73260,4,61,427,268,273,6,4,OLE000032,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260529,64980,499,236,415,43,290,5,4,OLE000033,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260814,48360,187,406,-1,76,350,4,2,OLE000034,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260823,48660,345,157,83,124,179,9,4,OLE000035,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260531,1860,53,92,109,222,1,7,1,OLE000036,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260528,1140,453,313,291,367,69,5,5,OLE000037,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260812,58440,275,176,320,29,27,11,2,OLE000038,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260719,70680,306,242,487,90,194,10,2,OLE000039,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260805,68700,315,247,235,114,306,4,3,OLE000040,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260728,61860,163,205,227,124,209,12,5,OLE000041,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260812,29040,100,362,51,343,264,10,3,OLE000042,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260818,38520,301,403,87,289,118,9,3,OLE000043,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260625,49860,401,172,296,2,217,10,5,OLE000044,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260803,83520,266,251,331,386,296,3,1,OLE000045,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260821,78660,124,25,376,149,9,6,1,OLE000046,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260722,58260,494,311,254,38,324,10,1,OLE000047,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260817,26100,444,315,128,38,323,9,1,OLE000048,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260816,84300,113,167,283,193,122,11,1,OLE000049,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260613,79740,70,382,332,479,267,4,2,OLE000050,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260720,64200,121,287,-1,110,69,8,2,OLE000051,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260717,61440,206,394,441,242,209,10,2,OLE000052,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260628,2160,15,162,198,371,227,4,5,OLE000053,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260820,32640,120,234,126,44,37,8,4,OLE000054,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260707,7020,329,70,238,228,190,8,1,OLE000055,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260822,8460,175,378,274,488,80,1,5,OLE000056,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260707,33240,174,392,14,28,124,9,1,OLE000057,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260617,48900,236,494,132,433,251,1,3,OLE000058,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260607,38820,273,217,178,337,289,7,3,OLE000059,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260822,1680,280,265,67,62,12,4,5,OLE000060,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260706,57420,169,457,69,290,57,3,4,OLE000061,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260607,37680,277,466,464,199,134,1,5,OLE000062,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260803,67080,446,313,57,25,258,11,2,OLE000063,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260720,8460,461,442,483,188,4,2,3,OLE000064,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260607,81780,61,48,397,406,85,2,1,OLE000065,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260604,4620,257,200,60,4,96,5,4,OLE000066,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260606,76740,182,463,425,347,314,7,5,OLE000067,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260707,30180,30,366,-1,200,303,6,4,OLE000068,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260730,64860,366,125,97,46,5,7,5,OLE000069,70,104.5300,74.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260804,0,371,43,307,430,106,12,3,OLE000070,71,105.9000,75.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260531,48540,239,378,306,375,80,9,1,OLE000071,72,107.2700,76.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260626,54600,203,413,281,81,321,8,1,OLE000072,73,108.6400,77.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260703,71400,122,233,51,286,33,9,5,OLE000073,74,110.0100,78.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260527,13020,413,172,104,326,61,6,4,OLE000074,75,111.3800,79.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260820,84780,347,156,261,11,330,1,5,OLE000075,76,112.7500,80.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260627,25500,73,398,357,167,228,9,2,OLE000076,77,114.1200,81.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260704,64980,102,495,434,414,230,1,2,OLE000077,78,115.4900,82.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260614,57840,298,420,314,129,75,12,2,OLE000078,79,116.8600,83.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260606,51420,360,50,390,210,51,12,1,OLE000079,80,118.2300,84.0000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260718,33240,142,152,185,179,218,4,3,OLE000080,81,119.6000,85.0000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260824,16620,439,487,128,461,194,9,3,OLE000081,82,120.9700,86.0000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260721,11820,348,353,71,370,253,11,1,OLE000082,83,122.3400,87.0000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260621,46980,195,426,189,27,316,10,2,OLE000083,84,123.7100,88.0000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260610,37680,233,215,14,356,327,4,1,OLE000084,85,125.0800,89.0000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260803,13740,383,33,-1,248,295,4,1,OLE000085,86,126.4500,90.0000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260707,6420,224,194,460,306,336,3,4,OLE000086,87,127.8200,91.0000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260823,19800,481,49,379,238,149,5,5,OLE000087,88,129.1900,92.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260809,50700,287,482,177,397,281,2,1,OLE000088,89,130.5600,93.0000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260723,6360,359,62,488,91,191,12,2,OLE000089,90,131.9300,94.0000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260619,28200,393,256,98,360,233,2,4,OLE000090,91,133.3000,95.0000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260731,29040,294,478,192,317,259,10,2,OLE000091,92,134.6700,96.0000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260722,38220,49,185,342,180,129,5,2,OLE000092,93,136.0400,97.0000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260810,18780,151,274,433,203,320,6,2,OLE000093,94,137.4100,98.0000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260818,83580,407,467,293,134,92,12,2,OLE000094,95,138.7800,99.0000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260624,10800,429,237,500,278,40,12,4,OLE000095,96,140.1500,100.0000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260810,36360,391,186,313,125,344,6,2,OLE000096,97,141.5200,101.0000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260724,74940,265,145,327,168,349,8,5,OLE000097,98,142.8900,102.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260626,18240,305,73,1,457,60,5,4,OLE000098,99,144.2600,103.0000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260822,40920,220,235,123,217,57,9,1,OLE000099,100,145.6300,104.0000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260824,57240,225,380,3,86,122,1,3,OLE000100,101,147.0000,105.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260604,40860,268,386,183,147,252,10,1,OLE000101,102,148.3700,106.0000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260817,71880,189,150,-1,456,265,6,1,OLE000102,103,149.7400,107.0000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260816,50520,300,293,55,468,211,4,4,OLE000103,104,151.1100,108.0000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260823,10920,187,187,255,151,2,3,2,OLE000104,105,152.4800,109.0000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260701,40560,94,169,223,54,164,11,5,OLE000105,106,153.8500,110.0000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260819,44280,52,142,406,362,231,3,5,OLE000106,107,155.2200,111.0000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260720,3060,130,329,311,256,133,1,3,OLE000107,108,156.5900,112.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260731,65880,180,433,251,385,339,4,1,OLE000108,109,157.9600,113.0000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260809,49500,235,411,128,225,58,8,3,OLE000109,110,159.3300,114.0000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260530,35580,198,183,458,297,168,4,1,OLE000110,111,160.7000,115.0000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260613,21900,318,449,365,151,143,11,4,OLE000111,112,162.0700,116.0000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260812,55740,350,41,71,282,75,5,5,OLE000112,113,163.4400,117.0000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260720,22080,30,199,402,188,329,4,3,OLE000113,114,164.8100,118.0000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260623,420,389,456,432,208,154,1,3,OLE000114,115,166.1800,119.0000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260711,75900,431,338,29,3,281,1,5,OLE000115,116,167.5500,120.0000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260617,38460,13,303,409,320,105,12,1,OLE000116,117,168.9200,121.0000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260714,53100,267,50,488,282,203,3,5,OLE000117,118,170.2900,122.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260717,18300,274,213,122,268,296,12,2,OLE000118,119,171.6600,123.0000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260717,22140,284,29,-1,491,243,2,3,OLE000119,120,173.0300,124.0000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260817,59580,4,267,330,412,210,6,3,OLE000120,121,174.4000,125.0000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260824,24240,383,451,161,25,349,4,5,OLE000121,122,175.7700,126.0000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260630,26460,293,22,64,289,103,4,3,OLE000122,123,177.1400,127.0000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260726,1200,29,488,488,219,153,3,1,OLE000123,124,178.5100,128.0000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260822,78960,370,200,201,1,223,11,1,OLE000124,125,179.8800,129.0000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260708,46020,46,385,97,338,226,12,1,OLE000125,126,181.2500,130.0000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260819,70140,331,480,147,429,213,12,3,OLE000126,127,182.6200,131.0000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260719,55080,92,113,43,449,264,3,2,OLE000127,128,183.9900,132.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260529,34440,447,234,8,190,186,2,5,OLE000128,129,185.3600,133.0000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260731,69180,38,449,50,427,82,5,4,OLE000129,130,186.7300,134.0000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260619,30540,334,427,29,168,306,12,1,OLE000130,131,188.1000,135.0000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260629,77220,455,102,500,409,7,11,2,OLE000131,132,189.4700,136.0000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260611,36900,287,276,121,473,207,11,5,OLE000132,133,190.8400,137.0000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260527,25260,349,198,360,170,120,8,5,OLE000133,134,192.2100,138.0000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260701,25260,315,96,205,28,50,6,5,OLE000134,135,193.5800,139.0000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260820,69180,402,331,427,177,317,5,5,OLE000135,136,194.9500,140.0000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260616,28200,307,45,-1,443,295,5,5,OLE000136,137,196.3200,141.0000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260620,17400,120,455,323,49,175,12,3,OLE000137,138,197.6900,142.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260616,31260,328,125,198,48,194,12,5,OLE000138,139,199.0600,143.0000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260705,68760,474,171,55,197,135,9,3,OLE000139,140,200.4300,144.0000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260603,45600,166,388,224,306,2,10,4,OLE000140,141,201.8000,145.0000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260615,73320,425,253,60,215,71,12,2,OLE000141,142,203.1700,146.0000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260731,51360,463,280,434,203,17,11,4,OLE000142,143,204.5400,147.0000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260719,3660,237,491,95,478,92,9,3,OLE000143,144,205.9100,148.0000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260529,51480,71,344,397,129,255,3,4,OLE000144,145,207.2800,149.0000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260724,74640,163,137,375,475,82,3,2,OLE000145,146,208.6500,150.0000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260612,80400,165,8,284,127,293,2,1,OLE000146,147,210.0200,151.0000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260709,80700,302,189,420,140,303,10,1,OLE000147,148,211.3900,152.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260626,68520,450,293,299,494,153,11,5,OLE000148,149,212.7600,153.0000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260611,49620,192,442,147,215,15,6,5,OLE000149,150,214.1300,154.0000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260802,11400,257,59,162,418,201,11,4,OLE000150,151,215.5000,155.0000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260728,41640,226,380,487,419,251,3,3,OLE000151,152,216.8700,156.0000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260704,9540,413,286,60,461,335,12,5,OLE000152,153,218.2400,157.0000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260728,13860,374,470,-1,148,202,11,5,OLE000153,154,219.6100,158.0000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260806,23220,277,362,188,176,139,4,5,OLE000154,155,220.9800,159.0000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260613,35460,485,162,174,4,301,9,2,OLE000155,156,222.3500,160.0000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260804,50460,459,126,404,263,258,11,2,OLE000156,157,223.7200,161.0000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260704,2760,469,260,441,56,23,6,4,OLE000157,158,225.0900,162.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260813,21000,35,7,22,112,275,3,5,OLE000158,159,226.4600,163.0000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260812,77520,491,486,38,469,193,4,3,OLE000159,160,227.8300,164.0000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260720,35820,131,102,146,158,162,7,2,OLE000160,161,229.2000,165.0000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260605,79620,259,421,206,128,334,8,2,OLE000161,162,230.5700,166.0000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260722,71400,381,498,70,214,62,4,5,OLE000162,163,231.9400,167.0000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260815,300,286,213,182,244,168,9,4,OLE000163,164,233.3100,168.0000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260811,56820,291,243,321,72,264,12,1,OLE000164,165,234.6800,169.0000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260728,6840,403,313,45,456,12,6,4,OLE000165,166,236.0500,170.0000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260822,39660,278,418,409,357,316,1,3,OLE000166,167,237.4200,171.0000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260704,80220,137,276,130,468,58,11,1,OLE000167,168,238.7900,172.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260619,54060,403,223,294,56,339,10,3,OLE000168,169,240.1600,173.0000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260823,3240,83,447,327,435,275,6,2,OLE000169,170,241.5300,174.0000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260624,41100,23,101,-1,52,334,12,4,OLE000170,171,242.9000,175.0000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260820,85080,170,114,499,449,182,2,3,OLE000171,172,244.2700,176.0000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260601,39960,498,226,30,346,34,6,5,OLE000172,173,245.6400,177.0000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260823,46560,427,445,408,438,276,9,4,OLE000173,174,247.0100,178.0000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260716,19320,489,449,204,6,20,9,1,OLE000174,175,248.3800,179.0000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260814,22020,488,173,183,425,91,2,3,OLE000175,176,249.7500,180.0000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260719,19860,440,12,302,214,136,11,4,OLE000176,177,251.1200,181.0000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260815,67380,260,364,353,459,349,6,3,OLE000177,178,252.4900,182.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260801,13860,372,465,201,155,291,12,4,OLE000178,179,253.8600,183.0000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260803,69420,432,68,268,15,308,4,5,OLE000179,180,255.2300,184.0000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260814,10860,160,69,449,231,245,2,4,OLE000180,181,256.6000,185.0000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260627,59880,266,107,123,135,205,3,1,OLE000181,182,257.9700,186.0000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260607,5820,240,355,176,211,91,8,2,OLE000182,183,259.3400,187.0000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260818,30420,471,147,12,297,258,2,2,OLE000183,184,260.7100,188.0000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260530,12420,99,348,258,400,128,6,2,OLE000184,185,262.0800,189.0000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260724,49020,329,107,254,202,222,12,4,OLE000185,186,263.4500,190.0000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260802,68820,241,494,373,309,332,10,3,OLE000186,187,264.8200,191.0000,264.8200,1,1,2026-08-24T00:00:00.000
187,20260802,2640,498,303,-1,11,111,4,2,OLE000187,188,266.1900,192.0000,266.1900,1,1,2026-08-24T00:00:00.000
188,20260614,23640,151,61,324,460,27,8,4,OLE000188,189,267.5600,193.0000,267.5600,1,1,2026-08-24T00:00:00.000
189,20260604,8340,5,468,139,66,11,2,2,OLE000189,190,268.9300,194.0000,268.9300,1,1,2026-08-24T00:00:00.000
190,20260711,50700,40,451,230,309,77,7,3,OLE000190,191,270.3000,195.0000,270.3000,1,1,2026-08-24T00:00:00.000
191,20260711,3720,418,292,286,200,246,12,3,OLE000191,192,271.6700,196.0000,271.6700,1,1,2026-08-24T00:00:00.000
192,20260802,78360,493,259,249,412,24,11,5,OLE000192,193,273.0400,197.0000,273.0400,1,1,2026-08-24T00:00:00.000
193,20260818,52980,144,198,119,459,232,12,4,OLE000193,194,274.4100,198.0000,274.4100,1,1,2026-08-24T00:00:00.000
194,20260614,16680,304,105,212,494,127,4,5,OLE000194,195,275.7800,199.0000,275.7800,1,1,2026-08-24T00:00:00.000
195,20260707,60600,449,229,244,306,184,7,4,OLE000195,196,277.1500,200.0000,277.1500,1,1,2026-08-24T00:00:00.000
196,20260705,53100,28,34,140,176,186,4,3,OLE000196,197,278.5200,201.0000,278.5200,1,1,2026-08-24T00:00:00.000
197,20260717,52080,247,80,199,424,63,2,4,OLE000197,198,279.8900,202.0000,279.8900,1,1,2026-08-24T00:00:00.000
198,20260818,15360,138,397,396,151,47,8,2,OLE000198,199,281.2600,203.0000,281.2600,1,1,2026-08-24T00:00:00.000
199,20260712,78780,258,245,490,147,61,5,4,OLE000199,200,282.6300,204.0000,282.6300,1,1,2026-08-24T00:00:00.000
200,20260722,43500,262,119,391,92,314,10,2,OLE000200,201,284.0000,205.0000,284.0000,1,1,2026-08-24T00:00:00.000
201,20260628,75360,60,37,90,29,140,5,5,OLE000201,202,285.3700,206.0000,285.3700,1,1,2026-08-24T00:00:00.000
202,20260822,59100,285,398,494,437,248,5,3,OLE000202,203,286.7400,207.0000,286.7400,1,1,2026-08-24T00:00:00.000
203,20260726,35520,300,465,298,448,53,10,4,OLE000203,204,288.1100,208.0000,288.1100,1,1,2026-08-24T00:00:00.000
204,20260531,61980,110,317,-1,424,102,1,3,OLE000204,205,289.4800,209.0000,289.4800,1,1,2026-08-24T00:00:00.000
205,20260528,29040,25,5,410,89,127,4,5,OLE000205,206,290.8500,210.0000,290.8500,1,1,2026-08-24T00:00:00.000
206,20260805,42600,85,419,411,334,160,1,2,OLE000206,207,292.2200,211.0000,292.2200,1,1,2026-08-24T00:00:00.000
207,20260620,49680,486,440,401,495,193,2,4,OLE000207,208,293.5900,212.0000,293.5900,1,1,2026-08-24T00:00:00.000
208,20260612,53700,153,208,13,23,21,2,2,OLE000208,209,294.9600,213.0000,294.9600,1,1,2026-08-24T00:00:00.000
209,20260713,21240,415,121,298,102,183,9,5,OLE000209,210,296.3300,214.0000,296.3300,1,1,2026-08-24T00:00:00.000
210,20260527,15060,322,88,347,193,14,1,1,OLE000210,211,297.7000,215.0000,297.7000,1,1,2026-08-24T00:00:00.000
