MaintenanceLaborConfirmationKey,ConfirmationDateKey,ConfirmationTimeOfDayKey,MaintenanceWorkOrderKey,AssetKey,TechnicianEmployeeKey,MaintenanceCrewKey,CostCenterKey,MaintenanceWorkTypeKey,LaborConfirmationNumber,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
65,20260803,81180,465,219,308,195,377,1,MLC000065,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260619,14460,477,287,455,310,474,9,MLC000066,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260622,63480,482,24,317,251,409,7,MLC000067,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260723,11820,447,58,122,-1,59,2,MLC000068,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260601,62760,17,358,109,355,400,6,MLC000069,70,104.5300,74.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260602,70440,226,196,73,265,487,1,MLC000070,71,105.9000,75.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260729,28320,83,262,182,40,485,1,MLC000071,72,107.2700,76.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260716,59160,413,134,54,116,291,7,MLC000072,73,108.6400,77.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260705,69060,355,241,252,415,399,9,MLC000073,74,110.0100,78.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260721,1920,363,239,124,1,192,7,MLC000074,75,111.3800,79.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260615,82020,64,68,142,345,434,9,MLC000075,76,112.7500,80.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260728,75660,339,418,256,380,50,7,MLC000076,77,114.1200,81.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260818,56940,113,173,390,2,157,2,MLC000077,78,115.4900,82.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260628,57240,416,202,403,20,164,8,MLC000078,79,116.8600,83.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260815,36000,241,196,211,393,210,1,MLC000079,80,118.2300,84.0000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260602,67500,278,254,343,51,80,10,MLC000080,81,119.6000,85.0000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260529,64020,416,95,393,188,100,9,MLC000081,82,120.9700,86.0000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260604,83160,318,115,327,76,169,7,MLC000082,83,122.3400,87.0000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260712,53400,441,472,7,193,76,2,MLC000083,84,123.7100,88.0000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260622,43680,203,390,194,214,135,1,MLC000084,85,125.0800,89.0000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260610,84180,257,464,192,-1,86,10,MLC000085,86,126.4500,90.0000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260618,62460,468,44,431,88,303,2,MLC000086,87,127.8200,91.0000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260728,74340,130,295,322,451,436,5,MLC000087,88,129.1900,92.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260614,68580,320,263,228,480,336,4,MLC000088,89,130.5600,93.0000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260802,31140,80,173,380,498,444,6,MLC000089,90,131.9300,94.0000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260621,54600,403,397,79,12,378,1,MLC000090,91,133.3000,95.0000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260627,42660,302,8,229,480,279,8,MLC000091,92,134.6700,96.0000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260824,900,381,101,275,384,203,3,MLC000092,93,136.0400,97.0000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260701,23640,322,267,287,352,4,7,MLC000093,94,137.4100,98.0000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260823,52560,15,238,359,433,494,8,MLC000094,95,138.7800,99.0000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260620,34200,238,395,261,57,223,10,MLC000095,96,140.1500,100.0000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260708,33840,174,148,204,349,443,6,MLC000096,97,141.5200,101.0000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260716,27660,468,449,250,139,117,9,MLC000097,98,142.8900,102.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260711,70320,328,28,335,245,282,7,MLC000098,99,144.2600,103.0000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260723,80220,75,494,64,227,191,6,MLC000099,100,145.6300,104.0000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260619,35340,102,295,407,139,18,10,MLC000100,101,147.0000,105.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260824,85980,270,59,134,230,302,9,MLC000101,102,148.3700,106.0000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260528,53040,92,265,124,-1,292,2,MLC000102,103,149.7400,107.0000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260603,59520,3,288,268,394,270,1,MLC000103,104,151.1100,108.0000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260809,8100,341,112,241,64,149,6,MLC000104,105,152.4800,109.0000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260807,60180,235,83,381,115,260,10,MLC000105,106,153.8500,110.0000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260611,81840,145,148,283,431,278,9,MLC000106,107,155.2200,111.0000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260529,80880,491,212,57,140,413,1,MLC000107,108,156.5900,112.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260728,13560,140,18,440,227,354,3,MLC000108,109,157.9600,113.0000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260712,59100,97,215,494,5,412,5,MLC000109,110,159.3300,114.0000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260627,71940,350,25,346,337,73,7,MLC000110,111,160.7000,115.0000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260715,70980,110,431,396,213,159,10,MLC000111,112,162.0700,116.0000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260607,40980,12,77,421,144,357,5,MLC000112,113,163.4400,117.0000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260820,57900,72,307,44,276,318,11,MLC000113,114,164.8100,118.0000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260623,84300,218,156,335,366,207,6,MLC000114,115,166.1800,119.0000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260722,63900,351,347,104,258,143,6,MLC000115,116,167.5500,120.0000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260705,79140,117,372,3,245,270,11,MLC000116,117,168.9200,121.0000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260712,73740,72,50,169,206,256,2,MLC000117,118,170.2900,122.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260809,62160,362,373,167,374,214,3,MLC000118,119,171.6600,123.0000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260609,28080,356,380,113,-1,436,1,MLC000119,120,173.0300,124.0000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260621,18900,73,348,186,468,251,3,MLC000120,121,174.4000,125.0000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260606,22740,293,432,195,316,241,12,MLC000121,122,175.7700,126.0000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260727,8280,360,425,438,6,475,12,MLC000122,123,177.1400,127.0000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260619,65220,261,139,87,290,13,3,MLC000123,124,178.5100,128.0000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260622,21660,26,172,62,332,326,3,MLC000124,125,179.8800,129.0000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260816,51120,227,23,200,68,261,6,MLC000125,126,181.2500,130.0000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260613,81180,1,88,246,461,328,11,MLC000126,127,182.6200,131.0000,182.6200,1,1,2026-08-24T00:00:00.000
