FinancePurchasePriceVarianceKey,PostingDateKey,InvoiceDateKey,ProductKey,PlantKey,SupplierKey,CostCenterKey,FinanceCostElementDetailKey,FinanceVarianceTypeKey,CurrencyKey,SupplierInvoiceNumber,PurchaseOrderNumber,InvoiceQuantity,StandardCostAmount,ActualPriceAmount,PurchasePriceVarianceAmount,SourceSystemKey,BatchId,LoadedAtUtc
43,20260717,20260812,87,226,243,338,67,6,3,FPPV000043,FPPV000043,30.2000,68.9100,68.9100,68.9100,1,1,2026-08-24T00:00:00.000
44,20260607,20260803,294,267,300,105,360,10,3,FPPV000044,FPPV000044,30.9000,70.2800,70.2800,70.2800,1,1,2026-08-24T00:00:00.000
45,20260722,20260705,236,106,293,364,162,13,5,FPPV000045,FPPV000045,31.6000,71.6500,71.6500,71.6500,1,1,2026-08-24T00:00:00.000
46,20260804,20260716,447,153,391,427,326,8,4,FPPV000046,FPPV000046,32.3000,73.0200,73.0200,73.0200,1,1,2026-08-24T00:00:00.000
47,20260606,20260615,483,191,196,158,463,19,1,FPPV000047,FPPV000047,33.0000,74.3900,74.3900,74.3900,1,1,2026-08-24T00:00:00.000
48,20260610,20260630,240,212,62,289,109,20,3,FPPV000048,FPPV000048,33.7000,75.7600,75.7600,75.7600,1,1,2026-08-24T00:00:00.000
49,20260705,20260808,493,33,218,140,344,15,4,FPPV000049,FPPV000049,34.4000,77.1300,77.1300,77.1300,1,1,2026-08-24T00:00:00.000
50,20260622,20260608,324,172,188,479,275,17,2,FPPV000050,FPPV000050,35.1000,78.5000,78.5000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260815,20260605,394,22,290,-1,269,8,3,FPPV000051,FPPV000051,35.8000,79.8700,79.8700,79.8700,1,1,2026-08-24T00:00:00.000
52,20260812,20260717,25,111,485,398,60,20,2,FPPV000052,FPPV000052,36.5000,81.2400,81.2400,81.2400,1,1,2026-08-24T00:00:00.000
53,20260626,20260807,186,323,457,386,134,19,4,FPPV000053,FPPV000053,37.2000,82.6100,82.6100,82.6100,1,1,2026-08-24T00:00:00.000
54,20260811,20260815,455,8,82,52,310,8,3,FPPV000054,FPPV000054,37.9000,83.9800,83.9800,83.9800,1,1,2026-08-24T00:00:00.000
55,20260609,20260820,386,136,6,472,172,14,5,FPPV000055,FPPV000055,38.6000,85.3500,85.3500,85.3500,1,1,2026-08-24T00:00:00.000
56,20260802,20260612,91,329,430,454,462,9,4,FPPV000056,FPPV000056,39.3000,86.7200,86.7200,86.7200,1,1,2026-08-24T00:00:00.000
57,20260606,20260701,363,327,111,89,44,9,3,FPPV000057,FPPV000057,40.0000,88.0900,88.0900,88.0900,1,1,2026-08-24T00:00:00.000
58,20260823,20260710,335,300,394,449,175,17,3,FPPV000058,FPPV000058,40.7000,89.4600,89.4600,89.4600,1,1,2026-08-24T00:00:00.000
59,20260614,20260802,398,91,116,324,448,10,3,FPPV000059,FPPV000059,41.4000,90.8300,90.8300,90.8300,1,1,2026-08-24T00:00:00.000
60,20260619,20260724,115,111,60,207,224,14,2,FPPV000060,FPPV000060,42.1000,92.2000,92.2000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260616,20260528,311,288,459,157,415,17,5,FPPV000061,FPPV000061,42.8000,93.5700,93.5700,93.5700,1,1,2026-08-24T00:00:00.000
62,20260710,20260530,369,224,207,491,187,7,4,FPPV000062,FPPV000062,43.5000,94.9400,94.9400,94.9400,1,1,2026-08-24T00:00:00.000
63,20260616,20260819,368,174,122,325,233,9,5,FPPV000063,FPPV000063,44.2000,96.3100,96.3100,96.3100,1,1,2026-08-24T00:00:00.000
64,20260624,20260822,465,254,318,487,92,11,3,FPPV000064,FPPV000064,44.9000,97.6800,97.6800,97.6800,1,1,2026-08-24T00:00:00.000
65,20260529,20260804,14,109,454,139,260,11,2,FPPV000065,FPPV000065,45.6000,99.0500,99.0500,99.0500,1,1,2026-08-24T00:00:00.000
66,20260628,20260531,496,249,197,250,95,14,4,FPPV000066,FPPV000066,46.3000,100.4200,100.4200,100.4200,1,1,2026-08-24T00:00:00.000
67,20260729,20260724,283,94,411,269,48,20,4,FPPV000067,FPPV000067,47.0000,101.7900,101.7900,101.7900,1,1,2026-08-24T00:00:00.000
68,20260808,20260527,258,185,262,-1,404,20,3,FPPV000068,FPPV000068,47.7000,103.1600,103.1600,103.1600,1,1,2026-08-24T00:00:00.000
69,20260804,20260709,467,333,115,214,100,4,4,FPPV000069,FPPV000069,48.4000,104.5300,104.5300,104.5300,1,1,2026-08-24T00:00:00.000
70,20260601,20260626,311,104,41,124,260,8,1,FPPV000070,FPPV000070,49.1000,105.9000,105.9000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260720,20260704,409,281,43,215,16,17,2,FPPV000071,FPPV000071,49.8000,107.2700,107.2700,107.2700,1,1,2026-08-24T00:00:00.000
72,20260811,20260807,476,54,4,454,446,8,4,FPPV000072,FPPV000072,50.5000,108.6400,108.6400,108.6400,1,1,2026-08-24T00:00:00.000
73,20260824,20260531,381,84,70,223,7,13,1,FPPV000073,FPPV000073,51.2000,110.0100,110.0100,110.0100,1,1,2026-08-24T00:00:00.000
74,20260609,20260630,254,115,425,162,17,6,5,FPPV000074,FPPV000074,51.9000,111.3800,111.3800,111.3800,1,1,2026-08-24T00:00:00.000
75,20260626,20260724,423,121,473,294,140,20,3,FPPV000075,FPPV000075,52.6000,112.7500,112.7500,112.7500,1,1,2026-08-24T00:00:00.000
76,20260713,20260710,380,262,346,29,351,18,5,FPPV000076,FPPV000076,53.3000,114.1200,114.1200,114.1200,1,1,2026-08-24T00:00:00.000
77,20260816,20260803,242,196,43,440,285,20,3,FPPV000077,FPPV000077,54.0000,115.4900,115.4900,115.4900,1,1,2026-08-24T00:00:00.000
78,20260704,20260715,190,215,481,191,495,10,3,FPPV000078,FPPV000078,54.7000,116.8600,116.8600,116.8600,1,1,2026-08-24T00:00:00.000
79,20260711,20260605,338,81,202,456,494,20,1,FPPV000079,FPPV000079,55.4000,118.2300,118.2300,118.2300,1,1,2026-08-24T00:00:00.000
80,20260705,20260614,354,92,386,34,79,6,1,FPPV000080,FPPV000080,56.1000,119.6000,119.6000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260823,20260731,291,54,480,89,380,15,2,FPPV000081,FPPV000081,56.8000,120.9700,120.9700,120.9700,1,1,2026-08-24T00:00:00.000
82,20260628,20260710,139,99,391,92,469,15,2,FPPV000082,FPPV000082,57.5000,122.3400,122.3400,122.3400,1,1,2026-08-24T00:00:00.000
83,20260623,20260627,22,71,86,67,253,13,1,FPPV000083,FPPV000083,58.2000,123.7100,123.7100,123.7100,1,1,2026-08-24T00:00:00.000
84,20260709,20260630,278,14,372,337,412,18,2,FPPV000084,FPPV000084,58.9000,125.0800,125.0800,125.0800,1,1,2026-08-24T00:00:00.000
85,20260607,20260821,388,36,404,-1,462,20,4,FPPV000085,FPPV000085,59.6000,126.4500,126.4500,126.4500,1,1,2026-08-24T00:00:00.000
86,20260704,20260815,181,89,17,57,14,18,4,FPPV000086,FPPV000086,60.3000,127.8200,127.8200,127.8200,1,1,2026-08-24T00:00:00.000
87,20260604,20260728,170,46,212,236,28,5,3,FPPV000087,FPPV000087,61.0000,129.1900,129.1900,129.1900,1,1,2026-08-24T00:00:00.000
88,20260704,20260805,367,55,227,329,492,13,4,FPPV000088,FPPV000088,61.7000,130.5600,130.5600,130.5600,1,1,2026-08-24T00:00:00.000
89,20260819,20260815,192,319,43,109,459,1,2,FPPV000089,FPPV000089,62.4000,131.9300,131.9300,131.9300,1,1,2026-08-24T00:00:00.000
90,20260720,20260802,417,306,377,274,416,7,2,FPPV000090,FPPV000090,63.1000,133.3000,133.3000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260710,20260814,82,201,390,109,87,4,1,FPPV000091,FPPV000091,63.8000,134.6700,134.6700,134.6700,1,1,2026-08-24T00:00:00.000
92,20260712,20260711,466,142,496,413,30,10,4,FPPV000092,FPPV000092,64.5000,136.0400,136.0400,136.0400,1,1,2026-08-24T00:00:00.000
93,20260727,20260824,414,172,212,59,350,18,3,FPPV000093,FPPV000093,65.2000,137.4100,137.4100,137.4100,1,1,2026-08-24T00:00:00.000
94,20260729,20260703,15,16,366,495,38,7,2,FPPV000094,FPPV000094,65.9000,138.7800,138.7800,138.7800,1,1,2026-08-24T00:00:00.000
95,20260710,20260614,291,94,374,99,1,10,2,FPPV000095,FPPV000095,66.6000,140.1500,140.1500,140.1500,1,1,2026-08-24T00:00:00.000
96,20260806,20260808,203,253,305,236,357,8,4,FPPV000096,FPPV000096,67.3000,141.5200,141.5200,141.5200,1,1,2026-08-24T00:00:00.000
97,20260805,20260717,319,263,85,264,201,1,2,FPPV000097,FPPV000097,68.0000,142.8900,142.8900,142.8900,1,1,2026-08-24T00:00:00.000
98,20260807,20260610,347,310,44,401,138,20,2,FPPV000098,FPPV000098,68.7000,144.2600,144.2600,144.2600,1,1,2026-08-24T00:00:00.000
99,20260712,20260806,70,220,311,358,444,6,3,FPPV000099,FPPV000099,69.4000,145.6300,145.6300,145.6300,1,1,2026-08-24T00:00:00.000
100,20260602,20260728,475,173,243,329,205,16,4,FPPV000100,FPPV000100,70.1000,147.0000,147.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260803,20260704,289,119,439,165,336,15,5,FPPV000101,FPPV000101,70.8000,148.3700,148.3700,148.3700,1,1,2026-08-24T00:00:00.000
102,20260810,20260610,248,257,378,-1,329,12,3,FPPV000102,FPPV000102,71.5000,149.7400,149.7400,149.7400,1,1,2026-08-24T00:00:00.000
103,20260722,20260709,82,114,358,204,125,13,2,FPPV000103,FPPV000103,72.2000,151.1100,151.1100,151.1100,1,1,2026-08-24T00:00:00.000
104,20260606,20260820,81,179,386,476,157,15,1,FPPV000104,FPPV000104,72.9000,152.4800,152.4800,152.4800,1,1,2026-08-24T00:00:00.000
105,20260613,20260712,32,3,66,405,340,10,5,FPPV000105,FPPV000105,73.6000,153.8500,153.8500,153.8500,1,1,2026-08-24T00:00:00.000
106,20260615,20260617,216,161,484,376,361,7,2,FPPV000106,FPPV000106,74.3000,155.2200,155.2200,155.2200,1,1,2026-08-24T00:00:00.000
107,20260613,20260627,139,174,327,277,424,7,4,FPPV000107,FPPV000107,75.0000,156.5900,156.5900,156.5900,1,1,2026-08-24T00:00:00.000
108,20260528,20260801,347,189,356,100,177,7,3,FPPV000108,FPPV000108,75.7000,157.9600,157.9600,157.9600,1,1,2026-08-24T00:00:00.000
109,20260802,20260722,339,87,211,409,445,6,1,FPPV000109,FPPV000109,76.4000,159.3300,159.3300,159.3300,1,1,2026-08-24T00:00:00.000
110,20260819,20260629,201,34,413,178,496,6,4,FPPV000110,FPPV000110,77.1000,160.7000,160.7000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260814,20260625,94,18,87,346,270,13,5,FPPV000111,FPPV000111,77.8000,162.0700,162.0700,162.0700,1,1,2026-08-24T00:00:00.000
112,20260622,20260704,300,249,19,6,454,20,5,FPPV000112,FPPV000112,78.5000,163.4400,163.4400,163.4400,1,1,2026-08-24T00:00:00.000
113,20260804,20260821,165,51,386,290,209,19,3,FPPV000113,FPPV000113,79.2000,164.8100,164.8100,164.8100,1,1,2026-08-24T00:00:00.000
114,20260823,20260614,372,75,245,386,79,18,2,FPPV000114,FPPV000114,79.9000,166.1800,166.1800,166.1800,1,1,2026-08-24T00:00:00.000
115,20260815,20260614,417,120,159,184,363,20,2,FPPV000115,FPPV000115,80.6000,167.5500,167.5500,167.5500,1,1,2026-08-24T00:00:00.000
116,20260627,20260723,500,84,394,23,37,9,2,FPPV000116,FPPV000116,81.3000,168.9200,168.9200,168.9200,1,1,2026-08-24T00:00:00.000
117,20260824,20260625,279,147,276,342,16,3,3,FPPV000117,FPPV000117,82.0000,170.2900,170.2900,170.2900,1,1,2026-08-24T00:00:00.000
118,20260814,20260529,204,74,363,102,330,14,3,FPPV000118,FPPV000118,82.7000,171.6600,171.6600,171.6600,1,1,2026-08-24T00:00:00.000
119,20260615,20260717,458,252,166,-1,435,10,1,FPPV000119,FPPV000119,83.4000,173.0300,173.0300,173.0300,1,1,2026-08-24T00:00:00.000
120,20260616,20260817,222,292,281,68,446,14,1,FPPV000120,FPPV000120,84.1000,174.4000,174.4000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260803,20260728,114,233,411,343,240,10,2,FPPV000121,FPPV000121,84.8000,175.7700,175.7700,175.7700,1,1,2026-08-24T00:00:00.000
122,20260721,20260612,321,349,431,295,334,5,3,FPPV000122,FPPV000122,85.5000,177.1400,177.1400,177.1400,1,1,2026-08-24T00:00:00.000
123,20260601,20260601,309,230,334,98,492,17,2,FPPV000123,FPPV000123,86.2000,178.5100,178.5100,178.5100,1,1,2026-08-24T00:00:00.000
124,20260530,20260607,224,271,110,330,257,16,3,FPPV000124,FPPV000124,86.9000,179.8800,179.8800,179.8800,1,1,2026-08-24T00:00:00.000
125,20260530,20260806,267,136,304,260,194,16,1,FPPV000125,FPPV000125,87.6000,181.2500,181.2500,181.2500,1,1,2026-08-24T00:00:00.000
126,20260531,20260820,373,267,304,100,69,5,1,FPPV000126,FPPV000126,88.3000,182.6200,182.6200,182.6200,1,1,2026-08-24T00:00:00.000
127,20260820,20260817,116,22,220,198,98,17,1,FPPV000127,FPPV000127,89.0000,183.9900,183.9900,183.9900,1,1,2026-08-24T00:00:00.000
128,20260605,20260711,152,140,21,398,411,17,5,FPPV000128,FPPV000128,89.7000,185.3600,185.3600,185.3600,1,1,2026-08-24T00:00:00.000
129,20260728,20260808,50,26,248,438,211,8,1,FPPV000129,FPPV000129,90.4000,186.7300,186.7300,186.7300,1,1,2026-08-24T00:00:00.000
130,20260805,20260721,52,144,133,443,68,2,5,FPPV000130,FPPV000130,91.1000,188.1000,188.1000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260723,20260721,158,184,189,285,307,18,5,FPPV000131,FPPV000131,91.8000,189.4700,189.4700,189.4700,1,1,2026-08-24T00:00:00.000
132,20260604,20260616,173,57,216,206,232,7,4,FPPV000132,FPPV000132,92.5000,190.8400,190.8400,190.8400,1,1,2026-08-24T00:00:00.000
133,20260615,20260813,122,228,161,101,342,17,1,FPPV000133,FPPV000133,93.2000,192.2100,192.2100,192.2100,1,1,2026-08-24T00:00:00.000
134,20260821,20260722,158,245,163,488,217,1,4,FPPV000134,FPPV000134,93.9000,193.5800,193.5800,193.5800,1,1,2026-08-24T00:00:00.000
135,20260713,20260714,350,182,20,103,247,2,3,FPPV000135,FPPV000135,94.6000,194.9500,194.9500,194.9500,1,1,2026-08-24T00:00:00.000
136,20260710,20260726,11,223,349,-1,320,8,3,FPPV000136,FPPV000136,95.3000,196.3200,196.3200,196.3200,1,1,2026-08-24T00:00:00.000
137,20260608,20260823,263,338,231,457,291,12,1,FPPV000137,FPPV000137,96.0000,197.6900,197.6900,197.6900,1,1,2026-08-24T00:00:00.000
138,20260716,20260720,333,48,40,55,383,20,3,FPPV000138,FPPV000138,96.7000,199.0600,199.0600,199.0600,1,1,2026-08-24T00:00:00.000
139,20260630,20260815,301,79,149,178,231,5,5,FPPV000139,FPPV000139,97.4000,200.4300,200.4300,200.4300,1,1,2026-08-24T00:00:00.000
140,20260805,20260716,471,43,98,7,489,11,5,FPPV000140,FPPV000140,98.1000,201.8000,201.8000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260816,20260804,165,22,95,400,27,11,1,FPPV000141,FPPV000141,98.8000,203.1700,203.1700,203.1700,1,1,2026-08-24T00:00:00.000
142,20260614,20260807,339,231,90,188,430,7,2,FPPV000142,FPPV000142,99.5000,204.5400,204.5400,204.5400,1,1,2026-08-24T00:00:00.000
143,20260620,20260726,71,138,469,125,402,4,3,FPPV000143,FPPV000143,100.2000,205.9100,205.9100,205.9100,1,1,2026-08-24T00:00:00.000
144,20260818,20260623,309,217,445,7,74,9,1,FPPV000144,FPPV000144,100.9000,207.2800,207.2800,207.2800,1,1,2026-08-24T00:00:00.000
145,20260625,20260605,423,180,28,430,73,3,2,FPPV000145,FPPV000145,101.6000,208.6500,208.6500,208.6500,1,1,2026-08-24T00:00:00.000
146,20260708,20260809,72,181,472,364,479,17,5,FPPV000146,FPPV000146,102.3000,210.0200,210.0200,210.0200,1,1,2026-08-24T00:00:00.000
147,20260614,20260530,327,212,325,403,240,1,2,FPPV000147,FPPV000147,103.0000,211.3900,211.3900,211.3900,1,1,2026-08-24T00:00:00.000
148,20260731,20260615,6,17,276,215,340,8,5,FPPV000148,FPPV000148,103.7000,212.7600,212.7600,212.7600,1,1,2026-08-24T00:00:00.000
149,20260626,20260715,19,282,458,30,167,13,3,FPPV000149,FPPV000149,104.4000,214.1300,214.1300,214.1300,1,1,2026-08-24T00:00:00.000
150,20260625,20260720,475,105,103,335,321,17,4,FPPV000150,FPPV000150,105.1000,215.5000,215.5000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260730,20260727,305,41,393,303,378,19,1,FPPV000151,FPPV000151,105.8000,216.8700,216.8700,216.8700,1,1,2026-08-24T00:00:00.000
152,20260703,20260622,415,218,76,462,451,19,2,FPPV000152,FPPV000152,106.5000,218.2400,218.2400,218.2400,1,1,2026-08-24T00:00:00.000
153,20260607,20260706,484,310,65,-1,129,18,5,FPPV000153,FPPV000153,107.2000,219.6100,219.6100,219.6100,1,1,2026-08-24T00:00:00.000
154,20260724,20260619,209,153,395,83,143,2,3,FPPV000154,FPPV000154,107.9000,220.9800,220.9800,220.9800,1,1,2026-08-24T00:00:00.000
155,20260723,20260613,285,55,52,397,428,18,3,FPPV000155,FPPV000155,108.6000,222.3500,222.3500,222.3500,1,1,2026-08-24T00:00:00.000
156,20260815,20260821,225,348,110,189,215,1,5,FPPV000156,FPPV000156,109.3000,223.7200,223.7200,223.7200,1,1,2026-08-24T00:00:00.000
157,20260708,20260706,373,85,81,468,94,3,4,FPPV000157,FPPV000157,110.0000,225.0900,225.0900,225.0900,1,1,2026-08-24T00:00:00.000
158,20260531,20260820,140,176,189,292,246,15,2,FPPV000158,FPPV000158,110.7000,226.4600,226.4600,226.4600,1,1,2026-08-24T00:00:00.000
159,20260611,20260612,102,186,234,297,438,2,2,FPPV000159,FPPV000159,111.4000,227.8300,227.8300,227.8300,1,1,2026-08-24T00:00:00.000
160,20260731,20260821,116,281,76,258,47,2,3,FPPV000160,FPPV000160,112.1000,229.2000,229.2000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260712,20260724,212,28,45,371,70,4,1,FPPV000161,FPPV000161,112.8000,230.5700,230.5700,230.5700,1,1,2026-08-24T00:00:00.000
162,20260717,20260603,41,302,276,382,418,9,5,FPPV000162,FPPV000162,113.5000,231.9400,231.9400,231.9400,1,1,2026-08-24T00:00:00.000
163,20260802,20260813,108,98,245,45,444,5,5,FPPV000163,FPPV000163,114.2000,233.3100,233.3100,233.3100,1,1,2026-08-24T00:00:00.000
164,20260630,20260602,195,152,220,130,36,18,4,FPPV000164,FPPV000164,114.9000,234.6800,234.6800,234.6800,1,1,2026-08-24T00:00:00.000
165,20260807,20260727,171,262,467,387,173,17,4,FPPV000165,FPPV000165,115.6000,236.0500,236.0500,236.0500,1,1,2026-08-24T00:00:00.000
166,20260718,20260721,24,323,237,91,76,10,2,FPPV000166,FPPV000166,116.3000,237.4200,237.4200,237.4200,1,1,2026-08-24T00:00:00.000
167,20260613,20260612,241,282,452,347,367,2,3,FPPV000167,FPPV000167,117.0000,238.7900,238.7900,238.7900,1,1,2026-08-24T00:00:00.000
168,20260620,20260707,36,91,102,251,462,18,5,FPPV000168,FPPV000168,117.7000,240.1600,240.1600,240.1600,1,1,2026-08-24T00:00:00.000
169,20260722,20260607,75,138,75,439,263,7,5,FPPV000169,FPPV000169,118.4000,241.5300,241.5300,241.5300,1,1,2026-08-24T00:00:00.000
170,20260705,20260718,104,332,72,-1,186,2,4,FPPV000170,FPPV000170,119.1000,242.9000,242.9000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260811,20260821,295,297,441,205,69,13,3,FPPV000171,FPPV000171,119.8000,244.2700,244.2700,244.2700,1,1,2026-08-24T00:00:00.000
172,20260824,20260813,477,336,447,261,58,9,5,FPPV000172,FPPV000172,120.5000,245.6400,245.6400,245.6400,1,1,2026-08-24T00:00:00.000
173,20260801,20260804,20,116,164,44,38,8,4,FPPV000173,FPPV000173,121.2000,247.0100,247.0100,247.0100,1,1,2026-08-24T00:00:00.000
174,20260823,20260531,410,1,489,62,76,9,2,FPPV000174,FPPV000174,121.9000,248.3800,248.3800,248.3800,1,1,2026-08-24T00:00:00.000
175,20260628,20260814,97,308,362,304,481,6,1,FPPV000175,FPPV000175,122.6000,249.7500,249.7500,249.7500,1,1,2026-08-24T00:00:00.000
176,20260730,20260528,425,4,429,125,437,10,3,FPPV000176,FPPV000176,123.3000,251.1200,251.1200,251.1200,1,1,2026-08-24T00:00:00.000
