PurchaseInvoiceMatchKey,InvoiceDateKey,MatchDateKey,PostingDateKey,PurchaseOrderLineKey,SupplierKey,ProductKey,CostCenterKey,PurchaseInvoiceMatchStatusKey,CurrencyKey,SupplierInvoiceNumber,SupplierInvoiceLineNumber,InvoiceQuantity,InvoiceAmount,QuantityVariance,PriceVarianceAmount,SourceSystemKey,BatchId,LoadedAtUtc
76,20260805,20260721,20260810,12,305,321,135,2,4,PIM000076,76,53.3000,114.1200,53.3000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260618,20260706,20260715,235,261,278,35,5,3,PIM000077,77,54.0000,115.4900,54.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260527,20260716,20260608,103,467,107,300,6,3,PIM000078,78,54.7000,116.8600,54.7000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260709,20260703,20260717,42,158,171,274,2,3,PIM000079,79,55.4000,118.2300,55.4000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260530,20260627,20260608,324,180,69,44,4,2,PIM000080,80,56.1000,119.6000,56.1000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260709,20260809,20260719,21,41,464,293,9,5,PIM000081,81,56.8000,120.9700,56.8000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260615,20260713,20260725,63,402,417,435,9,3,PIM000082,82,57.5000,122.3400,57.5000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260626,20260619,20260712,201,60,335,23,2,2,PIM000083,83,58.2000,123.7100,58.2000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260703,20260710,20260621,118,293,55,333,9,2,PIM000084,84,58.9000,125.0800,58.9000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260611,20260613,20260803,426,185,-1,-1,5,1,PIM000085,85,59.6000,126.4500,59.6000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260726,20260821,20260621,391,16,441,329,2,2,PIM000086,86,60.3000,127.8200,60.3000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260713,20260712,20260627,203,25,308,62,8,2,PIM000087,87,61.0000,129.1900,61.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260609,20260705,20260820,446,119,433,98,8,5,PIM000088,88,61.7000,130.5600,61.7000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260805,20260618,20260809,91,14,53,136,1,2,PIM000089,89,62.4000,131.9300,62.4000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260815,20260602,20260821,252,282,411,23,3,1,PIM000090,90,63.1000,133.3000,63.1000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260619,20260817,20260822,211,100,219,444,5,5,PIM000091,91,63.8000,134.6700,63.8000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260623,20260803,20260717,308,297,219,409,5,2,PIM000092,92,64.5000,136.0400,64.5000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260627,20260615,20260623,414,479,87,98,8,1,PIM000093,93,65.2000,137.4100,65.2000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260823,20260702,20260609,78,184,76,280,3,5,PIM000094,94,65.9000,138.7800,65.9000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260730,20260726,20260709,243,375,143,308,9,2,PIM000095,95,66.6000,140.1500,66.6000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260629,20260529,20260714,112,274,464,408,3,2,PIM000096,96,67.3000,141.5200,67.3000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260714,20260719,20260528,369,47,47,41,7,4,PIM000097,97,68.0000,142.8900,68.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260619,20260605,20260728,490,498,57,420,6,5,PIM000098,98,68.7000,144.2600,68.7000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260624,20260527,20260720,450,350,354,499,5,3,PIM000099,99,69.4000,145.6300,69.4000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260729,20260818,20260824,249,25,357,419,3,2,PIM000100,100,70.1000,147.0000,70.1000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260607,20260703,20260725,341,342,442,147,2,4,PIM000101,101,70.8000,148.3700,70.8000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260705,20260624,20260807,490,331,-1,-1,2,4,PIM000102,102,71.5000,149.7400,71.5000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260812,20260811,20260819,414,438,123,372,3,5,PIM000103,103,72.2000,151.1100,72.2000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260611,20260727,20260626,134,218,409,107,9,1,PIM000104,104,72.9000,152.4800,72.9000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260824,20260620,20260822,445,455,280,268,3,3,PIM000105,105,73.6000,153.8500,73.6000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260621,20260724,20260628,362,47,97,422,8,3,PIM000106,106,74.3000,155.2200,74.3000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260717,20260722,20260809,491,200,82,150,5,2,PIM000107,107,75.0000,156.5900,75.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260720,20260704,20260719,328,194,5,441,7,1,PIM000108,108,75.7000,157.9600,75.7000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260806,20260627,20260612,12,205,84,368,1,3,PIM000109,109,76.4000,159.3300,76.4000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260614,20260721,20260817,11,447,321,26,8,2,PIM000110,110,77.1000,160.7000,77.1000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260817,20260805,20260628,322,62,204,58,2,2,PIM000111,111,77.8000,162.0700,77.8000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260614,20260626,20260607,391,464,132,479,9,5,PIM000112,112,78.5000,163.4400,78.5000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260711,20260606,20260707,454,321,255,174,4,5,PIM000113,113,79.2000,164.8100,79.2000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260629,20260702,20260620,283,284,412,25,3,5,PIM000114,114,79.9000,166.1800,79.9000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260709,20260707,20260610,437,245,192,384,5,3,PIM000115,115,80.6000,167.5500,80.6000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260611,20260527,20260727,98,403,31,133,4,1,PIM000116,116,81.3000,168.9200,81.3000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260616,20260821,20260816,266,376,66,128,5,2,PIM000117,117,82.0000,170.2900,82.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260816,20260723,20260804,360,384,284,215,4,2,PIM000118,118,82.7000,171.6600,82.7000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260811,20260718,20260710,117,240,-1,-1,1,2,PIM000119,119,83.4000,173.0300,83.4000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260805,20260823,20260822,220,247,192,444,5,4,PIM000120,120,84.1000,174.4000,84.1000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260601,20260811,20260530,393,206,358,16,8,1,PIM000121,121,84.8000,175.7700,84.8000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260722,20260818,20260812,99,76,323,84,2,3,PIM000122,122,85.5000,177.1400,85.5000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260610,20260723,20260822,171,228,273,161,3,2,PIM000123,123,86.2000,178.5100,86.2000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260706,20260807,20260621,60,99,251,483,9,5,PIM000124,124,86.9000,179.8800,86.9000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260724,20260707,20260728,424,183,393,2,3,3,PIM000125,125,87.6000,181.2500,87.6000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260804,20260719,20260618,484,290,170,116,5,3,PIM000126,126,88.3000,182.6200,88.3000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260819,20260714,20260702,257,174,77,295,1,5,PIM000127,127,89.0000,183.9900,89.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260806,20260604,20260811,498,176,158,257,6,3,PIM000128,128,89.7000,185.3600,89.7000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260710,20260817,20260619,287,263,467,66,7,4,PIM000129,129,90.4000,186.7300,90.4000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260605,20260606,20260813,102,462,158,161,5,4,PIM000130,130,91.1000,188.1000,91.1000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260802,20260824,20260614,122,308,462,44,5,1,PIM000131,131,91.8000,189.4700,91.8000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260710,20260811,20260627,148,459,446,249,9,3,PIM000132,132,92.5000,190.8400,92.5000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260818,20260729,20260723,108,112,130,276,6,4,PIM000133,133,93.2000,192.2100,93.2000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260621,20260603,20260618,6,295,471,376,6,1,PIM000134,134,93.9000,193.5800,93.9000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260719,20260606,20260819,226,349,257,469,5,5,PIM000135,135,94.6000,194.9500,94.6000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260711,20260730,20260624,307,10,-1,-1,8,5,PIM000136,136,95.3000,196.3200,95.3000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260819,20260719,20260809,75,36,236,60,1,1,PIM000137,137,96.0000,197.6900,96.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260813,20260701,20260622,79,186,316,278,7,5,PIM000138,138,96.7000,199.0600,96.7000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260823,20260530,20260821,456,24,261,363,8,3,PIM000139,139,97.4000,200.4300,97.4000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260804,20260601,20260810,76,220,122,348,8,2,PIM000140,140,98.1000,201.8000,98.1000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260805,20260706,20260606,289,158,50,144,2,4,PIM000141,141,98.8000,203.1700,98.8000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260822,20260711,20260611,96,50,444,130,1,1,PIM000142,142,99.5000,204.5400,99.5000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260706,20260612,20260822,166,332,186,460,1,1,PIM000143,143,100.2000,205.9100,100.2000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260722,20260531,20260814,291,218,167,180,6,4,PIM000144,144,100.9000,207.2800,100.9000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260713,20260716,20260607,254,423,80,43,3,3,PIM000145,145,101.6000,208.6500,101.6000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260606,20260705,20260630,291,183,232,166,6,3,PIM000146,146,102.3000,210.0200,102.3000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260720,20260816,20260609,67,398,191,438,8,3,PIM000147,147,103.0000,211.3900,103.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260607,20260801,20260719,14,40,329,60,3,1,PIM000148,148,103.7000,212.7600,103.7000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260704,20260604,20260705,268,41,300,125,8,3,PIM000149,149,104.4000,214.1300,104.4000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260622,20260528,20260612,135,196,48,221,3,2,PIM000150,150,105.1000,215.5000,105.1000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260802,20260717,20260712,132,19,249,313,5,3,PIM000151,151,105.8000,216.8700,105.8000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260822,20260723,20260720,180,472,82,152,5,3,PIM000152,152,106.5000,218.2400,106.5000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260815,20260612,20260723,57,134,-1,-1,8,1,PIM000153,153,107.2000,219.6100,107.2000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260706,20260720,20260619,96,420,378,305,5,3,PIM000154,154,107.9000,220.9800,107.9000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260720,20260626,20260731,47,269,406,72,3,3,PIM000155,155,108.6000,222.3500,108.6000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260617,20260603,20260618,464,368,193,199,5,3,PIM000156,156,109.3000,223.7200,109.3000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260713,20260617,20260822,262,22,364,156,8,5,PIM000157,157,110.0000,225.0900,110.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260818,20260727,20260823,194,288,55,386,1,4,PIM000158,158,110.7000,226.4600,110.7000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260812,20260628,20260723,97,28,306,265,5,2,PIM000159,159,111.4000,227.8300,111.4000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260710,20260613,20260705,182,68,328,87,7,5,PIM000160,160,112.1000,229.2000,112.1000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260802,20260817,20260625,247,471,310,15,2,5,PIM000161,161,112.8000,230.5700,112.8000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260726,20260627,20260822,30,61,223,453,8,5,PIM000162,162,113.5000,231.9400,113.5000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260609,20260620,20260722,200,155,298,98,1,4,PIM000163,163,114.2000,233.3100,114.2000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260602,20260623,20260813,401,429,280,329,7,5,PIM000164,164,114.9000,234.6800,114.9000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260611,20260801,20260528,244,410,69,159,9,5,PIM000165,165,115.6000,236.0500,115.6000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260527,20260529,20260709,469,370,87,313,3,4,PIM000166,166,116.3000,237.4200,116.3000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260822,20260614,20260605,271,376,14,424,2,2,PIM000167,167,117.0000,238.7900,117.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260529,20260618,20260724,387,87,135,43,7,5,PIM000168,168,117.7000,240.1600,117.7000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260728,20260608,20260605,402,121,92,225,4,1,PIM000169,169,118.4000,241.5300,118.4000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260703,20260726,20260604,291,491,-1,-1,1,3,PIM000170,170,119.1000,242.9000,119.1000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260709,20260811,20260611,156,84,354,477,6,3,PIM000171,171,119.8000,244.2700,119.8000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260715,20260618,20260626,33,452,399,32,1,5,PIM000172,172,120.5000,245.6400,120.5000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260613,20260607,20260615,123,472,288,62,6,2,PIM000173,173,121.2000,247.0100,121.2000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260809,20260716,20260614,16,498,323,443,3,1,PIM000174,174,121.9000,248.3800,121.9000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260601,20260723,20260724,495,178,282,373,1,3,PIM000175,175,122.6000,249.7500,122.6000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260810,20260814,20260808,76,11,361,24,2,2,PIM000176,176,123.3000,251.1200,123.3000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260817,20260625,20260725,101,282,263,257,6,3,PIM000177,177,124.0000,252.4900,124.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260705,20260613,20260528,343,407,147,388,5,4,PIM000178,178,124.7000,253.8600,124.7000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260813,20260706,20260625,480,454,186,112,6,3,PIM000179,179,125.4000,255.2300,125.4000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260619,20260810,20260613,261,6,342,39,1,4,PIM000180,180,126.1000,256.6000,126.1000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260715,20260702,20260809,108,27,90,208,2,1,PIM000181,181,126.8000,257.9700,126.8000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260708,20260720,20260815,183,118,482,36,8,2,PIM000182,182,127.5000,259.3400,127.5000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260714,20260531,20260813,414,307,322,30,1,2,PIM000183,183,128.2000,260.7100,128.2000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260625,20260813,20260728,455,8,455,264,9,1,PIM000184,184,128.9000,262.0800,128.9000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260719,20260817,20260718,310,346,384,257,8,4,PIM000185,185,129.6000,263.4500,129.6000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260712,20260717,20260604,239,157,66,133,5,5,PIM000186,186,130.3000,264.8200,130.3000,264.8200,1,1,2026-08-24T00:00:00.000
