EnergyDemandPeakKey,PeakDateKey,PeakTimeOfDayKey,EnergyMeterPointKey,EnergyDemandContractKey,PlantKey,UnitOfMeasureKey,DemandPeakEventNumber,PeakDemandQuantity,ContractExcessQuantity,PenaltyCostAmount,SourceSystemKey,BatchId,LoadedAtUtc
103,20260727,85860,117,118,51,4,EDP000103,72.200000,72.200000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260702,50760,444,403,25,2,EDP000104,72.900000,72.900000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260603,60660,489,189,256,7,EDP000105,73.600000,73.600000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260710,72480,183,258,337,5,EDP000106,74.300000,74.300000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260528,63780,364,183,228,4,EDP000107,75.000000,75.000000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260721,51180,338,364,275,1,EDP000108,75.700000,75.700000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260701,49320,485,293,136,3,EDP000109,76.400000,76.400000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260711,26700,47,117,42,4,EDP000110,77.100000,77.100000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260812,33240,258,185,303,4,EDP000111,77.800000,77.800000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260727,46020,221,385,130,3,EDP000112,78.500000,78.500000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260702,11280,138,6,22,5,EDP000113,79.200000,79.200000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260715,14220,365,355,185,4,EDP000114,79.900000,79.900000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260628,40440,158,143,229,1,EDP000115,80.600000,80.600000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260812,6180,439,41,11,5,EDP000116,81.300000,81.300000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260816,8880,121,132,11,4,EDP000117,82.000000,82.000000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260822,7380,322,277,194,2,EDP000118,82.700000,82.700000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260808,4080,68,-1,68,6,EDP000119,83.400000,83.400000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260817,37560,470,226,100,4,EDP000120,84.100000,84.100000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260623,61320,346,274,269,4,EDP000121,84.800000,84.800000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260706,80760,371,444,308,2,EDP000122,85.500000,85.500000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260808,71820,474,73,341,2,EDP000123,86.200000,86.200000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260612,71640,452,191,197,2,EDP000124,86.900000,86.900000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260815,83880,253,133,42,4,EDP000125,87.600000,87.600000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260723,15480,83,171,326,5,EDP000126,88.300000,88.300000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260629,49920,401,34,141,6,EDP000127,89.000000,89.000000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260821,30900,252,331,8,1,EDP000128,89.700000,89.700000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260721,33600,75,94,18,1,EDP000129,90.400000,90.400000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260605,51540,493,296,232,6,EDP000130,91.100000,91.100000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260616,83400,68,249,121,4,EDP000131,91.800000,91.800000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260731,2700,251,410,100,2,EDP000132,92.500000,92.500000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260713,45780,151,203,82,2,EDP000133,93.200000,93.200000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260727,19560,268,21,211,6,EDP000134,93.900000,93.900000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260626,65040,399,48,219,3,EDP000135,94.600000,94.600000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260801,86220,15,-1,36,3,EDP000136,95.300000,95.300000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260614,29280,256,331,94,5,EDP000137,96.000000,96.000000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260529,81900,261,421,80,6,EDP000138,96.700000,96.700000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260604,42120,176,263,314,2,EDP000139,97.400000,97.400000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260808,28980,209,465,109,6,EDP000140,98.100000,98.100000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260816,4080,350,382,316,7,EDP000141,98.800000,98.800000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260707,58620,174,89,243,4,EDP000142,99.500000,99.500000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260715,62340,279,350,170,1,EDP000143,100.200000,100.200000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260722,78660,124,292,45,4,EDP000144,100.900000,100.900000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260716,85500,232,403,320,4,EDP000145,101.600000,101.600000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260603,57900,334,310,122,3,EDP000146,102.300000,102.300000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260608,13080,348,229,243,4,EDP000147,103.000000,103.000000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260810,23640,327,120,18,3,EDP000148,103.700000,103.700000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260621,42120,74,10,333,7,EDP000149,104.400000,104.400000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260616,13560,106,476,127,5,EDP000150,105.100000,105.100000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260720,70980,29,106,176,6,EDP000151,105.800000,105.800000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260703,29520,11,295,124,5,EDP000152,106.500000,106.500000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260607,25500,339,-1,107,2,EDP000153,107.200000,107.200000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260730,36660,261,367,128,7,EDP000154,107.900000,107.900000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260821,32340,476,72,271,3,EDP000155,108.600000,108.600000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260605,84900,466,65,265,5,EDP000156,109.300000,109.300000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260804,57480,489,30,79,2,EDP000157,110.000000,110.000000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260614,14400,442,376,207,6,EDP000158,110.700000,110.700000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260723,10500,293,438,143,4,EDP000159,111.400000,111.400000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260527,60840,73,415,108,5,EDP000160,112.100000,112.100000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260728,45840,175,390,31,6,EDP000161,112.800000,112.800000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260820,40920,108,296,148,2,EDP000162,113.500000,113.500000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260726,51480,483,171,134,4,EDP000163,114.200000,114.200000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260809,62400,291,477,63,4,EDP000164,114.900000,114.900000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260625,24900,344,448,345,3,EDP000165,115.600000,115.600000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260528,3660,194,151,214,3,EDP000166,116.300000,116.300000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260630,78000,276,153,175,7,EDP000167,117.000000,117.000000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260602,26700,468,61,160,1,EDP000168,117.700000,117.700000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260711,40260,209,2,86,1,EDP000169,118.400000,118.400000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260810,49500,384,-1,218,1,EDP000170,119.100000,119.100000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260721,51720,106,329,300,1,EDP000171,119.800000,119.800000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260723,4560,205,175,217,7,EDP000172,120.500000,120.500000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260706,11880,276,223,263,1,EDP000173,121.200000,121.200000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260703,6780,496,379,235,6,EDP000174,121.900000,121.900000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260623,22740,271,186,23,2,EDP000175,122.600000,122.600000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260806,27780,224,397,98,7,EDP000176,123.300000,123.300000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260729,78420,359,191,274,6,EDP000177,124.000000,124.000000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260527,6360,459,454,315,5,EDP000178,124.700000,124.700000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260704,47280,362,89,23,5,EDP000179,125.400000,125.400000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260726,16260,429,177,168,1,EDP000180,126.100000,126.100000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260819,58200,302,148,341,3,EDP000181,126.800000,126.800000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260801,8820,365,195,251,6,EDP000182,127.500000,127.500000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260823,43860,85,216,213,5,EDP000183,128.200000,128.200000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260803,54060,96,433,56,6,EDP000184,128.900000,128.900000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260730,76920,2,307,279,6,EDP000185,129.600000,129.600000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260528,63240,87,497,60,6,EDP000186,130.300000,130.300000,264.8200,1,1,2026-08-24T00:00:00.000
187,20260809,52080,137,-1,269,2,EDP000187,131.000000,131.000000,266.1900,1,1,2026-08-24T00:00:00.000
188,20260723,17280,142,9,39,7,EDP000188,131.700000,131.700000,267.5600,1,1,2026-08-24T00:00:00.000
189,20260814,31320,354,440,196,6,EDP000189,132.400000,132.400000,268.9300,1,1,2026-08-24T00:00:00.000
190,20260623,16080,291,349,268,4,EDP000190,133.100000,133.100000,270.3000,1,1,2026-08-24T00:00:00.000
191,20260614,48420,200,31,82,1,EDP000191,133.800000,133.800000,271.6700,1,1,2026-08-24T00:00:00.000
192,20260812,42960,401,200,29,2,EDP000192,134.500000,134.500000,273.0400,1,1,2026-08-24T00:00:00.000
193,20260712,21420,33,443,188,1,EDP000193,135.200000,135.200000,274.4100,1,1,2026-08-24T00:00:00.000
194,20260606,38580,484,66,291,7,EDP000194,135.900000,135.900000,275.7800,1,1,2026-08-24T00:00:00.000
195,20260730,71880,314,332,6,3,EDP000195,136.600000,136.600000,277.1500,1,1,2026-08-24T00:00:00.000
196,20260710,55980,395,342,182,5,EDP000196,137.300000,137.300000,278.5200,1,1,2026-08-24T00:00:00.000
197,20260802,16680,419,121,298,5,EDP000197,138.000000,138.000000,279.8900,1,1,2026-08-24T00:00:00.000
198,20260823,66960,290,29,14,1,EDP000198,138.700000,138.700000,281.2600,1,1,2026-08-24T00:00:00.000
199,20260820,32640,269,407,60,4,EDP000199,139.400000,139.400000,282.6300,1,1,2026-08-24T00:00:00.000
200,20260708,81600,70,296,299,7,EDP000200,140.100000,140.100000,284.0000,1,1,2026-08-24T00:00:00.000
201,20260622,61620,473,62,68,7,EDP000201,140.800000,140.800000,285.3700,1,1,2026-08-24T00:00:00.000
202,20260625,86340,325,341,24,3,EDP000202,141.500000,141.500000,286.7400,1,1,2026-08-24T00:00:00.000
203,20260530,66720,371,397,53,4,EDP000203,142.200000,142.200000,288.1100,1,1,2026-08-24T00:00:00.000
204,20260629,25860,355,-1,195,5,EDP000204,142.900000,142.900000,289.4800,1,1,2026-08-24T00:00:00.000
205,20260531,64500,322,189,156,6,EDP000205,143.600000,143.600000,290.8500,1,1,2026-08-24T00:00:00.000
206,20260606,45060,102,165,162,7,EDP000206,144.300000,144.300000,292.2200,1,1,2026-08-24T00:00:00.000
207,20260817,81240,306,228,153,4,EDP000207,145.000000,145.000000,293.5900,1,1,2026-08-24T00:00:00.000
208,20260727,44940,484,178,316,7,EDP000208,145.700000,145.700000,294.9600,1,1,2026-08-24T00:00:00.000
209,20260713,11820,159,407,56,3,EDP000209,146.400000,146.400000,296.3300,1,1,2026-08-24T00:00:00.000
210,20260728,1380,330,255,136,6,EDP000210,147.100000,147.100000,297.7000,1,1,2026-08-24T00:00:00.000
211,20260625,44220,50,342,151,7,EDP000211,147.800000,147.800000,299.0700,1,1,2026-08-24T00:00:00.000
212,20260617,80940,176,147,80,6,EDP000212,148.500000,148.500000,300.4400,1,1,2026-08-24T00:00:00.000
213,20260616,4140,194,453,198,7,EDP000213,149.200000,149.200000,301.8100,1,1,2026-08-24T00:00:00.000
214,20260620,51000,334,131,257,2,EDP000214,149.900000,149.900000,303.1800,1,1,2026-08-24T00:00:00.000
215,20260823,47820,134,422,296,2,EDP000215,150.600000,150.600000,304.5500,1,1,2026-08-24T00:00:00.000
216,20260530,73980,162,159,24,6,EDP000216,151.300000,151.300000,305.9200,1,1,2026-08-24T00:00:00.000
217,20260816,85740,462,322,2,7,EDP000217,152.000000,152.000000,307.2900,1,1,2026-08-24T00:00:00.000
218,20260602,45660,64,23,142,6,EDP000218,152.700000,152.700000,308.6600,1,1,2026-08-24T00:00:00.000
219,20260611,58800,52,222,46,2,EDP000219,153.400000,153.400000,310.0300,1,1,2026-08-24T00:00:00.000
220,20260605,28560,390,440,241,3,EDP000220,154.100000,154.100000,311.4000,1,1,2026-08-24T00:00:00.000
221,20260702,33540,383,-1,285,5,EDP000221,154.800000,154.800000,312.7700,1,1,2026-08-24T00:00:00.000
222,20260710,20100,205,247,316,1,EDP000222,155.500000,155.500000,314.1400,1,1,2026-08-24T00:00:00.000
223,20260815,67020,86,25,83,1,EDP000223,156.200000,156.200000,315.5100,1,1,2026-08-24T00:00:00.000
224,20260823,81720,272,225,31,4,EDP000224,156.900000,156.900000,316.8800,1,1,2026-08-24T00:00:00.000
225,20260527,28260,285,161,160,4,EDP000225,157.600000,157.600000,318.2500,1,1,2026-08-24T00:00:00.000
226,20260806,35160,453,253,68,3,EDP000226,158.300000,158.300000,319.6200,1,1,2026-08-24T00:00:00.000
227,20260821,53580,73,245,228,7,EDP000227,159.000000,159.000000,320.9900,1,1,2026-08-24T00:00:00.000
228,20260605,67020,350,436,192,3,EDP000228,159.700000,159.700000,322.3600,1,1,2026-08-24T00:00:00.000
229,20260531,16020,18,44,124,2,EDP000229,160.400000,160.400000,323.7300,1,1,2026-08-24T00:00:00.000
230,20260823,54600,419,9,15,2,EDP000230,161.100000,161.100000,325.1000,1,1,2026-08-24T00:00:00.000
231,20260730,33060,188,343,236,2,EDP000231,161.800000,161.800000,326.4700,1,1,2026-08-24T00:00:00.000
232,20260807,79620,114,12,208,1,EDP000232,162.500000,162.500000,327.8400,1,1,2026-08-24T00:00:00.000
233,20260812,56640,15,241,27,3,EDP000233,163.200000,163.200000,329.2100,1,1,2026-08-24T00:00:00.000
234,20260725,22260,498,143,35,6,EDP000234,163.900000,163.900000,330.5800,1,1,2026-08-24T00:00:00.000
235,20260709,42780,324,37,25,7,EDP000235,164.600000,164.600000,331.9500,1,1,2026-08-24T00:00:00.000
236,20260804,34620,260,104,42,1,EDP000236,165.300000,165.300000,333.3200,1,1,2026-08-24T00:00:00.000
237,20260531,16980,51,125,9,7,EDP000237,166.000000,166.000000,334.6900,1,1,2026-08-24T00:00:00.000
238,20260613,55140,441,-1,37,1,EDP000238,166.700000,166.700000,336.0600,1,1,2026-08-24T00:00:00.000
239,20260710,55920,259,408,300,2,EDP000239,167.400000,167.400000,337.4300,1,1,2026-08-24T00:00:00.000
240,20260815,46980,79,498,328,1,EDP000240,168.100000,168.100000,338.8000,1,1,2026-08-24T00:00:00.000
