SafetyWasteShipmentKey,ShipmentDateKey,DisposalDateKey,PlantKey,HaulerSupplierKey,DisposalFacilitySupplierKey,SafetyWasteStreamKey,SafetyWasteDispositionMethodKey,UnitOfMeasureKey,WasteManifestNumber,WasteShipmentLineNumber,WasteQuantity,DisposalCostAmount,SourceSystemKey,BatchId,LoadedAtUtc
40,20260710,20260809,249,26,58,362,11,2,SWS000040,40,28.1000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260529,20260727,214,334,468,180,2,6,SWS000041,41,28.8000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260718,20260623,34,205,479,167,16,3,SWS000042,42,29.5000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260615,20260629,338,331,206,194,14,2,SWS000043,43,30.2000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260531,20260627,299,90,191,58,9,1,SWS000044,44,30.9000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260717,20260613,43,121,364,121,3,6,SWS000045,45,31.6000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260623,20260616,200,282,461,92,11,7,SWS000046,46,32.3000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260707,20260530,327,122,282,99,5,3,SWS000047,47,33.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260603,20260706,54,152,351,391,14,4,SWS000048,48,33.7000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260722,20260809,300,114,296,207,6,3,SWS000049,49,34.4000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260722,20260806,249,82,37,349,3,7,SWS000050,50,35.1000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260731,20260627,107,-1,-1,11,13,7,SWS000051,51,35.8000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260813,20260814,14,125,162,389,1,1,SWS000052,52,36.5000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260821,20260620,291,87,72,447,15,3,SWS000053,53,37.2000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260603,20260707,66,42,103,457,6,1,SWS000054,54,37.9000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260621,20260730,193,442,229,95,3,6,SWS000055,55,38.6000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260624,20260704,227,348,372,438,9,5,SWS000056,56,39.3000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260823,20260628,234,75,165,497,16,4,SWS000057,57,40.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260721,20260729,134,433,396,359,11,5,SWS000058,58,40.7000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260605,20260814,41,420,252,485,10,3,SWS000059,59,41.4000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260730,20260605,47,98,18,100,7,2,SWS000060,60,42.1000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260821,20260715,204,72,370,339,12,1,SWS000061,61,42.8000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260527,20260724,297,104,233,90,16,3,SWS000062,62,43.5000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260603,20260805,333,179,424,381,14,3,SWS000063,63,44.2000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260530,20260801,224,45,250,114,11,3,SWS000064,64,44.9000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260820,20260624,159,229,180,105,3,1,SWS000065,65,45.6000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260818,20260604,293,163,46,56,10,3,SWS000066,66,46.3000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260721,20260816,181,432,330,404,4,3,SWS000067,67,47.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260704,20260701,113,-1,-1,460,16,2,SWS000068,68,47.7000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260617,20260711,323,253,470,418,14,5,SWS000069,69,48.4000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260709,20260720,341,428,458,355,11,7,SWS000070,70,49.1000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260812,20260823,114,321,482,297,1,3,SWS000071,71,49.8000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260608,20260706,4,109,380,76,13,7,SWS000072,72,50.5000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260718,20260722,338,232,240,262,8,6,SWS000073,73,51.2000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260718,20260530,208,160,14,165,7,7,SWS000074,74,51.9000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260528,20260807,49,17,163,334,11,2,SWS000075,75,52.6000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260604,20260727,181,328,110,145,3,6,SWS000076,76,53.3000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260618,20260615,47,423,74,490,7,4,SWS000077,77,54.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260701,20260622,180,368,10,144,2,4,SWS000078,78,54.7000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260719,20260725,258,350,66,497,12,5,SWS000079,79,55.4000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260528,20260819,137,320,230,140,15,5,SWS000080,80,56.1000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260624,20260820,227,344,60,240,11,1,SWS000081,81,56.8000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260529,20260728,212,356,18,415,11,2,SWS000082,82,57.5000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260730,20260702,280,379,325,427,5,6,SWS000083,83,58.2000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260804,20260621,56,416,62,452,15,4,SWS000084,84,58.9000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260724,20260820,252,-1,-1,218,8,4,SWS000085,85,59.6000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260616,20260819,17,373,325,451,13,7,SWS000086,86,60.3000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260819,20260824,280,372,344,27,1,2,SWS000087,87,61.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260710,20260808,294,138,160,488,4,4,SWS000088,88,61.7000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260708,20260613,174,406,282,279,13,7,SWS000089,89,62.4000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260823,20260603,263,403,207,266,11,5,SWS000090,90,63.1000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260824,20260706,259,236,164,415,2,6,SWS000091,91,63.8000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260714,20260704,51,367,179,473,3,6,SWS000092,92,64.5000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260806,20260731,63,358,297,273,14,6,SWS000093,93,65.2000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260711,20260714,345,362,370,129,4,2,SWS000094,94,65.9000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260724,20260602,347,259,475,245,10,5,SWS000095,95,66.6000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260624,20260724,241,403,210,64,13,5,SWS000096,96,67.3000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260811,20260710,36,369,272,413,4,7,SWS000097,97,68.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260822,20260821,138,63,419,352,10,2,SWS000098,98,68.7000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260601,20260717,281,296,487,374,3,5,SWS000099,99,69.4000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260617,20260803,202,379,184,192,5,2,SWS000100,100,70.1000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260723,20260701,266,66,193,252,3,5,SWS000101,101,70.8000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260701,20260622,108,-1,-1,159,3,7,SWS000102,102,71.5000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260529,20260614,57,111,68,127,3,7,SWS000103,103,72.2000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260604,20260807,290,14,46,88,10,7,SWS000104,104,72.9000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260608,20260620,245,414,269,274,5,4,SWS000105,105,73.6000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260804,20260727,44,212,88,461,11,6,SWS000106,106,74.3000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260810,20260621,175,271,446,397,12,4,SWS000107,107,75.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260711,20260604,241,82,400,316,6,7,SWS000108,108,75.7000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260614,20260530,39,480,53,210,7,2,SWS000109,109,76.4000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260531,20260805,2,303,422,449,2,4,SWS000110,110,77.1000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260608,20260616,12,179,291,385,15,5,SWS000111,111,77.8000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260625,20260714,9,398,131,144,13,5,SWS000112,112,78.5000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260812,20260810,169,440,500,72,10,7,SWS000113,113,79.2000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260602,20260711,314,373,332,167,15,6,SWS000114,114,79.9000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260627,20260612,293,150,306,169,5,5,SWS000115,115,80.6000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260609,20260821,306,61,257,140,11,3,SWS000116,116,81.3000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260731,20260716,173,122,235,360,9,2,SWS000117,117,82.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260824,20260817,341,190,234,304,8,1,SWS000118,118,82.7000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260821,20260807,295,-1,-1,267,13,6,SWS000119,119,83.4000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260624,20260624,30,349,68,70,8,1,SWS000120,120,84.1000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260531,20260731,290,339,198,490,16,2,SWS000121,121,84.8000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260819,20260527,132,226,161,440,9,5,SWS000122,122,85.5000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260701,20260531,36,490,402,131,4,3,SWS000123,123,86.2000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260725,20260715,83,42,224,332,7,6,SWS000124,124,86.9000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260810,20260628,99,28,280,451,6,6,SWS000125,125,87.6000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260718,20260723,217,334,138,257,15,7,SWS000126,126,88.3000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260727,20260819,25,337,438,306,15,4,SWS000127,127,89.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260818,20260612,244,221,226,116,6,3,SWS000128,128,89.7000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260607,20260805,71,444,200,491,3,4,SWS000129,129,90.4000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260707,20260713,189,449,148,172,15,4,SWS000130,130,91.1000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260824,20260821,288,161,288,438,3,5,SWS000131,131,91.8000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260601,20260808,126,474,421,22,5,1,SWS000132,132,92.5000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260718,20260804,346,79,12,227,16,5,SWS000133,133,93.2000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260723,20260601,250,44,88,24,13,1,SWS000134,134,93.9000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260819,20260706,47,411,282,214,14,6,SWS000135,135,94.6000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260819,20260713,333,-1,-1,238,2,6,SWS000136,136,95.3000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260601,20260702,93,218,405,222,4,7,SWS000137,137,96.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260728,20260625,38,50,412,479,2,7,SWS000138,138,96.7000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260803,20260619,67,104,344,117,4,7,SWS000139,139,97.4000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260531,20260608,204,392,440,82,10,6,SWS000140,140,98.1000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260619,20260626,209,102,6,490,9,5,SWS000141,141,98.8000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260724,20260804,273,420,156,355,4,2,SWS000142,142,99.5000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260820,20260802,175,399,277,140,2,6,SWS000143,143,100.2000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260705,20260528,217,429,369,305,10,6,SWS000144,144,100.9000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260607,20260720,335,66,363,62,15,7,SWS000145,145,101.6000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260726,20260729,29,296,12,437,1,4,SWS000146,146,102.3000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260704,20260701,350,488,485,371,12,7,SWS000147,147,103.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260701,20260730,168,448,250,258,5,6,SWS000148,148,103.7000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260720,20260714,18,493,334,161,5,1,SWS000149,149,104.4000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260616,20260804,224,227,357,1,9,7,SWS000150,150,105.1000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260728,20260711,122,98,180,335,5,6,SWS000151,151,105.8000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260806,20260705,81,141,484,211,3,5,SWS000152,152,106.5000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260703,20260701,40,-1,-1,10,7,6,SWS000153,153,107.2000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260823,20260824,348,199,148,250,4,2,SWS000154,154,107.9000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260612,20260723,312,239,46,474,11,7,SWS000155,155,108.6000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260808,20260622,75,77,211,249,4,3,SWS000156,156,109.3000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260714,20260703,222,359,385,243,5,6,SWS000157,157,110.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260729,20260802,321,405,270,378,16,5,SWS000158,158,110.7000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260807,20260616,101,298,40,228,3,7,SWS000159,159,111.4000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260603,20260613,244,64,314,13,15,4,SWS000160,160,112.1000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260724,20260821,222,339,288,143,4,2,SWS000161,161,112.8000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260725,20260730,51,375,366,85,1,5,SWS000162,162,113.5000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260805,20260630,90,101,489,195,8,4,SWS000163,163,114.2000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260528,20260822,183,82,260,36,1,6,SWS000164,164,114.9000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260721,20260614,238,232,415,126,13,6,SWS000165,165,115.6000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260609,20260709,131,304,404,108,10,1,SWS000166,166,116.3000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260717,20260726,275,174,309,304,8,3,SWS000167,167,117.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260530,20260617,325,39,465,166,4,7,SWS000168,168,117.7000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260619,20260604,256,56,120,84,12,2,SWS000169,169,118.4000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260731,20260608,302,-1,-1,56,16,5,SWS000170,170,119.1000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260805,20260723,33,45,14,73,10,6,SWS000171,171,119.8000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260609,20260706,295,410,338,280,2,6,SWS000172,172,120.5000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260703,20260715,258,408,398,252,3,5,SWS000173,173,121.2000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260627,20260820,68,7,392,491,3,3,SWS000174,174,121.9000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260612,20260723,55,142,455,15,13,4,SWS000175,175,122.6000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260807,20260607,212,15,377,269,3,1,SWS000176,176,123.3000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260623,20260607,271,24,96,66,7,6,SWS000177,177,124.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260601,20260814,130,70,167,163,16,6,SWS000178,178,124.7000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260629,20260806,37,164,349,24,12,1,SWS000179,179,125.4000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260802,20260604,15,3,430,234,6,7,SWS000180,180,126.1000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260703,20260714,137,429,221,286,3,1,SWS000181,181,126.8000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260704,20260609,117,497,267,43,12,7,SWS000182,182,127.5000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260723,20260625,176,485,170,461,8,2,SWS000183,183,128.2000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260714,20260707,108,365,427,79,9,7,SWS000184,184,128.9000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260708,20260718,243,417,182,218,7,7,SWS000185,185,129.6000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260531,20260730,215,227,349,398,3,2,SWS000186,186,130.3000,264.8200,1,1,2026-08-24T00:00:00.000
187,20260610,20260821,185,-1,-1,314,5,2,SWS000187,187,131.0000,266.1900,1,1,2026-08-24T00:00:00.000
188,20260608,20260620,87,190,330,336,13,5,SWS000188,188,131.7000,267.5600,1,1,2026-08-24T00:00:00.000
189,20260809,20260807,201,308,383,11,1,3,SWS000189,189,132.4000,268.9300,1,1,2026-08-24T00:00:00.000
190,20260729,20260818,25,216,358,241,6,3,SWS000190,190,133.1000,270.3000,1,1,2026-08-24T00:00:00.000
191,20260625,20260710,85,309,300,451,6,7,SWS000191,191,133.8000,271.6700,1,1,2026-08-24T00:00:00.000
192,20260719,20260613,139,44,49,115,4,6,SWS000192,192,134.5000,273.0400,1,1,2026-08-24T00:00:00.000
193,20260614,20260619,280,273,421,10,1,7,SWS000193,193,135.2000,274.4100,1,1,2026-08-24T00:00:00.000
194,20260805,20260528,293,375,335,60,5,4,SWS000194,194,135.9000,275.7800,1,1,2026-08-24T00:00:00.000
195,20260819,20260616,269,399,334,459,15,7,SWS000195,195,136.6000,277.1500,1,1,2026-08-24T00:00:00.000
196,20260815,20260707,20,45,392,174,6,4,SWS000196,196,137.3000,278.5200,1,1,2026-08-24T00:00:00.000
197,20260805,20260622,342,280,411,7,1,2,SWS000197,197,138.0000,279.8900,1,1,2026-08-24T00:00:00.000
198,20260702,20260703,258,50,28,486,4,2,SWS000198,198,138.7000,281.2600,1,1,2026-08-24T00:00:00.000
199,20260808,20260811,162,339,309,219,9,5,SWS000199,199,139.4000,282.6300,1,1,2026-08-24T00:00:00.000
200,20260728,20260725,129,12,22,482,9,7,SWS000200,200,140.1000,284.0000,1,1,2026-08-24T00:00:00.000
201,20260702,20260703,324,161,110,152,3,2,SWS000201,201,140.8000,285.3700,1,1,2026-08-24T00:00:00.000
202,20260618,20260824,274,210,233,169,3,1,SWS000202,202,141.5000,286.7400,1,1,2026-08-24T00:00:00.000
203,20260728,20260615,268,331,383,20,1,7,SWS000203,203,142.2000,288.1100,1,1,2026-08-24T00:00:00.000
204,20260610,20260605,211,-1,-1,323,10,2,SWS000204,204,142.9000,289.4800,1,1,2026-08-24T00:00:00.000
205,20260724,20260618,90,162,188,37,12,5,SWS000205,205,143.6000,290.8500,1,1,2026-08-24T00:00:00.000
206,20260701,20260715,190,298,459,168,7,3,SWS000206,206,144.3000,292.2200,1,1,2026-08-24T00:00:00.000
207,20260629,20260628,187,56,216,271,1,3,SWS000207,207,145.0000,293.5900,1,1,2026-08-24T00:00:00.000
208,20260729,20260621,205,476,102,425,3,3,SWS000208,208,145.7000,294.9600,1,1,2026-08-24T00:00:00.000
209,20260624,20260721,328,394,302,35,7,4,SWS000209,209,146.4000,296.3300,1,1,2026-08-24T00:00:00.000
210,20260711,20260623,167,345,329,195,10,7,SWS000210,210,147.1000,297.7000,1,1,2026-08-24T00:00:00.000
211,20260706,20260630,27,328,219,487,14,1,SWS000211,211,147.8000,299.0700,1,1,2026-08-24T00:00:00.000
212,20260723,20260624,91,334,320,177,3,7,SWS000212,212,148.5000,300.4400,1,1,2026-08-24T00:00:00.000
213,20260623,20260724,206,212,387,17,16,2,SWS000213,213,149.2000,301.8100,1,1,2026-08-24T00:00:00.000
214,20260528,20260824,6,135,478,178,9,6,SWS000214,214,149.9000,303.1800,1,1,2026-08-24T00:00:00.000
215,20260615,20260611,131,256,64,384,12,5,SWS000215,215,150.6000,304.5500,1,1,2026-08-24T00:00:00.000
216,20260717,20260725,6,219,410,473,7,4,SWS000216,216,151.3000,305.9200,1,1,2026-08-24T00:00:00.000
217,20260717,20260702,110,495,426,472,15,6,SWS000217,217,152.0000,307.2900,1,1,2026-08-24T00:00:00.000
218,20260719,20260707,325,86,405,419,12,4,SWS000218,218,152.7000,308.6600,1,1,2026-08-24T00:00:00.000
219,20260805,20260821,292,20,450,347,8,1,SWS000219,219,153.4000,310.0300,1,1,2026-08-24T00:00:00.000
220,20260818,20260722,29,496,146,263,1,2,SWS000220,220,154.1000,311.4000,1,1,2026-08-24T00:00:00.000
221,20260720,20260701,28,-1,-1,71,9,2,SWS000221,221,154.8000,312.7700,1,1,2026-08-24T00:00:00.000
222,20260619,20260813,304,375,313,212,3,1,SWS000222,222,155.5000,314.1400,1,1,2026-08-24T00:00:00.000
223,20260823,20260705,292,273,169,51,1,6,SWS000223,223,156.2000,315.5100,1,1,2026-08-24T00:00:00.000
224,20260804,20260529,122,419,76,284,14,3,SWS000224,224,156.9000,316.8800,1,1,2026-08-24T00:00:00.000
225,20260721,20260818,21,334,156,18,3,1,SWS000225,225,157.6000,318.2500,1,1,2026-08-24T00:00:00.000
226,20260807,20260820,100,411,437,148,6,6,SWS000226,226,158.3000,319.6200,1,1,2026-08-24T00:00:00.000
227,20260612,20260607,197,117,138,46,4,2,SWS000227,227,159.0000,320.9900,1,1,2026-08-24T00:00:00.000
228,20260713,20260807,73,397,283,394,5,6,SWS000228,228,159.7000,322.3600,1,1,2026-08-24T00:00:00.000
229,20260711,20260529,13,268,400,487,12,3,SWS000229,229,160.4000,323.7300,1,1,2026-08-24T00:00:00.000
230,20260608,20260528,107,224,7,238,14,5,SWS000230,230,161.1000,325.1000,1,1,2026-08-24T00:00:00.000
231,20260801,20260528,43,499,429,42,10,3,SWS000231,231,161.8000,326.4700,1,1,2026-08-24T00:00:00.000
