LaborTimesheetKey,ClaimDateKey,LaborDateKey,StartTimeOfDayKey,EndTimeOfDayKey,EmployeeKey,LaborAssignmentKey,LaborRosterSlotKey,WorkCenterKey,CostCenterKey,LaborPayTypeKey,LaborClaimStatusKey,CurrencyKey,TimesheetNumber,LaborClaimLineNumber,RegularHours,OvertimeHours,LaborCostAmount,SourceSystemKey,BatchId,LoadedAtUtc
69,20260709,20260807,2040,43920,70,329,133,191,271,3,1,4,LT000069,69,22.0000,22.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260618,20260805,25200,59640,337,289,491,147,93,8,5,3,LT000070,70,23.0000,23.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260527,20260723,61260,23760,322,5,286,430,89,7,6,2,LT000071,71,24.0000,24.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260618,20260709,30960,77220,122,178,500,383,413,3,1,3,LT000072,72,1.0000,1.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260723,20260819,35520,18660,181,342,425,25,372,12,5,5,LT000073,73,2.0000,2.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260621,20260621,69720,57240,444,431,61,298,254,5,2,1,LT000074,74,3.0000,3.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260604,20260808,62100,69180,189,358,423,465,290,1,4,3,LT000075,75,4.0000,4.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260809,20260814,23520,60900,119,398,46,222,124,11,6,1,LT000076,76,5.0000,5.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260730,20260603,32880,45900,370,328,323,353,364,11,5,3,LT000077,77,6.0000,6.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260806,20260808,54240,69360,101,252,205,301,52,1,2,5,LT000078,78,7.0000,7.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260629,20260817,23040,30780,463,50,302,390,307,4,7,4,LT000079,79,8.0000,8.0000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260822,20260630,8400,20280,206,428,125,116,395,12,3,4,LT000080,80,9.0000,9.0000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260809,20260814,64620,35820,387,19,412,361,377,12,3,3,LT000081,81,10.0000,10.0000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260817,20260808,42420,24900,367,320,114,479,116,3,2,1,LT000082,82,11.0000,11.0000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260814,20260616,24780,53880,381,415,109,376,437,10,4,2,LT000083,83,12.0000,12.0000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260729,20260530,2340,57180,387,343,253,80,294,6,5,5,LT000084,84,13.0000,13.0000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260802,20260605,60300,39060,284,12,-1,-1,500,6,7,4,LT000085,85,14.0000,14.0000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260618,20260714,39300,43500,404,94,211,130,327,11,3,1,LT000086,86,15.0000,15.0000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260724,20260823,2580,46260,17,29,378,234,161,3,7,3,LT000087,87,16.0000,16.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260714,20260710,1380,16620,473,419,51,61,34,9,1,5,LT000088,88,17.0000,17.0000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260817,20260531,76320,6120,423,38,365,22,62,8,6,3,LT000089,89,18.0000,18.0000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260717,20260709,45180,66900,421,453,82,355,89,6,1,5,LT000090,90,19.0000,19.0000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260808,20260628,46500,22860,21,479,390,274,487,2,2,3,LT000091,91,20.0000,20.0000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260806,20260821,26400,300,491,329,496,419,25,7,4,2,LT000092,92,21.0000,21.0000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260822,20260722,38940,46140,25,270,434,366,135,12,1,2,LT000093,93,22.0000,22.0000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260819,20260816,46320,45960,433,195,262,416,341,10,6,4,LT000094,94,23.0000,23.0000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260823,20260705,26640,49320,83,170,428,190,264,3,5,2,LT000095,95,24.0000,24.0000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260813,20260816,11520,42420,299,244,185,46,380,8,3,4,LT000096,96,1.0000,1.0000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260810,20260628,75300,84960,61,179,80,90,476,8,7,4,LT000097,97,2.0000,2.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260731,20260727,63720,85080,328,75,187,194,175,6,3,1,LT000098,98,3.0000,3.0000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260805,20260818,18360,66180,263,41,480,260,244,11,4,3,LT000099,99,4.0000,4.0000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260717,20260612,33720,48960,31,494,204,78,89,9,3,1,LT000100,100,5.0000,5.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260608,20260726,33000,58140,242,12,59,471,404,10,4,4,LT000101,101,6.0000,6.0000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260707,20260531,60660,3660,454,497,-1,-1,482,11,6,4,LT000102,102,7.0000,7.0000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260726,20260808,42780,8100,397,356,9,382,157,7,3,4,LT000103,103,8.0000,8.0000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260610,20260528,26340,46980,276,351,184,319,246,9,7,3,LT000104,104,9.0000,9.0000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260821,20260711,57000,12600,441,235,488,489,326,12,5,4,LT000105,105,10.0000,10.0000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260622,20260808,65160,15000,349,485,68,189,49,12,3,3,LT000106,106,11.0000,11.0000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260709,20260728,67620,58560,442,86,119,149,258,9,4,2,LT000107,107,12.0000,12.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260814,20260821,47700,33180,15,129,450,59,187,10,5,1,LT000108,108,13.0000,13.0000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260814,20260609,51420,46980,478,158,198,187,479,6,3,1,LT000109,109,14.0000,14.0000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260711,20260812,81480,66420,453,482,15,127,177,12,5,2,LT000110,110,15.0000,15.0000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260715,20260606,65100,45300,494,5,66,144,478,11,7,5,LT000111,111,16.0000,16.0000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260811,20260729,31560,11820,164,284,128,346,323,1,4,1,LT000112,112,17.0000,17.0000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260713,20260723,75120,7920,455,316,133,200,144,9,1,3,LT000113,113,18.0000,18.0000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260701,20260617,27000,12840,260,296,113,363,363,6,4,3,LT000114,114,19.0000,19.0000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260724,20260609,49260,35340,56,447,112,92,499,11,3,1,LT000115,115,20.0000,20.0000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260626,20260629,13620,5160,176,350,421,354,110,10,4,5,LT000116,116,21.0000,21.0000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260820,20260813,56220,66060,196,20,354,66,407,8,2,5,LT000117,117,22.0000,22.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260717,20260803,17340,30240,172,182,402,462,15,7,3,5,LT000118,118,23.0000,23.0000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260719,20260723,52140,69720,490,6,-1,-1,32,6,7,3,LT000119,119,24.0000,24.0000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260730,20260703,55260,36120,422,384,342,273,243,3,1,1,LT000120,120,1.0000,1.0000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260812,20260530,21900,77280,179,35,106,206,146,9,7,3,LT000121,121,2.0000,2.0000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260528,20260716,47640,74220,91,459,335,426,223,2,1,4,LT000122,122,3.0000,3.0000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260824,20260823,2100,38700,63,292,38,242,119,8,1,3,LT000123,123,4.0000,4.0000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260703,20260818,48060,28740,80,62,252,387,419,3,5,3,LT000124,124,5.0000,5.0000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260611,20260622,46440,29880,194,106,411,130,270,12,2,1,LT000125,125,6.0000,6.0000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260813,20260715,32760,59400,208,306,259,172,312,8,7,4,LT000126,126,7.0000,7.0000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260527,20260803,5820,1260,395,403,407,308,475,5,7,1,LT000127,127,8.0000,8.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260817,20260807,55860,13620,500,318,321,52,389,12,4,4,LT000128,128,9.0000,9.0000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260821,20260627,59100,16080,45,180,232,104,13,9,5,2,LT000129,129,10.0000,10.0000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260731,20260725,44400,55560,91,143,460,477,140,7,5,2,LT000130,130,11.0000,11.0000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260817,20260811,68400,75480,132,153,319,90,197,5,6,5,LT000131,131,12.0000,12.0000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260821,20260807,30240,37740,471,308,443,453,199,10,5,3,LT000132,132,13.0000,13.0000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260818,20260607,4320,36060,72,308,462,129,428,9,6,4,LT000133,133,14.0000,14.0000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260729,20260726,60240,34920,184,394,150,311,159,2,1,2,LT000134,134,15.0000,15.0000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260820,20260816,79800,1380,274,74,53,287,370,4,6,3,LT000135,135,16.0000,16.0000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260530,20260727,36600,67980,203,254,-1,-1,38,4,7,1,LT000136,136,17.0000,17.0000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260625,20260730,70800,33720,326,18,378,7,188,8,2,5,LT000137,137,18.0000,18.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260804,20260720,62100,7920,48,288,314,363,116,10,2,4,LT000138,138,19.0000,19.0000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260823,20260726,21180,22080,176,144,41,313,128,7,4,2,LT000139,139,20.0000,20.0000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260808,20260612,75600,77640,263,164,419,233,229,7,3,2,LT000140,140,21.0000,21.0000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260630,20260711,3300,22860,54,281,457,244,120,9,1,5,LT000141,141,22.0000,22.0000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260704,20260527,67980,53700,140,342,229,311,470,9,3,3,LT000142,142,23.0000,23.0000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260602,20260824,6360,75660,237,482,381,81,458,7,2,1,LT000143,143,24.0000,24.0000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260704,20260624,55860,25980,442,491,247,297,161,11,3,2,LT000144,144,1.0000,1.0000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260621,20260612,5460,82200,280,43,148,462,234,3,4,3,LT000145,145,2.0000,2.0000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260718,20260624,37380,48000,286,125,390,383,288,5,7,4,LT000146,146,3.0000,3.0000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260616,20260730,62040,44640,76,192,446,288,272,8,2,4,LT000147,147,4.0000,4.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260808,20260811,21120,25320,291,211,161,332,272,7,1,1,LT000148,148,5.0000,5.0000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260613,20260613,660,42060,273,238,66,23,470,10,4,5,LT000149,149,6.0000,6.0000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260623,20260618,46800,56340,289,482,253,399,433,7,4,1,LT000150,150,7.0000,7.0000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260721,20260802,31980,38940,307,40,116,40,104,1,4,4,LT000151,151,8.0000,8.0000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260603,20260626,62520,14100,418,79,137,382,362,6,6,2,LT000152,152,9.0000,9.0000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260710,20260804,76260,27180,267,158,-1,-1,63,4,7,1,LT000153,153,10.0000,10.0000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260628,20260817,21000,51180,40,287,277,380,465,7,2,1,LT000154,154,11.0000,11.0000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260527,20260715,62100,59700,167,464,381,362,119,2,6,4,LT000155,155,12.0000,12.0000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260716,20260723,75780,33480,12,262,500,156,346,2,4,5,LT000156,156,13.0000,13.0000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260708,20260630,8880,13860,152,378,18,120,372,9,1,4,LT000157,157,14.0000,14.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260613,20260615,57600,3900,251,190,385,10,384,9,3,1,LT000158,158,15.0000,15.0000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260729,20260725,68100,24600,450,252,338,296,380,10,1,4,LT000159,159,16.0000,16.0000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260623,20260720,12240,46800,442,9,111,207,440,12,1,5,LT000160,160,17.0000,17.0000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260708,20260817,34860,31500,338,106,444,19,416,1,6,4,LT000161,161,18.0000,18.0000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260820,20260807,74820,24060,136,457,367,318,86,5,3,3,LT000162,162,19.0000,19.0000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260601,20260803,76260,47280,380,86,291,67,295,10,7,1,LT000163,163,20.0000,20.0000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260719,20260630,47760,39120,57,124,240,112,226,5,7,5,LT000164,164,21.0000,21.0000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260711,20260527,71820,43860,373,170,217,126,305,6,4,4,LT000165,165,22.0000,22.0000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260620,20260806,2640,55080,449,186,448,399,97,2,4,1,LT000166,166,23.0000,23.0000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260730,20260728,36840,49140,146,418,429,297,463,7,7,4,LT000167,167,24.0000,24.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260624,20260731,66300,37800,75,447,69,134,252,11,7,2,LT000168,168,1.0000,1.0000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260617,20260528,62520,11880,111,203,72,56,353,8,4,5,LT000169,169,2.0000,2.0000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260813,20260816,19800,20040,342,270,-1,-1,355,4,1,2,LT000170,170,3.0000,3.0000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260616,20260630,22320,43740,361,122,87,426,301,9,2,3,LT000171,171,4.0000,4.0000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260702,20260806,33960,52620,286,384,204,129,353,8,7,1,LT000172,172,5.0000,5.0000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260719,20260707,65640,43320,128,469,311,87,183,1,4,3,LT000173,173,6.0000,6.0000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260618,20260620,78120,68100,456,116,345,225,18,12,5,2,LT000174,174,7.0000,7.0000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260702,20260817,9120,53100,69,232,215,281,195,3,2,4,LT000175,175,8.0000,8.0000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260611,20260728,73200,54360,98,339,135,359,27,8,6,2,LT000176,176,9.0000,9.0000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260720,20260731,70320,50040,123,290,386,194,435,10,4,2,LT000177,177,10.0000,10.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260809,20260809,65700,81840,404,32,392,484,435,12,6,2,LT000178,178,11.0000,11.0000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260807,20260613,64020,69960,194,358,458,85,16,7,1,4,LT000179,179,12.0000,12.0000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260707,20260716,84900,21600,161,75,359,340,231,11,4,1,LT000180,180,13.0000,13.0000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260823,20260823,21360,32820,400,5,68,368,413,9,6,3,LT000181,181,14.0000,14.0000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260813,20260714,13080,71280,376,388,372,422,47,11,4,5,LT000182,182,15.0000,15.0000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260802,20260626,56460,77700,314,288,116,323,68,7,3,3,LT000183,183,16.0000,16.0000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260710,20260624,59940,56760,337,243,454,35,392,1,4,3,LT000184,184,17.0000,17.0000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260724,20260612,59280,66960,229,91,192,7,138,12,7,1,LT000185,185,18.0000,18.0000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260621,20260709,9780,44400,175,125,90,479,106,9,6,5,LT000186,186,19.0000,19.0000,264.8200,1,1,2026-08-24T00:00:00.000
