SafetyNearMissKey,ObservedDateKey,SubmittedDateKey,ObservedTimeOfDayKey,PlantKey,WorkCenterKey,ReporterEmployeeKey,SafetyIncidentTypeKey,SafetyHazardConditionKey,SafetyIncidentStatusKey,SeverityKey,NearMissNumber,ObservationCount,PotentialRiskScore,SourceSystemKey,BatchId,LoadedAtUtc
15,20260816,20260725,24000,1,393,337,370,384,2,3,SNM000015,16,16.00,1,1,2026-08-24T00:00:00.000
16,20260729,20260711,66540,55,93,284,442,277,1,1,SNM000016,17,17.00,1,1,2026-08-24T00:00:00.000
17,20260615,20260722,17340,180,-1,-1,232,398,5,3,SNM000017,18,18.00,1,1,2026-08-24T00:00:00.000
18,20260713,20260714,1020,243,108,54,261,483,5,3,SNM000018,19,19.00,1,1,2026-08-24T00:00:00.000
19,20260615,20260527,51960,190,55,22,145,8,8,4,SNM000019,20,20.00,1,1,2026-08-24T00:00:00.000
20,20260606,20260802,780,310,399,408,71,126,2,3,SNM000020,21,21.00,1,1,2026-08-24T00:00:00.000
21,20260824,20260712,27840,43,346,406,186,156,4,1,SNM000021,22,22.00,1,1,2026-08-24T00:00:00.000
22,20260722,20260726,51840,224,472,33,361,178,2,2,SNM000022,23,23.00,1,1,2026-08-24T00:00:00.000
23,20260801,20260607,53580,76,409,213,353,257,5,1,SNM000023,24,24.00,1,1,2026-08-24T00:00:00.000
24,20260813,20260610,34860,171,315,277,99,129,5,3,SNM000024,25,25.00,1,1,2026-08-24T00:00:00.000
25,20260815,20260619,61440,178,253,294,60,329,2,5,SNM000025,26,26.00,1,1,2026-08-24T00:00:00.000
26,20260719,20260608,75840,181,346,148,424,265,8,2,SNM000026,27,27.00,1,1,2026-08-24T00:00:00.000
27,20260625,20260723,37200,80,96,66,393,295,2,3,SNM000027,28,28.00,1,1,2026-08-24T00:00:00.000
28,20260813,20260817,36180,237,484,473,147,179,4,3,SNM000028,29,29.00,1,1,2026-08-24T00:00:00.000
29,20260801,20260711,49140,181,128,36,360,385,7,2,SNM000029,30,30.00,1,1,2026-08-24T00:00:00.000
30,20260724,20260824,20880,9,492,413,56,135,7,1,SNM000030,31,31.00,1,1,2026-08-24T00:00:00.000
31,20260618,20260803,31680,84,191,23,111,97,2,4,SNM000031,32,32.00,1,1,2026-08-24T00:00:00.000
32,20260815,20260614,70020,291,182,67,439,288,8,4,SNM000032,33,33.00,1,1,2026-08-24T00:00:00.000
33,20260609,20260818,1380,168,54,23,341,243,3,2,SNM000033,34,34.00,1,1,2026-08-24T00:00:00.000
34,20260814,20260822,18540,100,-1,-1,13,307,7,1,SNM000034,35,35.00,1,1,2026-08-24T00:00:00.000
35,20260618,20260725,56940,213,242,329,120,448,3,4,SNM000035,36,36.00,1,1,2026-08-24T00:00:00.000
36,20260624,20260807,19740,95,429,33,108,250,7,2,SNM000036,37,37.00,1,1,2026-08-24T00:00:00.000
37,20260707,20260727,47100,109,245,479,196,440,5,4,SNM000037,38,38.00,1,1,2026-08-24T00:00:00.000
38,20260807,20260611,75900,339,204,358,54,279,8,4,SNM000038,39,39.00,1,1,2026-08-24T00:00:00.000
39,20260716,20260815,66900,165,436,151,254,226,2,5,SNM000039,40,40.00,1,1,2026-08-24T00:00:00.000
40,20260803,20260803,23940,315,138,431,426,109,3,3,SNM000040,41,41.00,1,1,2026-08-24T00:00:00.000
41,20260614,20260602,30360,83,57,97,183,46,1,5,SNM000041,42,42.00,1,1,2026-08-24T00:00:00.000
42,20260527,20260615,45720,68,75,323,160,286,5,2,SNM000042,43,43.00,1,1,2026-08-24T00:00:00.000
43,20260723,20260706,77580,219,301,403,342,391,8,4,SNM000043,44,44.00,1,1,2026-08-24T00:00:00.000
44,20260824,20260602,48180,329,208,451,305,156,1,2,SNM000044,45,45.00,1,1,2026-08-24T00:00:00.000
45,20260703,20260815,80100,341,246,286,254,4,3,2,SNM000045,46,46.00,1,1,2026-08-24T00:00:00.000
46,20260531,20260724,10200,265,388,314,280,190,4,1,SNM000046,47,47.00,1,1,2026-08-24T00:00:00.000
47,20260608,20260801,15600,220,454,28,297,187,8,5,SNM000047,48,48.00,1,1,2026-08-24T00:00:00.000
48,20260722,20260626,9360,179,492,352,188,143,4,1,SNM000048,49,49.00,1,1,2026-08-24T00:00:00.000
49,20260806,20260720,31800,229,448,338,51,242,2,2,SNM000049,50,50.00,1,1,2026-08-24T00:00:00.000
50,20260801,20260725,41820,4,196,413,416,375,5,5,SNM000050,51,51.00,1,1,2026-08-24T00:00:00.000
51,20260610,20260630,27420,240,-1,-1,245,321,8,3,SNM000051,52,52.00,1,1,2026-08-24T00:00:00.000
52,20260703,20260621,14940,230,203,136,426,268,5,5,SNM000052,53,53.00,1,1,2026-08-24T00:00:00.000
53,20260805,20260817,41820,306,16,81,79,3,4,2,SNM000053,54,54.00,1,1,2026-08-24T00:00:00.000
54,20260626,20260622,34860,80,251,271,91,67,3,4,SNM000054,55,55.00,1,1,2026-08-24T00:00:00.000
55,20260712,20260613,70380,136,237,133,397,65,5,5,SNM000055,56,56.00,1,1,2026-08-24T00:00:00.000
56,20260817,20260722,50700,82,324,97,92,398,6,2,SNM000056,57,57.00,1,1,2026-08-24T00:00:00.000
57,20260528,20260708,34440,181,452,102,30,281,7,2,SNM000057,58,58.00,1,1,2026-08-24T00:00:00.000
58,20260716,20260604,46800,12,416,147,149,447,5,1,SNM000058,59,59.00,1,1,2026-08-24T00:00:00.000
59,20260803,20260605,12840,116,68,434,52,372,3,4,SNM000059,60,60.00,1,1,2026-08-24T00:00:00.000
60,20260714,20260612,41580,303,5,209,320,455,1,5,SNM000060,61,61.00,1,1,2026-08-24T00:00:00.000
61,20260811,20260719,56280,63,164,140,217,289,2,1,SNM000061,62,62.00,1,1,2026-08-24T00:00:00.000
62,20260614,20260601,70380,120,277,135,123,439,6,5,SNM000062,63,63.00,1,1,2026-08-24T00:00:00.000
63,20260713,20260702,18780,247,237,175,424,126,8,1,SNM000063,64,64.00,1,1,2026-08-24T00:00:00.000
64,20260713,20260613,38700,86,84,135,390,48,3,3,SNM000064,65,65.00,1,1,2026-08-24T00:00:00.000
65,20260629,20260821,53340,327,417,147,208,86,8,5,SNM000065,66,66.00,1,1,2026-08-24T00:00:00.000
66,20260622,20260717,32700,98,303,289,447,426,4,1,SNM000066,67,67.00,1,1,2026-08-24T00:00:00.000
67,20260617,20260528,49860,99,46,144,158,270,7,2,SNM000067,68,68.00,1,1,2026-08-24T00:00:00.000
68,20260725,20260818,46800,324,-1,-1,405,492,8,4,SNM000068,69,69.00,1,1,2026-08-24T00:00:00.000
69,20260610,20260622,50280,327,348,232,298,245,8,2,SNM000069,70,70.00,1,1,2026-08-24T00:00:00.000
70,20260801,20260605,13500,265,15,107,213,138,5,5,SNM000070,71,71.00,1,1,2026-08-24T00:00:00.000
71,20260724,20260713,65040,307,350,154,113,183,2,1,SNM000071,72,72.00,1,1,2026-08-24T00:00:00.000
72,20260617,20260721,48480,243,8,288,315,254,8,2,SNM000072,73,73.00,1,1,2026-08-24T00:00:00.000
73,20260811,20260723,30840,249,342,390,387,378,7,3,SNM000073,74,74.00,1,1,2026-08-24T00:00:00.000
74,20260728,20260813,55200,181,415,225,423,492,2,3,SNM000074,75,75.00,1,1,2026-08-24T00:00:00.000
75,20260602,20260823,3480,254,62,290,332,189,8,5,SNM000075,76,76.00,1,1,2026-08-24T00:00:00.000
76,20260716,20260802,84360,22,489,175,28,410,6,5,SNM000076,77,77.00,1,1,2026-08-24T00:00:00.000
77,20260718,20260803,27780,230,413,470,105,217,3,5,SNM000077,78,78.00,1,1,2026-08-24T00:00:00.000
78,20260808,20260628,64560,290,299,219,222,249,2,5,SNM000078,79,79.00,1,1,2026-08-24T00:00:00.000
79,20260616,20260602,18840,1,486,339,155,427,2,3,SNM000079,80,80.00,1,1,2026-08-24T00:00:00.000
80,20260530,20260707,14400,340,167,50,442,181,6,5,SNM000080,81,81.00,1,1,2026-08-24T00:00:00.000
81,20260702,20260609,22620,54,245,422,60,489,5,1,SNM000081,82,82.00,1,1,2026-08-24T00:00:00.000
82,20260702,20260817,67680,337,66,442,215,94,2,5,SNM000082,83,83.00,1,1,2026-08-24T00:00:00.000
83,20260823,20260621,120,300,74,346,323,350,3,2,SNM000083,84,84.00,1,1,2026-08-24T00:00:00.000
84,20260611,20260719,62880,146,24,163,109,15,4,1,SNM000084,85,85.00,1,1,2026-08-24T00:00:00.000
85,20260707,20260610,34920,25,-1,-1,26,440,1,1,SNM000085,86,86.00,1,1,2026-08-24T00:00:00.000
86,20260624,20260724,58860,293,23,422,380,306,4,1,SNM000086,87,87.00,1,1,2026-08-24T00:00:00.000
87,20260717,20260715,43200,179,471,161,117,197,5,5,SNM000087,88,88.00,1,1,2026-08-24T00:00:00.000
88,20260809,20260804,49740,157,431,143,294,472,7,1,SNM000088,89,89.00,1,1,2026-08-24T00:00:00.000
89,20260626,20260804,35460,277,160,129,421,264,4,3,SNM000089,90,90.00,1,1,2026-08-24T00:00:00.000
90,20260803,20260714,72960,82,179,440,368,341,5,3,SNM000090,91,91.00,1,1,2026-08-24T00:00:00.000
91,20260530,20260624,6960,333,249,17,181,267,1,3,SNM000091,92,92.00,1,1,2026-08-24T00:00:00.000
92,20260626,20260612,8880,151,435,374,404,383,1,2,SNM000092,93,93.00,1,1,2026-08-24T00:00:00.000
93,20260629,20260815,74280,268,83,25,303,62,8,2,SNM000093,94,94.00,1,1,2026-08-24T00:00:00.000
94,20260811,20260705,30900,52,448,454,196,114,1,4,SNM000094,95,95.00,1,1,2026-08-24T00:00:00.000
95,20260706,20260810,18420,282,471,245,395,298,4,5,SNM000095,96,96.00,1,1,2026-08-24T00:00:00.000
96,20260606,20260618,52020,256,142,283,361,194,2,5,SNM000096,97,97.00,1,1,2026-08-24T00:00:00.000
97,20260719,20260807,6720,44,133,91,424,28,5,4,SNM000097,98,98.00,1,1,2026-08-24T00:00:00.000
98,20260613,20260601,32520,136,336,328,314,482,8,4,SNM000098,99,99.00,1,1,2026-08-24T00:00:00.000
99,20260709,20260822,84840,344,493,98,422,52,3,1,SNM000099,100,100.00,1,1,2026-08-24T00:00:00.000
100,20260707,20260806,57060,129,370,172,194,162,5,1,SNM000100,101,101.00,1,1,2026-08-24T00:00:00.000
101,20260609,20260606,85980,219,230,128,132,328,4,1,SNM000101,102,102.00,1,1,2026-08-24T00:00:00.000
102,20260625,20260628,35280,152,-1,-1,134,192,3,3,SNM000102,103,103.00,1,1,2026-08-24T00:00:00.000
103,20260702,20260602,75240,285,473,480,87,477,1,4,SNM000103,104,104.00,1,1,2026-08-24T00:00:00.000
104,20260611,20260530,45180,210,353,330,125,209,4,1,SNM000104,105,105.00,1,1,2026-08-24T00:00:00.000
105,20260704,20260602,75120,96,182,70,374,264,2,4,SNM000105,106,106.00,1,1,2026-08-24T00:00:00.000
106,20260604,20260717,67380,298,499,271,9,406,1,4,SNM000106,107,107.00,1,1,2026-08-24T00:00:00.000
107,20260709,20260706,78360,242,413,447,4,31,5,2,SNM000107,108,108.00,1,1,2026-08-24T00:00:00.000
108,20260724,20260817,79080,50,76,42,321,251,1,4,SNM000108,109,109.00,1,1,2026-08-24T00:00:00.000
109,20260819,20260729,8580,283,460,141,142,34,6,2,SNM000109,110,110.00,1,1,2026-08-24T00:00:00.000
110,20260731,20260703,77700,69,493,161,249,333,2,2,SNM000110,111,111.00,1,1,2026-08-24T00:00:00.000
111,20260721,20260623,37080,301,285,320,58,9,1,5,SNM000111,112,112.00,1,1,2026-08-24T00:00:00.000
112,20260803,20260824,76260,186,161,98,294,480,4,3,SNM000112,113,113.00,1,1,2026-08-24T00:00:00.000
113,20260821,20260724,780,197,33,243,90,385,6,3,SNM000113,114,114.00,1,1,2026-08-24T00:00:00.000
114,20260619,20260602,73020,226,252,31,445,38,6,3,SNM000114,115,115.00,1,1,2026-08-24T00:00:00.000
115,20260618,20260726,14580,234,156,340,51,34,6,2,SNM000115,116,116.00,1,1,2026-08-24T00:00:00.000
116,20260611,20260731,28980,212,177,225,260,275,3,2,SNM000116,117,117.00,1,1,2026-08-24T00:00:00.000
117,20260719,20260730,56460,322,59,462,378,429,2,3,SNM000117,118,118.00,1,1,2026-08-24T00:00:00.000
118,20260803,20260809,37800,241,144,131,146,388,7,5,SNM000118,119,119.00,1,1,2026-08-24T00:00:00.000
119,20260803,20260619,29940,247,-1,-1,446,402,5,3,SNM000119,120,120.00,1,1,2026-08-24T00:00:00.000
120,20260623,20260616,49740,140,430,395,61,468,1,2,SNM000120,121,121.00,1,1,2026-08-24T00:00:00.000
121,20260625,20260806,46080,230,448,490,324,76,2,1,SNM000121,122,122.00,1,1,2026-08-24T00:00:00.000
122,20260727,20260816,45960,201,184,356,209,320,1,1,SNM000122,123,123.00,1,1,2026-08-24T00:00:00.000
123,20260619,20260621,83640,331,164,305,393,68,3,3,SNM000123,124,124.00,1,1,2026-08-24T00:00:00.000
124,20260621,20260708,25800,204,175,155,381,76,7,3,SNM000124,125,125.00,1,1,2026-08-24T00:00:00.000
125,20260623,20260625,78960,228,279,313,63,374,7,4,SNM000125,126,126.00,1,1,2026-08-24T00:00:00.000
126,20260816,20260613,43860,155,300,303,245,320,2,4,SNM000126,127,127.00,1,1,2026-08-24T00:00:00.000
127,20260610,20260620,6660,76,257,70,356,138,3,4,SNM000127,128,128.00,1,1,2026-08-24T00:00:00.000
128,20260821,20260616,6540,217,326,1,241,380,1,3,SNM000128,129,129.00,1,1,2026-08-24T00:00:00.000
129,20260816,20260728,65700,35,7,413,243,286,8,1,SNM000129,130,130.00,1,1,2026-08-24T00:00:00.000
130,20260612,20260527,41220,71,251,302,284,40,2,1,SNM000130,131,131.00,1,1,2026-08-24T00:00:00.000
131,20260729,20260716,24300,163,159,425,379,303,3,5,SNM000131,132,132.00,1,1,2026-08-24T00:00:00.000
132,20260824,20260629,59040,3,5,352,307,422,7,2,SNM000132,133,133.00,1,1,2026-08-24T00:00:00.000
133,20260709,20260616,43320,266,85,106,393,150,2,4,SNM000133,134,134.00,1,1,2026-08-24T00:00:00.000
134,20260529,20260620,13140,216,190,499,398,172,8,4,SNM000134,135,135.00,1,1,2026-08-24T00:00:00.000
135,20260607,20260616,19560,37,150,261,55,86,3,1,SNM000135,136,136.00,1,1,2026-08-24T00:00:00.000
136,20260821,20260805,19440,246,-1,-1,270,310,2,4,SNM000136,137,137.00,1,1,2026-08-24T00:00:00.000
137,20260720,20260708,72540,132,185,471,281,417,6,1,SNM000137,138,138.00,1,1,2026-08-24T00:00:00.000
138,20260716,20260602,39240,68,350,139,25,16,7,4,SNM000138,139,139.00,1,1,2026-08-24T00:00:00.000
139,20260602,20260604,24720,82,350,27,171,334,1,5,SNM000139,140,140.00,1,1,2026-08-24T00:00:00.000
140,20260725,20260719,75480,68,407,173,227,150,3,1,SNM000140,141,141.00,1,1,2026-08-24T00:00:00.000
141,20260704,20260821,38520,190,364,167,214,196,3,2,SNM000141,142,142.00,1,1,2026-08-24T00:00:00.000
142,20260620,20260802,45600,332,365,124,117,118,3,2,SNM000142,143,143.00,1,1,2026-08-24T00:00:00.000
143,20260729,20260815,49740,18,432,85,196,448,5,4,SNM000143,144,144.00,1,1,2026-08-24T00:00:00.000
144,20260609,20260704,72360,36,46,301,44,203,5,1,SNM000144,145,145.00,1,1,2026-08-24T00:00:00.000
145,20260720,20260606,29940,304,446,55,349,321,2,1,SNM000145,146,146.00,1,1,2026-08-24T00:00:00.000
146,20260714,20260804,82860,110,275,39,79,456,6,5,SNM000146,147,147.00,1,1,2026-08-24T00:00:00.000
147,20260816,20260803,56640,118,270,464,355,244,2,1,SNM000147,148,148.00,1,1,2026-08-24T00:00:00.000
148,20260725,20260728,1680,134,153,240,110,94,2,1,SNM000148,149,149.00,1,1,2026-08-24T00:00:00.000
149,20260723,20260714,28380,288,139,474,60,3,2,4,SNM000149,150,150.00,1,1,2026-08-24T00:00:00.000
150,20260809,20260816,81420,120,101,378,250,308,3,3,SNM000150,151,151.00,1,1,2026-08-24T00:00:00.000
151,20260704,20260708,47580,156,294,428,324,219,2,4,SNM000151,152,152.00,1,1,2026-08-24T00:00:00.000
152,20260728,20260821,33480,17,49,312,169,375,7,2,SNM000152,153,153.00,1,1,2026-08-24T00:00:00.000
153,20260812,20260627,10380,51,-1,-1,132,2,3,4,SNM000153,154,154.00,1,1,2026-08-24T00:00:00.000
154,20260603,20260625,52080,239,72,192,234,287,2,3,SNM000154,155,155.00,1,1,2026-08-24T00:00:00.000
155,20260815,20260731,27420,65,341,468,366,128,6,1,SNM000155,156,156.00,1,1,2026-08-24T00:00:00.000
156,20260603,20260630,40800,285,446,263,50,191,5,5,SNM000156,157,157.00,1,1,2026-08-24T00:00:00.000
157,20260724,20260824,68580,19,103,333,320,113,5,2,SNM000157,158,158.00,1,1,2026-08-24T00:00:00.000
158,20260726,20260802,60480,268,76,378,274,498,5,3,SNM000158,159,159.00,1,1,2026-08-24T00:00:00.000
159,20260703,20260807,46260,252,356,320,218,495,4,3,SNM000159,160,160.00,1,1,2026-08-24T00:00:00.000
160,20260719,20260817,30840,248,107,291,37,35,5,1,SNM000160,161,161.00,1,1,2026-08-24T00:00:00.000
161,20260705,20260626,4680,255,472,225,70,209,1,1,SNM000161,162,162.00,1,1,2026-08-24T00:00:00.000
162,20260531,20260811,55440,254,34,204,177,314,1,3,SNM000162,163,163.00,1,1,2026-08-24T00:00:00.000
163,20260709,20260614,75420,8,124,101,166,198,8,3,SNM000163,164,164.00,1,1,2026-08-24T00:00:00.000
164,20260611,20260703,85620,17,419,33,436,221,4,2,SNM000164,165,165.00,1,1,2026-08-24T00:00:00.000
165,20260617,20260612,75900,33,305,144,412,5,4,3,SNM000165,166,166.00,1,1,2026-08-24T00:00:00.000
166,20260702,20260601,40860,286,116,329,439,87,4,1,SNM000166,167,167.00,1,1,2026-08-24T00:00:00.000
167,20260728,20260625,5340,84,333,438,141,190,6,5,SNM000167,168,168.00,1,1,2026-08-24T00:00:00.000
168,20260619,20260804,20340,63,210,483,105,384,8,1,SNM000168,169,169.00,1,1,2026-08-24T00:00:00.000
169,20260628,20260610,15720,260,470,474,148,120,7,2,SNM000169,170,170.00,1,1,2026-08-24T00:00:00.000
170,20260810,20260719,54900,71,-1,-1,323,401,1,5,SNM000170,171,171.00,1,1,2026-08-24T00:00:00.000
171,20260716,20260624,38100,149,58,396,405,367,5,2,SNM000171,172,172.00,1,1,2026-08-24T00:00:00.000
172,20260704,20260619,10560,269,478,230,15,430,5,3,SNM000172,173,173.00,1,1,2026-08-24T00:00:00.000
173,20260603,20260803,21000,130,96,374,180,288,6,4,SNM000173,174,174.00,1,1,2026-08-24T00:00:00.000
174,20260628,20260704,32940,212,167,74,65,125,1,1,SNM000174,175,175.00,1,1,2026-08-24T00:00:00.000
175,20260705,20260711,6300,63,466,390,123,317,1,3,SNM000175,176,176.00,1,1,2026-08-24T00:00:00.000
176,20260605,20260821,11040,319,330,326,273,128,5,3,SNM000176,177,177.00,1,1,2026-08-24T00:00:00.000
177,20260603,20260823,4320,173,262,161,440,426,7,4,SNM000177,178,178.00,1,1,2026-08-24T00:00:00.000
178,20260626,20260602,31620,287,157,458,405,332,2,4,SNM000178,179,179.00,1,1,2026-08-24T00:00:00.000
179,20260811,20260712,42060,54,165,355,132,184,4,3,SNM000179,180,180.00,1,1,2026-08-24T00:00:00.000
180,20260604,20260814,54360,80,198,260,163,127,3,1,SNM000180,181,181.00,1,1,2026-08-24T00:00:00.000
181,20260629,20260816,5820,162,34,8,207,9,2,1,SNM000181,182,182.00,1,1,2026-08-24T00:00:00.000
182,20260820,20260602,74280,307,175,419,228,466,5,1,SNM000182,183,183.00,1,1,2026-08-24T00:00:00.000
183,20260804,20260706,28020,77,487,22,434,352,8,1,SNM000183,184,184.00,1,1,2026-08-24T00:00:00.000
184,20260601,20260728,420,149,122,114,105,136,2,4,SNM000184,185,185.00,1,1,2026-08-24T00:00:00.000
185,20260730,20260605,34260,334,38,192,295,147,7,3,SNM000185,186,186.00,1,1,2026-08-24T00:00:00.000
186,20260821,20260705,6300,298,365,373,170,326,5,3,SNM000186,187,187.00,1,1,2026-08-24T00:00:00.000
187,20260707,20260527,44880,238,-1,-1,351,39,1,3,SNM000187,188,188.00,1,1,2026-08-24T00:00:00.000
188,20260607,20260626,37020,1,462,57,159,449,6,4,SNM000188,189,189.00,1,1,2026-08-24T00:00:00.000
189,20260824,20260820,6780,123,198,451,269,221,8,4,SNM000189,190,190.00,1,1,2026-08-24T00:00:00.000
190,20260612,20260728,77160,350,426,486,382,306,6,1,SNM000190,191,191.00,1,1,2026-08-24T00:00:00.000
191,20260610,20260816,13620,63,168,393,13,116,2,2,SNM000191,192,192.00,1,1,2026-08-24T00:00:00.000
192,20260626,20260727,44160,78,490,300,122,292,1,1,SNM000192,193,193.00,1,1,2026-08-24T00:00:00.000
193,20260719,20260705,59700,320,80,429,79,234,2,3,SNM000193,194,194.00,1,1,2026-08-24T00:00:00.000
194,20260614,20260726,63960,334,171,387,24,447,6,1,SNM000194,195,195.00,1,1,2026-08-24T00:00:00.000
195,20260711,20260616,83220,17,124,116,118,464,3,1,SNM000195,196,196.00,1,1,2026-08-24T00:00:00.000
196,20260628,20260704,19140,5,160,350,281,368,5,1,SNM000196,197,197.00,1,1,2026-08-24T00:00:00.000
197,20260612,20260731,32340,317,193,16,210,305,1,2,SNM000197,198,198.00,1,1,2026-08-24T00:00:00.000
198,20260801,20260720,71940,187,367,465,271,31,5,1,SNM000198,199,199.00,1,1,2026-08-24T00:00:00.000
199,20260620,20260701,50160,326,482,444,180,435,1,5,SNM000199,200,200.00,1,1,2026-08-24T00:00:00.000
200,20260813,20260725,35400,332,279,38,156,439,4,2,SNM000200,201,201.00,1,1,2026-08-24T00:00:00.000
201,20260606,20260611,4800,315,96,366,256,251,7,5,SNM000201,202,202.00,1,1,2026-08-24T00:00:00.000
202,20260802,20260802,35760,19,373,56,377,356,6,2,SNM000202,203,203.00,1,1,2026-08-24T00:00:00.000
203,20260619,20260531,24360,40,478,203,169,492,2,2,SNM000203,204,204.00,1,1,2026-08-24T00:00:00.000
204,20260615,20260722,10440,135,-1,-1,6,463,5,1,SNM000204,205,205.00,1,1,2026-08-24T00:00:00.000
205,20260804,20260528,40320,119,235,316,172,262,3,2,SNM000205,206,206.00,1,1,2026-08-24T00:00:00.000
206,20260628,20260717,18060,195,373,349,301,122,8,3,SNM000206,207,207.00,1,1,2026-08-24T00:00:00.000
207,20260731,20260629,59280,244,7,291,141,282,2,3,SNM000207,208,208.00,1,1,2026-08-24T00:00:00.000
208,20260721,20260818,12420,238,299,27,397,486,2,1,SNM000208,209,209.00,1,1,2026-08-24T00:00:00.000
209,20260705,20260712,51300,22,445,472,17,491,2,5,SNM000209,210,210.00,1,1,2026-08-24T00:00:00.000
210,20260813,20260718,83280,53,18,410,5,411,4,3,SNM000210,211,211.00,1,1,2026-08-24T00:00:00.000
211,20260724,20260707,21900,165,282,122,335,185,3,1,SNM000211,212,212.00,1,1,2026-08-24T00:00:00.000
212,20260612,20260727,1140,101,201,488,272,108,5,3,SNM000212,213,213.00,1,1,2026-08-24T00:00:00.000
213,20260812,20260528,43560,225,268,285,296,136,5,5,SNM000213,214,214.00,1,1,2026-08-24T00:00:00.000
214,20260807,20260610,32100,292,189,330,89,453,1,5,SNM000214,215,215.00,1,1,2026-08-24T00:00:00.000
215,20260615,20260820,16380,240,432,344,396,381,2,2,SNM000215,216,216.00,1,1,2026-08-24T00:00:00.000
216,20260731,20260615,43560,134,322,132,47,361,2,1,SNM000216,217,217.00,1,1,2026-08-24T00:00:00.000
217,20260801,20260601,68100,75,407,70,114,257,7,4,SNM000217,218,218.00,1,1,2026-08-24T00:00:00.000
218,20260529,20260621,68820,109,29,470,70,324,2,3,SNM000218,219,219.00,1,1,2026-08-24T00:00:00.000
219,20260614,20260611,22380,221,69,403,292,415,7,3,SNM000219,220,220.00,1,1,2026-08-24T00:00:00.000
220,20260805,20260707,66540,199,67,434,46,207,1,5,SNM000220,221,221.00,1,1,2026-08-24T00:00:00.000
221,20260611,20260710,3300,115,-1,-1,392,236,5,1,SNM000221,222,222.00,1,1,2026-08-24T00:00:00.000
222,20260714,20260609,61800,211,256,62,320,374,1,4,SNM000222,223,223.00,1,1,2026-08-24T00:00:00.000
223,20260604,20260628,81000,342,199,341,106,441,4,5,SNM000223,224,224.00,1,1,2026-08-24T00:00:00.000
224,20260614,20260614,3660,22,101,72,90,4,8,4,SNM000224,225,225.00,1,1,2026-08-24T00:00:00.000
225,20260727,20260705,3000,303,300,193,156,78,8,5,SNM000225,226,226.00,1,1,2026-08-24T00:00:00.000
226,20260626,20260603,34080,8,8,390,303,18,2,2,SNM000226,227,227.00,1,1,2026-08-24T00:00:00.000
227,20260811,20260714,7800,310,20,202,146,460,3,4,SNM000227,228,228.00,1,1,2026-08-24T00:00:00.000
228,20260717,20260614,12540,210,333,288,160,355,8,2,SNM000228,229,229.00,1,1,2026-08-24T00:00:00.000
229,20260802,20260804,16860,276,187,156,228,173,8,3,SNM000229,230,230.00,1,1,2026-08-24T00:00:00.000
230,20260606,20260630,66240,63,308,323,231,10,5,2,SNM000230,231,231.00,1,1,2026-08-24T00:00:00.000
231,20260531,20260806,64440,314,208,352,279,203,1,3,SNM000231,232,232.00,1,1,2026-08-24T00:00:00.000
232,20260805,20260720,30060,285,255,252,41,15,2,5,SNM000232,233,233.00,1,1,2026-08-24T00:00:00.000
233,20260707,20260619,47040,49,13,203,204,424,2,1,SNM000233,234,234.00,1,1,2026-08-24T00:00:00.000
234,20260620,20260802,1860,229,108,116,366,296,5,1,SNM000234,235,235.00,1,1,2026-08-24T00:00:00.000
235,20260616,20260813,27600,130,297,247,100,251,6,5,SNM000235,236,236.00,1,1,2026-08-24T00:00:00.000
