SalesOrderAllocationKey,AllocationDateKey,PromiseShipDateKey,AllocationTimeOfDayKey,SalesOrderLineKey,SalesFulfillmentPromiseKey,ProductKey,FulfillmentPlantKey,SalesAllocationStatusKey,UnitOfMeasureKey,AllocationDocumentNumber,RequestedQuantity,AllocatedQuantity,UnallocatedQuantity,SourceSystemKey,BatchId,LoadedAtUtc
43,20260710,20260603,43440,405,428,194,256,2,1,SOA000043,30.2000,30.2000,30.2000,1,1,2026-08-24T00:00:00.000
44,20260723,20260730,73320,430,496,81,327,5,1,SOA000044,30.9000,30.9000,30.9000,1,1,2026-08-24T00:00:00.000
45,20260820,20260531,3240,428,358,354,285,4,3,SOA000045,31.6000,31.6000,31.6000,1,1,2026-08-24T00:00:00.000
46,20260804,20260630,80760,215,74,400,161,6,7,SOA000046,32.3000,32.3000,32.3000,1,1,2026-08-24T00:00:00.000
47,20260620,20260610,55320,70,480,238,248,5,2,SOA000047,33.0000,33.0000,33.0000,1,1,2026-08-24T00:00:00.000
48,20260531,20260816,26100,172,391,230,103,4,7,SOA000048,33.7000,33.7000,33.7000,1,1,2026-08-24T00:00:00.000
49,20260820,20260719,4740,285,235,273,103,6,4,SOA000049,34.4000,34.4000,34.4000,1,1,2026-08-24T00:00:00.000
50,20260619,20260531,16320,134,366,340,294,6,5,SOA000050,35.1000,35.1000,35.1000,1,1,2026-08-24T00:00:00.000
51,20260820,20260812,75000,117,329,61,273,5,1,SOA000051,35.8000,35.8000,35.8000,1,1,2026-08-24T00:00:00.000
52,20260819,20260807,28200,195,244,161,165,1,1,SOA000052,36.5000,36.5000,36.5000,1,1,2026-08-24T00:00:00.000
53,20260626,20260712,71280,157,352,53,250,2,2,SOA000053,37.2000,37.2000,37.2000,1,1,2026-08-24T00:00:00.000
54,20260602,20260615,74580,69,11,326,7,3,5,SOA000054,37.9000,37.9000,37.9000,1,1,2026-08-24T00:00:00.000
55,20260812,20260714,85440,391,341,351,259,9,1,SOA000055,38.6000,38.6000,38.6000,1,1,2026-08-24T00:00:00.000
56,20260630,20260704,69060,371,96,340,51,7,2,SOA000056,39.3000,39.3000,39.3000,1,1,2026-08-24T00:00:00.000
57,20260701,20260731,45420,145,102,46,143,10,1,SOA000057,40.0000,40.0000,40.0000,1,1,2026-08-24T00:00:00.000
58,20260721,20260703,18480,234,288,124,28,1,6,SOA000058,40.7000,40.7000,40.7000,1,1,2026-08-24T00:00:00.000
59,20260727,20260527,26700,477,254,155,244,10,1,SOA000059,41.4000,41.4000,41.4000,1,1,2026-08-24T00:00:00.000
60,20260824,20260531,25620,401,115,320,21,9,5,SOA000060,42.1000,42.1000,42.1000,1,1,2026-08-24T00:00:00.000
61,20260823,20260730,9480,404,83,294,73,9,1,SOA000061,42.8000,42.8000,42.8000,1,1,2026-08-24T00:00:00.000
62,20260727,20260607,12180,379,361,406,262,5,2,SOA000062,43.5000,43.5000,43.5000,1,1,2026-08-24T00:00:00.000
63,20260704,20260718,33240,42,281,379,209,1,3,SOA000063,44.2000,44.2000,44.2000,1,1,2026-08-24T00:00:00.000
64,20260809,20260603,75360,287,142,127,39,5,7,SOA000064,44.9000,44.9000,44.9000,1,1,2026-08-24T00:00:00.000
65,20260625,20260721,84420,38,368,259,4,1,4,SOA000065,45.6000,45.6000,45.6000,1,1,2026-08-24T00:00:00.000
66,20260819,20260625,77160,379,429,12,315,2,2,SOA000066,46.3000,46.3000,46.3000,1,1,2026-08-24T00:00:00.000
67,20260819,20260619,38220,70,72,37,222,2,3,SOA000067,47.0000,47.0000,47.0000,1,1,2026-08-24T00:00:00.000
68,20260620,20260604,79200,286,93,381,13,10,5,SOA000068,47.7000,47.7000,47.7000,1,1,2026-08-24T00:00:00.000
69,20260821,20260717,77100,300,55,72,128,1,4,SOA000069,48.4000,48.4000,48.4000,1,1,2026-08-24T00:00:00.000
70,20260531,20260606,66960,245,125,71,228,5,4,SOA000070,49.1000,49.1000,49.1000,1,1,2026-08-24T00:00:00.000
71,20260628,20260804,38280,366,86,100,130,6,3,SOA000071,49.8000,49.8000,49.8000,1,1,2026-08-24T00:00:00.000
72,20260805,20260717,33900,372,285,341,157,2,4,SOA000072,50.5000,50.5000,50.5000,1,1,2026-08-24T00:00:00.000
73,20260609,20260805,1980,396,172,9,20,2,6,SOA000073,51.2000,51.2000,51.2000,1,1,2026-08-24T00:00:00.000
74,20260824,20260630,29040,495,132,198,136,3,7,SOA000074,51.9000,51.9000,51.9000,1,1,2026-08-24T00:00:00.000
75,20260806,20260715,26040,338,447,360,6,7,3,SOA000075,52.6000,52.6000,52.6000,1,1,2026-08-24T00:00:00.000
76,20260707,20260819,79500,162,450,10,75,4,5,SOA000076,53.3000,53.3000,53.3000,1,1,2026-08-24T00:00:00.000
77,20260710,20260813,79980,483,307,455,296,9,5,SOA000077,54.0000,54.0000,54.0000,1,1,2026-08-24T00:00:00.000
78,20260614,20260724,9660,102,442,283,331,7,6,SOA000078,54.7000,54.7000,54.7000,1,1,2026-08-24T00:00:00.000
79,20260627,20260711,30660,245,234,423,129,5,3,SOA000079,55.4000,55.4000,55.4000,1,1,2026-08-24T00:00:00.000
80,20260703,20260703,3480,261,44,101,132,10,5,SOA000080,56.1000,56.1000,56.1000,1,1,2026-08-24T00:00:00.000
81,20260608,20260803,32640,494,475,180,44,8,3,SOA000081,56.8000,56.8000,56.8000,1,1,2026-08-24T00:00:00.000
82,20260808,20260724,74520,171,60,194,188,9,1,SOA000082,57.5000,57.5000,57.5000,1,1,2026-08-24T00:00:00.000
83,20260614,20260806,12960,325,397,23,313,9,4,SOA000083,58.2000,58.2000,58.2000,1,1,2026-08-24T00:00:00.000
84,20260616,20260615,26100,426,212,273,235,4,2,SOA000084,58.9000,58.9000,58.9000,1,1,2026-08-24T00:00:00.000
85,20260811,20260531,51900,233,195,430,212,9,3,SOA000085,59.6000,59.6000,59.6000,1,1,2026-08-24T00:00:00.000
86,20260625,20260816,43920,452,195,88,124,10,5,SOA000086,60.3000,60.3000,60.3000,1,1,2026-08-24T00:00:00.000
87,20260729,20260720,4860,443,253,89,138,1,5,SOA000087,61.0000,61.0000,61.0000,1,1,2026-08-24T00:00:00.000
88,20260527,20260609,21840,219,282,15,290,7,5,SOA000088,61.7000,61.7000,61.7000,1,1,2026-08-24T00:00:00.000
89,20260814,20260613,83880,111,326,413,153,10,2,SOA000089,62.4000,62.4000,62.4000,1,1,2026-08-24T00:00:00.000
90,20260812,20260716,26760,110,216,307,321,8,2,SOA000090,63.1000,63.1000,63.1000,1,1,2026-08-24T00:00:00.000
91,20260616,20260816,28020,360,93,472,103,2,3,SOA000091,63.8000,63.8000,63.8000,1,1,2026-08-24T00:00:00.000
92,20260604,20260725,85200,489,489,469,73,7,5,SOA000092,64.5000,64.5000,64.5000,1,1,2026-08-24T00:00:00.000
93,20260614,20260824,31680,125,316,460,101,2,1,SOA000093,65.2000,65.2000,65.2000,1,1,2026-08-24T00:00:00.000
94,20260617,20260610,58200,422,349,150,117,3,2,SOA000094,65.9000,65.9000,65.9000,1,1,2026-08-24T00:00:00.000
95,20260629,20260811,15720,286,36,437,9,6,5,SOA000095,66.6000,66.6000,66.6000,1,1,2026-08-24T00:00:00.000
96,20260605,20260619,73320,128,283,307,296,3,2,SOA000096,67.3000,67.3000,67.3000,1,1,2026-08-24T00:00:00.000
97,20260723,20260716,44880,95,424,35,120,4,5,SOA000097,68.0000,68.0000,68.0000,1,1,2026-08-24T00:00:00.000
98,20260815,20260801,26520,443,254,445,268,6,1,SOA000098,68.7000,68.7000,68.7000,1,1,2026-08-24T00:00:00.000
99,20260614,20260711,65220,226,198,199,289,8,3,SOA000099,69.4000,69.4000,69.4000,1,1,2026-08-24T00:00:00.000
100,20260806,20260721,25320,262,496,310,170,5,6,SOA000100,70.1000,70.1000,70.1000,1,1,2026-08-24T00:00:00.000
101,20260716,20260811,21480,437,424,240,151,2,3,SOA000101,70.8000,70.8000,70.8000,1,1,2026-08-24T00:00:00.000
102,20260809,20260717,23040,12,77,195,156,1,4,SOA000102,71.5000,71.5000,71.5000,1,1,2026-08-24T00:00:00.000
103,20260706,20260610,1860,292,406,145,71,2,7,SOA000103,72.2000,72.2000,72.2000,1,1,2026-08-24T00:00:00.000
104,20260603,20260628,72180,467,468,397,152,10,3,SOA000104,72.9000,72.9000,72.9000,1,1,2026-08-24T00:00:00.000
105,20260801,20260705,12420,407,33,121,23,6,5,SOA000105,73.6000,73.6000,73.6000,1,1,2026-08-24T00:00:00.000
106,20260613,20260709,63420,293,162,67,265,1,2,SOA000106,74.3000,74.3000,74.3000,1,1,2026-08-24T00:00:00.000
107,20260822,20260625,18060,347,175,241,211,10,7,SOA000107,75.0000,75.0000,75.0000,1,1,2026-08-24T00:00:00.000
108,20260716,20260611,70020,64,164,339,234,7,1,SOA000108,75.7000,75.7000,75.7000,1,1,2026-08-24T00:00:00.000
109,20260531,20260703,12420,2,41,98,331,5,7,SOA000109,76.4000,76.4000,76.4000,1,1,2026-08-24T00:00:00.000
110,20260802,20260622,45060,133,249,49,310,5,1,SOA000110,77.1000,77.1000,77.1000,1,1,2026-08-24T00:00:00.000
111,20260821,20260630,67680,374,204,405,20,4,3,SOA000111,77.8000,77.8000,77.8000,1,1,2026-08-24T00:00:00.000
112,20260729,20260812,24720,8,286,55,78,7,1,SOA000112,78.5000,78.5000,78.5000,1,1,2026-08-24T00:00:00.000
113,20260814,20260623,74880,399,213,425,56,7,5,SOA000113,79.2000,79.2000,79.2000,1,1,2026-08-24T00:00:00.000
114,20260531,20260701,8940,434,338,436,55,2,2,SOA000114,79.9000,79.9000,79.9000,1,1,2026-08-24T00:00:00.000
115,20260602,20260718,73800,466,87,151,219,7,5,SOA000115,80.6000,80.6000,80.6000,1,1,2026-08-24T00:00:00.000
116,20260801,20260529,31800,255,65,448,198,4,1,SOA000116,81.3000,81.3000,81.3000,1,1,2026-08-24T00:00:00.000
117,20260806,20260809,35940,424,211,52,343,6,5,SOA000117,82.0000,82.0000,82.0000,1,1,2026-08-24T00:00:00.000
118,20260602,20260616,68100,12,447,440,292,1,2,SOA000118,82.7000,82.7000,82.7000,1,1,2026-08-24T00:00:00.000
119,20260716,20260610,50580,43,78,224,109,3,2,SOA000119,83.4000,83.4000,83.4000,1,1,2026-08-24T00:00:00.000
120,20260816,20260725,44160,148,320,320,78,6,4,SOA000120,84.1000,84.1000,84.1000,1,1,2026-08-24T00:00:00.000
121,20260709,20260720,58740,187,428,483,333,4,7,SOA000121,84.8000,84.8000,84.8000,1,1,2026-08-24T00:00:00.000
122,20260712,20260805,50400,107,381,469,120,6,3,SOA000122,85.5000,85.5000,85.5000,1,1,2026-08-24T00:00:00.000
123,20260710,20260802,37140,188,258,167,1,6,4,SOA000123,86.2000,86.2000,86.2000,1,1,2026-08-24T00:00:00.000
124,20260818,20260713,71400,468,329,69,306,3,1,SOA000124,86.9000,86.9000,86.9000,1,1,2026-08-24T00:00:00.000
125,20260528,20260617,40980,394,425,85,217,4,3,SOA000125,87.6000,87.6000,87.6000,1,1,2026-08-24T00:00:00.000
126,20260620,20260612,80460,62,305,397,69,4,6,SOA000126,88.3000,88.3000,88.3000,1,1,2026-08-24T00:00:00.000
127,20260714,20260814,31140,383,197,64,347,2,3,SOA000127,89.0000,89.0000,89.0000,1,1,2026-08-24T00:00:00.000
128,20260806,20260712,41460,17,145,483,348,9,4,SOA000128,89.7000,89.7000,89.7000,1,1,2026-08-24T00:00:00.000
129,20260531,20260823,10800,36,331,331,20,1,7,SOA000129,90.4000,90.4000,90.4000,1,1,2026-08-24T00:00:00.000
130,20260612,20260625,31860,53,247,58,211,9,6,SOA000130,91.1000,91.1000,91.1000,1,1,2026-08-24T00:00:00.000
131,20260817,20260810,78300,306,490,159,331,10,5,SOA000131,91.8000,91.8000,91.8000,1,1,2026-08-24T00:00:00.000
132,20260718,20260531,21120,87,288,306,238,10,2,SOA000132,92.5000,92.5000,92.5000,1,1,2026-08-24T00:00:00.000
133,20260629,20260602,44040,246,137,93,302,8,7,SOA000133,93.2000,93.2000,93.2000,1,1,2026-08-24T00:00:00.000
134,20260718,20260725,64680,353,103,367,241,5,2,SOA000134,93.9000,93.9000,93.9000,1,1,2026-08-24T00:00:00.000
135,20260731,20260804,44940,88,393,254,344,10,6,SOA000135,94.6000,94.6000,94.6000,1,1,2026-08-24T00:00:00.000
136,20260807,20260818,30000,199,249,312,132,4,4,SOA000136,95.3000,95.3000,95.3000,1,1,2026-08-24T00:00:00.000
137,20260804,20260615,76380,384,166,97,34,1,4,SOA000137,96.0000,96.0000,96.0000,1,1,2026-08-24T00:00:00.000
138,20260703,20260726,63840,294,377,272,188,9,3,SOA000138,96.7000,96.7000,96.7000,1,1,2026-08-24T00:00:00.000
139,20260716,20260611,81720,204,377,93,136,1,1,SOA000139,97.4000,97.4000,97.4000,1,1,2026-08-24T00:00:00.000
140,20260701,20260707,75180,209,77,263,129,9,2,SOA000140,98.1000,98.1000,98.1000,1,1,2026-08-24T00:00:00.000
141,20260620,20260809,1080,242,380,268,118,1,5,SOA000141,98.8000,98.8000,98.8000,1,1,2026-08-24T00:00:00.000
142,20260607,20260729,1440,421,249,490,23,4,6,SOA000142,99.5000,99.5000,99.5000,1,1,2026-08-24T00:00:00.000
143,20260615,20260527,66240,189,356,128,320,10,1,SOA000143,100.2000,100.2000,100.2000,1,1,2026-08-24T00:00:00.000
144,20260816,20260722,57720,132,312,165,208,7,7,SOA000144,100.9000,100.9000,100.9000,1,1,2026-08-24T00:00:00.000
145,20260617,20260624,55140,460,136,75,289,2,6,SOA000145,101.6000,101.6000,101.6000,1,1,2026-08-24T00:00:00.000
146,20260716,20260727,47700,320,434,483,252,4,4,SOA000146,102.3000,102.3000,102.3000,1,1,2026-08-24T00:00:00.000
147,20260722,20260708,73200,186,388,400,182,4,1,SOA000147,103.0000,103.0000,103.0000,1,1,2026-08-24T00:00:00.000
148,20260807,20260626,40380,322,250,3,328,6,1,SOA000148,103.7000,103.7000,103.7000,1,1,2026-08-24T00:00:00.000
149,20260630,20260608,20820,280,332,214,103,9,5,SOA000149,104.4000,104.4000,104.4000,1,1,2026-08-24T00:00:00.000
150,20260810,20260811,36300,417,54,27,318,3,4,SOA000150,105.1000,105.1000,105.1000,1,1,2026-08-24T00:00:00.000
151,20260730,20260806,1320,368,347,66,344,3,3,SOA000151,105.8000,105.8000,105.8000,1,1,2026-08-24T00:00:00.000
152,20260604,20260726,72600,103,19,119,99,8,3,SOA000152,106.5000,106.5000,106.5000,1,1,2026-08-24T00:00:00.000
153,20260627,20260730,34440,114,471,120,84,4,4,SOA000153,107.2000,107.2000,107.2000,1,1,2026-08-24T00:00:00.000
154,20260701,20260802,48780,170,125,325,131,8,6,SOA000154,107.9000,107.9000,107.9000,1,1,2026-08-24T00:00:00.000
155,20260607,20260808,37380,314,257,79,163,9,4,SOA000155,108.6000,108.6000,108.6000,1,1,2026-08-24T00:00:00.000
156,20260808,20260607,31560,20,55,389,6,10,2,SOA000156,109.3000,109.3000,109.3000,1,1,2026-08-24T00:00:00.000
157,20260820,20260822,70560,48,184,343,200,9,1,SOA000157,110.0000,110.0000,110.0000,1,1,2026-08-24T00:00:00.000
158,20260708,20260626,75780,166,439,443,280,8,3,SOA000158,110.7000,110.7000,110.7000,1,1,2026-08-24T00:00:00.000
159,20260728,20260822,79740,259,305,371,343,9,7,SOA000159,111.4000,111.4000,111.4000,1,1,2026-08-24T00:00:00.000
160,20260808,20260630,9660,175,88,312,241,8,3,SOA000160,112.1000,112.1000,112.1000,1,1,2026-08-24T00:00:00.000
161,20260721,20260604,52560,187,327,410,87,1,5,SOA000161,112.8000,112.8000,112.8000,1,1,2026-08-24T00:00:00.000
162,20260704,20260612,74940,164,370,118,213,6,7,SOA000162,113.5000,113.5000,113.5000,1,1,2026-08-24T00:00:00.000
163,20260622,20260822,50100,153,37,297,166,3,6,SOA000163,114.2000,114.2000,114.2000,1,1,2026-08-24T00:00:00.000
164,20260729,20260623,33900,175,243,367,281,3,3,SOA000164,114.9000,114.9000,114.9000,1,1,2026-08-24T00:00:00.000
165,20260527,20260616,22980,88,419,459,68,3,7,SOA000165,115.6000,115.6000,115.6000,1,1,2026-08-24T00:00:00.000
166,20260624,20260724,23640,20,384,126,61,10,3,SOA000166,116.3000,116.3000,116.3000,1,1,2026-08-24T00:00:00.000
167,20260814,20260531,57060,219,231,9,114,1,1,SOA000167,117.0000,117.0000,117.0000,1,1,2026-08-24T00:00:00.000
168,20260812,20260601,78300,253,184,105,24,5,7,SOA000168,117.7000,117.7000,117.7000,1,1,2026-08-24T00:00:00.000
169,20260604,20260821,43740,204,212,430,26,6,2,SOA000169,118.4000,118.4000,118.4000,1,1,2026-08-24T00:00:00.000
170,20260813,20260718,48540,53,102,451,65,3,3,SOA000170,119.1000,119.1000,119.1000,1,1,2026-08-24T00:00:00.000
171,20260801,20260716,52140,333,292,369,217,6,1,SOA000171,119.8000,119.8000,119.8000,1,1,2026-08-24T00:00:00.000
172,20260626,20260613,84180,456,481,320,90,2,3,SOA000172,120.5000,120.5000,120.5000,1,1,2026-08-24T00:00:00.000
173,20260821,20260616,4440,160,248,135,217,2,1,SOA000173,121.2000,121.2000,121.2000,1,1,2026-08-24T00:00:00.000
174,20260807,20260624,47880,200,118,323,200,2,6,SOA000174,121.9000,121.9000,121.9000,1,1,2026-08-24T00:00:00.000
175,20260610,20260620,4080,223,146,182,27,6,5,SOA000175,122.6000,122.6000,122.6000,1,1,2026-08-24T00:00:00.000
176,20260708,20260603,32340,71,241,363,121,6,5,SOA000176,123.3000,123.3000,123.3000,1,1,2026-08-24T00:00:00.000
177,20260728,20260718,31140,315,249,188,202,10,4,SOA000177,124.0000,124.0000,124.0000,1,1,2026-08-24T00:00:00.000
178,20260527,20260621,71640,177,103,89,289,9,6,SOA000178,124.7000,124.7000,124.7000,1,1,2026-08-24T00:00:00.000
179,20260627,20260611,38760,77,441,219,57,4,3,SOA000179,125.4000,125.4000,125.4000,1,1,2026-08-24T00:00:00.000
180,20260618,20260603,77100,188,443,80,8,4,2,SOA000180,126.1000,126.1000,126.1000,1,1,2026-08-24T00:00:00.000
181,20260613,20260805,69240,6,178,454,99,3,2,SOA000181,126.8000,126.8000,126.8000,1,1,2026-08-24T00:00:00.000
182,20260821,20260731,78960,205,440,421,342,3,7,SOA000182,127.5000,127.5000,127.5000,1,1,2026-08-24T00:00:00.000
183,20260728,20260710,26520,114,284,109,103,7,2,SOA000183,128.2000,128.2000,128.2000,1,1,2026-08-24T00:00:00.000
184,20260605,20260719,41280,484,446,110,237,6,7,SOA000184,128.9000,128.9000,128.9000,1,1,2026-08-24T00:00:00.000
185,20260612,20260716,42240,438,4,313,48,10,6,SOA000185,129.6000,129.6000,129.6000,1,1,2026-08-24T00:00:00.000
186,20260615,20260821,41580,487,250,403,197,10,2,SOA000186,130.3000,130.3000,130.3000,1,1,2026-08-24T00:00:00.000
187,20260614,20260527,31020,310,27,118,165,8,7,SOA000187,131.0000,131.0000,131.0000,1,1,2026-08-24T00:00:00.000
188,20260613,20260601,1440,332,484,332,237,9,4,SOA000188,131.7000,131.7000,131.7000,1,1,2026-08-24T00:00:00.000
189,20260620,20260726,71340,363,219,60,270,3,2,SOA000189,132.4000,132.4000,132.4000,1,1,2026-08-24T00:00:00.000
190,20260720,20260714,44640,125,317,355,61,9,1,SOA000190,133.1000,133.1000,133.1000,1,1,2026-08-24T00:00:00.000
191,20260613,20260808,80460,469,282,65,194,3,7,SOA000191,133.8000,133.8000,133.8000,1,1,2026-08-24T00:00:00.000
192,20260603,20260808,14160,408,309,319,116,10,4,SOA000192,134.5000,134.5000,134.5000,1,1,2026-08-24T00:00:00.000
193,20260724,20260615,50700,476,377,270,163,10,3,SOA000193,135.2000,135.2000,135.2000,1,1,2026-08-24T00:00:00.000
194,20260809,20260528,58500,479,138,302,323,8,3,SOA000194,135.9000,135.9000,135.9000,1,1,2026-08-24T00:00:00.000
195,20260711,20260802,7080,67,237,432,288,2,3,SOA000195,136.6000,136.6000,136.6000,1,1,2026-08-24T00:00:00.000
196,20260605,20260705,62220,450,110,396,233,8,1,SOA000196,137.3000,137.3000,137.3000,1,1,2026-08-24T00:00:00.000
197,20260725,20260628,31860,162,448,441,233,3,6,SOA000197,138.0000,138.0000,138.0000,1,1,2026-08-24T00:00:00.000
198,20260708,20260702,37260,28,130,238,284,9,6,SOA000198,138.7000,138.7000,138.7000,1,1,2026-08-24T00:00:00.000
199,20260801,20260726,46320,146,497,41,165,1,4,SOA000199,139.4000,139.4000,139.4000,1,1,2026-08-24T00:00:00.000
200,20260815,20260609,77400,107,472,79,194,8,3,SOA000200,140.1000,140.1000,140.1000,1,1,2026-08-24T00:00:00.000
201,20260804,20260817,60060,240,5,144,142,2,5,SOA000201,140.8000,140.8000,140.8000,1,1,2026-08-24T00:00:00.000
202,20260625,20260528,720,205,234,413,83,7,6,SOA000202,141.5000,141.5000,141.5000,1,1,2026-08-24T00:00:00.000
203,20260810,20260618,64560,433,339,228,253,1,7,SOA000203,142.2000,142.2000,142.2000,1,1,2026-08-24T00:00:00.000
204,20260622,20260706,74220,86,30,218,266,4,7,SOA000204,142.9000,142.9000,142.9000,1,1,2026-08-24T00:00:00.000
205,20260621,20260611,52260,17,230,330,102,1,7,SOA000205,143.6000,143.6000,143.6000,1,1,2026-08-24T00:00:00.000
206,20260819,20260808,71460,26,80,23,246,3,4,SOA000206,144.3000,144.3000,144.3000,1,1,2026-08-24T00:00:00.000
207,20260728,20260721,68460,316,79,239,163,5,5,SOA000207,145.0000,145.0000,145.0000,1,1,2026-08-24T00:00:00.000
208,20260617,20260614,1680,170,458,445,199,7,4,SOA000208,145.7000,145.7000,145.7000,1,1,2026-08-24T00:00:00.000
209,20260722,20260730,4500,456,450,229,253,2,1,SOA000209,146.4000,146.4000,146.4000,1,1,2026-08-24T00:00:00.000
