OeePeriodicSnapshotKey,SnapshotDateKey,MachineKey,OeeTargetProfileKey,ProductKey,ProductionShiftKey,WorkCenterKey,PlantKey,OeeCalculationMethodKey,UnitOfMeasureKey,EventCount,QuantityAmount,DurationMinutes,CostAmount,SourceSystemKey,BatchId,LoadedAtUtc
28,20260725,274,472,398,115,498,37,12,4,29,48.3600,33.0000,48.3600,1,1,2026-08-24T00:00:00.000
29,20260610,339,270,209,277,419,286,12,4,30,49.7300,34.0000,49.7300,1,1,2026-08-24T00:00:00.000
30,20260718,359,375,327,10,337,277,2,4,31,51.1000,35.0000,51.1000,1,1,2026-08-24T00:00:00.000
31,20260629,185,285,412,198,357,333,9,7,32,52.4700,36.0000,52.4700,1,1,2026-08-24T00:00:00.000
32,20260620,202,175,13,259,60,148,1,2,33,53.8400,37.0000,53.8400,1,1,2026-08-24T00:00:00.000
33,20260822,259,242,321,442,424,328,8,6,34,55.2100,38.0000,55.2100,1,1,2026-08-24T00:00:00.000
34,20260812,30,-1,-1,-1,430,242,3,3,35,56.5800,39.0000,56.5800,1,1,2026-08-24T00:00:00.000
35,20260613,42,491,399,88,265,139,6,1,36,57.9500,40.0000,57.9500,1,1,2026-08-24T00:00:00.000
36,20260710,437,46,167,69,242,338,11,5,37,59.3200,41.0000,59.3200,1,1,2026-08-24T00:00:00.000
37,20260819,98,285,489,394,75,256,8,7,38,60.6900,42.0000,60.6900,1,1,2026-08-24T00:00:00.000
38,20260714,103,64,351,500,78,261,1,4,39,62.0600,43.0000,62.0600,1,1,2026-08-24T00:00:00.000
39,20260702,328,104,404,188,379,93,1,5,40,63.4300,44.0000,63.4300,1,1,2026-08-24T00:00:00.000
40,20260821,40,210,51,147,20,247,1,4,41,64.8000,45.0000,64.8000,1,1,2026-08-24T00:00:00.000
41,20260721,102,238,136,460,351,13,12,5,42,66.1700,46.0000,66.1700,1,1,2026-08-24T00:00:00.000
42,20260629,185,162,97,86,494,186,11,7,43,67.5400,47.0000,67.5400,1,1,2026-08-24T00:00:00.000
43,20260612,163,420,311,283,313,272,1,7,44,68.9100,48.0000,68.9100,1,1,2026-08-24T00:00:00.000
44,20260706,75,447,287,139,423,109,4,6,45,70.2800,49.0000,70.2800,1,1,2026-08-24T00:00:00.000
45,20260714,412,448,48,224,34,172,12,3,46,71.6500,50.0000,71.6500,1,1,2026-08-24T00:00:00.000
46,20260602,418,369,389,56,402,261,2,3,47,73.0200,51.0000,73.0200,1,1,2026-08-24T00:00:00.000
47,20260808,253,131,331,496,133,205,10,3,48,74.3900,52.0000,74.3900,1,1,2026-08-24T00:00:00.000
48,20260607,126,244,298,482,5,19,11,6,49,75.7600,53.0000,75.7600,1,1,2026-08-24T00:00:00.000
49,20260801,72,194,155,180,468,154,7,4,50,77.1300,54.0000,77.1300,1,1,2026-08-24T00:00:00.000
50,20260717,448,311,309,441,303,205,4,3,51,78.5000,55.0000,78.5000,1,1,2026-08-24T00:00:00.000
51,20260719,208,-1,-1,-1,146,168,4,5,52,79.8700,56.0000,79.8700,1,1,2026-08-24T00:00:00.000
52,20260626,88,375,107,235,418,52,10,2,53,81.2400,57.0000,81.2400,1,1,2026-08-24T00:00:00.000
53,20260804,162,392,275,304,321,196,11,4,54,82.6100,58.0000,82.6100,1,1,2026-08-24T00:00:00.000
54,20260821,86,496,232,72,362,349,11,4,55,83.9800,59.0000,83.9800,1,1,2026-08-24T00:00:00.000
55,20260601,58,434,278,183,485,274,5,6,56,85.3500,60.0000,85.3500,1,1,2026-08-24T00:00:00.000
56,20260719,347,456,240,87,18,10,4,2,57,86.7200,61.0000,86.7200,1,1,2026-08-24T00:00:00.000
57,20260609,432,40,427,17,341,250,12,6,58,88.0900,62.0000,88.0900,1,1,2026-08-24T00:00:00.000
58,20260706,332,183,170,441,58,27,12,4,59,89.4600,63.0000,89.4600,1,1,2026-08-24T00:00:00.000
59,20260616,251,148,237,371,283,89,8,6,60,90.8300,64.0000,90.8300,1,1,2026-08-24T00:00:00.000
60,20260823,201,119,447,407,261,148,9,5,61,92.2000,65.0000,92.2000,1,1,2026-08-24T00:00:00.000
61,20260623,289,72,480,229,362,127,9,6,62,93.5700,66.0000,93.5700,1,1,2026-08-24T00:00:00.000
62,20260719,156,360,326,215,483,311,10,2,63,94.9400,67.0000,94.9400,1,1,2026-08-24T00:00:00.000
63,20260607,326,69,136,469,192,213,12,5,64,96.3100,68.0000,96.3100,1,1,2026-08-24T00:00:00.000
64,20260821,425,378,349,300,263,330,11,3,65,97.6800,69.0000,97.6800,1,1,2026-08-24T00:00:00.000
65,20260807,20,315,256,312,94,44,6,4,66,99.0500,70.0000,99.0500,1,1,2026-08-24T00:00:00.000
66,20260810,157,255,294,268,80,70,1,7,67,100.4200,71.0000,100.4200,1,1,2026-08-24T00:00:00.000
67,20260606,344,88,354,138,355,181,3,1,68,101.7900,72.0000,101.7900,1,1,2026-08-24T00:00:00.000
68,20260610,160,-1,-1,-1,285,339,3,6,69,103.1600,73.0000,103.1600,1,1,2026-08-24T00:00:00.000
69,20260625,427,271,272,289,393,187,8,3,70,104.5300,74.0000,104.5300,1,1,2026-08-24T00:00:00.000
70,20260714,274,159,60,40,17,44,3,5,71,105.9000,75.0000,105.9000,1,1,2026-08-24T00:00:00.000
71,20260705,30,230,311,39,441,345,2,3,72,107.2700,76.0000,107.2700,1,1,2026-08-24T00:00:00.000
72,20260701,88,488,52,309,176,225,2,4,73,108.6400,77.0000,108.6400,1,1,2026-08-24T00:00:00.000
73,20260708,14,340,152,133,151,338,6,4,74,110.0100,78.0000,110.0100,1,1,2026-08-24T00:00:00.000
74,20260811,58,367,457,8,18,261,1,4,75,111.3800,79.0000,111.3800,1,1,2026-08-24T00:00:00.000
75,20260618,397,114,135,142,254,229,6,4,76,112.7500,80.0000,112.7500,1,1,2026-08-24T00:00:00.000
76,20260803,477,42,139,487,189,83,7,3,77,114.1200,81.0000,114.1200,1,1,2026-08-24T00:00:00.000
77,20260712,269,333,442,454,206,175,6,6,78,115.4900,82.0000,115.4900,1,1,2026-08-24T00:00:00.000
78,20260709,259,123,134,322,410,55,8,3,79,116.8600,83.0000,116.8600,1,1,2026-08-24T00:00:00.000
79,20260724,67,10,440,62,217,45,8,1,80,118.2300,84.0000,118.2300,1,1,2026-08-24T00:00:00.000
80,20260810,350,179,237,367,66,35,5,5,81,119.6000,85.0000,119.6000,1,1,2026-08-24T00:00:00.000
81,20260624,340,465,393,227,242,47,8,2,82,120.9700,86.0000,120.9700,1,1,2026-08-24T00:00:00.000
82,20260616,496,194,246,316,174,5,5,2,83,122.3400,87.0000,122.3400,1,1,2026-08-24T00:00:00.000
83,20260811,451,276,338,69,255,68,1,2,84,123.7100,88.0000,123.7100,1,1,2026-08-24T00:00:00.000
84,20260806,139,413,180,414,16,65,9,4,85,125.0800,89.0000,125.0800,1,1,2026-08-24T00:00:00.000
85,20260624,149,-1,-1,-1,312,56,11,7,86,126.4500,90.0000,126.4500,1,1,2026-08-24T00:00:00.000
86,20260807,261,373,473,76,438,23,1,6,87,127.8200,91.0000,127.8200,1,1,2026-08-24T00:00:00.000
87,20260719,179,435,267,229,489,210,12,1,88,129.1900,92.0000,129.1900,1,1,2026-08-24T00:00:00.000
88,20260823,256,303,28,386,314,56,8,3,89,130.5600,93.0000,130.5600,1,1,2026-08-24T00:00:00.000
89,20260821,334,161,356,225,155,24,11,7,90,131.9300,94.0000,131.9300,1,1,2026-08-24T00:00:00.000
90,20260728,459,235,300,440,128,100,4,1,91,133.3000,95.0000,133.3000,1,1,2026-08-24T00:00:00.000
91,20260707,59,180,214,185,292,305,4,3,92,134.6700,96.0000,134.6700,1,1,2026-08-24T00:00:00.000
92,20260814,243,430,194,398,149,223,7,1,93,136.0400,97.0000,136.0400,1,1,2026-08-24T00:00:00.000
93,20260715,334,459,378,335,242,295,5,3,94,137.4100,98.0000,137.4100,1,1,2026-08-24T00:00:00.000
94,20260619,393,366,173,241,52,290,9,3,95,138.7800,99.0000,138.7800,1,1,2026-08-24T00:00:00.000
95,20260718,49,197,489,138,404,7,12,4,96,140.1500,100.0000,140.1500,1,1,2026-08-24T00:00:00.000
96,20260614,44,313,356,497,359,181,10,5,97,141.5200,101.0000,141.5200,1,1,2026-08-24T00:00:00.000
97,20260627,379,102,217,135,332,335,7,7,98,142.8900,102.0000,142.8900,1,1,2026-08-24T00:00:00.000
98,20260727,207,306,328,495,150,306,7,1,99,144.2600,103.0000,144.2600,1,1,2026-08-24T00:00:00.000
99,20260804,217,34,374,439,198,183,7,4,100,145.6300,104.0000,145.6300,1,1,2026-08-24T00:00:00.000
100,20260625,172,381,222,63,336,145,7,6,101,147.0000,105.0000,147.0000,1,1,2026-08-24T00:00:00.000
101,20260718,282,205,62,162,26,62,11,5,102,148.3700,106.0000,148.3700,1,1,2026-08-24T00:00:00.000
102,20260606,231,-1,-1,-1,228,311,9,5,103,149.7400,107.0000,149.7400,1,1,2026-08-24T00:00:00.000
103,20260709,125,38,423,113,235,48,8,6,104,151.1100,108.0000,151.1100,1,1,2026-08-24T00:00:00.000
104,20260726,370,180,286,472,322,100,8,7,105,152.4800,109.0000,152.4800,1,1,2026-08-24T00:00:00.000
105,20260722,168,303,492,4,291,201,4,4,106,153.8500,110.0000,153.8500,1,1,2026-08-24T00:00:00.000
106,20260818,215,194,186,484,221,121,8,2,107,155.2200,111.0000,155.2200,1,1,2026-08-24T00:00:00.000
107,20260718,163,369,143,432,98,195,11,6,108,156.5900,112.0000,156.5900,1,1,2026-08-24T00:00:00.000
108,20260706,377,461,299,222,9,45,12,7,109,157.9600,113.0000,157.9600,1,1,2026-08-24T00:00:00.000
109,20260623,268,345,229,287,158,116,4,2,110,159.3300,114.0000,159.3300,1,1,2026-08-24T00:00:00.000
110,20260604,35,259,278,83,319,240,3,5,111,160.7000,115.0000,160.7000,1,1,2026-08-24T00:00:00.000
111,20260725,59,40,1,483,366,100,3,1,112,162.0700,116.0000,162.0700,1,1,2026-08-24T00:00:00.000
112,20260527,116,425,426,329,348,37,6,2,113,163.4400,117.0000,163.4400,1,1,2026-08-24T00:00:00.000
113,20260611,261,329,182,298,164,327,6,7,114,164.8100,118.0000,164.8100,1,1,2026-08-24T00:00:00.000
114,20260531,194,162,382,463,308,208,9,5,115,166.1800,119.0000,166.1800,1,1,2026-08-24T00:00:00.000
115,20260611,7,301,109,483,461,43,3,3,116,167.5500,120.0000,167.5500,1,1,2026-08-24T00:00:00.000
116,20260629,337,15,218,68,483,122,9,4,117,168.9200,121.0000,168.9200,1,1,2026-08-24T00:00:00.000
117,20260804,430,236,494,94,191,348,6,5,118,170.2900,122.0000,170.2900,1,1,2026-08-24T00:00:00.000
118,20260730,392,413,451,251,238,208,12,5,119,171.6600,123.0000,171.6600,1,1,2026-08-24T00:00:00.000
119,20260709,160,-1,-1,-1,412,316,7,7,120,173.0300,124.0000,173.0300,1,1,2026-08-24T00:00:00.000
120,20260819,266,295,90,373,56,119,4,3,121,174.4000,125.0000,174.4000,1,1,2026-08-24T00:00:00.000
121,20260805,473,313,33,337,237,193,2,1,122,175.7700,126.0000,175.7700,1,1,2026-08-24T00:00:00.000
122,20260703,415,174,438,161,281,5,5,7,123,177.1400,127.0000,177.1400,1,1,2026-08-24T00:00:00.000
123,20260731,481,224,99,359,282,248,11,7,124,178.5100,128.0000,178.5100,1,1,2026-08-24T00:00:00.000
124,20260721,479,326,125,109,217,254,1,5,125,179.8800,129.0000,179.8800,1,1,2026-08-24T00:00:00.000
125,20260620,88,409,212,45,373,136,3,2,126,181.2500,130.0000,181.2500,1,1,2026-08-24T00:00:00.000
126,20260816,406,423,107,118,295,192,12,4,127,182.6200,131.0000,182.6200,1,1,2026-08-24T00:00:00.000
127,20260723,291,422,300,157,206,276,3,6,128,183.9900,132.0000,183.9900,1,1,2026-08-24T00:00:00.000
128,20260625,394,417,58,393,111,329,8,3,129,185.3600,133.0000,185.3600,1,1,2026-08-24T00:00:00.000
129,20260811,96,149,59,274,436,166,10,1,130,186.7300,134.0000,186.7300,1,1,2026-08-24T00:00:00.000
130,20260609,488,282,283,490,187,97,11,7,131,188.1000,135.0000,188.1000,1,1,2026-08-24T00:00:00.000
131,20260816,26,237,183,45,11,82,1,5,132,189.4700,136.0000,189.4700,1,1,2026-08-24T00:00:00.000
132,20260602,45,66,320,279,139,174,3,5,133,190.8400,137.0000,190.8400,1,1,2026-08-24T00:00:00.000
133,20260603,221,7,364,481,449,302,12,2,134,192.2100,138.0000,192.2100,1,1,2026-08-24T00:00:00.000
134,20260814,410,465,63,173,290,20,7,7,135,193.5800,139.0000,193.5800,1,1,2026-08-24T00:00:00.000
135,20260624,209,311,82,261,144,317,2,6,136,194.9500,140.0000,194.9500,1,1,2026-08-24T00:00:00.000
136,20260627,269,-1,-1,-1,352,58,1,3,137,196.3200,141.0000,196.3200,1,1,2026-08-24T00:00:00.000
137,20260619,29,471,200,437,404,293,7,3,138,197.6900,142.0000,197.6900,1,1,2026-08-24T00:00:00.000
138,20260716,459,415,486,446,325,124,12,3,139,199.0600,143.0000,199.0600,1,1,2026-08-24T00:00:00.000
139,20260608,34,40,318,120,166,142,6,7,140,200.4300,144.0000,200.4300,1,1,2026-08-24T00:00:00.000
140,20260609,8,309,474,184,135,179,6,1,141,201.8000,145.0000,201.8000,1,1,2026-08-24T00:00:00.000
141,20260610,172,430,224,237,192,193,3,5,142,203.1700,146.0000,203.1700,1,1,2026-08-24T00:00:00.000
142,20260820,389,131,40,491,218,146,9,2,143,204.5400,147.0000,204.5400,1,1,2026-08-24T00:00:00.000
143,20260603,323,298,303,189,490,154,11,3,144,205.9100,148.0000,205.9100,1,1,2026-08-24T00:00:00.000
144,20260724,287,4,316,162,203,253,1,1,145,207.2800,149.0000,207.2800,1,1,2026-08-24T00:00:00.000
145,20260712,412,256,310,243,325,280,3,2,146,208.6500,150.0000,208.6500,1,1,2026-08-24T00:00:00.000
146,20260709,4,362,185,99,116,120,8,2,147,210.0200,151.0000,210.0200,1,1,2026-08-24T00:00:00.000
147,20260614,195,327,278,265,180,218,11,6,148,211.3900,152.0000,211.3900,1,1,2026-08-24T00:00:00.000
148,20260814,131,277,142,119,253,240,2,3,149,212.7600,153.0000,212.7600,1,1,2026-08-24T00:00:00.000
149,20260804,445,228,384,494,28,2,6,2,150,214.1300,154.0000,214.1300,1,1,2026-08-24T00:00:00.000
150,20260725,351,317,488,461,99,178,12,7,151,215.5000,155.0000,215.5000,1,1,2026-08-24T00:00:00.000
151,20260731,38,162,101,477,235,329,9,7,152,216.8700,156.0000,216.8700,1,1,2026-08-24T00:00:00.000
152,20260530,43,300,388,2,286,307,4,2,153,218.2400,157.0000,218.2400,1,1,2026-08-24T00:00:00.000
153,20260731,470,-1,-1,-1,258,185,6,7,154,219.6100,158.0000,219.6100,1,1,2026-08-24T00:00:00.000
154,20260621,473,406,446,390,128,122,11,2,155,220.9800,159.0000,220.9800,1,1,2026-08-24T00:00:00.000
155,20260812,218,185,419,300,39,4,7,1,156,222.3500,160.0000,222.3500,1,1,2026-08-24T00:00:00.000
156,20260619,219,181,278,191,331,303,9,7,157,223.7200,161.0000,223.7200,1,1,2026-08-24T00:00:00.000
157,20260710,390,136,337,426,6,73,3,7,158,225.0900,162.0000,225.0900,1,1,2026-08-24T00:00:00.000
158,20260614,144,279,313,369,67,234,10,5,159,226.4600,163.0000,226.4600,1,1,2026-08-24T00:00:00.000
159,20260823,341,31,2,313,474,298,3,1,160,227.8300,164.0000,227.8300,1,1,2026-08-24T00:00:00.000
160,20260729,458,140,408,92,377,292,9,2,161,229.2000,165.0000,229.2000,1,1,2026-08-24T00:00:00.000
161,20260714,125,428,238,68,462,296,1,7,162,230.5700,166.0000,230.5700,1,1,2026-08-24T00:00:00.000
162,20260809,400,345,169,337,23,316,11,7,163,231.9400,167.0000,231.9400,1,1,2026-08-24T00:00:00.000
163,20260822,426,55,417,298,187,132,6,5,164,233.3100,168.0000,233.3100,1,1,2026-08-24T00:00:00.000
164,20260824,402,24,421,471,288,300,2,6,165,234.6800,169.0000,234.6800,1,1,2026-08-24T00:00:00.000
165,20260725,165,64,344,126,409,320,1,3,166,236.0500,170.0000,236.0500,1,1,2026-08-24T00:00:00.000
166,20260628,399,492,74,351,176,53,11,3,167,237.4200,171.0000,237.4200,1,1,2026-08-24T00:00:00.000
167,20260710,17,466,271,168,187,115,8,7,168,238.7900,172.0000,238.7900,1,1,2026-08-24T00:00:00.000
168,20260702,377,76,22,179,173,47,11,7,169,240.1600,173.0000,240.1600,1,1,2026-08-24T00:00:00.000
169,20260613,285,280,328,333,229,197,5,4,170,241.5300,174.0000,241.5300,1,1,2026-08-24T00:00:00.000
170,20260721,381,-1,-1,-1,326,196,2,7,171,242.9000,175.0000,242.9000,1,1,2026-08-24T00:00:00.000
171,20260728,121,137,58,13,449,77,5,2,172,244.2700,176.0000,244.2700,1,1,2026-08-24T00:00:00.000
172,20260529,79,160,347,175,164,302,5,7,173,245.6400,177.0000,245.6400,1,1,2026-08-24T00:00:00.000
173,20260728,220,491,367,433,316,63,12,2,174,247.0100,178.0000,247.0100,1,1,2026-08-24T00:00:00.000
174,20260713,358,348,461,262,259,87,2,4,175,248.3800,179.0000,248.3800,1,1,2026-08-24T00:00:00.000
175,20260824,461,400,184,62,138,281,3,7,176,249.7500,180.0000,249.7500,1,1,2026-08-24T00:00:00.000
176,20260701,356,357,32,145,247,156,2,5,177,251.1200,181.0000,251.1200,1,1,2026-08-24T00:00:00.000
177,20260730,423,430,246,90,417,57,7,6,178,252.4900,182.0000,252.4900,1,1,2026-08-24T00:00:00.000
178,20260606,243,154,116,293,483,115,1,6,179,253.8600,183.0000,253.8600,1,1,2026-08-24T00:00:00.000
179,20260822,197,153,149,233,68,199,5,2,180,255.2300,184.0000,255.2300,1,1,2026-08-24T00:00:00.000
180,20260711,92,57,87,433,386,162,12,6,181,256.6000,185.0000,256.6000,1,1,2026-08-24T00:00:00.000
181,20260722,405,428,209,155,111,206,1,6,182,257.9700,186.0000,257.9700,1,1,2026-08-24T00:00:00.000
182,20260726,479,235,155,129,370,104,6,1,183,259.3400,187.0000,259.3400,1,1,2026-08-24T00:00:00.000
183,20260714,427,448,19,275,303,38,6,1,184,260.7100,188.0000,260.7100,1,1,2026-08-24T00:00:00.000
184,20260616,317,440,40,224,253,235,12,2,185,262.0800,189.0000,262.0800,1,1,2026-08-24T00:00:00.000
185,20260805,314,354,63,493,130,28,7,6,186,263.4500,190.0000,263.4500,1,1,2026-08-24T00:00:00.000
186,20260624,74,277,222,361,119,1,8,3,187,264.8200,191.0000,264.8200,1,1,2026-08-24T00:00:00.000
187,20260804,301,-1,-1,-1,292,172,10,6,188,266.1900,192.0000,266.1900,1,1,2026-08-24T00:00:00.000
188,20260701,112,498,463,199,474,201,2,3,189,267.5600,193.0000,267.5600,1,1,2026-08-24T00:00:00.000
189,20260611,82,86,312,73,187,226,10,5,190,268.9300,194.0000,268.9300,1,1,2026-08-24T00:00:00.000
190,20260818,33,384,208,173,339,150,4,1,191,270.3000,195.0000,270.3000,1,1,2026-08-24T00:00:00.000
191,20260707,3,426,78,71,308,194,12,1,192,271.6700,196.0000,271.6700,1,1,2026-08-24T00:00:00.000
192,20260731,275,48,150,466,347,56,2,4,193,273.0400,197.0000,273.0400,1,1,2026-08-24T00:00:00.000
193,20260802,270,184,193,335,213,281,2,1,194,274.4100,198.0000,274.4100,1,1,2026-08-24T00:00:00.000
194,20260627,21,193,85,114,384,345,7,2,195,275.7800,199.0000,275.7800,1,1,2026-08-24T00:00:00.000
195,20260622,481,17,195,209,150,17,12,5,196,277.1500,200.0000,277.1500,1,1,2026-08-24T00:00:00.000
196,20260705,126,285,469,368,241,200,4,1,197,278.5200,201.0000,278.5200,1,1,2026-08-24T00:00:00.000
197,20260620,40,453,251,383,175,9,8,3,198,279.8900,202.0000,279.8900,1,1,2026-08-24T00:00:00.000
198,20260722,25,163,406,216,62,189,5,1,199,281.2600,203.0000,281.2600,1,1,2026-08-24T00:00:00.000
199,20260707,363,142,359,493,481,217,8,4,200,282.6300,204.0000,282.6300,1,1,2026-08-24T00:00:00.000
200,20260712,115,290,142,131,261,12,4,3,201,284.0000,205.0000,284.0000,1,1,2026-08-24T00:00:00.000
201,20260527,226,495,67,483,430,343,11,4,202,285.3700,206.0000,285.3700,1,1,2026-08-24T00:00:00.000
202,20260703,408,209,490,238,77,217,3,1,203,286.7400,207.0000,286.7400,1,1,2026-08-24T00:00:00.000
203,20260802,203,445,483,442,359,173,11,2,204,288.1100,208.0000,288.1100,1,1,2026-08-24T00:00:00.000
204,20260709,475,-1,-1,-1,403,20,11,1,205,289.4800,209.0000,289.4800,1,1,2026-08-24T00:00:00.000
205,20260820,227,217,473,64,295,145,3,1,206,290.8500,210.0000,290.8500,1,1,2026-08-24T00:00:00.000
206,20260819,425,368,150,37,466,306,7,7,207,292.2200,211.0000,292.2200,1,1,2026-08-24T00:00:00.000
207,20260823,15,396,55,410,240,267,6,7,208,293.5900,212.0000,293.5900,1,1,2026-08-24T00:00:00.000
208,20260803,406,241,307,281,316,249,3,1,209,294.9600,213.0000,294.9600,1,1,2026-08-24T00:00:00.000
209,20260803,407,237,37,125,74,201,12,6,210,296.3300,214.0000,296.3300,1,1,2026-08-24T00:00:00.000
210,20260614,109,47,372,69,213,336,5,7,211,297.7000,215.0000,297.7000,1,1,2026-08-24T00:00:00.000
211,20260629,247,58,479,32,422,248,3,6,212,299.0700,216.0000,299.0700,1,1,2026-08-24T00:00:00.000
212,20260807,148,185,179,106,446,267,7,5,213,300.4400,217.0000,300.4400,1,1,2026-08-24T00:00:00.000
213,20260715,296,300,344,298,165,249,9,1,214,301.8100,218.0000,301.8100,1,1,2026-08-24T00:00:00.000
214,20260802,320,315,199,286,224,308,2,1,215,303.1800,219.0000,303.1800,1,1,2026-08-24T00:00:00.000
215,20260717,17,395,236,175,471,127,12,6,216,304.5500,220.0000,304.5500,1,1,2026-08-24T00:00:00.000
216,20260623,155,223,404,389,299,26,4,1,217,305.9200,221.0000,305.9200,1,1,2026-08-24T00:00:00.000
217,20260718,3,418,113,465,484,32,11,6,218,307.2900,222.0000,307.2900,1,1,2026-08-24T00:00:00.000
218,20260601,296,237,325,429,59,100,7,5,219,308.6600,223.0000,308.6600,1,1,2026-08-24T00:00:00.000
219,20260807,322,33,417,377,187,337,12,1,220,310.0300,224.0000,310.0300,1,1,2026-08-24T00:00:00.000
220,20260805,211,55,327,158,183,83,8,7,221,311.4000,225.0000,311.4000,1,1,2026-08-24T00:00:00.000
221,20260801,230,-1,-1,-1,362,257,5,6,222,312.7700,226.0000,312.7700,1,1,2026-08-24T00:00:00.000
222,20260709,77,368,58,473,261,341,3,1,223,314.1400,227.0000,314.1400,1,1,2026-08-24T00:00:00.000
223,20260616,411,392,444,371,26,282,5,7,224,315.5100,228.0000,315.5100,1,1,2026-08-24T00:00:00.000
224,20260813,261,35,160,279,361,215,6,3,225,316.8800,229.0000,316.8800,1,1,2026-08-24T00:00:00.000
225,20260612,92,440,287,346,131,81,11,6,226,318.2500,230.0000,318.2500,1,1,2026-08-24T00:00:00.000
226,20260611,392,329,146,184,479,186,11,3,227,319.6200,231.0000,319.6200,1,1,2026-08-24T00:00:00.000
227,20260707,255,10,129,358,349,217,6,6,228,320.9900,232.0000,320.9900,1,1,2026-08-24T00:00:00.000
228,20260626,410,295,327,410,197,249,9,1,229,322.3600,233.0000,322.3600,1,1,2026-08-24T00:00:00.000
229,20260730,211,444,480,452,231,284,5,4,230,323.7300,234.0000,323.7300,1,1,2026-08-24T00:00:00.000
230,20260811,226,424,69,328,310,106,6,7,231,325.1000,235.0000,325.1000,1,1,2026-08-24T00:00:00.000
231,20260729,180,99,247,290,341,224,7,4,232,326.4700,236.0000,326.4700,1,1,2026-08-24T00:00:00.000
232,20260802,429,248,433,430,71,189,7,4,233,327.8400,237.0000,327.8400,1,1,2026-08-24T00:00:00.000
233,20260612,169,180,298,67,488,18,2,7,234,329.2100,238.0000,329.2100,1,1,2026-08-24T00:00:00.000
234,20260602,318,70,379,150,468,18,6,4,235,330.5800,239.0000,330.5800,1,1,2026-08-24T00:00:00.000
235,20260802,425,231,431,205,188,251,10,6,236,331.9500,240.0000,331.9500,1,1,2026-08-24T00:00:00.000
