EnergyGreenhouseGasSnapshotKey,SnapshotDateKey,PlantKey,EnergyCarrierKey,EnergyEmissionFactorKey,BusinessUnitKey,EnergyEmissionScopeKey,UnitOfMeasureKey,ActivityQuantity,CarbonDioxideEquivalentTonnes,BiogenicCarbonDioxideTonnes,SourceSystemKey,BatchId,LoadedAtUtc
17,20260814,304,12,187,-1,3,2,12.000000,18.000000,18.000000,1,1,2026-08-24T00:00:00.000
18,20260719,232,9,330,126,3,4,12.700000,19.000000,19.000000,1,1,2026-08-24T00:00:00.000
19,20260617,301,49,97,497,2,3,13.400000,20.000000,20.000000,1,1,2026-08-24T00:00:00.000
20,20260701,176,40,187,453,2,2,14.100000,21.000000,21.000000,1,1,2026-08-24T00:00:00.000
21,20260619,242,50,443,251,5,6,14.800000,22.000000,22.000000,1,1,2026-08-24T00:00:00.000
22,20260805,35,45,335,188,5,3,15.500000,23.000000,23.000000,1,1,2026-08-24T00:00:00.000
23,20260619,79,16,225,284,3,6,16.200000,24.000000,24.000000,1,1,2026-08-24T00:00:00.000
24,20260820,56,19,159,392,1,6,16.900000,25.000000,25.000000,1,1,2026-08-24T00:00:00.000
25,20260731,314,36,50,202,2,3,17.600000,26.000000,26.000000,1,1,2026-08-24T00:00:00.000
26,20260712,188,8,401,454,1,4,18.300000,27.000000,27.000000,1,1,2026-08-24T00:00:00.000
27,20260707,204,12,222,124,4,7,19.000000,28.000000,28.000000,1,1,2026-08-24T00:00:00.000
28,20260715,5,43,302,117,2,6,19.700000,29.000000,29.000000,1,1,2026-08-24T00:00:00.000
29,20260810,135,38,34,170,1,2,20.400000,30.000000,30.000000,1,1,2026-08-24T00:00:00.000
30,20260717,59,1,132,282,4,2,21.100000,31.000000,31.000000,1,1,2026-08-24T00:00:00.000
31,20260601,80,15,54,308,4,7,21.800000,32.000000,32.000000,1,1,2026-08-24T00:00:00.000
32,20260723,206,1,473,69,5,7,22.500000,33.000000,33.000000,1,1,2026-08-24T00:00:00.000
33,20260707,329,40,362,445,1,2,23.200000,34.000000,34.000000,1,1,2026-08-24T00:00:00.000
34,20260802,82,3,238,-1,3,4,23.900000,35.000000,35.000000,1,1,2026-08-24T00:00:00.000
35,20260801,114,30,485,159,3,1,24.600000,36.000000,36.000000,1,1,2026-08-24T00:00:00.000
36,20260723,83,36,424,397,4,7,25.300000,37.000000,37.000000,1,1,2026-08-24T00:00:00.000
37,20260530,225,53,402,251,2,5,26.000000,38.000000,38.000000,1,1,2026-08-24T00:00:00.000
38,20260606,28,34,441,292,1,1,26.700000,39.000000,39.000000,1,1,2026-08-24T00:00:00.000
39,20260612,241,36,402,19,2,5,27.400000,40.000000,40.000000,1,1,2026-08-24T00:00:00.000
40,20260528,240,38,405,472,2,4,28.100000,41.000000,41.000000,1,1,2026-08-24T00:00:00.000
41,20260620,205,54,382,386,2,3,28.800000,42.000000,42.000000,1,1,2026-08-24T00:00:00.000
42,20260812,174,45,482,40,1,4,29.500000,43.000000,43.000000,1,1,2026-08-24T00:00:00.000
43,20260706,293,14,493,203,2,2,30.200000,44.000000,44.000000,1,1,2026-08-24T00:00:00.000
44,20260720,215,18,410,443,4,7,30.900000,45.000000,45.000000,1,1,2026-08-24T00:00:00.000
45,20260724,200,38,473,397,3,1,31.600000,46.000000,46.000000,1,1,2026-08-24T00:00:00.000
46,20260808,199,38,169,238,2,7,32.300000,47.000000,47.000000,1,1,2026-08-24T00:00:00.000
47,20260527,177,51,299,87,1,6,33.000000,48.000000,48.000000,1,1,2026-08-24T00:00:00.000
48,20260714,297,9,1,50,4,2,33.700000,49.000000,49.000000,1,1,2026-08-24T00:00:00.000
49,20260729,177,9,55,123,5,5,34.400000,50.000000,50.000000,1,1,2026-08-24T00:00:00.000
50,20260531,262,50,4,492,4,6,35.100000,51.000000,51.000000,1,1,2026-08-24T00:00:00.000
51,20260701,7,43,211,-1,3,5,35.800000,52.000000,52.000000,1,1,2026-08-24T00:00:00.000
52,20260805,11,50,16,136,3,6,36.500000,53.000000,53.000000,1,1,2026-08-24T00:00:00.000
53,20260601,319,35,258,396,1,4,37.200000,54.000000,54.000000,1,1,2026-08-24T00:00:00.000
54,20260813,82,23,407,304,5,6,37.900000,55.000000,55.000000,1,1,2026-08-24T00:00:00.000
55,20260819,306,16,368,57,1,7,38.600000,56.000000,56.000000,1,1,2026-08-24T00:00:00.000
56,20260812,332,18,396,229,2,7,39.300000,57.000000,57.000000,1,1,2026-08-24T00:00:00.000
57,20260619,315,32,175,343,4,1,40.000000,58.000000,58.000000,1,1,2026-08-24T00:00:00.000
58,20260812,198,22,451,124,3,5,40.700000,59.000000,59.000000,1,1,2026-08-24T00:00:00.000
59,20260818,57,21,373,368,5,7,41.400000,60.000000,60.000000,1,1,2026-08-24T00:00:00.000
60,20260629,72,52,222,288,1,1,42.100000,61.000000,61.000000,1,1,2026-08-24T00:00:00.000
61,20260810,158,15,51,325,2,1,42.800000,62.000000,62.000000,1,1,2026-08-24T00:00:00.000
62,20260719,78,18,464,453,3,6,43.500000,63.000000,63.000000,1,1,2026-08-24T00:00:00.000
63,20260715,62,44,359,15,4,6,44.200000,64.000000,64.000000,1,1,2026-08-24T00:00:00.000
64,20260806,99,38,315,27,1,2,44.900000,65.000000,65.000000,1,1,2026-08-24T00:00:00.000
65,20260710,171,55,278,118,1,4,45.600000,66.000000,66.000000,1,1,2026-08-24T00:00:00.000
66,20260610,259,41,387,245,2,4,46.300000,67.000000,67.000000,1,1,2026-08-24T00:00:00.000
67,20260728,285,10,266,265,4,1,47.000000,68.000000,68.000000,1,1,2026-08-24T00:00:00.000
68,20260621,191,50,386,-1,3,5,47.700000,69.000000,69.000000,1,1,2026-08-24T00:00:00.000
69,20260622,165,54,383,256,1,7,48.400000,70.000000,70.000000,1,1,2026-08-24T00:00:00.000
70,20260614,145,29,343,479,5,6,49.100000,71.000000,71.000000,1,1,2026-08-24T00:00:00.000
71,20260630,153,21,345,385,2,2,49.800000,72.000000,72.000000,1,1,2026-08-24T00:00:00.000
72,20260823,343,55,72,278,5,7,50.500000,73.000000,73.000000,1,1,2026-08-24T00:00:00.000
73,20260818,195,29,356,266,5,5,51.200000,74.000000,74.000000,1,1,2026-08-24T00:00:00.000
74,20260819,113,25,457,180,2,5,51.900000,75.000000,75.000000,1,1,2026-08-24T00:00:00.000
75,20260810,239,13,95,435,5,6,52.600000,76.000000,76.000000,1,1,2026-08-24T00:00:00.000
76,20260527,158,22,109,272,1,2,53.300000,77.000000,77.000000,1,1,2026-08-24T00:00:00.000
77,20260729,300,11,167,58,4,5,54.000000,78.000000,78.000000,1,1,2026-08-24T00:00:00.000
78,20260805,75,23,290,385,2,7,54.700000,79.000000,79.000000,1,1,2026-08-24T00:00:00.000
79,20260529,10,20,115,148,5,4,55.400000,80.000000,80.000000,1,1,2026-08-24T00:00:00.000
80,20260806,30,54,490,260,1,1,56.100000,81.000000,81.000000,1,1,2026-08-24T00:00:00.000
81,20260718,339,12,64,443,5,4,56.800000,82.000000,82.000000,1,1,2026-08-24T00:00:00.000
82,20260713,91,48,203,222,1,2,57.500000,83.000000,83.000000,1,1,2026-08-24T00:00:00.000
83,20260720,264,43,362,252,2,1,58.200000,84.000000,84.000000,1,1,2026-08-24T00:00:00.000
84,20260719,290,50,327,264,2,5,58.900000,85.000000,85.000000,1,1,2026-08-24T00:00:00.000
85,20260611,345,44,234,-1,1,7,59.600000,86.000000,86.000000,1,1,2026-08-24T00:00:00.000
86,20260602,105,6,215,215,2,5,60.300000,87.000000,87.000000,1,1,2026-08-24T00:00:00.000
87,20260715,226,17,12,431,2,7,61.000000,88.000000,88.000000,1,1,2026-08-24T00:00:00.000
88,20260727,14,4,451,343,5,4,61.700000,89.000000,89.000000,1,1,2026-08-24T00:00:00.000
89,20260701,159,10,398,476,4,4,62.400000,90.000000,90.000000,1,1,2026-08-24T00:00:00.000
90,20260530,235,19,106,239,5,6,63.100000,91.000000,91.000000,1,1,2026-08-24T00:00:00.000
91,20260603,138,49,444,32,5,2,63.800000,92.000000,92.000000,1,1,2026-08-24T00:00:00.000
92,20260626,150,21,254,236,2,2,64.500000,93.000000,93.000000,1,1,2026-08-24T00:00:00.000
93,20260710,77,29,490,364,2,2,65.200000,94.000000,94.000000,1,1,2026-08-24T00:00:00.000
94,20260624,146,7,425,297,4,6,65.900000,95.000000,95.000000,1,1,2026-08-24T00:00:00.000
95,20260715,59,9,287,113,4,2,66.600000,96.000000,96.000000,1,1,2026-08-24T00:00:00.000
96,20260617,221,43,281,405,3,7,67.300000,97.000000,97.000000,1,1,2026-08-24T00:00:00.000
97,20260617,43,12,340,244,4,4,68.000000,98.000000,98.000000,1,1,2026-08-24T00:00:00.000
98,20260627,49,30,7,356,1,1,68.700000,99.000000,99.000000,1,1,2026-08-24T00:00:00.000
99,20260821,247,29,366,227,5,1,69.400000,100.000000,100.000000,1,1,2026-08-24T00:00:00.000
100,20260823,147,14,273,302,2,2,70.100000,101.000000,101.000000,1,1,2026-08-24T00:00:00.000
101,20260528,294,23,418,152,1,4,70.800000,102.000000,102.000000,1,1,2026-08-24T00:00:00.000
102,20260607,183,29,177,-1,2,1,71.500000,103.000000,103.000000,1,1,2026-08-24T00:00:00.000
103,20260708,324,19,481,229,5,2,72.200000,104.000000,104.000000,1,1,2026-08-24T00:00:00.000
104,20260608,58,35,69,248,4,6,72.900000,105.000000,105.000000,1,1,2026-08-24T00:00:00.000
105,20260715,2,51,415,222,1,6,73.600000,106.000000,106.000000,1,1,2026-08-24T00:00:00.000
106,20260601,350,2,73,256,5,2,74.300000,107.000000,107.000000,1,1,2026-08-24T00:00:00.000
107,20260712,217,55,368,176,5,6,75.000000,108.000000,108.000000,1,1,2026-08-24T00:00:00.000
108,20260726,332,14,362,108,3,7,75.700000,109.000000,109.000000,1,1,2026-08-24T00:00:00.000
109,20260721,68,41,399,155,2,5,76.400000,110.000000,110.000000,1,1,2026-08-24T00:00:00.000
110,20260824,154,25,94,256,5,2,77.100000,111.000000,111.000000,1,1,2026-08-24T00:00:00.000
111,20260719,89,14,17,225,2,3,77.800000,112.000000,112.000000,1,1,2026-08-24T00:00:00.000
112,20260613,210,30,173,243,1,6,78.500000,113.000000,113.000000,1,1,2026-08-24T00:00:00.000
113,20260814,88,4,73,111,1,3,79.200000,114.000000,114.000000,1,1,2026-08-24T00:00:00.000
114,20260714,237,5,226,432,3,5,79.900000,115.000000,115.000000,1,1,2026-08-24T00:00:00.000
115,20260722,209,27,386,398,5,1,80.600000,116.000000,116.000000,1,1,2026-08-24T00:00:00.000
116,20260625,106,8,14,301,5,2,81.300000,117.000000,117.000000,1,1,2026-08-24T00:00:00.000
117,20260709,5,22,124,253,5,3,82.000000,118.000000,118.000000,1,1,2026-08-24T00:00:00.000
118,20260710,249,48,323,155,1,3,82.700000,119.000000,119.000000,1,1,2026-08-24T00:00:00.000
119,20260712,26,3,21,-1,3,7,83.400000,120.000000,120.000000,1,1,2026-08-24T00:00:00.000
120,20260802,139,9,469,480,2,3,84.100000,121.000000,121.000000,1,1,2026-08-24T00:00:00.000
121,20260528,345,4,386,221,1,5,84.800000,122.000000,122.000000,1,1,2026-08-24T00:00:00.000
122,20260702,97,10,256,74,1,4,85.500000,123.000000,123.000000,1,1,2026-08-24T00:00:00.000
123,20260717,259,22,486,182,5,4,86.200000,124.000000,124.000000,1,1,2026-08-24T00:00:00.000
124,20260604,271,40,36,198,4,4,86.900000,125.000000,125.000000,1,1,2026-08-24T00:00:00.000
125,20260806,29,47,135,481,5,5,87.600000,126.000000,126.000000,1,1,2026-08-24T00:00:00.000
126,20260721,88,19,344,343,1,3,88.300000,127.000000,127.000000,1,1,2026-08-24T00:00:00.000
127,20260709,84,32,420,37,4,5,89.000000,128.000000,128.000000,1,1,2026-08-24T00:00:00.000
128,20260701,79,45,412,216,1,5,89.700000,129.000000,129.000000,1,1,2026-08-24T00:00:00.000
129,20260727,112,12,459,429,5,3,90.400000,130.000000,130.000000,1,1,2026-08-24T00:00:00.000
130,20260620,175,18,279,477,3,4,91.100000,131.000000,131.000000,1,1,2026-08-24T00:00:00.000
131,20260807,216,10,89,473,2,6,91.800000,132.000000,132.000000,1,1,2026-08-24T00:00:00.000
132,20260530,183,43,375,250,5,7,92.500000,133.000000,133.000000,1,1,2026-08-24T00:00:00.000
133,20260627,250,2,336,477,3,3,93.200000,134.000000,134.000000,1,1,2026-08-24T00:00:00.000
134,20260705,160,49,213,480,4,2,93.900000,135.000000,135.000000,1,1,2026-08-24T00:00:00.000
135,20260712,31,15,388,346,4,7,94.600000,136.000000,136.000000,1,1,2026-08-24T00:00:00.000
136,20260708,11,6,440,-1,2,5,95.300000,137.000000,137.000000,1,1,2026-08-24T00:00:00.000
137,20260708,262,22,48,58,2,6,96.000000,138.000000,138.000000,1,1,2026-08-24T00:00:00.000
138,20260804,122,51,352,52,5,5,96.700000,139.000000,139.000000,1,1,2026-08-24T00:00:00.000
139,20260620,223,9,203,464,3,6,97.400000,140.000000,140.000000,1,1,2026-08-24T00:00:00.000
140,20260725,110,8,186,29,3,7,98.100000,141.000000,141.000000,1,1,2026-08-24T00:00:00.000
141,20260726,160,9,175,25,4,1,98.800000,142.000000,142.000000,1,1,2026-08-24T00:00:00.000
142,20260823,262,41,400,272,3,4,99.500000,143.000000,143.000000,1,1,2026-08-24T00:00:00.000
143,20260818,68,36,128,300,5,4,100.200000,144.000000,144.000000,1,1,2026-08-24T00:00:00.000
144,20260803,24,43,122,398,5,5,100.900000,145.000000,145.000000,1,1,2026-08-24T00:00:00.000
145,20260613,86,46,304,378,5,3,101.600000,146.000000,146.000000,1,1,2026-08-24T00:00:00.000
146,20260706,297,17,300,161,2,7,102.300000,147.000000,147.000000,1,1,2026-08-24T00:00:00.000
147,20260622,213,52,465,61,5,5,103.000000,148.000000,148.000000,1,1,2026-08-24T00:00:00.000
148,20260621,304,19,179,449,4,6,103.700000,149.000000,149.000000,1,1,2026-08-24T00:00:00.000
149,20260717,23,11,404,98,5,7,104.400000,150.000000,150.000000,1,1,2026-08-24T00:00:00.000
150,20260618,206,22,177,10,4,4,105.100000,151.000000,151.000000,1,1,2026-08-24T00:00:00.000
151,20260818,59,45,82,218,2,4,105.800000,152.000000,152.000000,1,1,2026-08-24T00:00:00.000
152,20260824,26,23,321,473,5,1,106.500000,153.000000,153.000000,1,1,2026-08-24T00:00:00.000
153,20260616,216,48,434,-1,3,3,107.200000,154.000000,154.000000,1,1,2026-08-24T00:00:00.000
154,20260718,57,47,70,115,1,7,107.900000,155.000000,155.000000,1,1,2026-08-24T00:00:00.000
155,20260714,124,29,127,202,3,4,108.600000,156.000000,156.000000,1,1,2026-08-24T00:00:00.000
156,20260707,155,27,216,51,5,5,109.300000,157.000000,157.000000,1,1,2026-08-24T00:00:00.000
157,20260727,100,20,479,325,3,6,110.000000,158.000000,158.000000,1,1,2026-08-24T00:00:00.000
158,20260801,220,46,155,488,3,4,110.700000,159.000000,159.000000,1,1,2026-08-24T00:00:00.000
159,20260726,92,41,443,448,1,1,111.400000,160.000000,160.000000,1,1,2026-08-24T00:00:00.000
160,20260811,61,37,354,326,5,2,112.100000,161.000000,161.000000,1,1,2026-08-24T00:00:00.000
161,20260730,241,46,251,289,2,6,112.800000,162.000000,162.000000,1,1,2026-08-24T00:00:00.000
162,20260823,140,47,186,449,1,4,113.500000,163.000000,163.000000,1,1,2026-08-24T00:00:00.000
163,20260709,250,36,257,216,2,7,114.200000,164.000000,164.000000,1,1,2026-08-24T00:00:00.000
164,20260611,11,43,259,169,1,3,114.900000,165.000000,165.000000,1,1,2026-08-24T00:00:00.000
165,20260724,213,35,231,336,1,2,115.600000,166.000000,166.000000,1,1,2026-08-24T00:00:00.000
166,20260628,118,51,274,431,5,2,116.300000,167.000000,167.000000,1,1,2026-08-24T00:00:00.000
167,20260805,11,32,289,171,1,2,117.000000,168.000000,168.000000,1,1,2026-08-24T00:00:00.000
168,20260716,53,17,194,283,3,6,117.700000,169.000000,169.000000,1,1,2026-08-24T00:00:00.000
169,20260627,159,13,301,117,4,6,118.400000,170.000000,170.000000,1,1,2026-08-24T00:00:00.000
170,20260823,201,32,91,-1,4,1,119.100000,171.000000,171.000000,1,1,2026-08-24T00:00:00.000
171,20260804,27,15,48,234,4,5,119.800000,172.000000,172.000000,1,1,2026-08-24T00:00:00.000
172,20260729,180,40,324,393,3,1,120.500000,173.000000,173.000000,1,1,2026-08-24T00:00:00.000
173,20260822,160,20,198,84,4,7,121.200000,174.000000,174.000000,1,1,2026-08-24T00:00:00.000
174,20260709,157,33,383,266,5,5,121.900000,175.000000,175.000000,1,1,2026-08-24T00:00:00.000
175,20260607,318,43,419,429,4,3,122.600000,176.000000,176.000000,1,1,2026-08-24T00:00:00.000
176,20260731,123,24,21,289,4,6,123.300000,177.000000,177.000000,1,1,2026-08-24T00:00:00.000
177,20260619,276,32,269,498,1,7,124.000000,178.000000,178.000000,1,1,2026-08-24T00:00:00.000
178,20260605,288,37,2,40,2,6,124.700000,179.000000,179.000000,1,1,2026-08-24T00:00:00.000
179,20260730,165,5,14,326,3,6,125.400000,180.000000,180.000000,1,1,2026-08-24T00:00:00.000
180,20260810,205,14,145,221,2,7,126.100000,181.000000,181.000000,1,1,2026-08-24T00:00:00.000
181,20260702,95,5,415,405,2,7,126.800000,182.000000,182.000000,1,1,2026-08-24T00:00:00.000
182,20260622,248,47,255,323,2,7,127.500000,183.000000,183.000000,1,1,2026-08-24T00:00:00.000
183,20260608,63,34,154,123,5,7,128.200000,184.000000,184.000000,1,1,2026-08-24T00:00:00.000
184,20260617,318,49,171,37,5,2,128.900000,185.000000,185.000000,1,1,2026-08-24T00:00:00.000
185,20260627,73,7,221,404,3,7,129.600000,186.000000,186.000000,1,1,2026-08-24T00:00:00.000
186,20260814,35,4,112,99,2,2,130.300000,187.000000,187.000000,1,1,2026-08-24T00:00:00.000
187,20260705,94,24,262,-1,5,4,131.000000,188.000000,188.000000,1,1,2026-08-24T00:00:00.000
188,20260529,8,10,379,336,2,7,131.700000,189.000000,189.000000,1,1,2026-08-24T00:00:00.000
189,20260802,113,27,161,350,3,1,132.400000,190.000000,190.000000,1,1,2026-08-24T00:00:00.000
190,20260625,148,5,451,39,4,2,133.100000,191.000000,191.000000,1,1,2026-08-24T00:00:00.000
191,20260803,261,12,162,93,4,6,133.800000,192.000000,192.000000,1,1,2026-08-24T00:00:00.000
192,20260804,83,15,117,18,4,7,134.500000,193.000000,193.000000,1,1,2026-08-24T00:00:00.000
193,20260816,264,19,212,414,3,3,135.200000,194.000000,194.000000,1,1,2026-08-24T00:00:00.000
194,20260729,274,19,383,252,2,7,135.900000,195.000000,195.000000,1,1,2026-08-24T00:00:00.000
195,20260730,79,2,429,428,3,4,136.600000,196.000000,196.000000,1,1,2026-08-24T00:00:00.000
196,20260718,153,44,257,97,3,3,137.300000,197.000000,197.000000,1,1,2026-08-24T00:00:00.000
197,20260718,155,3,493,463,1,7,138.000000,198.000000,198.000000,1,1,2026-08-24T00:00:00.000
198,20260715,130,9,192,303,4,4,138.700000,199.000000,199.000000,1,1,2026-08-24T00:00:00.000
199,20260628,255,18,183,234,2,2,139.400000,200.000000,200.000000,1,1,2026-08-24T00:00:00.000
200,20260806,264,45,104,25,4,2,140.100000,201.000000,201.000000,1,1,2026-08-24T00:00:00.000
201,20260724,204,25,138,234,5,5,140.800000,202.000000,202.000000,1,1,2026-08-24T00:00:00.000
202,20260720,205,2,56,107,4,7,141.500000,203.000000,203.000000,1,1,2026-08-24T00:00:00.000
203,20260818,272,48,322,373,4,5,142.200000,204.000000,204.000000,1,1,2026-08-24T00:00:00.000
204,20260601,34,49,410,-1,5,3,142.900000,205.000000,205.000000,1,1,2026-08-24T00:00:00.000
205,20260715,259,33,393,69,1,5,143.600000,206.000000,206.000000,1,1,2026-08-24T00:00:00.000
206,20260815,249,55,242,416,3,5,144.300000,207.000000,207.000000,1,1,2026-08-24T00:00:00.000
207,20260710,284,17,385,177,4,3,145.000000,208.000000,208.000000,1,1,2026-08-24T00:00:00.000
208,20260815,199,46,148,447,4,1,145.700000,209.000000,209.000000,1,1,2026-08-24T00:00:00.000
209,20260711,200,8,57,260,4,6,146.400000,210.000000,210.000000,1,1,2026-08-24T00:00:00.000
210,20260820,211,33,355,105,3,4,147.100000,211.000000,211.000000,1,1,2026-08-24T00:00:00.000
211,20260813,168,30,408,294,2,7,147.800000,212.000000,212.000000,1,1,2026-08-24T00:00:00.000
212,20260531,186,44,90,150,1,5,148.500000,213.000000,213.000000,1,1,2026-08-24T00:00:00.000
213,20260615,191,48,349,8,5,2,149.200000,214.000000,214.000000,1,1,2026-08-24T00:00:00.000
214,20260710,41,4,7,72,3,5,149.900000,215.000000,215.000000,1,1,2026-08-24T00:00:00.000
215,20260604,229,41,39,351,4,7,150.600000,216.000000,216.000000,1,1,2026-08-24T00:00:00.000
216,20260729,81,53,202,100,5,6,151.300000,217.000000,217.000000,1,1,2026-08-24T00:00:00.000
217,20260703,97,33,17,469,3,5,152.000000,218.000000,218.000000,1,1,2026-08-24T00:00:00.000
218,20260629,82,35,492,301,4,7,152.700000,219.000000,219.000000,1,1,2026-08-24T00:00:00.000
219,20260621,265,47,58,127,4,6,153.400000,220.000000,220.000000,1,1,2026-08-24T00:00:00.000
220,20260714,277,38,484,383,2,2,154.100000,221.000000,221.000000,1,1,2026-08-24T00:00:00.000
221,20260731,83,20,73,-1,3,5,154.800000,222.000000,222.000000,1,1,2026-08-24T00:00:00.000
222,20260621,271,15,239,332,5,7,155.500000,223.000000,223.000000,1,1,2026-08-24T00:00:00.000
223,20260719,249,28,344,155,5,3,156.200000,224.000000,224.000000,1,1,2026-08-24T00:00:00.000
224,20260811,110,17,89,101,1,5,156.900000,225.000000,225.000000,1,1,2026-08-24T00:00:00.000
225,20260727,44,37,128,399,3,5,157.600000,226.000000,226.000000,1,1,2026-08-24T00:00:00.000
226,20260601,225,15,86,216,4,3,158.300000,227.000000,227.000000,1,1,2026-08-24T00:00:00.000
227,20260706,235,40,187,396,5,4,159.000000,228.000000,228.000000,1,1,2026-08-24T00:00:00.000
228,20260615,104,32,350,431,2,2,159.700000,229.000000,229.000000,1,1,2026-08-24T00:00:00.000
229,20260601,106,42,457,2,5,4,160.400000,230.000000,230.000000,1,1,2026-08-24T00:00:00.000
230,20260703,73,13,345,371,3,4,161.100000,231.000000,231.000000,1,1,2026-08-24T00:00:00.000
231,20260709,234,21,176,94,1,3,161.800000,232.000000,232.000000,1,1,2026-08-24T00:00:00.000
232,20260710,244,19,121,320,3,3,162.500000,233.000000,233.000000,1,1,2026-08-24T00:00:00.000
233,20260617,125,54,8,65,1,6,163.200000,234.000000,234.000000,1,1,2026-08-24T00:00:00.000
234,20260707,243,15,85,129,3,6,163.900000,235.000000,235.000000,1,1,2026-08-24T00:00:00.000
235,20260724,225,3,367,460,3,1,164.600000,236.000000,236.000000,1,1,2026-08-24T00:00:00.000
236,20260816,134,51,431,470,3,2,165.300000,237.000000,237.000000,1,1,2026-08-24T00:00:00.000
237,20260629,51,14,242,240,1,2,166.000000,238.000000,238.000000,1,1,2026-08-24T00:00:00.000
238,20260528,7,53,329,-1,5,3,166.700000,239.000000,239.000000,1,1,2026-08-24T00:00:00.000
239,20260718,277,5,18,257,3,4,167.400000,240.000000,240.000000,1,1,2026-08-24T00:00:00.000
240,20260609,345,7,4,369,2,6,168.100000,241.000000,241.000000,1,1,2026-08-24T00:00:00.000
241,20260528,206,51,301,375,3,4,168.800000,242.000000,242.000000,1,1,2026-08-24T00:00:00.000
242,20260824,335,38,308,355,5,5,169.500000,243.000000,243.000000,1,1,2026-08-24T00:00:00.000
243,20260817,3,19,339,174,3,5,170.200000,244.000000,244.000000,1,1,2026-08-24T00:00:00.000
244,20260711,48,25,367,46,3,3,170.900000,245.000000,245.000000,1,1,2026-08-24T00:00:00.000
245,20260709,17,29,334,439,1,4,171.600000,246.000000,246.000000,1,1,2026-08-24T00:00:00.000
246,20260714,64,53,233,172,4,1,172.300000,247.000000,247.000000,1,1,2026-08-24T00:00:00.000
247,20260719,292,8,138,143,1,4,173.000000,248.000000,248.000000,1,1,2026-08-24T00:00:00.000
248,20260706,209,22,191,158,4,4,173.700000,249.000000,249.000000,1,1,2026-08-24T00:00:00.000
249,20260807,151,1,408,311,2,7,174.400000,250.000000,250.000000,1,1,2026-08-24T00:00:00.000
250,20260722,145,27,442,183,5,4,175.100000,251.000000,251.000000,1,1,2026-08-24T00:00:00.000
251,20260603,40,33,130,347,1,1,175.800000,252.000000,252.000000,1,1,2026-08-24T00:00:00.000
252,20260714,106,5,9,84,2,7,176.500000,253.000000,253.000000,1,1,2026-08-24T00:00:00.000
253,20260602,103,53,179,15,5,4,177.200000,254.000000,254.000000,1,1,2026-08-24T00:00:00.000
254,20260617,186,32,388,66,3,5,177.900000,255.000000,255.000000,1,1,2026-08-24T00:00:00.000
255,20260531,97,34,272,-1,5,4,178.600000,256.000000,256.000000,1,1,2026-08-24T00:00:00.000
256,20260615,278,29,213,113,4,2,179.300000,257.000000,257.000000,1,1,2026-08-24T00:00:00.000
257,20260706,234,19,105,328,3,7,180.000000,258.000000,258.000000,1,1,2026-08-24T00:00:00.000
258,20260622,160,52,275,485,4,3,180.700000,259.000000,259.000000,1,1,2026-08-24T00:00:00.000
259,20260719,211,52,86,68,2,5,181.400000,260.000000,260.000000,1,1,2026-08-24T00:00:00.000
260,20260809,26,11,412,137,5,3,182.100000,261.000000,261.000000,1,1,2026-08-24T00:00:00.000
261,20260727,157,6,130,85,1,5,182.800000,262.000000,262.000000,1,1,2026-08-24T00:00:00.000
262,20260707,343,18,224,89,2,3,183.500000,263.000000,263.000000,1,1,2026-08-24T00:00:00.000
